CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_저가_clust_id
141,0,-1,1,1,-1,-1,2
143,0,1,-1,2,-1,-1,1
144,-1,0,0,-1,0,0,2
145,3,0,-3,3,-3,2,4
146,0,0,0,0,0,0,2
147,0,-3,3,-1,-2,2,2
148,1,0,-1,1,-1,2,4
149,-2,-1,3,0,-3,3,2
150,2,-2,3,-2,-1,0,3
151,1,0,2,-2,1,0,3
152,0,-2,1,-1,3,0,3
153,-1,1,0,-1,3,-3,0
154,-3,0,0,3,-3,3,1
155,0,0,4,-3,3,-3,3
156,0,4,-3,-1,0,4,0
157,-2,3,-3,3,-3,0,1
158,3,0,-2,1,-2,1,4
159,3,-3,3,-2,-1,0,3
160,-2,1,2,-3,1,-1,2
161,-3,-1,4,0,-3,3,2
162,0,-1,1,2,-2,-1,4
163,-2,0,0,1,-2,3,2
164,0,-3,3,-3,3,-3,3
165,1,-1,3,0,0,0,3
166,-3,3,0,-3,3,-3,0
167,0,0,4,-3,-1,4,3
168,-1,0,-1,-1,3,0,5
169,-1,-1,3,-2,2,-3,3
170,-1,-1,0,1,0,1,2
171,-3,3,-3,3,-2,-1,1
172,0,-2,2,-3,3,-3,3
173,1,0,-1,0,1,0,5
175,0,-1,1,-1,1,-1,2
176,-1,0,0,1,-1,1,2
177,0,0,3,-3,3,-1,3
178,1,-3,2,0,0,-1,3
179,-3,3,0,-3,1,-1,0
180,0,0,0,0,4,-3,5
181,0,0,4,-3,3,-3,3
182,4,0,-2,0,2,-1,5
183,0,2,-1,-1,0,1,0
184,-3,3,-2,-1,3,0,0
185,0,0,-3,1,-1,0,1
186,1,2,-3,3,-3,0,1
187,-3,2,1,0,-2,-1,2
188,2,-2,3,-3,2,0,3
189,-1,0,4,-1,1,-3,3
190,0,0,0,0,0,4,2
191,4,-3,-1,0,0,0,4
192,0,-3,0,2,0,1,4
193,-2,3,-2,1,0,0,1
194,2,-3,2,0,-1,-1,4
195,3,-3,3,-3,3,-1,3
196,0,-1,1,-1,2,-3,3
197,3,-3,3,0,-2,-1,4
198,0,0,1,0,-1,0,2
199,-2,1,0,1,0,-3,2
200,0,0,0,0,-1,0,2
201,3,-3,3,-1,-1,2,3
202,1,1,-2,0,0,0,5
203,2,0,-1,0,2,-3,5
204,-1,-1,3,-2,2,-2,3
205,-1,1,-2,3,-2,-1,1
206,-1,2,1,-2,1,-1,0
207,0,1,-2,1,0,-2,1
208,3,-3,3,-3,0,3,3
209,0,-2,-1,3,-3,0,4
210,-2,0,2,0,-3,2,2
211,0,3,-3,3,-3,-1,1
212,0,1,-1,1,-1,1,1
213,1,-1,1,0,0,-1,2
214,0,-3,1,0,1,0,3
215,-1,0,2,-2,2,-2,3
216,-1,2,-2,-1,1,2,0
217,0,-3,3,0,-2,2,2
218,1,2,-3,3,-3,3,1
219,4,0,-2,-1,0,3,5
220,0,0,0,0,0,1,2
221,1,-3,3,-2,-1,3,3
222,3,-1,-2,3,-3,3,4
223,-3,0,-1,0,0,0,2
224,-1,4,0,-3,-1,4,0
225,-3,2,1,-2,1,-1,0
226,0,-1,2,1,-3,3,2
227,1,1,-3,1,1,-1,5
228,-3,3,0,-2,1,-1,0
229,3,-3,-1,0,4,-3,5
230,0,0,-3,-1,4,-3,5
231,-1,1,0,0,-1,1,2
232,1,-1,-1,1,2,-2,5
233,0,1,-2,3,-1,-1,1
234,-3,3,-3,3,-3,3,1
235,1,0,-1,1,2,-3,5
236,-1,3,-2,1,1,-2,0
237,1,-2,1,-1,2,-2,3
238,0,0,0,4,-3,-1,1
239,-3,0,0,-1,4,-3,0
240,4,-3,-1,0,4,-3,5
241,0,4,-3,-1,4,-3,0
242,1,0,-2,1,-2,1,4
243,-2,-1,3,-3,3,-1,3
245,1,-2,1,0,-1,0,4
246,-1,4,-2,0,2,-3,0
247,0,-3,2,0,0,-2,2
248,-3,3,-1,-1,0,1,0
249,4,0,-3,0,3,-3,5
250,2,1,-2,1,-2,3,4
251,0,3,0,-2,1,0,0
252,-3,3,-3,3,-3,3,1
253,0,0,4,-3,-1,4,3
254,-3,-1,0,4,-1,1,1
255,-3,3,0,-3,3,-3,0
256,-2,1,-1,2,-2,2,1
257,0,1,-1,0,0,1,5
258,2,-2,0,2,-3,3,4
259,1,0,0,-2,1,1,5
260,-1,1,-2,2,-1,1,1
261,4,0,-3,-1,4,-3,5
262,-3,3,-3,-1,0,0,0
263,2,-3,2,-1,1,0,3
264,-1,1,-1,0,1,-1,0
265,0,0,-3,3,-3,-1,1
266,4,-3,3,0,-3,0,4
267,-3,0,3,0,-3,-1,2
268,0,3,0,-3,3,0,0
269,1,-1,1,-1,1,-2,3
270,-1,2,-2,0,0,0,0
271,0,0,0,4,-3,3,1
272,-1,3,-1,-1,1,-1,0
273,4,-3,3,-3,2,-2,3
274,-2,3,0,-1,-2,2,0
275,2,-2,0,0,1,-1,5
276,-2,1,-1,-1,1,0,0
277,-1,-1,2,-2,1,-1,3
278,2,0,-1,1,-2,2,4
279,0,4,-3,-1,4,-3,0
280,0,4,-3,3,-3,3,1
281,-2,2,-1,1,0,-2,1
282,-3,0,3,-3,3,-2,3
283,0,0,0,0,0,0,2
284,3,0,-3,0,1,2,5
285,1,-2,0,2,-3,3,4
286,3,-2,0,2,-3,2,4
287,-3,1,2,-2,2,-1,0
288,2,0,-2,-1,2,-1,5
289,4,-3,1,-1,3,0,3
290,2,-2,1,-1,1,-1,3
291,-2,1,-2,3,0,-1,1
292,-1,0,0,0,4,0,5
293,1,-3,3,-3,3,-3,3
294,-3,3,-3,3,-3,-1,1
295,0,4,0,0,-3,3,1
296,1,-3,3,0,-3,0,2
297,-1,3,0,-3,1,-1,0
298,0,3,-3,3,-3,0,1
299,0,3,0,-3,1,-1,0
300,-1,2,-1,-1,0,0,0
301,0,-2,-1,-1,0,4,5
302,0,-3,3,-2,-1,0,3
303,-1,1,-1,0,2,-1,0
304,4,-1,0,-1,2,-3,5
305,0,-1,1,0,2,-3,5
306,-1,0,4,-3,-1,0,3
307,4,0,-3,0,1,1,5
308,3,-3,3,-3,1,-1,3
309,0,-1,0,4,-3,-1,4
310,2,-2,3,-1,-1,-1,3
311,1,-1,1,0,2,-3,5
312,0,-1,-1,-1,0,0,5
313,1,-1,0,-1,2,-2,5
314,0,4,-3,-1,0,0,0
315,0,3,-3,3,-2,2,1
316,1,1,-2,3,-3,3,1
317,2,-1,1,-1,2,-3,5
318,-3,0,3,-3,-1,0,2
319,0,0,0,0,0,0,2
320,-3,3,-2,0,-1,2,0
321,1,0,0,-2,3,-2,5
322,-1,0,1,0,-1,1,2
323,-2,-1,1,1,1,-2,2
324,-1,3,0,-3,2,-2,0
325,0,-2,3,-1,-2,2,2
326,3,0,0,-2,0,0,5
327,3,0,-3,3,-3,0,4
328,0,0,0,0,0,0,2
329,1,-2,3,-1,0,0,3
330,-2,0,3,-2,1,-2,2
331,1,0,-1,2,-1,-2,4
332,1,0,-1,0,1,-1,5
333,0,2,-2,1,-1,0,1
334,0,0,0,0,0,0,2
335,3,-3,3,-2,1,0,3
336,3,-3,3,-3,1,1,3
337,0,-1,3,-3,0,3,3
338,3,-2,1,0,-2,3,4
339,2,-2,1,2,-2,-1,4
340,-3,-1,4,0,-3,0,2
341,-1,4,-1,-2,-1,0,0
342,2,0,0,-1,-1,1,5
343,-2,3,0,-1,0,-2,0
344,-1,1,-2,3,-3,0,1
345,-3,3,-3,0,3,0,0
346,0,0,0,0,0,0,2
347,-3,2,-1,1,-1,0,1
348,0,-1,1,0,-2,1,2
349,2,0,-2,3,-3,2,4
350,1,-3,2,1,0,-2,4
351,3,-1,1,-3,0,3,3
352,1,0,-2,3,-1,-1,1
353,-3,2,1,-3,0,2,0
354,-1,2,-2,2,1,-1,1
355,2,1,-2,-1,3,-2,5
356,4,0,0,-3,3,-3,5
357,-3,3,-3,2,0,-1,1
358,0,4,-3,3,-3,-1,1
359,2,-2,3,-2,1,0,3
360,2,1,-3,3,-1,-1,1
361,1,-3,3,-2,2,-3,3
362,-3,3,-2,2,-3,0,1
363,0,0,0,0,0,0,2
364,-2,1,-1,0,0,2,0
365,-1,2,-3,1,-1,3,1
366,1,-2,2,-1,1,-2,3
367,-1,2,0,-2,2,0,0
368,-2,0,2,-1,-2,2,2
369,0,0,4,-3,-1,0,3
370,-1,2,-1,-1,0,1,0
371,3,0,-2,1,0,-1,4
372,1,0,-1,1,-1,-1,4
373,0,3,-1,-1,0,-1,0
374,0,0,4,-3,0,-1,3
375,-1,3,0,-2,2,0,0
376,1,0,-1,1,-1,-1,4
377,3,-3,-1,4,0,-2,4
378,3,-3,3,-3,0,3,3
379,0,4,0,-3,-1,0,0
380,0,-1,0,2,-2,1,4
381,0,0,0,0,0,0,2
382,3,-2,-1,3,-2,0,4
383,0,4,-3,-1,4,-3,0
384,-2,3,0,-1,-1,0,0
385,2,-1,1,-1,-1,2,4
386,0,-3,0,-1,0,4,2
387,2,-1,-2,2,0,1,4
388,3,-3,3,-3,0,3,3
389,0,-1,3,-2,1,-1,3
390,0,1,1,-3,2,0,3
391,2,-2,3,-1,1,-1,3
392,-3,0,3,0,-3,3,2
393,0,0,4,-3,-1,0,3
394,1,-3,3,0,-2,-1,2
395,2,0,0,0,0,-1,5
396,3,-2,-1,3,-3,3,4
397,2,-1,2,-1,0,-2,3
398,-3,0,3,-2,1,-1,2
399,-1,-2,-1,0,4,-3,5
400,-1,-2,0,0,0,-1,2
401,0,4,-3,-1,0,0,0
402,3,-3,1,1,0,-2,4
403,1,0,-1,2,-3,0,4
404,1,-2,1,0,0,0,2
405,0,0,0,0,4,-3,5
406,-1,1,1,-1,0,-1,2
407,0,0,0,0,0,4,2
408,-1,4,-3,-1,0,4,0
409,-2,0,2,-3,0,3,2
410,0,-1,0,2,-1,0,4
411,0,3,-2,2,-2,2,1
412,1,0,0,0,-1,2,2
413,-1,2,1,-3,3,-3,0
414,-3,0,3,0,-3,0,2
415,-1,-1,1,0,-2,0,2
416,3,0,-3,0,3,-1,5
417,3,0,-3,3,-3,-1,4
418,-2,2,-1,-2,3,-3,0
419,0,0,0,0,0,0,2
420,-3,0,3,-1,0,1,2
421,-2,3,0,-3,2,0,0
422,1,-1,-2,3,-3,-1,4
423,-1,0,4,-3,3,-3,3
424,1,-1,1,1,-2,1,4
425,0,1,-3,2,0,-1,1
426,-3,3,-3,0,0,3,0
427,0,-1,4,-3,-1,0,3
428,0,0,0,4,-2,-1,1
429,2,-3,3,-2,-1,3,3
430,-1,0,4,-3,-1,0,3
431,-1,2,-3,1,-1,1,1
432,3,-3,0,0,3,-3,5
433,3,0,-3,0,-1,4,4
434,0,-2,0,1,0,0,2
435,-2,-1,2,1,-3,-1,2
436,0,0,4,0,-3,3,2
437,3,-1,-1,2,-1,1,4
438,-1,0,0,3,-1,-2,1
439,-2,-1,3,-1,0,-2,2
440,4,0,-3,0,-1,4,4
441,0,3,-3,3,-3,0,1
442,0,2,-1,-1,1,0,0
443,-3,-1,4,-1,1,-3,2
444,-3,3,-1,1,-2,-1,1
445,-1,0,1,1,-1,-1,2
446,0,1,-1,0,1,0,5
447,2,0,-2,0,3,-3,5
448,-3,3,-3,0,-1,4,0
449,2,-2,2,0,0,-2,3
450,-3,2,0,-1,-1,1,0
451,2,0,-1,-2,3,-3,5
452,0,-1,0,1,-2,0,4
453,-1,-1,-1,2,1,-1,5
454,-1,2,-2,-1,3,-2,0
455,-2,1,-1,-1,0,3,0
456,1,-2,2,0,1,-2,3
457,-2,1,1,0,0,0,2
458,-2,3,-1,-1,1,-1,0
459,4,-3,-1,4,-2,-1,4
461,2,0,-3,3,-2,0,4
462,3,0,-3,1,2,-1,5
463,0,0,0,0,0,0,2
464,-3,3,-3,2,-1,0,1
465,0,1,0,-2,3,0,5
466,3,-3,3,-3,0,3,3
467,-1,1,1,-3,3,-2,0
468,3,0,-1,-1,2,-3,5
469,-3,-1,0,0,4,-3,0
470,0,0,0,2,-1,-1,1
471,-2,-1,3,-3,3,-3,3
472,0,1,-2,0,1,1,5
473,2,0,-2,3,-2,1,4
474,-1,1,-1,1,-2,3,1
475,3,-1,0,-2,3,-1,5
476,1,0,-1,2,-1,-2,4
477,2,0,1,-3,1,2,3
478,0,2,0,-3,3,0,0
479,-2,1,-1,1,0,-2,1
480,-1,1,0,2,-3,0,1
481,-2,3,-2,0,-1,1,0
482,-2,1,0,-2,2,-1,0
483,0,0,0,0,0,0,2
484,-1,4,-3,0,-1,0,1
485,0,4,0,0,-3,3,1
486,0,0,0,0,0,0,2
487,0,0,-2,3,-1,1,1
488,0,-1,0,0,1,-1,5
489,2,0,-3,3,0,-2,4
490,-3,-1,0,0,0,4,2
491,0,-1,0,0,1,-2,5
492,-3,-1,0,0,0,0,2
493,0,1,-1,1,-1,2,1
494,-3,3,-3,3,-3,0,1
495,0,-1,1,-1,0,0,2
496,3,-1,-2,3,0,-2,4
497,-1,1,0,0,-1,0,2
498,3,-1,0,1,-1,-1,4
499,2,1,-1,-2,2,-2,5
500,-3,3,-2,2,-1,0,1
501,-3,3,-3,-1,4,-3,0
502,0,-2,2,0,0,-1,2
503,2,0,0,-2,1,2,5
504,-1,-1,2,-3,3,-3,3
505,-1,2,1,-2,2,0,0
506,1,2,-2,1,-1,1,1
507,3,0,-3,-1,0,0,5
508,1,-1,0,3,-3,-1,4
509,-1,0,0,0,4,-3,5
510,3,0,-3,3,-3,3,4
511,-2,1,-2,1,0,2,1
512,-1,-2,3,-3,3,-2,3
513,0,0,0,0,0,4,2
514,-1,-1,3,-2,1,-1,3
515,4,-3,3,-3,3,-3,3
516,-1,0,1,-1,1,0,2
517,2,1,-3,3,-3,2,1
518,-1,-2,3,-3,0,1,3
519,-1,4,-2,1,0,0,0
520,-3,3,-3,-1,0,0,0
521,3,0,-3,3,-2,0,4
522,3,0,-3,3,-3,0,4
523,-1,-1,3,-1,-1,0,2
524,-1,3,-2,0,0,0,0
525,4,-1,1,-1,-2,2,4
526,2,-2,1,0,0,-1,4
527,0,-2,0,1,0,-2,2
528,1,-2,1,1,-3,1,4
529,-2,1,1,0,0,-2,2
530,0,-1,1,-2,3,-3,3
531,1,-3,3,-3,0,3,3
532,0,0,4,-3,3,-2,3
533,3,-1,0,-2,3,-2,5
534,0,0,0,4,-3,-1,1
535,2,0,-1,-2,3,-2,5
536,0,4,0,-3,2,-2,0
537,-1,0,1,-2,1,-2,2
538,0,0,0,4,-3,3,1
539,4,0,-2,-1,3,-3,5
540,0,-2,3,-3,3,-1,3
541,1,-1,0,1,1,-3,5
542,0,0,1,-3,1,2,3
543,-1,0,1,1,-3,3,2
544,1,-2,3,-1,-2,0,2
545,-1,-2,3,-3,-1,4,3
546,0,0,0,0,0,0,2
547,-1,2,-2,3,-3,1,1
548,3,-2,2,-2,-1,2,3
549,-2,3,0,-3,0,3,0
550,0,1,-3,2,1,-3,1
551,-1,-1,1,0,-1,1,2
552,-3,0,3,-1,1,-2,2
553,0,0,3,-3,3,0,3
554,-1,3,0,0,-3,3,1
555,3,0,-3,1,2,-2,5
556,0,-1,1,-1,0,0,2
557,-3,2,1,-2,-1,1,0
558,-1,0,0,4,-3,0,1
559,0,0,0,0,0,4,2
560,3,-3,-1,4,-3,-1,4
561,2,-3,2,-1,0,-1,3
562,-3,-1,4,-3,-1,0,2
563,1,0,1,-2,1,-1,3
564,-2,0,0,0,-1,0,2
565,0,0,-2,0,2,-3,5
566,-3,3,-3,-1,0,4,0
567,3,0,0,-3,2,-2,5
568,-1,-2,3,-1,-2,3,2
569,0,3,0,-3,3,-3,0
570,0,-2,1,1,-2,1,2
571,3,-3,3,0,-3,3,4
572,3,-1,-2,3,-3,2,4
573,0,0,-3,1,0,1,1
574,1,1,-2,2,0,-2,1
575,-1,0,3,-2,0,-1,2
576,1,-2,3,-2,-1,3,3
577,-3,3,-3,1,0,1,1
578,-2,1,0,-1,0,1,0
579,1,0,2,0,-3,3,2
580,3,-3,3,-1,-2,3,3
581,1,2,-1,0,-1,1,1
582,-1,0,3,0,-3,3,2
583,-1,1,-1,-1,3,-2,0
584,2,-3,0,-1,4,-3,5
585,-3,0,3,-3,3,-3,3
586,-3,-1,4,-2,-1,0,2
587,4,-3,-1,0,0,4,4
588,1,0,0,1,0,0,5
589,-1,3,-3,3,-3,3,1
590,2,-3,3,0,-3,2,4
591,-1,-1,1,1,0,0,2
592,1,-2,3,-2,-1,2,3
593,0,4,-3,3,-3,-1,1
594,0,-3,0,-1,0,4,2
595,-1,4,-3,-1,0,4,0
596,-1,0,0,0,0,0,2
597,0,2,1,-3,0,-1,0
598,-2,0,2,-1,1,-2,2
599,-3,3,-2,2,-2,0,1
600,1,-3,3,-2,1,-1,3
601,0,0,0,0,0,0,2
602,0,4,-2,1,-2,2,1
603,2,1,-3,3,0,-3,1
604,-3,3,-3,3,-3,3,1
605,-3,1,0,1,-1,-1,1
606,-3,3,-3,3,0,0,1
607,-3,2,0,-1,1,-2,0
608,3,-3,3,-3,3,-1,3
609,3,-2,-1,3,-2,1,4
610,0,0,0,0,0,0,2
611,-1,-2,3,0,0,-1,2
612,0,-3,3,-2,1,-2,3
613,1,-1,1,0,-1,1,2
614,3,-3,-1,0,0,4,4
615,3,-3,3,0,-3,3,4
616,1,0,-2,1,0,0,5
617,0,2,-1,-1,2,-3,0
618,-1,3,-2,0,-1,3,1
619,1,-1,0,1,-2,1,4
620,-1,0,0,0,0,4,2
621,-1,1,-2,1,2,-1,0
622,3,-3,3,-3,3,-3,3
623,0,-1,-2,2,1,-3,5
624,0,0,1,0,-1,1,2
625,3,-3,0,3,-3,0,4
626,-1,0,0,-1,2,0,5
627,-1,3,-3,3,-3,0,1
628,-1,0,1,0,-1,0,2
629,0,-1,3,-2,2,-1,3
630,0,4,-2,0,2,0,0
631,-3,-1,0,4,0,-2,1
632,-1,4,-3,0,1,-1,0
633,-2,0,1,-1,2,-3,2
634,0,0,0,0,0,0,2
635,-2,3,0,-3,0,3,0
636,-3,-1,0,4,0,-2,1
637,0,1,-2,1,-1,2,1
638,-1,-2,3,-3,1,0,3
639,-1,1,0,-1,-1,2,2
640,-3,1,-1,3,0,-3,1
641,-3,0,3,-3,3,0,3
642,-2,0,3,-3,0,-1,2
643,-1,3,-3,0,2,-2,0
644,0,-2,3,-2,1,-2,3
645,3,0,-3,2,-1,2,4
646,-3,2,0,-2,1,0,0
647,1,-1,1,0,-1,1,2
648,4,-3,0,3,-1,1,4
649,0,0,4,-3,-1,4,3
650,2,-2,0,3,-1,-2,4
651,0,0,4,-3,3,0,3
652,-1,-2,3,0,-3,3,2
653,3,-1,0,0,-1,2,4
654,1,-1,2,-2,2,-3,3
655,0,0,1,0,0,-2,2
656,0,0,0,0,0,0,2
657,-3,-1,0,4,-3,-1,1
658,2,-3,3,-3,1,-1,3
659,-1,-1,2,1,-3,2,2
660,-1,0,0,0,2,-2,5
661,-1,0,1,0,-2,2,2
662,0,-2,1,-1,0,0,2
663,-1,2,1,-2,2,-1,0
664,0,-3,3,0,-3,0,2
665,-1,1,0,-2,2,0,0
666,0,1,0,-1,0,0,2
667,1,-2,2,0,-2,0,2
668,-2,1,-2,2,-2,3,1
669,-3,-1,0,0,4,-3,0
670,-2,0,0,1,-2,0,2
671,-2,2,-2,1,-1,2,1
672,0,-3,-1,0,0,4,4
673,0,0,0,0,0,0,2
674,3,-3,-1,0,4,-3,5
675,-3,1,1,0,0,-2,2
676,4,-3,-1,4,-3,-1,4
677,-1,-1,2,0,-2,3,2
678,2,0,-1,1,-1,-1,4
679,1,-1,0,0,1,-1,5
680,0,2,-2,0,1,-1,0
681,4,0,-3,-1,4,0,5
682,-1,0,0,2,-2,-1,1
683,-2,2,-2,1,-2,3,1
684,0,0,0,0,4,0,5
685,0,0,2,-2,1,-1,3
686,-3,3,-3,3,-1,-1,1
687,-3,3,-3,3,0,-3,1
688,3,-3,3,-3,3,-1,3
689,0,0,4,-3,-1,0,3
690,1,-1,3,-1,-1,-1,3
691,-2,3,-1,-2,3,0,0
692,-1,0,1,-1,2,-1,2
693,0,-3,1,-1,3,-1,3
694,0,-2,2,0,-3,0,2
695,-2,-1,1,-1,2,-2,2
696,0,4,-3,-1,4,-3,0
697,-1,0,0,0,4,-3,5
698,-1,0,0,0,0,0,2
699,0,0,2,-2,0,0,2
700,-3,1,0,1,-1,0,1
701,1,-1,2,-2,2,-3,3
702,1,-1,3,-1,0,-2,3
703,4,-3,3,0,0,-3,3
704,4,-3,-1,4,0,-3,4
705,0,3,-2,1,-1,2,1
706,0,2,-2,-1,2,0,0
707,0,-3,0,0,0,-1,2
708,0,2,-3,2,-1,1,1
709,-2,-1,1,0,2,-1,2
710,2,0,1,-2,0,1,3
711,0,0,0,0,0,0,2
712,3,-1,-2,2,1,0,4
713,0,4,-3,3,0,0,1
714,3,-3,3,-2,2,-3,3
715,-3,3,-3,-1,4,-3,0
716,1,-2,2,-2,3,-3,3
717,-1,4,-3,-1,4,0,0
718,4,-3,0,3,-3,2,4
719,2,-2,1,-1,0,2,3
720,0,3,-2,0,1,-1,0
721,0,1,1,-1,0,1,2
722,0,2,-3,3,-2,0,1
723,-1,1,1,-3,2,-2,0
724,1,-1,0,0,-2,2,4
725,0,2,-1,-2,2,1,0
726,3,-1,-2,0,2,0,5
727,1,-3,3,-3,2,1,3
728,3,-3,3,0,-1,-2,3
729,-1,0,3,-2,1,0,3
730,1,-2,1,2,-3,2,4
731,2,-3,3,-3,2,0,3
732,-1,0,4,-3,3,-3,3
733,-2,2,1,-1,-1,-1,2
734,1,1,-1,1,-1,-1,1
735,-1,3,-3,1,-1,3,1
736,-3,2,0,-2,0,3,0
737,2,0,-1,-2,1,0,5
738,0,-2,1,0,-1,-1,2
739,2,-2,-1,2,1,-3,4
740,0,0,-1,-1,2,-1,5
741,0,0,1,0,-1,1,2
742,-3,3,-3,3,-1,-2,1
743,-2,-1,1,2,-2,2,2
744,1,-1,2,-3,2,1,3
745,2,0,-1,-2,2,0,5
746,3,-1,0,-2,0,3,5
747,1,-3,3,-2,1,-1,3
748,0,0,0,0,0,0,2
749,1,0,-2,2,-2,3,1
750,3,0,-3,0,0,3,5
751,-1,0,2,-1,0,-1,2
752,0,0,0,0,0,0,2
753,-2,1,0,-1,2,-2,0
