CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_고가_clust_id
268,3,0,-3,2,1,-1,1
269,0,2,-3,2,-1,1,2
270,-1,3,-2,-1,2,1,5
271,-3,2,0,-1,0,2,5
272,3,0,-3,0,3,-2,1
273,-3,3,-3,3,-2,0,2
274,0,1,-2,0,0,0,1
275,0,-1,-1,3,-2,1,4
276,-1,0,-2,2,-2,3,2
277,1,0,-1,1,0,-2,1
278,1,-2,3,-3,0,3,3
279,0,1,-2,2,0,0,2
280,-1,1,-2,3,-2,1,2
281,1,-3,3,-3,3,-3,3
282,-2,0,2,-1,0,-1,0
283,-3,1,0,0,-1,3,0
284,-1,4,0,-2,-1,-1,5
285,0,-1,-1,3,-3,3,4
286,1,1,-2,3,-3,2,4
287,-2,2,-1,0,1,0,5
288,1,0,-1,1,-1,1,4
289,0,1,-1,1,-1,0,2
290,0,-3,2,0,-1,1,0
291,-1,1,0,0,0,0,5
292,-1,1,-1,2,-2,1,2
293,1,-1,-2,1,2,-1,1
294,4,-1,-2,3,-3,3,4
295,0,-1,-1,2,-3,2,4
296,-1,2,-1,1,-2,3,2
297,0,-1,0,1,0,-2,1
298,0,-1,1,0,-1,1,0
299,-1,3,-2,0,-1,3,2
300,-1,2,-3,2,-1,2,2
301,1,0,-2,3,-3,3,4
302,-1,2,-3,3,-3,3,2
303,1,0,-1,1,-1,1,4
304,0,0,-3,3,-3,2,4
305,0,-1,-1,3,-1,-2,4
306,0,-3,3,-3,3,-3,3
307,-3,2,0,0,-2,0,2
308,-3,3,-2,1,-2,2,2
309,2,-1,-1,1,-1,-1,4
310,-1,0,2,-2,0,1,0
311,-3,3,-1,-1,-1,1,5
312,-1,3,-3,3,-2,0,2
313,0,2,-3,2,-2,1,2
314,1,-1,-1,3,-3,3,4
315,-3,3,-3,1,2,-2,5
316,3,-2,1,-1,1,-1,3
317,0,0,-1,0,1,-1,1
318,1,-2,0,3,-2,0,4
319,-2,3,-3,2,0,1,2
320,-2,3,-1,0,0,-1,5
321,2,-2,2,-3,3,-3,3
322,3,-3,3,-3,3,-3,3
323,1,-1,0,1,0,0,1
324,1,1,-3,0,3,-3,1
325,1,-2,1,0,2,0,3
326,-1,-1,2,-3,1,0,3
327,-3,3,-2,0,1,-1,5
328,-1,-2,3,-3,-1,4,0
329,3,-3,3,-3,3,-3,3
330,-1,1,1,-1,0,-1,0
331,3,-1,-2,2,0,0,4
332,1,0,0,0,-1,2,1
333,-2,1,-1,1,-1,1,2
334,0,0,-2,3,-2,2,4
335,-1,0,1,1,-3,2,0
336,3,-2,1,-1,1,-2,3
337,0,1,0,-1,-1,3,0
338,1,-2,3,-2,0,1,3
339,0,0,-2,2,0,-1,4
340,-2,2,-1,-1,0,-1,5
341,0,2,-3,1,-1,2,2
342,0,1,-1,1,-2,3,2
343,-2,0,2,-2,-1,2,0
344,0,1,-2,3,-1,-1,2
345,0,0,0,-1,1,-1,1
346,-1,1,-1,2,-3,2,2
347,0,-1,0,2,-3,3,4
348,0,1,-1,1,-1,1,2
349,3,-3,3,-3,3,-3,3
350,3,0,-3,2,1,-3,1
351,-1,-1,0,0,-1,0,0
352,3,-3,2,-2,1,1,3
353,-1,-1,3,-2,1,0,3
354,-2,3,-2,0,1,0,5
355,-3,3,-3,2,-2,2,2
356,-1,0,-1,0,2,-3,5
357,-3,1,1,0,-1,1,0
358,-3,1,-1,3,-3,1,2
359,-1,1,-1,0,1,-1,5
360,0,0,-1,3,-1,-1,4
361,1,-2,0,3,-1,-2,4
362,0,1,0,-1,1,0,5
363,0,0,1,-1,0,0,0
364,-2,2,-2,1,-2,3,2
365,2,1,-3,1,0,1,1
366,0,0,0,0,-1,1,0
367,0,1,0,0,-1,2,0
368,0,1,-2,1,0,-1,1
369,0,0,-1,2,0,-1,4
370,-3,3,-3,3,-3,3,2
371,3,-3,3,-3,3,-3,3
372,-1,2,-3,1,1,-2,5
373,-3,3,0,-3,3,-3,5
374,1,0,-1,0,1,-1,1
375,-2,1,0,-2,3,0,5
376,-1,-1,1,-2,3,-2,3
377,2,-2,0,1,-2,3,4
378,-3,2,-2,3,-1,-1,2
379,1,-1,1,-1,2,-3,3
380,-3,3,-3,3,-3,1,2
381,-3,2,1,-2,1,0,5
382,0,1,-3,2,0,0,2
383,-3,3,0,-3,0,3,5
384,-1,2,-3,3,-2,-1,2
385,-3,2,-1,1,-2,3,2
386,1,-2,2,-1,1,-1,3
387,0,1,-2,1,2,-3,1
388,-3,3,-3,2,0,-1,2
389,1,-1,1,-1,-1,2,0
390,1,0,-1,1,-1,2,4
391,0,-1,3,0,-1,0,0
392,3,0,-3,3,-1,0,4
393,-2,3,-3,1,0,2,2
394,0,1,0,0,-1,0,0
395,0,1,0,-1,0,0,1
396,-3,2,-1,1,-1,1,2
397,-1,3,-2,-1,3,-2,5
398,0,1,-2,2,1,-2,1
399,-2,-1,3,-1,0,-2,0
400,0,0,-1,1,-2,3,4
401,3,-2,-1,1,-1,3,4
402,1,-2,2,-1,1,1,3
403,3,-1,-1,1,-1,2,4
404,0,0,-1,1,-2,3,4
405,1,-2,1,0,1,0,3
406,-2,3,-3,2,0,1,2
407,3,-3,2,-1,-1,2,3
408,1,0,1,-2,-1,3,0
409,2,-3,1,2,-3,0,4
410,2,0,1,-3,3,-2,3
411,2,-1,1,0,0,-1,1
412,0,-2,2,0,0,-1,0
413,0,-1,1,-1,2,-3,3
414,-2,1,1,1,-3,2,0
415,-1,-1,1,0,0,-2,0
416,-3,0,0,3,-3,0,2
417,-2,2,-3,3,0,-1,2
418,1,0,-1,-1,3,-2,1
419,-3,3,-3,1,0,1,2
420,-2,2,-3,3,-3,2,2
421,0,2,-3,3,-2,1,2
422,-3,2,-2,0,3,-3,5
423,1,-2,2,0,1,-3,3
424,-3,-1,0,4,-3,-1,2
425,0,0,0,2,-2,1,4
426,1,-1,-1,0,1,-1,1
427,0,1,-1,0,0,1,1
428,-1,0,1,1,-2,1,0
429,-1,1,0,0,-2,3,0
430,-1,0,2,-2,1,1,0
431,1,1,-3,3,-1,-1,4
432,-1,3,-3,3,-2,0,2
433,3,-3,3,0,-3,1,3
434,2,-3,1,0,1,0,3
435,-3,1,1,-1,1,-1,5
436,-3,0,3,-1,0,-2,0
437,3,-3,3,0,-2,1,3
438,0,-2,1,-2,0,3,3
439,-2,1,-1,1,-1,1,2
440,-1,-1,3,-1,-1,1,0
441,1,-2,-1,3,0,-3,4
442,-3,3,-3,3,-3,1,2
443,-3,3,-3,3,-2,0,2
444,3,-3,3,-3,3,-1,3
445,-1,1,-1,1,0,0,2
446,3,-2,0,2,-2,1,4
447,1,-1,0,1,1,-3,1
448,-3,3,-3,0,3,-2,5
449,-2,1,-1,1,-1,1,2
450,-1,0,1,-1,-1,3,0
451,-3,3,-3,3,-3,3,2
452,0,-2,0,1,0,0,1
453,0,0,-3,2,-1,2,4
454,3,-2,1,-1,1,-1,3
455,3,-1,-1,2,-3,3,4
456,0,2,-3,3,0,-3,2
457,1,0,-1,1,-1,1,4
458,1,1,-2,0,0,1,1
459,0,0,-1,1,-1,1,4
461,-1,0,-1,3,-2,0,2
462,-1,2,0,-1,-2,3,0
463,0,-1,0,1,-1,1,4
464,-2,-1,0,1,0,2,0
465,0,2,-2,0,1,0,5
466,-1,3,-3,2,0,0,2
467,0,1,-1,0,-1,3,1
468,1,0,-1,1,-1,0,4
469,-1,-2,0,3,-2,1,4
470,-2,3,-3,3,-2,2,2
471,-2,0,0,1,-2,3,0
472,-2,3,-3,2,0,1,2
473,1,2,-3,3,-2,2,2
474,0,0,-1,2,-3,1,4
475,1,-3,3,0,-1,1,3
476,1,0,0,0,-1,0,1
477,2,-3,3,-2,1,0,3
478,0,2,-3,0,3,0,5
479,-1,-1,2,-2,3,-2,3
480,3,-2,2,-2,1,-2,3
481,0,1,-1,1,0,0,1
482,0,2,-2,2,-1,-1,2
483,-1,1,-1,1,-2,3,2
484,-3,1,-1,3,-3,2,2
485,1,-1,2,-2,0,0,3
486,-1,0,-1,0,0,1,1
487,0,-1,1,0,-1,0,0
488,1,0,-2,1,0,1,1
489,-2,1,-1,2,-3,1,2
490,-3,2,0,-1,0,1,5
491,-1,-1,-1,1,2,-3,1
492,2,-2,-1,3,-1,0,4
493,1,1,-2,0,0,0,1
494,-1,2,-3,3,-3,2,2
495,-2,-1,0,3,-3,3,4
496,0,1,-1,1,-1,1,2
497,0,-1,2,-2,1,-1,3
498,2,-2,-1,3,-1,0,4
499,1,2,-1,-1,1,-1,1
500,1,-1,0,1,-1,1,4
501,-3,0,3,-1,0,-1,0
502,1,1,-3,3,-2,1,4
503,0,0,-1,1,-1,2,4
504,-2,0,2,-2,-1,3,0
505,-2,3,-3,3,-1,0,2
506,2,1,-1,-2,2,1,1
507,-2,0,0,1,-1,0,0
508,1,1,-2,2,-2,2,4
509,0,-1,0,1,-2,3,4
510,-3,2,0,-2,1,1,5
511,-1,1,-1,2,-3,0,2
512,1,-1,1,-1,1,1,3
513,-2,1,-1,0,2,-2,5
514,0,0,-1,0,1,0,1
515,1,0,-1,1,-1,0,4
516,-1,1,0,-1,0,1,5
517,-2,1,0,-1,0,2,5
518,-1,-2,2,1,-3,1,0
519,0,4,0,-1,-2,2,5
520,-3,1,0,0,1,1,5
521,3,-3,3,-3,3,-3,3
522,-2,1,-2,0,3,-2,5
523,0,0,1,-1,0,2,0
524,3,-3,1,1,-2,0,4
525,3,-3,2,-1,1,-1,3
526,2,-2,-1,3,-2,0,4
527,0,-2,1,0,-1,-1,0
528,-1,1,-2,3,-2,1,2
529,1,0,-1,1,0,0,1
530,-1,3,-1,1,-2,0,2
531,0,-3,2,0,-2,3,0
532,2,0,-3,2,-1,1,4
533,0,1,-1,1,-2,3,2
534,3,-1,-1,0,2,-3,1
535,0,3,-1,1,-2,1,2
536,0,3,-2,0,2,-2,5
537,-2,2,-1,1,-1,0,2
538,-1,2,-3,2,0,-1,2
539,-3,1,1,0,0,1,0
540,-3,3,-3,2,0,0,2
541,0,0,-1,0,0,0,1
542,-1,0,-2,3,-3,3,2
543,0,2,-2,1,-1,1,2
544,1,-2,2,-1,0,1,3
545,0,0,1,0,-2,2,0
546,3,-1,0,-1,2,-2,1
547,-3,2,-2,3,-2,0,2
548,-1,-1,2,-3,1,1,3
549,-2,2,-2,2,-2,0,2
550,3,0,-2,2,-3,3,4
551,-3,3,-1,-2,2,-1,5
552,-2,0,0,2,-3,2,2
553,-2,0,2,-1,-1,0,0
554,4,0,-3,1,-1,1,4
555,-1,1,-2,1,1,0,5
556,0,2,-3,2,-1,2,2
557,1,0,-1,0,0,1,1
558,0,1,-1,2,-3,2,2
559,-1,1,-1,1,-1,1,2
560,3,-3,3,-3,3,-3,3
561,0,-1,1,1,-3,2,0
562,-3,2,-1,1,-2,3,2
563,0,1,0,-1,1,0,5
564,-3,2,-1,-1,2,0,5
565,0,3,0,-1,-2,3,5
566,0,0,-2,3,-2,0,4
567,0,-1,0,0,1,-1,1
568,-1,-1,1,-2,3,-1,3
569,0,1,-3,1,0,1,2
570,1,-1,0,0,2,-2,1
571,3,-3,3,-3,3,-3,3
572,1,-2,-1,3,-2,-1,4
573,4,0,-2,0,1,0,1
574,-2,3,-2,0,1,0,5
575,-2,0,1,-1,1,-2,0
576,-2,3,-3,3,-3,0,2
577,-1,0,0,2,-2,0,4
578,-2,3,-3,2,-1,2,2
579,0,3,-2,-1,0,3,5
580,0,1,0,0,-1,1,0
581,-1,1,-1,2,-2,-1,2
582,-1,2,-1,-2,0,2,5
583,0,2,-3,0,3,0,5
584,-1,2,-2,1,-1,1,2
585,-2,3,-3,2,1,-2,2
586,-3,1,-1,3,-2,0,2
587,-3,2,-1,1,-1,1,2
588,-3,3,-3,2,-2,2,2
589,-3,0,3,-1,-1,0,0
590,-2,2,-2,2,-3,3,2
591,0,1,-1,1,0,0,1
592,-3,2,-2,2,1,-3,2
593,-2,1,-2,3,-3,3,2
594,-3,2,-1,1,-2,3,2
595,-3,-1,0,0,4,-3,5
596,2,0,-1,0,0,0,1
597,-1,1,-1,0,0,1,5
598,-3,3,-3,2,0,0,2
599,-1,3,-1,0,1,-3,5
600,0,-1,1,-1,1,-1,3
601,0,-2,-1,3,-2,1,4
602,0,-1,1,-1,2,-1,3
603,-3,3,-2,1,-1,1,2
604,0,1,-1,0,2,-2,1
605,-3,3,-2,2,-3,2,2
606,-3,3,-3,1,1,-1,5
607,-1,0,-1,3,-1,-1,2
608,0,2,-3,3,-3,1,2
609,3,0,-3,1,2,-1,1
610,0,1,0,-3,1,2,5
611,-3,0,2,-2,1,2,0
612,-1,1,-2,0,2,1,5
613,-1,0,-1,3,0,-1,2
614,3,-3,3,-1,-1,0,3
615,2,-2,1,-1,1,-2,3
616,1,-1,-2,2,0,-2,4
617,-1,3,-3,1,2,-1,5
618,2,-2,0,1,-1,2,4
619,-2,3,-1,-1,-1,2,5
620,-2,2,-2,1,-1,1,2
621,3,-2,-1,3,-2,2,4
622,-3,2,-2,1,0,1,2
623,-2,3,-3,3,-3,3,2
624,0,2,-3,2,-1,2,2
625,-3,3,-3,3,-2,1,2
626,0,-1,1,-1,0,2,0
627,0,2,-3,3,-1,-1,2
628,1,-1,0,2,-1,-2,4
629,1,-1,1,0,0,0,1
630,-3,2,-1,0,1,-2,5
631,0,2,-3,3,-2,0,2
632,0,-1,0,1,-1,2,4
633,1,-2,1,-1,1,-2,3
634,3,-3,3,-2,0,0,3
635,-2,2,0,-1,2,-3,5
636,2,-1,0,1,-1,0,4
637,1,1,-3,3,-3,2,4
638,3,-2,0,1,0,0,1
639,3,-2,1,-1,2,-3,3
640,2,-2,-1,2,-1,0,4
641,-2,0,0,2,-2,1,2
642,0,-1,1,-2,2,1,3
643,1,2,-1,1,-3,3,2
644,-1,0,0,-1,-1,3,0
645,-1,-1,1,-1,-1,1,0
646,0,1,0,0,0,-2,1
647,0,0,-1,1,-1,0,4
648,-2,1,0,0,-1,2,0
649,-3,-1,4,-1,0,0,0
650,0,0,-2,2,0,-1,4
651,2,-1,2,0,-2,0,0
652,-3,2,1,-2,2,-2,5
653,1,1,-3,3,-3,3,4
654,0,2,-3,1,1,1,5
655,0,-1,0,0,1,0,1
656,-1,1,-3,3,-3,1,2
657,-2,-1,2,1,-3,2,0
658,0,1,-1,1,-1,0,2
659,1,-2,2,-1,2,-3,3
660,-1,1,0,-2,3,-3,5
661,0,1,0,0,-2,2,0
662,-3,3,-3,2,-1,0,2
663,-2,3,-2,1,-1,1,2
664,-3,3,-2,0,2,-3,5
665,0,1,-1,1,-1,2,2
666,0,-2,2,0,0,-1,0
667,-1,2,-1,-1,3,-3,5
668,0,-1,-2,2,-2,-1,4
669,-1,1,-2,3,-3,1,2
670,-2,0,0,1,0,-1,0
671,-1,0,1,1,-3,2,0
672,1,-2,2,0,-1,2,0
673,-1,2,-1,-2,3,-2,5
674,0,2,-3,3,-3,3,2
675,0,1,0,0,-2,0,0
676,1,1,-3,1,2,-2,1
677,1,0,-2,0,3,-2,1
678,1,2,-1,0,-1,1,1
679,0,2,-3,2,-1,1,2
680,-2,1,-1,0,1,-1,5
681,0,1,-1,1,-2,2,2
682,-2,0,0,2,-2,2,2
683,-3,2,1,-3,0,3,5
684,3,0,-1,-2,0,3,1
685,-1,0,1,-1,1,-1,0
686,-1,-1,0,1,0,-1,0
687,-3,2,-1,1,-2,3,2
688,2,-1,-1,0,1,-2,1
689,-3,2,-2,3,-3,2,2
690,0,0,1,1,-3,2,0
691,-2,-1,1,2,-1,-2,0
692,1,-3,2,-1,2,-2,3
693,0,2,-1,-1,1,0,5
694,0,0,-1,1,0,-1,1
695,1,-2,-1,3,-3,3,4
696,2,-1,-1,3,-1,-1,4
697,-1,-1,0,1,-1,0,0
698,-3,2,-2,3,-1,-1,2
699,0,2,-2,0,1,0,5
700,1,0,-1,0,0,0,1
701,3,-2,2,-2,2,-2,3
702,0,2,-1,0,-1,0,2
703,0,0,-2,3,-3,2,4
704,-3,3,-2,0,1,0,5
705,-1,2,0,0,0,0,5
706,2,-1,-2,1,1,0,1
707,1,-2,-1,1,1,1,1
708,1,0,-1,2,-2,1,4
709,-1,0,-2,1,1,1,1
710,-1,-1,0,1,-2,1,0
711,0,2,1,-3,3,-3,5
712,2,1,-1,0,-1,0,1
713,-3,2,-2,3,-3,3,2
714,0,-2,3,-2,2,-3,3
715,2,-1,-1,0,0,0,1
716,2,-1,-1,0,0,1,1
717,3,0,-3,2,-1,2,4
718,1,0,-1,0,1,-1,1
719,1,1,-2,2,-3,3,4
720,1,-1,1,0,-2,3,0
721,0,4,-3,3,-1,-2,2
722,0,2,0,-3,1,-1,5
723,1,-1,0,1,-2,3,4
724,0,1,-3,2,-1,0,2
725,0,2,-2,0,0,2,5
726,-3,2,-1,2,-2,1,2
727,1,-1,1,-1,1,0,3
728,-3,0,3,-2,-1,1,0
729,-1,1,-2,2,0,-1,2
730,1,0,-1,1,-1,0,4
731,0,0,0,1,-2,3,4
732,1,-2,3,-2,2,0,3
733,-1,-2,3,-3,3,-3,3
734,2,0,-3,3,-2,1,4
735,1,1,0,1,-2,1,4
736,-1,1,-3,2,1,-1,2
737,2,0,-2,-1,1,2,1
738,4,-1,0,1,-3,3,4
739,1,-1,0,1,0,-1,1
740,-1,0,0,-1,0,-1,0
741,1,-1,1,-1,0,0,3
742,2,0,0,0,-2,1,4
743,-1,-2,0,3,-1,-1,4
744,3,-3,3,-3,3,-2,3
745,-2,2,0,-1,2,-3,5
746,1,-3,3,0,-1,0,3
747,-3,2,-1,1,0,1,2
748,2,-1,1,-1,1,-1,3
749,-2,2,-2,2,-2,3,2
750,3,-2,1,-1,1,0,3
