CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_고가_clust_id
259,-1,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,-1,3,-3,3,-3,3,5
262,-3,3,-3,3,-3,2,5
263,0,0,0,0,0,0,0
264,0,4,-3,-1,0,0,4
265,-1,2,0,1,-2,-1,5
266,3,-3,0,3,-1,-2,3
267,-3,1,2,-3,3,-3,1
268,-1,4,-1,-2,3,-3,4
269,-2,0,1,-2,1,1,1
270,4,-3,-1,0,0,0,2
271,-1,1,-1,1,-1,1,5
272,0,-1,3,-3,3,-1,1
273,3,0,-1,-2,2,0,2
274,0,0,0,0,0,0,0
275,-2,-1,3,-1,1,-3,1
276,0,0,4,-3,-1,0,1
277,-1,-1,0,1,-1,1,0
278,0,-1,0,0,0,0,0
279,-1,0,0,0,1,1,0
280,-1,1,-2,2,0,-1,5
281,-1,3,-3,3,0,-3,5
282,0,-1,3,-3,3,-2,1
283,-1,2,-2,3,0,-3,5
284,0,0,0,0,0,0,0
285,4,-2,-1,-1,0,4,2
286,0,3,-2,0,-1,-1,5
287,0,0,0,0,0,0,0
288,0,1,0,-2,2,0,0
289,-1,-2,-1,4,-3,-1,3
290,0,0,0,0,0,0,0
291,0,4,-3,-1,0,0,4
292,2,-2,0,0,0,2,2
293,3,-2,1,-2,2,1,2
294,-1,4,0,-3,3,0,4
295,-3,0,3,-3,1,1,1
296,1,-1,0,0,1,-1,0
297,-1,0,0,1,-1,2,0
298,-3,3,-2,1,-2,3,5
299,3,-3,3,-3,3,-2,2
300,0,0,0,0,0,0,0
301,0,-2,2,-1,0,1,1
302,1,0,-2,3,-1,0,3
303,-3,3,0,-2,1,-2,4
304,0,0,0,0,4,-3,0
305,3,-3,0,3,-1,-2,3
306,2,-1,1,0,-2,3,2
307,-2,1,-2,3,-2,-1,5
308,-3,3,-2,-1,1,1,4
309,3,0,-1,0,-1,0,0
310,-1,-1,4,-3,3,-3,1
311,-1,1,-1,1,-1,0,5
312,0,0,0,0,0,0,0
313,1,-1,0,0,2,-1,0
314,3,0,-3,3,-3,3,3
315,-3,3,-3,3,-2,1,5
316,-1,3,-1,-1,0,0,4
317,0,3,-3,0,3,-1,4
318,0,3,-2,1,0,-1,5
319,3,-2,0,0,1,-2,2
320,4,-3,3,0,-1,-2,2
321,0,3,-1,-2,3,-1,4
322,3,0,-3,3,-2,0,3
323,-1,0,1,0,-2,3,0
324,-2,2,0,-2,3,-2,4
325,1,0,-2,3,0,-3,3
326,-3,0,3,0,-2,1,1
327,2,1,-3,1,1,0,0
328,2,0,-3,2,-2,2,3
329,0,-2,2,-1,1,0,1
330,0,0,0,0,0,0,0
331,-3,0,-1,0,0,0,0
332,0,1,0,-2,2,0,0
333,0,0,0,-1,0,1,0
334,1,-2,0,1,-1,-1,3
335,1,2,-3,3,-3,3,5
336,-1,0,0,0,0,0,0
337,1,-1,2,-3,1,1,1
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,1,1,0,-1,0,0,0
341,-1,0,-1,1,2,-3,0
342,0,0,0,0,0,0,0
343,-1,0,-1,1,0,-2,0
344,3,0,-3,1,2,-3,0
345,-3,3,-2,1,-1,2,5
346,3,-3,-1,4,-3,0,3
347,0,0,1,1,-2,-1,0
348,0,0,0,4,-3,-1,3
349,-2,1,1,0,-2,2,0
350,-3,-1,0,4,0,-3,3
351,-2,3,-1,-1,-1,0,4
352,1,-1,1,-2,3,-3,2
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,-2,2,-3,0,-1,0,5
356,-1,3,-3,0,1,2,4
357,0,0,0,0,0,0,0
358,-1,0,1,0,-1,1,0
359,2,1,-3,0,-1,0,0
360,0,0,0,0,0,0,0
361,0,3,-2,0,1,-2,4
362,0,0,4,-1,0,-2,1
363,3,-3,3,-3,1,-1,2
364,-1,-2,3,-1,-2,3,1
365,3,-3,-1,4,-3,3,3
366,-3,-1,0,0,4,-3,0
367,0,0,1,-1,1,-1,0
368,0,-3,2,-2,3,-3,1
369,-3,0,3,-2,1,-1,1
370,0,0,0,0,0,0,0
371,4,-3,-1,0,0,0,2
372,0,0,0,0,0,0,0
373,3,0,-1,0,-2,3,3
374,-1,0,1,-1,1,-1,0
375,1,-1,1,-2,3,0,2
376,0,0,0,0,0,0,0
377,-2,1,-2,3,-2,1,5
378,0,3,-1,-1,1,0,4
379,3,-3,3,-1,0,-2,2
380,0,0,0,0,0,0,0
381,-1,3,-2,2,-2,-1,5
382,3,0,-3,3,-3,0,3
383,-2,2,1,-1,-1,0,0
384,0,0,0,0,0,0,0
385,4,-3,3,-3,-1,4,2
386,1,-1,-2,0,3,-3,0
387,3,-1,-2,2,0,-2,3
388,-1,2,-3,2,0,-1,5
389,0,1,0,-1,-1,3,0
390,4,-1,-2,-1,0,0,2
391,-3,1,0,2,0,-2,5
392,0,0,0,0,4,-1,0
393,-2,3,-3,3,-3,2,5
394,1,-2,3,-3,1,-1,1
395,0,4,-3,-1,0,0,4
396,-2,1,2,-2,0,-1,1
397,0,4,-3,-1,0,0,4
398,-1,1,-3,3,-1,-2,5
399,0,1,0,0,-1,1,0
400,0,1,0,-1,1,-1,0
401,-1,2,0,-2,0,3,4
402,3,-2,0,1,-1,0,2
403,-1,0,0,0,4,-2,0
404,2,-3,3,-3,0,3,2
405,-1,-2,2,0,-1,-1,1
406,0,0,0,0,0,0,0
407,-1,2,-3,1,0,2,5
408,-1,-1,3,-3,0,-1,1
409,0,0,0,2,-2,2,3
410,0,0,0,0,0,0,0
411,0,1,-1,2,-2,0,5
412,1,1,0,0,-1,0,0
413,3,-3,0,3,-2,1,3
414,0,0,-2,3,-2,1,3
415,0,0,0,0,0,0,0
416,-1,-1,-1,1,2,-1,0
417,1,-1,1,-1,1,0,0
418,0,0,0,0,0,0,0
419,-1,1,-1,0,0,2,0
420,-1,-1,3,-1,-1,-1,1
421,0,0,2,-2,0,0,1
422,-3,3,-3,-1,4,-3,4
423,2,-1,1,0,0,1,2
424,0,0,0,0,0,0,0
425,-3,-1,0,4,-3,3,3
426,-3,2,0,-1,-1,2,4
427,3,-2,-1,3,-2,-1,3
428,0,0,-1,3,-2,-1,3
429,-2,-1,3,-2,0,2,1
430,0,1,-2,2,0,-1,5
431,-1,0,0,2,-2,0,3
432,-3,1,-1,0,3,0,4
433,-1,2,-3,3,-3,2,5
434,-1,0,1,0,0,-2,0
435,0,-1,1,-1,3,-3,0
436,-2,2,0,-1,0,2,4
437,0,0,0,0,0,0,0
438,-1,-1,2,1,-2,-1,0
439,0,0,0,0,0,0,0
440,2,-2,0,0,-1,3,2
441,-3,0,3,0,-1,-1,1
442,0,0,0,4,-3,-1,3
443,-2,1,-1,0,1,-2,0
444,3,-3,3,0,-2,2,2
445,0,4,-3,-1,0,0,4
446,-3,3,-3,3,-2,0,5
447,-1,-1,4,-2,-1,3,1
448,-2,-1,3,-3,3,-2,1
449,1,-2,0,1,0,-2,0
450,-2,0,0,0,-1,3,0
451,-1,4,-3,-1,4,-3,4
452,0,0,0,0,0,0,0
453,-2,0,0,0,1,0,0
454,0,0,4,-2,2,-3,1
455,3,-2,0,-1,0,3,2
456,-3,3,-2,0,2,-3,4
457,-1,3,-2,1,-2,2,5
458,0,0,0,0,0,0,0
459,2,-3,3,-3,3,-1,2
461,0,0,0,0,0,0,0
462,1,-3,2,0,0,-2,2
463,0,0,1,-1,0,0,0
464,-1,-1,-1,3,-2,-1,3
465,-1,0,0,0,0,0,0
466,-3,3,-2,0,-1,3,5
467,2,0,-2,-1,4,-2,0
468,-2,0,0,1,-1,1,0
469,-1,1,2,-1,1,-3,1
470,-3,-1,0,0,0,0,0
471,-1,-1,2,-2,-1,3,1
472,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,0,2,-2,3,-1,1,5
475,3,-3,3,-3,3,-3,2
476,0,0,0,0,0,0,0
477,2,-1,0,-1,2,-1,2
478,1,-1,-1,0,0,-1,0
479,0,0,0,0,0,0,0
480,-1,1,-1,1,0,-1,0
481,-2,3,-2,2,-2,0,5
482,-3,3,-3,3,-2,-1,5
483,0,-2,-1,3,-2,-1,3
484,0,3,-1,-1,2,0,4
485,2,0,-2,3,0,-3,3
486,0,1,-1,0,-1,3,0
487,3,-3,-1,0,0,0,2
488,0,0,0,0,0,0,0
489,1,2,-2,0,1,-2,4
490,0,-1,1,-1,1,0,0
491,0,0,0,4,-3,3,3
492,-1,-2,2,-2,3,0,1
493,0,0,0,0,0,0,0
494,-1,-1,2,0,1,-1,0
495,0,0,0,0,0,0,0
496,-1,0,0,4,-3,3,3
497,0,0,0,0,0,0,0
498,0,3,-3,-1,0,0,4
499,0,0,0,0,0,0,0
500,1,-1,0,1,-2,3,3
501,1,1,-3,2,0,0,5
502,-3,2,0,-2,0,2,4
503,-1,3,-3,1,2,-2,4
504,-1,0,1,0,0,-1,0
505,0,3,0,-2,-1,1,4
506,-2,1,1,-3,3,-2,4
507,1,0,-1,1,-1,1,0
508,-1,1,0,2,-3,3,5
509,0,-2,0,3,-1,-1,3
510,0,3,-1,-1,-1,1,4
511,0,4,-3,-1,0,0,4
512,0,0,0,0,4,-3,0
513,-1,3,-3,3,-3,3,5
514,-1,4,-3,3,-3,3,5
515,-2,3,-2,2,-3,1,5
516,-1,0,4,-3,-1,0,1
517,1,1,-2,0,-1,2,0
518,2,-1,0,0,1,0,2
519,-3,3,-2,0,1,0,4
520,3,-1,-2,3,-3,1,3
521,0,0,0,1,0,0,0
522,0,0,4,-3,-1,0,1
523,0,0,0,0,0,0,0
524,-3,-1,0,0,0,0,0
525,-3,3,-3,3,-3,3,5
526,2,-1,-1,3,0,-3,3
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,-1,3,-1,-1,0,0,4
530,-1,0,-2,2,-1,2,5
531,-1,-1,0,2,-3,1,3
532,2,-1,1,0,0,-1,2
533,0,0,0,0,0,0,0
534,0,0,4,-3,-1,0,1
535,0,-1,3,-2,1,-1,1
536,-3,2,-2,-1,0,0,4
537,0,0,0,0,0,0,0
538,1,1,-3,2,-1,0,5
539,3,-2,2,-1,-2,3,2
540,-1,-2,-1,4,-3,-1,3
541,0,0,0,0,0,0,0
542,0,-2,0,-1,2,-2,0
543,0,0,0,0,0,0,0
544,0,-3,0,3,-1,-1,3
545,0,1,-1,1,0,1,0
546,0,2,1,-2,1,-2,4
547,0,-1,1,-1,1,-1,0
548,1,-2,2,-3,2,1,1
549,-3,2,0,-1,0,2,4
550,4,-3,3,-2,2,-2,2
551,0,0,0,0,4,-3,0
552,-2,1,-1,-1,3,-2,4
553,-2,1,-2,3,-2,-1,5
554,0,-2,3,-2,1,-1,1
555,-1,0,4,0,-3,3,1
556,0,0,0,0,0,0,0
557,-1,4,-3,-1,0,0,4
558,1,2,-2,-1,3,-3,4
559,1,-2,2,-1,0,2,2
560,0,3,-1,1,-1,-1,5
561,-2,-1,3,0,-2,1,1
562,3,-3,0,3,-1,-2,3
563,3,-1,0,-1,1,-2,2
564,0,-1,1,-2,3,-3,0
565,0,0,-1,1,0,-1,0
566,-1,3,-3,3,-3,3,5
567,1,-3,3,-3,0,2,1
568,4,-3,-1,4,-2,2,3
569,-1,0,0,-2,0,3,0
570,0,0,0,0,0,0,0
571,3,-3,2,0,1,-3,2
572,1,-1,0,2,-2,0,3
573,-1,-2,3,-1,-2,2,1
574,0,-1,2,-3,3,-3,1
575,-1,-1,0,2,-3,3,3
576,4,-2,0,1,-2,3,2
577,-1,4,-2,1,-2,0,5
578,-1,1,-1,1,-1,0,5
579,0,0,0,0,0,0,0
580,0,4,-3,-1,4,-3,4
581,0,0,0,0,4,-3,0
582,-2,-1,1,2,-2,0,3
583,0,0,0,0,0,0,0
584,-2,3,-1,-2,2,-1,4
585,0,0,-1,0,1,-2,0
586,0,-1,0,0,1,-1,0
587,-3,3,-2,-1,3,-2,4
588,-1,-1,-1,1,2,-2,0
589,2,-3,0,3,-1,-1,3
590,-2,2,-2,-1,3,-1,4
591,-3,-1,0,0,0,0,0
592,0,-3,2,-2,3,-3,1
593,-2,-1,3,0,-1,0,1
594,1,1,-2,-1,1,2,0
595,1,-1,-1,3,-2,1,3
596,3,-2,1,-1,1,-2,2
597,-1,-1,0,1,0,-2,0
598,-3,0,-1,0,0,4,0
599,-1,4,-3,3,0,-1,5
600,0,0,0,4,-1,0,3
601,3,-3,1,-1,-1,0,2
602,3,-1,-2,3,-2,1,3
603,2,-2,1,-2,0,3,2
604,-3,1,2,-3,0,3,1
605,0,0,0,0,0,0,0
606,-2,3,-3,0,-1,4,5
607,-3,-1,0,4,-3,3,3
608,-1,0,-1,3,-3,3,3
609,0,0,0,0,0,0,0
610,3,-3,3,-3,3,-1,2
611,-1,0,1,1,-2,1,0
612,-1,3,-1,-2,0,3,4
613,-1,2,-3,3,-3,0,5
614,-2,1,1,1,-2,1,0
615,-1,-1,3,-1,0,-2,1
616,4,-3,3,-2,0,-1,2
617,0,0,-2,1,2,-3,0
618,-2,-1,2,-2,2,1,1
619,0,0,0,0,0,0,0
620,0,-1,1,-1,0,0,0
621,0,0,0,0,0,0,0
622,-1,1,2,-1,-1,2,1
623,0,4,-2,1,-1,1,5
624,0,0,0,0,0,0,0
625,3,-3,1,-1,-1,4,2
626,0,0,0,0,4,-3,0
627,-1,-1,0,0,2,-2,0
628,0,0,0,0,0,0,0
629,3,-2,2,-2,-1,-1,2
630,3,-3,1,1,-1,-1,2
631,1,-1,2,-3,2,1,1
632,0,4,-1,-2,3,-3,4
633,1,1,-1,1,0,-1,0
634,0,1,2,-2,-1,3,1
635,3,0,-3,0,1,2,0
636,-3,3,-1,1,-2,-1,5
637,3,-3,3,0,-3,3,2
638,-1,1,-3,2,0,0,5
639,2,0,0,-1,0,2,0
640,-2,2,1,-1,-2,2,0
641,0,1,-1,0,0,2,0
642,-3,2,-1,2,-3,2,5
643,2,-3,2,1,-3,0,3
644,-1,-2,-1,4,-2,-1,3
645,0,3,-3,3,-3,2,5
646,0,4,-3,3,-3,-1,5
647,0,0,0,0,0,0,0
648,-1,0,1,-1,2,-3,0
649,-2,1,2,-2,1,-1,1
650,0,0,0,0,4,-3,0
651,-2,0,1,-1,1,0,0
652,0,0,1,-1,2,-3,0
653,-1,0,0,0,4,-3,0
654,0,3,-1,1,-3,3,5
655,-1,0,0,0,0,0,0
656,0,0,0,2,-3,3,3
657,2,0,-2,1,2,-1,0
658,2,-3,0,3,-1,-2,3
659,0,0,0,0,0,0,0
660,0,0,0,0,0,4,0
661,-1,-1,3,-3,-1,0,1
662,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0
664,-2,2,0,-1,1,-1,4
665,-2,2,1,-2,0,1,4
666,0,0,4,0,-3,0,1
667,3,-3,0,3,-2,0,3
668,0,0,0,0,0,0,0
669,-3,2,0,-2,3,-1,4
670,1,0,0,0,-2,2,0
671,4,-3,-1,0,0,0,2
672,-1,3,-3,3,-3,3,5
673,1,-1,2,-2,-1,2,1
674,-1,1,-1,-1,0,3,0
675,0,-2,0,-1,3,-3,0
676,-3,3,-3,3,-2,-1,5
677,0,3,-1,1,-3,3,5
678,3,-3,-1,0,0,0,2
679,0,0,0,0,0,0,0
680,0,4,-1,-2,3,-3,4
681,2,1,-3,1,1,0,0
682,0,0,0,0,4,-3,0
683,0,0,0,0,0,0,0
684,-1,4,-1,-2,-1,0,4
685,0,0,0,0,0,0,0
686,-1,1,1,0,-1,1,0
687,0,0,-3,1,-1,3,5
688,0,0,0,0,4,-3,0
689,-2,3,-2,1,-1,0,5
690,-2,1,0,-1,0,1,0
691,1,-3,3,0,-3,0,1
692,0,-3,2,0,1,-3,2
693,0,0,1,1,-3,1,3
694,2,0,-2,3,-3,3,3
695,3,-3,-1,4,-1,-2,3
696,3,0,-3,2,-2,3,3
697,-3,3,-3,2,1,-3,5
698,-1,3,0,-2,1,-2,4
699,-2,-1,0,0,0,0,0
700,0,0,4,-3,-1,0,1
701,3,-3,2,0,-1,1,2
702,-3,3,-3,3,-3,-1,5
703,0,-2,0,3,-1,-2,3
704,1,-3,1,2,0,-3,3
705,0,0,0,0,0,0,0
706,3,-3,3,-3,2,-2,2
707,-3,3,-2,-1,3,-1,4
708,3,-2,1,0,-1,0,2
709,-2,3,-3,3,-3,1,5
710,-3,0,0,-1,0,0,0
711,1,-2,0,-1,3,-3,2
712,1,0,0,-2,3,-3,0
713,3,-2,1,-2,3,-1,2
714,1,-1,3,-3,3,-1,1
715,-2,1,-2,1,-1,3,5
716,2,1,-3,3,0,-3,3
717,0,1,-1,0,1,-2,0
718,-3,3,-1,-2,3,-3,4
719,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0
722,-1,0,0,0,4,-3,0
723,-3,3,-3,3,-3,3,5
724,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0
726,0,0,0,0,4,-3,0
727,1,0,-1,1,0,0,0
728,3,-3,3,0,-3,3,2
729,3,-2,-1,3,-3,3,3
730,-3,0,-1,4,-1,-2,5
731,-1,4,-3,-1,0,0,4
732,-2,0,3,-1,0,-1,1
733,-2,1,-2,3,-3,0,5
734,3,-3,3,-3,3,-2,2
735,-2,-1,2,0,0,-2,1
736,-2,-1,3,-2,1,-1,1
737,0,0,4,-3,3,-3,1
738,-3,-1,0,0,0,4,0
739,0,0,4,0,-3,-1,1
740,0,0,0,0,0,0,0
741,-3,-1,0,0,0,0,0
742,1,-2,-1,4,-2,-1,3
743,0,0,0,4,-3,-1,3
744,-3,-1,0,0,0,4,0
745,4,-3,-1,0,4,0,2
746,0,-2,3,-2,-1,3,1
747,1,-1,0,2,-1,0,3
748,-2,3,-2,0,2,-1,4
749,-1,4,-3,3,-3,-1,5
750,0,0,0,0,4,-3,0
751,0,0,0,0,0,0,0
752,3,-3,3,0,-1,-2,2
753,0,0,0,0,0,0,0
754,1,2,-3,2,-2,2,5
755,0,1,-2,-1,3,0,4
756,-1,-2,-1,4,-3,3,3
757,1,-3,2,1,-1,0,2
758,-3,3,-1,0,-1,-1,5
759,-2,3,-2,2,-2,1,5
760,0,0,0,0,4,-3,0
