CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,식품_생활_중가_clust_id
173,1,-1,0,1,-1,2,3
175,1,-1,1,0,0,-1,1
176,2,-2,0,0,0,2,3
177,1,-2,2,0,-2,3,1
178,-1,0,1,0,-1,1,1
179,-2,1,0,0,-1,1,1
180,0,0,1,1,-3,2,1
181,2,0,-2,1,-2,1,3
182,0,0,-2,2,0,-1,5
183,1,-1,1,-1,0,1,4
184,-3,2,-2,1,1,1,2
185,0,-1,0,-1,-1,0,1
186,-3,2,0,0,-1,-1,2
187,0,3,-3,3,0,-3,0
188,1,-1,1,-1,1,0,4
189,0,1,0,-3,0,3,2
190,1,0,0,-1,-1,3,1
191,3,-3,3,-3,2,-1,4
192,-1,0,-2,2,-1,1,0
193,-1,1,-1,1,0,0,0
194,1,-1,0,1,0,-1,3
195,0,0,0,1,-1,-1,1
196,-1,0,0,1,1,-2,5
197,1,0,2,-2,1,-1,4
198,-1,0,1,1,-1,-2,1
199,-3,1,2,-1,-2,1,1
200,3,-2,0,0,0,-1,3
201,3,-3,2,-1,-1,1,4
202,1,-1,-1,0,0,2,5
203,-1,1,-1,1,-1,-1,0
204,-2,1,2,-1,0,-1,1
205,1,-1,0,1,-1,1,3
206,2,-2,0,0,0,1,3
207,1,0,-2,2,-2,3,3
208,-3,0,3,-3,0,3,1
209,2,-3,2,0,0,-1,4
210,1,1,-3,3,-3,3,0
211,1,-1,1,0,-2,1,1
212,-1,1,-2,3,-2,0,0
213,-1,0,1,0,-1,0,1
214,-1,0,0,0,2,-1,2
215,0,-1,1,-1,2,-2,4
216,-1,1,-2,3,-3,1,0
217,-2,0,-1,3,-3,2,0
218,-2,-1,3,-3,2,0,4
219,3,-1,0,0,-2,2,3
220,0,2,-2,1,-2,3,0
221,0,0,-1,0,2,-2,5
222,2,-3,2,-1,-1,2,4
223,3,-2,1,1,-2,0,3
224,1,0,1,-2,1,0,4
225,-1,3,0,-3,3,0,2
226,-2,3,-3,3,-3,3,0
227,1,1,-3,1,1,-1,5
228,1,-1,1,1,0,-2,3
229,-2,0,1,-1,0,-1,1
230,1,0,0,0,-1,0,1
231,0,1,-1,1,-2,2,0
232,2,-1,0,-2,3,-3,4
233,-1,1,-1,2,-2,0,0
234,-1,2,-2,1,-2,3,0
235,0,-1,2,1,-1,-2,1
236,-2,3,-3,3,-1,0,0
237,3,-3,3,-3,3,-3,4
238,-2,1,-2,3,-3,2,0
239,-3,1,2,0,-3,0,1
240,0,-2,0,3,-1,1,3
241,0,-1,0,1,-1,1,3
242,0,1,-2,1,0,-2,5
243,-1,1,0,0,0,-1,2
245,1,0,-2,2,-1,1,3
246,1,1,-1,1,-3,2,3
247,1,0,-2,2,-1,1,3
248,-1,1,0,-1,1,-1,2
249,0,-2,2,-3,2,0,4
250,1,0,0,-1,1,-2,5
251,1,-2,2,0,0,-1,4
252,0,1,-2,2,-2,3,0
253,0,-2,-1,0,3,-3,5
254,0,0,-2,1,0,2,5
255,-1,1,-1,1,-1,2,0
256,-2,0,0,2,-3,3,0
257,1,0,-1,1,-1,2,3
258,1,-3,3,0,-1,-1,4
259,0,-1,1,-1,-1,3,1
260,0,-1,-1,2,0,-1,3
261,2,1,-3,1,2,-2,5
262,0,1,0,-1,0,0,2
263,3,-3,1,1,0,-2,3
264,-1,1,-1,0,1,0,2
265,-3,3,-2,1,1,-3,2
266,-3,0,3,0,-1,-2,1
267,-3,1,1,-2,1,2,2
268,2,-1,1,0,-2,3,3
269,-1,3,-1,-1,2,-3,2
270,-1,0,1,0,-1,0,1
271,-3,1,-1,3,-2,1,0
272,0,1,-1,1,0,-1,5
273,0,0,-2,1,-1,2,0
274,-1,1,0,1,-3,2,0
275,2,-1,1,-1,1,0,4
276,-2,2,-3,2,-2,2,0
277,0,-2,2,0,0,0,1
278,3,-2,0,1,-2,2,3
279,0,-1,-1,1,0,2,5
280,-3,0,2,1,-3,3,1
281,3,-2,2,-3,3,-3,4
282,-3,1,1,1,-2,1,1
283,1,0,1,-2,0,0,4
284,3,-3,2,-2,3,0,4
285,0,0,-1,0,1,0,5
286,2,0,0,-1,2,-2,5
287,-3,1,1,1,-2,0,1
288,0,0,-1,0,0,1,5
289,0,-2,0,-1,1,1,4
290,1,-1,-1,0,0,0,5
291,-2,1,-2,3,-2,2,0
292,-2,0,1,-1,1,0,2
293,-1,-2,3,-2,1,-1,4
294,3,0,-3,3,-3,0,3
295,-2,2,-1,1,-3,0,0
296,-1,-2,3,-3,0,1,4
297,-3,3,0,-3,1,0,2
298,-2,0,1,-1,0,1,1
299,0,2,-1,-1,-1,2,2
300,-1,0,0,2,-2,0,0
301,-2,0,0,2,-3,1,0
302,-2,2,-3,3,-3,3,0
303,0,0,-2,2,-1,2,0
304,0,-2,0,1,1,-2,5
305,-2,2,-2,2,0,-2,0
306,0,1,-1,2,0,-3,0
307,0,-1,0,1,0,-2,1
308,-3,2,-1,0,1,0,2
309,-1,-1,0,3,-3,2,3
310,0,-2,2,0,0,-2,1
311,-3,2,-1,-1,3,-3,2
312,1,-1,0,2,-1,-2,3
313,0,1,-3,2,-2,3,0
314,1,1,0,-1,1,0,5
315,-3,1,0,0,2,-2,2
316,1,1,-2,1,-2,3,0
317,-1,0,1,-1,0,0,1
318,0,-1,0,1,0,0,1
319,0,1,-2,2,0,-1,0
320,3,-2,2,-3,1,1,4
321,1,-2,0,0,2,-3,4
322,-2,0,0,2,-3,2,0
323,-1,1,-2,3,-2,2,0
324,-3,3,-1,-2,2,-1,2
325,-1,0,-1,2,0,-1,0
326,-1,1,1,-3,2,1,2
327,2,0,-1,1,0,-2,5
328,-2,0,3,-2,2,-3,4
329,1,-1,1,0,-2,2,1
330,0,-1,3,-1,-1,0,1
331,0,1,-1,1,-1,-1,0
332,1,-1,-2,3,-3,1,3
333,0,0,-1,1,0,-1,5
334,-3,3,-3,3,-2,1,0
335,2,-3,3,-2,-1,3,4
336,0,0,0,1,-1,1,1
337,-2,2,0,0,-3,2,0
338,2,-1,2,-3,0,3,4
339,0,-2,3,-1,-1,1,1
340,-2,0,0,1,-1,0,1
341,-2,2,-3,3,-3,2,0
342,1,0,0,-2,2,-2,4
343,0,0,1,1,-3,3,1
344,0,1,-2,3,-2,1,0
345,-2,3,-3,2,-1,1,0
346,-1,2,-3,2,1,0,0
347,-1,2,-2,0,1,-1,2
348,1,-2,-1,2,-1,0,3
349,0,-1,2,-1,1,-2,4
350,-1,0,-2,3,-1,-2,0
351,1,0,1,-2,0,0,4
352,0,2,-3,2,0,0,0
353,-2,1,1,-1,-2,2,1
354,-2,-1,0,3,-1,0,0
355,-1,2,-2,-1,3,-1,2
356,3,-1,-2,0,2,-2,5
357,1,0,-1,1,-1,1,3
358,-2,3,0,-3,3,-2,2
359,0,0,2,-2,-1,1,1
360,1,0,-2,3,-1,-1,3
361,3,-2,-1,2,0,0,3
362,1,2,-2,1,1,-3,5
363,0,1,2,-2,1,-1,4
364,-1,-1,1,0,-1,1,1
365,1,-2,-1,1,2,-2,5
366,0,-2,1,-2,3,0,4
367,-1,2,-1,1,0,0,0
368,1,-3,2,0,-1,1,4
369,-3,3,-3,3,0,-3,0
370,-1,1,-1,2,-1,0,0
371,3,-1,-2,3,-3,1,3
372,-1,1,0,0,0,-2,2
373,-2,3,0,-1,-2,3,2
374,0,2,-2,0,0,1,5
375,-1,-1,1,0,-2,2,1
376,0,-2,3,-2,1,-1,4
377,0,-1,0,2,-3,3,3
378,0,0,1,-3,0,3,4
379,-2,3,-2,1,-1,0,0
380,-2,1,-1,1,-1,1,0
381,-1,0,1,0,-2,2,1
382,-1,0,1,-2,0,1,1
383,-3,3,-3,3,-3,0,0
384,-2,3,-1,1,-2,-1,0
385,0,-2,1,2,-2,1,3
386,0,-2,0,3,0,-3,3
387,-2,1,-2,1,-1,2,0
388,3,-2,1,-1,0,2,4
389,2,-2,3,-1,0,-1,4
390,-1,1,-2,3,-2,1,0
391,2,-3,3,-1,1,0,4
392,1,1,-1,2,-1,1,3
393,-3,3,-3,2,0,0,0
394,-1,2,0,0,-2,2,0
395,0,1,0,-1,0,0,2
396,-1,2,-3,2,-2,2,0
397,-1,2,0,0,0,-2,2
398,-2,2,0,-2,3,-2,2
399,-2,-1,3,-3,0,3,1
400,1,-1,2,-2,0,2,4
401,3,-1,0,-2,0,2,4
402,0,2,-2,1,-1,-1,0
403,-1,2,-2,1,-2,1,0
404,2,-2,1,0,-1,0,3
405,2,-2,2,-1,1,-1,4
406,0,2,-2,0,2,-1,2
407,-3,0,1,2,-1,-2,1
408,3,-2,0,1,-2,1,3
409,-2,2,-1,-2,0,3,2
410,-2,3,-1,1,0,-3,0
411,2,0,-2,2,1,-3,5
412,-2,1,0,0,-2,2,1
413,2,-2,0,-1,3,-3,4
414,-3,3,-2,2,-2,-1,0
415,2,-3,2,0,-1,-1,4
416,-1,-1,2,-1,-2,3,1
417,-2,2,-2,0,3,-2,2
418,-1,0,-2,2,1,-3,5
419,-1,2,0,-2,1,2,2
420,0,-1,-1,3,-3,3,3
421,1,0,0,-1,1,-1,5
422,-2,0,0,1,-1,1,1
423,1,-2,3,-1,1,-3,4
424,-1,-1,1,2,-2,1,1
425,-1,1,-2,3,-2,1,0
426,-3,3,-3,1,2,-1,2
427,3,-2,0,2,-2,2,3
428,2,-1,1,-1,1,1,4
429,-2,-1,2,1,-3,3,1
430,-3,3,-1,-1,2,-3,2
431,2,-2,2,-2,-1,2,4
432,-3,3,-2,2,-3,3,0
433,3,-1,-2,3,-3,2,3
434,3,-2,1,-1,1,0,4
435,-1,-1,2,1,0,-3,1
436,1,-3,3,-1,-2,3,4
437,3,-2,1,-1,2,-1,4
438,-2,3,-3,3,-3,1,0
439,-2,-1,3,-2,1,-1,1
440,2,-3,2,-1,-1,3,4
441,1,0,-2,3,-1,-2,3
442,0,0,-1,1,-1,1,3
443,1,2,-1,-2,3,-3,2
444,1,-3,0,3,-3,0,3
445,-2,3,-3,1,2,-1,2
446,1,1,-2,1,-1,2,5
447,1,-1,-1,3,-1,-1,3
448,0,1,1,-3,1,0,2
449,-1,0,1,0,-1,1,1
450,-1,0,2,-3,2,-1,4
451,1,-1,0,1,0,-2,3
452,0,-1,0,1,-1,0,3
453,-3,3,-3,2,0,1,0
454,-1,2,-3,3,-2,-1,0
455,-1,1,-2,3,-2,2,0
456,2,0,-2,3,0,-1,3
457,0,-1,0,2,-1,0,3
458,1,0,-1,1,0,-1,5
459,0,0,-1,1,-2,2,3
461,-2,1,-1,2,-3,2,0
462,3,-2,2,0,-3,0,3
463,2,-3,2,-1,2,-3,4
464,-3,1,1,-1,0,0,2
465,-1,3,-2,1,0,1,0
466,2,-3,3,-3,3,0,4
467,-3,3,-2,0,-1,3,0
468,-1,1,1,-2,-1,1,1
469,3,-1,-2,3,-3,2,3
470,-3,1,0,2,-1,-2,0
471,0,-2,-1,3,-3,3,3
472,-1,1,-1,2,-2,1,0
473,-1,1,0,-1,1,-1,2
474,0,-1,0,1,-1,0,3
475,2,-2,0,0,1,-1,4
476,-1,1,-1,2,-2,0,0
477,3,-3,3,-3,0,3,4
478,-3,3,-1,-2,3,0,2
479,-1,1,0,0,-1,0,1
480,0,1,0,-1,0,1,2
481,3,-3,2,-2,2,0,4
482,-1,1,-2,0,2,-2,2
483,0,0,-1,2,-2,1,3
484,2,-2,1,-1,2,-3,4
485,3,-2,2,-3,3,-3,4
486,-3,2,1,-2,0,-1,2
487,0,-1,0,2,-2,1,3
488,0,0,-2,3,-2,0,0
489,0,0,1,0,-3,1,1
490,-1,1,0,0,-2,3,1
491,3,-3,2,-1,1,-2,4
492,0,-3,0,2,-2,3,3
493,-2,2,0,-1,0,1,2
494,0,1,-3,2,0,1,0
495,2,-1,1,1,-1,0,3
496,0,1,-1,1,-1,1,0
497,1,-1,1,-1,1,0,4
498,3,-1,1,-1,-1,0,4
499,-2,3,-1,0,0,-2,2
500,-2,1,1,-1,-1,2,1
501,-2,0,1,-1,1,-1,2
502,0,0,0,-1,-1,2,1
503,2,0,-1,0,0,1,5
504,-1,1,0,1,-3,3,0
505,-2,3,-2,1,-1,1,0
506,1,0,1,-1,0,0,1
507,-1,1,-2,2,-1,1,0
508,3,-3,3,-1,-1,0,4
509,3,-3,2,-2,2,0,4
510,-2,3,-2,0,1,-1,2
511,0,0,-2,2,-2,2,0
512,1,0,0,0,-1,1,1
513,-1,2,-2,1,-2,2,0
514,-1,-1,1,1,0,0,1
515,0,-1,-1,1,0,2,5
516,-1,1,-1,0,0,2,2
517,-1,2,-2,0,-1,3,0
518,-1,0,1,-1,1,0,1
519,-2,3,-1,0,-1,0,0
520,-1,1,-1,-1,1,0,2
521,-1,2,-1,-1,-1,3,2
522,0,0,-2,1,1,0,5
523,-1,-1,3,-2,0,0,1
524,1,-1,1,-1,0,-1,4
525,-1,0,2,-1,-2,1,1
526,0,-1,1,0,0,-1,1
527,0,-2,0,2,-2,0,3
528,0,-1,1,0,0,0,1
529,-1,1,1,-1,-1,1,1
530,1,-2,0,2,-2,0,3
531,-1,-2,3,-1,1,-1,4
532,3,-3,1,1,1,0,4
533,2,-1,-1,1,0,0,3
534,0,-3,1,1,0,1,1
535,-1,1,2,-3,3,-2,2
536,0,0,2,-3,3,-3,4
537,-1,1,0,0,-1,0,1
538,-1,-1,2,-3,1,2,4
539,-2,3,-1,-1,1,-2,2
540,-3,2,1,-2,1,-1,2
541,1,-1,0,1,0,-2,3
542,0,0,-1,1,-1,2,3
543,-2,3,-3,3,-3,3,0
544,-1,-1,3,-2,0,2,1
545,3,-3,0,1,2,-1,4
546,3,-2,2,-3,1,-1,4
547,1,0,-2,2,1,-3,5
548,3,-2,2,-2,1,-1,4
549,2,-1,1,-2,2,-1,4
550,1,0,-3,2,1,-2,5
551,-1,0,1,0,-1,1,1
552,-1,0,1,-1,1,-1,1
553,1,-1,0,1,-1,2,3
554,-3,3,-2,0,-1,3,0
555,0,1,-1,1,1,-2,5
556,0,2,-2,0,0,1,5
557,-2,2,0,0,-1,0,2
558,-1,3,-3,3,-3,1,0
559,0,0,-1,0,1,0,5
560,3,-3,1,2,-3,1,3
561,-1,-2,3,0,-2,0,1
562,-3,3,-1,-2,1,-1,2
563,-1,0,1,0,-1,0,1
564,-1,1,-1,-1,2,0,2
565,1,-1,1,-1,-1,3,1
566,2,-1,0,2,-1,-1,3
567,2,-2,1,-1,0,1,4
568,-1,-1,1,0,-1,1,1
569,0,1,-3,0,3,-1,5
570,0,1,0,-1,-1,2,1
571,0,-3,2,-2,3,-2,4
572,1,-2,-1,3,-3,2,3
573,0,-2,2,-2,0,1,4
574,0,0,1,-2,3,-2,4
575,-1,-1,2,0,-1,1,1
576,-1,0,1,1,-3,0,1
577,1,2,-3,1,1,0,5
578,-1,1,-1,0,1,-1,2
579,-2,0,2,-1,-2,1,1
580,2,-3,3,-1,-1,1,4
581,1,-1,1,-1,-1,1,1
582,-2,0,1,-1,0,-1,1
583,0,2,-3,0,3,-2,5
584,1,0,-1,2,-2,0,3
585,2,-2,1,-1,0,0,4
586,1,-2,0,0,1,-1,5
587,1,-1,-1,3,-1,-1,3
588,2,0,-2,3,-3,2,3
589,0,1,-1,3,-1,-1,0
590,3,-2,1,0,-2,3,3
591,1,-1,1,0,-1,1,1
592,0,1,1,-2,-1,3,1
593,-3,2,-2,3,-3,3,0
594,-2,1,-2,3,-3,3,0
595,-2,1,0,1,-1,1,0
596,0,1,-2,1,0,-1,5
597,-1,2,-2,0,1,0,2
598,1,-2,0,0,1,1,5
599,-3,3,-3,3,-3,2,0
600,1,-3,2,0,0,-1,4
601,3,-2,1,-1,2,0,4
602,3,-3,3,-3,2,0,4
603,-2,0,1,-2,3,-1,2
604,-3,3,-3,1,2,0,2
605,1,-2,1,2,-3,1,3
606,-1,3,-2,-1,3,0,2
607,-2,2,0,0,-1,0,2
608,0,1,-1,1,0,1,5
609,2,-1,-2,3,-2,1,3
610,-2,2,-1,-2,0,3,2
611,-3,1,2,-2,2,-1,2
612,-2,3,-3,0,1,-1,2
613,1,1,-2,0,1,-1,5
614,-3,0,1,2,-3,3,1
615,1,1,-2,2,-3,1,0
616,-1,0,0,1,-2,3,1
617,-2,0,1,0,0,-1,1
618,3,-1,-1,-1,1,2,5
619,-1,1,-2,2,-2,1,0
620,-2,2,-3,3,-3,3,0
621,1,0,-1,0,2,-2,5
622,-2,2,-2,1,2,-2,2
623,0,1,-3,1,1,-2,5
624,0,2,-3,2,-1,2,0
625,-1,1,-2,0,0,1,2
626,-2,-1,2,-1,2,-1,1
627,0,0,-2,3,-3,3,0
628,1,-1,1,0,0,0,1
629,0,-2,3,-3,3,-1,4
630,0,-2,2,-2,3,-3,4
631,-3,3,-3,1,1,1,0
632,0,-2,0,3,-2,1,3
633,3,-3,3,-3,3,-3,4
634,1,-1,3,0,-3,3,1
635,-2,3,-2,0,0,1,2
636,-2,3,0,-1,-2,1,2
637,2,-2,-1,3,-3,3,3
638,1,-3,3,-3,3,-2,4
639,3,-3,3,-3,0,2,4
640,-3,3,-3,3,-1,0,0
641,1,-1,1,-1,1,0,4
642,1,-3,2,0,-1,0,4
643,2,1,-2,-1,3,-1,5
644,2,-1,-2,2,-1,-1,3
645,-2,2,-2,1,-1,1,0
646,-1,0,0,1,-2,1,1
647,1,0,0,0,-2,1,3
648,-1,0,1,-3,2,-1,2
649,-1,1,2,-2,1,0,2
650,3,-2,-1,3,-2,-1,3
651,-2,0,2,-3,3,-1,2
652,0,-3,1,2,-3,3,3
653,-1,1,1,-2,0,1,2
654,1,0,-3,0,3,-2,5
655,0,-1,0,1,-1,1,3
656,-3,1,-1,3,-3,3,0
657,-1,2,-1,2,-3,1,0
658,2,-1,2,-3,1,-1,4
659,1,0,-1,2,-3,2,3
660,1,0,-1,2,-2,0,3
661,1,2,-1,0,-2,2,0
662,-2,2,1,-1,-2,1,1
663,1,0,-1,0,2,-1,5
664,-2,3,-1,-1,2,-2,2
665,0,-1,0,1,-1,0,3
666,0,0,1,-1,1,0,1
667,-1,2,-3,3,0,-3,0
668,1,-2,-1,2,-2,3,3
669,-2,0,2,-2,0,0,1
670,-1,1,1,-3,0,1,2
671,0,0,-2,2,-1,1,0
672,-2,1,-2,3,-2,1,0
673,0,1,-2,3,-3,2,0
674,2,1,-3,3,-3,3,3
675,0,1,-2,1,0,-1,5
676,0,0,0,-2,2,-1,2
677,-2,2,-1,0,0,2,2
678,0,1,-1,0,1,-2,5
679,1,0,-2,2,-1,0,3
680,0,-1,0,0,2,-3,5
681,-1,1,-2,2,0,0,0
682,-2,1,0,2,-2,-1,0
683,-2,3,-2,0,-1,3,0
684,-2,2,-1,1,-3,2,0
685,1,-1,0,0,2,-2,5
686,1,-1,0,1,-1,0,3
687,-3,3,-1,1,-3,3,0
688,1,0,-1,1,1,-3,5
689,0,0,-1,0,2,-3,5
690,-2,1,0,0,-2,3,1
691,0,0,-2,2,0,-1,5
692,-3,3,-3,3,-1,0,0
693,-1,3,-1,-2,2,0,2
694,1,-1,1,1,-2,0,3
695,-3,2,-2,3,0,-3,0
696,-2,1,-2,2,0,0,0
697,3,-2,1,-1,2,-3,4
698,-3,1,-1,3,-2,2,0
699,1,-1,1,-2,1,2,4
700,-2,-1,2,-1,2,-2,1
701,1,-3,3,-2,-1,3,4
702,1,-2,3,-1,-1,1,4
703,-3,2,-1,2,-1,-2,0
704,-2,2,-2,1,0,1,0
705,0,1,1,-1,-1,0,1
706,2,-2,0,1,-1,1,3
707,-1,0,1,-1,-1,3,1
708,-2,3,-1,1,-3,0,0
709,-2,-1,2,0,0,0,1
710,2,-2,0,1,0,-1,3
711,2,-2,3,-2,0,0,4
712,1,-2,2,-2,1,0,4
713,0,-1,-1,3,0,-3,3
714,0,-1,0,2,-2,0,3
715,-3,3,-2,0,0,2,2
716,1,-2,0,1,0,-2,3
717,1,2,-3,3,0,-2,0
718,0,-3,2,-1,0,0,4
719,2,-2,1,0,-1,2,3
720,-2,2,-1,2,-3,3,0
721,2,0,-3,2,-1,2,3
722,-1,-1,-1,3,-3,2,3
723,-2,1,0,1,-1,1,0
724,3,0,-3,2,-1,0,3
725,1,0,-1,1,0,1,5
726,2,0,-3,3,-3,3,3
727,0,2,0,-1,0,1,2
728,-3,3,-3,3,-1,-2,0
729,-1,0,-1,3,-2,2,0
730,-1,0,1,0,-1,0,1
731,1,-2,3,-2,1,0,4
732,3,-3,1,2,-2,0,3
733,0,-1,1,-1,0,0,1
734,3,-2,-1,3,-1,-1,3
735,1,-2,3,-2,0,2,4
736,0,0,2,-2,1,-1,4
737,3,0,-2,0,1,-1,5
738,1,-3,2,1,-3,0,3
739,0,0,-2,3,-1,-2,0
740,-2,1,-1,1,-1,1,0
741,0,-2,2,0,-1,0,1
742,-1,0,2,-1,-2,1,1
743,1,-1,0,2,-1,-1,3
744,3,-3,2,-1,0,0,4
745,-3,3,-3,3,-3,1,0
746,-3,3,-2,2,-1,1,0
747,1,-1,0,2,-2,1,3
748,-1,1,1,-1,-1,-1,1
749,1,0,-2,3,-3,2,3
750,0,0,-2,2,0,1,5
751,-1,3,-2,2,-3,2,0
752,-2,3,-3,3,0,-3,0
