CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,침구_주방_저가_clust_id
120,3,-3,3,-2,-1,3,2
121,4,-2,-1,-1,4,-3,2
122,-1,-2,3,0,-3,3,5
123,0,-3,3,-2,-1,1,5
124,4,-3,-1,0,0,0,2
125,-2,-1,3,-1,-2,3,5
126,-1,-1,0,0,0,0,1
127,4,-2,1,-2,-1,0,2
128,1,-2,-1,0,4,-3,3
129,-1,1,1,-2,0,-1,1
130,0,4,-3,3,-3,-1,4
131,0,3,-3,-1,4,-3,3
132,-3,0,-1,4,-3,-1,0
133,1,1,-2,2,-3,-1,0
134,0,4,-3,-1,0,0,4
135,4,-3,-1,0,0,0,2
136,0,0,0,0,0,0,1
137,3,-2,-1,-1,4,-1,2
138,-1,-2,-1,4,-3,-1,0
139,-1,0,0,2,-3,1,0
140,0,-3,-1,0,0,0,1
141,2,-1,1,1,-3,2,0
143,1,-2,3,-1,-1,1,5
144,1,-2,0,-1,3,-1,2
145,0,4,-3,-1,0,0,4
146,0,0,0,0,0,0,1
147,0,0,-1,3,-3,0,0
148,0,0,-2,3,-3,3,0
149,-3,-1,0,4,-3,-1,0
150,2,-3,2,1,-3,1,0
151,-3,2,0,-2,-1,4,1
152,4,-2,-1,-1,0,4,2
153,-3,-1,0,0,4,-3,3
154,3,-3,-1,4,-3,-1,0
155,0,0,0,0,0,0,1
156,0,0,0,0,0,0,1
157,0,4,-3,-1,4,-3,3
158,4,-3,-1,0,4,-1,2
159,0,0,4,-3,3,-3,5
160,0,-3,2,-2,3,-2,5
161,0,0,0,0,0,0,1
162,1,-2,3,-3,3,-3,5
163,-2,-1,3,-3,3,-3,5
164,-3,3,-3,3,0,-2,4
165,0,0,0,0,0,0,1
166,-3,1,1,-1,-1,3,1
167,0,0,0,0,0,0,1
168,-1,4,-2,-1,3,-1,3
169,3,-3,-1,4,-3,3,0
170,0,1,-2,2,0,-1,4
171,0,0,0,0,0,0,1
172,-3,3,-3,-1,4,-3,3
173,2,-3,2,0,0,-1,2
175,-1,1,0,-1,1,0,1
176,2,1,-2,2,-2,0,0
177,0,0,0,0,0,0,1
178,-1,1,0,-1,1,-1,1
179,-3,0,-1,4,-3,-1,0
180,0,0,0,0,0,0,1
181,0,0,0,0,0,0,1
182,0,4,-2,-1,-1,0,4
183,1,1,0,0,-1,1,1
184,0,-3,-1,0,4,-3,3
185,-2,0,1,0,-2,1,1
186,4,0,-2,0,0,-1,2
187,3,-3,3,-3,-1,0,2
188,2,-3,3,-2,0,2,2
189,0,0,0,0,0,0,1
190,0,0,0,0,0,0,1
191,0,0,0,0,0,0,1
192,-2,-1,0,-1,0,4,1
193,2,1,-2,-1,0,-1,1
194,-3,2,-2,0,3,-3,3
195,3,-3,2,0,-2,-1,2
196,-1,-2,1,-1,3,-3,3
197,3,-2,0,0,1,-1,2
198,3,-3,3,-3,3,-3,2
199,0,1,-2,3,-3,3,0
200,-3,2,1,-1,-1,-1,1
201,4,-3,3,-3,-1,0,2
202,4,0,-3,3,-3,-1,0
203,2,1,-3,-1,0,4,1
204,-3,2,0,-2,3,-1,3
205,1,-1,0,1,0,-1,1
206,0,-2,-1,4,-2,1,0
207,3,-2,0,2,0,-3,2
208,0,0,0,0,0,0,1
209,-1,-2,-1,0,0,0,1
210,0,-2,3,-1,0,-2,5
211,-1,4,-3,-1,0,0,4
212,4,-3,3,-2,2,-2,2
213,2,0,1,-2,0,1,2
214,-1,1,0,-1,0,1,1
215,-3,0,3,-3,3,0,5
216,-2,-1,4,-3,3,-3,5
217,3,-3,-1,4,-2,-1,0
218,0,0,0,0,0,4,1
219,0,4,0,-2,-1,-1,4
220,-2,2,-2,3,-2,1,4
221,3,-3,3,-3,3,-2,2
222,4,-3,2,1,-3,1,2
223,-1,0,0,0,0,0,1
224,0,0,0,0,0,0,1
225,-2,-1,0,0,0,0,1
226,0,3,-3,-1,4,-3,3
227,3,-1,-2,3,-1,0,0
228,3,-3,2,-1,1,-2,2
229,0,0,0,0,0,0,1
230,0,0,0,0,4,-3,3
231,-3,1,-1,3,0,-3,4
232,-1,4,-3,-1,0,4,4
233,-2,0,0,-1,3,-1,3
234,4,-3,3,-3,-1,0,2
235,3,-2,-1,-1,0,0,2
236,-1,0,4,-3,3,-1,5
237,-3,2,-1,1,-2,0,4
238,0,0,0,0,0,0,1
239,-3,-1,0,0,4,-3,3
240,0,0,0,0,0,0,1
241,0,0,0,0,0,0,1
242,-1,2,-2,2,-2,1,4
243,4,-3,-1,0,0,4,2
245,-3,3,-1,-1,0,2,4
246,0,0,0,4,-3,-1,0
247,0,4,-3,-1,0,0,4
248,1,-1,1,-1,1,-1,2
249,0,0,0,0,0,0,1
250,0,0,0,4,-3,-1,0
251,0,0,0,0,0,0,1
252,0,4,-3,3,-3,-1,4
253,0,0,0,0,0,0,1
254,4,-2,-1,-1,4,-3,2
255,4,-3,-1,0,0,4,2
256,-1,-1,2,-2,1,0,5
257,-1,0,2,-3,3,-3,5
258,-1,4,-3,-1,0,0,4
259,2,-2,-1,0,-1,0,2
260,-2,-1,3,-1,1,-1,5
261,0,0,0,0,4,-1,3
262,0,0,0,0,0,0,1
263,1,0,2,-2,0,-1,5
264,-3,2,-2,2,-2,3,4
265,4,0,-3,-1,0,0,2
266,4,-3,-1,0,0,0,2
267,4,-3,3,-3,-1,0,2
268,3,-3,-1,4,-3,3,0
269,-1,1,-1,1,-1,2,1
270,-2,3,-3,3,-3,1,4
271,0,0,0,0,0,0,1
272,3,-2,0,1,1,-3,2
273,0,0,0,0,0,0,1
274,-1,1,0,-2,2,-2,3
275,-2,0,1,0,0,-2,1
276,3,-1,1,-3,0,3,2
277,2,-2,1,-1,1,0,2
278,4,-3,-1,4,-3,0,0
279,0,0,0,0,0,0,1
280,-3,-1,0,0,0,4,1
281,3,-2,-1,0,3,-3,2
282,-3,-1,0,0,0,0,1
283,0,0,0,0,0,0,1
284,-1,0,0,0,4,-3,3
285,-1,0,0,0,0,0,1
286,3,0,-2,-1,3,-1,2
287,-1,0,0,0,-1,3,1
288,2,-2,1,-1,1,-2,2
289,4,-3,-1,0,0,0,2
290,1,-3,0,-1,0,4,2
291,0,-2,0,3,-3,3,0
292,0,0,0,4,-3,-1,0
293,-1,0,2,-2,0,2,5
294,0,0,4,-3,-1,0,5
295,0,0,0,4,-3,2,0
296,4,-3,-1,0,0,0,2
297,1,-2,3,-2,-1,-1,5
298,-2,0,3,-2,0,1,5
299,3,-3,-1,0,0,0,2
300,0,0,1,0,0,-1,1
301,4,-1,-2,-1,0,0,2
302,-3,3,-3,3,-3,3,4
303,-1,0,2,-2,1,0,5
304,4,-1,-2,-1,4,-1,2
305,-2,-1,-1,4,-3,3,0
306,-1,0,0,0,0,0,1
307,4,-1,-1,1,0,-2,2
308,0,0,0,0,0,4,1
309,0,0,0,0,0,0,1
310,0,-3,3,-3,2,-2,5
311,2,-2,-1,0,0,0,2
312,0,-1,0,-2,0,3,1
313,1,-1,0,1,-1,-1,1
314,0,0,0,0,0,0,1
315,-1,3,-2,2,-3,3,4
316,0,1,-2,0,3,-3,3
317,1,1,-2,2,-3,3,0
318,0,0,0,0,0,0,1
319,0,0,0,0,0,0,1
320,0,0,0,4,-3,-1,0
321,2,1,-2,0,-1,2,1
322,0,-1,3,-3,1,2,5
323,0,0,2,-2,2,-3,5
324,0,-1,-1,-1,0,4,1
325,-3,-1,4,-3,3,-1,5
326,0,4,-2,-1,3,-1,3
327,0,0,0,0,0,0,1
328,0,0,0,0,0,0,1
329,-3,3,-1,-2,2,-2,3
330,0,0,4,-2,1,-2,5
331,0,1,0,-2,-1,4,1
332,0,1,-1,-1,3,-2,3
333,0,-1,-1,1,0,-1,1
334,0,0,0,0,0,0,1
335,0,0,4,-3,3,-3,5
336,1,1,-3,1,0,1,4
337,3,-3,3,-3,-1,4,2
338,-1,-1,2,0,-1,-1,1
339,1,-1,1,0,-1,1,1
340,0,0,0,0,0,0,1
341,0,0,4,-3,-1,0,5
342,-1,-1,3,-3,-1,0,5
343,0,0,0,0,0,4,1
344,-1,-2,-1,0,0,0,1
345,-1,4,-3,-1,0,4,4
346,0,0,0,0,0,0,1
347,0,-2,2,0,0,-1,5
348,3,-2,0,1,-1,1,2
349,0,3,0,-3,3,-2,3
350,-1,3,-2,2,-2,0,4
351,3,-1,-2,3,-3,3,0
352,3,-2,-1,-1,4,0,2
353,-3,3,-1,-2,0,-1,4
354,-2,-1,0,2,1,-3,1
355,0,4,-1,-2,-1,0,4
356,0,0,0,0,0,0,1
357,-1,4,-3,-1,4,-2,3
358,0,0,0,0,0,0,1
359,2,0,-1,0,-1,3,1
360,3,-2,0,1,-1,-1,2
361,2,1,-3,3,-1,-1,0
362,-3,0,3,-1,-1,1,5
363,0,0,0,0,0,0,1
364,0,-1,3,-3,-1,4,5
365,-1,0,0,1,0,0,1
366,-2,3,-2,-1,2,0,3
367,0,2,-2,-1,3,-2,3
368,2,1,-2,0,1,-1,1
369,0,0,0,0,0,0,1
370,-3,0,3,-3,3,-3,5
371,0,-2,2,0,0,0,5
372,-1,1,1,1,-3,1,1
373,2,-1,1,-2,-1,4,2
374,0,0,4,-3,-1,0,5
375,1,-2,3,-3,3,-2,5
376,3,-3,0,-1,0,4,2
377,0,0,0,0,0,0,1
378,3,-2,2,-3,3,-1,2
379,0,0,0,0,0,0,1
380,-1,0,0,-1,0,0,1
381,0,0,0,0,0,0,1
382,4,-1,-2,-1,0,0,2
383,0,0,0,4,-3,-1,0
384,0,1,0,0,0,0,1
385,3,-3,1,2,-2,2,0
386,-3,0,-1,0,0,0,1
387,-2,1,0,-1,2,-3,3
388,0,0,0,4,-3,-1,0
389,0,0,2,-2,0,0,5
390,2,-2,-1,2,0,-1,0
391,1,-2,3,-1,1,-1,5
392,-1,-1,-1,4,-2,-1,0
393,0,0,0,0,0,0,1
394,0,0,0,0,0,0,1
395,0,-1,2,-3,3,-3,5
396,3,-3,2,1,-3,2,2
397,1,-1,2,-3,3,-1,5
398,4,-3,3,-3,3,-3,2
399,0,0,0,0,0,0,1
400,-2,2,-1,-2,-1,0,4
401,0,0,0,0,0,0,1
402,0,0,0,0,0,0,1
403,3,-3,0,-1,4,-3,2
404,3,-2,-1,3,-1,0,0
405,0,0,0,0,0,0,1
406,0,3,-2,1,-1,0,4
407,0,0,0,0,0,0,1
408,0,0,0,0,0,0,1
409,0,0,0,4,-3,-1,0
410,2,-2,-1,-1,0,4,2
411,0,0,0,0,0,0,1
412,-2,0,1,-1,1,0,1
413,-2,1,-2,3,-1,-1,4
414,-3,3,-1,-1,-1,3,4
415,3,-2,0,2,-3,0,0
416,3,-3,-1,4,-3,-1,0
417,0,0,0,0,0,0,1
418,0,0,-2,2,0,-1,1
419,0,0,0,0,0,0,1
420,0,-2,2,0,0,-2,5
421,2,-2,-1,3,-1,0,0
422,0,0,0,0,0,4,1
423,0,0,0,0,0,0,1
424,-3,-1,0,0,0,4,1
425,0,-2,3,-3,2,1,5
426,-3,0,-1,4,-3,3,0
427,0,0,0,0,0,0,1
428,0,0,0,4,-3,3,0
429,0,0,0,0,0,4,1
430,0,0,0,0,0,0,1
431,0,0,0,4,-3,-1,0
432,-1,0,3,-3,-1,0,5
433,3,-2,-1,-1,0,0,2
434,-3,3,-1,0,-1,1,4
435,-3,2,-1,1,-2,-1,4
436,0,0,0,4,-3,3,0
437,4,-3,-1,0,4,-3,2
438,-3,3,-3,-1,4,-1,3
439,-2,0,2,-3,3,-3,5
440,0,0,0,0,0,0,1
441,3,-3,0,-1,0,0,2
442,-1,-1,2,-1,-1,2,5
443,0,0,0,0,0,0,1
444,-1,4,-2,2,-1,-2,4
445,-2,-1,3,-3,3,-3,5
446,0,1,-2,3,-1,0,0
447,3,-1,-2,3,-2,1,0
448,-3,3,-3,-1,0,4,4
449,-1,-1,3,-1,0,-1,5
450,3,-3,-1,4,-3,-1,0
451,3,-2,0,-1,3,-3,2
452,-1,0,0,-1,1,0,1
453,0,-1,-1,-1,4,-3,3
454,-1,1,-2,3,-1,-2,4
455,0,0,-1,-1,-1,0,1
456,3,-2,0,0,2,-1,2
457,-1,0,3,-3,0,-1,5
458,-3,3,-3,2,0,-1,4
459,0,0,0,0,0,0,1
461,0,4,-3,-1,4,-3,3
462,-1,0,0,0,0,0,1
463,0,0,0,0,0,0,1
464,-2,-1,2,-1,1,0,5
465,-1,1,-1,-1,3,-1,3
466,-1,0,4,-3,-1,0,5
467,-2,0,-1,4,-2,-1,0
468,0,-1,-1,0,0,1,1
469,0,0,0,0,0,0,1
470,-3,1,1,-1,2,-1,3
471,-3,-1,0,0,0,0,1
472,3,0,-3,1,2,-2,2
473,0,-1,3,-3,3,-1,5
474,-3,2,1,-3,-1,4,5
475,0,1,0,0,-2,2,1
476,-1,-1,3,-1,-1,-1,5
477,0,0,4,-3,-1,0,5
478,2,0,-3,1,2,-3,3
479,-3,2,-2,3,0,-3,4
480,-2,-1,0,0,4,-3,3
481,-1,2,-2,0,-1,-1,4
482,-3,-1,0,0,4,-3,3
483,0,0,0,4,-3,-1,0
484,0,0,0,0,0,0,1
485,4,-3,3,-3,-1,0,2
486,0,4,-3,-1,0,0,4
487,1,0,0,1,1,-2,1
488,-1,0,1,-2,3,-2,3
489,0,4,-3,3,0,-1,4
490,0,0,0,0,0,4,1
491,-1,2,0,-1,-1,-1,1
492,0,0,0,0,0,0,1
493,2,1,-2,0,1,0,1
494,4,-3,-1,0,4,-3,2
495,-2,-1,0,0,0,0,1
496,-1,1,-2,-1,4,-3,3
497,2,-1,1,0,-2,3,2
498,-2,0,3,-3,3,-2,5
499,-2,2,1,-2,1,-2,3
500,0,0,0,0,-1,3,1
501,0,0,0,0,0,0,1
502,-1,1,0,-1,1,-1,1
503,-1,1,-1,1,-1,-1,1
504,-1,3,-3,-1,0,4,4
505,0,2,-3,2,-1,1,4
506,-1,-1,0,0,4,-2,3
507,4,-3,-1,0,4,-3,2
508,0,-3,-1,4,-3,-1,0
509,0,0,0,0,4,-3,3
510,-2,0,0,-1,3,-2,3
511,-1,3,-2,-1,0,3,4
512,-2,2,0,0,-2,3,4
513,0,0,0,0,0,0,1
514,3,-2,-1,3,-2,-1,0
515,4,-1,-1,2,-3,2,0
516,3,-2,2,-3,-1,0,2
517,0,4,-3,-1,0,0,4
518,0,0,0,0,0,0,1
519,-1,4,-3,3,-1,-2,4
520,0,0,0,0,0,0,1
521,1,1,-1,1,-1,0,1
522,-1,1,-2,1,-2,3,4
523,2,-3,1,1,1,-3,2
524,2,-3,-1,0,0,0,2
525,0,0,0,4,-3,3,0
526,3,-1,-1,-1,3,-1,2
527,4,-1,-1,1,-2,3,0
528,-2,-1,4,-3,3,-2,5
529,0,-1,0,4,-1,-2,0
530,-1,0,0,0,0,0,1
531,0,-3,-1,0,0,0,1
532,0,0,4,-2,-1,3,5
533,0,-2,3,-2,-1,3,5
534,0,0,0,0,0,0,1
535,0,4,-3,3,-3,-1,4
536,0,0,4,-3,3,-3,5
537,-2,-1,0,3,-1,1,0
538,0,0,0,0,0,0,1
539,4,-1,-1,-1,3,-3,2
540,-3,0,3,-1,-1,0,5
541,3,-3,1,2,0,-3,2
542,-2,-1,0,0,4,-3,3
543,-1,0,4,-3,-1,4,5
544,0,0,0,0,0,0,1
545,0,0,0,0,0,0,1
546,-1,0,0,0,4,-3,3
547,0,4,-3,0,3,-2,3
548,-1,-1,-1,3,-3,1,0
549,0,0,4,-3,-1,0,5
550,-3,0,-1,0,4,-3,3
551,-2,0,1,-1,0,2,1
552,-3,0,-1,4,-3,-1,0
553,-2,-1,-1,0,0,0,1
554,0,0,0,0,0,0,1
555,3,-1,-1,0,-1,1,2
556,0,1,-1,3,-1,-1,0
557,-2,0,-1,3,-1,1,0
558,0,0,0,0,0,0,1
559,0,0,0,0,0,4,1
560,0,0,0,0,0,0,1
561,-1,0,0,0,4,-3,3
562,-3,-1,0,0,0,0,1
563,-1,3,-3,2,-1,0,4
564,-1,-1,-1,0,0,0,1
565,0,0,4,-3,3,-3,5
566,0,0,0,0,0,0,1
567,3,-1,-2,3,-2,0,0
568,4,-1,-2,3,-1,-1,0
569,0,0,0,0,0,0,1
570,2,0,-2,3,-3,-1,0
571,3,-3,2,-2,3,-2,2
572,-1,3,-3,3,-3,-1,4
573,0,-3,1,1,-1,0,1
574,-2,0,-1,3,-3,0,0
575,3,-2,0,0,-1,3,2
576,0,0,2,-2,1,0,5
577,0,4,-2,1,-2,3,4
578,1,1,-3,3,-1,-2,0
579,-2,-1,0,0,0,0,1
580,2,-3,2,1,-3,-1,0
581,4,-2,-1,3,-3,3,0
582,-2,-1,0,0,0,0,1
583,-3,3,-3,-1,0,0,4
584,-1,-2,-1,0,0,0,1
585,-1,0,0,0,4,-1,3
586,0,0,0,0,4,-3,3
587,4,-3,-1,0,0,0,2
588,0,-2,2,1,-2,1,1
589,-2,3,-3,-1,0,0,4
590,-1,4,-2,-1,-1,0,4
591,-3,3,-2,1,-1,-1,4
592,4,0,-3,3,-3,2,0
593,0,0,0,4,-3,-1,0
594,4,-3,-1,0,0,0,2
595,-1,0,0,0,0,0,1
596,-1,0,0,0,0,0,1
597,-1,0,4,-3,-1,0,5
598,-1,4,0,-3,3,-1,3
599,-2,2,-2,3,-3,3,4
600,-2,2,0,-2,3,-1,3
601,0,0,0,0,0,0,1
602,0,4,-3,-1,4,0,3
603,4,-1,-2,3,-3,0,0
604,4,-3,-1,0,0,0,2
605,-2,3,-3,3,-3,0,4
606,0,0,0,0,0,4,1
607,4,-3,3,-3,3,-3,2
608,-1,-1,0,1,0,-2,1
609,-2,0,-1,3,-3,3,0
610,0,0,0,0,0,0,1
611,0,0,4,-3,3,-2,5
612,4,-3,-1,4,-3,-1,0
613,2,-2,-1,0,3,-3,2
614,0,0,0,0,0,4,1
615,0,0,0,0,0,4,1
616,0,-1,0,2,-2,-1,0
617,-3,2,-2,3,0,-3,4
618,0,4,-3,-1,0,4,4
619,-2,-1,2,1,-3,3,1
620,0,0,0,0,0,0,1
621,-2,3,-3,-1,0,0,4
622,-3,-1,0,0,0,0,1
623,1,1,-3,2,0,-2,4
624,2,-1,1,-2,1,2,2
625,0,0,0,0,0,0,1
626,2,-3,3,-1,-1,2,2
627,-3,3,-3,-1,4,-3,3
628,1,-1,0,1,0,-1,1
629,-2,0,3,-1,1,-3,5
630,0,0,0,0,0,4,1
631,0,4,-3,3,-3,3,4
632,0,0,0,0,4,-3,3
633,-3,3,-3,3,-2,-1,4
634,0,0,0,0,0,0,1
635,-1,3,-3,-1,4,-3,3
636,-3,-1,0,4,-3,-1,0
637,-2,0,-1,0,4,0,3
638,-1,-2,0,3,-3,3,0
639,3,-1,-1,0,1,0,2
640,1,-1,-1,-1,0,0,1
641,-2,-1,3,0,-3,0,5
642,0,0,0,0,0,4,1
643,0,4,-3,-1,0,0,4
644,-1,-2,3,-2,0,-1,5
645,-1,4,-2,-1,3,0,3
646,0,-2,2,1,-2,0,1
647,0,0,1,-1,1,-1,1
648,0,0,0,0,4,-3,3
649,0,0,0,0,0,0,1
650,1,-2,0,3,0,-3,0
651,0,0,0,0,0,0,1
652,0,0,4,-3,3,-3,5
653,3,-3,1,2,-3,3,0
654,0,-1,4,-2,0,0,5
655,2,-1,0,-2,-1,0,2
656,0,0,0,0,0,0,1
657,-3,-1,0,0,0,0,1
658,3,-3,2,0,-1,-1,2
659,-2,-1,-1,0,4,-3,3
660,-1,2,0,0,0,-1,1
661,3,-3,-1,4,-2,-1,0
662,-1,2,-3,3,-1,0,4
663,0,2,-2,1,0,0,4
664,0,0,0,0,0,0,1
665,-1,1,2,-2,1,-1,5
666,-1,0,0,-2,2,0,3
667,3,-3,0,3,-3,-1,0
668,3,-1,-1,0,-1,-1,2
669,0,0,0,0,0,4,1
670,-1,4,-3,-1,0,0,4
671,0,0,-2,2,-2,3,0
672,0,0,0,0,0,0,1
673,-1,0,0,0,0,0,1
674,0,0,0,0,0,0,1
675,-2,0,-1,3,-2,2,0
676,0,0,0,0,0,0,1
677,0,1,0,-2,1,1,1
678,2,-1,2,-2,0,-1,2
679,0,3,-2,0,1,-2,4
680,-1,-1,1,-2,3,-3,3
681,0,0,0,0,0,0,1
682,-1,-1,-1,4,-1,-2,0
683,2,-3,3,-3,2,0,2
684,0,0,0,0,0,4,1
685,0,1,0,-1,1,0,1
686,-3,-1,0,0,0,4,1
687,0,0,0,0,0,0,1
688,0,-1,-1,-1,3,-1,3
689,0,0,0,0,0,0,1
690,0,0,0,0,0,4,1
691,0,-1,-1,0,4,-2,3
692,-2,2,0,0,-2,2,4
693,0,2,-1,-1,-1,3,1
694,-2,3,-3,-1,4,-3,3
695,-1,0,0,0,4,-3,3
696,0,0,0,0,0,0,1
697,0,0,0,0,0,0,1
698,-1,0,0,0,0,0,1
699,3,-3,-1,0,0,4,2
700,-1,2,-3,3,-2,1,4
701,-1,4,-3,-1,0,0,4
702,1,0,0,-1,1,-1,1
703,0,0,0,4,-3,-1,0
704,0,0,0,0,0,0,1
705,-2,2,-1,1,-1,1,4
706,1,-3,0,3,-2,1,0
707,-2,-1,-1,0,0,0,1
708,-2,-1,0,0,0,4,1
709,-3,3,0,-2,1,-1,3
710,3,-3,3,-3,3,0,2
711,0,0,0,0,0,0,1
712,3,-1,-1,1,-2,3,0
713,0,0,0,4,-3,-1,0
714,1,-2,-1,3,-3,-1,0
715,-3,-1,0,0,0,0,1
716,2,0,1,-3,2,0,2
717,0,0,0,0,0,0,1
718,4,-3,-1,0,0,0,2
719,2,-3,1,2,-2,1,0
720,1,0,0,-1,1,-1,1
721,1,-1,-1,1,0,-1,1
722,1,-3,3,-2,1,-1,5
723,-2,2,-3,3,0,-3,4
724,0,4,-3,-1,4,0,3
725,1,-2,-1,1,1,0,1
726,2,-3,0,-1,4,-3,2
727,-2,-1,3,-1,-1,-1,5
728,0,0,0,4,0,-3,0
729,-3,1,1,-2,-1,0,1
730,2,0,0,-1,1,-2,2
731,-2,3,-2,-1,1,1,4
732,-1,0,0,0,0,0,1
733,2,-3,0,3,-2,1,0
734,3,-2,2,-1,0,-2,2
735,0,2,-3,0,-1,4,4
736,0,0,0,0,4,-3,3
737,-1,4,-1,1,-2,0,4
738,2,-1,-1,2,-3,1,0
739,0,-3,3,-3,1,2,5
740,-1,0,1,-1,1,-1,1
741,-3,1,1,0,0,-1,1
742,3,-2,-1,3,-3,0,0
743,2,0,-3,3,-3,1,0
744,2,-3,0,3,-3,3,0
745,0,2,-2,0,-1,3,4
746,0,0,0,0,0,0,1
747,0,1,-1,1,-2,-1,1
748,0,0,0,0,0,0,1
749,-3,2,0,0,-2,2,4
750,1,-2,0,0,2,-3,2
751,-3,2,-2,-1,0,0,4
752,0,0,0,0,0,0,1
753,4,0,-1,-2,3,-3,2
754,2,-3,-1,4,0,-1,0
755,-1,0,0,-2,3,-2,3
756,3,-3,3,-3,3,-3,2
757,0,0,0,0,0,0,1
758,-3,0,-1,4,0,-3,0
759,-3,0,3,-3,2,-2,5
760,0,-1,-2,2,1,-2,1
761,3,0,-2,1,-1,0,0
