CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가전_레저취미_멀티샵_저가_clust_id
95,-3,-1,4,-3,-1,0,2
96,0,0,0,0,0,0,3
97,-3,3,-3,2,0,-1,0
98,0,0,0,0,0,0,3
99,-3,-1,4,-3,-1,4,2
100,0,0,0,0,0,0,3
101,0,0,0,0,0,0,3
102,1,-1,-1,0,0,0,3
103,0,0,4,-3,-1,0,2
104,0,0,0,0,4,-3,1
105,-1,4,0,-1,-2,-1,0
106,0,0,0,0,0,0,3
107,0,0,0,0,0,0,3
108,4,-2,-1,-1,0,0,5
109,4,-3,-1,0,4,-3,5
110,4,-3,-1,0,4,-2,5
111,0,0,0,0,0,0,3
112,0,0,0,0,4,-3,1
113,3,0,0,-2,2,-3,5
114,0,0,0,0,0,4,3
115,0,0,0,0,0,0,3
116,-3,-1,0,4,-3,-1,4
117,0,0,0,0,0,0,3
118,0,0,0,0,0,0,3
119,4,-3,-1,0,0,0,5
120,0,0,0,0,0,0,3
121,0,0,0,0,0,0,3
122,0,4,-3,3,-3,-1,0
123,-1,0,0,4,-3,-1,4
124,-1,0,0,0,0,0,3
125,0,0,0,4,-3,-1,4
126,4,-1,-2,-1,0,0,5
127,0,0,0,0,0,0,3
128,0,-1,0,4,-3,-1,4
129,-2,3,-3,3,-3,-1,0
130,0,0,0,4,-3,3,4
131,-1,0,4,-3,-1,4,2
132,-1,4,-3,-1,4,-3,1
133,0,-3,-1,0,0,0,3
134,0,0,0,0,0,0,3
135,0,0,0,0,0,0,3
136,0,0,0,0,0,0,3
137,0,0,0,0,0,0,3
138,1,-2,3,-3,3,-2,2
139,0,0,4,-3,3,-3,2
140,-3,-1,0,0,0,0,3
141,-1,2,-1,-2,0,2,3
143,0,-1,-1,4,-3,-1,4
144,1,-1,0,0,1,-1,3
145,0,0,0,0,0,0,3
146,0,0,0,0,0,0,3
147,-1,-1,3,-3,3,-2,2
148,0,0,0,0,4,-3,1
149,0,0,0,0,0,0,3
150,-1,3,-3,3,-3,-1,0
151,0,0,0,0,0,0,3
152,0,0,0,0,0,0,3
153,0,0,0,0,0,0,3
154,0,0,0,0,0,0,3
155,0,0,0,0,0,0,3
156,0,0,0,0,0,0,3
157,0,0,0,0,0,0,3
158,0,0,0,0,0,0,3
159,0,0,0,0,0,0,3
160,-1,0,-2,3,-3,-1,4
161,0,0,0,0,0,0,3
162,0,0,4,-3,-1,0,2
163,3,-1,-2,-1,0,4,5
164,0,0,0,4,-3,3,4
165,4,-3,-1,0,0,0,5
166,4,-3,-1,0,0,4,5
167,0,0,0,0,0,0,3
168,0,4,-3,-1,0,0,0
169,3,-3,-1,0,0,0,5
170,-2,-1,0,0,0,0,3
171,0,0,0,4,-3,-1,4
172,0,0,0,0,0,0,3
173,-2,-1,0,4,-2,1,4
175,-1,1,0,-1,1,-1,3
176,2,0,-2,1,1,0,3
177,0,0,0,0,0,0,3
178,0,0,0,0,0,0,3
179,0,0,0,0,0,0,3
180,0,0,0,0,0,0,3
181,0,0,4,-3,-1,0,2
182,0,0,0,0,0,0,3
183,0,0,0,0,0,0,3
184,0,0,0,0,4,-3,1
185,4,-1,-2,3,-3,-1,4
186,0,0,0,4,-3,-1,4
187,0,0,0,0,0,0,3
188,3,0,-2,-1,3,-1,5
189,0,0,0,0,4,-3,1
190,0,0,0,0,0,0,3
191,0,0,0,0,0,0,3
192,4,-3,-1,0,0,0,5
193,0,-2,-1,0,-1,0,3
194,4,-3,3,-3,-1,0,5
195,-1,0,4,-3,2,-2,2
196,4,-3,0,-1,4,-3,5
197,-3,-1,4,-2,0,-1,2
198,0,0,0,0,0,0,3
199,0,0,4,-3,-1,4,2
200,0,0,0,0,0,4,3
201,0,0,0,0,0,0,3
202,0,0,0,0,0,0,3
203,-1,0,0,0,0,0,3
204,-2,0,-1,-1,4,-2,1
205,-1,0,0,0,4,-3,1
206,0,0,4,-3,-1,0,2
207,-1,4,-3,-1,4,-3,1
208,0,0,0,0,0,0,3
209,0,0,0,0,0,0,3
210,0,4,-3,-1,0,0,0
211,0,0,0,0,0,0,3
212,0,0,0,0,0,0,3
213,-1,0,4,-3,-1,0,2
214,-3,-1,0,0,0,0,3
215,-3,3,-3,-1,4,0,1
216,3,-1,-2,-1,0,4,5
217,-3,3,-3,3,-3,-1,0
218,0,0,0,0,0,0,3
219,4,-1,-2,-1,4,0,5
220,3,-3,0,-1,0,4,5
221,-3,3,0,-3,-1,4,0
222,0,0,0,0,0,0,3
223,0,0,0,0,0,0,3
224,0,0,0,0,0,0,3
225,0,0,0,0,0,0,3
226,-1,3,-3,-1,0,0,0
227,-1,-1,1,-1,-1,3,3
228,2,-3,3,-3,0,-1,5
229,0,0,0,0,0,0,3
230,0,0,0,0,0,0,3
231,0,0,0,0,0,0,3
232,-2,3,-2,0,0,1,0
233,4,-3,-1,0,4,-2,5
234,0,0,0,0,0,0,3
235,0,4,-3,-1,4,-3,1
236,-3,-1,0,0,4,-2,1
237,-1,4,-3,-1,4,-2,1
238,0,4,-1,-2,-1,0,0
239,0,0,0,0,4,-3,1
240,0,0,0,0,0,0,3
241,0,0,0,0,0,0,3
242,1,1,-1,0,-1,-1,3
243,-2,1,-2,3,-2,-1,4
245,-3,3,-3,3,-3,3,0
246,0,0,0,4,-3,-1,4
247,0,0,0,0,0,0,3
248,4,-3,3,-3,-1,0,5
249,0,0,0,0,0,0,3
250,0,0,0,0,0,0,3
251,-1,0,0,0,0,0,3
252,0,0,0,0,0,0,3
253,0,0,0,0,0,0,3
254,0,0,0,0,0,0,3
255,0,0,4,-3,-1,0,2
256,0,4,-3,-1,0,4,0
257,3,-3,3,-3,3,-2,5
258,0,0,0,0,0,0,3
259,4,-3,-1,0,4,0,5
260,-1,-2,-1,0,0,0,3
261,0,0,0,0,0,0,3
262,0,0,0,0,0,0,3
263,-3,-1,0,0,0,0,3
264,-2,-1,4,-3,0,-1,2
265,0,0,0,0,0,0,3
266,0,0,0,0,0,0,3
267,0,0,0,4,-3,-1,4
268,0,0,0,0,0,4,3
269,-2,0,3,-3,3,-2,2
270,4,-3,3,-2,1,-1,5
271,0,0,0,0,0,0,3
272,0,1,0,-1,1,-2,3
273,0,0,0,4,-3,-1,4
274,0,0,0,4,-3,-1,4
275,0,0,4,-2,1,-2,2
276,3,-3,3,-1,-1,2,5
277,-3,-1,0,0,0,0,3
278,3,-1,-1,1,-2,-1,4
279,0,0,0,0,0,0,3
280,0,0,0,0,4,-3,1
281,3,-3,3,-3,2,0,5
282,0,0,0,0,0,0,3
283,0,0,0,0,0,0,3
284,2,1,-1,-1,0,0,3
285,4,-2,2,-3,0,3,5
286,0,0,0,0,0,0,3
287,-3,-1,0,0,4,-3,1
288,0,0,0,0,0,0,3
289,0,0,0,0,0,0,3
290,-3,3,-1,-2,3,-1,1
291,-1,-1,0,4,-3,-1,4
292,0,0,0,0,4,-3,1
293,0,0,0,4,-3,3,4
294,0,4,-3,-1,0,0,0
295,0,0,0,0,0,0,3
296,0,0,0,0,0,0,3
297,-1,0,-1,1,-2,-1,3
298,-3,3,-1,0,-1,0,0
299,3,-3,-1,0,0,4,5
300,3,-3,3,-3,-1,4,5
301,0,0,0,0,0,0,3
302,0,4,-3,-1,0,0,0
303,0,0,0,0,0,0,3
304,0,0,0,0,0,0,3
305,-1,1,-2,0,3,-3,1
306,-1,0,0,0,0,0,3
307,0,0,0,0,4,-3,1
308,-1,0,0,0,0,4,3
309,0,0,0,0,0,0,3
310,0,0,0,0,0,0,3
311,0,0,0,0,0,0,3
312,-1,3,-1,-2,2,-1,1
313,-3,-1,4,-3,0,-1,2
314,0,0,0,0,0,0,3
315,-3,3,-3,-1,4,-1,1
316,-3,-1,0,0,0,0,3
317,0,4,-2,-1,3,-1,1
318,0,0,0,0,0,0,3
319,0,0,0,0,0,0,3
320,0,0,0,0,0,0,3
321,0,0,0,0,0,4,3
322,0,0,0,0,0,0,3
323,0,0,0,0,0,0,3
324,-3,1,1,-1,1,-2,3
325,0,0,0,0,0,0,3
326,0,0,0,0,0,4,3
327,0,0,0,0,0,0,3
328,0,0,0,0,0,0,3
329,0,0,0,0,0,0,3
330,0,0,4,-3,2,0,2
331,4,-3,0,-1,0,0,5
332,0,0,4,-3,-1,0,2
333,4,-3,-1,0,0,0,5
334,0,0,0,0,0,0,3
335,0,0,0,0,0,0,3
336,-2,-1,0,0,0,0,3
337,-1,-2,3,-3,-1,0,2
338,-1,-1,4,-3,-1,0,2
339,0,-1,0,4,-3,-1,4
340,0,0,0,0,0,0,3
341,0,0,0,0,0,0,3
342,0,-2,1,-2,-1,4,3
343,0,0,4,-3,3,-2,2
344,0,0,0,0,0,0,3
345,0,0,0,0,0,0,3
346,0,0,0,0,0,0,3
347,0,-1,-1,2,-2,-1,4
348,-3,-1,4,-3,-1,0,2
349,-3,-1,0,0,4,-3,1
350,0,0,4,-3,-1,0,2
351,3,-3,-1,0,0,0,5
352,0,0,0,0,0,0,3
353,4,-3,-1,0,0,0,5
354,-3,-1,4,-3,-1,0,2
355,0,0,4,-3,3,-3,2
356,0,4,-3,-1,0,0,0
357,0,-3,0,3,-3,-1,4
358,0,0,0,0,0,0,3
359,0,0,0,0,0,0,3
360,-2,1,-2,3,0,-3,0
361,-1,4,-3,-1,0,0,0
362,0,4,-3,-1,4,-3,1
363,0,0,0,0,0,0,3
364,-2,-1,3,-3,-1,0,2
365,0,-1,1,-1,0,0,3
366,3,-3,-1,0,0,0,5
367,4,-3,-1,4,-3,-1,4
368,-3,2,-2,-1,0,0,0
369,0,0,0,0,0,0,3
370,-1,3,-3,-1,4,-2,1
371,-2,3,0,-2,1,-2,1
372,0,0,0,0,0,0,3
373,4,-3,-1,0,0,0,5
374,0,0,0,0,0,0,3
375,0,0,0,0,0,0,3
376,-1,0,0,0,0,0,3
377,0,0,0,0,0,0,3
378,4,-1,-2,3,-3,3,4
379,0,0,0,0,0,0,3
380,0,4,-3,-1,4,-3,1
381,0,0,0,0,0,0,3
382,-1,4,-3,-1,0,4,0
383,0,0,0,0,0,0,3
384,-1,0,0,0,4,-3,1
385,4,-3,-1,0,0,0,5
386,0,0,0,0,0,0,3
387,0,0,4,-3,-1,0,2
388,0,0,0,0,0,0,3
389,0,0,0,0,4,-3,1
390,-3,0,-1,4,-2,-1,4
391,2,-3,-1,4,0,-1,4
392,0,0,0,0,0,0,3
393,0,0,0,0,0,0,3
394,0,0,0,0,4,-3,1
395,-1,-1,0,4,-3,3,4
396,0,0,4,-3,-1,0,2
397,-1,2,1,-3,0,3,2
398,0,4,-3,-1,0,0,0
399,0,0,0,0,0,0,3
400,0,0,0,0,0,0,3
401,0,0,0,0,0,0,3
402,0,0,0,0,0,0,3
403,-3,-1,0,0,0,0,3
404,4,-3,-1,0,0,4,5
405,0,0,0,0,0,0,3
406,0,0,0,0,4,-3,1
407,0,0,0,0,0,0,3
408,0,0,0,0,0,0,3
409,0,0,4,-3,-1,0,2
410,0,0,0,0,0,0,3
411,0,4,-3,-1,0,4,0
412,0,0,0,0,4,-3,1
413,0,0,4,-3,3,-3,2
414,-3,3,-3,3,-3,-1,0
415,-1,-2,3,-1,-1,0,2
416,0,0,0,0,0,0,3
417,0,0,0,0,0,0,3
418,0,2,0,0,-1,-1,3
419,0,0,0,0,0,0,3
420,0,0,0,-1,1,0,3
421,-1,1,-1,1,-1,0,3
422,0,0,0,0,0,0,3
423,0,0,0,0,0,0,3
424,0,0,0,4,-3,-1,4
425,-2,-1,-1,4,-3,0,4
426,-1,-1,-1,3,-2,0,4
427,0,0,0,0,0,0,3
428,0,0,0,0,0,0,3
429,0,0,0,0,0,0,3
430,0,0,0,0,0,0,3
431,0,0,0,4,-1,-2,4
432,3,-3,-1,0,0,0,5
433,0,0,0,0,0,0,3
434,-1,0,0,0,0,4,3
435,0,0,0,0,0,0,3
436,0,0,0,0,4,-3,1
437,0,0,0,4,-3,-1,4
438,0,0,0,0,0,0,3
439,-3,0,3,-3,3,-2,2
440,0,0,0,0,0,0,3
441,-3,-1,0,0,0,0,3
442,-3,0,-1,4,-3,3,4
443,0,0,0,0,0,0,3
444,-3,3,-3,-1,0,4,0
445,0,0,0,0,0,0,3
446,0,0,0,0,4,-1,1
447,-3,0,-1,0,0,4,3
448,3,-3,-1,0,0,0,5
449,0,-1,0,0,0,0,3
450,0,0,0,0,0,0,3
451,4,-3,-1,0,0,0,5
452,1,-1,-2,2,0,-1,4
453,0,0,0,0,0,0,3
454,4,-3,-1,4,-3,3,4
455,0,0,0,0,4,-3,1
456,-1,4,0,0,-3,1,0
457,0,0,0,0,0,0,3
458,0,0,0,0,0,0,3
459,0,0,0,0,0,4,3
461,0,0,0,0,0,0,3
462,0,0,0,0,0,0,3
463,0,0,0,0,0,0,3
464,0,0,0,0,4,-3,1
465,-1,3,-1,-2,-1,0,0
466,0,0,4,-3,-1,0,2
467,-3,3,0,-3,3,-3,1
468,-2,3,-3,3,-2,0,0
469,0,0,0,0,0,0,3
470,-1,-1,4,-3,-1,0,2
471,4,-3,-1,0,0,0,5
472,-1,4,-3,-1,4,-3,1
473,0,3,-3,3,-1,0,0
474,0,0,0,0,0,0,3
475,0,4,-1,-2,-1,0,0
476,0,4,-3,3,-3,-1,0
477,0,0,0,0,0,0,3
478,3,-3,3,-3,-1,0,5
479,0,0,0,0,0,0,3
480,0,0,4,-3,-1,0,2
481,-2,-1,-1,0,0,0,3
482,0,0,0,0,0,0,3
483,-3,-1,0,0,0,0,3
484,0,0,0,0,0,0,3
485,0,0,0,0,0,4,3
486,0,0,0,0,0,0,3
487,0,0,0,0,0,0,3
488,4,-3,-1,0,0,4,5
489,-3,2,1,-1,-1,-1,3
490,0,0,0,0,0,0,3
491,-2,3,-3,3,-1,-2,0
492,0,0,0,0,0,0,3
493,0,4,-2,-1,-1,0,0
494,0,0,0,0,0,0,3
495,0,2,-3,2,-2,-1,0
496,0,0,0,0,0,0,3
497,-1,0,0,4,-3,3,4
498,-3,3,-1,-2,0,3,0
499,0,0,0,0,0,0,3
500,-3,2,-2,3,-1,-2,0
501,-3,-1,0,0,0,0,3
502,-2,3,-1,-2,3,-3,1
503,-2,1,-1,1,0,-2,3
504,4,-3,-1,0,0,0,5
505,-1,0,2,-2,0,0,2
506,-3,-1,0,0,0,0,3
507,4,-1,-2,-1,0,0,5
508,3,-3,-1,0,0,0,5
509,0,0,0,0,0,0,3
510,-1,4,-3,3,-2,-1,0
511,-2,3,-3,2,-1,-1,0
512,-2,0,1,1,-2,0,3
513,0,0,0,0,0,0,3
514,0,0,0,0,0,0,3
515,4,-2,-1,-1,0,0,5
516,-3,-1,4,-3,-1,0,2
517,0,0,0,0,0,0,3
518,0,0,0,0,0,0,3
519,-1,4,-3,-1,0,4,0
520,0,0,0,0,0,4,3
521,1,0,-2,3,-2,2,4
522,0,0,-1,1,-2,3,3
523,-1,-2,-1,0,4,-3,1
524,3,-3,3,-1,0,-1,5
525,0,4,-3,3,-3,-1,0
526,-1,4,-3,-1,0,0,0
527,0,4,0,-3,-1,0,0
528,0,0,4,-3,-1,0,2
529,0,0,4,-3,-1,0,2
530,0,0,0,0,0,0,3
531,0,0,0,0,0,0,3
532,0,0,0,0,0,0,3
533,-1,4,-3,3,-3,-1,0
534,0,0,0,0,0,0,3
535,0,0,0,0,0,0,3
536,0,0,0,0,0,0,3
537,-1,0,4,-3,3,-2,2
538,0,0,0,0,0,0,3
539,4,0,-2,0,2,-1,5
540,0,0,0,0,4,-3,1
541,4,-3,3,-3,3,-3,5
542,0,0,0,0,0,0,3
543,0,0,0,0,0,0,3
544,0,4,-3,-1,0,0,0
545,4,-3,-1,0,0,0,5
546,0,0,0,0,4,-3,1
547,0,0,-1,3,-3,3,4
548,3,-2,1,0,0,-1,5
549,0,0,0,0,0,0,3
550,4,-3,-1,0,0,4,5
551,-3,3,-3,3,-3,3,0
552,-3,0,-1,0,0,0,3
553,-1,0,0,0,0,0,3
554,0,0,0,0,0,0,3
555,-1,3,0,-3,3,-2,1
556,4,-3,-1,0,0,0,5
557,0,4,-3,-1,4,-2,1
558,0,0,0,0,0,0,3
559,0,0,0,0,0,4,3
560,0,0,0,0,0,0,3
561,-1,-2,0,3,-3,-1,4
562,-3,-1,0,0,0,0,3
563,0,0,0,0,0,0,3
564,2,-2,-1,0,0,0,5
565,0,4,-3,-1,0,0,0
566,0,0,0,0,0,0,3
567,0,0,0,0,0,0,3
568,-1,0,0,4,-3,3,4
569,0,0,0,0,4,-3,1
570,-1,0,0,1,-2,-1,3
571,0,0,0,0,0,0,3
572,0,0,0,0,0,0,3
573,-1,-2,-1,0,0,4,3
574,0,0,0,0,4,-3,1
575,0,0,0,4,-2,-1,4
576,-3,-1,0,0,0,0,3
577,0,0,0,0,0,0,3
578,0,0,0,0,0,0,3
579,0,0,0,0,4,-3,1
580,0,0,4,-3,0,-1,2
581,0,0,0,0,0,0,3
582,0,0,0,0,0,0,3
583,0,0,0,4,-3,-1,4
584,0,0,0,0,0,0,3
585,-1,0,0,0,0,0,3
586,0,0,0,0,0,0,3
587,0,0,0,0,0,0,3
588,0,1,-1,1,-1,0,3
589,0,0,0,0,0,0,3
590,-1,4,-3,-1,4,-3,1
591,-2,1,2,-2,0,2,2
592,0,0,4,-3,-1,0,2
593,0,0,0,0,0,0,3
594,0,0,0,0,0,0,3
595,0,0,0,0,0,0,3
596,0,0,0,0,0,0,3
597,0,0,0,0,0,0,3
598,0,0,0,4,0,-1,4
599,3,-2,1,-2,-1,4,5
600,0,0,-1,1,-1,0,3
601,0,0,0,0,0,0,3
602,0,0,0,0,0,0,3
603,0,4,-3,-1,4,-3,1
604,0,0,0,0,0,0,3
605,3,-2,0,1,-2,0,5
606,0,0,0,0,4,-3,1
607,0,4,-1,-2,-1,0,0
608,1,-1,0,0,1,0,3
609,-3,2,-2,-1,4,-3,1
610,0,0,0,0,0,0,3
611,0,0,0,0,0,0,3
612,0,0,0,0,0,0,3
613,-3,-1,4,-2,-1,-1,2
614,0,0,0,0,0,0,3
615,0,0,0,0,0,0,3
616,-1,0,1,-1,-1,3,3
617,0,0,0,0,0,0,3
618,-2,3,0,-2,-1,3,0
619,0,0,-3,3,-1,-2,4
620,0,0,0,0,0,0,3
621,-3,3,-3,-1,4,-3,1
622,0,0,0,0,0,0,3
623,-3,0,3,-3,-1,0,2
624,-2,-1,0,0,0,0,3
625,0,0,4,-3,-1,0,2
626,3,-3,3,-1,0,-1,5
627,0,0,0,0,0,0,3
628,-1,2,-1,1,-2,3,0
629,0,0,1,0,0,-1,3
630,0,0,0,0,0,0,3
631,0,0,0,0,0,0,3
632,4,-1,-2,-1,0,0,5
633,1,1,-3,0,2,-2,1
634,0,0,0,0,0,0,3
635,0,0,0,0,0,0,3
636,-3,-1,0,0,0,0,3
637,4,-3,-1,0,4,-3,5
638,0,0,4,-3,-1,0,2
639,0,4,-3,-1,0,0,0
640,0,0,0,0,4,-3,1
641,0,0,0,0,0,0,3
642,0,0,0,0,0,0,3
643,0,0,0,0,0,0,3
644,-2,-1,0,3,-3,3,4
645,0,4,-3,3,-3,-1,0
646,0,-2,3,-3,-1,4,2
647,-1,-1,0,0,4,-3,1
648,0,0,0,0,4,-2,1
649,0,0,0,0,0,0,3
650,4,-3,-1,0,0,0,5
651,0,0,0,0,0,4,3
652,0,0,0,0,0,0,3
653,4,-3,3,-3,-1,4,5
654,0,0,0,0,0,0,3
655,0,0,0,1,-1,1,3
656,4,-3,-1,0,0,0,5
657,0,0,0,0,0,0,3
658,0,4,-3,-1,0,0,0
659,3,0,-3,3,-2,1,4
660,4,0,-3,3,-2,0,4
661,0,4,0,-3,-1,0,0
662,-3,0,-1,4,-3,-1,4
663,-3,3,-2,0,0,0,0
664,0,0,0,0,4,-3,1
665,-3,1,-1,-1,4,-3,1
666,-3,0,-1,0,0,0,3
667,3,-3,-1,0,0,0,5
668,3,-3,0,-1,0,0,5
669,0,0,0,0,0,0,3
670,4,-2,-1,-1,0,0,5
671,4,-3,-1,0,4,-3,5
672,0,0,0,0,0,0,3
673,0,0,0,0,4,-3,1
674,0,0,0,0,4,-3,1
675,3,-3,-1,0,4,-3,5
676,0,0,0,0,0,0,3
677,-3,-1,0,0,4,-3,1
678,0,0,0,0,4,-3,1
679,3,0,-1,-2,1,2,5
680,0,0,0,0,4,-3,1
681,0,0,0,0,0,0,3
682,3,0,-3,3,-3,-1,4
683,-1,0,1,0,-1,0,3
684,0,0,0,0,0,4,3
685,-2,2,-1,2,-2,0,0
686,0,0,0,0,0,0,3
687,0,0,0,0,0,0,3
688,4,-1,0,0,-2,3,5
689,0,0,0,0,0,0,3
690,0,0,0,0,0,0,3
691,0,0,0,0,0,0,3
692,3,-3,-1,4,-3,-1,4
693,3,-3,-1,0,0,0,5
694,-3,-1,0,0,0,0,3
695,0,0,4,-3,-1,0,2
696,0,0,0,0,0,0,3
697,0,0,0,0,0,0,3
698,0,0,0,0,0,0,3
699,2,-1,-2,-1,4,-3,1
700,-1,3,-2,1,1,-3,0
701,-2,3,0,-1,-2,-1,0
702,0,-1,3,-3,-1,4,2
703,0,0,0,0,0,0,3
704,-3,-1,0,0,0,0,3
705,-3,0,0,3,-3,3,4
706,0,0,4,-3,-1,0,2
707,0,0,0,0,0,0,3
708,-3,3,-3,-1,0,0,0
709,0,0,0,0,4,-1,1
710,0,1,-2,3,-3,3,4
711,0,0,0,0,0,0,3
712,0,0,0,0,0,0,3
713,0,0,4,-3,-1,0,2
714,3,-3,3,-3,3,-3,5
715,0,0,0,0,0,0,3
716,-3,3,-3,-1,0,0,0
717,0,0,0,0,0,0,3
718,0,0,0,0,0,0,3
719,-3,3,-3,3,-3,3,0
720,-2,2,0,-2,3,-1,1
721,0,0,0,0,0,0,3
722,3,-3,3,-3,0,-1,5
723,-3,-1,0,0,0,0,3
724,-3,-1,4,-3,0,3,2
725,0,0,0,0,0,0,3
726,-3,3,-3,1,0,2,0
727,0,0,0,0,0,0,3
728,0,0,0,0,0,0,3
729,0,0,0,0,0,0,3
730,3,-3,-1,0,0,0,5
731,0,-2,-1,-1,4,-1,1
732,0,0,0,0,0,0,3
733,4,-3,3,-3,3,-2,5
734,-2,-1,-1,4,-3,-1,4
735,0,4,-3,-1,0,0,0
736,0,4,-1,0,-2,0,0
737,0,0,0,0,0,0,3
738,0,-1,3,-2,-1,-1,2
739,-2,2,0,0,-2,0,0
740,4,-3,3,0,-3,3,5
741,-1,3,-1,-2,-1,4,0
742,0,0,0,4,-3,-1,4
743,0,-3,-1,4,-3,3,4
744,3,-3,3,-3,-1,0,5
745,3,0,-3,-1,0,4,5
746,0,0,0,0,0,0,3
747,0,0,0,0,0,0,3
748,0,0,0,0,0,0,3
749,-1,-1,0,0,4,-3,1
750,3,-2,0,2,-1,0,4
751,-3,0,-1,4,-3,-1,4
752,0,0,0,0,0,0,3
753,-2,-1,3,0,-2,0,2
754,0,0,0,0,0,0,3
755,-3,-1,0,0,4,-3,1
756,-3,-1,0,0,4,-3,1
757,0,0,4,-3,-1,0,2
758,0,0,0,0,4,-3,1
759,-2,-1,-1,0,0,0,3
760,0,4,-3,-1,0,0,0
761,-3,3,-3,3,0,-3,0
762,-3,3,-2,1,-2,-1,0
763,0,0,4,-3,-1,0,2
764,4,-3,3,-2,-1,-1,5
765,0,0,0,0,0,0,3
766,4,0,-3,3,-3,0,4
767,0,0,4,-2,1,-1,2
768,0,0,0,0,0,0,3
769,2,0,0,0,-1,1,3
770,0,0,0,0,4,-3,1
771,-3,-1,0,0,0,0,3
772,0,0,0,0,0,0,3
773,4,-1,0,-2,-1,0,5
774,-1,-2,-1,0,4,-3,1
775,0,0,0,0,4,-3,1
776,3,-2,-1,-1,4,-3,5
777,0,0,0,0,0,0,3
778,-2,0,3,-2,0,1,2
779,-1,0,4,-3,-1,0,2
780,0,4,-3,-1,0,0,0
781,4,-3,-1,0,0,0,5
782,1,-1,1,0,0,-1,3
783,-3,-1,0,0,0,0,3
784,0,0,0,0,0,0,3
785,0,0,0,0,0,0,3
786,0,0,0,0,0,4,3
787,0,0,0,0,0,0,3
788,3,-3,0,-1,0,4,5
789,4,-2,-1,-1,0,0,5
