CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_저가_clust_id
63,0,0,0,0,0,0,0
64,3,-2,-1,0,3,0,1
65,-2,1,-2,3,-3,3,5
66,3,0,-3,3,-3,3,4
67,0,2,-1,-1,1,0,3
68,0,-3,3,-1,-2,0,2
69,-1,-2,2,1,-3,2,0
70,0,0,0,0,0,0,0
71,-1,-2,3,-3,2,-2,2
72,-1,-2,3,-3,1,2,2
73,-1,0,0,0,0,0,0
74,3,-3,3,-1,-1,2,1
75,-1,4,-3,-1,0,0,5
76,-3,2,0,-1,-1,-1,0
77,3,-3,0,3,-1,-1,4
78,3,0,-3,3,-3,3,4
79,-1,-2,2,-2,3,-2,2
80,-2,-1,-1,4,-1,0,4
81,-2,0,-1,0,0,0,0
82,1,1,-3,3,0,-3,4
83,2,-3,3,-1,-2,3,1
84,3,-3,-1,4,-3,-1,4
85,0,0,4,-3,-1,4,2
86,3,-2,-1,3,-1,0,4
87,0,0,0,0,0,0,0
88,0,4,-3,3,-2,-1,5
89,-3,2,-2,3,-3,3,5
90,0,4,-3,-1,0,0,5
91,0,0,0,0,0,4,0
92,3,-2,0,1,-2,3,4
93,0,0,0,0,0,0,0
94,0,0,0,0,4,0,3
95,-2,3,-1,-2,3,-2,3
96,0,0,0,0,4,-3,3
97,-3,3,0,-3,-1,0,0
98,3,-3,-1,4,-3,-1,4
99,3,-3,3,-3,-1,4,1
100,-2,1,-2,0,3,-3,3
101,0,0,0,0,0,0,0
102,3,0,-1,-1,-1,1,1
103,0,0,0,0,0,0,0
104,-2,1,-1,-1,3,-2,3
105,0,2,-1,-2,1,1,3
106,0,0,4,-3,3,-3,2
107,0,0,0,0,0,0,0
108,4,-3,-1,0,0,0,1
109,1,-1,3,0,-2,-1,2
110,-1,3,-3,3,-1,-2,5
111,0,-1,-1,0,4,-3,3
112,-3,0,3,-3,-1,0,2
113,-2,3,0,-3,3,-3,3
114,-3,3,0,-3,-1,4,0
115,0,0,0,0,0,4,0
116,-1,0,4,-3,-1,0,2
117,-3,-1,4,0,-3,3,2
118,0,0,0,4,-2,-1,4
119,-3,0,-1,4,-3,-1,4
120,0,4,-3,-1,0,0,5
121,0,4,-3,-1,4,-3,3
122,-3,3,0,-3,2,0,3
123,3,-3,1,1,0,-2,1
124,0,-3,3,-3,-1,0,2
125,3,-1,-2,3,-1,-1,4
126,-3,2,-1,2,-2,-1,5
127,4,-3,3,-3,-1,0,1
128,-1,0,2,1,0,-3,0
129,-3,0,-1,0,0,4,0
130,0,0,0,0,0,0,0
131,3,-3,-1,0,4,-3,1
132,1,-2,0,-1,0,3,1
133,-3,3,0,-2,1,-1,3
134,0,0,4,0,-3,0,2
135,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0
137,0,0,-3,-1,0,0,0
138,3,-3,3,0,-3,0,1
139,0,0,-2,3,0,-3,4
140,4,-3,-1,0,0,0,1
141,0,0,4,-3,3,-2,2
143,1,1,0,-2,3,-3,3
144,3,-3,0,3,-1,-1,4
145,-3,3,-3,3,-3,3,5
146,0,0,0,0,0,4,0
147,-3,3,-3,3,-3,3,5
148,4,-3,3,-3,3,-3,1
149,0,4,-3,-1,0,0,5
150,-3,3,-3,3,0,-3,5
151,-2,0,-1,3,-3,3,4
152,0,0,0,0,4,-3,3
153,0,0,0,0,4,-3,3
154,0,0,0,0,4,-1,3
155,-3,-1,4,-3,-1,4,2
156,0,0,0,4,-3,3,4
157,0,0,0,4,-3,-1,4
158,0,0,0,4,-2,1,4
159,-1,0,4,0,-3,-1,2
160,4,-3,0,3,-3,0,4
161,-3,-1,0,0,0,0,0
162,-3,2,-2,-1,4,-3,3
163,3,-3,0,3,-3,3,4
164,0,4,-3,3,0,-1,5
165,-1,0,4,-3,-1,0,2
166,-3,3,-1,-2,0,3,3
167,0,0,4,-3,-1,0,2
168,4,-2,-1,-1,0,0,1
169,-3,0,3,-3,2,-2,2
170,-2,3,0,-1,-1,1,5
171,3,-2,0,0,-1,3,1
172,3,-3,0,3,-1,-2,4
173,-1,0,0,2,-3,3,4
175,-2,3,-2,1,-1,0,5
176,4,-3,-1,4,-1,-2,4
177,-1,0,4,0,-3,-1,2
178,-2,2,1,-3,1,2,3
179,-3,3,-2,2,-3,3,5
180,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0
182,0,4,0,-3,-1,0,0
183,0,1,0,-1,-1,3,0
184,0,0,4,-3,3,-3,2
185,-1,1,-3,2,0,-1,5
186,-1,3,-2,1,0,-1,5
187,0,0,0,4,0,-3,4
188,4,-3,-1,0,0,0,1
189,-1,0,4,0,-3,0,2
190,0,0,0,0,0,0,0
191,-3,3,-1,1,-1,0,5
192,-3,2,-2,3,-3,3,5
193,0,-1,0,2,-3,2,4
194,-1,0,0,2,-3,1,4
195,2,0,-2,2,0,-1,4
196,3,-3,0,0,3,0,1
197,3,-2,1,-1,1,-2,1
198,3,-3,3,-3,3,-1,1
199,3,-2,1,0,-1,2,1
200,-1,-1,2,-1,2,-3,2
201,0,0,4,-3,3,-3,2
202,0,0,4,-3,-1,0,2
203,1,-1,1,0,-2,2,0
204,-2,3,-2,1,0,0,5
205,2,1,-3,3,-3,2,4
206,3,-3,3,-3,3,-1,1
207,3,0,-3,3,-2,-1,4
208,0,4,-3,-1,0,0,5
209,4,-3,-1,4,-1,0,4
210,-1,-1,3,-2,2,-2,2
211,3,-3,-1,0,0,0,1
212,0,0,0,0,0,0,0
213,-1,1,1,-2,1,-1,0
214,0,0,0,0,0,0,0
215,-1,0,2,-3,3,-1,2
216,-2,1,2,-1,-2,3,0
217,0,0,0,0,0,0,0
218,0,0,0,4,-3,3,4
219,0,4,-2,0,-1,-1,5
220,-3,2,-2,3,-1,-2,5
221,1,-2,1,-1,0,0,1
222,3,-1,0,-1,-1,3,1
223,0,0,0,0,4,-2,3
224,0,4,-3,-1,0,0,5
225,0,0,4,-3,-1,4,2
226,3,-3,3,-2,0,-1,1
227,-2,1,-2,2,-2,3,5
228,2,-2,0,1,0,1,1
229,0,0,0,0,4,-3,3
230,-3,-1,0,0,4,-3,3
231,2,0,-3,2,0,-2,4
232,4,-3,-1,0,0,4,1
233,0,4,0,-3,-1,0,0
234,-1,0,0,4,-1,-2,4
235,0,0,0,0,4,-3,3
236,4,-3,-1,4,0,-3,4
237,-3,-1,0,4,-3,3,4
238,0,0,4,-3,-1,0,2
239,-3,3,-3,-1,4,-3,3
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0
242,-2,2,0,1,-1,-1,5
243,-3,3,-3,2,-2,3,5
245,4,-3,-1,0,4,-3,1
246,0,4,-3,-1,4,0,3
247,-1,0,-1,-1,3,-3,3
248,-3,2,-2,2,1,-2,5
249,0,4,-3,-1,4,-3,3
250,-1,4,-1,-2,-1,0,5
251,-1,4,-3,-1,0,0,5
252,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0
254,0,0,4,-3,-1,0,2
255,-1,-1,0,0,4,-3,3
256,-3,3,-3,3,0,-3,5
257,0,3,-3,1,-1,3,5
258,4,-3,-1,0,0,0,1
259,-1,0,1,0,-2,2,0
260,-1,1,2,-3,0,3,2
261,-1,4,-3,-1,0,0,5
262,-3,-1,0,0,0,0,0
263,0,-2,3,0,-3,3,2
264,-2,3,-3,1,0,1,5
265,0,0,0,0,0,4,0
266,4,-3,-1,0,0,4,1
267,-1,-1,-1,3,-3,-1,4
268,-2,0,3,-3,3,-1,2
269,-3,2,-1,0,2,-2,3
270,-1,-2,3,-1,-2,1,2
271,0,4,-3,-1,0,0,5
272,1,-1,1,0,-1,1,0
273,3,-3,3,-3,3,-1,1
274,-2,2,-1,-1,0,0,0
275,1,-3,2,-1,0,2,1
276,-3,-1,0,0,0,4,0
277,4,-3,-1,0,4,-3,1
278,-2,-1,0,0,0,0,0
279,0,0,0,0,0,0,0
280,0,0,0,4,-3,3,4
281,3,-3,-1,4,-3,0,4
282,0,-1,4,-1,-2,3,2
283,4,-3,-1,0,0,4,1
284,3,-1,-2,3,0,-2,4
285,3,-3,3,-1,0,-1,1
286,-3,3,-2,0,2,-1,3
287,0,0,2,-2,-1,1,2
288,0,-2,0,0,1,0,0
289,4,-3,-1,4,-3,-1,4
290,-1,0,-2,3,-1,-2,4
291,1,-2,-1,2,-1,1,4
292,4,-3,2,0,1,-3,1
293,3,-3,3,0,-3,0,1
294,0,0,0,0,0,0,0
295,0,0,0,4,-3,3,4
296,0,0,0,0,4,-3,3
297,-3,-1,4,0,-3,0,2
298,-3,3,-3,-1,0,0,5
299,0,0,4,-3,-1,0,2
300,-1,2,-2,0,0,1,5
301,0,-2,-1,-1,0,0,0
302,0,0,0,0,4,-3,3
303,-3,1,2,-3,3,-2,3
304,0,0,0,0,0,0,0
305,0,0,0,4,0,-3,4
306,4,-3,-1,0,0,4,1
307,4,0,-3,3,-3,1,4
308,-3,-1,0,0,0,0,0
309,0,0,0,0,0,0,0
310,-3,3,-2,-1,3,-3,3
311,-3,-1,0,0,4,-3,3
312,-1,-1,-1,0,0,0,0
313,0,3,-2,-1,0,0,5
314,0,0,0,0,0,0,0
315,-3,-1,0,0,0,0,0
316,-3,-1,4,-2,-1,-1,2
317,0,3,-3,3,-3,0,5
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,-1,4,-3,1,-1,3,5
321,2,-3,3,-2,-1,3,1
322,0,3,-2,1,-2,3,5
323,-3,1,2,-1,0,0,2
324,-3,3,-3,3,-3,3,5
325,-3,3,0,-2,0,1,3
326,4,-1,-2,3,-3,3,4
327,-3,0,-1,4,-3,-1,4
328,4,-3,0,-1,0,0,1
329,-2,-1,1,2,-3,3,4
330,0,0,4,-2,1,-2,2
331,0,1,-2,3,-2,0,4
332,0,3,-3,2,0,1,5
333,1,-3,1,2,-3,3,4
334,-3,-1,0,0,0,0,0
335,0,0,0,0,0,0,0
336,3,-2,0,-1,1,2,1
337,0,-3,3,-1,-2,-1,2
338,0,-1,1,2,-1,0,4
339,-1,0,3,-1,0,-1,2
340,-3,3,-3,-1,4,0,3
341,0,0,4,-3,-1,0,2
342,2,0,-2,3,-3,3,4
343,4,-3,-1,0,4,-3,1
344,0,-3,0,-1,4,-3,1
345,0,4,0,-3,-1,0,0
346,0,0,0,0,0,0,0
347,1,-2,2,-1,1,-1,1
348,-1,0,0,4,-1,-2,4
349,2,0,-1,0,2,-3,0
350,0,0,3,0,0,-3,2
351,3,-3,3,-3,0,-1,1
352,4,-3,2,1,-1,-2,1
353,-1,3,0,-3,3,-2,3
354,0,-3,3,-3,0,3,2
355,0,3,-3,3,-3,1,5
356,3,-3,3,-2,-1,3,1
357,-1,-1,0,0,4,-1,3
358,0,0,4,-3,0,3,2
359,-1,-2,3,-2,2,-3,2
360,2,0,-2,3,-2,1,4
361,4,-3,3,-3,2,1,1
362,3,-3,3,-1,-1,-1,1
363,-3,-1,0,0,0,0,0
364,0,-2,1,1,-2,1,4
365,-2,3,-3,3,-3,1,5
366,3,0,-3,-1,0,0,1
367,3,-2,-1,3,-3,2,4
368,-3,3,0,-1,-2,1,5
369,0,0,0,0,4,-3,3
370,1,-1,-2,3,-3,0,4
371,-1,1,0,2,-3,3,4
372,-2,2,-3,3,-2,1,5
373,3,-3,2,0,-2,3,1
374,0,4,0,-3,-1,0,0
375,2,1,-3,3,-3,3,4
376,3,-2,0,2,-1,1,4
377,4,-3,3,-3,-1,0,1
378,4,-3,3,-1,-1,-1,1
379,0,0,4,-3,-1,0,2
380,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0
382,0,4,0,-3,-1,4,0
383,0,4,-3,3,-3,3,5
384,2,0,-2,3,-2,1,4
385,3,-1,-1,0,2,-1,1
386,0,1,-1,-1,0,0,0
387,0,-3,3,-3,3,-3,2
388,0,0,4,-3,3,-3,2
389,-1,1,0,-1,2,-3,3
390,-2,3,-3,3,-3,3,5
391,-1,-1,0,3,0,-1,4
392,4,-3,-1,0,0,4,1
393,-3,-1,0,0,4,-3,3
394,0,0,0,0,0,0,0
395,1,1,-2,3,-3,2,4
396,0,-1,-1,0,0,2,0
397,2,-2,0,2,-3,3,4
398,-3,-1,0,0,4,-3,3
399,0,0,0,0,0,0,0
400,-2,-1,-1,0,0,0,0
401,0,0,0,0,0,0,0
402,0,0,0,0,0,4,0
403,0,1,1,-1,-2,-1,0
404,0,0,2,-1,-1,2,2
405,0,0,0,0,0,0,0
406,1,-3,2,-1,0,2,1
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,4,-3,0,4
410,0,-1,0,2,-3,2,4
411,0,4,0,-3,-1,4,0
412,-1,3,-1,-1,-1,3,5
413,-1,4,-3,0,-1,0,5
414,-2,-1,4,0,-3,-1,2
415,-1,-2,3,-3,3,-2,2
416,-3,3,-2,1,-2,0,5
417,0,0,0,4,-3,-1,4
418,2,-2,0,0,1,-2,1
419,0,0,4,-1,-1,2,2
420,3,-3,3,-3,3,-3,1
421,0,1,-1,1,-1,0,0
422,0,-2,0,-1,-1,0,0
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,-2,1,-1,0,1,-2,3
426,-3,3,-3,-1,0,4,5
427,-1,0,0,0,0,0,0
428,0,0,4,-3,3,-3,2
429,-3,-1,0,4,-3,-1,4
430,0,0,0,0,0,0,0
431,0,0,0,0,0,4,0
432,2,0,-3,2,-2,-1,4
433,-3,1,-1,0,-1,4,5
434,0,-3,3,-2,-1,3,2
435,0,0,0,0,0,0,0
436,0,4,-3,-1,0,4,5
437,0,0,0,0,0,0,0
438,-3,3,-3,3,-3,2,5
439,-2,-1,4,-3,-1,4,2
440,0,0,4,-3,-1,0,2
441,-3,3,-3,0,-1,0,5
442,1,-1,0,2,-2,1,4
443,0,0,0,0,4,-3,3
444,-3,3,0,-3,1,0,3
445,-3,-1,0,4,0,-3,4
446,0,1,-2,3,-3,1,4
447,1,0,2,0,-3,0,0
448,1,-1,-1,0,0,4,0
449,-1,1,-2,-1,3,-3,3
450,-3,1,-1,2,1,-1,5
451,0,-2,1,2,-3,3,4
452,-3,-1,0,4,0,-3,4
453,-1,0,1,-3,-1,0,2
454,1,0,1,-2,1,1,0
455,0,0,0,0,0,0,0
456,3,-1,-1,-1,3,0,1
457,-3,-1,0,4,-3,3,4
458,-3,-1,4,0,-3,-1,2
459,3,-3,-1,0,0,0,1
461,0,0,0,0,4,-3,3
462,0,0,0,4,-3,-1,4
463,0,0,0,0,0,0,0
464,-1,-1,1,-1,0,0,0
465,2,-1,2,-2,0,2,1
466,4,-3,3,-3,-1,0,1
467,-3,0,1,2,-1,0,0
468,-3,3,-1,-2,0,3,3
469,0,4,-3,-1,4,-3,3
470,1,-3,1,2,-2,1,4
471,4,-3,-1,0,4,-3,1
472,0,-1,4,-1,0,0,2
473,-3,1,1,0,0,0,0
474,1,-1,0,2,-3,3,4
475,-3,3,-3,1,2,-3,5
476,0,4,-3,3,-3,3,5
477,-3,3,-1,-2,-1,4,5
478,-3,1,2,-3,0,1,2
479,0,-2,0,3,-3,3,4
480,1,2,0,-3,2,-2,3
481,3,-3,0,1,2,-3,1
482,-1,3,-3,2,1,-2,5
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,0,4,-3,-1,4,-3,3
486,0,0,0,0,0,0,0
487,-3,1,1,1,-1,-2,0
488,-3,3,-1,-2,3,-3,3
489,4,-2,-1,3,-3,-1,4
490,0,4,-3,-1,4,-3,3
491,0,0,0,0,0,0,0
492,0,0,0,0,4,-3,3
493,-3,3,-3,3,-3,3,5
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,-3,-1,4,-1,-1,1,2
497,0,0,1,1,-2,2,0
498,-1,-1,-1,3,0,-2,4
499,0,1,2,-1,-1,2,0
500,-3,3,0,-3,0,3,3
501,4,-3,-1,4,-3,-1,4
502,0,4,-3,-1,0,4,5
503,-1,3,-2,2,-3,3,5
504,-2,-1,4,0,-2,1,2
505,-3,2,-1,1,0,-2,5
506,3,-2,2,-1,0,-1,1
507,0,0,4,-3,-1,0,2
508,0,-1,0,-1,0,0,0
509,0,0,0,0,0,0,0
510,0,-3,3,-3,0,3,2
511,0,-2,3,0,-3,1,2
512,2,-2,1,-2,2,0,1
513,0,0,0,0,0,0,0
514,-2,-1,0,3,-3,2,4
515,-1,4,-3,3,-3,3,5
516,-1,-1,3,-3,3,-3,2
517,0,0,0,0,0,0,0
518,-1,-2,3,-2,2,-3,2
519,-1,4,-1,0,-2,3,5
520,0,0,0,0,0,0,0
521,-3,1,-1,3,-3,3,5
522,-3,3,0,-3,0,3,3
523,-2,-1,3,-3,3,-3,2
524,3,-3,3,-3,1,0,1
525,0,4,0,-3,3,-3,3
526,-3,3,-3,-1,0,0,5
527,4,0,-3,3,-3,3,4
528,3,0,-1,0,-2,0,4
529,3,-3,0,1,-1,3,1
530,0,0,0,0,0,0,0
531,-3,3,-2,-1,-1,0,5
532,4,-3,3,0,-3,0,1
533,0,0,3,-1,0,-1,2
534,0,0,0,0,0,0,0
535,0,0,0,0,4,-1,3
536,0,0,4,-1,-2,-1,2
537,-1,-1,2,-3,1,2,2
538,0,0,0,0,0,0,0
539,4,-3,3,-3,-1,0,1
540,0,-1,4,-1,-2,3,2
541,0,1,-3,2,1,-3,5
542,4,-3,3,-3,-1,0,1
543,-2,1,2,-1,-2,3,0
544,0,0,0,0,4,-3,3
545,-3,3,-3,-1,4,-1,3
546,4,-3,-1,0,4,0,1
547,0,4,0,-3,0,3,3
548,1,-1,2,-3,2,0,2
549,0,0,4,-3,3,-3,2
550,4,-3,1,-1,-1,4,1
551,3,-1,0,-2,2,-1,1
552,-3,0,3,-3,3,-2,2
553,-1,0,0,4,-3,3,4
554,0,-1,-2,-1,0,4,0
555,2,-2,1,-1,1,2,1
556,2,-1,1,-3,2,-2,1
557,-1,0,1,-2,1,2,2
558,0,4,-3,3,-1,-1,5
559,-3,-1,0,0,4,-3,3
560,-2,0,-1,0,0,0,0
561,0,-3,-1,0,4,-3,3
562,0,0,4,-3,-1,4,2
563,-3,2,-1,0,2,-1,3
564,4,-3,-1,0,0,0,1
565,0,0,0,0,0,0,0
566,0,0,0,4,-3,3,4
567,-3,3,-3,3,-3,3,5
568,0,-1,0,0,-1,1,0
569,0,0,0,4,0,-2,4
570,-3,3,-3,3,-3,-1,5
571,-2,2,-2,3,-2,0,5
572,-2,2,-3,3,0,-3,5
573,1,-3,2,1,-3,2,4
574,2,-2,3,-2,0,1,1
575,0,3,-3,-1,4,-3,3
576,0,3,0,0,-3,0,5
577,0,0,4,-3,-1,0,2
578,-1,3,-1,-1,-1,0,5
579,-1,1,-3,1,0,1,5
580,1,-2,3,-2,-1,3,2
581,0,4,-3,-1,0,0,5
582,0,-3,-1,4,0,-1,4
583,-1,3,0,-3,3,-3,3
584,0,-3,0,-1,0,0,0
585,0,0,0,0,4,-3,3
586,0,0,0,4,0,-2,4
587,0,0,0,0,4,-1,3
588,0,3,-3,3,-3,3,5
589,0,3,-3,3,-3,-1,5
590,4,-3,3,0,-3,3,1
591,0,-1,4,-3,1,2,2
592,4,-3,-1,0,0,0,1
593,0,4,-3,-1,0,0,5
594,0,0,0,0,0,0,0
595,-3,-1,0,0,0,0,0
596,-1,0,0,0,0,4,0
597,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0
599,0,-3,0,-1,0,0,0
600,1,-2,2,1,-3,2,4
601,0,0,0,0,0,0,0
602,0,0,4,-3,3,0,2
603,-3,3,-3,-1,4,-3,3
604,0,0,0,0,4,-2,3
605,4,-3,-1,4,-1,0,4
606,0,4,-3,-1,4,-2,3
607,4,-1,0,-2,3,-2,1
608,1,-3,3,0,-3,2,2
609,1,0,-1,1,1,-3,0
610,0,0,0,0,4,-3,3
611,0,0,0,0,0,4,0
612,0,0,0,4,0,-3,4
613,-2,3,-2,2,-3,2,5
614,0,0,0,0,0,0,0
615,-3,3,-3,3,-3,0,5
616,-1,0,2,-3,2,0,2
617,-3,3,-3,3,0,-1,5
618,4,-3,0,3,-3,3,4
619,-1,0,-1,-1,2,-2,3
620,0,0,0,0,0,4,0
621,-3,3,-3,1,0,2,5
622,3,-3,2,-1,-1,2,1
623,-1,-1,1,-1,1,-2,0
624,0,3,0,-2,0,-1,3
625,0,0,0,0,0,4,0
626,-1,1,2,-3,3,-2,3
627,-1,0,0,0,0,4,0
628,-1,2,-2,0,0,-1,5
629,-2,1,0,-1,0,1,0
630,0,0,4,-3,3,-3,2
631,0,4,-3,-1,0,4,5
632,0,0,0,0,0,0,0
633,-1,1,0,-1,-1,1,0
634,0,0,0,0,0,0,0
635,-1,0,0,0,0,0,0
636,-3,-1,0,0,4,-2,3
637,0,3,-3,3,0,-1,5
638,-3,3,0,-3,0,3,3
639,0,0,0,0,0,0,0
640,-2,3,-1,-1,0,1,5
641,-2,-1,-1,4,-3,2,4
642,0,0,4,-3,-1,0,2
643,-2,1,0,-1,-1,4,0
644,-3,2,-1,-1,-1,0,5
645,0,-1,1,-3,2,0,2
646,-1,1,0,2,-2,0,0
647,-3,3,-3,-1,0,0,5
648,0,0,0,0,0,0,0
649,0,0,4,-2,0,-1,2
650,3,-3,0,3,0,-3,4
651,0,0,4,0,-3,-1,2
652,0,4,-3,-1,0,0,5
653,-2,3,0,-2,-1,3,0
654,-1,0,0,4,-3,-1,4
655,1,-2,2,-1,-1,2,1
656,-1,0,0,0,0,4,0
657,-3,-1,0,0,0,0,0
658,1,0,2,-1,0,-2,2
659,-3,3,-2,-1,3,-2,3
660,3,-2,-1,-1,0,4,1
661,-3,0,3,0,-2,0,2
662,1,1,-1,2,-2,2,4
663,0,0,0,0,0,0,0
664,0,0,0,0,0,0,0
665,1,1,-2,0,0,1,0
666,3,-3,3,-3,3,-3,1
667,-2,2,-3,3,-3,-1,5
668,0,-2,2,-2,0,-1,2
669,0,-2,-1,-1,0,0,0
670,-1,4,-3,3,-3,-1,5
671,-1,0,0,1,-2,2,0
672,-1,0,0,0,0,4,0
673,0,0,0,0,0,0,0
674,0,0,0,0,0,4,0
675,1,-2,0,-1,2,-1,1
676,0,0,0,4,-3,-1,4
677,2,-1,1,-1,0,1,1
678,3,-3,3,-3,3,-2,1
679,-1,4,0,-3,0,-1,3
680,-2,2,-1,-1,3,-1,3
681,0,0,0,0,0,0,0
682,3,-3,1,0,1,0,1
683,-1,3,-1,-1,0,0,5
684,0,0,0,0,0,4,0
685,-3,3,-3,3,-3,2,5
686,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0
688,1,-3,3,-1,-2,0,2
689,4,-3,-1,4,-2,-1,4
690,-3,0,3,-1,-2,3,2
691,3,0,-3,2,-2,3,4
692,0,0,-1,0,0,-1,0
693,-3,3,0,-2,0,0,3
694,0,-1,0,0,0,0,0
695,0,0,0,4,-1,-2,4
696,4,-3,-1,0,4,-3,1
697,-1,0,0,0,4,-3,3
698,-1,0,0,0,0,0,0
699,-1,0,4,-3,0,3,2
700,0,0,0,0,0,0,0
701,0,0,0,4,-3,0,4
702,-2,1,0,0,1,1,0
703,4,-3,3,-3,3,-3,1
704,0,0,0,4,-3,-1,4
705,-2,1,1,1,-3,3,0
706,-2,3,-3,0,3,-2,3
707,0,0,0,0,0,0,0
708,-1,-1,-1,3,0,-2,4
709,0,0,0,0,4,-3,3
710,3,-2,2,-1,-1,1,1
711,3,-3,1,-1,3,-3,1
712,0,4,-3,3,-1,1,5
713,0,0,0,0,4,0,3
714,-2,1,-1,-1,3,-2,3
715,-3,3,-3,-1,0,0,5
716,3,-2,-1,2,0,-1,4
717,4,0,-2,-1,3,0,1
718,0,4,-3,-1,4,-3,3
719,1,1,-2,0,1,0,0
720,-2,2,0,0,-1,-1,0
721,-1,0,2,-3,1,2,2
722,-3,1,2,-2,0,0,2
723,-3,2,-2,2,0,-2,5
724,3,0,-3,0,2,0,3
725,1,-2,2,-3,3,-2,1
726,2,0,-3,3,-2,0,4
727,-3,3,-1,0,-2,1,5
728,4,-3,-1,4,-3,0,4
729,0,0,0,0,0,0,0
730,3,-3,1,2,-2,2,4
731,3,-3,3,-1,-2,1,1
732,0,0,4,-3,-1,0,2
733,-2,0,1,0,-1,0,0
734,0,-2,1,1,0,0,0
735,-3,0,2,-2,3,-3,2
736,0,0,0,0,0,0,0
737,2,0,-2,3,0,-3,4
738,2,-1,-2,1,0,2,4
739,-3,3,0,-2,2,-3,3
740,0,0,-2,3,-2,2,4
741,0,-1,3,-3,3,-3,2
742,0,3,-1,-2,2,-2,3
743,2,-3,3,0,-1,-2,1
744,-1,3,-3,-1,4,-1,3
745,-3,3,0,-3,1,0,3
746,0,0,0,0,4,-2,3
747,2,1,-3,3,-3,1,4
748,0,0,0,0,0,0,0
749,-1,-1,1,-2,2,-2,2
750,1,1,-3,3,-3,3,4
751,0,0,0,0,0,0,0
752,0,0,0,0,4,-1,3
753,0,4,-3,-1,0,0,5
754,3,-3,-1,4,-3,3,4
755,1,-2,1,-1,0,2,1
756,-3,0,-1,4,-3,1,4
757,-3,-1,0,0,0,4,0
758,-3,-1,0,4,-3,-1,4
759,3,-3,0,3,-1,1,4
760,-3,3,-2,-1,2,0,3
761,-3,-1,0,0,4,-3,3
