CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가구인테리어_잡화_중가_clust_id
50,-1,-1,0,4,-3,3,4
51,-3,-1,0,4,-3,-1,4
52,4,-3,-1,0,0,0,1
53,0,-1,0,4,-3,-1,4
54,3,-3,3,-3,-1,0,1
55,0,0,0,0,4,-3,2
56,-3,-1,0,4,-3,3,4
57,0,0,0,0,0,0,0
58,4,-3,-1,0,0,0,1
59,-1,3,-3,-1,0,0,3
60,0,0,0,4,-3,-1,4
61,-1,0,3,-3,-1,0,5
62,0,4,-3,-1,4,0,2
63,-3,-1,0,4,-3,0,4
64,0,0,0,0,0,4,0
65,0,0,0,0,0,0,0
66,0,0,0,0,4,-3,2
67,4,-3,-1,0,0,0,1
68,0,0,1,-1,1,0,0
69,0,0,0,0,0,0,0
70,0,4,-1,-2,-1,4,3
71,0,0,0,0,0,0,0
72,4,-3,-1,0,4,-3,1
73,-2,1,-2,1,-1,3,3
74,0,-1,-1,3,-3,3,4
75,0,0,0,0,0,0,0
76,-1,0,-2,-1,0,0,0
77,3,-1,-2,-1,4,0,1
78,-2,1,0,1,-3,3,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,4,0
81,-3,3,-3,2,-1,1,3
82,0,1,0,-2,3,-3,2
83,2,-3,0,-1,0,0,1
84,2,0,1,-3,3,-3,1
85,0,0,4,-2,-1,-1,5
86,-2,-1,-1,0,4,-3,2
87,0,0,4,-3,3,-3,5
88,-2,1,1,-3,-1,0,5
89,0,4,-3,3,-3,-1,3
90,-1,4,-2,2,-2,0,3
91,0,0,0,4,-2,-1,4
92,-1,0,-2,3,-3,3,4
93,-1,-1,3,0,-3,3,5
94,4,-3,3,-3,-1,0,1
95,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
97,-1,4,-3,-1,4,-1,2
98,-1,0,4,-3,-1,0,5
99,-1,0,3,0,-3,2,5
100,-2,-1,0,3,-1,-2,4
101,0,0,0,0,0,0,0
102,-1,4,-2,2,-3,3,3
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,4,-3,3,-3,3,-3,1
106,3,-2,-1,3,-3,3,4
107,3,-1,-2,3,-3,3,4
108,1,-1,-1,3,-2,1,4
109,0,0,0,0,0,0,0
110,0,4,-3,3,-1,-1,3
111,0,0,0,0,0,0,0
112,3,-2,1,-1,0,0,1
113,-2,0,-1,3,-1,-2,4
114,0,0,0,0,0,0,0
115,-3,3,-3,3,-3,-1,3
116,-1,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,3,-2,-1,3,-3,3,4
119,-3,3,-1,-2,3,-3,2
120,-1,1,0,-2,2,-1,2
121,0,0,0,4,-2,0,4
122,0,0,4,-3,3,-2,5
123,0,0,4,-3,-1,0,5
124,0,0,-1,3,-3,0,4
125,0,0,0,0,0,0,0
126,0,0,4,0,-3,-1,5
127,-3,0,-1,0,0,4,0
128,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0
130,0,-2,0,-1,0,0,0
131,0,-3,3,-3,-1,4,5
132,0,0,0,4,-2,1,4
133,4,-3,-1,0,0,0,1
134,-2,-1,-1,4,0,-1,4
135,0,0,0,0,4,-3,2
136,4,-2,-1,-1,4,-1,1
137,-1,0,4,-3,3,-3,5
138,4,-3,-1,4,-3,3,4
139,-1,3,-3,3,-2,-1,3
140,-1,3,-3,-1,0,0,3
141,0,0,0,0,0,0,0
143,0,0,0,4,-3,-1,4
144,0,0,0,0,0,0,0
145,-3,3,-1,-2,-1,0,3
146,0,2,-1,-1,-1,3,0
147,-3,3,-1,0,-2,3,3
148,0,0,0,0,0,0,0
149,4,-3,-1,4,-3,-1,4
150,-3,3,-1,-2,-1,0,3
151,1,-1,3,-3,1,1,5
152,-3,3,-3,-1,4,-2,2
153,-3,-1,0,0,0,0,0
154,-1,0,0,0,0,4,0
155,-1,-1,0,-1,-1,4,0
156,3,-3,3,-2,1,0,1
157,4,-3,3,-1,1,-2,1
158,4,-3,-1,0,0,0,1
159,-2,1,-2,-1,0,4,0
160,3,-3,-1,4,-3,0,4
161,-3,3,-2,0,-1,2,3
162,-2,0,0,2,-1,-2,0
163,-3,-1,0,0,4,-3,2
164,-2,-1,3,-3,-1,0,5
165,-2,1,1,-3,1,-1,5
166,0,-1,4,0,-3,2,5
167,-1,3,-3,0,-1,0,3
168,-1,-2,0,3,-1,-1,4
169,-1,0,0,4,-3,3,4
170,0,0,0,0,0,0,0
171,-3,-1,0,0,0,4,0
172,4,-3,-1,0,0,0,1
173,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,0,0,0,4,-3,-1,4
177,1,0,-2,1,0,1,0
178,-3,3,-2,-1,3,-2,2
179,-2,0,3,-2,-1,3,5
180,0,0,0,0,0,0,0
181,0,4,-1,-1,-1,3,3
182,-1,-1,-1,-1,4,-2,2
183,0,0,0,0,0,0,0
184,4,0,-3,3,-3,3,4
185,0,4,-3,-1,0,0,3
186,-1,-1,0,0,4,-3,2
187,3,-2,-1,3,0,-2,4
188,0,4,-3,-1,4,-3,2
189,0,-1,-1,3,-2,2,4
190,-3,3,-3,3,-1,-2,3
191,-2,1,-1,1,0,-1,0
192,-3,0,0,3,-2,-1,4
193,0,0,0,0,0,0,0
194,-1,-1,3,-1,-1,-1,5
195,0,0,0,0,0,0,0
196,-3,2,0,0,-2,1,3
197,-2,2,-2,0,0,0,3
198,0,0,0,0,4,-2,2
199,0,0,0,0,0,0,0
200,-3,-1,0,0,0,0,0
201,-1,-2,0,0,3,-2,2
202,-1,-1,1,-2,3,-2,2
203,0,0,0,0,0,0,0
204,0,-3,3,-1,1,-2,5
205,4,-3,-1,4,-3,-1,4
206,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0
208,0,0,-1,-1,0,-1,0
209,-1,-1,3,-2,-1,-1,5
210,0,0,0,0,0,0,0
211,0,0,0,0,4,-2,2
212,0,0,0,4,-3,-1,4
213,0,4,-1,-1,2,-3,2
214,-2,-1,0,0,4,-3,2
215,-3,0,3,0,-3,-1,5
216,0,0,4,-3,-1,0,5
217,0,0,0,0,0,0,0
218,1,-1,1,-2,3,-2,2
219,0,0,-1,0,1,-1,0
220,0,0,0,0,4,-3,2
221,0,4,-3,0,3,-2,2
222,1,0,-1,0,2,-3,0
223,-2,0,2,-2,1,-1,5
224,-2,3,-2,0,0,-1,3
225,4,-3,-1,4,-3,3,4
226,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0
228,0,0,0,0,0,4,0
229,1,-2,3,-3,3,-2,5
230,3,-3,3,0,-3,-1,1
231,0,0,0,0,0,0,0
232,3,-3,-1,0,0,0,1
233,4,-3,-1,0,4,-3,1
234,0,0,4,-2,-1,-1,5
235,-2,0,1,-1,-1,-1,0
236,0,0,0,0,0,0,0
237,3,-1,-2,3,-3,-1,4
238,-1,1,-3,-1,0,0,3
239,-3,3,-1,-1,-1,3,3
240,3,-1,-2,-1,0,0,1
241,4,-2,0,1,-2,3,1
242,4,-1,-2,-1,0,4,1
243,0,0,0,0,0,0,0
245,0,-2,-1,4,-3,-1,4
246,1,0,-2,3,-2,0,4
247,0,0,0,0,0,0,0
248,4,-3,-1,0,4,-3,1
249,0,-1,-1,-1,4,-3,2
250,1,1,-3,2,0,-2,3
251,-2,-1,3,-2,1,0,5
252,0,0,0,4,-3,-1,4
253,-2,3,-2,-1,-1,0,3
254,0,0,0,0,0,0,0
255,-3,1,-1,-1,0,4,0
256,-2,-1,-1,4,-1,-1,4
257,-1,3,-3,-1,0,4,3
258,-1,0,0,0,4,-2,2
259,-3,3,-3,3,-3,-1,3
260,0,0,0,0,4,0,2
261,-2,2,0,-2,3,-3,2
262,2,-2,-1,4,-1,-2,4
263,0,0,0,0,0,4,0
264,0,0,0,0,0,0,0
265,-1,3,-3,3,-3,-1,3
266,-1,-1,0,0,0,1,0
267,0,4,-2,2,-3,0,3
268,-1,2,-3,0,-1,4,3
269,0,0,4,-3,-1,0,5
270,-3,-1,0,0,0,0,0
271,-3,-1,0,4,-2,2,4
272,3,-1,0,-1,1,-2,1
273,-1,0,3,-3,0,3,5
274,0,0,0,0,0,0,0
275,-3,3,-3,3,-3,3,3
276,0,0,4,-3,-1,0,5
277,4,-1,-2,3,-3,3,4
278,0,0,0,0,0,0,0
279,-3,3,-3,-1,0,0,3
280,-1,0,-2,3,-3,-1,4
281,-1,4,-2,1,-1,1,3
282,3,-1,-1,0,0,1,1
283,-3,3,-3,3,0,-3,3
284,0,0,0,0,0,4,0
285,0,0,0,0,0,0,0
286,0,4,-1,-1,0,-1,3
287,0,0,0,0,0,0,0
288,4,-3,-1,0,0,4,1
289,0,0,4,-3,-1,0,5
290,0,0,4,-3,-1,0,5
291,-1,0,0,0,0,0,0
292,-1,2,-1,-1,1,-2,2
293,-3,-1,0,4,-3,-1,4
294,0,1,-2,0,2,-2,2
295,2,-2,3,-3,3,-3,1
296,-1,0,3,-1,-1,0,5
297,-2,0,1,-1,1,0,0
298,-2,2,-2,3,-1,-2,3
299,4,-3,-1,0,0,4,1
300,-3,-1,0,0,4,-3,2
301,0,0,4,-3,-1,0,5
302,0,2,-3,3,-3,-1,3
303,0,0,4,-3,-1,0,5
304,-1,0,0,4,-3,-1,4
305,-3,0,3,-3,3,-2,5
306,3,-2,0,-1,3,-3,1
307,-1,3,0,-2,1,-2,2
308,0,-3,0,3,-3,-1,4
309,-1,1,-1,1,-1,-1,0
310,-3,-1,0,4,-3,-1,4
311,-2,-1,-1,4,-1,-2,4
312,4,-2,-1,-1,4,-3,1
313,0,-1,0,3,-2,1,4
314,-3,1,1,1,-3,-1,0
315,-2,1,0,-1,0,0,0
316,0,0,4,-3,3,-3,5
317,-1,-1,-1,3,0,-2,4
318,-1,0,0,4,-2,1,4
319,-2,0,-1,3,-3,-1,4
320,-1,-1,4,-1,-1,2,5
321,0,-2,3,-1,0,-1,5
322,-2,-1,-1,0,4,-2,2
323,0,-2,0,3,-2,1,4
324,3,-2,-1,-1,0,0,1
325,-3,-1,0,0,4,-3,2
326,-3,-1,4,-2,1,0,5
327,0,0,1,-1,2,-2,0
328,-2,-1,3,0,-2,-1,5
329,-1,-2,-1,0,4,-2,2
330,0,0,4,-3,-1,0,5
331,0,0,4,-3,-1,0,5
332,-1,4,-3,2,-2,-1,3
333,-2,3,-3,3,-3,3,3
334,-2,0,2,0,-3,0,0
335,0,-2,2,1,-3,3,4
336,0,0,0,0,0,4,0
337,3,-3,2,-1,-1,3,1
338,0,0,4,-3,-1,4,5
339,-3,-1,0,0,0,0,0
340,-1,3,0,-2,-1,0,3
341,0,4,-2,-1,3,-2,2
342,0,0,0,0,0,0,0
343,-3,-1,4,-3,3,-2,5
344,4,-3,3,-3,-1,4,1
345,1,-1,1,-2,-1,4,0
346,0,0,0,0,4,0,2
347,-1,4,-3,-1,4,-3,2
348,0,0,0,0,0,0,0
349,-1,3,-3,0,3,-3,2
350,0,-1,0,0,4,-3,2
351,0,0,2,-3,2,-2,5
352,-3,3,-3,3,-3,-1,3
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,-2,1,0,-2,3,-3,2
356,4,0,-3,3,-3,-1,4
357,0,0,0,4,-3,-1,4
358,-3,3,-1,0,-2,2,3
359,3,0,-1,-2,-1,0,1
360,4,-3,-1,0,4,-3,1
361,2,-2,0,-1,3,-3,1
362,-2,-1,3,-2,-1,-1,5
363,-2,2,1,-2,0,-1,0
364,0,0,0,0,0,4,0
365,-1,4,-3,-1,4,-3,2
366,0,0,0,0,0,0,0
367,-3,3,-3,3,-3,-1,3
368,-3,-1,4,-3,3,-3,5
369,0,1,0,0,-2,3,0
370,0,0,0,0,0,0,0
371,3,-3,-1,4,-3,3,4
372,-3,-1,0,0,0,0,0
373,-3,-1,4,-3,0,0,5
374,2,-2,-1,0,4,-2,1
375,4,-3,-1,4,-3,3,4
376,0,0,0,0,0,0,0
377,-1,3,-2,-1,3,-2,2
378,3,-1,0,0,-2,3,1
379,0,3,0,-2,0,2,0
380,-3,-1,0,0,0,0,0
381,-3,-1,4,-1,-2,-1,5
382,0,0,0,4,-3,3,4
383,4,0,-3,3,-3,3,4
384,0,0,0,0,4,-3,2
385,-1,-2,-1,0,0,0,0
386,-1,0,0,4,0,-3,4
387,-3,-1,4,-1,0,-2,5
388,3,-2,1,-2,3,-3,1
389,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0
391,-3,-1,0,4,0,-2,4
392,0,0,0,0,0,0,0
393,-1,3,-1,-1,1,-2,3
394,0,4,-3,3,0,-3,3
395,-3,3,-1,-2,-1,4,3
396,0,4,-3,-1,0,0,3
397,4,-3,-1,0,4,-3,1
398,-2,-1,4,-1,-2,3,5
399,0,0,0,0,4,-3,2
400,0,0,1,0,-1,1,0
401,3,-2,2,-2,0,1,1
402,-2,3,0,-3,3,-3,2
403,0,0,0,0,0,0,0
404,2,-1,1,-2,3,-1,1
405,-1,2,1,-3,-1,4,5
406,0,0,4,-3,-1,0,5
407,0,-1,-1,3,-1,-2,4
408,1,-2,3,0,-1,-2,5
409,-3,3,0,-1,-1,0,3
410,4,-2,-1,-1,0,0,1
411,2,-3,0,3,-3,3,4
412,3,-2,1,0,-2,3,1
413,-1,-2,3,-3,3,-3,5
414,-3,3,-3,0,3,-2,2
415,0,0,0,4,-3,-1,4
416,1,2,-3,0,-1,0,3
417,-3,2,0,-1,-1,3,3
418,0,0,0,0,0,0,0
419,-3,-1,0,0,0,0,0
420,4,-2,1,-1,0,1,1
421,-2,2,0,-1,1,0,0
422,-3,-1,0,4,-3,-1,4
423,0,-2,3,-2,1,-2,5
424,0,0,0,0,0,0,0
425,0,0,0,0,4,-1,2
426,0,-1,0,-1,3,-2,2
427,4,-3,3,-3,-1,0,1
428,-2,-1,3,-3,3,0,5
429,4,-3,3,-2,-1,3,1
430,-3,3,-3,3,-1,0,3
431,0,0,0,4,-3,-1,4
432,4,0,-1,-2,-1,0,1
433,-3,3,-3,3,-2,2,3
434,-3,1,-1,3,-2,-1,4
435,-2,-1,-1,4,-2,0,4
436,0,4,-3,3,-2,2,3
437,0,0,0,0,0,0,0
438,-3,-1,4,-3,3,-3,5
439,0,0,0,0,0,0,0
440,-1,-2,3,-3,2,-2,5
441,-1,0,1,-2,3,-3,2
442,0,0,0,0,0,0,0
443,-3,3,-2,0,-1,3,3
444,1,-2,-1,4,-3,3,4
445,0,0,4,-3,3,-3,5
446,0,4,-3,3,-1,-2,3
447,0,-1,1,-1,0,0,0
448,2,-1,0,-2,1,-1,1
449,-1,0,0,4,-3,-1,4
450,-2,0,1,0,-2,3,0
451,3,-3,1,2,-1,-1,1
452,0,0,0,0,0,0,0
453,-1,2,-3,3,-3,3,3
454,4,-3,-1,0,0,0,1
455,0,0,0,0,0,0,0
456,0,0,0,4,-2,1,4
457,-2,2,0,-1,1,-1,0
458,0,0,0,0,0,0,0
459,-1,1,-2,-1,4,-3,2
461,4,-3,-1,4,-1,-2,4
462,0,1,0,-1,0,0,0
463,3,-3,3,-2,2,-1,1
464,-1,4,-3,3,-3,-1,3
465,3,-3,3,-3,2,-2,1
466,1,-1,3,-3,0,3,5
467,0,4,-3,0,3,-1,2
468,0,-2,-1,0,4,-1,2
469,-1,-2,0,3,-2,-1,4
470,0,4,-3,-1,0,0,3
471,-3,3,0,-1,-1,0,3
472,0,0,4,-3,-1,4,5
473,0,-1,0,4,-3,-1,4
474,2,-1,0,-2,2,1,1
475,-2,1,-1,1,-2,3,3
476,0,4,-3,-1,0,0,3
477,-3,0,-1,4,-3,3,4
478,0,3,-1,-2,1,0,2
479,4,-3,0,-1,0,0,1
480,0,1,1,-2,-1,2,0
481,0,3,-2,-1,3,-1,2
482,4,-1,-1,-1,-1,4,1
483,-3,-1,0,0,0,0,0
484,-1,4,-3,3,-3,2,3
485,0,-3,-1,4,-3,1,4
486,-2,3,-1,0,-2,3,3
487,0,0,0,0,4,-3,2
488,0,0,0,0,0,0,0
489,-3,3,-1,-2,3,-2,2
490,-1,4,-3,3,-3,-1,3
491,-3,3,-3,-1,0,4,3
492,0,1,0,-2,3,-2,2
493,0,4,-3,3,-3,-1,3
494,-1,3,-3,-1,4,0,2
495,0,0,0,4,-3,3,4
496,-1,0,0,4,-3,3,4
497,0,3,-3,3,-3,-1,3
498,3,-3,0,-1,4,-3,1
499,0,0,0,0,0,0,0
500,0,0,0,0,4,-3,2
501,-3,3,-3,2,-2,3,3
502,-1,4,-3,3,-2,-1,3
503,4,-1,-2,3,-3,-1,4
504,-2,1,2,-3,0,3,5
505,1,-1,0,0,-1,3,0
506,-1,3,0,-3,0,3,0
507,-2,-1,0,-1,4,-3,2
508,4,-3,3,-3,3,-3,1
509,-3,3,-3,3,-1,-2,3
510,-2,-1,2,-1,2,-3,5
511,3,-3,-1,0,4,-3,1
512,0,0,0,0,0,0,0
513,2,1,-3,2,-1,2,4
514,4,-3,-1,0,4,-3,1
515,-3,0,3,-3,-1,0,5
516,-2,-1,4,-3,-1,4,5
517,0,4,-1,-2,0,-1,3
518,-1,1,-1,1,-1,1,0
519,-1,4,0,-3,1,2,2
520,-1,1,0,-1,-1,3,0
521,-1,3,-2,1,0,0,3
522,-3,3,-2,-1,-1,0,3
523,0,4,-3,-1,0,0,3
524,3,-3,3,-2,-1,3,1
525,4,-2,-1,-1,0,0,1
526,-1,0,3,0,-2,-1,5
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,0,-1,-1,3,-2,1,4
530,-3,0,-1,4,-1,0,4
531,0,0,0,0,0,0,0
532,1,0,-2,3,-1,-2,4
533,0,0,0,0,0,0,0
534,-3,-1,0,4,-3,3,4
535,0,0,-1,0,1,-2,0
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,4,-2,1,-2,3,-3,1
539,-3,3,-3,2,-1,1,3
540,-3,3,-3,0,-1,4,3
541,0,0,0,0,0,0,0
542,3,-1,-2,0,3,-2,1
543,-2,-1,0,0,0,0,0
544,2,-1,-1,3,0,-2,4
545,-1,3,-3,-1,4,0,2
546,0,-3,3,-3,3,-3,5
547,0,0,0,0,4,-3,2
548,3,-3,2,-1,1,0,1
549,0,4,-3,3,-3,0,3
550,3,-3,3,-2,1,-2,1
551,-3,3,-3,-1,4,-3,2
552,0,0,0,4,-3,-1,4
553,0,-2,-1,3,-3,-1,4
554,-1,-1,3,-2,0,1,5
555,0,4,-3,-1,0,4,3
556,-3,3,-3,-1,0,0,3
557,-3,3,-3,0,-1,0,3
558,-1,3,-3,3,-2,0,3
559,4,0,-3,2,0,-2,1
560,3,-2,0,2,-2,0,4
561,-1,0,-2,0,3,-2,2
562,-2,3,-3,3,-1,0,3
563,-1,-2,3,-2,0,2,5
564,0,0,0,4,-3,-1,4
565,-3,-1,0,4,-3,3,4
566,4,-3,-1,0,0,0,1
567,3,-3,-1,4,-2,1,4
568,0,0,0,0,4,-3,2
569,-1,-1,0,-1,0,3,0
570,0,0,0,0,0,0,0
571,0,3,-3,3,-1,-1,3
572,-2,-1,4,-3,3,-3,5
573,-3,-1,0,4,-3,-1,4
574,0,3,-2,0,2,-3,2
575,3,0,-3,-1,0,0,1
576,3,-2,-1,1,2,-3,1
577,-1,4,0,-3,0,-1,3
578,-3,2,-2,-1,4,-2,2
579,0,0,0,0,0,0,0
580,0,4,-1,0,-1,-1,3
581,0,0,0,0,0,0,0
582,-3,0,3,-3,-1,0,5
583,0,0,0,0,0,0,0
584,1,0,0,-1,-1,0,0
585,1,-1,1,-2,2,1,1
586,-1,-2,-1,0,4,-3,2
587,2,-1,1,-2,-1,4,1
588,-1,-2,0,-1,0,4,0
589,0,1,-2,3,-3,-1,4
590,-3,-1,0,0,0,4,0
591,0,0,0,0,0,0,0
592,-1,-1,1,0,-2,3,0
593,-1,-2,-1,4,-3,3,4
594,0,0,2,-2,1,-1,5
595,3,-3,2,-2,3,0,1
596,1,0,-1,0,1,-2,0
597,4,-3,0,-1,0,4,1
598,3,-3,-1,0,0,0,1
599,0,3,-3,-1,4,0,2
600,4,0,-3,-1,4,-3,1
601,0,-2,-1,4,-2,0,4
602,3,-3,3,-1,-1,0,1
603,-2,2,0,-2,0,3,0
604,-2,0,3,-1,-1,2,5
605,0,0,0,0,0,0,0
606,4,-3,-1,0,0,0,1
607,-2,-1,0,3,-1,-1,4
608,-1,-1,-1,3,-2,-1,4
609,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0
611,0,0,-1,-1,0,4,0
612,1,-2,0,-1,0,0,0
613,-3,3,-3,2,-2,3,3
614,0,1,-1,0,-1,3,0
615,-1,1,0,-2,3,-3,2
616,0,0,0,4,-3,-1,4
617,0,-1,-1,3,-1,0,4
618,0,-2,0,-1,0,0,0
619,0,0,0,4,-3,-1,4
620,-1,0,-1,3,-2,2,4
621,-1,0,0,0,0,0,0
622,-1,-1,0,4,-3,-1,4
623,0,0,4,-1,-2,-1,5
624,0,0,0,0,0,4,0
625,-3,0,-1,0,4,-2,2
626,0,4,-3,-1,0,0,3
627,0,4,-3,-1,0,4,3
628,0,0,0,0,0,0,0
629,-1,4,-3,3,-3,-1,3
630,-1,-2,-1,4,-3,-1,4
631,1,-1,-1,-1,-1,4,0
632,-1,0,0,0,4,-3,2
633,-2,3,0,-1,-1,0,3
634,-1,3,-3,-1,0,0,3
635,-3,1,-1,-1,0,0,0
636,-1,4,-3,-1,0,0,3
637,-1,0,4,-3,3,-2,5
638,-3,2,1,-1,-1,1,0
639,4,-3,-1,0,0,4,1
640,0,0,-2,-1,4,-2,2
641,0,-2,3,-3,3,-1,5
642,-3,-1,4,-2,2,-2,5
643,0,3,-1,0,-2,0,3
644,-2,2,-3,0,-1,0,3
645,-2,-1,0,4,-1,-1,4
646,0,4,-3,3,-3,3,3
647,0,0,0,0,0,0,0
648,2,-2,0,0,1,-2,1
649,-1,-1,0,0,4,-1,2
650,4,-3,-1,0,4,-3,1
651,-2,0,1,-1,2,-2,2
652,-1,0,1,-1,2,-3,0
653,0,4,-3,3,-3,-1,3
654,0,0,0,0,0,0,0
655,-3,-1,0,0,0,0,0
656,-2,-1,-1,4,-3,0,4
657,-2,1,-1,2,-3,3,4
658,0,3,-1,-1,-1,3,3
659,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0
661,-2,-1,4,-1,0,-2,5
662,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0
664,-3,-1,4,0,-1,-2,5
665,0,4,-3,3,-1,-1,3
666,0,0,0,4,-3,-1,4
667,0,4,-3,3,-3,-1,3
668,0,0,0,0,0,0,0
669,-1,-2,3,-3,3,-3,5
670,-2,-1,3,-2,-1,3,5
671,-1,0,0,0,0,0,0
672,0,1,-2,3,-2,1,4
673,-1,-1,2,1,-3,2,0
674,-1,1,1,-3,0,3,5
675,-1,0,4,-2,1,-2,5
676,2,0,-2,3,-2,-1,4
677,0,0,0,4,-1,-2,4
678,0,0,0,0,0,0,0
679,0,0,0,0,0,0,0
680,0,0,0,4,0,-3,4
681,3,-3,-1,4,-3,3,4
682,4,-3,-1,0,0,0,1
683,-3,-1,0,4,-3,-1,4
684,3,0,-3,3,-3,-1,4
685,0,0,0,0,0,0,0
686,-2,1,-1,3,-2,-1,4
687,-3,3,-3,3,-3,3,3
688,0,0,0,0,4,-3,2
689,-3,3,0,-3,3,-3,2
690,-1,1,-2,2,0,-2,3
691,3,0,-3,0,-1,0,1
692,-3,3,-1,-2,-1,0,3
693,-1,-1,0,-1,3,-1,2
694,-3,3,-3,3,-3,3,3
695,-2,-1,3,-3,1,2,5
696,-3,3,-3,-1,4,-3,2
697,-2,-1,0,3,-3,3,4
698,-3,-1,4,-1,0,-2,5
699,0,4,-3,-1,0,0,3
700,4,-3,0,-1,4,-3,1
701,0,1,-1,1,-2,3,0
702,3,-2,1,-2,3,-3,1
703,1,0,-2,3,-1,-1,4
704,1,-2,3,-2,0,1,5
705,0,0,0,0,4,-3,2
706,-3,-1,0,4,0,-3,4
707,-2,2,-3,3,-2,0,3
708,-2,2,-1,-2,2,0,2
709,-1,0,4,0,-2,-1,5
710,4,-3,3,0,-3,-1,1
711,-3,3,-3,-1,4,-3,2
712,-1,1,-1,1,1,-2,0
713,-3,3,-3,2,0,-1,3
714,4,0,-3,3,0,-3,4
715,0,-1,1,-1,0,1,0
716,4,-3,0,-1,0,4,1
717,0,0,-1,3,-2,-1,4
718,-3,3,-3,3,-1,-2,3
719,-3,-1,0,0,0,4,0
720,3,-3,3,0,-3,-1,1
721,0,4,-3,-1,0,0,3
722,-1,0,0,0,0,4,0
723,-2,-1,-1,0,4,-2,2
724,0,0,0,0,0,0,0
725,0,0,4,-2,-1,3,5
726,0,0,0,0,0,0,0
727,1,-1,-1,3,-3,3,4
728,-2,1,-1,2,-3,3,4
729,-1,4,-3,-1,4,-3,2
730,0,1,-3,3,-3,-1,4
731,4,-1,-2,3,-3,3,4
732,1,-1,-1,3,0,-2,4
733,0,-2,2,0,-2,2,0
734,0,0,0,0,0,0,0
735,-1,-1,-1,3,-2,0,4
736,-1,-1,1,-1,-1,-1,0
737,-2,-1,3,-2,1,0,5
738,0,4,-3,-1,4,-3,2
739,0,0,0,4,-3,-1,4
740,0,0,0,0,0,0,0
741,4,0,-3,-1,0,0,1
742,-3,-1,0,0,4,-3,2
743,-3,3,-3,-1,0,0,3
744,4,-3,-1,0,4,-3,1
745,-1,0,0,0,0,0,0
746,0,1,-1,-2,2,1,2
747,-1,0,-1,1,-1,-1,0
748,-3,3,-2,1,-2,3,3
749,0,0,0,4,-3,0,4
750,0,0,0,0,0,4,0
751,0,0,0,0,0,0,0
752,0,-2,3,-2,1,-1,5
