CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,교육문화_아동_중가_clust_id
156,0,3,-3,3,-3,3,5
157,0,0,0,0,0,0,0
158,-1,1,-1,2,-2,1,5
159,-2,2,-2,0,0,1,3
160,0,0,0,4,-3,-1,5
161,3,-2,0,2,-3,0,2
162,-1,0,-2,1,2,-3,0
163,-1,-2,3,-3,-1,0,4
164,0,0,0,4,-2,2,5
165,-2,0,3,-3,-1,0,4
166,-2,2,-3,2,0,-1,5
167,0,0,0,0,0,0,0
168,3,-3,3,-2,0,1,4
169,-1,0,0,0,0,0,0
170,0,0,0,0,0,0,0
171,0,0,0,0,4,-3,1
172,-3,0,-1,0,0,4,0
173,4,-3,-1,4,-3,-1,2
175,-1,0,4,-3,-1,0,4
176,0,4,0,-2,0,-1,3
177,3,-3,-1,0,0,0,2
178,0,0,0,0,0,0,0
179,-1,4,-3,3,-3,3,5
180,-1,0,0,0,4,-3,1
181,1,1,-1,0,1,0,0
182,-3,-1,0,0,0,0,0
183,3,-3,3,-3,0,3,4
184,-2,3,-3,3,-3,3,5
185,4,-3,-1,0,0,0,2
186,-1,3,-3,3,0,0,5
187,0,0,0,0,0,0,0
188,0,0,0,0,0,4,0
189,-3,3,-1,0,-2,3,3
190,4,-3,-1,4,-3,-1,2
191,-3,-1,0,4,-3,-1,5
192,-1,0,0,0,0,0,0
193,0,-3,-1,0,0,0,0
194,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0
196,-2,-1,3,-3,3,-2,4
197,1,-1,1,-1,1,1,0
198,-1,0,0,0,4,-3,1
199,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
201,0,4,-3,-1,0,0,3
202,-3,3,-3,3,-3,3,5
203,0,0,0,0,0,0,0
204,-2,-1,0,4,-3,-1,5
205,0,0,0,0,0,0,0
206,4,-3,3,-3,3,-3,4
207,0,0,0,0,0,0,0
208,0,0,0,4,-3,-1,5
209,-3,3,-3,3,-3,-1,5
210,0,0,0,0,0,0,0
211,0,4,-1,-1,-1,-1,3
212,0,0,0,4,-3,3,5
213,-2,3,0,-2,1,-1,3
214,0,-3,-1,4,-3,-1,5
215,0,0,4,-3,3,0,4
216,0,0,0,0,0,0,0
217,0,1,-1,1,-2,3,5
218,-1,-2,3,-3,0,3,4
219,-3,0,0,3,-3,3,5
220,3,-3,3,0,-2,0,2
221,0,3,-1,-2,3,-3,3
222,2,-3,2,-2,3,-1,1
223,0,0,0,4,-3,3,5
224,3,-2,-1,2,-1,2,2
225,0,0,0,0,0,4,0
226,0,4,-3,-1,0,0,3
227,0,0,0,0,0,0,0
228,4,-3,-1,0,4,-2,1
229,4,-3,-1,0,4,-3,1
230,0,3,-3,-1,0,0,3
231,0,0,0,0,0,0,0
232,-3,-1,0,0,0,0,0
233,0,0,0,0,0,0,0
234,1,-1,1,-1,0,-1,0
235,0,4,-3,3,-1,-2,5
236,0,0,0,0,0,4,0
237,-2,3,-3,0,3,-3,3
238,0,0,0,0,4,-3,1
239,0,-1,3,-2,0,0,4
240,-1,-1,-1,4,0,-2,5
241,2,-2,3,-1,-2,3,4
242,-1,-2,0,3,-3,3,5
243,-3,3,-3,-1,0,0,3
245,0,0,0,0,0,0,0
246,3,-3,3,0,-3,3,2
247,0,0,0,0,0,0,0
248,-3,0,3,0,-2,-1,0
249,0,0,0,0,0,0,0
250,3,0,-1,-2,2,-2,1
251,-1,2,1,-2,2,-3,3
252,0,4,-3,-1,0,0,3
253,-2,0,2,-3,0,3,4
254,0,0,0,0,0,0,0
255,2,-2,2,1,-1,-2,2
256,0,-2,0,0,1,0,0
257,0,4,-3,3,-2,2,5
258,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0
260,3,-3,-1,0,0,4,2
261,-2,3,-2,0,1,-1,3
262,-2,0,0,1,-1,-1,0
263,-1,0,0,4,-3,-1,5
264,0,0,0,0,0,0,0
265,1,-2,3,0,-3,0,4
266,0,0,0,0,0,0,0
267,-1,0,0,2,-3,3,5
268,2,1,-1,-2,3,-2,1
269,2,-2,3,-3,3,-3,4
270,3,-3,3,-3,-1,0,4
271,0,-3,-1,0,0,0,0
272,-1,-2,3,-3,3,-2,4
273,0,1,-2,-1,3,-3,1
274,0,0,4,0,-1,-1,4
275,-2,0,0,3,-2,-1,5
276,0,0,0,0,0,0,0
277,4,-2,-1,-1,0,0,2
278,-3,-1,0,0,0,0,0
279,-3,3,-3,3,-1,-2,5
280,0,-1,0,0,4,-3,1
281,0,-2,3,-3,3,-1,4
282,-3,-1,0,0,0,4,0
283,0,3,-1,-2,-1,4,3
284,0,0,0,0,0,0,0
285,0,3,-1,-2,3,-3,3
286,0,0,0,0,0,0,0
287,1,0,1,-2,3,-3,1
288,3,-3,-1,4,-3,3,2
289,-2,-1,3,-3,3,-3,4
290,2,0,0,-1,-1,3,0
291,0,0,0,0,0,0,0
292,-1,4,-3,0,-1,0,3
293,0,0,0,0,0,4,0
294,3,-3,2,-1,1,-2,4
295,0,0,0,0,0,4,0
296,-1,0,4,-2,-1,0,4
297,-3,3,-3,0,3,-3,3
298,-3,0,-1,4,-3,3,5
299,0,0,0,0,0,0,0
300,1,1,0,-2,-1,3,0
301,0,0,0,0,0,0,0
302,-2,3,-3,3,-3,3,5
303,0,0,0,0,0,0,0
304,0,0,0,0,4,-3,1
305,-2,0,1,0,1,-3,0
306,3,-3,3,-2,0,-1,4
307,-2,0,1,-2,3,-1,1
308,4,-3,3,-2,2,-2,4
309,2,-3,3,-3,3,0,4
310,-3,-1,0,0,4,-3,1
311,-3,-1,4,-2,0,-1,4
312,4,-3,-1,0,0,0,2
313,0,-1,-1,2,1,-2,0
314,4,0,-3,2,1,-1,2
315,1,1,0,0,0,-2,0
316,-1,2,-3,2,0,0,5
317,3,-3,-1,4,-3,3,2
318,-1,2,1,-3,3,-2,1
319,2,-3,3,-3,3,-3,4
320,1,-1,1,-1,0,-1,0
321,0,0,0,0,0,0,0
322,0,4,0,-2,0,2,3
323,-3,1,1,0,-2,3,0
324,3,-1,-1,-1,3,-2,1
325,4,-3,3,-3,3,-3,4
326,0,-1,3,-3,1,0,4
327,1,0,-1,0,0,0,0
328,1,0,1,-3,3,-3,1
329,-1,0,0,0,0,0,0
330,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0
332,-3,3,-3,3,-2,-1,5
333,0,0,0,0,0,4,0
334,0,3,-3,-1,0,0,3
335,0,4,-3,-1,4,-1,3
336,-1,-1,3,-3,0,3,4
337,3,0,0,-3,0,3,0
338,-3,1,-1,-1,4,0,1
339,-3,-1,0,4,-3,0,5
340,0,0,0,0,0,0,0
341,3,-2,0,0,0,2,2
342,0,0,0,0,0,0,0
343,-3,-1,0,0,0,4,0
344,0,0,0,0,0,4,0
345,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0
347,3,-1,-2,-1,0,0,2
348,0,0,0,0,0,0,0
349,-1,1,-2,1,0,2,0
350,-1,0,0,4,-1,-2,5
351,0,3,-3,0,3,-3,3
352,0,4,-3,-1,0,0,3
353,0,-3,-1,4,-3,-1,5
354,-1,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,0,-3,2,0,-1,0,4
357,-2,-1,3,-1,-1,2,4
358,-3,3,-2,0,0,2,3
359,4,-3,-1,4,-3,-1,2
360,0,3,-3,3,0,-2,5
361,0,3,-3,3,-1,-2,5
362,0,4,-3,3,-1,-2,5
363,-2,2,0,-1,-1,0,0
364,3,-3,3,-3,3,-3,4
365,0,-3,3,-3,2,-2,4
366,0,4,-3,0,3,-3,3
367,0,0,0,0,0,0,0
368,-3,1,1,0,-1,0,0
369,1,1,1,-2,-1,3,0
370,3,-3,3,-2,-1,3,4
371,2,1,-1,1,-2,0,0
372,-1,0,0,0,0,0,0
373,0,-2,3,-1,-2,1,4
374,-1,0,4,-3,-1,4,4
375,-3,-1,0,0,0,0,0
376,0,0,0,0,0,0,0
377,-2,1,-2,3,0,-2,5
378,3,-1,0,-2,2,0,1
379,0,3,-2,-1,3,0,3
380,0,0,0,0,0,0,0
381,1,1,1,-3,2,-2,1
382,2,-1,-1,3,-2,-1,2
383,0,-2,-1,4,0,-2,5
384,1,-3,3,-2,-1,0,4
385,0,0,0,0,0,0,0
386,-1,0,0,0,0,0,0
387,-1,0,0,4,-1,-2,5
388,-1,4,-3,3,-3,0,5
389,-3,3,-3,-1,0,0,3
390,-2,-1,0,4,-3,-1,5
391,0,-1,0,0,0,4,0
392,0,0,0,0,0,0,0
393,0,0,0,0,4,-3,1
394,-1,4,0,-3,-1,0,3
395,0,0,0,0,4,-3,1
396,0,0,0,0,0,0,0
397,0,4,-3,-1,0,0,3
398,-2,-1,4,-2,-1,3,4
399,-1,3,-1,-1,-1,2,3
400,0,-3,3,-3,0,3,4
401,-2,3,-1,-1,1,-1,3
402,-3,-1,4,-3,2,1,4
403,0,0,0,0,0,0,0
404,3,-3,-1,4,0,-3,2
405,1,1,-3,3,-2,0,5
406,-3,0,0,3,-3,0,5
407,-3,1,1,-2,2,-1,0
408,-1,-1,-1,-1,4,-3,1
409,-2,3,-3,3,0,-2,5
410,0,0,0,0,0,0,0
411,0,3,-3,3,0,-3,5
412,0,-1,-1,4,-3,-1,5
413,1,-1,1,-1,2,-3,1
414,3,-1,1,-3,1,2,4
415,0,0,4,0,-3,-1,4
416,4,-3,3,-1,1,-1,4
417,1,1,-2,-1,3,0,1
418,0,4,-3,3,-3,-1,5
419,0,0,0,0,0,0,0
420,4,-3,3,-1,-2,0,2
421,0,-2,2,0,-1,0,0
422,-1,0,0,0,0,0,0
423,1,-3,3,-2,0,-1,4
424,-3,-1,0,0,0,0,0
425,0,0,0,0,4,-3,1
426,-3,3,-3,3,-2,-1,5
427,0,0,0,0,4,0,1
428,0,3,-1,-2,3,-2,3
429,4,-3,3,-3,0,-1,4
430,-1,3,-3,-1,0,4,3
431,0,0,0,0,0,0,0
432,0,0,4,-3,0,0,4
433,-2,3,-2,2,-3,3,5
434,0,2,0,1,-3,0,5
435,4,-3,0,-1,0,0,2
436,3,-1,-1,1,0,-2,2
437,0,0,0,0,0,0,0
438,0,4,-3,3,-3,3,5
439,0,0,0,0,0,0,0
440,0,0,1,-2,0,3,0
441,0,0,0,0,0,0,0
442,-1,0,0,0,0,0,0
443,-1,-1,1,1,1,-3,0
444,1,-2,0,1,-1,1,2
445,0,0,0,0,0,0,0
446,-1,0,0,0,0,0,0
447,1,-3,0,2,-2,3,2
448,-2,-1,1,1,0,-2,0
449,0,0,0,0,4,-3,1
450,1,0,2,-1,1,-2,4
451,1,-1,1,-1,1,-2,0
452,2,-3,-1,0,0,0,2
453,-3,3,-3,-1,4,-3,3
454,0,-1,-2,3,-1,-2,5
455,0,0,0,0,0,0,0
456,0,4,-3,-1,0,4,3
457,0,0,4,-3,-1,0,4
458,4,-3,-1,0,4,-1,1
459,-3,-1,0,0,0,0,0
461,0,0,0,4,-3,3,5
462,1,0,-1,3,-1,-2,5
463,-3,3,0,-3,0,3,3
464,2,-2,2,1,-3,2,2
465,-3,-1,0,0,0,0,0
466,-1,0,4,-2,0,0,4
467,4,-3,-1,0,4,-3,1
468,-1,0,4,-3,-1,0,4
469,4,0,-3,3,-2,0,2
470,0,0,4,-3,-1,0,4
471,-2,1,0,-2,0,3,0
472,-1,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,-2,3,-3,3,-1,-2,5
475,-1,1,-3,3,-2,0,5
476,0,0,0,0,0,0,0
477,-1,1,0,0,-1,1,0
478,0,0,0,4,-3,2,5
479,-3,-1,0,0,0,0,0
480,4,0,-3,-1,4,-3,1
481,3,-3,3,-3,-1,0,4
482,0,0,0,0,0,0,0
483,4,-3,-1,0,0,0,2
484,-1,2,-3,3,-1,0,5
485,3,-3,0,2,0,-1,2
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,-1,0,2,-1,-1,-1,0
490,0,0,4,-2,1,-2,4
491,0,3,-3,-1,0,4,3
492,0,0,0,0,4,0,1
493,0,0,0,0,0,0,0
494,0,-3,3,0,-2,0,4
495,0,0,0,0,0,0,0
496,4,-3,3,-2,0,-1,4
497,3,-2,-1,-1,0,0,2
498,0,0,0,0,0,0,0
499,0,0,4,-3,-1,0,4
500,3,-3,3,-1,-1,-1,4
501,1,0,0,0,-1,-1,0
502,-1,1,0,0,0,-2,0
503,-1,1,-2,2,-1,1,5
504,-2,1,-1,1,0,0,0
505,4,0,-2,-1,2,1,1
506,0,4,-3,-1,0,0,3
507,0,0,0,0,0,4,0
508,-3,-1,0,4,-3,3,5
509,1,-1,0,1,-1,1,0
510,-1,0,-1,1,0,-2,0
511,-2,1,-1,3,0,-3,5
512,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0
517,0,4,-3,3,-2,2,5
518,-3,-1,0,0,0,4,0
519,-3,3,-2,1,-2,3,5
520,3,-1,-2,3,-3,1,2
521,0,4,-3,-1,4,-2,3
522,0,4,-3,-1,0,0,3
523,0,0,0,0,0,0,0
524,-3,3,-3,-1,0,0,3
525,-3,3,-1,-1,0,2,3
526,1,-1,-1,2,1,-3,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,0,0,0,4,-3,-1,5
530,0,0,0,0,0,0,0
531,0,-2,0,0,0,1,0
532,2,-2,0,0,0,2,2
533,0,0,4,-3,-1,4,4
534,0,4,-3,3,-3,3,5
535,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,3,-3,3,-2,-1,3,4
539,-3,3,0,0,-2,-1,3
540,0,0,0,0,0,4,0
541,0,4,-3,3,0,-3,5
542,-1,0,0,0,0,0,0
543,0,0,0,0,0,0,0
544,-1,-1,1,0,-1,2,0
545,-1,-1,2,-3,2,0,4
546,0,0,0,0,0,0,0
547,-1,0,0,4,-3,-1,5
548,-1,-1,0,-1,3,-3,1
549,2,-1,1,-2,0,3,4
550,1,-3,3,-2,-1,3,4
551,4,-3,-1,0,0,0,2
552,-1,-1,3,-3,3,-3,4
553,0,0,4,-3,3,-3,4
554,-3,3,-3,-1,0,0,3
555,-3,-1,0,0,0,0,0
556,-1,0,1,-3,0,3,4
557,-3,-1,0,0,0,4,0
558,-1,4,0,-1,0,-1,3
559,0,0,0,0,0,0,0
560,-1,1,-3,3,-1,-1,5
561,-1,0,1,-1,2,-2,0
562,0,0,0,4,0,-3,5
563,0,0,0,0,4,-3,1
564,-1,0,1,-2,0,3,0
565,4,0,-3,3,-2,-1,2
566,0,0,0,4,0,-3,5
567,0,0,4,-3,-1,0,4
568,0,0,0,0,0,0,0
569,0,0,0,0,4,-3,1
570,0,0,0,0,0,0,0
571,-1,4,-3,3,-2,1,5
572,0,0,0,0,4,-3,1
573,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0
575,1,0,-1,-1,3,0,1
576,1,-2,-1,3,-3,0,2
577,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0
584,2,1,-3,1,2,-3,1
585,0,4,-3,-1,0,0,3
586,1,-1,3,-3,3,-3,4
587,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0
589,0,0,4,-3,-1,0,4
590,0,4,-3,-1,4,-1,3
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,-1,1,-2,2,-1,1,5
594,-2,0,0,2,-1,0,5
595,0,0,0,0,0,0,0
596,1,2,-3,3,-3,0,5
597,0,-1,4,-3,1,-1,4
598,0,0,0,0,0,0,0
599,-1,0,0,0,0,0,0
600,3,0,-3,3,-3,3,2
601,4,-3,-1,0,0,0,2
602,0,0,0,0,0,4,0
603,0,0,0,4,-3,3,5
604,-1,-2,3,-3,-1,4,4
605,0,0,0,0,0,0,0
606,-3,3,-3,3,-1,-1,5
607,0,0,0,0,0,0,0
608,0,3,0,-3,3,0,3
609,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0
611,0,0,0,0,4,-3,1
612,-2,3,-3,2,-2,3,5
613,0,3,-3,3,-3,3,5
614,-1,-2,2,1,-3,1,0
615,-3,3,-3,-1,4,-1,3
616,0,0,0,0,4,-3,1
617,3,-3,3,-1,1,-2,4
618,-1,0,-1,0,2,-2,0
619,-1,3,-2,-1,0,-1,3
620,-3,-1,0,0,0,0,0
621,0,0,0,0,0,0,0
622,-2,-1,3,0,-1,-2,4
623,-1,-1,0,3,0,-3,0
624,0,0,0,0,0,0,0
625,0,0,4,-3,-1,0,4
626,0,0,0,0,0,4,0
627,-3,0,3,-3,3,-3,4
628,3,-2,-1,3,-3,3,2
629,-1,0,4,-3,0,3,4
630,-3,-1,0,4,-2,-1,5
631,2,1,-3,2,-1,1,5
632,4,-3,-1,0,0,0,2
633,-1,0,0,0,4,-1,1
634,-3,3,-3,3,-3,-1,5
635,0,3,-3,2,-2,3,5
636,-3,3,-1,-2,3,-3,3
637,-1,3,-1,-2,0,3,3
638,0,0,0,0,0,0,0
639,2,-1,1,-1,0,-1,0
640,0,4,-3,0,3,0,3
641,0,4,-3,-1,0,0,3
642,-3,-1,4,-3,-1,4,4
643,0,4,-3,3,-3,-1,5
644,0,0,0,0,0,0,0
645,-1,0,2,-2,-1,1,4
646,-3,-1,0,0,0,0,0
647,0,4,-3,3,-3,-1,5
648,0,0,0,0,0,0,0
649,0,2,-1,-1,0,-1,3
650,-1,4,-3,-1,0,0,3
651,-2,-1,3,-2,0,1,4
652,0,0,0,0,0,0,0
653,-3,-1,0,0,4,-3,1
654,-3,1,2,-3,-1,4,4
655,0,0,0,4,-3,3,5
656,3,-3,1,1,-1,1,2
657,-3,3,-3,3,0,-3,5
658,-1,0,0,0,0,0,0
659,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0
661,1,-3,3,-3,3,-3,4
662,-1,4,-3,3,-3,3,5
663,0,0,0,0,0,0,0
664,-2,3,-3,3,-3,3,5
665,0,4,-3,3,-3,0,5
666,0,0,0,0,0,0,0
667,0,0,0,0,4,0,1
668,-3,-1,0,0,0,0,0
669,0,4,-3,0,-1,0,3
670,-3,3,-3,-1,0,4,3
671,2,-3,3,-3,3,-2,4
672,0,0,0,0,4,-3,1
673,0,3,-1,-2,0,3,3
674,0,0,-1,3,0,-2,5
675,-3,3,-3,3,-3,1,5
676,0,-3,1,-1,3,-3,1
677,-3,-1,0,0,4,-3,1
678,0,0,0,0,0,0,0
679,0,0,0,0,0,0,0
680,-3,2,-1,1,-1,2,5
681,3,-3,-1,0,0,0,2
682,0,4,-3,-1,0,0,3
683,0,0,0,0,0,4,0
684,0,0,0,0,0,0,0
685,0,0,0,0,0,0,0
686,-1,-1,0,-1,4,-3,1
687,-1,-1,0,4,-3,3,5
688,0,0,4,-3,-1,0,4
689,0,-2,3,-3,0,3,4
690,-1,2,-3,3,-3,2,5
691,-1,-1,3,-1,-2,2,4
692,4,-3,3,-3,-1,0,4
693,3,-2,-1,-1,4,-1,1
694,0,4,0,-3,-1,4,3
695,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0
697,3,-1,-2,3,-1,-2,2
698,0,0,0,0,0,0,0
699,0,0,-1,-1,0,0,0
700,0,0,0,0,0,0,0
701,-3,-1,0,0,0,0,0
702,0,0,0,0,4,-3,1
703,-1,4,-3,-1,0,0,3
704,-2,0,2,-2,-1,0,4
705,0,0,4,-3,3,-3,4
706,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0
708,0,0,0,0,4,-3,1
709,0,0,0,0,0,0,0
710,-1,-1,-1,3,-3,3,5
711,2,-1,1,-1,1,1,0
712,-1,0,0,0,0,0,0
713,0,-3,0,3,-2,0,2
714,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0
716,0,0,0,0,0,0,0
717,2,-1,-1,0,0,1,2
718,-1,-1,1,-1,0,-1,0
719,-2,3,-3,3,0,-2,5
720,0,0,4,-3,3,-3,4
721,-3,-1,0,4,-3,-1,5
722,0,0,0,0,0,0,0
723,-1,-1,-1,-1,0,0,0
724,0,0,0,0,0,0,0
725,0,0,4,-3,-1,0,4
726,0,0,0,0,0,0,0
727,3,-3,3,-3,3,-2,4
728,-2,-1,-1,4,-3,-1,5
729,0,0,0,0,0,0,0
730,2,-2,-1,3,-2,1,2
731,0,0,0,0,0,4,0
732,1,-2,3,-2,0,1,4
733,1,1,-2,3,-3,-1,5
734,0,0,0,0,0,4,0
735,0,0,4,-2,2,-3,4
736,-2,3,-2,1,-1,1,3
737,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0
739,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0
741,-3,-1,0,0,0,0,0
742,-3,3,-3,-1,0,0,3
743,-2,2,-3,3,0,-1,5
744,0,0,0,4,-1,1,5
745,0,4,-3,-1,0,0,3
746,0,0,0,4,-3,-1,5
747,3,-3,-1,0,0,0,2
748,-1,1,-2,2,0,-1,5
749,-1,0,0,4,0,-3,5
750,-3,-1,0,0,0,0,0
751,0,0,0,0,4,-3,1
752,0,-1,0,0,0,4,0
753,0,0,0,0,0,0,0
754,-3,-1,4,-3,-1,0,4
755,4,-1,1,-1,-2,-1,2
756,0,0,0,0,4,-3,1
757,-2,3,-3,3,0,-1,5
758,-3,1,0,1,-2,1,5
759,0,3,-3,3,-3,3,5
760,0,0,0,0,0,0,0
761,4,-3,-1,0,0,0,2
762,4,-3,3,-3,0,-1,4
763,-1,-1,-1,3,-1,-2,5
764,0,0,0,0,0,0,0
765,0,0,-2,3,0,-1,5
766,-2,-1,3,-3,2,0,4
767,0,0,0,0,0,0,0
768,0,0,0,4,-3,-1,5
769,-3,3,-3,3,-3,3,5
770,-1,0,0,0,0,4,0
771,0,0,0,0,0,0,0
772,-2,0,2,-1,-1,1,0
773,0,0,0,0,0,0,0
774,2,-2,0,1,1,-2,2
775,2,-3,0,-1,4,-3,1
