CUSTNO,Monetary_가전/레저취미/멀티샵_중가_증감여부_q2_q1,Monetary_가전/레저취미/멀티샵_중가_증감여부_q3_q2,Monetary_가전/레저취미/멀티샵_중가_증감여부_q4_q3,Monetary_가전/레저취미/멀티샵_중가_증감여부_q5_q4,Monetary_가전/레저취미/멀티샵_중가_증감여부_q6_q5,Monetary_가전/레저취미/멀티샵_중가_증감여부_q7_q6,Monetary_가전/레저취미/멀티샵_중가_증감여부_q8_q7,Monetary_가전/레저취미/멀티샵_중가_q2_q1_로그변환,Monetary_가전/레저취미/멀티샵_중가_q3_q2_로그변환,Monetary_가전/레저취미/멀티샵_중가_q4_q3_로그변환,Monetary_가전/레저취미/멀티샵_중가_q5_q4_로그변환,Monetary_가전/레저취미/멀티샵_중가_q6_q5_로그변환,Monetary_가전/레저취미/멀티샵_중가_q7_q6_로그변환,Monetary_가전/레저취미/멀티샵_중가_q8_q7_로그변환
20,4,1,0,4,1,4,2,12.82484199218315,-12.82484199218315,0.0,13.67728367243045,-13.67728367243045,11.370104212950814,-9.875472667705342
21,4,1,4,1,4,1,4,10.951231029284378,-10.951231029284378,10.648501347820979,-10.648501347820979,11.815325861868294,-11.815325861868294,11.255325409320822
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4,2,3,1,4,4,2,12.856480794507197,-12.475761746907832,12.187255673148139,-12.668626423619902,11.400138844080587,12.61516829801365,-12.146593039439907
24,4,2,2,1,4,4,4,11.2431369982373,-10.581099837636781,-9.771544140068835,-9.875339151656204,9.512807280450897,11.02981728822903,12.191365620660962
25,0,4,1,4,1,0,0,0.0,11.23151976436043,-11.153404705760234,10.351502252881973,-10.51800178221191,0.0,0.0
26,1,3,1,4,2,3,1,-13.860959073581181,12.562449039291344,-13.423567700143098,14.44697043804567,-13.737533213105975,11.876469783239294,-13.78625071811639
27,4,1,4,1,0,4,1,13.110791025854173,-13.110791025854173,11.61048591117416,-11.61048591117416,0.0,10.829433898745885,-10.829433898745885
28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2,1,4,4,2,2,3,-12.328774132270414,-12.932083742650569,13.06948262277802,15.013873534222535,-14.58171317624782,-13.65489950756022,14.425337240649064
30,4,1,0,4,2,3,1,11.712740071504001,-11.712740071504001,0.0,11.506463295806078,-10.96885683964189,10.313567593205319,-11.176843116630964
31,1,0,0,4,1,0,0,-10.973606776988776,0.0,0.0,11.33461492603344,-11.33461492603344,0.0,0.0
32,0,0,4,3,1,0,4,0.0,0.0,11.12329217716261,11.515320938240837,-12.031536830882331,0.0,11.283233841340241
33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4,1,0,0,0,0,0,10.968037855327147,-10.968037855327147,0.0,0.0,0.0,0.0,0.0
35,0,0,0,4,3,1,4,0.0,0.0,0.0,12.006057899219192,11.878842402013401,-12.637615693822456,12.996369214615843
36,0,4,1,3,1,4,1,0.0,13.435466586229726,-13.337198207088706,11.523379642305649,-12.014026020399289,12.327078060810766,-12.227133887473975
37,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,12.127324124568473,-12.127324124568473
39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,4,1,4,4,2,3,-11.473496583913573,11.762241917921532,-11.762241917921532,11.332086509938218,12.85496885444145,-12.584061392463754,11.75534624283394
41,0,0,0,4,1,0,4,0.0,0.0,0.0,11.897107418406371,-11.897107418406371,0.0,12.17871094092675
42,4,1,0,0,0,0,0,10.951231029284378,-10.951231029284378,0.0,0.0,0.0,0.0,0.0
43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4,1,4,2,3,1,4,12.897126147014577,-12.897126147014577,11.528752363794442,-10.550878602904493,11.156150728882178,-11.800937231523738,12.088136066291
45,0,4,2,3,1,1,4,0.0,13.544210482349134,-13.030747023035007,11.780871281157737,-12.767343493949687,-11.36568912303793,13.142717548073682
46,3,1,4,1,4,3,3,10.965703355642612,-12.061067634895,13.517851860438652,-13.517851860438652,12.779585525272536,11.787426486190265,12.429034910774785
47,4,2,1,4,1,4,3,12.423728445544318,-11.84676579344165,-11.599110522701432,11.040180163138823,-11.040180163138823,12.04618932346713,9.813591861463404
48,4,1,4,4,1,0,4,12.243539486736989,-12.335815892202369,11.52267337773621,12.681474919988286,-12.954443526736123,0.0,12.518803060124934
49,4,1,0,0,0,0,0,11.756864522938393,-11.756864522938393,0.0,0.0,0.0,0.0,0.0
50,4,2,1,4,2,2,2,13.644359633156625,-13.344390691221488,-12.645294375720114,13.308036600909935,-12.731135243922758,-11.578617151401604,-11.6319150502044
51,4,1,4,1,0,4,3,10.785719747356373,-10.785719747356373,12.292321537143065,-12.292321537143065,0.0,11.466749335638731,8.926210273213833
52,1,4,2,1,4,1,0,-12.571808855559508,13.07387983883528,-12.114721656247475,-12.590647902907252,12.203884615185768,-12.203884615185768,0.0
53,3,1,4,1,4,3,2,11.666391500266574,-12.457176247308846,10.651381742412925,-10.651381742412925,11.50452406596614,10.623088829974218,-11.002577273720215
54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,4,1,4,1,0,0,0.0,12.506231109150594,-12.251296534134706,12.165990830639547,-12.440766422374027,0.0,0.0
56,0,0,4,1,0,0,0,0.0,0.0,10.963446035378833,-10.963446035378833,0.0,0.0,0.0
57,0,0,4,1,0,0,0,0.0,0.0,11.014738463590522,-11.014738463590522,0.0,0.0,0.0
58,4,2,3,1,4,1,4,13.050895906183088,-11.302584857876283,10.23895482297732,-12.929880777992343,11.2431369982373,-11.2431369982373,10.252617219765028
59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1,0,4,1,4,4,1,-10.854466291609176,0.0,12.806706415192574,-12.806706415192574,11.6528082365616,13.019554382876262,-13.246636501049062
61,0,4,1,0,0,4,1,0.0,12.622354614787508,-12.622354614787508,0.0,0.0,10.885889520110345,-10.885889520110345
62,3,3,2,2,1,4,3,9.863373747960766,12.676517933150068,-11.876478831655575,-11.75471464259356,-12.212388819641106,12.281671055597519,10.45731905307569
63,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,10.37021496331843,-10.37021496331843,0.0
64,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1,3,1,4,1,0,4,-12.317817413200443,11.07071229033089,-11.823421137795986,10.672556668965953,-10.672556668965953,0.0,12.417057793862785
66,1,0,4,1,4,3,1,-12.182987617036614,0.0,11.139899670384008,-11.139899670384008,11.204423003038338,9.582740711927665,-11.384702845194619
67,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,14.771721723191565,-14.771721723191565
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,4,3,1,0,4,4,1,11.389313274019178,6.734356267629296,-11.709719433591077,0.0,10.817217772775123,12.442288564577261,-12.31581330220768
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,0,0,4,1,0,0,0.0,0.0,0.0,11.167333422929465,-11.167333422929465,0.0,0.0
73,4,1,0,4,1,4,1,11.668151967578044,-11.668151967578044,0.0,14.256325039291172,-14.256325039291172,14.182106051878499,-14.12431644418834
74,4,2,1,0,0,0,0,12.84884152895268,-11.228260728514885,-12.94940724009394,0.0,0.0,0.0,0.0
75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2,1,4,1,4,2,2,-11.175024636967573,-11.467795749129666,12.933605898272942,-12.933605898272942,12.111717979236113,-11.590354990306732,-8.359012549617614
77,4,2,1,0,0,4,4,10.916745468525797,-8.378418701231173,-10.834471593239067,0.0,0.0,11.587937325184699,14.122565162920127
78,1,4,3,1,4,2,1,-13.876663132796883,13.477093566118134,13.044723329764258,-13.811459223249692,13.437159852745502,-12.7328782951009,-13.090994460425938
79,4,2,1,0,4,1,4,11.139183398957062,-10.388446641362716,-10.500516582353772,0.0,11.534574509439183,-11.534574509439183,11.078025193551744
80,0,0,4,1,0,0,0,0.0,0.0,10.064572284459642,-10.064572284459642,0.0,0.0,0.0
81,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,11.121834623569795,-11.121834623569795
82,4,3,1,0,4,3,2,11.056505043283051,11.670804779287188,-12.103243525555536,0.0,11.304505165037469,9.879640146662261,-7.942477528027158
83,4,2,3,1,1,4,1,11.328035375998608,-9.968947942848597,9.96152088119761,-11.032200018471674,-9.958406277955262,11.228135711291138,-11.228135711291138
84,1,4,2,3,1,1,4,-14.386543823600535,13.54442983609855,-11.672871430443076,13.247271480966349,-13.8658082959634,-12.12849500674145,13.760298802710746
85,0,0,0,0,4,2,1,0.0,0.0,0.0,0.0,10.42905367176549,-6.525298930129307,-10.40871167946524
86,4,2,1,0,0,4,4,13.056836894403633,-12.704810432310499,-11.84194005105248,0.0,0.0,12.212551861454823,13.443802881406219
87,4,1,4,1,4,2,1,11.442711515596685,-11.442711515596685,14.459085825244186,-14.41653711207907,13.08391337271916,-12.28755166626722,-12.746785148118699
88,0,4,1,0,0,4,1,0.0,12.534670705649193,-12.534670705649193,0.0,0.0,13.77636292184382,-13.739681138219867
89,2,2,1,4,1,0,4,-11.334838376701228,-11.476263427542753,-11.004995483677606,13.71255897740437,-13.71255897740437,0.0,11.798935430193032
90,1,4,2,2,1,4,1,-11.973934720305156,12.154536542867547,-11.174276787468454,-10.113001400578142,-11.451273680885356,12.523781512745249,-12.258629336674748
91,0,0,4,1,0,0,0,0.0,0.0,11.119697259417832,-11.119697259417832,0.0,0.0,0.0
92,3,4,3,2,2,3,2,9.462380926708791,12.875056921194458,12.783362657609478,-11.352138345422707,-11.637026966290463,10.780448910430907,-12.779310989762726
93,4,4,1,0,0,0,4,9.735936051797038,12.709471232913133,-12.75932677382265,0.0,0.0,0.0,10.704589519759137
94,0,4,1,3,3,2,3,0.0,12.360621708169155,-12.061447134791317,9.436350120313564,11.55471587663287,-10.996571364206858,11.569759101795624
95,4,1,0,0,0,0,0,10.307696629080192,-10.307696629080192,0.0,0.0,0.0,0.0,0.0
96,4,1,3,1,0,4,1,12.749311684716611,-12.56860484649253,11.56431471539559,-11.99655692487422,0.0,12.843410250386373,-12.843410250386373
97,1,4,3,4,2,2,2,-16.92837833089406,15.035912709171145,14.034764096721634,17.841855243297537,-17.454273417089983,-16.465019277600963,-14.614833324673745
98,4,2,1,4,1,1,0,11.55859075648007,-10.100564568995882,-11.293732149660736,11.741758122936982,-11.503745758408025,-10.189716139660169,0.0
99,0,0,0,4,3,1,4,0.0,0.0,0.0,11.733319321703117,9.478133463326932,-11.833025309311179,11.128065385608632
100,4,1,1,4,4,1,1,14.43386121390682,-14.23199906815408,-12.734460098234674,11.10577642696209,12.697137104564284,-12.553969607000836,-11.609581727003677
101,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4,3,1,3,1,0,0,13.084278203476956,13.42243364092409,-13.897685021504866,10.122468159083603,-11.46732378921618,0.0,0.0
103,1,4,1,0,0,0,0,-10.546171907923343,11.082425985570284,-11.082425985570284,0.0,0.0,0.0,0.0
104,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,4,4,2,1,4,1,0,11.74121845820833,13.067985034346513,-12.874310843243421,-12.250198261672137,11.68992558271071,-11.68992558271071,0.0
106,2,1,4,1,4,1,4,-12.26933484571391,-12.806102899814915,12.223969949263104,-12.28260972719043,13.325869377875986,-13.146599359641815,13.857716452004128
107,2,1,4,1,4,3,3,9.084165304117752,-12.211459457390397,11.890197600778386,-11.890197600778386,11.904120732706962,11.964782605689335,10.785539972086339
108,2,2,3,1,4,2,4,-10.920372411356556,-12.406458168799915,8.870699288276837,-11.58834389156811,12.817920664288412,-12.169603836072339,12.953555118023848
109,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,3,3,1,3,3,3,1,12.618463127678739,12.774253554646304,-13.670161340748615,11.963441551342811,-7.463109605698862,12.373775366705802,-13.063819791895297
111,0,4,1,0,0,0,0,0.0,10.551808500628965,-10.551808500628965,0.0,0.0,0.0,0.0
112,4,2,4,1,4,1,4,12.753764899353506,-12.352433906603718,13.797576925279179,-13.90768391357211,13.75215805049177,-13.4972251474291,13.431017941218391
113,4,3,3,3,3,2,3,13.10759029930018,-10.358368713252588,11.60591506411135,10.870251864003121,-9.867337681110309,-12.735411619877866,13.134549400709506
114,4,2,2,1,0,0,4,11.930371563132667,-11.721136236479294,-10.469689418981813,-10.808127991316766,0.0,0.0,11.42595917330842
115,0,4,3,1,4,1,4,0.0,12.168201073307605,12.611581130546545,-13.107410804668366,12.086168795711695,-12.086168795711695,13.770504656064587
116,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,4,1,1,4,1,0,0.0,13.701666428093722,-13.684848612686206,-9.608019981780132,9.844143572797433,-9.844143572797433,0.0
118,1,1,4,1,4,4,3,-13.540546035748132,-11.887171566675589,13.25797305643983,-13.322627897608013,10.42905367176549,12.122039011875989,12.521112484092207
119,2,2,3,3,2,2,1,-12.205382192334435,-11.780120017088077,11.940656204519124,11.225974413209986,-12.51899282931956,-8.839258127171325,-12.669037239101643
120,0,4,2,1,4,1,1,0.0,13.10315479274087,-12.689245971179412,-12.021225021060566,12.45567136198742,-12.108932772279692,-11.228135711291138
121,1,0,0,0,4,1,4,-10.62621259298375,0.0,0.0,0.0,11.644369441598798,-11.644369441598798,11.053958543768662
122,3,1,3,2,4,2,2,11.490868659481754,-12.811565346295367,11.78765218408578,-12.01292638988882,12.444391307409768,-11.948309916883552,-10.28531074333574
123,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,4,3,2,1,0,4,1,11.406286667349194,9.305284147490022,-11.00827924244221,-10.60928158412275,0.0,9.453248502899163,-9.453248502899163
125,1,4,1,0,0,0,0,-11.226727325637501,10.369492173051889,-10.369492173051889,0.0,0.0,0.0,0.0
126,1,0,4,1,4,1,4,-10.854466291609176,0.0,11.253226799845018,-11.253226799845018,11.208362547514833,-11.208362547514833,10.774792256959733
127,0,4,2,1,0,0,0,0.0,10.70595544528457,-10.2547628098086,-9.69302788029246,0.0,0.0,0.0
128,0,0,0,4,1,4,1,0.0,0.0,0.0,9.26530642437919,-9.26530642437919,11.770651499053205,-11.770651499053205
129,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2,4,1,3,4,1,4,-11.677398236537023,13.725813020975748,-13.800644457424594,11.418445804952892,13.057375557234863,-13.372592085691364,11.806152121159656
131,4,1,0,4,2,3,2,12.887762449509703,-13.116484813385373,0.0,13.510560560488212,-12.93306803480475,11.444226298911426,-11.938998925767024
132,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,11.756106953082709,-11.756106953082709,11.970239780967601
133,4,4,1,4,2,1,0,8.234917865883888,9.639160101394015,-9.858687465879965,11.69883342710657,-11.116527927457604,-10.881028045985891,0.0
134,1,4,3,2,2,3,3,-11.906569255497818,13.307291665653189,11.220451810926225,-10.88559642003125,-12.239402029703625,12.529501279147386,13.076023787494973
135,4,1,1,0,0,4,1,11.808157425558175,-11.52483087328592,-10.40871167946524,0.0,0.0,11.364796093199006,-11.364796093199006
136,4,2,2,2,3,1,4,14.035073848702524,-13.585776825576758,-10.31214111015202,-12.1766464235971,12.62149490692677,-12.972265339557941,15.183989933879012
137,1,4,1,0,4,3,1,-11.457992559911425,12.761157935526887,-12.761157935526887,0.0,12.044165922618985,11.736277098467006,-12.59516823435172
138,3,3,3,2,3,2,3,13.895377865841315,12.033986254426933,13.042314054317115,-14.107051623114772,13.763743553359637,-14.205013362812233,14.502813660325405
139,4,2,1,0,4,3,1,10.537264224500774,-9.594461490396162,-10.04377411365269,0.0,12.136371598667978,12.405122542096228,-12.972893271752762
140,4,4,1,0,0,0,0,11.191177957806282,12.437545689825555,-12.690281739522035,0.0,0.0,0.0,0.0
141,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,4,3,1,0.0,0.0,0.0,0.0,9.918247755157585,10.913648236133195,-11.228135711291138
144,0,4,1,0,0,0,0,0.0,11.284162818363034,-11.284162818363034,0.0,0.0,0.0,0.0
145,1,0,4,1,4,2,1,-13.44955081081854,0.0,13.93069020239816,-13.93069020239816,14.110052132910674,-12.969694993933135,-13.6896165547893
146,4,3,1,4,1,3,1,12.117830342063726,12.187454445781949,-12.832570631901785,14.043688626435028,-13.908077455096295,13.113748633587646,-13.257588299145365
147,4,1,4,1,4,3,4,11.979627793398192,-11.851893801210032,11.93419479632159,-12.05240990121585,9.581795225306097,9.833586135543719,14.26177742715183
148,0,4,1,0,0,0,0,0.0,11.21104150715293,-11.21104150715293,0.0,0.0,0.0,0.0
149,0,4,2,1,0,0,0,0.0,11.954612446734762,-11.498608588647807,-10.950023249148147,0.0,0.0,0.0
150,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.70595544528457,-10.70595544528457
151,4,2,3,3,1,4,2,13.701421009185031,-13.154072468805156,12.746021330024734,11.944532119964874,-13.486041102001366,13.44956368489264,-13.134583945165812
152,1,3,1,4,1,3,3,-12.972174312110749,11.598512196711825,-12.103243525555536,13.238707876026343,-13.189329350006524,10.237223435886262,11.611232567101398
153,0,4,3,1,4,1,0,0.0,10.952810620782126,11.402294709339474,-11.895737743268397,12.8016709291303,-12.8016709291303,0.0
154,0,0,4,1,0,0,0,0.0,0.0,9.405366378383736,-9.405366378383736,0.0,0.0,0.0
155,0,4,1,4,2,1,4,0.0,10.464799500559488,-10.464799500559488,11.966579334169017,-9.93996050121931,-11.825276119548974,11.975354849339404
156,3,2,3,2,4,1,3,12.769855030242734,-13.541294040128145,11.61387139675436,-12.532425179281612,14.559679017962189,-14.519492449619543,11.039880314528151
157,2,3,1,4,2,1,4,-9.752415710734185,9.305705633149842,-10.146356465511724,11.36935746636138,-10.418373972863805,-10.881028045985891,11.891308087451653
158,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,11.745712745859198,-11.745712745859198
159,3,2,1,4,3,1,3,13.311568064372185,-13.507089747377568,-12.800932432318142,14.209951968778153,12.109007078389336,-14.024356296532732,11.465360631784623
160,4,3,2,3,3,2,2,11.46981593072365,10.62164236237921,-11.21734712280005,10.853411487953094,11.527199659141784,-11.648863850253926,-9.940938763281604
161,1,4,1,2,4,2,2,-14.538026352472022,14.183702452211124,-14.069303966547212,-11.427794731470145,13.057812055957628,-12.738446025492134,-11.926050109524427
162,4,1,4,1,4,1,3,10.562581369254632,-10.562581369254632,12.697363871940935,-12.697363871940935,12.505106568952927,-12.343445928651324,11.178061053784521
163,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,2,1,4,2,2,2,3,-13.805161723653596,-13.674937065959442,14.174693534294201,-13.391238289292295,-12.578066843110337,-12.69586048966796,11.525464210648872
165,4,3,2,3,1,2,4,13.85852300607334,11.876388009513668,-13.56222965637801,11.938971661955438,-13.387549479298993,-11.174339334698956,12.042661511324145
166,2,2,4,3,3,2,3,-10.509421333712352,-11.736416236352914,12.683114698986762,12.285417602767499,10.949466409969864,-12.774848326855983,13.302665051914806
167,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,11.588869668806511
168,3,2,4,1,4,2,3,11.074250925051992,-11.958659758047203,12.274735647393099,-12.575673164437847,11.771523570124216,-10.96916151631725,11.349309317068704
169,4,1,0,0,0,0,0,10.777687742537347,-10.777687742537347,0.0,0.0,0.0,0.0,0.0
170,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,8.578612244552993,-8.578612244552993,10.064572284459642
171,1,4,1,4,3,2,1,-13.504090846488985,10.517907850544352,-10.517907850544352,11.792546694572671,12.522664699868152,-12.44246706030847,-11.940912560483953
172,4,2,2,1,4,1,0,12.346371147806828,-11.070179234203575,-11.203917103190873,-11.43475807864095,11.2431369982373,-11.2431369982373,0.0
173,0,0,4,1,4,1,0,0.0,0.0,9.712829297543518,-9.712829297543518,10.274907918764162,-10.274907918764162,0.0
175,0,0,4,1,0,4,1,0.0,0.0,8.614338006140372,-8.614338006140372,0.0,12.010403457475054,-12.010403457475054
176,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,4,2,4,1,4,3,2,10.785719747356373,-10.035774518050012,11.653622085019558,-11.853706747047847,10.274907918764162,10.90143116318974,-10.838076826964405
178,1,0,4,3,1,1,0,-12.93133665614934,0.0,12.586115270070325,11.623216079799068,-12.730861478886233,-11.099064000029212,0.0
179,1,1,4,1,4,2,1,-12.843353222802225,-11.997646186924664,11.40542296363107,-11.40542296363107,12.186443678917666,-11.802940532081523,-11.042421278721916
180,1,0,0,0,4,1,0,-11.10577642696209,0.0,0.0,0.0,13.138408724803451,-13.138408724803451,0.0
181,3,4,1,1,4,2,3,12.635868319096183,13.961992062345926,-14.101045664141708,-12.477981217989475,13.427040964591928,-11.22473126322784,13.19422329859381
182,0,4,4,1,4,2,1,0.0,11.193650001704942,12.457734927970957,-12.706541389043297,12.474875756167737,-11.707223658942873,-11.851072469194612
183,1,0,0,0,0,0,0,-11.451273680885356,0.0,0.0,0.0,0.0,0.0,0.0
184,1,0,4,1,4,3,1,-12.725749642746631,0.0,13.013913324996864,-13.013913324996864,11.669475145334381,11.500189597487056,-12.031009680005582
185,0,4,1,0,0,4,1,0.0,11.593245457215176,-11.593245457215176,0.0,0.0,12.397613173072058,-12.397613173072058
186,3,2,3,1,4,1,1,13.004052881831315,-12.703213423722262,13.362542312046974,-14.060514262235278,12.90231844178732,-12.621744829774912,-11.494400581353151
187,4,1,0,4,3,1,1,11.220088908168487,-11.220088908168487,0.0,12.171243305869318,11.703205326873457,-12.575054413071834,-10.121039663135042
188,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,12.577770326790333
189,4,4,2,1,0,0,0,12.271617163185201,15.009029854681405,-14.656797932711365,-13.99187014903432,0.0,0.0,0.0
190,4,3,3,2,3,1,4,12.434360523949882,-6.173795411092135,11.606815836862845,-11.34573916824469,11.442617171963603,-13.039222118911594,11.46580810797197
191,1,2,4,1,4,3,3,-14.468016999660337,-12.488554207027917,13.923647442241691,-14.031035188540903,11.9679232712755,12.217260260591921,8.814939972617218
192,1,0,0,0,0,4,1,-11.046936837561786,0.0,0.0,0.0,0.0,13.114166332554188,-13.001906634509549
193,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,9.875339151656204
194,0,4,1,0,0,0,0,0.0,10.369492173051889,-10.369492173051889,0.0,0.0,0.0,0.0
195,0,4,1,0,4,1,0,0.0,11.536364361809275,-11.536364361809275,0.0,9.176364603110494,-9.176364603110494,0.0
196,2,1,4,1,4,3,3,-9.75189671137382,-11.588606369920875,11.890308704955277,-11.890308704955277,11.085818974965512,11.876444592065372,9.456273846846063
197,3,1,1,4,4,1,1,13.167025987436586,-13.508386887640519,-12.200061320513495,11.040180163138823,12.92555922018302,-12.76817916915767,-11.712855845360126
198,3,1,4,2,3,2,1,12.982707320001985,-13.30042051173525,12.382960161451392,-12.22022103704309,11.757279717448208,-11.738335946170094,-11.384702845194619
199,3,2,4,1,3,1,1,11.275625294117399,-12.067828847946247,13.306862573112756,-13.134304175422878,11.83938225377816,-12.283305569808862,-11.413275897411568
200,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,12.307402570549431,-12.307402570549431,0.0
201,3,1,1,0,4,2,1,13.118627644341448,-13.635347685045932,-11.480011991538365,0.0,12.501300884316667,-10.7743691858702,-12.229716160745769
202,0,4,2,1,4,3,1,0.0,13.705345362663094,-12.020071370238178,-13.500296470991403,13.058981043710824,12.665691011988468,-13.25327103507158
203,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,2,3,4,2,2,3,1,-9.605559294971037,10.35435819466684,12.64368638077308,-12.595353578289462,-9.960440141761044,11.524346252214272,-12.055551999353982
205,0,0,4,1,0,0,0,0.0,0.0,9.641737833913524,-9.641737833913524,0.0,0.0,0.0
206,2,4,2,1,4,1,4,-8.1221383773927,12.245857839271816,-11.959952450255095,-11.673976147516367,10.274907918764162,-10.274907918764162,11.382150443755604
