CUSTNO,Monetary_가구인테리어/잡화_고가_증감여부_q2_q1,Monetary_가구인테리어/잡화_고가_증감여부_q3_q2,Monetary_가구인테리어/잡화_고가_증감여부_q4_q3,Monetary_가구인테리어/잡화_고가_증감여부_q5_q4,Monetary_가구인테리어/잡화_고가_증감여부_q6_q5,Monetary_가구인테리어/잡화_고가_증감여부_q7_q6,Monetary_가구인테리어/잡화_고가_증감여부_q8_q7,Monetary_가구인테리어/잡화_고가_q2_q1_로그변환,Monetary_가구인테리어/잡화_고가_q3_q2_로그변환,Monetary_가구인테리어/잡화_고가_q4_q3_로그변환,Monetary_가구인테리어/잡화_고가_q5_q4_로그변환,Monetary_가구인테리어/잡화_고가_q6_q5_로그변환,Monetary_가구인테리어/잡화_고가_q7_q6_로그변환,Monetary_가구인테리어/잡화_고가_q8_q7_로그변환
64,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,0,4,1,4,1,4,0.0,0.0,10.925139237892479,-10.925139237892479,11.877460174727345,-11.877460174727345,12.418029378923185
66,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1,3,2,2,1,0,4,-16.723533057027417,14.35166274315119,-14.04076491634744,-12.151033489685359,-13.645940436671726,0.0,12.913593465538423
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1,3,2,3,3,2,3,-15.02827708574645,12.29569181374752,-12.846970642182368,12.914493244023534,13.508327146112675,-12.944508871976673,14.399581213106455
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2,3,2,3,2,3,2,-15.945299688870135,16.907216842511676,-16.763678725650575,16.70786293181163,-16.616605703668025,15.76698193959026,-16.347260909687545
74,4,2,1,4,1,0,4,13.953789424306937,-13.546843428409401,-13.284855758864065,13.356646291585424,-13.356646291585424,0.0,11.75992674678876
75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4,2,1,0,4,1,0,12.484931632620397,-11.92044603041974,-11.644098956619155,0.0,12.017983692343998,-12.017983692343998,0.0
77,4,1,1,4,1,4,2,13.822556039800146,-13.650769999540032,-12.275998403570037,10.716712609733149,-10.716712609733149,11.840347893473433,-11.113661875901824
78,3,3,2,2,2,4,2,9.30227652824311,11.970129391668214,-13.653494467516666,-13.43294785418585,-11.963727490709266,14.842135864072402,-14.247116281562015
79,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2,3,1,4,3,3,1,-12.917680212099754,11.608382084267124,-12.414019100402204,14.853223250112968,14.52341912593193,16.13206097444699,-16.318866649054517
82,1,4,3,1,4,2,2,-15.388450482681947,14.435680937114032,13.221571461194364,-14.695714658388997,15.865293150683872,-14.277938013027162,-14.808542090268384
83,4,1,0,0,0,0,4,13.446070594344887,-13.446070594344887,0.0,0.0,0.0,0.0,13.036653272952956
84,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,14.899503149619722,-14.88016473876154,14.550301641918663
85,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,0,4,1,4,1,0,0.0,0.0,14.626101543381719,-14.626101543381719,10.581698252463545,-10.581698252463545,0.0
87,0,0,4,1,0,4,1,0.0,0.0,13.645273031361784,-13.645273031361784,0.0,15.228953348626376,-15.228953348626376
88,1,0,0,0,0,0,4,-12.67862683507511,0.0,0.0,0.0,0.0,0.0,14.14943226049653
89,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,4,3,1,0,0,0,0.0,14.032035933182343,15.293524000437566,-15.542905908411408,0.0,0.0,0.0
91,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,13.409093707412643,-13.346747010067856
92,1,0,4,1,0,4,2,-11.059083419047873,0.0,13.898875524589307,-13.898875524589307,0.0,13.091360617506966,-12.610051702620822
93,4,1,4,3,3,1,4,13.982383805698605,-13.982383805698605,14.695714658388997,15.484774199841201,13.803247980398618,-15.979690653345486,14.846681586476782
94,0,4,1,0,0,4,1,0.0,14.652680472385647,-14.652680472385647,0.0,0.0,15.803228633619833,-15.69646180737871
95,0,0,4,1,0,0,0,0.0,0.0,10.603062578696978,-10.603062578696978,0.0,0.0,0.0
96,4,1,0,0,0,0,0,13.255381091856012,-13.255381091856012,0.0,0.0,0.0,0.0,0.0
97,2,2,4,1,0,4,1,-14.634818096494781,-14.37662811560044,15.675924582494504,-15.815851816792454,0.0,13.99499469189113,-13.90824038604974
98,0,4,3,1,4,1,0,0.0,12.73275509654871,12.160668735957383,-13.180221552035777,13.56482765217742,-13.56482765217742,0.0
99,2,3,3,2,3,3,3,-15.529812354765795,14.945580654049218,15.718353181726249,-15.497295857841726,16.275428372279517,13.019398554953755,14.908877267666155
100,0,4,1,4,1,0,0,0.0,11.6139461869379,-11.6139461869379,11.913129020139582,-11.913129020139582,0.0,0.0
101,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,2,3,1,2,4,1,-16.94703751121976,-15.428580162164304,15.616093465824378,-15.701746023417959,-13.7074946656229,14.906780910612529,-15.045921322445931
103,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,4,1,4,1,0,0,0,13.585832347990804,-13.585832347990804,11.224702258063516,-11.224702258063516,0.0,0.0,0.0
107,1,4,1,0,4,2,1,-14.005430604240095,14.77829251557306,-14.77829251557306,0.0,13.268998673731227,-12.389667228185663,-12.73275509654871
108,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,9.619538863192922,-9.619538863192922,10.785379995512493
109,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1,0,0,0,0,0,4,-16.026375221818565,0.0,0.0,0.0,0.0,0.0,14.15164383371939
113,3,2,4,2,3,2,2,14.097939474383963,-14.782911719103007,15.450438127262148,-14.967442475113442,12.933772605889475,-14.473358158303101,-13.799880607735359
114,1,0,0,4,1,0,0,-12.22578527921692,0.0,0.0,12.724536396512015,-12.724536396512015,0.0,0.0
115,4,2,1,4,2,1,4,15.486653402093022,-11.313839654349916,-15.294127416430063,16.2514683422169,-15.60853542142784,-15.438129200334462,15.381722294625613
116,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,4,3,1,4,1,4,0.0,12.542401987193765,12.945393522272441,-13.45720787870113,13.26041043147724,-13.26041043147724,14.63904716265525
118,4,2,2,3,3,2,3,13.79961307933482,-13.311647605855805,-11.301625941107728,11.66305985875677,14.60915814979194,-14.328497080239192,10.8398187310657
119,4,1,1,4,4,2,1,15.761127439901747,-15.601463197995512,-13.694008892256793,13.285835557998658,15.363096756092833,-15.129289824418064,-14.266271444273892
120,4,3,2,3,1,4,2,12.727607126924786,11.937508100111444,-11.464767447902085,13.512659020200127,-13.94057968733117,12.487068486488388,-10.285547376693705
121,1,4,1,4,1,0,0,-13.360761885420478,10.92080804548012,-10.92080804548012,13.960382297324683,-13.960382297324683,0.0,0.0
122,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,14.982763739938969,-14.982763739938969,0.0
123,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,4,1,0,0,4,1,0,12.368080398136508,-12.368080398136508,0.0,0.0,14.26987966134834,-14.26987966134834,0.0
125,1,4,1,0,4,1,0,-13.95507412078345,12.422601241991453,-12.422601241991453,0.0,12.567088952802674,-12.567088952802674,0.0
126,0,0,4,3,1,1,0,0.0,0.0,12.866884585409455,13.295570259200643,-13.643999885213649,-11.845372086649643,0.0
127,0,0,0,4,1,0,0,0.0,0.0,0.0,10.4001497842872,-10.4001497842872,0.0,0.0
128,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,3,1,0,4,1,0,0,10.558753120524894,-14.042670801140789,0.0,14.48290360876469,-14.48290360876469,0.0,0.0
131,4,3,2,1,4,2,4,11.727046325840067,10.619846531406578,-11.361078351187867,-11.275994885423325,11.838099379668515,-11.321137950084633,12.244355697834907
132,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,12.2351766033129,-12.2351766033129
134,3,2,2,4,3,2,2,13.55718042275636,-14.36945838478413,-12.547099223349965,16.101440748878087,14.779077272112897,-14.386168202362336,-15.693998397969034
135,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,3,1,4,3,2,4,3,15.330079018232933,-15.657582061345188,15.360377809965838,15.348044197525537,-15.782397259638305,16.367292836103687,16.25002829453761
138,1,0,4,1,4,1,4,-14.308688737141912,0.0,14.820322752461449,-14.820322752461449,12.345485573613146,-12.345485573613146,12.746958210599779
139,3,1,4,1,0,0,0,13.750562675066227,-13.91629369980238,14.563196184300844,-14.688611026058922,0.0,0.0,0.0
140,2,3,2,2,3,3,1,-17.25568423040739,16.56890037172415,-16.30928421015616,-14.781476303389542,14.006578273436435,17.393141085887805,-17.666435962351716
141,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,4,1,1,0,0,0,0,13.520700464858784,-13.35809167800144,-11.62409846709744,0.0,0.0,0.0,0.0
145,3,2,2,1,4,4,2,14.297751338122277,-13.652251110697513,-13.476383911157027,-13.738924261902573,13.982400907886896,16.609957081063627,-16.177455303449058
146,2,2,3,3,2,2,3,-15.275106030163496,-14.54056728717578,14.691896919782245,14.747780004564394,-14.341557860064235,-15.139506947605089,14.933362583445284
147,2,2,4,2,1,1,4,-15.590539999179265,-14.651398243741134,16.033841628331988,13.958073423524025,-16.03479530644051,-14.452991029026727,14.932222876114476
148,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,4,1,1,4,1,4,0.0,13.565662550505856,-13.507131135937545,-10.698370500333368,11.236278974964803,-11.236278974964803,13.598771254144276
150,0,0,4,1,0,0,0,0.0,0.0,12.024222498732826,-12.024222498732826,0.0,0.0,0.0
151,4,1,0,0,0,4,1,15.682164653785216,-15.682164653785216,0.0,0.0,0.0,16.25911275520327,-16.25911275520327
152,0,0,4,1,0,0,4,0.0,0.0,10.354608225476792,-10.354608225476792,0.0,0.0,12.994038831980713
153,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2,1,0,0,0,4,2,-16.687251149056962,-15.617626142956992,0.0,0.0,0.0,16.72516800389234,-16.45221181497957
155,0,0,0,4,1,4,1,0.0,0.0,0.0,11.72966895182378,-11.72966895182378,13.638993732815523,-13.638993732815523
156,1,4,1,4,2,2,3,-13.042145356957233,12.343721835413973,-12.4560358856767,16.338474157914764,-15.959803204572308,-14.761097917833268,-7.79593376399089
157,1,0,0,0,0,0,0,-12.970362059321422,0.0,0.0,0.0,0.0,0.0,0.0
158,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,4,1,4,4,1,0,0,13.956895639341088,-13.956895639341088,14.915178578760623,16.855507415922073,-16.989738136658126,0.0,0.0
160,4,1,0,4,1,0,0,11.077009777060578,-11.077009777060578,0.0,12.634022671019103,-12.634022671019103,0.0,0.0
161,2,3,2,3,1,2,3,-15.46663133704711,15.037370662893164,-14.73197094634933,16.073591323690497,-16.034842115880426,-13.247315532198442,7.913000171089515
162,0,0,0,4,1,1,4,0.0,0.0,0.0,15.50082665852405,-15.4677101188432,-12.076597342328666,14.677180015930134
163,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1,2,2,2,4,3,1,-17.162309180347233,-13.894142696046398,-14.51891588342575,-13.483991026474834,15.925361877826575,16.03228884252501,-16.71875465430661
165,4,3,1,4,1,4,1,12.265223473348774,13.395332107838602,-13.67523145596301,10.174856423933493,-10.174856423933493,11.78308460045528,-11.78308460045528
166,1,0,4,1,4,1,0,-14.544895253953928,0.0,9.39914773226963,-9.39914773226963,10.31934160083148,-10.31934160083148,0.0
167,0,0,4,1,4,4,1,0.0,0.0,15.498337186500095,-15.498337186500095,11.871406844431712,13.578511415482497,-13.745202253346307
168,4,3,1,0,0,4,3,13.242471965828381,11.752406035683428,-13.44570339905229,0.0,0.0,12.307088847916123,13.44292767106228
169,1,0,0,0,0,4,1,-11.110375926260462,0.0,0.0,0.0,0.0,11.837087930421873,-11.837087930421873
170,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,11.79966180067368,-11.358655982301327
172,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,10.281987069917053,-10.281987069917053,0.0
175,0,4,1,4,3,2,3,0.0,13.290463043945099,-13.290463043945099,14.001674734392331,12.93131911269043,-12.881174059756686,10.556938327214917
176,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,11.060478307279629
178,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0,0,4,1,4,4,1,0.0,0.0,9.635519079740126,-9.635519079740126,10.992269916150086,12.297142405545767,-12.537105747647795
180,3,1,4,3,1,2,3,13.701279508479844,-13.943872621505536,14.261649328758038,15.480115353933734,-15.487365898420984,-13.800878863021092,13.664075042085749
181,0,0,4,1,0,0,4,0.0,0.0,12.212480619078253,-12.212480619078253,0.0,0.0,15.61607032247162
182,0,4,1,0,0,4,1,0.0,13.531611107021964,-13.531611107021964,0.0,0.0,14.921459398051352,-14.921459398051352
183,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,4,1,1,0,4,1,0,15.573325891531995,-15.528543862784101,-12.445074008364674,0.0,13.533106216900064,-13.533106216900064,0.0
185,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,4,1,0,4,1,0,0,12.265223473348774,-12.265223473348774,0.0,15.664773111980345,-15.664773111980345,0.0,0.0
187,1,0,0,0,0,0,0,-14.684410013434709,0.0,0.0,0.0,0.0,0.0,0.0
188,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,3,4,1,3,3,2,2,11.632830870874177,16.456951684350116,-16.4593465587196,13.017538902649202,13.365466513122279,-13.348956014934139,-12.26384166059991
190,1,0,4,1,0,0,0,-15.045835928479192,0.0,13.000935269586542,-13.000935269586542,0.0,0.0,0.0
191,2,1,3,4,1,4,2,-14.34380052371307,-14.150093932224351,12.21462400080777,14.729206924957698,-14.84722351611324,15.224198718700157,-14.870522015292385
192,3,2,3,1,4,2,4,13.953481280185697,-12.236840264922675,15.48001857242305,-15.725810680638311,14.53341005739892,-13.780174847155735,15.161662276715527
193,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0,4,3,1,0,0,0,0.0,10.717871269052749,10.059625190842,-11.135091350049649,0.0,0.0,0.0
197,0,0,0,4,1,3,1,0.0,0.0,0.0,13.717436356625909,-13.510116269084005,13.017003063777544,-13.337069724150927
198,0,4,1,0,0,4,1,0.0,10.71536819433741,-10.71536819433741,0.0,0.0,12.847570450687874,-12.847570450687874
199,0,0,0,4,1,0,0,0.0,0.0,0.0,12.403930664626534,-12.403930664626534,0.0,0.0
200,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0,4,4,1,0,4,1,0.0,13.282800184203678,14.708032398731847,-14.923508397763525,0.0,15.37892715054315,-15.202549606440908
202,4,3,2,4,1,3,4,12.632012303978627,12.842656228976987,-12.775059156343527,14.370373494774679,-14.488122003255771,12.648877838591357,15.060354981726482
203,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,4,2,1,0,4,1,4,10.285441186700943,-8.96883067029381,-9.973455270532696,0.0,10.411613969106604,-10.411613969106604,10.659441550402939
207,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,2,2,3,2,1,0,0,-14.362062890502694,-15.625618490480846,14.914449519617259,-15.019766943189927,-14.3386841512337,0.0,0.0
209,4,4,3,1,0,0,0,10.285441186700943,12.712699043965578,11.70255961371464,-13.085944459869143,0.0,0.0,0.0
210,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0,4,1,4,1,4,2,0.0,14.161507863562957,-14.161507863562957,15.080665957297489,-15.080665957297489,13.82019212713951,-13.174504359617636
212,0,4,1,0,4,1,0,0.0,11.411007376746321,-11.411007376746321,0.0,14.272314231914017,-14.272314231914017,0.0
213,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,12.954415361485756
215,1,1,0,0,0,0,0,-11.334988491023875,-8.864162754213924,0.0,0.0,0.0,0.0,0.0
216,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,4,3,2,2,3,3,2,15.711859971309142,16.41010659832268,-16.586102094553297,-14.36808489690421,15.499634068446639,14.568698419881105,-14.4779163397318
219,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,12.390386061852865,-12.390386061852865,12.47484373706911
220,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2,1,4,1,4,3,3,-12.080166350646993,-13.228031307472108,13.369358410085798,-13.369358410085798,10.789332859190216,11.993475467321511,12.57721444135299
223,0,0,4,1,4,2,1,0.0,0.0,15.90867834879301,-15.90867834879301,17.33953658418564,-17.02899241179401,-15.96973914033002
224,1,4,1,4,3,2,4,-14.435580416220905,16.653926539556583,-16.64835141664846,15.175676300996978,13.875639535261284,-15.035155380431346,16.867902206833847
225,1,4,1,4,1,0,4,-13.462625069030704,14.716050231216979,-14.586834203521962,15.700601024361404,-15.744892617932218,0.0,15.25928143077738
226,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
