CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가구인테리어_잡화_저가_clust_id
351,0,-1,3,-2,0,-1,5
352,3,-3,3,-3,3,-3,2
353,0,-3,3,-2,-1,3,5
354,3,-3,3,-3,3,-3,2
355,-2,3,-3,3,0,-1,0
356,0,4,-1,-1,-1,3,4
357,-3,0,3,-1,-1,0,1
358,-1,-1,-1,3,-3,3,3
359,3,-2,-1,2,0,1,3
360,-1,0,-2,-1,4,-3,4
361,0,3,-3,3,-1,-2,0
362,0,0,4,-3,3,0,5
363,1,0,2,-2,1,-2,5
364,1,-2,0,1,1,-3,2
365,-3,3,0,-3,3,-1,4
366,-3,3,-3,-1,4,-3,4
367,-1,3,-3,0,2,1,4
368,-3,1,2,-3,2,1,5
369,-1,-2,2,1,-2,1,1
370,1,-2,2,1,-1,-1,1
371,-2,0,2,-2,1,-2,5
372,-3,1,-1,3,-1,-2,0
373,3,-3,0,3,-1,-2,3
374,-2,0,1,-2,2,0,5
375,-2,2,-1,-1,3,-1,4
376,-1,-1,4,-3,-1,4,5
377,-2,3,-2,0,2,-3,4
378,3,-2,-1,2,-1,2,3
379,2,1,-1,-1,0,1,4
380,-3,0,3,-3,-1,4,5
381,0,-2,3,-3,2,-2,5
382,4,-2,0,1,0,0,2
383,0,-2,2,0,-2,3,1
384,3,0,-2,1,0,-2,3
385,4,-3,3,-3,-1,0,2
386,0,-2,0,2,1,-3,3
387,0,3,-1,0,1,-3,4
388,-1,-1,4,-2,1,0,5
389,-2,-1,2,-1,0,2,1
390,0,4,-3,0,-1,0,0
391,0,-1,0,3,0,-2,3
392,-3,-1,0,0,4,-3,4
393,-3,1,1,0,-2,3,1
394,-2,0,0,2,-3,2,0
395,-2,1,1,-3,3,0,5
396,0,2,-3,3,-3,3,0
397,1,2,0,-3,3,-1,4
398,3,-3,-1,4,-3,0,3
399,-1,2,-1,1,0,-2,0
400,1,2,-2,0,2,-2,4
401,-2,-1,4,-1,-2,3,1
402,-3,1,-1,3,-3,3,0
403,4,-3,3,-3,-1,0,2
404,-2,3,-2,-1,3,-2,4
405,0,0,0,-1,3,0,4
406,1,-2,-1,3,-2,-1,3
407,1,-2,-1,4,-1,-2,3
408,-2,0,3,-2,-1,2,5
409,2,-2,1,0,-2,1,3
410,0,0,0,0,0,0,1
411,0,1,-3,1,1,-1,4
412,2,0,-1,1,-1,1,3
413,2,-2,3,-3,3,0,2
414,-2,1,0,1,-3,2,0
415,0,-2,1,-1,1,-2,2
416,3,-3,3,-1,0,-2,2
417,-2,3,-2,-1,0,3,4
418,3,-2,2,-2,1,-2,2
419,-1,0,1,0,1,-3,1
420,0,1,-2,1,2,-2,4
421,0,-3,2,-2,2,-2,5
422,-2,-1,3,0,-3,1,1
423,2,-2,0,1,1,-1,2
424,4,-3,-1,0,0,0,2
425,1,1,1,-3,3,-3,5
426,-2,0,3,-3,3,-2,5
427,2,-2,-1,1,1,1,2
428,1,-1,0,1,0,0,3
429,0,0,-1,0,-1,3,1
430,-3,3,-2,0,0,2,4
431,1,-2,1,0,0,1,2
432,-2,0,2,-3,2,-2,5
433,1,2,-3,3,-3,1,0
434,1,0,0,-1,0,1,1
435,-3,3,-1,1,-3,3,0
436,-1,3,-3,3,-2,-1,0
437,0,0,0,4,-3,-1,3
438,-1,-1,1,-1,0,2,1
439,1,0,2,-2,2,-2,5
440,2,-2,2,-3,0,3,2
441,1,0,-2,3,-1,-2,3
442,2,-2,3,-2,-1,3,2
443,-2,3,0,-2,-1,3,4
444,-2,2,1,-3,3,-3,4
445,4,-3,3,-3,-1,0,2
446,0,-2,3,-3,-1,0,5
447,-1,-2,3,-2,2,-3,5
448,-3,2,-1,0,2,-3,4
449,3,-2,-1,3,-2,1,3
450,-1,2,0,-2,3,-3,4
451,0,2,-3,0,0,3,4
452,3,-2,1,-2,2,-1,2
453,-2,1,2,-3,0,2,5
454,3,0,-3,3,-2,-1,3
455,3,-3,3,-3,3,0,2
456,2,-2,-1,3,-1,-1,3
457,-1,1,-2,3,-2,0,0
458,0,0,0,0,4,-3,4
459,1,-1,0,1,-1,0,3
461,-1,-1,-1,3,-2,-1,3
462,-3,3,-2,1,0,-2,0
463,2,0,-1,0,0,1,3
464,0,0,-1,2,-2,1,3
465,0,1,-2,0,3,-2,4
466,-1,-1,0,1,-1,-1,1
467,2,-2,3,-3,3,-3,2
468,0,0,0,1,0,-1,1
469,3,-1,-2,3,-3,0,3
470,2,-2,2,0,1,-3,2
471,1,-3,2,-2,3,-3,2
472,4,-1,-2,3,-2,1,3
473,3,-2,-1,-1,4,-3,2
474,3,-3,2,1,-2,-1,3
475,-3,3,-3,3,-3,1,0
476,0,-2,2,-3,3,0,5
477,-1,0,-2,1,-1,3,0
478,-3,2,0,-1,-1,2,4
479,-3,0,1,2,0,-3,1
480,3,-1,-1,0,1,1,2
481,3,-3,1,0,2,-3,2
482,0,4,0,-3,3,-3,4
483,-2,2,0,-2,2,0,4
484,-1,3,-3,2,0,-2,0
485,3,-1,-2,0,3,-3,2
486,-3,0,2,1,-1,-1,1
487,-2,-1,4,0,-3,1,1
488,2,-1,2,-1,0,1,2
489,-2,3,-3,3,0,-3,0
490,-2,0,3,-2,2,-3,5
491,3,-3,0,-1,4,-1,2
492,-3,3,-2,-1,3,0,4
493,4,-3,-1,0,0,0,2
494,0,-1,-2,0,3,0,4
495,3,-3,2,-1,0,0,2
496,3,-3,3,-3,2,0,2
497,-1,1,0,-2,3,-2,4
498,2,-3,1,1,-2,-1,3
499,-1,0,4,-1,-1,2,1
500,0,0,0,2,-2,-1,3
501,-3,3,-3,3,-3,2,0
502,0,-3,1,-1,3,-3,2
503,-1,-2,1,-1,0,3,1
504,-2,-1,3,-2,0,1,5
505,-1,4,-3,0,3,-2,4
506,-3,-1,4,0,-2,2,1
507,1,-2,2,-2,2,0,2
508,0,-3,0,3,-3,2,3
509,2,-1,1,-2,3,-2,2
510,-2,2,1,-2,0,2,4
511,1,-1,3,-3,0,3,5
512,0,3,0,-3,-1,0,4
513,2,0,0,-2,3,-2,2
514,4,-3,-1,4,-3,-1,3
515,0,1,0,0,-2,3,1
516,1,0,1,-1,-1,-1,1
517,-1,1,-1,2,-3,2,0
518,-2,0,-1,3,0,-2,0
519,-1,4,-2,0,1,0,4
520,-2,3,-1,-2,3,0,4
521,3,-2,0,0,1,0,2
522,-1,1,1,-3,0,3,5
523,-2,1,2,-2,1,0,5
524,-2,-1,0,3,-1,-2,1
525,-1,-1,4,0,-2,1,1
526,0,-2,3,0,-2,0,1
527,-2,1,0,-2,2,-1,4
528,-1,0,4,-3,0,-1,5
529,1,-2,1,-1,0,0,2
530,0,1,-3,0,3,0,4
531,-3,1,-1,3,-2,-1,0
532,4,-3,1,-1,3,0,2
533,-3,0,3,-3,3,-2,5
534,4,-2,-1,3,-2,0,3
535,-2,0,3,0,-1,0,1
536,3,-3,0,3,-3,3,3
537,4,0,0,-3,0,3,2
538,-1,0,1,-1,1,-1,1
539,-2,-1,3,-2,1,-2,5
540,-3,2,-1,1,0,-2,0
541,2,-3,0,3,0,-1,3
542,0,-1,-1,0,2,-3,4
543,-3,3,-1,0,-2,1,0
544,0,3,-3,2,1,-1,0
545,-1,1,-2,2,-2,3,0
546,-3,3,-3,2,1,-2,0
547,-1,-1,0,2,-3,1,3
548,1,-1,0,1,0,0,3
549,-3,2,-2,0,-1,4,0
550,3,0,-3,3,0,-2,3
551,4,0,-3,3,0,-3,3
552,2,-2,3,-1,-1,2,2
553,-1,-1,1,-2,3,-2,5
554,-1,-1,1,-2,2,-1,5
555,2,0,-2,3,0,-3,3
556,3,-3,3,-1,-2,-1,2
557,-3,3,-2,-1,3,-3,4
558,1,-1,1,0,-1,-1,1
559,0,-1,3,-3,3,-3,5
560,3,0,-3,3,-1,-2,3
561,0,0,-2,3,-2,-1,3
562,-1,2,-2,2,1,-3,0
563,-1,-1,3,-2,-1,3,5
564,0,-1,-2,1,1,1,3
565,-1,-1,3,-2,1,-2,5
566,-3,-1,4,-3,3,-1,5
567,-1,2,-2,3,0,-2,0
568,1,-2,2,-1,-1,2,1
569,0,-2,-1,1,-1,2,3
570,1,-3,3,0,-3,3,1
571,-1,-1,3,-3,1,2,5
572,0,0,2,-1,-2,0,1
573,-1,-1,0,1,1,-3,1
574,-3,2,0,-2,2,-1,4
575,0,-1,1,-1,-1,2,1
576,-2,1,-1,1,-1,1,0
577,0,0,2,-3,2,-1,5
578,-2,0,1,1,-1,2,1
579,-1,4,-3,3,-3,-1,0
580,3,-1,0,-2,2,0,2
581,-2,0,0,1,0,-2,1
582,-2,2,0,-1,1,-1,4
583,-3,-1,0,0,0,0,1
584,3,-3,3,-1,-2,3,2
585,-1,-1,0,-1,3,-1,5
586,1,-2,3,0,-1,0,1
587,0,1,-2,3,-2,0,0
588,0,2,-3,2,-2,2,0
589,1,0,2,-2,2,-3,5
590,-1,-1,1,0,0,-1,1
591,1,-3,2,0,-1,-1,2
592,3,-2,-1,2,-1,1,3
593,3,-2,-1,3,-3,3,3
594,-1,1,-3,0,0,-1,4
595,0,2,1,-3,2,1,4
596,-1,0,1,0,-1,-1,1
597,0,-2,2,-1,2,-3,5
598,0,-1,0,-1,2,0,2
599,1,-1,-1,0,3,-3,2
600,-1,-2,3,-3,3,-2,5
601,2,0,-1,-1,3,-3,2
602,-1,4,-2,0,2,-1,4
603,-1,2,-1,-1,3,-1,4
604,0,-3,0,3,-3,3,3
605,1,0,-1,1,0,-2,3
606,-3,3,-3,-1,4,0,4
607,-1,0,-1,-1,3,-2,4
608,3,-2,-1,3,0,-2,3
609,0,0,4,-3,3,0,5
610,0,0,0,0,4,-3,4
611,-3,1,0,1,-1,1,0
612,-3,3,0,-3,0,3,4
613,1,-2,2,-1,1,-2,2
614,-3,3,-3,2,-2,2,0
615,0,-2,1,-1,0,0,1
616,3,-3,0,3,0,-2,3
617,-3,3,-3,3,-1,0,0
618,-1,-1,0,0,0,-1,1
619,-1,-1,1,-1,-1,3,1
620,2,1,-3,3,-3,0,3
621,-1,-1,4,-3,-1,0,5
622,-3,1,0,0,2,-3,4
623,3,0,-3,3,-3,-1,3
624,-3,0,-1,0,0,4,1
625,-1,0,1,0,0,0,1
626,-3,3,-3,3,0,-3,0
627,1,2,-1,-2,2,1,4
628,2,-1,2,0,-1,-2,2
629,-3,3,-2,1,0,-2,0
630,0,1,-2,3,0,-3,0
631,-3,1,1,-1,0,0,1
632,-1,0,-2,2,0,-1,0
633,-1,1,-1,2,-2,1,0
634,1,-2,3,-3,2,1,5
635,-1,0,3,-3,1,1,5
636,2,-3,2,1,-2,0,3
637,3,-2,0,2,-3,3,3
638,-1,3,-2,0,1,0,4
639,3,-2,1,-1,1,0,2
640,0,1,-3,3,-2,0,0
641,2,-2,1,-2,3,-3,2
642,3,-2,1,-1,0,1,2
643,0,1,-1,-1,2,-2,4
644,-1,1,-2,2,-2,3,0
645,-3,0,3,-1,-2,1,1
646,1,-1,0,1,0,-1,3
647,-1,0,0,2,0,-3,1
648,3,-3,2,1,-2,0,3
649,0,3,0,-3,1,1,4
650,3,-3,3,-3,-1,0,2
651,-1,3,0,-2,1,0,4
652,1,-2,3,-3,3,-1,5
653,-1,1,-2,0,3,-3,4
654,2,1,-3,2,-1,1,3
655,2,-2,3,-3,-1,0,2
656,3,0,-3,3,-3,3,3
657,-1,2,-2,0,1,0,4
658,1,-1,0,0,1,-2,2
659,-3,-1,4,-3,-1,0,5
660,1,0,1,-3,3,-3,5
661,3,-1,-1,-1,3,-2,2
662,0,-1,3,-1,-2,3,1
663,0,0,4,-3,3,-3,5
664,0,-3,2,0,1,-3,2
665,3,-3,3,0,-3,1,2
666,-1,-1,0,1,-2,2,1
667,3,-1,-2,3,-3,-1,3
668,-2,0,1,-1,-1,-1,1
669,-3,2,-1,2,-2,-1,0
670,-1,-2,0,3,-1,-2,3
671,3,-3,3,-3,3,-2,2
672,0,-1,2,1,-1,-1,1
673,0,1,-2,3,-3,0,0
674,-3,3,-3,0,3,-2,4
675,-1,1,-2,2,-2,3,0
676,2,-2,3,0,0,-3,2
677,-2,-1,-1,4,0,-3,0
678,4,-3,3,-3,-1,4,2
679,-1,0,1,-3,3,-2,5
680,-3,3,-2,1,0,-1,0
681,2,-2,3,-1,-2,2,2
682,4,-3,0,2,-2,-1,3
683,1,-1,3,-3,3,0,5
684,-3,3,-2,2,-3,2,0
685,-2,3,-3,3,-3,3,0
686,-1,0,0,1,-2,3,1
687,-2,1,0,0,-1,2,1
688,1,-1,0,-1,3,-3,2
689,-1,0,0,2,-2,2,1
690,0,-2,3,-1,-1,0,1
691,1,-2,1,1,-1,0,1
692,-1,-1,0,0,0,2,1
693,3,-2,1,0,-2,3,2
694,2,1,-3,0,3,-2,4
695,0,0,-2,3,-3,2,3
696,-2,3,-3,3,-3,3,0
697,2,-2,2,-1,0,0,2
698,-1,-1,1,0,-2,1,1
699,3,-2,-1,2,0,0,3
700,0,0,1,0,0,-1,1
701,1,0,0,0,-1,2,1
702,3,-3,3,-1,1,-1,2
703,2,-3,3,-2,1,-1,2
704,0,1,-1,0,1,-1,4
705,-2,-1,-1,4,-3,0,0
706,4,-3,3,0,-3,-1,2
707,-2,-1,0,3,-3,3,0
708,2,1,-1,-1,0,0,4
709,-1,2,-1,1,0,-2,0
710,2,-1,2,-3,3,0,2
711,0,0,1,-1,2,-2,5
712,1,-2,3,-3,3,-2,5
713,1,-1,0,0,0,1,1
714,3,-3,3,-3,3,-2,2
715,2,0,0,-1,2,-2,2
716,-3,3,-1,0,-1,0,0
717,-1,3,-3,2,0,-1,0
718,-1,-2,3,-2,-1,3,5
719,1,-1,0,0,-1,3,1
720,-2,3,-3,3,0,-3,0
721,1,-2,3,-3,2,-1,5
722,3,-3,3,0,-2,0,2
723,-3,2,-1,-1,2,1,4
724,0,0,0,0,0,4,1
725,0,4,-3,-1,0,0,4
726,-2,3,-3,0,3,-3,4
727,-1,2,-1,1,0,-1,0
728,3,-3,1,2,-1,1,3
729,3,-3,0,3,-3,2,3
730,-3,0,3,-1,-2,3,1
731,2,0,-1,-1,3,-3,2
732,-3,1,-1,-1,4,-3,4
733,-2,3,-3,2,-1,-1,0
734,-1,-1,1,-1,1,-2,1
735,0,-1,3,-3,2,0,5
736,0,-2,0,3,-2,1,3
737,3,-3,1,2,-2,-1,3
738,-1,2,-2,0,2,-3,4
739,-1,-2,3,-3,3,-3,5
740,2,-2,-1,-1,4,0,2
741,1,-2,2,-2,3,-3,2
