CUSTNO,가구인테리어_잡화_고가_clust_ids,가구인테리어_잡화_중가_clust_ids,가구인테리어_잡화_저가_clust_ids,가전_레저취미_멀티샵_고가_clust_ids,가전_레저취미_멀티샵_중가_clust_ids,가전_레저취미_멀티샵_저가_clust_ids,교육문화_아동_고가_clust_ids,교육문화_아동_중가_clust_ids,교육문화_아동_저가_clust_ids,식품_생활_고가_clust_ids,식품_생활_중가_clust_ids,식품_생활_저가_clust_ids,의류_이미용_고가_clust_ids,의류_이미용_중가_clust_ids,의류_이미용_저가_clust_ids,침구_주방_고가_clust_ids,침구_주방_중가_clust_ids,침구_주방_저가_clust_ids,전체_clust_ids
31,1,4,1,0,0,3,0,1,0,0,0,5,2,3,0,1,0,1,5
32,1,2,2,0,2,3,0,0,0,5,5,3,0,5,4,0,2,5,4
33,1,4,3,0,4,3,0,0,0,2,1,5,0,3,2,0,1,4,4
34,1,5,1,0,4,3,0,0,0,5,0,2,0,4,0,3,4,1,2
35,1,2,1,4,0,0,0,0,0,0,1,1,1,3,0,1,3,3,1
36,1,3,0,5,1,3,0,5,0,0,2,5,3,5,0,2,3,1,2
37,1,2,2,2,4,1,0,3,0,2,2,4,3,4,0,2,2,3,2
38,0,5,4,0,5,2,4,0,3,4,5,3,2,2,1,4,5,5,5
39,1,2,0,0,4,3,0,3,0,4,0,2,5,3,0,4,2,1,2
40,1,2,2,5,1,3,0,0,0,5,2,0,1,4,3,4,5,2,3
41,5,1,4,0,0,3,0,0,0,2,2,1,5,1,1,4,1,3,3
42,1,5,2,0,4,4,0,0,5,2,1,3,2,3,2,0,1,5,3
43,1,0,4,0,4,4,0,0,5,2,0,2,0,0,3,0,2,0,2
44,0,5,2,0,2,3,0,0,0,2,5,2,4,5,1,4,1,0,5
45,4,3,3,5,1,3,4,0,2,3,5,1,3,1,4,1,1,5,0
46,5,5,0,5,2,3,0,0,0,2,3,0,5,4,0,4,1,1,3
47,3,5,2,1,0,5,0,3,1,2,0,2,2,3,4,5,0,5,1
48,5,2,2,5,2,1,0,4,1,5,3,1,0,1,4,1,5,3,1
49,5,3,4,1,4,3,0,2,0,3,2,2,0,2,0,3,2,1,1
50,2,4,1,0,0,1,3,1,5,4,4,2,3,1,2,5,0,5,3
51,1,4,1,2,5,3,0,4,0,0,4,0,5,1,4,4,0,1,2
52,1,1,1,0,3,4,0,5,0,2,3,3,3,4,1,1,0,2,4
53,4,4,2,2,2,5,0,0,0,0,4,0,3,0,0,4,0,1,2
54,1,1,1,0,4,3,0,0,0,2,5,3,0,0,0,0,1,1,2
55,1,2,2,0,1,4,0,0,0,4,3,5,0,5,3,0,1,2,0
56,4,4,5,2,2,3,0,2,0,1,5,1,4,1,0,2,3,4,3
57,3,0,4,0,2,0,0,0,2,5,0,5,0,5,5,0,1,4,3
58,5,1,5,0,3,3,0,0,0,2,1,2,5,3,0,4,4,1,5
59,2,3,4,0,4,3,0,0,0,2,5,4,3,2,1,3,0,2,2
60,1,4,3,0,2,3,0,4,4,5,3,1,5,4,2,3,2,3,2
61,0,5,4,0,1,2,4,4,5,2,2,0,3,4,0,3,2,1,2
62,2,2,2,2,5,3,0,0,0,2,2,3,1,1,2,2,3,2,3
63,1,4,2,0,3,3,0,0,0,5,1,2,4,2,0,0,1,1,3
64,1,0,1,0,4,3,0,3,5,5,5,0,0,3,1,0,0,4,2
65,4,0,0,0,0,0,0,1,4,0,4,0,1,2,5,2,4,5,1
66,1,2,5,0,2,5,0,0,0,4,5,0,3,2,4,0,1,0,2
67,1,1,1,0,4,5,0,0,0,1,5,2,5,3,3,0,0,0,5
68,3,0,0,3,5,3,1,3,2,4,5,5,4,2,2,0,4,1,1
69,1,0,3,0,4,4,0,0,4,0,5,2,0,3,0,0,1,3,4
70,1,3,2,5,3,3,0,0,0,5,4,3,2,5,0,2,3,1,0
71,1,0,4,0,4,3,0,3,0,5,2,3,0,3,2,0,0,2,3
72,1,1,1,0,0,4,0,3,2,1,3,1,0,5,2,0,1,2,0
73,1,3,2,0,0,3,0,4,2,4,1,5,4,2,0,4,0,1,1
74,5,4,4,0,4,3,0,0,0,4,4,3,1,3,1,3,4,5,1
75,1,0,5,0,4,3,0,0,0,2,5,4,0,5,5,0,5,4,3
76,2,0,3,0,2,3,0,5,0,2,0,0,4,1,0,2,1,1,2
77,5,1,1,0,5,3,0,4,4,0,1,4,1,3,4,0,1,0,4
78,1,0,1,4,3,3,0,0,0,4,3,1,3,5,4,1,5,4,0
79,1,0,3,0,3,0,0,5,2,1,3,4,5,0,2,2,5,1,2
80,1,0,2,0,2,5,0,0,0,2,5,4,4,5,4,3,4,4,4
81,5,3,1,5,5,2,0,2,0,1,2,1,3,2,0,3,1,3,0
82,2,2,1,3,3,3,0,0,0,5,1,3,2,1,4,2,1,1,1
83,1,1,3,2,5,1,0,0,0,2,1,3,2,1,1,3,3,4,1
84,2,1,5,5,1,3,0,1,3,3,4,5,3,5,4,0,1,5,1
85,1,5,0,0,3,3,0,0,0,2,3,2,4,5,2,4,1,1,2
86,4,2,5,4,5,4,0,5,5,1,2,0,1,2,4,2,5,3,3
87,0,5,3,3,2,3,0,2,0,3,2,2,4,0,0,5,0,1,3
88,1,5,4,4,1,0,0,1,2,2,4,0,1,1,5,3,3,3,3
89,1,3,1,0,0,2,0,5,3,4,3,2,3,0,5,5,1,5,3
90,3,3,3,1,1,3,0,0,2,5,5,5,5,4,5,0,5,4,2
91,0,4,1,0,2,3,0,2,0,2,2,2,2,0,0,0,4,0,1
92,0,4,1,1,4,5,0,0,5,4,3,0,0,1,4,3,5,3,5
93,4,5,5,0,4,3,0,2,0,3,4,3,2,2,0,1,1,1,1
94,3,1,2,5,1,4,0,2,1,4,5,0,1,5,3,4,0,0,5
95,4,0,5,0,4,2,0,2,4,5,1,1,5,3,3,0,2,4,3
96,1,0,4,4,5,3,0,0,0,1,5,5,1,0,3,0,2,1,3
97,0,2,5,0,1,0,0,5,0,3,4,1,2,3,0,0,3,3,1
98,2,5,2,0,0,3,0,1,0,2,3,3,2,3,4,4,0,1,1
99,1,5,0,2,0,2,4,4,3,1,1,2,3,3,1,3,4,5,0
100,3,4,4,5,0,3,0,3,0,3,5,3,4,3,3,3,2,1,3
101,1,0,5,0,4,3,0,0,0,4,2,3,3,5,0,0,1,2,5
102,0,3,3,2,0,3,0,0,0,4,4,3,1,2,1,2,5,3,2
103,1,0,2,0,1,2,0,0,0,3,3,3,0,3,0,0,1,0,1
104,1,0,5,0,4,1,1,1,0,3,1,2,4,5,3,0,0,5,5
105,1,1,3,0,3,0,1,5,2,5,2,4,0,1,3,2,3,3,5
106,4,4,5,0,2,3,0,0,0,0,0,0,5,4,2,4,4,5,2
107,2,4,1,2,2,3,0,2,0,1,0,0,0,1,0,1,4,4,4
108,2,4,0,0,3,5,5,1,1,4,5,5,2,1,1,4,5,1,0
109,1,0,3,0,4,5,0,0,4,2,4,4,0,5,2,0,1,3,5
110,1,3,3,5,4,5,1,0,4,1,3,4,5,2,5,2,5,2,0
111,1,0,3,0,1,3,0,0,3,3,3,1,0,3,3,0,3,2,0
112,1,1,2,0,2,1,0,4,2,1,3,5,1,3,2,5,2,2,1
113,4,4,0,1,4,5,5,3,5,4,0,2,3,5,3,0,1,4,2
114,5,0,4,2,4,3,0,5,0,2,1,3,3,3,0,3,3,1,4
115,5,3,3,2,3,3,0,0,0,2,2,4,2,4,0,2,0,2,1
116,1,0,1,0,4,4,0,0,0,2,1,2,5,4,2,0,1,3,4
117,2,0,2,0,3,3,0,0,0,3,4,4,3,1,2,1,3,4,0
118,1,4,4,4,2,3,0,3,0,4,0,3,5,5,4,1,0,1,5
119,5,2,1,1,4,5,0,1,0,4,2,2,2,0,4,5,1,5,3
120,0,2,1,0,3,3,0,0,0,0,2,3,0,1,5,1,3,2,3
121,3,4,2,3,3,3,4,3,0,5,5,4,1,0,3,4,0,2,3
122,2,5,4,3,2,0,0,1,4,4,4,3,4,2,3,2,1,5,4
123,1,5,2,0,4,4,0,4,4,4,5,1,0,3,1,0,4,5,5
124,2,4,3,0,5,3,0,2,0,2,1,4,3,1,2,4,3,2,0
125,2,0,0,1,1,4,0,0,2,5,1,0,1,5,4,0,5,5,4
126,4,5,3,0,2,5,0,0,0,1,3,4,5,5,5,2,5,1,5
127,5,0,4,0,1,3,0,0,0,4,4,3,2,2,1,0,5,2,1
128,1,0,4,0,0,4,0,0,0,1,3,4,0,5,0,0,1,3,0
129,1,0,5,0,4,0,0,0,1,2,0,0,0,3,0,0,1,1,2
130,5,0,0,0,3,4,0,3,0,4,2,4,5,3,0,4,2,4,4
131,2,5,1,1,0,2,0,4,0,0,4,3,4,2,1,1,3,3,4
132,1,4,2,4,3,1,0,0,4,5,1,5,1,0,1,0,1,0,1
133,0,1,2,5,0,3,0,0,4,2,3,1,2,5,3,0,1,0,1
134,5,4,0,0,1,3,0,4,2,2,2,5,2,2,2,2,5,4,1
135,1,2,2,0,5,3,0,2,0,2,0,1,1,2,0,0,0,2,4
136,1,1,3,1,4,3,0,0,0,0,0,0,3,4,0,2,3,1,0
137,0,5,0,3,3,3,5,5,3,3,3,1,2,5,0,2,5,2,1
138,4,4,4,2,4,2,0,5,2,2,3,5,1,5,1,4,1,0,4
139,4,3,3,0,3,2,0,3,4,1,5,0,0,1,4,0,2,0,5
140,1,3,5,0,4,3,0,2,0,4,0,4,2,5,1,0,5,1,0
141,1,0,2,0,4,3,2,0,0,2,2,2,0,3,2,0,1,0,3
143,1,4,2,0,3,4,5,5,4,0,3,1,0,1,3,0,0,5,4
144,1,0,1,4,1,3,5,1,4,1,5,2,0,3,4,0,2,2,1
145,2,3,4,1,2,3,0,5,0,3,5,4,2,1,5,0,0,4,5
146,1,0,4,0,0,3,0,2,0,2,0,2,4,2,0,3,3,1,3
147,4,3,3,3,2,2,0,4,0,0,2,2,2,3,5,5,2,0,3
148,1,0,4,0,1,1,0,0,0,2,4,4,0,5,1,0,1,0,0
149,2,4,1,0,1,3,0,4,0,4,1,2,5,5,5,0,0,0,0
150,4,3,0,1,5,0,0,0,0,3,3,3,5,4,5,5,0,0,2
151,0,5,0,3,5,3,1,3,0,3,3,3,0,4,4,0,1,1,3
152,4,2,4,3,1,3,0,0,0,1,2,3,2,2,3,2,1,2,0
153,1,0,2,2,3,3,0,4,0,3,1,0,1,4,3,0,5,3,2
154,0,0,0,4,2,3,0,0,0,0,0,1,0,0,3,2,0,0,4
155,5,0,3,4,1,3,0,0,1,5,0,3,0,3,2,1,5,1,1
156,3,1,5,1,3,3,0,5,0,4,0,0,2,2,4,1,2,1,1
157,1,1,2,2,0,3,0,0,0,0,4,1,1,1,4,4,3,3,0
158,1,1,0,0,5,3,0,5,0,2,3,4,2,5,4,1,5,2,0
159,4,0,1,3,0,3,4,3,5,2,2,3,5,4,2,3,5,5,3
160,5,4,2,0,4,4,0,5,0,1,2,2,2,4,4,0,3,5,4
161,1,3,4,1,3,3,0,2,0,1,0,2,5,1,0,2,2,1,5
162,5,0,1,5,2,2,0,0,2,3,4,4,5,4,3,5,1,5,3
163,1,2,2,0,4,5,0,4,0,2,0,2,0,2,4,0,2,5,4
164,2,5,1,4,2,4,0,5,3,1,4,3,1,4,5,1,2,4,5
165,5,5,0,3,0,5,0,4,0,0,2,3,0,3,2,5,4,1,1
166,4,5,0,0,2,5,0,5,1,2,0,0,1,3,3,0,1,1,2
167,4,3,2,0,4,3,0,0,0,5,2,3,5,4,2,1,0,1,2
168,0,4,0,0,2,0,4,4,0,2,0,5,3,4,1,2,0,3,2
169,0,4,0,0,4,5,0,0,5,3,1,3,2,1,2,0,2,0,1
170,1,0,4,0,3,3,0,0,2,3,1,2,5,5,5,0,4,4,4
171,0,0,1,4,1,4,0,1,4,2,1,1,2,5,1,3,2,1,5
172,1,1,4,1,3,3,3,0,1,2,1,3,1,0,4,5,4,3,2
173,2,0,5,1,2,4,0,2,5,4,3,5,3,1,4,2,0,2,4
175,3,0,3,0,5,3,0,4,0,2,1,2,0,2,5,0,4,1,0
176,1,4,3,0,4,3,3,3,0,4,3,2,3,1,4,0,5,0,0
177,1,0,1,0,2,3,0,2,0,2,1,3,4,0,2,4,4,1,3
178,1,2,4,0,2,3,4,0,0,1,1,3,0,4,3,5,2,1,5
179,4,5,2,5,2,3,1,5,5,3,1,0,0,5,5,2,3,0,1
180,4,0,5,0,3,3,0,1,0,2,1,5,4,2,0,3,1,1,3
181,4,3,1,2,3,2,0,0,0,2,3,3,5,1,0,1,5,1,2
182,3,2,1,0,3,3,0,0,2,4,5,5,3,2,0,4,0,4,4
183,1,0,2,0,4,3,2,4,0,2,4,0,0,0,0,2,3,1,5
184,2,4,4,0,2,1,1,5,5,2,2,0,5,4,2,5,4,3,2
185,1,3,5,0,1,4,0,2,4,2,1,1,0,5,5,0,5,1,5
186,5,2,1,1,3,4,5,5,0,0,2,1,0,4,5,0,4,2,3
187,1,4,4,0,0,3,0,0,0,5,0,2,1,1,4,3,2,2,5
188,1,2,5,0,4,5,5,0,2,1,4,3,0,1,1,0,1,2,1
189,3,4,4,0,4,1,0,3,0,5,2,3,0,1,2,1,5,1,1
190,4,3,1,0,4,3,0,2,0,3,1,2,0,5,0,1,0,1,4
191,0,0,1,2,2,3,0,5,0,3,4,4,2,3,5,4,1,1,5
192,2,4,3,2,5,5,0,0,2,0,0,4,4,2,5,5,2,1,2
193,1,0,5,0,4,3,0,0,5,2,0,1,0,3,4,0,2,1,2
194,1,5,4,0,1,5,0,0,0,5,3,4,4,0,4,5,5,3,4
195,1,0,1,0,3,2,0,0,1,1,1,3,0,3,4,0,4,2,0
196,3,3,5,2,2,5,0,4,4,2,5,3,5,0,1,3,1,3,3
197,5,3,0,2,0,2,0,0,4,0,4,4,5,4,1,3,0,2,2
198,3,2,2,3,2,3,2,1,5,0,1,2,3,4,1,3,1,2,2
199,5,0,0,5,2,2,1,0,5,3,1,2,0,4,1,0,1,0,3
200,1,0,2,0,3,3,0,0,0,0,3,2,3,1,2,4,4,1,4
201,3,2,4,4,3,3,0,3,0,2,4,3,0,3,2,5,1,2,5
202,5,2,2,2,3,3,0,5,0,1,5,5,2,0,2,3,4,0,1
203,1,0,3,0,4,3,0,0,1,3,0,5,0,3,0,0,1,1,0
204,1,5,3,0,4,1,0,5,1,1,1,3,3,3,5,0,2,3,0
205,1,4,2,0,2,1,0,0,0,3,3,1,2,0,4,1,5,1,3
206,2,0,4,0,3,2,0,4,4,5,3,0,2,5,1,4,5,0,1
207,1,0,2,0,3,1,0,0,1,1,3,1,0,3,4,0,3,2,5
208,1,0,4,0,4,3,0,5,0,5,1,3,2,2,5,4,1,1,4
209,1,5,2,2,3,3,0,5,1,2,4,4,2,4,4,2,5,1,2
210,1,0,0,0,4,0,0,0,3,4,0,2,0,2,2,4,3,5,4
211,3,2,3,0,5,3,0,3,0,4,1,1,3,1,1,5,1,4,1
212,2,4,2,0,5,3,0,5,0,2,0,1,2,1,0,0,1,2,2
213,1,2,1,1,0,2,0,3,1,1,1,2,5,4,0,4,1,2,2
214,1,2,5,3,3,3,2,5,0,2,2,3,5,2,0,2,5,1,4
215,1,5,4,1,2,1,0,4,4,4,4,3,0,4,2,3,2,5,3
216,1,5,2,0,4,5,0,0,1,1,0,0,2,0,0,1,1,5,5
217,1,0,0,0,2,0,0,5,2,4,0,2,4,5,0,1,3,0,2
218,1,2,1,5,2,3,2,4,0,1,4,1,5,1,4,1,0,1,2
219,2,0,4,4,2,5,1,5,2,4,3,5,5,4,5,4,1,4,2
220,1,2,1,0,1,5,1,2,2,2,0,2,0,3,5,0,4,4,2
221,1,2,3,0,2,0,0,3,1,0,5,3,4,0,1,0,0,2,5
222,4,0,3,3,4,3,4,1,0,0,4,4,1,2,1,2,4,2,1
223,4,5,1,1,3,3,0,5,0,2,3,2,2,4,3,4,0,1,2
224,3,3,2,3,0,3,0,2,2,4,4,0,2,3,5,5,2,1,1
225,3,4,5,0,4,3,0,0,5,2,2,0,4,4,2,1,1,1,4
226,1,0,3,0,5,0,0,3,0,5,0,2,3,1,1,4,0,3,2
227,1,0,4,0,4,3,0,0,0,2,5,5,0,3,5,0,1,0,5
228,1,0,3,0,1,5,4,1,4,5,3,0,0,5,1,0,2,2,1
229,4,5,2,2,1,3,0,1,0,1,1,5,5,0,3,3,5,1,3
230,0,1,5,0,5,3,0,3,0,4,1,5,0,4,3,3,2,3,4
231,1,0,5,0,1,3,0,0,0,2,0,2,0,3,4,0,5,4,0
232,1,1,4,0,4,0,0,0,0,2,4,5,0,3,1,0,1,4,3
233,3,1,1,2,1,5,0,0,0,3,0,1,3,1,0,4,1,3,0
234,4,5,4,4,1,3,0,0,3,2,0,1,2,4,4,4,3,2,3
235,5,0,1,0,5,1,0,5,0,3,1,5,3,5,3,2,4,2,0
236,1,0,3,0,4,1,0,0,0,2,0,0,0,3,4,0,1,5,2
237,0,4,3,4,3,1,1,3,0,3,4,3,0,4,4,4,4,4,1
238,4,3,5,0,3,0,0,1,0,2,0,1,5,1,2,1,5,1,2
239,1,3,0,2,3,1,0,4,0,2,1,0,5,3,3,3,5,3,2
240,1,1,0,0,5,3,0,5,0,0,3,5,5,4,0,5,1,1,2
241,2,1,3,0,3,3,0,4,0,2,3,0,1,5,0,1,3,1,0
242,1,1,3,0,2,3,5,5,2,5,5,4,0,5,5,0,0,4,2
243,1,0,4,0,5,4,0,3,4,5,2,3,0,0,5,0,1,2,3
245,1,4,1,5,2,0,0,0,0,4,3,4,0,0,1,5,1,4,5
246,5,4,1,0,5,4,0,2,0,3,3,0,5,1,3,0,2,0,1
247,5,0,2,0,4,3,0,0,0,1,3,2,4,1,3,0,1,4,5
248,1,1,0,0,2,5,0,0,1,5,2,0,4,5,5,4,4,2,3
249,5,2,4,1,2,3,0,0,0,2,4,5,0,5,3,1,3,1,0
250,4,3,5,1,0,3,0,1,0,0,5,4,3,3,5,2,3,0,4
251,0,5,1,3,2,3,0,3,0,3,4,0,1,0,5,4,3,1,1
252,1,4,1,3,3,3,0,3,0,0,0,1,0,1,0,1,5,4,4
253,2,3,2,0,1,3,0,4,0,0,5,3,0,0,0,1,5,1,5
254,1,0,1,1,5,3,0,0,0,4,5,1,4,2,2,1,5,2,1
255,1,0,1,4,0,2,0,2,5,3,0,0,4,3,3,0,1,2,2
256,1,4,1,1,2,0,0,0,1,2,0,1,1,1,5,3,4,5,0
257,1,3,0,0,0,5,5,5,3,4,3,5,1,2,5,5,3,5,2
258,1,2,5,2,5,3,0,0,0,2,4,4,4,5,1,3,0,4,3
259,2,3,3,0,3,5,0,0,2,2,1,5,0,4,0,0,1,2,2
260,1,2,1,0,4,3,0,2,0,5,3,1,0,3,2,2,1,5,2
261,0,2,0,0,5,3,0,3,0,2,5,5,5,0,5,5,4,3,2
262,1,4,5,0,3,3,0,0,5,1,2,0,5,2,0,2,5,1,3
263,1,0,3,0,3,3,1,5,3,1,3,3,0,3,2,0,4,5,0
264,1,0,4,0,4,2,0,0,0,4,2,0,4,5,5,0,0,4,5
265,5,3,0,0,2,3,0,4,0,3,2,1,5,4,0,0,3,2,4
266,4,0,3,3,0,3,0,0,0,5,1,4,3,4,1,3,1,2,0
267,4,3,0,0,1,4,0,5,4,1,2,2,1,4,4,4,1,2,3
268,4,3,4,0,4,3,5,1,4,1,3,0,4,3,2,0,0,0,3
269,5,5,4,1,1,2,0,4,0,2,2,3,1,5,3,5,3,1,1
270,1,0,3,0,5,5,4,4,2,5,1,0,2,2,2,0,4,4,4
271,5,4,0,0,3,3,0,0,0,5,0,1,5,0,5,5,2,1,3
272,3,1,4,1,3,3,1,4,2,1,5,0,1,0,0,5,0,2,3
273,3,5,2,0,5,4,3,1,4,2,0,3,2,0,1,2,2,1,3
274,1,0,0,0,4,4,0,4,3,1,0,0,0,3,0,0,4,3,2
275,1,3,0,0,2,2,0,5,4,4,4,5,1,4,1,4,4,1,0
276,1,5,2,0,4,5,0,0,0,2,0,0,1,2,0,2,4,2,3
277,2,4,0,1,2,3,0,2,0,1,1,3,0,3,1,3,3,2,4
278,1,0,1,0,4,4,0,0,0,3,3,4,0,3,0,0,1,0,5
279,5,3,2,1,1,3,0,5,0,2,5,0,0,1,0,4,5,1,1
280,4,4,0,1,3,1,0,1,0,2,1,1,5,5,4,4,0,1,2
281,5,3,4,2,4,5,1,4,0,3,4,1,5,1,4,2,3,2,5
282,3,1,4,2,3,3,0,0,0,0,1,3,1,4,2,3,3,1,5
283,2,3,3,1,3,3,0,3,0,0,4,2,5,2,1,0,3,1,3
284,1,0,4,0,4,3,0,0,2,5,4,5,0,5,4,0,1,3,5
285,1,0,4,0,1,5,0,3,2,4,5,4,2,2,1,5,4,1,1
286,2,3,2,2,5,3,0,0,3,4,5,4,5,2,3,2,0,2,2
287,1,0,4,0,5,1,4,1,2,5,1,0,0,3,2,0,1,1,3
288,1,1,0,0,4,3,0,2,3,4,5,5,0,1,0,0,5,2,4
289,1,5,0,0,5,3,3,4,3,2,4,3,3,2,4,0,1,2,3
290,1,5,0,0,0,1,1,0,2,0,5,3,0,0,4,0,5,2,5
291,1,0,2,0,4,4,0,0,5,5,0,1,4,5,4,0,3,0,2
292,0,2,4,2,4,1,0,3,0,2,2,5,2,5,1,3,3,0,0
293,1,4,0,5,3,4,0,0,3,1,4,3,2,5,1,5,4,5,1
294,4,2,2,2,3,0,0,4,0,4,3,1,4,1,0,4,0,5,5
295,5,1,0,3,2,3,0,0,0,4,0,1,1,2,4,3,0,0,1
296,2,5,1,5,2,3,0,4,0,2,4,2,0,4,3,0,5,2,4
297,3,0,5,1,2,3,0,3,0,1,2,0,0,4,2,1,5,5,4
298,1,3,0,3,4,0,0,5,0,0,1,1,5,3,5,3,1,5,4
299,1,1,5,0,0,5,0,0,0,2,2,0,2,2,2,2,5,2,1
300,1,2,5,3,0,5,3,0,0,2,0,0,0,5,5,0,1,1,3
301,4,5,4,4,2,3,0,0,4,4,0,5,1,5,0,0,5,2,3
302,2,3,3,0,4,0,0,5,0,2,0,3,3,1,3,5,2,4,2
303,1,5,1,3,2,3,0,0,0,4,0,0,4,4,3,3,3,5,1
304,1,4,2,1,0,3,0,1,0,4,5,5,0,3,0,2,3,2,2
305,2,5,0,4,2,1,0,0,1,4,0,5,3,5,4,3,4,0,1
306,0,1,0,5,3,3,0,4,2,3,0,3,2,1,1,4,2,1,1
307,5,2,4,0,4,1,4,1,0,2,1,5,5,1,4,4,5,2,3
308,3,4,2,2,0,3,0,4,0,2,2,3,4,0,0,4,4,1,3
309,5,0,3,4,2,3,5,4,0,4,3,4,0,0,0,0,2,1,4
310,1,4,5,0,3,3,2,1,5,0,1,3,1,3,3,0,5,5,3
311,2,4,1,4,2,3,0,4,0,5,2,5,5,2,3,4,0,2,3
312,1,1,0,0,3,1,0,2,4,2,3,5,0,3,0,0,1,1,4
313,4,4,3,0,3,2,0,0,3,2,0,5,0,4,5,1,5,1,5
314,2,0,2,0,5,3,0,2,0,4,5,0,3,3,0,4,2,1,2
315,4,0,1,0,4,1,1,0,2,5,2,1,5,4,0,1,5,4,2
316,4,5,1,2,3,3,0,5,4,3,0,1,4,1,2,1,5,3,5
317,3,4,1,0,4,1,2,2,0,1,1,5,4,3,5,0,0,0,4
318,3,4,0,0,5,3,2,1,0,4,1,2,5,1,0,3,2,1,0
319,4,4,3,3,5,3,0,4,0,2,0,2,2,3,0,2,3,1,1
320,3,5,2,0,1,3,0,0,3,5,4,0,2,5,5,4,3,0,0
321,2,5,3,2,2,3,0,0,0,3,4,5,4,1,1,1,0,1,1
322,1,2,0,3,2,3,0,3,0,3,0,2,3,4,5,4,5,5,1
323,2,4,5,0,1,3,1,0,2,1,0,2,0,2,2,5,3,5,4
324,5,1,2,0,4,3,5,1,1,1,2,0,4,0,5,0,1,1,1
325,1,2,5,0,1,3,0,4,0,3,0,2,3,4,3,3,4,5,4
326,4,5,3,3,5,3,0,4,2,3,2,5,1,0,4,1,2,3,3
327,5,0,3,0,1,3,2,0,0,5,5,4,0,5,4,3,4,1,3
328,5,5,1,1,1,3,0,1,0,0,4,2,3,5,1,0,4,1,1
329,4,2,2,2,4,3,0,0,0,3,1,3,1,4,4,1,0,3,4
330,1,5,5,0,4,2,0,0,5,0,1,2,0,5,2,0,5,5,1
331,0,5,5,1,0,5,0,0,0,4,0,4,0,2,4,4,4,1,3
332,5,3,2,1,5,2,2,5,2,1,3,5,0,5,5,0,1,3,5
333,4,3,1,0,3,5,0,0,0,2,5,1,0,2,4,4,0,1,4
334,2,0,0,4,2,3,0,3,0,4,0,2,3,3,0,0,3,1,4
335,3,4,5,0,0,3,0,3,0,0,4,3,5,2,0,3,1,5,1
336,1,0,2,0,4,3,0,4,2,3,1,3,0,1,1,2,4,4,4
337,5,1,5,0,3,2,0,0,0,0,0,3,1,1,2,3,0,2,5
