CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,전체_clust_id
188,1,-1,1,-1,1,0,1
189,1,-3,1,0,1,-1,1
190,1,1,1,-2,-1,3,4
191,0,1,-1,0,2,-3,5
192,-2,2,-3,3,-1,0,2
193,-1,1,-1,1,-1,1,2
194,-1,0,0,1,-1,0,4
195,2,-1,0,1,0,-1,0
196,-3,2,-1,0,1,0,3
197,-1,2,-3,3,-1,-2,2
198,-3,1,0,2,-2,0,2
199,-2,1,-1,0,0,1,3
200,0,-1,0,1,-2,3,4
201,0,0,-2,2,1,-2,5
202,0,-1,1,-1,1,0,1
203,1,-1,0,1,-1,0,0
204,1,-1,0,1,0,-1,0
205,0,1,-1,-1,2,0,3
206,2,-2,1,-2,2,0,1
207,1,0,-1,1,-1,0,5
208,0,-1,0,-1,0,0,4
209,2,0,-2,3,-3,0,2
210,0,0,-1,1,-1,1,4
211,3,-3,3,-3,3,-2,1
212,0,1,-2,3,-3,1,2
213,0,2,-2,2,-1,-1,2
214,-1,0,1,1,-3,2,4
215,-1,1,0,0,0,-1,3
216,1,0,-1,0,0,0,5
217,0,1,-1,2,-3,3,2
218,-1,-1,-1,3,0,-2,2
219,-2,3,-3,3,-2,0,2
220,-1,1,-1,2,-2,0,2
221,1,0,-1,0,1,0,5
222,1,-1,2,-3,3,-3,1
223,-2,3,-3,3,-3,0,2
224,3,-3,3,-3,1,2,1
225,0,1,0,0,-2,3,4
226,-2,2,-1,2,-3,1,2
227,0,1,-3,1,1,-1,5
228,1,-1,1,-1,2,-2,1
229,-3,2,0,0,1,-3,3
230,-1,2,0,0,-1,0,4
231,0,-2,1,1,-1,0,0
232,-2,1,-1,0,1,-1,3
233,2,-3,1,2,-3,1,0
234,-1,1,0,0,1,-3,3
235,2,-3,3,-1,-2,1,0
236,-2,3,-2,1,0,0,2
237,1,-1,2,-3,3,-1,1
238,-2,2,-3,3,-3,1,2
239,-2,2,-1,2,-2,1,2
240,-3,1,-1,3,0,-2,2
241,3,-2,1,-1,0,0,0
242,-1,2,-2,1,0,-1,2
243,-1,2,-2,0,2,-2,3
245,0,0,-2,1,1,-1,5
246,1,-3,2,-1,1,-2,1
247,1,0,-1,0,1,-1,5
248,-2,1,2,-2,1,0,3
249,2,-1,1,0,0,0,0
250,0,-1,0,2,-1,-2,4
251,0,0,2,-3,3,-2,1
252,0,0,0,-1,-1,3,4
253,1,0,0,0,2,-2,5
254,2,-2,2,-3,0,1,1
255,-1,3,-2,1,-1,0,2
256,0,-3,0,2,0,1,0
257,0,1,-1,1,-1,2,2
258,-3,2,1,-1,0,0,3
259,-3,3,-3,3,-3,3,2
260,-1,1,-2,1,1,0,2
261,-1,3,-3,2,-1,-1,2
262,-2,2,0,0,-1,-1,3
263,2,-1,0,1,0,-1,0
264,0,1,-2,-1,2,-1,5
265,-1,0,0,2,-2,1,4
266,0,-3,2,0,-1,0,0
267,-2,2,-2,-1,1,2,3
268,-1,3,-1,-2,1,2,3
269,0,0,1,-2,2,-1,1
270,-1,0,1,0,-1,0,4
271,-3,1,0,0,1,1,3
272,0,1,0,-1,2,-2,3
273,-3,2,0,-1,1,-1,3
274,-1,2,-1,0,-1,1,2
275,1,-1,0,1,0,-1,0
276,-1,1,1,-3,0,2,3
277,-2,0,0,2,-3,2,4
278,2,0,-1,0,-1,2,5
279,0,-3,3,-3,0,3,1
280,0,0,-2,3,-2,1,2
281,2,0,-1,1,1,-3,5
282,0,1,-1,1,0,0,5
283,-1,2,0,-2,3,-3,3
284,3,0,-1,-1,1,0,5
285,0,-1,1,-1,1,-1,1
286,0,2,-3,2,-2,1,2
287,-3,1,1,0,1,-2,3
288,0,0,-1,1,-1,1,4
289,-2,0,1,-1,1,-1,3
290,1,-1,-1,0,1,-1,5
291,-1,1,-2,3,-1,0,2
292,1,-2,0,0,0,2,0
293,1,-3,3,-3,2,0,1
294,2,-1,-2,1,2,-3,5
295,-1,-1,2,-3,0,0,1
296,0,1,2,0,-3,3,4
297,-1,-1,-1,2,0,1,4
298,-1,1,-1,0,-2,3,4
299,2,-2,3,-3,1,1,1
300,0,1,0,-1,0,0,3
301,0,3,-1,-2,0,3,3
302,-1,2,-3,3,-2,1,2
303,1,1,1,-3,2,0,1
304,1,0,-3,3,-3,2,2
305,2,-3,3,-2,1,-1,1
306,2,-3,3,-3,3,-2,1
307,-1,1,-1,0,0,-1,3
308,-2,1,-2,0,2,-1,3
309,-2,-1,1,1,0,-1,4
310,-1,1,2,-2,2,-3,3
311,-2,2,0,-1,0,0,3
312,0,-1,-1,0,-1,0,4
313,1,1,0,-1,0,1,5
314,0,3,-3,3,-3,3,2
315,-2,2,-3,3,-1,1,2
316,2,1,-3,1,2,0,5
317,-2,-1,0,2,1,-3,4
318,1,-1,-1,3,-2,0,0
319,0,-1,3,-2,1,-1,1
320,2,-1,1,0,-2,1,0
321,2,-1,1,-2,2,-1,1
322,1,-1,1,-1,2,-3,1
323,-2,0,0,2,-3,3,4
324,2,-3,2,-2,3,-3,1
325,-1,-1,1,2,-1,-1,4
326,-2,2,1,-3,2,0,3
327,0,1,1,-3,2,-1,3
328,1,-2,1,-2,2,0,1
329,-1,-1,2,0,0,0,4
330,-1,-1,3,-1,0,-1,1
331,0,1,0,-1,1,0,3
332,1,0,0,-1,0,0,5
333,0,-1,0,2,-2,1,4
334,-2,0,1,0,0,0,4
335,0,-3,3,-2,-1,3,1
336,1,0,1,0,-1,0,4
337,0,0,-1,-1,1,2,5
338,0,-1,3,-2,0,1,1
339,0,-1,1,0,0,-1,4
340,1,-2,3,-3,1,0,1
341,1,0,-2,0,1,-1,5
342,1,0,0,-1,0,0,5
343,2,-2,2,1,-3,2,0
344,1,2,-3,3,-1,0,2
345,-1,0,-2,1,0,2,2
346,0,0,-2,3,-1,1,2
347,0,-2,2,0,-1,0,0
348,0,-1,0,1,-2,1,4
349,3,-3,3,-3,3,-3,1
350,-1,1,-2,3,0,-2,2
351,-2,2,0,-2,0,0,3
352,-3,1,2,-2,0,0,3
353,-1,-2,3,-2,0,1,1
354,-1,0,0,2,-2,1,4
355,0,0,-3,0,2,0,5
356,2,0,-3,1,1,-1,5
357,-2,1,0,0,-1,1,4
358,-3,3,-2,1,0,0,2
359,1,0,0,-2,1,0,1
360,1,-1,-1,3,-1,-2,0
361,1,1,-1,1,1,-1,5
362,0,1,1,-1,0,-2,3
363,1,-2,3,-2,-1,0,1
364,-1,-2,2,-1,0,1,1
365,0,0,-1,2,-2,2,2
366,-2,1,-1,1,0,0,2
367,0,3,-3,2,-1,0,2
368,-1,-2,2,-1,2,-2,1
369,-1,2,0,0,-2,2,4
370,0,1,-1,2,-2,1,2
371,1,0,-1,1,-1,0,5
372,-3,2,-1,1,0,-2,2
373,-3,3,-1,0,-2,2,2
374,-2,2,0,-1,0,0,3
375,-1,1,2,-2,-1,2,3
376,0,-1,1,-1,1,-1,1
377,-1,1,-1,0,1,-1,3
378,-1,1,-1,1,-1,2,2
379,0,-1,2,-2,1,0,1
380,-3,2,-1,1,-1,1,2
381,0,-2,1,-1,0,0,1
382,-1,2,-2,3,-3,3,2
383,-1,1,-1,1,-1,1,2
384,-1,2,-1,0,-1,-1,2
385,-1,-2,1,1,0,0,4
386,3,-3,0,3,-1,1,0
387,0,-1,0,0,2,-2,5
388,-2,3,-2,0,-1,3,2
389,0,0,2,-2,0,1,1
390,-1,1,-1,1,-1,1,2
391,-2,-1,0,3,0,-1,4
392,1,2,-3,3,0,-1,2
393,-2,3,-1,1,-3,2,2
394,-2,2,0,0,-1,1,3
395,0,1,1,-3,3,-3,3
396,-3,3,-3,2,-2,3,2
397,1,0,-1,0,2,-2,5
398,0,1,-2,3,-1,-2,2
399,0,1,0,0,-1,0,4
400,0,3,-3,2,0,0,2
401,0,3,0,-3,1,1,3
402,2,0,1,-3,1,2,1
403,0,1,0,-1,1,-1,3
404,-1,0,1,0,0,0,4
405,-1,-1,1,1,-1,1,4
406,-1,1,-1,1,0,0,2
407,-1,2,-3,3,-2,2,2
408,-1,0,-2,3,-2,-1,2
409,1,1,-1,1,-2,3,2
410,2,-2,1,-1,1,-1,1
411,1,1,-1,1,0,-2,5
412,0,1,-1,1,-2,2,2
413,2,-3,3,-2,2,-3,1
414,0,2,-3,3,-3,3,2
415,0,-2,3,-2,1,-2,1
416,1,0,-1,1,2,-2,5
417,0,3,-2,0,-1,3,2
418,0,0,-1,0,2,-3,5
419,-2,0,0,-1,1,2,3
420,-1,-1,0,2,-3,2,4
421,-1,0,1,0,0,-1,4
422,-3,1,-1,3,-3,1,2
423,1,-1,-1,2,1,-2,5
424,-1,0,0,2,-2,0,4
425,-3,2,-1,2,-1,-1,2
426,-2,0,1,-1,1,-1,3
427,3,-2,2,-3,2,0,1
428,2,0,-2,3,-3,3,2
429,-3,0,3,-1,-2,3,4
430,0,2,-3,2,1,0,2
431,2,-1,-1,1,0,0,5
432,-3,2,-1,0,-1,2,2
433,0,1,-2,3,-3,1,2
434,2,-3,1,1,0,0,0
435,-1,0,3,0,-3,1,4
436,-2,1,-1,0,0,2,3
437,3,-2,1,1,-3,2,0
438,0,-2,1,0,1,-1,1
439,-2,-1,3,-2,1,-1,1
440,0,1,-1,-1,2,1,3
441,-3,0,2,0,1,-3,3
442,0,1,-1,1,-1,1,2
443,-2,1,-1,-1,3,-3,3
444,2,-3,2,1,-1,0,0
445,-3,2,-1,1,0,0,2
446,2,0,0,0,0,-1,5
447,1,-2,3,0,0,-3,1
448,-2,-1,2,-2,3,-2,1
449,1,-1,-2,3,-2,2,0
450,-2,0,1,-1,0,2,3
451,0,-1,-1,3,-2,1,4
452,0,-2,0,1,0,-1,0
453,-3,2,-2,2,1,-1,2
454,1,0,-1,0,1,-1,5
455,1,1,-1,2,-2,0,2
456,-1,2,-2,1,1,-1,2
457,0,1,-1,1,-2,2,2
458,0,1,-1,1,0,-1,5
459,2,-2,0,1,-1,1,0
461,-1,-1,-1,3,-2,0,2
462,2,-1,-2,3,-2,-1,0
463,2,-2,0,0,2,-2,1
464,-1,-1,2,1,-2,0,4
465,-2,3,-1,-1,1,0,3
466,0,-3,2,0,0,-1,1
467,0,2,0,-1,2,-2,3
468,-1,0,1,0,-1,1,4
469,-3,1,-1,3,-3,1,2
470,-1,0,0,1,0,0,4
471,-2,0,2,-2,0,2,3
472,0,2,-1,0,0,0,5
473,0,1,-1,0,1,0,5
474,0,2,-3,2,0,0,2
475,1,0,1,0,0,-1,4
476,1,0,-1,1,-1,0,5
477,0,-3,1,2,-3,3,0
478,-2,3,-1,-2,1,0,3
479,-3,1,1,-1,1,-2,3
480,0,1,-1,1,0,-1,5
481,2,-3,1,1,-1,0,0
482,-1,2,-2,1,0,0,2
483,-2,2,1,-3,1,2,3
484,1,0,-2,3,-1,-1,2
485,1,0,0,-1,1,-2,5
486,-1,1,-1,0,-1,3,4
487,0,-1,0,1,-1,0,4
488,0,0,-1,1,-1,1,4
489,1,2,-3,2,0,-2,2
490,-1,1,-1,1,-1,1,2
491,-1,1,-2,2,0,-1,2
492,0,-3,1,-1,3,0,1
493,0,2,-2,0,0,1,5
494,-3,2,-2,3,-2,2,2
495,2,-1,1,0,-2,2,0
496,3,-3,2,0,-2,2,0
497,0,0,1,-1,0,1,4
498,3,-3,3,-2,1,-2,1
499,0,3,0,-2,1,-1,3
500,1,-2,3,-1,-1,0,1
501,-3,3,-3,2,-1,0,2
502,1,1,0,-1,-1,1,4
503,-1,2,-1,-1,-1,2,3
504,-1,-1,2,-1,0,2,1
505,-1,3,-3,1,2,-1,2
506,-2,3,0,-3,2,-1,3
507,-1,1,-1,1,0,0,2
508,2,1,-2,-1,2,0,5
509,1,-3,1,1,-1,1,0
510,-3,1,1,-1,1,-1,3
511,0,0,-1,1,-1,0,4
512,1,-1,2,-2,0,1,1
513,-2,3,-3,2,1,-1,2
514,1,0,-1,0,2,-3,5
515,-3,3,-3,3,-3,1,2
516,-1,1,0,-1,1,0,3
517,-2,3,-2,0,0,-1,2
518,1,-2,1,1,0,0,0
519,-3,3,-1,-1,1,1,3
520,0,1,-1,0,0,2,5
521,0,0,2,-3,3,-2,1
522,-1,0,0,-1,-1,1,4
523,-1,-1,3,-2,0,0,1
524,-1,0,1,-1,0,-1,3
525,1,1,-1,1,-1,2,5
526,0,-1,0,3,0,-3,4
527,-3,2,-2,2,-1,0,2
528,0,-1,1,0,-1,1,4
529,0,-1,3,-2,0,-1,1
530,-2,1,-2,3,-2,2,2
531,-1,-1,-1,3,-3,2,2
532,0,-2,1,2,-3,2,0
533,1,0,-1,1,-1,1,5
534,2,-1,-2,1,2,-2,5
535,0,1,-2,3,-1,-1,2
536,1,-1,1,-1,1,-1,1
537,-1,1,0,-1,1,-1,3
538,0,-2,-1,1,2,-2,5
539,-2,2,-1,1,1,-1,3
540,-3,2,-1,0,2,-2,3
541,0,0,-1,1,0,-1,5
542,0,-1,-2,3,-3,1,2
543,-1,3,-2,2,-3,3,2
544,-1,1,0,2,-3,3,2
545,2,-3,0,2,1,-2,0
546,0,1,2,-2,1,-2,1
547,-3,1,0,1,0,-2,3
548,3,-3,3,-3,2,0,1
549,-1,3,-2,0,0,1,2
550,1,-1,1,-3,3,-2,1
551,-2,1,0,-2,2,-1,3
552,-2,0,0,1,0,0,4
553,-1,0,-1,-1,0,3,3
554,-2,0,2,-3,1,1,3
555,0,2,-1,-1,1,-2,3
556,-2,2,-1,0,0,1,3
557,-2,2,-1,0,0,1,3
558,-3,3,-2,2,-3,1,2
559,1,1,-3,1,0,2,5
560,0,-2,2,1,-2,0,0
561,0,-2,3,-1,0,-2,1
562,2,-2,-1,0,2,-2,5
563,0,-2,3,-2,0,1,1
564,-2,2,-3,0,2,0,3
565,1,-2,1,1,-1,1,0
566,-1,1,2,0,-2,1,4
567,2,-2,3,-3,1,0,1
568,0,-2,1,0,-1,1,0
569,-1,0,-2,2,-1,0,2
570,0,-1,0,0,0,0,4
571,3,-3,3,-3,3,-2,1
572,2,-2,2,-3,0,0,1
573,0,-3,2,0,-1,0,0
574,-3,2,0,-2,3,-3,3
575,-1,1,0,-1,-1,2,4
576,1,-2,0,2,-1,-2,0
577,2,-3,3,-3,3,-3,1
578,0,1,-1,0,1,-1,5
579,1,1,0,0,-2,1,4
580,1,0,0,-1,0,1,5
581,0,1,-1,1,-1,-1,2
582,-3,1,2,-2,0,0,3
583,0,2,-2,-1,2,0,3
584,-1,2,0,-1,0,-1,3
585,1,-2,0,-1,3,-3,1
586,0,-2,1,0,2,-3,1
587,-2,1,-1,0,2,-1,3
588,-1,0,1,-2,0,2,3
589,2,-2,2,-1,1,0,1
590,-1,0,0,0,-1,2,4
591,0,-1,1,0,0,-1,4
592,1,-3,2,0,0,-2,0
593,-3,1,-1,3,-2,2,2
594,-2,2,-2,0,0,1,2
595,0,-1,2,-1,2,-1,1
596,2,0,-1,0,0,-1,5
597,-1,0,0,0,2,-2,3
598,-2,0,0,1,1,-1,3
599,1,2,-3,2,0,0,2
600,0,1,-2,0,1,-1,5
601,-1,0,1,0,0,-2,4
602,1,-2,0,1,0,0,0
603,-1,0,-1,-1,1,1,3
604,-3,2,-1,1,-2,3,2
605,-1,0,0,1,-1,0,4
606,-3,3,-3,0,2,1,3
607,0,-1,-1,3,-1,-1,4
608,0,0,-1,3,0,-3,2
609,-1,1,-2,2,0,-1,2
610,0,-3,0,1,-1,3,0
611,-2,-1,1,2,-3,3,4
612,2,0,-2,0,3,-3,5
613,2,1,-3,3,-3,1,2
614,-3,1,0,2,-2,0,2
615,-1,1,0,0,-2,1,4
616,0,-1,0,1,-1,0,4
617,2,-1,1,-1,2,-2,1
618,-1,-1,0,-1,2,1,3
619,-1,1,0,0,-2,1,4
620,-2,0,1,-1,-1,3,4
621,1,0,-1,0,1,0,5
622,-3,1,0,1,0,-1,3
623,0,1,-2,0,0,-1,5
624,0,1,-1,1,-1,1,2
625,1,1,-3,2,-1,2,2
626,-1,0,1,-1,1,0,3
627,2,-2,0,1,-1,-1,0
628,3,-1,0,0,-2,2,0
629,0,0,0,-1,2,-2,3
630,1,-2,2,-1,1,-2,1
631,1,1,-2,0,0,0,5
632,1,-1,-1,1,2,-3,5
633,0,-1,1,-1,2,-3,1
634,2,0,0,-2,2,-2,1
635,1,2,-3,1,2,-1,5
636,1,2,-3,3,-1,-2,2
637,3,-2,1,1,-3,1,0
638,-2,2,-3,1,0,2,2
639,3,-2,2,-2,0,1,1
640,-2,1,2,0,-3,1,4
641,-1,-1,0,1,0,0,4
642,-1,1,0,-1,0,1,3
643,-2,1,1,0,0,-2,3
644,-1,0,-1,0,-1,1,4
645,-1,0,2,-3,2,-1,1
646,-1,1,-1,2,-3,2,2
647,1,0,0,0,-1,0,4
648,3,-3,2,-1,0,0,1
649,-1,3,0,-2,1,-2,3
650,3,-3,0,3,0,-3,0
651,0,1,0,-1,1,-1,3
652,1,-2,3,-1,0,-2,1
653,0,2,-2,1,-1,1,2
654,1,0,-3,2,-1,2,2
655,1,-1,1,0,-1,1,0
656,1,-1,-1,3,-1,-2,0
657,0,0,0,1,0,0,4
658,1,0,-1,0,0,-1,5
659,0,1,-1,1,-1,1,2
660,0,0,-1,1,0,-1,5
661,-2,2,1,-3,1,0,3
662,0,1,-1,1,-2,2,2
663,-1,2,-2,0,1,0,3
664,-1,3,-1,-2,3,-3,3
665,-1,1,-1,1,0,-1,2
666,1,-1,1,1,-2,0,0
667,3,0,-3,3,-2,-1,5
668,-1,-2,2,-2,0,3,1
669,-3,0,1,2,-3,2,4
670,-1,0,1,-1,0,2,3
671,-1,0,0,1,-2,2,4
672,3,-2,-1,1,2,0,5
673,-1,1,1,-2,-1,1,3
674,0,3,-2,0,-1,3,2
675,-1,2,-3,2,0,-2,2
676,-2,1,-2,2,0,-1,2
677,-1,0,2,0,-3,1,4
678,1,0,0,-1,1,-1,5
679,1,0,-1,1,-1,1,5
680,0,-1,0,1,0,-2,4
681,-1,3,-3,2,1,-3,2
682,-1,0,0,2,-2,0,4
683,-1,3,-2,1,-2,3,2
684,0,2,-2,0,0,0,5
685,-1,0,1,-1,1,-1,3
686,0,1,-2,3,-1,1,2
687,-3,2,0,1,-3,3,2
688,2,-1,0,-1,1,-1,1
689,-1,1,1,-3,1,1,3
690,0,0,1,-2,-1,3,4
691,1,-3,2,1,-3,3,0
692,0,-2,-1,1,1,-1,5
693,0,-1,1,0,-1,0,4
694,2,0,-2,3,0,-3,5
695,-1,-1,0,1,0,-2,4
696,0,-1,-1,2,1,-2,5
697,-3,2,1,-1,-1,0,3
698,-2,1,1,-2,1,-1,3
699,0,0,0,0,0,1,4
700,0,-2,2,-1,1,-1,1
701,3,-3,3,-3,3,-1,1
702,-1,0,2,-1,0,-1,4
703,-2,0,0,1,0,-2,4
704,2,-3,3,-3,3,-3,1
705,-1,0,1,0,0,0,4
706,1,-3,2,-1,1,-2,1
707,-2,3,-1,-2,3,-1,3
708,2,-2,3,0,-2,-1,0
709,1,2,-3,3,-3,1,2
710,2,-2,0,2,-3,2,0
711,2,-1,1,0,-1,0,0
712,-1,0,1,-1,2,-2,3
713,1,1,0,-1,1,0,5
714,3,-1,1,-3,3,-2,1
715,-2,2,-1,1,0,-1,2
716,2,0,-2,1,2,-1,5
717,2,1,-3,3,-1,-2,2
718,-2,0,2,-3,1,0,3
719,1,-1,1,0,-1,2,0
720,0,0,0,1,-1,1,4
721,0,-1,1,-1,0,2,1
722,0,-1,1,-1,0,0,1
723,-1,0,0,0,1,0,3
724,2,1,-3,2,-1,0,5
725,0,1,-1,0,0,2,5
726,-1,2,-3,3,-3,1,2
727,1,2,-3,1,1,0,5
728,3,-1,1,-3,0,3,1
729,-2,2,-2,2,0,0,2
730,1,1,0,0,-2,2,4
731,2,1,-3,3,-3,1,2
732,1,-2,3,-3,2,0,1
733,-2,0,1,-1,-1,0,4
734,3,-2,0,1,0,-1,0
735,-3,0,3,-2,1,-1,3
736,-2,-1,3,-3,2,-1,1
737,1,1,-1,-1,2,-2,5
738,-1,-1,1,1,-1,-2,4
739,0,0,-1,1,0,-2,5
740,0,0,-1,0,0,1,5
741,-1,0,1,0,-1,0,4
742,-1,1,2,0,-2,-1,4
743,-1,1,-2,3,-3,2,2
744,2,-2,3,-2,0,1,1
745,0,-1,-1,3,-1,-2,4
746,-1,-2,2,-1,0,2,1
747,-1,0,-1,2,-3,1,2
748,-3,3,-1,-1,0,2,3
749,0,2,-1,0,-2,1,2
750,2,0,-1,1,-1,2,5
751,-1,2,-1,1,0,1,2
752,2,-1,1,0,0,-1,0
753,-2,1,-1,1,-1,0,2
754,-1,2,-3,2,-2,3,2
755,2,-3,1,1,1,-2,0
