CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,의류_이미용_중가_clust_id
134,-1,-1,1,-2,1,1,2
135,-2,-1,3,0,0,-3,2
136,-3,3,-3,3,-3,3,4
137,3,-2,0,1,1,-3,5
138,2,-1,0,-2,0,3,5
139,0,-3,0,3,0,-2,1
140,3,0,-3,-1,0,4,5
141,-3,-1,0,0,0,0,3
143,4,-3,-1,4,-3,-1,1
144,-2,-1,0,-1,4,-3,3
145,1,1,-2,3,0,-3,1
146,1,-2,3,-3,3,-3,2
147,-1,1,0,-1,0,0,3
148,4,-3,-1,0,0,0,5
149,2,-2,-1,1,2,-3,5
150,-3,3,-3,3,0,-3,4
151,-3,3,-3,3,-3,3,4
152,0,-2,2,-3,3,-3,2
153,-1,4,-3,3,-3,2,4
154,0,3,-3,-1,4,-2,0
155,-1,0,1,0,0,-1,3
156,0,-1,2,-2,-1,2,2
157,0,-3,0,3,0,-1,1
158,4,-2,-1,-1,4,-2,5
159,-2,0,0,2,-3,3,4
160,-1,1,0,1,-2,-1,4
161,3,-2,-1,3,-3,3,1
162,-1,1,-2,3,-1,-1,4
163,1,-3,3,-3,3,-3,2
164,-3,3,-3,2,-1,-1,4
165,0,-1,-1,-1,0,3,3
166,-1,0,-2,0,3,-2,3
167,-1,1,-2,3,0,-3,4
168,-3,3,-3,3,-2,1,4
169,0,-1,0,4,-2,2,1
170,3,-3,-1,0,0,0,5
171,3,-3,1,2,0,-3,5
172,-2,3,-3,1,1,0,0
173,-3,-1,0,4,-3,0,1
175,0,-3,3,-3,-1,0,2
176,0,0,0,4,-3,-1,1
177,-3,3,0,-3,1,-1,0
178,0,3,-3,3,-3,3,4
179,2,-1,2,-2,0,0,5
180,-3,-1,4,-3,-1,4,2
181,2,0,-1,2,-3,2,1
182,0,-2,3,-3,3,-1,2
183,0,4,-3,-1,0,0,0
184,-2,2,-2,3,-3,3,4
185,4,-3,-1,0,4,-3,5
186,-3,2,-2,3,-2,-1,4
187,0,0,-1,4,-3,3,1
188,3,-3,0,3,-3,3,1
189,1,-3,0,3,0,-2,1
190,2,-1,2,-2,-1,2,5
191,-1,0,-2,0,3,-3,3
192,-2,-1,2,-1,2,-3,2
193,-1,0,0,0,0,0,3
194,-3,3,-1,0,-1,2,0
195,0,0,0,0,0,0,3
196,-3,3,-2,0,0,2,0
197,-3,3,-3,2,-2,3,4
198,-2,2,-3,3,-3,3,4
199,-1,1,-3,3,-3,3,4
200,4,-3,-1,4,-3,3,1
201,0,1,-1,1,0,-1,3
202,-3,3,-2,0,1,-2,0
203,-3,-1,0,0,4,-2,3
204,0,-1,0,1,0,0,3
205,-1,3,-2,-1,2,-1,0
206,3,-2,-1,0,-1,4,5
207,-3,0,-1,0,0,0,3
208,-1,-2,2,-2,0,0,2
209,-1,2,-3,3,-2,-1,4
210,0,-3,3,-3,3,-3,2
211,-1,0,0,4,0,-2,1
212,3,-3,0,3,-3,0,1
213,-3,3,-3,3,-3,3,4
214,-1,0,3,-3,0,3,2
215,-2,1,-1,2,-1,-2,4
216,-3,1,-1,-1,4,-3,0
217,4,-3,3,-2,-1,-1,5
218,0,-1,-1,3,0,-3,1
219,-3,3,-3,3,-2,0,4
220,0,0,0,0,4,-3,3
221,-3,3,-2,-1,-1,4,0
222,1,-1,3,-2,2,-3,2
223,1,2,-3,2,0,-2,4
224,-1,-1,0,1,0,-2,3
225,-3,2,0,0,-2,3,4
226,-1,0,0,4,-3,-1,1
227,0,0,0,0,0,0,3
228,3,-3,-1,0,4,-3,5
229,-3,3,-1,-2,3,-3,0
230,-3,3,-2,1,-2,3,4
231,0,-3,0,-1,4,-3,3
232,-3,0,-1,0,4,-3,3
233,0,0,0,4,-3,3,1
234,-2,0,-1,3,-2,-1,4
235,3,-3,0,-1,0,4,5
236,0,0,0,0,0,4,3
237,-3,3,-3,3,-3,3,4
238,0,0,-3,3,-3,0,1
239,-1,1,1,0,0,-2,3
240,-2,2,-2,3,0,-1,4
241,3,-1,0,-1,0,0,5
242,4,-1,1,-3,0,-1,5
243,0,4,-3,-1,4,0,0
245,-3,3,-3,0,3,-3,0
246,3,-1,-2,2,-2,3,1
247,3,0,-3,2,-2,3,1
248,2,-2,3,-3,3,0,5
249,2,-1,2,-1,-2,3,5
250,0,1,-1,-1,3,-2,3
251,-2,3,0,-2,0,1,0
252,1,-2,0,3,-3,3,1
253,-3,3,-1,-1,1,0,0
254,0,-2,2,-1,-1,3,2
255,-1,2,0,0,-1,1,3
256,1,-2,0,3,-1,-1,1
257,-2,-1,4,-3,1,-1,2
258,3,-3,3,-3,3,-3,5
259,-3,3,-3,3,-3,3,4
260,0,-3,0,-1,0,4,3
261,-2,3,-1,-1,1,-2,0
262,-2,0,3,-2,-1,2,2
263,-3,-1,0,0,4,-2,3
264,4,-1,-1,-1,3,-3,5
265,-2,2,-2,3,-2,2,4
266,-2,0,0,2,-3,1,4
267,-2,1,-2,1,0,2,4
268,0,-3,0,1,2,-1,3
269,3,-3,3,-2,-1,3,5
270,0,0,4,-3,-1,4,2
271,-3,3,-3,1,2,-1,0
272,-3,2,1,-3,2,1,0
273,-3,2,1,-1,-2,3,0
274,0,0,0,0,0,0,3
275,0,3,-3,3,-3,1,4
276,0,0,4,0,-3,-1,2
277,-1,1,0,0,-1,-1,3
278,0,0,0,0,0,0,3
279,0,-3,1,2,-3,2,1
280,3,-2,0,1,-1,0,5
281,1,-3,0,3,-1,-2,1
282,-2,1,-1,1,-1,1,4
283,0,-3,3,-3,0,1,2
284,4,-3,-1,0,0,0,5
285,0,-3,3,-2,-1,0,2
286,0,-2,3,-1,-2,3,2
287,-3,0,0,-1,4,-3,3
288,2,0,-2,3,-1,-2,1
289,-3,1,2,-3,3,-3,2
290,0,4,-3,-1,4,-3,0
291,4,-3,-1,0,0,4,5
292,3,-2,1,0,-2,1,5
293,3,-3,3,-1,0,-2,5
294,3,-1,-1,1,-1,0,1
295,-2,-1,3,-2,-1,0,2
296,-1,2,1,0,-3,3,4
297,-2,1,-2,3,-2,2,4
298,0,1,-1,-1,-1,2,3
299,0,0,3,-3,3,-3,2
300,3,-3,-1,0,0,4,5
301,3,0,0,-3,0,3,5
302,3,-2,-1,3,-3,1,1
303,0,3,-3,3,0,-3,4
304,-1,-2,1,2,0,-3,3
305,1,-3,2,0,-1,-1,5
306,0,-1,-1,3,0,-2,1
307,0,-1,-1,2,-1,0,1
308,-3,2,-1,0,1,-2,0
309,-3,3,0,-3,3,0,0
310,1,0,-1,2,1,-3,3
311,0,-1,4,-1,1,-2,2
312,0,0,0,0,0,0,3
313,-1,3,-3,3,-2,-1,4
314,0,0,1,-1,1,-1,3
315,-3,2,-2,3,-2,2,4
316,1,-3,0,3,0,-3,1
317,0,-3,2,1,0,-3,3
318,0,-3,0,3,-1,-2,1
319,-1,0,1,-1,1,-2,3
320,2,-1,1,0,-2,1,5
321,-1,-1,1,2,-2,0,1
322,-3,3,-2,1,-1,0,4
323,-2,0,3,-2,2,-3,2
324,-3,2,1,-3,3,-3,0
325,-2,1,0,2,-3,3,4
326,-3,3,-1,0,0,0,0
327,2,-2,3,-2,1,-2,5
328,3,-3,3,-3,2,0,5
329,-3,3,-2,2,-3,3,4
330,4,-3,-1,0,0,0,5
331,-1,-2,3,-3,3,-2,2
332,2,-3,3,-2,1,-2,5
333,-1,-2,3,-3,2,0,2
334,-3,0,2,1,-1,0,3
335,-1,-2,2,-1,0,2,2
336,0,1,1,1,-3,3,1
337,0,-1,-2,3,-3,3,1
338,-1,-2,3,-1,-2,-1,2
339,0,-3,3,-2,-1,2,2
340,-3,3,-1,-2,1,1,0
341,3,-1,-2,3,-1,0,1
342,-3,-1,0,0,4,-3,3
343,2,-2,3,0,-3,2,5
344,-3,2,-1,1,-1,1,4
345,-2,3,-3,2,-1,0,4
346,3,-2,-1,-1,4,-3,5
347,1,-3,3,-3,2,-1,2
348,0,0,0,0,0,0,3
349,-1,2,1,-1,-1,-1,3
350,-2,0,-1,-1,4,-2,3
351,-1,1,1,-3,0,0,2
352,-2,0,0,2,-2,1,4
353,2,-2,-1,0,4,-3,5
354,-3,-1,0,0,0,0,3
355,-3,3,-1,-2,3,0,0
356,1,-1,1,0,-1,0,3
357,3,-3,2,-1,-1,3,5
358,1,-1,-2,3,0,-2,1
359,0,3,0,-2,-1,2,0
360,4,-3,0,3,-1,-2,1
361,2,0,-2,2,-1,-1,1
362,-3,3,-3,3,-3,-1,4
363,-2,1,2,-2,0,-1,2
364,0,-3,3,-1,0,-2,2
365,2,-3,2,1,-3,3,1
366,-3,-1,0,0,0,0,3
367,-3,3,-3,3,0,-3,4
368,-3,2,0,-1,0,2,0
369,-2,1,-1,1,-2,2,4
370,-1,0,0,0,0,0,3
371,0,4,-3,-1,0,0,0
372,-3,-1,0,0,0,0,3
373,0,-3,0,3,-3,3,1
374,0,1,0,-1,1,-2,3
375,-1,2,1,-2,0,1,0
376,0,0,0,0,0,4,3
377,-3,2,0,-1,1,-2,0
378,1,0,-2,3,-1,-1,1
379,1,-2,-1,3,-2,2,1
380,-3,0,-1,0,0,4,3
381,-3,3,-2,2,-3,0,4
382,-3,0,3,-1,-2,0,2
383,1,-1,-1,3,-3,3,1
384,0,-1,0,0,0,0,3
385,0,-3,0,3,0,-3,1
386,2,-3,0,3,0,-3,1
387,3,-3,3,-2,2,-1,5
388,-2,3,0,-3,1,2,0
389,-3,-1,4,-1,-2,3,2
390,-3,-1,0,0,0,0,3
391,-2,0,0,-1,0,4,3
392,0,0,0,0,4,-2,3
393,-1,2,-3,1,1,1,0
394,-2,3,-3,3,-3,3,4
395,0,4,0,-3,3,-3,0
396,-3,3,-1,1,-3,3,4
397,3,-3,3,0,-3,3,5
398,0,3,0,-1,1,-3,0
399,-2,2,-2,2,-3,1,4
400,-2,3,-3,2,0,0,4
401,3,0,-1,-2,1,1,5
402,1,0,2,-3,0,3,2
403,-1,-1,3,-3,3,-3,2
404,-1,1,-1,1,-2,3,4
405,-2,1,1,-1,-1,3,3
406,-3,-1,0,0,0,0,3
407,-3,2,-2,3,-3,3,4
408,2,-2,2,1,-3,0,1
409,0,0,-1,0,-1,3,3
410,0,4,-3,-1,0,0,0
411,0,0,0,0,2,-2,3
412,0,2,-3,0,3,0,0
413,1,-3,0,3,0,-3,1
414,-2,2,-2,-1,0,3,0
415,-2,-1,3,-2,1,-2,2
416,-1,0,1,-1,1,-2,3
417,-3,3,-2,0,-1,3,0
418,-3,-1,4,-3,-1,0,2
419,-1,-1,0,0,0,2,3
420,-2,0,1,0,-2,3,3
421,-1,-1,2,-1,1,-2,2
422,-3,2,-2,3,-3,0,4
423,1,-2,0,3,0,-3,1
424,0,0,0,0,0,0,3
425,-1,-1,0,-1,4,-3,3
426,-2,-1,3,-2,0,0,2
427,3,-3,3,-2,2,-2,5
428,1,1,-1,2,-1,-2,1
429,-1,1,2,-3,0,-1,2
430,-1,1,-2,2,1,-1,3
431,3,-3,3,-3,3,-3,5
432,-2,0,-1,-1,4,0,3
433,0,-1,0,2,1,-3,3
434,2,1,-3,3,-3,3,1
435,1,-1,3,0,-3,2,2
436,-1,2,-3,1,1,0,0
437,0,0,0,4,-3,-1,1
438,-3,3,-3,0,2,0,0
439,0,0,0,0,0,0,3
440,3,-2,0,-1,3,-1,5
441,-1,-1,-1,3,0,-3,1
442,0,0,0,0,0,0,3
443,0,-2,1,-1,0,0,3
444,-3,3,-2,2,-1,-1,4
445,-3,0,-1,4,-3,3,4
446,0,3,-3,3,0,-3,4
447,3,-3,2,-1,2,-3,5
448,-3,2,-1,-1,3,-2,0
449,-2,3,-3,3,-3,3,4
450,-3,1,1,0,-2,3,3
451,3,-3,0,3,-2,-1,1
452,4,-3,-1,0,0,0,5
453,0,-1,-2,2,-2,3,1
454,1,-2,3,0,-1,-2,2
455,4,-3,3,-3,-1,0,5
456,-2,0,-1,0,-1,4,3
457,-2,0,3,-2,1,-2,2
458,-1,4,-3,-1,4,-3,0
459,-1,-2,0,3,-1,-2,1
461,4,-1,-2,3,-1,1,1
462,0,-2,0,3,-3,2,1
463,1,-1,-2,2,1,-1,3
464,1,-2,1,2,-2,1,1
465,-1,3,-3,3,0,-2,4
466,-1,-1,0,3,-1,0,1
467,2,-1,0,1,0,-1,5
468,-1,-1,3,-2,0,-1,2
469,-2,2,-3,3,-3,0,4
470,0,-3,3,-3,-1,0,2
471,0,-3,3,-3,0,3,2
472,0,-1,4,-3,-1,0,2
473,0,4,0,-3,-1,4,0
474,0,2,-3,3,-2,0,4
475,3,-3,3,0,-3,3,5
476,0,0,0,0,0,0,3
477,-3,2,-2,3,-3,2,4
478,-1,1,0,-1,-1,2,3
479,-3,0,3,-3,2,-2,2
480,0,1,-2,2,1,-2,3
481,-3,2,1,-2,-1,2,0
482,0,-1,-2,-1,4,0,3
483,-2,2,1,-3,2,1,0
484,1,-2,2,1,-3,2,1
485,-2,1,0,-1,1,-2,3
486,-1,-1,1,0,-2,3,3
487,0,0,0,4,-3,-1,1
488,0,4,-3,3,-3,3,4
489,2,0,-2,0,3,-2,3
490,-2,0,-1,3,-2,0,4
491,-2,1,-2,3,-1,-2,4
492,-2,-1,0,2,1,-1,3
493,3,0,-2,-1,3,-2,5
494,-3,3,-3,3,-3,3,4
495,3,-1,0,-1,-1,3,5
496,3,-3,3,-1,0,-2,5
497,-2,-1,0,0,4,-3,3
498,3,-3,0,3,-3,0,1
499,-1,0,0,0,0,0,3
500,-1,-2,3,-3,0,0,2
501,-2,2,-3,0,3,-2,0
502,2,-1,0,2,-3,0,1
503,0,0,1,1,-3,3,1
504,0,-2,2,0,0,0,2
505,-2,2,-2,2,-2,-1,4
506,-2,1,2,-2,1,-2,2
507,-2,2,0,0,1,-3,0
508,-1,-2,3,-3,3,-2,2
509,-1,-1,1,0,-1,1,3
510,-3,1,0,0,2,-2,3
511,-3,-1,0,0,0,4,3
512,-2,0,-1,0,0,0,3
513,1,1,-3,2,1,-1,3
514,4,-3,-1,4,-3,-1,1
515,-1,4,-1,-2,3,-2,0
516,4,-3,3,-3,2,-1,5
517,4,0,-3,1,2,-3,5
518,1,-2,2,-2,3,-2,5
519,0,1,-1,-2,1,2,3
520,-1,-1,0,1,0,0,3
521,-3,3,-3,-1,4,-1,0
522,3,-2,0,2,-3,0,1
523,0,0,0,0,0,0,3
524,-3,3,-3,3,-3,0,4
525,-2,2,-3,0,3,0,0
526,0,-1,0,3,-2,-1,1
527,-3,-1,0,0,0,0,3
528,0,0,0,0,0,0,3
529,0,-1,3,-2,0,-1,2
530,-2,0,1,2,-3,3,1
531,-1,0,-2,3,-3,3,4
532,0,-2,1,2,-2,2,1
533,0,-2,-1,0,0,0,3
534,-1,0,-2,2,0,0,3
535,3,-3,2,0,0,-2,5
536,0,0,0,4,-3,-1,1
537,0,0,0,0,4,-3,3
538,-1,0,2,-2,1,0,2
539,-1,0,1,-2,3,-2,3
540,-3,1,-1,3,0,-3,4
541,0,-3,3,-3,3,-3,2
542,0,-2,-1,2,-1,2,1
543,0,0,-1,0,4,-2,3
544,0,3,-1,-1,1,-1,0
545,2,-2,-1,3,-1,0,1
546,0,-1,2,-3,1,-1,2
547,3,-3,3,-3,3,-3,5
548,2,-1,0,2,-2,0,1
549,0,3,-1,-2,2,1,0
550,3,-1,-2,3,0,-2,1
551,-3,-1,4,-3,3,-2,2
552,-3,3,-3,3,-1,0,4
553,-1,0,-1,-1,0,0,3
554,-2,0,0,1,-2,3,3
555,-2,0,1,-1,1,0,3
556,1,-2,-1,4,-3,0,1
557,-1,2,-1,2,-3,3,4
558,-3,3,-1,-1,0,1,0
559,-1,2,0,0,-2,3,4
560,-1,0,1,0,-1,0,3
561,2,-3,2,1,-1,-2,5
562,1,-1,0,0,1,-2,3
563,0,-3,3,0,-3,3,2
564,0,2,-2,0,-1,0,0
565,-3,1,1,0,-1,1,3
566,0,1,2,-1,-2,1,2
567,-2,0,1,-1,3,-2,3
568,3,-3,-1,0,0,4,5
569,-2,-1,0,1,2,-2,3
570,0,0,0,0,4,-3,3
571,-2,3,-3,3,-3,3,4
572,2,1,-2,0,1,-2,3
573,3,-3,3,-3,3,-3,5
574,-2,3,-1,-2,3,-3,0
575,-1,0,1,-2,-1,2,2
576,-1,-2,3,-1,-1,1,2
577,0,0,-2,2,1,-3,3
578,-1,-1,2,-2,3,-3,2
579,0,0,0,0,0,0,3
580,-2,0,3,-3,0,-1,2
581,0,0,4,-3,-1,0,2
582,-3,0,3,-3,3,-1,2
583,0,0,0,4,-3,-1,1
584,1,-1,-1,3,-2,-1,1
585,0,-3,1,-1,3,-3,5
586,-2,2,1,-3,2,-1,0
587,0,-3,2,1,0,0,3
588,-3,3,0,-3,1,-1,0
589,0,0,2,-3,3,0,2
590,4,-1,1,-3,3,-2,5
591,-3,-1,0,0,4,-3,3
592,-1,-2,3,-3,0,-1,2
593,-3,0,0,3,-1,1,4
594,-2,2,-2,-1,3,-3,0
595,-2,0,3,-1,-2,3,2
596,-2,2,0,-1,1,-1,0
597,-1,0,0,0,2,-2,3
598,-3,0,2,1,-1,0,3
599,3,-1,-1,1,-2,3,1
600,3,0,-2,0,-1,0,5
601,-2,2,0,0,0,-2,0
602,0,-3,3,-1,0,-1,2
603,-1,-1,0,0,2,1,3
604,-1,1,-2,2,-2,3,4
605,0,0,0,0,0,0,3
606,-3,3,-3,0,2,1,0
607,4,-3,0,3,0,-1,1
608,-2,-1,0,1,2,-3,3
609,-1,3,-3,-1,0,0,0
610,-1,-2,-1,4,-1,1,1
611,1,-3,1,2,-3,2,1
612,-1,-1,1,-2,0,-1,2
613,2,-1,1,1,-3,0,1
614,-2,1,2,0,-3,1,2
615,-1,0,2,-3,0,2,2
616,0,0,4,-3,-1,0,2
617,3,-2,1,-2,3,-2,5
618,-2,2,-3,0,3,-2,0
619,0,0,0,4,-3,0,1
620,-3,2,0,-2,0,1,0
621,0,0,0,0,0,0,3
622,-3,0,3,-1,0,-2,2
623,1,2,-1,-1,-1,-1,0
624,0,0,-1,0,0,0,3
625,3,-3,1,0,1,-1,5
626,-1,-2,-1,0,0,0,3
627,3,-2,0,2,-3,0,1
628,3,-1,1,-2,-1,3,5
629,-3,-1,4,-3,3,-3,2
630,2,-1,1,-1,1,-2,5
631,0,-1,0,-2,2,-2,3
632,3,-1,-2,3,-1,1,1
633,-1,0,0,2,-1,-1,3
634,3,-3,0,3,-3,3,1
635,-2,0,-1,4,0,-3,4
636,0,-1,-2,3,-1,-2,1
637,1,-2,2,-1,-1,-1,5
638,-1,0,-1,0,-1,3,3
639,3,-3,1,2,-3,3,1
640,-1,-1,2,-3,2,-1,2
641,-1,0,3,0,-1,-1,2
642,0,-2,3,-3,2,1,2
643,-3,1,0,1,1,-3,3
644,0,-2,0,0,-1,3,3
645,0,1,-2,2,-2,3,4
646,-1,4,-3,3,-3,3,4
647,-1,0,4,-3,3,-3,2
648,2,-3,3,-1,-1,1,5
649,0,3,-1,1,-1,-2,4
650,-1,0,4,-3,3,-3,2
651,-1,2,-3,2,-1,0,4
652,2,-2,3,-2,0,2,5
653,0,-3,-1,0,4,-3,3
654,0,-2,1,0,-2,3,3
655,0,0,0,0,0,4,3
656,-1,3,-2,0,-1,3,0
657,-3,0,3,-3,2,-2,2
658,-2,2,-1,1,-1,-1,4
659,0,0,0,0,0,0,3
660,0,0,0,0,0,4,3
661,0,1,1,-2,0,0,3
662,0,0,0,0,0,4,3
663,0,0,0,0,0,0,3
664,-1,1,0,-2,3,-2,0
665,-2,-1,3,0,0,-2,2
666,0,0,0,0,0,0,3
667,3,-1,-2,2,-1,-1,1
668,0,0,0,0,0,0,3
669,-3,0,0,2,-1,2,4
670,-1,0,1,-1,0,2,3
671,-1,2,0,1,-3,3,4
672,0,-3,3,-3,3,-1,2
673,-2,0,0,2,-3,1,4
674,-1,-1,2,0,-2,3,2
675,-3,3,-3,2,1,-3,4
676,3,-3,1,0,2,-3,5
677,-2,-1,3,-3,3,-3,2
678,0,0,0,0,0,0,3
679,0,4,-3,3,-3,3,4
680,0,-1,-1,3,-3,1,1
681,1,-1,2,-3,2,-2,2
682,0,0,0,0,0,0,3
683,0,0,3,-3,-1,4,2
684,-3,3,-3,3,-3,3,4
685,0,0,0,0,0,0,3
686,-1,0,-1,3,-2,0,1
687,-3,0,0,3,-3,3,4
688,3,-3,3,-3,-1,0,5
689,-1,3,-2,2,-3,3,4
690,-1,2,-1,2,-1,-2,4
691,3,-3,2,0,-1,0,5
692,0,-1,-1,-1,3,-3,3
693,2,-2,3,-1,0,-1,5
694,0,1,1,1,-1,-2,3
695,-1,-1,0,1,0,-2,3
696,-1,1,-2,3,0,-3,4
697,-1,0,3,-2,1,-1,2
698,3,-2,-1,3,-3,3,1
699,0,-1,0,0,0,0,3
700,-1,0,4,-3,-1,4,2
701,-2,1,-2,3,-3,3,4
702,-3,0,3,-1,-1,-1,2
703,-2,0,1,-1,0,0,3
704,-1,1,2,-3,1,1,2
705,3,-3,-1,4,-3,3,1
706,-2,-1,3,0,-1,-2,2
707,-2,3,0,-3,0,3,0
708,3,-3,2,-1,2,-2,5
709,0,3,-3,3,-3,1,4
710,-3,3,-3,3,-3,0,4
711,1,-2,2,0,-1,-1,5
712,-2,1,2,-2,2,-3,2
713,0,3,-1,-2,3,-2,0
714,3,-1,0,-2,1,1,5
715,-3,2,0,-1,1,-1,0
716,1,0,1,-2,3,-2,3
717,0,3,-3,3,-1,-2,4
718,0,0,-1,1,-2,3,1
719,-1,3,0,-3,-1,4,0
720,-1,-1,3,-1,-2,3,2
721,-2,0,-1,0,0,0,3
722,3,-3,-1,0,4,-3,5
723,0,-1,3,-1,1,-1,2
724,0,0,4,-3,-1,4,2
725,4,0,-3,3,-3,3,1
726,-3,3,0,-3,3,-3,0
727,0,2,-3,3,-2,0,4
728,2,0,1,-3,1,1,5
729,-2,2,-1,0,1,-1,0
730,-1,1,-2,3,-3,3,4
731,3,0,-3,0,3,-3,3
732,1,-1,2,-3,2,0,2
733,-2,0,0,1,-2,0,3
734,3,-3,-1,4,-1,-2,1
735,-1,-2,3,-2,1,1,2
736,-2,-1,3,-3,3,-3,2
737,-3,2,1,-3,3,-3,0
738,-1,-2,3,-3,3,-3,2
739,-3,3,-2,-1,-1,4,0
740,3,-3,-1,0,0,0,5
741,-3,3,-3,3,-3,0,4
742,-2,0,3,0,-3,0,2
743,-3,0,3,0,-3,3,2
744,-3,-1,0,4,-3,3,1
745,4,-3,-1,0,4,-3,5
