CUSTNO,사치품_구매횟수 등급,일용품_구매횟수 등급,선매품_구매횟수 등급,사치품_구매액 등급,일용품_구매액 등급,선매품_구매액 등급,전체_구매횟수 등급,전체_구매액 등급
171,5,8,4,5,4,3,4,9
172,4,5,5,4,2,6,4,5
173,4,3,7,5,6,7,8,3
175,3,1,7,2,1,8,3,1
176,5,5,8,5,9,8,9,6
177,1,10,1,1,8,2,1,9
178,11,3,5,11,4,5,5,3
179,1,6,2,2,3,3,3,5
180,2,9,3,2,3,3,2,9
181,1,8,2,1,4,2,2,8
182,1,5,4,1,2,2,1,5
183,11,2,9,11,4,9,7,2
184,2,9,4,2,6,3,3,10
185,11,5,10,11,6,9,8,5
186,3,5,3,2,1,1,2,5
187,4,9,4,3,7,4,5,10
188,11,1,7,11,3,8,6,1
189,1,6,3,2,1,1,1,5
190,3,6,3,2,2,3,3,6
191,1,10,2,1,6,2,1,10
192,2,6,4,1,5,4,3,6
193,11,5,8,11,6,9,8,5
194,10,3,5,5,5,6,6,3
195,11,8,9,11,9,9,10,8
196,3,5,3,4,3,4,4,5
197,1,6,2,1,3,2,1,6
198,1,6,4,3,9,5,7,5
199,4,7,5,4,4,5,5,7
200,11,6,6,11,9,5,7,7
201,2,8,1,1,1,1,1,8
202,1,5,1,1,2,1,1,3
203,11,6,11,11,9,11,10,7
204,10,4,1,5,6,4,4,4
205,10,4,5,5,5,4,4,4
206,4,3,5,5,5,5,6,3
207,11,6,10,11,8,10,9,6
208,1,10,1,1,10,2,2,10
209,2,9,4,2,10,5,5,9
210,11,6,6,11,10,8,10,7
211,2,9,6,2,8,5,5,9
212,4,3,7,3,3,6,5,3
213,2,1,5,2,1,4,3,1
214,2,6,5,2,6,5,5,6
215,2,3,5,5,6,6,7,3
216,10,5,7,5,7,7,8,5
217,5,9,5,10,5,6,7,10
218,1,9,1,1,1,1,1,8
219,4,6,3,4,4,2,3,6
220,11,2,8,11,2,7,5,2
221,11,5,7,11,7,7,8,6
222,1,7,2,1,2,2,2,6
223,2,9,3,2,1,1,1,9
224,1,10,2,1,2,1,1,10
225,1,10,1,1,1,1,1,8
226,11,7,7,11,7,6,8,8
227,11,4,11,11,10,11,10,4
228,11,4,8,11,5,9,7,4
229,1,7,5,1,3,4,2,7
230,4,8,5,5,7,5,7,8
231,11,4,8,11,8,6,8,4
232,11,2,6,11,7,8,9,2
233,4,5,6,3,6,5,5,5
234,11,7,5,11,5,3,3,7
235,2,6,4,3,1,4,3,6
236,11,4,9,11,8,8,9,4
237,1,6,3,1,1,3,2,5
238,4,8,6,3,7,5,6,8
239,1,9,3,1,1,1,1,8
240,3,9,3,3,10,4,5,9
241,3,9,1,3,7,1,2,8
242,11,6,7,11,7,8,9,6
243,11,7,6,11,9,7,10,7
245,3,1,5,3,2,5,4,1
246,1,9,4,1,3,3,2,9
247,5,2,5,4,2,5,4,2
248,5,4,4,4,3,3,3,4
249,1,9,4,1,4,2,1,9
250,1,8,2,1,1,2,1,7
251,1,9,2,2,5,2,2,8
252,3,9,5,4,10,5,8,9
253,1,10,3,2,2,1,2,10
254,1,8,3,1,4,2,1,8
255,1,8,2,1,3,1,1,7
256,1,6,2,1,1,1,1,6
257,10,1,7,10,3,7,6,1
258,1,9,3,1,1,1,1,8
259,5,1,5,3,2,3,3,1
260,11,5,7,11,5,7,7,5
261,3,9,3,2,7,4,4,9
262,3,4,4,4,1,4,3,4
263,11,6,9,11,9,9,10,6
264,11,2,7,11,7,6,8,2
265,1,10,1,1,1,1,1,9
266,1,9,4,2,4,3,3,9
267,3,10,2,3,8,2,3,10
268,2,4,3,1,2,4,2,4
269,2,1,5,2,1,4,2,1
270,11,5,8,11,8,8,9,5
271,2,9,3,1,4,2,1,9
272,2,4,5,2,2,5,4,4
273,1,7,2,2,1,2,2,7
274,11,5,11,11,10,11,10,6
275,3,1,4,2,1,4,2,1
276,11,1,7,11,7,6,8,1
277,3,6,3,3,8,4,5,5
278,11,3,9,11,10,9,10,3
279,2,8,4,1,2,4,2,9
280,2,8,3,2,2,1,2,8
281,1,5,4,1,1,3,1,5
282,1,9,1,2,6,3,2,8
283,1,9,4,1,6,2,1,9
284,11,9,10,11,10,10,10,10
285,5,8,6,10,10,8,10,8
286,3,7,6,2,2,5,4,7
287,11,7,7,11,8,8,9,8
288,4,2,5,4,1,5,3,2
289,11,7,5,11,5,5,5,8
290,11,4,9,11,5,9,7,4
291,11,3,9,11,5,9,7,3
292,1,6,1,1,1,1,1,5
293,3,6,4,3,6,4,4,6
294,2,10,3,2,2,2,2,10
295,1,10,4,2,5,4,3,10
296,2,4,1,2,1,1,2,3
297,1,8,3,2,3,2,2,7
298,1,6,2,1,2,1,1,6
299,5,8,5,4,5,4,5,9
300,5,3,8,4,1,7,4,3
301,2,9,4,2,8,3,3,9
302,1,7,4,2,2,4,3,6
303,3,2,6,4,4,3,4,2
304,3,10,4,2,1,1,1,10
305,1,6,1,1,1,1,1,4
306,2,8,2,3,1,2,2,8
307,3,8,2,2,2,2,2,8
308,2,7,5,2,3,6,4,8
309,3,9,4,4,1,1,1,9
310,3,5,5,3,6,4,5,5
311,1,8,2,2,6,3,3,7
312,11,5,8,11,4,7,6,5
313,2,4,3,2,1,2,2,4
314,1,7,2,1,1,2,1,7
315,1,5,2,1,1,1,1,4
316,1,6,4,2,1,1,1,5
317,2,5,4,2,5,4,3,5
318,5,8,4,4,4,4,4,9
319,2,10,2,2,4,2,2,10
320,2,7,2,4,6,4,5,7
321,2,5,2,1,1,2,2,4
322,10,3,5,5,3,4,4,3
323,1,6,2,1,2,2,2,6
324,1,5,2,2,1,1,1,5
325,1,8,5,1,6,4,3,9
326,2,6,3,3,1,3,3,6
327,1,10,2,1,3,2,2,10
328,2,10,1,2,9,2,2,10
329,1,5,4,1,2,2,2,5
330,11,4,10,11,8,10,9,5
331,3,5,6,4,8,7,8,6
332,1,4,3,2,1,4,3,4
333,4,1,4,5,1,4,3,1
334,1,10,2,2,10,3,3,10
335,1,9,1,1,7,1,1,7
336,11,7,5,11,7,5,7,7
337,1,8,2,1,2,1,1,6
338,11,5,6,11,4,6,6,5
339,11,1,6,11,1,6,4,1
340,4,10,3,3,10,2,3,10
341,2,9,3,2,1,1,1,9
342,11,4,11,11,6,11,8,4
343,1,8,4,1,5,3,3,8
344,5,7,4,3,5,3,4,7
345,1,10,3,1,9,2,2,10
346,3,8,6,5,8,6,8,9
347,2,5,3,3,7,5,5,5
348,11,2,10,11,5,9,7,2
349,1,5,4,2,1,4,2,4
350,3,5,6,4,6,6,6,5
351,4,7,2,3,2,3,3,7
352,1,10,1,1,7,1,1,9
353,11,6,10,11,5,9,8,6
354,11,6,10,11,6,7,8,6
355,1,8,3,1,7,1,2,7
356,3,10,1,2,3,2,2,9
357,10,5,6,10,8,6,8,5
358,1,10,2,1,5,2,2,10
359,4,4,4,4,3,3,3,4
360,4,1,6,4,1,5,4,1
361,1,7,3,1,5,3,1,6
362,4,4,7,3,3,8,6,4
363,1,9,2,1,3,2,1,8
364,2,5,5,3,5,5,5,5
365,3,4,3,3,1,1,1,4
366,11,8,10,11,8,8,9,9
367,1,3,3,1,1,1,1,2
368,3,4,2,1,3,2,2,4
369,1,10,1,2,3,2,2,10
370,11,4,10,11,6,7,8,4
371,11,4,9,11,3,9,6,5
372,10,4,9,10,6,9,8,4
373,1,7,4,1,2,3,1,7
374,1,9,2,2,7,2,2,9
375,4,9,1,4,6,1,1,9
376,11,5,10,11,10,10,10,5
377,1,8,2,1,2,2,1,7
378,2,8,3,2,2,2,2,7
379,2,10,3,3,9,4,4,10
380,5,5,7,10,10,7,10,5
381,2,9,4,3,10,3,4,10
382,2,8,5,1,2,2,2,9
383,1,10,4,1,3,3,2,10
384,11,4,10,11,8,9,9,4
385,5,5,6,5,9,6,8,5
386,1,7,4,2,4,3,3,7
387,1,4,4,1,1,2,1,3
388,1,9,2,1,6,1,1,8
389,4,1,5,4,5,5,5,1
390,5,5,10,5,5,9,8,5
391,1,6,3,1,2,2,1,5
392,10,8,5,10,10,5,8,8
393,1,10,3,1,7,3,1,10
394,10,4,5,10,6,5,6,4
395,5,3,6,4,5,6,6,3
396,5,5,5,5,6,5,6,5
397,4,4,6,3,3,6,5,4
398,1,7,3,1,4,2,1,7
399,1,10,4,1,6,2,1,10
400,1,7,1,1,2,1,1,5
401,1,10,1,2,4,1,1,10
402,3,9,3,3,9,3,3,9
403,11,6,6,11,9,7,9,6
404,3,7,2,3,4,2,2,7
405,5,8,4,5,4,4,4,8
406,11,4,10,11,7,10,9,4
407,2,10,2,1,1,1,1,10
408,1,10,4,1,7,1,1,10
409,2,9,2,2,4,1,2,9
410,11,8,8,11,9,7,10,9
411,2,7,2,2,5,2,2,6
412,1,5,3,2,3,3,3,4
413,1,6,5,1,2,3,1,6
414,1,9,4,1,4,4,2,8
415,11,2,5,11,8,7,9,2
416,1,10,1,1,2,1,1,9
417,3,10,2,3,5,2,3,10
418,11,4,8,11,2,9,5,4
419,2,9,3,2,5,3,2,9
420,4,7,4,4,4,4,4,7
421,1,1,1,3,1,2,1,1
422,5,9,5,5,8,5,6,10
423,5,8,3,3,7,2,3,8
424,11,4,11,11,10,11,10,5
425,5,6,5,5,5,5,6,6
426,1,8,2,2,3,3,2,8
427,3,9,5,3,7,4,4,9
428,2,5,1,1,1,1,1,4
429,1,7,5,1,6,5,3,6
430,1,9,2,1,5,1,1,8
431,4,9,4,4,5,5,5,9
432,4,7,4,3,1,3,3,8
433,1,9,1,1,2,2,1,8
434,2,2,4,2,1,4,2,2
435,2,9,3,4,10,3,4,9
436,1,8,3,1,2,2,2,8
437,5,4,10,4,10,10,10,5
438,2,9,3,1,7,1,2,9
439,11,3,11,11,7,11,9,3
440,2,9,2,1,9,1,2,9
441,3,9,2,1,8,3,3,8
442,11,1,9,11,1,9,3,1
443,1,10,4,1,5,3,1,10
444,2,6,3,1,1,1,1,6
445,11,8,8,11,9,8,9,9
446,10,2,6,4,4,5,5,2
447,10,8,5,5,1,4,4,8
448,1,10,2,1,5,1,2,9
449,2,4,4,1,2,4,2,4
450,1,7,4,1,3,3,1,6
451,4,4,5,5,2,5,4,4
452,10,1,8,10,3,7,6,1
453,2,7,2,1,3,3,2,7
454,4,6,6,5,5,6,6,6
455,1,7,5,1,4,4,1,7
456,2,1,6,1,1,4,2,1
457,1,1,1,2,1,1,1,1
458,11,4,8,11,5,9,8,5
459,2,4,4,3,2,4,4,4
461,10,8,6,5,9,6,9,8
462,1,8,2,1,6,3,2,7
463,1,9,1,2,3,2,2,8
464,3,3,4,3,6,5,5,3
465,5,3,6,5,2,5,5,3
466,1,8,2,1,1,2,1,7
467,2,5,4,3,5,5,5,4
468,1,5,3,2,1,3,2,4
469,2,8,5,2,3,5,4,8
470,11,4,8,11,8,9,9,4
471,1,9,3,1,1,1,1,9
472,11,5,7,11,8,8,9,5
473,11,5,6,11,5,7,7,5
474,1,2,1,1,1,1,1,2
475,3,6,6,2,4,5,4,6
476,11,1,10,11,4,8,7,1
477,1,9,2,1,1,1,1,9
478,1,8,1,1,1,1,1,7
479,10,5,6,10,8,6,9,5
480,1,8,1,2,6,1,1,7
481,2,8,2,2,2,2,2,7
482,11,6,6,11,8,6,8,6
483,10,9,5,10,10,5,9,10
484,1,9,3,2,3,3,3,9
485,1,9,2,1,6,1,1,9
486,1,8,1,1,3,1,1,7
487,11,3,10,11,5,10,8,3
488,11,1,9,11,5,10,7,1
489,2,6,3,2,1,2,2,5
490,4,7,4,4,3,4,4,7
491,5,4,5,4,7,5,6,4
492,1,9,1,1,2,2,2,8
493,10,2,6,5,5,6,7,3
494,5,7,3,3,4,2,2,7
495,10,6,6,5,10,6,10,6
496,4,5,4,4,6,4,5,5
497,11,2,8,11,5,9,7,2
498,3,6,5,4,9,5,8,6
499,11,7,11,11,9,11,10,8
500,3,3,5,4,4,5,5,3
501,2,10,1,1,2,1,1,10
502,1,3,4,2,1,3,2,2
503,1,1,3,1,1,2,1,1
504,1,9,2,1,1,1,1,8
505,1,4,4,1,1,2,1,3
506,2,7,3,3,9,3,4,7
507,11,7,4,11,1,4,3,7
508,1,8,2,1,1,1,1,7
509,3,8,3,3,2,3,3,8
510,1,7,2,1,2,2,2,7
511,11,5,8,11,8,9,9,5
512,11,5,10,11,8,10,9,5
513,3,10,2,2,3,1,1,10
514,4,5,6,4,7,5,6,5
515,2,8,4,2,2,2,2,8
516,11,2,7,11,7,8,8,2
517,1,7,5,1,5,3,2,8
518,1,7,1,1,1,1,1,5
519,1,8,3,1,8,4,3,8
520,1,9,2,2,2,2,2,9
521,1,3,2,1,1,1,1,2
522,10,6,4,3,2,5,4,5
523,11,1,10,11,2,9,6,1
524,4,2,5,5,4,6,6,2
525,4,6,4,2,2,3,3,6
526,1,4,3,2,2,3,2,3
527,11,4,7,11,10,5,9,4
528,11,9,11,11,10,11,10,10
529,1,6,1,2,6,1,1,4
530,11,8,4,11,6,4,5,9
531,3,8,4,3,2,4,3,9
532,1,10,3,1,2,2,1,10
533,11,4,11,11,6,11,8,5
534,11,9,4,11,8,4,5,9
535,1,10,1,1,8,1,1,9
536,10,8,8,10,10,9,10,8
537,11,4,11,11,8,11,9,4
538,2,8,2,1,3,3,2,8
539,2,7,3,2,5,3,3,7
540,4,6,4,5,7,5,7,6
541,11,2,7,11,3,7,6,2
542,1,8,4,3,10,5,6,8
543,4,7,4,5,5,4,4,7
544,1,8,1,1,4,3,1,7
545,2,10,2,3,6,2,2,10
546,1,10,4,1,3,1,1,10
547,2,5,4,2,1,3,1,4
548,2,7,2,2,4,3,3,6
549,4,8,4,3,2,3,3,8
550,3,7,3,2,5,3,3,7
551,5,3,7,4,5,6,6,3
552,2,8,5,3,6,5,5,8
553,3,7,3,4,6,2,2,7
554,2,10,1,2,10,1,1,9
555,2,6,5,2,6,5,5,6
556,11,3,7,11,4,7,6,4
557,10,3,7,10,5,6,7,3
558,5,8,4,3,9,5,7,9
559,2,6,2,1,1,1,1,6
560,2,10,1,2,1,1,1,10
561,1,5,2,2,4,1,2,5
562,2,10,1,4,9,1,1,9
563,5,2,5,4,4,5,5,2
564,1,6,3,1,2,2,1,6
565,1,9,2,2,2,1,1,9
566,1,9,3,1,2,2,2,9
567,2,6,4,1,3,3,2,6
568,11,7,9,11,10,9,10,8
569,2,7,3,3,4,3,4,6
570,11,6,11,11,9,11,10,7
571,3,8,4,3,1,2,2,8
572,2,9,2,2,2,1,2,8
573,1,3,5,2,2,4,3,3
574,2,4,3,2,2,3,3,4
575,5,7,3,5,5,3,4,7
576,1,7,3,2,1,2,2,7
577,2,7,4,1,4,3,3,7
578,1,3,2,1,2,2,1,2
579,11,9,9,11,10,8,10,10
580,5,7,5,10,6,5,6,7
581,10,6,8,10,8,10,9,6
582,5,9,4,10,10,5,7,9
583,10,6,10,10,10,10,10,6
584,4,8,3,3,6,3,4,8
585,1,8,3,1,4,1,1,7
586,1,9,4,1,7,3,2,9
587,3,8,3,3,3,1,1,8
588,1,1,2,1,1,1,1,1
589,2,8,2,3,8,3,4,8
590,5,6,5,4,10,5,9,6
591,10,4,9,10,10,9,10,4
592,2,7,4,3,7,5,6,7
593,1,10,4,1,4,3,3,10
594,1,10,3,1,4,1,1,10
595,5,10,4,4,10,3,4,10
596,2,6,3,2,1,3,2,5
597,2,8,1,2,5,2,3,7
598,5,6,5,10,9,5,9,7
599,2,7,2,2,3,2,3,6
600,3,2,5,4,1,4,4,2
601,5,10,1,5,10,3,4,9
602,1,10,3,1,7,2,2,10
603,2,8,2,1,7,3,2,8
604,2,8,3,3,9,3,4,8
605,11,6,11,11,10,11,10,7
606,1,9,4,1,1,2,1,9
607,3,6,5,3,5,5,5,6
608,1,4,3,1,1,1,1,3
609,11,7,8,11,9,9,10,8
610,1,8,6,1,3,5,1,9
611,4,9,1,4,4,1,2,8
612,5,8,4,5,1,3,3,9
613,1,5,1,1,3,2,2,4
614,2,9,1,2,3,2,2,9
615,1,9,4,2,9,4,4,9
616,11,5,7,11,8,8,9,5
617,1,7,3,1,2,1,1,6
618,2,6,4,3,1,2,2,6
619,10,2,9,4,4,7,6,2
620,1,10,2,1,6,1,1,10
621,11,7,9,11,9,10,10,7
622,1,9,2,2,3,2,3,8
623,10,4,6,10,7,6,8,4
624,11,4,10,11,6,9,8,4
625,10,7,6,10,8,7,9,7
626,11,5,10,11,8,10,9,5
627,4,9,3,4,7,3,4,9
628,10,1,5,4,2,4,4,1
629,10,3,6,5,3,5,5,3
630,3,7,4,3,3,3,3,8
631,1,10,1,2,4,1,2,9
632,5,7,5,5,5,4,4,8
633,2,5,1,2,1,1,1,3
634,2,9,5,2,5,3,3,9
635,1,8,4,1,7,4,1,8
636,3,8,5,3,9,4,4,9
637,3,6,1,3,3,2,2,5
638,2,8,3,2,3,1,2,8
639,2,1,4,2,1,4,2,1
640,1,8,4,1,5,2,1,8
641,1,9,2,1,2,1,1,8
642,2,6,4,2,1,3,2,6
643,2,8,3,2,9,3,4,9
644,5,5,4,10,5,5,5,5
645,1,6,3,1,1,1,1,5
646,5,1,5,5,3,5,5,1
647,11,1,9,11,5,8,8,1
648,1,9,3,2,5,3,3,9
649,4,10,3,4,10,4,7,10
650,11,8,7,11,10,8,10,9
651,3,10,2,4,7,3,4,10
652,4,10,1,3,4,2,2,9
653,10,5,7,5,6,8,8,5
654,2,6,3,2,1,2,2,6
655,11,3,10,11,7,10,9,3
656,1,10,3,1,2,1,1,10
657,1,8,4,1,4,3,2,8
658,5,5,2,5,6,4,5,4
659,11,6,11,11,9,11,10,6
660,11,1,10,11,5,9,8,1
661,2,7,4,2,3,3,3,7
662,11,6,10,11,5,9,8,6
663,11,6,11,11,7,11,9,6
664,1,9,3,1,4,2,1,9
665,5,2,4,5,2,4,4,2
666,11,4,8,11,9,6,9,5
667,10,8,3,2,7,2,3,7
668,11,5,11,11,5,11,8,5
669,3,8,3,3,4,2,2,8
670,1,6,1,2,6,1,1,4
671,11,3,6,11,7,6,7,3
672,2,9,2,1,9,3,2,9
673,2,9,1,2,4,1,2,8
674,2,10,2,1,3,2,1,10
675,10,4,5,4,3,5,5,4
676,1,9,3,1,1,1,1,8
677,3,3,5,2,6,5,5,3
678,11,5,9,11,6,10,8,5
679,11,2,8,11,4,7,7,2
680,3,3,5,4,3,6,5,3
681,2,9,4,2,9,4,4,9
682,11,3,10,11,5,10,8,3
683,5,5,7,4,5,7,6,5
684,5,8,5,4,10,5,7,9
685,11,1,10,11,3,10,6,1
686,2,8,3,2,8,4,3,8
687,3,8,4,4,6,3,4,8
688,11,8,8,11,9,9,10,8
689,3,10,2,3,7,1,2,10
690,3,7,2,2,2,1,2,7
691,1,8,2,1,8,2,2,8
692,4,4,4,3,5,4,4,4
693,1,6,3,1,2,1,1,5
694,1,7,3,1,4,2,1,7
695,5,9,4,5,4,2,3,9
696,5,9,5,4,10,4,6,10
697,3,10,3,3,10,2,3,10
698,1,9,5,1,9,5,2,10
699,11,3,7,11,7,7,8,3
700,5,2,7,5,7,7,8,2
701,2,2,2,2,1,2,1,1
702,10,7,5,10,10,6,9,7
703,1,10,2,3,10,3,4,10
704,1,8,3,1,4,3,2,7
705,11,4,6,11,5,6,7,4
706,4,7,6,4,8,6,8,7
707,1,8,5,1,7,5,2,7
708,1,7,1,2,2,1,1,6
709,4,3,4,4,3,2,3,3
710,3,5,5,4,3,6,5,5
711,2,9,3,2,1,3,2,10
712,2,6,4,2,2,3,2,5
713,1,9,1,1,5,1,1,8
714,11,8,4,11,10,5,8,9
715,3,9,1,2,6,1,1,9
716,3,3,3,2,2,2,2,3
717,2,10,3,2,2,1,2,10
718,2,9,4,2,4,3,3,9
719,11,2,6,11,5,7,7,2
720,11,3,8,11,2,7,5,3
721,11,5,11,11,6,11,8,5
722,11,5,8,11,3,8,6,5
723,3,6,4,5,6,5,6,6
724,11,8,10,11,10,10,10,9
725,11,2,7,11,5,7,7,2
726,5,8,8,2,4,7,5,9
727,2,6,1,1,2,2,1,6
728,3,10,1,2,4,1,1,9
729,4,6,3,3,5,2,3,6
730,2,1,3,1,1,2,2,1
731,4,4,7,4,5,5,5,4
732,1,10,1,2,3,1,1,9
733,3,3,2,1,1,3,2,3
734,11,6,6,11,8,6,9,6
735,1,8,2,1,3,2,1,8
736,1,8,5,1,8,5,3,8
737,5,5,4,5,7,5,7,4
738,4,7,8,3,10,8,8,8
739,5,8,7,5,7,7,8,8
740,11,2,10,11,4,9,7,2
741,5,4,7,10,5,7,7,4
742,2,7,5,2,2,4,3,7
743,10,6,5,10,6,5,6,6
744,11,4,7,11,3,7,6,5
745,11,6,7,11,1,5,4,6
746,1,10,1,2,7,2,2,9
747,1,6,2,1,1,1,1,5
748,1,9,1,1,1,1,1,8
749,10,1,6,10,6,5,6,1
750,10,7,7,10,4,6,6,8
751,11,5,10,11,10,7,10,6
752,2,10,2,3,3,2,3,10
753,11,4,10,11,6,10,8,4
754,3,10,2,3,6,1,2,10
755,2,3,3,2,1,3,2,2
756,2,4,4,2,8,5,5,4
757,1,9,3,1,2,1,1,8
758,2,8,1,2,1,1,1,7
759,11,2,4,11,2,2,3,2
760,4,4,5,5,7,6,7,4
761,10,4,6,10,5,4,5,4
762,4,1,6,4,6,6,7,1
763,2,8,4,3,6,4,4,8
764,3,6,4,4,4,4,4,5
765,2,10,4,2,2,2,2,10
766,4,2,5,2,1,4,3,2
767,3,6,4,3,8,4,5,6
768,10,8,4,10,8,5,8,8
769,2,3,5,2,2,5,3,3
770,1,8,2,1,3,2,1,8
771,1,7,5,2,5,4,3,7
