CUSTNO,Monetary_침구/주방_고가_증감여부_q2_q1,Monetary_침구/주방_고가_증감여부_q3_q2,Monetary_침구/주방_고가_증감여부_q4_q3,Monetary_침구/주방_고가_증감여부_q5_q4,Monetary_침구/주방_고가_증감여부_q6_q5,Monetary_침구/주방_고가_증감여부_q7_q6,Monetary_침구/주방_고가_증감여부_q8_q7,Monetary_침구/주방_고가_q2_q1_로그변환,Monetary_침구/주방_고가_q3_q2_로그변환,Monetary_침구/주방_고가_q4_q3_로그변환,Monetary_침구/주방_고가_q5_q4_로그변환,Monetary_침구/주방_고가_q6_q5_로그변환,Monetary_침구/주방_고가_q7_q6_로그변환,Monetary_침구/주방_고가_q8_q7_로그변환
21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,4,2,1,4,1,0,0.0,11.46178817041572,-10.881183190843206,-10.641831600129473,10.779613464257565,-10.779613464257565,0.0
23,1,4,1,4,1,4,1,-11.43768405061702,11.956368031375424,-11.956368031375424,9.725042093033025,-9.725042093033025,13.066280303336505,-13.066280303336505
24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4,1,0,0,0,0,0,8.915551108578818,-8.915551108578818,0.0,0.0,0.0,0.0,0.0
26,4,3,4,1,2,1,3,11.411392155213566,12.435142518266147,15.012820938617129,-14.974732908136014,-11.34518087634603,-12.843584919539131,8.370820361034394
27,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.688013931330222,-11.688013931330222,0.0
28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,3,3,2,1,3,1,-14.505781139435017,8.49939826553638,11.989939989962052,-8.159480297930054,-13.098070364955344,10.610855805015579,-11.302447488472087
30,4,2,3,3,3,1,1,11.95741453914235,-11.6566791303013,-6.569417709318461,10.497481862427335,12.4175284821563,-12.528521102452297,-10.758240998737893
31,0,4,1,1,0,0,4,0.0,11.556678856047066,-11.373864213164092,-9.76743846538374,0.0,0.0,11.39565208784183
32,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,9.915850568828498
33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,4,1,4,1,0.0,0.0,0.0,11.556871356483205,-11.556871356483205,12.854955381048876,-12.76180412771291
35,0,4,1,4,1,4,1,0.0,11.660467335827567,-11.660467335827567,12.94876078221687,-12.94876078221687,12.033978154796754,-12.033978154796754
36,2,2,1,0,4,1,1,-14.040536204863942,-14.537869849528764,-13.109419809476234,0.0,15.199896661854874,-15.137871622189444,-12.223172999409462
37,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,12.00534241533492,-12.00534241533492,0.0
38,0,0,4,2,2,4,1,0.0,0.0,10.3825977831164,-9.208894389825737,-9.481568380796917,11.693797355428059,-11.675663761085003
39,1,0,4,1,0,0,0,-11.922213541949683,0.0,11.325537855902281,-11.325537855902281,0.0,0.0,0.0
40,4,1,4,3,3,1,2,10.908874866430928,-10.908874866430928,11.802094313560072,11.747268206004053,12.388947514999,-12.93023568677917,-10.80099456964069
41,0,0,4,1,0,0,0,0.0,0.0,11.631470189804144,-11.631470189804144,0.0,0.0,0.0
42,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0,4,1,4,1,0,0.0,0.0,14.322005760321076,-14.322005760321076,9.768048986297092,-9.768048986297092,0.0
45,1,4,1,0,0,0,0,-11.86896939062301,12.353327144542664,-12.353327144542664,0.0,0.0,0.0,0.0
46,1,0,4,3,2,1,4,-12.57781960958907,0.0,13.349859498766078,12.877388623040806,-13.593669288939772,-12.12054082642927,12.525295104357628
47,4,1,4,1,0,4,1,8.969611262227579,-8.969611262227579,10.593772273160607,-10.593772273160607,0.0,11.074572558959732,-11.074572558959732
48,2,4,1,3,2,3,3,-12.854708085145107,14.664049782824486,-14.680267247120543,12.036708417911745,-9.628158879310153,11.18635194429173,10.913161205765583
49,2,3,1,4,1,1,1,-10.053786956780483,11.436340495231542,-11.80554618646859,15.676759256373332,-15.493216058094747,-13.683448440690245,-12.217110076822152
50,2,2,3,1,0,4,2,-11.55676163093108,-10.818053362802845,12.106480489367618,-12.347602346584834,0.0,11.607683825602216,-11.335672914909535
51,0,0,4,4,2,1,4,0.0,0.0,10.83211166887088,12.474886045600853,-12.351938164933086,-11.30090192987361,12.593217808563093
52,2,3,2,3,1,4,1,-12.342345658419095,10.944004106957287,-12.154560023295433,11.432649942741921,-12.064158844274983,10.781230033566953,-10.781230033566953
53,0,0,4,4,1,0,0,0.0,0.0,9.074348570089626,11.338863183009087,-11.43768405061702,0.0,0.0
54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4,4,3,1,4,1,0,10.565998752675716,12.546568252206718,12.795860501384102,-13.430790434180537,13.598577562339027,-13.598577562339027,0.0
57,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,0,4,1,0,0,4,-9.360846204760211,0.0,12.222692274448498,-12.222692274448498,0.0,0.0,10.747231434609093
59,4,2,2,3,1,0,0,11.19301437616432,-10.444456946371586,-10.293549278197771,9.599320775242736,-10.064000276457984,0.0,0.0
60,4,2,1,4,1,4,1,11.473706705213802,-10.176856976252884,-11.154353287744438,11.63622165156528,-11.63622165156528,11.869165833324717,-11.869165833324717
61,1,1,0,4,1,4,3,-12.830030895388655,-11.438684041116515,0.0,9.707343583216701,-9.707343583216701,10.660604710648824,8.86874012100027
62,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,12.126863073778662,-12.126863073778662,0.0
63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1,4,1,1,4,1,4,-11.898943076158558,13.966153032227755,-13.836399056764911,-11.859869400498303,11.218015338368366,-11.218015338368366,11.607939903872998
66,4,2,3,1,0,0,0,10.378931895961001,-9.240596471662142,8.370107722295076,-10.172884477674026,0.0,0.0,0.0
67,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2,3,2,3,1,0,4,-7.234760938266105,11.123678785313913,-10.921911662000118,10.207473222001498,-11.282585361625312,0.0,10.544436181346486
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.548469271990768,-11.548469271990768,0.0
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,3,1,3,3,3,2,2,13.76521834238426,-14.439967450758989,9.923430060028348,12.695699347046173,9.258312482042436,-12.025345905412081,-12.41893936913323
74,2,3,1,4,2,3,1,-9.461625136586473,10.7175506095877,-12.200481726984775,10.928973058964734,-9.401360500203856,10.105434224215278,-11.129316690797133
75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4,2,2,1,4,1,3,10.758695981709147,-9.043665499159923,-9.728299711833667,-10.13898424296301,11.857586085068641,-11.657599069503233,11.137113247433545
77,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.468028803685995
78,1,4,2,3,2,2,2,-11.745724187377318,13.000291465646166,-11.514114554873709,11.965274208937078,-11.847399697751657,-11.345481736165862,-12.1360603918441
79,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.752551927853428,-11.752551927853428,0.0
80,4,1,0,4,1,0,0,10.487142292858781,-10.487142292858781,0.0,10.064000276457984,-10.064000276457984,0.0,0.0
81,2,2,1,4,3,1,0,-13.264343550849642,-12.378706651270946,-11.51925281555796,12.304671910016822,10.33470683428536,-12.435223915346683,0.0
82,0,4,1,1,4,2,2,0.0,13.553728243568239,-13.50015859821618,-10.600315208238676,9.71398494568523,-4.9895253771349966,-7.355512086042285
83,4,1,0,4,1,4,1,9.819339418083421,-9.819339418083421,0.0,15.040915839077048,-15.040915839077048,10.552393806099746,-10.552393806099746
84,1,2,2,2,3,3,2,-14.336109384305837,-10.076492761446692,-12.430490474233357,-8.300762698485716,11.878229680801015,9.356505713309057,-11.81463626293579
85,1,0,4,4,3,2,1,-9.370895680340631,0.0,9.575078724430533,11.956583333632151,11.456402582486058,-12.173934467769902,-11.171420954039208
86,0,0,0,0,4,2,4,0.0,0.0,0.0,0.0,11.758034512902437,-11.055123190050601,14.781389678530639
87,1,0,4,4,1,4,2,-14.386632895316735,0.0,10.683694824523164,13.243745254956819,-13.318202303198024,12.339358241465053,-11.4920534527735
88,4,3,1,4,2,3,2,11.567624406150129,12.353130834693074,-12.713886312213297,11.806296731872873,-11.442485827236045,11.865689868215792,-10.673738682694355
89,4,2,1,0,0,4,1,13.425667111453254,-12.735962416784623,-12.729068517059156,0.0,0.0,8.737646232187432,-8.737646232187432
90,1,3,4,2,1,2,1,-12.811013694643457,9.970610926599939,14.549895003893337,-14.055546447455006,-13.518404802810414,-11.774274127678453,-10.506799751849172
91,1,0,0,0,0,0,0,-10.757126164116576,0.0,0.0,0.0,0.0,0.0,0.0
92,3,3,1,4,3,3,3,9.530040193505869,12.206059922446665,-12.515961018383875,12.268052235968216,11.393311132396358,13.051403911939671,11.998149919575258
93,0,4,1,0,0,0,0,0.0,10.949434081090438,-10.949434081090438,0.0,0.0,0.0,0.0
94,0,0,4,1,0,0,4,0.0,0.0,9.064299391480406,-9.064299391480406,0.0,0.0,10.29804312744142
95,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,4,1,0,0,0,0,0,9.809289631618668,-9.809289631618668,0.0,0.0,0.0,0.0,0.0
97,3,3,2,2,3,2,2,15.581729689866089,17.366955574959672,-17.32958135878213,13.842315116304615,-13.419730683984733,-12.93995845118586,-16.76859958256294
98,1,0,4,4,1,0,0,-10.651768014359067,0.0,11.005772013593294,14.181456363523475,-14.222372579400188,0.0,0.0
99,4,3,1,4,1,3,2,12.972877707749133,12.03004210347646,-13.148590488173147,13.370931768919249,-13.36268685528182,12.744499159409223,-12.004385640593032
100,4,2,1,4,1,2,1,12.781743381854508,-12.66666635724912,-11.477996551458505,13.350493755586102,-13.126363621664884,-11.250518465097532,-10.803702427507405
101,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,3,4,1,4,1,2,-15.017136078986653,11.55893942444645,14.667365043676574,-14.710833388627469,14.750562937766194,-14.773374113967424,-9.693990649802991
103,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,4,1,1,4,1,0,0.0,13.227699692060042,-13.093391985588438,-11.153689860400606,8.838600810131728,-8.838600810131728,0.0
106,0,0,4,4,3,1,4,0.0,0.0,9.76743846538374,11.424083583925379,11.199015817063575,-12.111825278416479,12.272911790566015
107,1,4,1,3,4,2,4,-12.818622296578878,12.302917470768195,-12.349647721438426,9.134258470645449,12.4527462078773,-11.945129476932413,13.583763821325018
108,0,0,4,1,0,0,0,0.0,0.0,9.858187858542928,-9.858187858542928,0.0,0.0,0.0
109,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1,4,1,0,4,1,1,-12.134482002983306,13.053810925737064,-13.144206992308304,0.0,11.254382502894249,-11.101702149241696,-9.29969616260501
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4,1,1,0,0,4,1,14.789220224752524,-14.756480515635465,-11.353740165725512,0.0,0.0,15.782192184927728,-15.73058114042721
113,2,3,2,3,2,2,2,-8.38314378289638,12.533728701713079,-13.225801178847572,13.152090027854324,-13.149632096182893,-12.793354363945435,-11.397601886213284
114,0,0,0,4,1,0,0,0.0,0.0,0.0,10.801142132603971,-10.801142132603971,0.0,0.0
115,1,4,3,1,3,2,1,-10.629295696210846,13.628429535334975,-10.502216296561947,-13.536570844101046,11.684200387372636,-11.705058598138995,-10.431036320812858
116,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,4,2,1,3,3,3,0.0,15.67696086355972,-14.662577305372618,-15.203096010304971,7.758716722787408,9.393272011515569,12.056866653284885
118,2,4,1,4,3,1,3,-12.085689157564383,12.529974537357216,-12.727122365877133,13.253303467006242,12.152315953261148,-13.42451798861315,12.822653554752957
119,4,1,4,3,1,3,1,14.149696662917405,-14.149696662917405,12.845387081096591,11.941895982553973,-13.079094584480922,10.706126392306887,-11.49683944595803
120,1,4,3,2,1,4,1,-11.853221144836109,12.375076170520611,10.790685527370258,-12.259398246047596,-11.217702712437077,12.372302255367135,-12.271285999772763
121,0,0,4,1,0,0,4,0.0,0.0,12.988357086589108,-12.988357086589108,0.0,0.0,11.31548764187652
122,4,3,2,1,4,3,1,12.705623907896872,11.783275510820072,-12.353641564781054,-12.340760844563176,11.97916009151605,10.251097677859986,-12.142657219658606
123,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1,0,4,1,4,1,4,-14.192269488068936,0.0,13.96893540333926,-13.96893540333926,9.53167547530098,-9.53167547530098,11.291818189593522
125,1,0,0,0,0,0,0,-11.064605227432404,0.0,0.0,0.0,0.0,0.0,0.0
126,1,0,0,0,4,1,0,-11.32724864082854,0.0,0.0,0.0,11.827506360469288,-11.827506360469288,0.0
127,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,4,1,4,1,4,1,0,13.246151922648812,-13.246151922648812,10.891679824876421,-10.891679824876421,10.761264711138308,-10.761264711138308,0.0
131,1,4,1,3,3,3,1,-12.680534627254161,13.426907664850699,-13.41937742721429,9.292140397759432,9.190354151021806,11.539927767216243,-11.90968122415641
132,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,4,3,3,2,3,1,0,11.189844845117497,10.053011492619914,11.573987535159516,-11.705154876638064,8.303649334760024,-11.347524682840298,0.0
134,3,3,3,1,4,1,4,10.42063512161364,13.051041564636456,14.434229668694483,-14.698632312032194,14.1353527265318,-14.190946935439264,14.118979654983457
135,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,9.25665103215959
136,4,3,1,1,4,3,4,12.722904993787676,12.634652078335035,-13.299626613473496,-10.722914656308737,11.542061337736323,11.351642588488076,14.64778316621713
137,2,3,2,1,4,1,1,-11.44296735590978,11.292496117081106,-12.608736985532904,-11.966055512785248,13.380616705070434,-13.32612277528701,-10.443856633414113
138,0,0,4,1,0,0,0,0.0,0.0,12.41000765020106,-12.41000765020106,0.0,0.0,0.0
139,3,2,1,0,0,0,4,12.02287467712339,-12.36063874108383,-11.619055909583432,0.0,0.0,0.0,10.961321005821086
140,2,3,3,3,1,2,3,-9.706318168121438,11.328291658368764,11.761703305928933,12.30727627924975,-13.0187659586824,-9.057303802357438,10.7100582415383
141,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,4,4,2,1,3,4,3,13.351745473049242,15.006127362296125,-14.42578157431311,-14.502570034532464,10.56058365583625,13.658783222466568,11.37303299867641
146,3,2,1,4,4,1,4,11.253411691372044,-10.769607023429849,-12.223845890189043,10.821507095344058,13.05051542034333,-13.059423970212988,12.511390655512399
147,0,0,4,4,1,4,1,0.0,0.0,10.460557002080124,13.042153346746089,-13.013698152447011,12.352811842830153,-12.540636914174202
148,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,3,2,3,3,4,1,0,10.3549751190562,-8.500895842858295,9.322495677128945,11.927320361634266,14.494420931263846,-14.61118416298071,0.0
150,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,11.366479043078222,-11.366479043078222
151,4,1,2,3,4,1,4,15.349671449939208,-15.327882954370793,-11.707167145691074,10.316785057742727,13.761868388119613,-13.826619201288995,12.472932076631087
152,3,3,1,1,4,1,2,11.24722695041951,11.919517996278742,-12.328575204256293,-9.844395263036297,15.013793753170098,-14.993331029166892,-9.810070422169915
153,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1,0,0,0,4,1,0,-9.958644492494443,0.0,0.0,0.0,10.484060712410232,-10.484060712410232,0.0
155,2,4,1,2,1,4,1,-12.603611327403291,15.825680116713167,-15.801014660017666,-9.082940363041288,-12.395961120531954,13.503137682376197,-13.561158477241834
156,1,3,2,2,1,4,4,-13.315575330196559,9.91926119390214,-10.677353814885024,-5.605872282681447,-10.258736817543005,9.930925131204999,15.039464610563952
157,0,0,4,1,4,1,0,0.0,0.0,10.460557002080124,-10.460557002080124,10.694776427725055,-10.694776427725055,0.0
158,0,4,1,0,0,4,3,0.0,9.941506728464136,-9.941506728464136,0.0,0.0,10.888858576734876,9.8450170044213
159,1,3,1,4,2,2,3,-14.933669539761674,11.267362210460977,-11.597186449535267,14.539287293706122,-14.136419837021622,-12.547771840856008,12.9792434864949
160,4,2,3,1,0,0,0,11.600161219816933,-11.087980919860737,11.01426495046763,-11.556647088095756,0.0,0.0,0.0
161,2,2,3,1,4,1,4,-13.463800408663646,-13.09728612702017,12.387460426906088,-13.770452092929965,13.082625919499103,-13.106019247155878,11.642817322054242
162,1,0,4,3,1,3,3,-12.870829630914397,0.0,13.388585389851132,14.140179594287552,-14.511986290194818,11.270863339119515,12.324573851451309
163,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1,4,1,4,2,3,1,-12.038738830414927,11.409828992800787,-11.409828992800787,11.778663779720056,-10.654330126562463,10.731291617494648,-11.80432145571859
165,4,1,4,1,0,4,1,12.83703401134847,-12.987753665609288,12.957859884800778,-12.957859884800778,0.0,13.911016288900331,-13.728033041726656
166,4,4,2,2,3,2,3,11.171550188273619,13.135571588837925,-12.458701329315858,-11.418857495988542,12.929288211066186,-12.499535742165044,11.605553742689473
167,0,4,4,2,2,1,1,0.0,10.948280920376162,13.559399426962788,11.204011332332357,-13.419032130420488,-12.211241300406211,-10.329256787477634
168,2,4,4,1,4,1,4,-8.559291903349337,10.96412958336028,12.864851263191436,-12.826640148257521,14.248481916509947,-14.298314208634407,15.330022644924167
169,4,1,0,0,0,0,0,11.19301437616432,-11.19301437616432,0.0,0.0,0.0,0.0,0.0
170,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,3,3,1,4,1,1,4,12.37971338497934,11.850826862330047,-13.000908938800102,11.675402105694245,-11.550735643188805,-9.53167547530098,9.855902262980761
172,4,1,0,0,0,4,1,11.639802718073906,-11.639802718073906,0.0,0.0,0.0,12.727122365877133,-12.727122365877133
173,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,12.944731295953314,-12.944731295953314,0.0
175,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,4,1,0,0,0,0,0,11.49452086587726,-11.49452086587726,0.0,0.0,0.0,0.0,0.0
177,4,1,4,3,2,1,2,12.070582551215356,-12.070582551215356,12.742071477221627,12.922464702426572,-12.90915021410447,-12.61321724960523,-10.397529776153245
178,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0,9.664311332131604,12.388460044764196
179,1,0,0,0,4,3,2,-11.272930748543994,0.0,0.0,0.0,11.915467453979197,12.56235080679718,-11.445228783596033
180,4,2,1,4,1,4,1,13.143060797314712,-12.886064842797506,-12.041740114212523,10.28713531066606,-10.28713531066606,11.248380952905947,-11.248380952905947
181,1,4,1,3,3,1,3,-12.732017434826828,12.023711898851671,-12.04041905141658,9.04246095418605,11.772946213528462,-11.980877764089273,11.08996503511846
182,1,0,4,4,2,1,4,-14.3209884379185,0.0,11.826308392521382,14.01306390283043,-13.60605848583808,-13.207061226014622,10.450506955562679
183,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,10.30482631460745,-10.30482631460745,0.0
184,4,2,2,2,1,4,3,13.648003342916175,-13.018063858502085,-12.640529312596248,-10.60396170194902,-11.326400114723695,12.142773708059106,10.968062708133044
185,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1,2,3,4,1,0,4,-14.735980968310342,-12.241982596306382,11.23165673888265,14.543044153625335,-14.603773476577125,0.0,12.252292600795112
187,1,0,0,4,3,2,1,-11.4068336126963,0.0,0.0,10.600475965179962,11.86193770283222,-9.855462166199803,-12.000636432896535
188,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2,4,3,3,1,3,1,-9.628175867755893,14.478193805237995,14.745025404067986,14.164871241977458,-15.57191902428173,13.000210241353928,-13.365231643257575
190,0,4,1,4,3,1,1,0.0,10.685921932362216,-10.685921932362216,13.23783793102742,13.021010569112077,-13.771359971895798,-10.93667557956585
191,1,1,4,2,3,3,1,-12.808107123185932,-10.630239417453751,12.411785421204472,-11.694925554540868,12.536949438246175,13.458501793019403,-13.765469571116288
192,4,3,1,0,0,4,2,11.77938747203091,10.541310273493128,-12.033978154796754,0.0,0.0,10.329256787477634,-8.86093968543923
193,1,0,0,0,0,0,0,-11.088220855084646,0.0,0.0,0.0,0.0,0.0,0.0
194,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9.29969616260501,-9.29969616260501
195,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,2,3,1,4,1,0,4,-11.071874720785646,11.1716495015506,-11.700619005168333,12.637943944655017,-12.70373209031512,0.0,11.722542301954403
197,1,3,1,4,2,2,2,-11.625692025686847,10.184446642006954,-10.711589099696528,13.19498728439964,-12.518551023509334,-12.012522513280212,-10.509432025657341
198,0,0,0,4,2,1,4,0.0,0.0,0.0,11.316732826384053,-9.83934789907502,-11.057675023952463,10.13898424296301
199,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1,0,4,4,1,0,0,-10.695252119533398,0.0,10.77900292109347,13.114476685420016,-13.206839446031143,0.0,0.0
201,2,2,3,1,1,4,2,-9.105261450800896,-12.248903144598641,12.466514004309284,-12.764776492368494,-10.996532154400606,12.823022418738239,-12.302846093777777
202,4,4,1,3,1,1,4,11.463617846880663,14.161694955207686,-14.174665676600446,10.590009325716817,-11.552705758697957,-9.42632301716847,13.439115929138152
203,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1,4,1,4,1,0,0,-10.469451189348955,13.252483461827156,-13.252483461827156,11.675900978990578,-11.675900978990578,0.0,0.0
206,0,0,4,3,1,1,0,0.0,0.0,11.826308392521382,12.787879166841437,-12.942777788978844,-11.249609286105311,0.0
207,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0,0,4,1,0,0,0,0.0,0.0,12.46201222855739,-12.46201222855739,0.0,0.0,0.0
209,3,2,1,0,4,2,1,11.47289868587572,-10.887092905277145,-11.21580521387436,0.0,10.238031145833924,-6.41642046013588,-10.215932021765404
210,0,0,4,1,0,0,0,0.0,0.0,11.366780327125227,-11.366780327125227,0.0,0.0,0.0
211,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,11.86533002891492,-11.86533002891492
212,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1,0,4,1,4,1,4,-10.874906833867044,0.0,9.949750474314337,-9.949750474314337,10.630239417453751,-10.630239417453751,9.757388708185694
214,4,2,1,1,4,2,2,13.559078291137656,-13.230946041624552,-12.348262982780765,-10.435239928564123,12.577714883540983,-12.082799276272791,-11.384065221846484
215,0,0,0,4,2,1,0,0.0,0.0,0.0,11.057225236111071,-9.100826087521082,-10.904830445678876,0.0
216,0,4,1,4,2,1,0,0.0,11.353740165725512,-11.353740165725512,11.302344265274153,-9.774711552134809,-11.057675023952463,0.0
217,1,4,1,4,2,1,0,-10.881551251239548,10.660604710648824,-10.660604710648824,11.145777296775817,-9.671716998670853,-10.88573714096998,0.0
