CUSTNO,Monetary_의류/이미용_고가_증감여부_q2_q1,Monetary_의류/이미용_고가_증감여부_q3_q2,Monetary_의류/이미용_고가_증감여부_q4_q3,Monetary_의류/이미용_고가_증감여부_q5_q4,Monetary_의류/이미용_고가_증감여부_q6_q5,Monetary_의류/이미용_고가_증감여부_q7_q6,Monetary_의류/이미용_고가_증감여부_q8_q7,Monetary_의류/이미용_고가_q2_q1_로그변환,Monetary_의류/이미용_고가_q3_q2_로그변환,Monetary_의류/이미용_고가_q4_q3_로그변환,Monetary_의류/이미용_고가_q5_q4_로그변환,Monetary_의류/이미용_고가_q6_q5_로그변환,Monetary_의류/이미용_고가_q7_q6_로그변환,Monetary_의류/이미용_고가_q8_q7_로그변환
17,4,1,4,3,1,4,1,14.818577680597503,-14.817088706203073,13.776986385751416,13.001313894768918,-14.166495313001748,14.403616025700432,-14.189417945146193
18,1,3,1,3,2,2,1,-16.803051935598113,13.625812482229433,-16.163882504982087,12.606681865531021,-12.533830696386723,-11.549769996996366,-11.396114520284518
19,3,2,3,2,4,2,2,12.918109370230383,-13.85536062511657,14.431248370210405,-14.42351033143807,15.134175856043056,-14.302882269342346,-14.256003502005258
20,1,0,0,0,4,3,2,-11.961355953199305,0.0,0.0,0.0,12.194309479932992,12.343031858453722,-11.807840284812784
21,0,0,0,4,1,0,0,0.0,0.0,0.0,14.067392567695657,-14.067392567695657,0.0,0.0
22,3,1,4,2,3,2,2,14.643771992704105,-15.488100566057193,15.595020344977002,-15.06700772965808,14.15001920572136,-14.456540008519447,-13.292759642819629
23,2,3,3,2,3,3,1,-13.670124530353387,13.633292228093271,14.518890384254494,-13.51378604946568,12.500270184776113,13.449829786461688,-15.099621905970826
24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4,2,2,3,3,2,3,13.815101984264844,-12.565264132926892,-12.30846287676144,11.31298693196251,11.511450385541325,-12.168295278895945,12.828262985755408
26,2,3,4,1,4,2,4,-12.962826388194943,12.974846348341776,14.648454608268493,-14.818932819978937,13.404073153853949,-12.322071952464201,14.152258548768357
27,1,2,3,4,2,3,1,-15.513271847387468,-13.790194586186171,13.777410595607478,14.982304769206818,-14.830973964097662,14.195037229294767,-14.956754721709201
28,0,0,0,0,4,4,1,0.0,0.0,0.0,0.0,11.257955401375657,13.845293332590606,-13.72355087370707
29,4,2,2,2,3,2,3,14.566064980010855,-14.414593088020187,-11.667168078062295,-13.384510527171368,12.047652599085819,-10.87618133438188,14.055275238873351
30,3,3,2,2,3,3,3,14.986170629489628,14.53558285925609,10.64990053725869,-14.744011818618144,9.71318610155685,13.008559662916742,14.720417274642859
31,0,4,2,1,2,1,4,0.0,11.81151114432201,-10.279015919706135,-11.119728952908028,-9.962111266976901,-9.740130652729405,10.700469711522897
32,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4,1,0,0,0,0,0,11.349521465780395,-11.349521465780395,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,13.24656914070559,-13.24656914070559
35,3,1,0,4,2,3,4,12.793572349256097,-13.909544048840928,0.0,14.13836779465205,-13.503660223473304,12.30060226059188,14.319052400519023
36,4,4,3,1,4,1,2,12.4083451936139,13.113201528179093,13.55936697113879,-14.230467237389357,13.732246264594469,-13.568406027173074,-9.938599201848268
37,2,4,3,2,3,1,3,-13.070828940280085,15.200488511028231,15.072026350796818,-15.079400742162415,14.88007853058999,-15.64629311634814,9.398297028952957
38,0,4,1,4,4,3,1,0.0,11.316205703570077,-11.316205703570077,10.372274011780576,11.477175759749217,8.038403789176709,-11.787103637173496
39,2,1,3,1,4,2,2,-17.019220392623946,-17.423664965279485,15.705632677085497,-15.981355567814768,17.05550506042218,-16.489882855821772,-14.745402462632939
40,3,1,1,4,2,4,2,14.464851784098443,-14.572017531793149,-13.935358627096113,12.608646264113828,-10.78630833738547,13.615536177137656,-12.789320534675797
41,0,0,4,1,4,1,4,0.0,0.0,13.23942282704269,-13.161936377330468,12.48301012527543,-12.2412341364957,13.711117304322668
42,0,4,1,4,1,0,0,0.0,11.669995173512849,-11.669995173512849,10.601680762035567,-10.601680762035567,0.0,0.0
43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0,4,1,0,4,1,0.0,0.0,12.669942645866376,-12.669942645866376,0.0,11.376914242887457,-11.376914242887457
45,1,4,3,2,3,1,3,-16.988799974868,16.373428689652652,16.748017512214833,-15.768635506547259,16.938964960178176,-17.228740373975636,16.322936622287923
46,2,1,3,2,4,2,4,-12.91686054851292,-14.183720787628527,13.612506432309363,-13.355079271988647,14.681663122628539,-14.148708318425301,15.955644060849687
47,0,4,1,4,1,0,4,0.0,14.668241396267636,-14.668241396267636,11.713521585439148,-11.713521585439148,0.0,11.827666219918259
48,3,3,2,3,2,3,2,14.49917737534066,11.32640576689925,-14.698671077200467,14.924859379473467,-14.8450144782107,12.092067181785717,-14.059812438076689
49,3,2,2,3,3,2,3,14.830862276139994,-15.113466272967749,-13.890496191513476,14.220786047762857,14.165439742361777,-14.02730132091756,13.309959664162607
50,1,4,3,1,4,2,2,-12.853213427146649,11.766222421529589,9.79041658314879,-11.896058548818539,12.932349339760982,-11.84421430834873,-11.568693850352195
51,2,1,4,1,4,2,1,-11.079774442459929,-11.34755315268997,12.754979760073347,-12.83055370461865,11.272911300968522,-9.995662924723018,-10.946085414842528
52,3,3,3,1,4,3,2,12.371895894899895,12.434234836856586,10.800347094644502,-13.239516240658245,13.851222318701312,12.42543371706401,-12.026547149662166
53,4,3,2,1,4,2,2,11.2202682546543,11.361328166615536,-11.297785788166387,-11.2887606257034,13.118727286001917,-12.551820454494887,-11.53441745240689
54,3,1,2,3,3,1,4,12.03174406381919,-12.606638330913242,-11.001046499575102,9.236385857752419,10.750945728349816,-12.147303681046166,12.45318734961365
55,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4,1,4,4,1,2,2,14.839800153784756,-15.24314173011422,15.032863286638472,16.55733489390554,-16.5805054293219,-13.91020938466614,-12.58745189166884
57,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4,1,4,1,4,1,4,12.044224030143406,-12.044224030143406,13.370758610141953,-13.370758610141953,10.808030296187281,-10.808030296187281,14.154132297383384
59,3,2,2,2,4,2,2,14.29116632253339,-14.38892953511664,-12.89361000805854,-13.036377183541209,14.100619793274063,-11.79201132469598,-12.754502347302711
60,4,1,4,2,3,3,4,13.799545506620737,-13.388332229894216,13.722200898111717,-12.943946214410229,10.860758680345967,12.705443341793579,14.690193422981979
61,1,2,2,2,4,3,2,-13.370191228929254,-9.889607988846306,-10.474154318527635,-10.343716298189294,12.818754939964158,12.02076876535824,-12.443452842759166
62,4,1,0,4,1,4,1,13.26357761677281,-13.393973037676364,0.0,12.27313386661341,-12.27313386661341,10.738450117798092,-10.738450117798092
63,4,1,4,3,2,4,1,11.819520679345228,-11.819520679345228,11.681284880466205,9.024019371885158,-10.92434678258205,12.472226993861904,-12.642752926889765
64,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,4,4,1,4,2,2,1,12.138256452372417,14.309675855661716,-14.38795780519666,13.801199382215145,-12.309595970640006,-12.597527703293478,-13.08253818090339
66,0,4,4,1,4,1,4,0.0,10.070641354819434,11.328926360501999,-11.579006941399278,12.103287034248657,-12.103287034248657,12.501427022597062
67,4,1,4,1,4,1,0,11.971435684127762,-11.971435684127762,12.597570542027169,-12.597570542027169,12.03639318277678,-12.03639318277678,0.0
68,4,1,4,3,1,3,1,14.42903692814234,-14.198692002382312,15.268007258320187,14.65559087713005,-15.80569129247093,10.106149996847556,-11.412168577867826
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,4,1,0,0,0,0,0.0,15.669021166135444,-15.669021166135444,0.0,0.0,0.0,0.0
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4,1,0,0,0,0,0,9.270162346565268,-9.270162346565268,0.0,0.0,0.0,0.0,0.0
73,4,1,2,3,1,4,4,15.434947006878533,-15.064680651893932,-12.812759940317388,14.567983764818422,-14.989511271534187,13.376464507511649,14.478482419420754
74,3,2,1,3,1,1,4,13.120560061981536,-11.55428382247044,-13.268984323403979,11.07491826193554,-11.866609989154922,-11.184467937823907,11.665971542716742
75,3,2,2,2,3,3,1,10.47723766430363,-8.540148952739898,5.518946512761842,-10.63165294150545,10.186690587731864,9.922046456698595,-11.523393048758717
76,0,0,4,4,3,2,2,0.0,0.0,10.959975756285965,12.743969699046716,10.556247139156186,-9.90510988617531,-11.73290500621654
77,3,1,2,4,3,1,3,13.621049375586447,-14.036811331821951,-12.286965427790168,14.039634783282509,12.486159533740516,-13.906077292065364,12.805702184570958
78,2,3,2,3,4,1,1,-14.191677049316851,13.324775671493072,-14.663894169657402,14.561803244344278,16.185332855758862,-16.067685013767495,-15.229210423030448
79,1,1,4,1,4,1,4,-12.106374833989838,-10.13510524964768,12.730910522229637,-12.730910522229637,12.375779495240488,-12.375779495240488,11.722106536966379
80,4,1,4,3,1,0,0,12.160445140240284,-12.160445140240284,11.93829103052659,11.592621784657247,-12.473461891343565,0.0,0.0
81,1,2,3,2,4,2,3,-15.39049440881432,-13.97332558655054,14.243113272177105,-14.121742333255188,14.893136457284381,-14.775164603917343,14.2593520458876
82,2,4,1,4,2,4,2,-14.524862776209535,17.138107417168403,-17.257711264732556,15.78099112108686,-15.080657398215717,16.726099585007415,-16.259853674525843
83,3,4,1,3,3,3,1,15.200156116995682,16.776688241526426,-16.900734875795965,15.403363495049925,14.694772767372273,16.49716694684894,-16.794486183208043
84,4,2,1,1,4,1,0,13.729450317010158,-13.513815394916437,-13.113967131020463,-11.091001883845864,14.278033844141474,-14.278033844141474,0.0
85,2,1,4,3,1,4,3,-10.367056481420517,-12.60992523904755,12.361145627789488,12.252826250627084,-12.829916610426839,12.603325672313575,12.2317624841404
86,3,3,1,4,3,2,3,11.807339809048853,12.270763221779045,-13.198349913598182,13.514298936023842,10.685470865428849,-12.997752060309704,12.951864317702835
87,0,0,4,1,0,0,4,0.0,0.0,13.330937780294851,-13.330937780294851,0.0,0.0,13.599016943734481
88,4,1,1,4,4,1,4,13.987974324689084,-14.059697482372208,-13.22012661091316,13.580497558368963,14.26611573894485,-14.501598636899393,13.773373231052894
89,4,2,1,0,4,3,1,13.281673002642082,-12.735024493051073,-12.724020034615105,0.0,10.442579450452376,9.695149040503209,-10.830255764019913
90,3,1,4,1,2,2,4,13.294064991049604,-13.768096389257474,15.551408477829472,-15.408311628269704,-11.924070642666482,-12.644376532912464,14.695600588141742
91,1,4,1,4,1,0,0,-10.496323010170258,12.373188373962353,-12.373188373962353,13.01085295154478,-13.01085295154478,0.0,0.0
92,2,2,3,2,2,4,2,-12.690198817975004,-11.996715125775715,12.465898779549033,-11.532438140965825,-13.269795332990695,13.556833438865457,-12.17611149931872
93,2,4,2,3,3,2,2,-12.803304060164635,16.091005743997997,-15.922354528884991,13.24339656889991,15.422892325955846,-15.222106025323189,-12.402779429752144
94,0,0,0,4,1,1,4,0.0,0.0,0.0,13.189233805828032,-12.79843874178996,-11.886355962516364,10.85692777674373
95,1,0,4,1,1,0,0,-10.650469741720155,0.0,12.840515991570802,-12.519699924701142,-11.547515081739194,0.0,0.0
96,4,2,1,3,2,2,3,14.331547528731923,-13.949553107782123,-13.765849349066642,13.3872327343188,-13.295194530020135,-11.764549033284178,8.12978117912758
97,1,4,2,2,3,2,2,-14.819099937130925,15.431143090260749,-14.238252916921004,-13.288368130283205,13.117337565518767,-13.93444029826227,-14.640307719335345
98,3,4,1,2,2,2,3,9.969483008864652,12.848503161547988,-12.587015110394011,-10.708394919998694,-10.297170388341288,-10.24408056667709,10.598593305612352
99,3,4,1,2,3,1,4,14.895252301954537,17.159640112773104,-17.0619651491938,-15.388783633067547,14.975603611829708,-15.379763579285285,15.590331654788661
100,4,3,3,1,0,4,1,14.508882400976143,11.344509739732736,14.868017588901138,-15.458378381869064,0.0,12.901311759067765,-12.772389059638849
101,1,4,1,0,4,2,1,-13.376197381572574,11.541933374890377,-11.541933374890377,0.0,11.828851938419765,-10.02695148534642,-11.648555027492032
102,4,2,1,3,3,2,4,14.396668348213591,-11.26179155050773,-14.494856981178105,10.745513698182302,13.137033018872456,-13.35219528731642,14.15990528733208
103,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,11.853997380111478,-11.853997380111478
104,0,0,4,1,0,0,0,0.0,0.0,13.985943532427774,-13.985943532427774,0.0,0.0,0.0
105,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,3,2,4,1,4,4,2,11.21424078428751,-12.794932155463998,13.789751606912997,-14.055536767534557,12.114983009578486,13.137753260170621,-12.768395474527551
107,4,2,3,3,2,2,4,16.09082119905186,-13.173841550800967,15.528938987886661,14.586981800225189,-14.977066490620548,-15.890862593679051,16.615510308630355
108,1,3,3,4,2,1,4,-12.557786419734997,7.786456339308881,9.93976999958559,11.961654778725425,-10.118230574910374,-11.776245691578614,11.232281478521402
109,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,4,3,3,1,3,2,2,13.992564211527425,12.487306927907342,12.724654510418342,-14.142532941510412,13.27675406804491,-12.489342338924827,-12.380466235743228
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4,4,1,3,3,3,1,13.176855587939293,14.864073121474785,-14.79330078792348,12.747000618946172,12.847964762270898,14.361907136390952,-14.667267828437883
113,3,3,3,1,4,1,3,13.106442065735816,9.580509252610184,14.269244901411781,-14.275033489242283,14.092983715382065,-14.289223683388677,13.820059018507335
114,4,3,1,2,4,1,3,14.716580432373842,13.834821809070247,-14.877503950944412,-12.308907346394237,14.510977759917994,-14.710917681151791,11.761965970962311
115,3,4,2,3,2,2,3,12.08568107808266,14.16583184979851,-13.130546835928211,10.755349036142542,-12.461376216969516,-13.408055392441652,13.488662962090688
116,1,1,4,1,4,3,1,-12.489891515255216,-10.631068856135082,10.718818440475541,-10.718818440475541,11.398311069229523,9.890493784058016,-11.598293642796623
117,4,4,2,2,4,1,4,9.675596056440295,11.704028176045975,-9.182987547563988,-11.009036829696653,13.282192042931628,-13.3900819881261,12.362727760754586
118,4,2,4,1,3,2,3,15.016747823881689,-14.516834616086134,15.422482589664485,-15.547603477425117,12.984256781286364,-13.96678983143516,11.73312224704168
119,1,4,2,3,2,2,2,-12.283937571887876,13.470507146667597,-13.08223647710633,13.075922161234514,-12.620877082193402,-10.326413309559582,-12.191865906999515
120,3,2,2,3,2,3,3,15.553133285871178,-16.488543922470548,-14.814672139989215,15.529224182890031,-14.25164318279473,14.81119984494623,13.247303243023312
121,0,0,0,4,1,4,1,0.0,0.0,0.0,12.12499652322179,-12.12499652322179,13.169340982298491,-13.169340982298491
122,2,1,4,4,3,2,2,-11.718223632353705,-11.695321587384782,10.805827973743106,13.546281194049136,12.350694867797738,-11.726321111852558,-12.288627473974236
123,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,12.118297352544937,-12.118297352544937
124,1,4,1,2,4,2,4,-14.192718878197079,13.682938362558883,-13.867999929919833,-8.24450836589364,12.693888847635689,-12.456594423537203,15.438608638622691
125,4,1,1,4,3,1,0,12.524314754753513,-12.16017477800923,-11.337558570842832,12.426209191664396,9.620989155484702,-12.48493973558828,0.0
126,1,0,4,1,4,1,4,-14.107679388358344,0.0,14.543477793749117,-14.483474633584706,13.52282486664529,-13.672633588388116,15.030761622677938
127,1,4,1,4,1,0,4,-12.255115446123268,12.417205077204107,-12.417205077204107,12.647899277721034,-12.647899277721034,0.0,12.42849483465466
128,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,4,1,0,0,0,0,0,10.875516955848912,-10.875516955848912,0.0,0.0,0.0,0.0,0.0
130,2,2,3,1,3,2,3,-11.660798153326702,-12.084729935727102,13.757265026544768,-13.893578081063369,11.909228953614049,-11.925991769143696,12.873925652471291
131,4,1,4,3,2,4,1,13.49009330411114,-13.719129974095503,11.494549901792912,11.559816172725261,-11.5721020469839,12.34286859720484,-12.787906396473774
132,1,0,0,4,4,1,4,-12.043272573374042,0.0,0.0,11.655540953297589,13.371123316448923,-13.536516889529727,12.363956580376152
133,0,4,1,4,4,1,4,0.0,11.393032608800487,-11.393032608800487,11.681773151073836,12.298859288379951,-12.730323253350194,10.879696378153373
134,1,4,1,4,4,3,2,-15.195071590980124,14.401571878821473,-14.692135006710762,12.224755033908034,13.377567096428436,13.818685533151386,-13.075431603553316
135,4,2,1,4,2,3,1,14.805353444998616,-13.339806580831965,-14.532895364063531,12.332447725434236,-10.575819452762545,12.382923455667061,-13.009763210887735
136,4,4,2,1,4,1,4,12.178339537300337,14.43089706031106,-13.822692182837663,-13.852511255378028,13.761790697578185,-13.761790697578185,11.815596155988464
137,1,4,1,4,4,1,3,-13.780694755924394,14.416221636179744,-14.44464875044513,12.275761850482816,13.281537159910467,-13.205970964167216,-8.101805200642369
138,3,3,1,4,3,2,2,12.601854290839698,11.401714699345353,-14.249098093901592,14.274729515457835,12.971942908837754,-14.008545442543353,-13.139826174809519
139,3,3,2,2,1,4,3,14.373365290059192,14.784246883197477,-14.965065061239658,-14.45212973013594,-13.752798160404183,13.440016753074966,13.355682661325934
140,2,4,2,1,2,4,2,-14.150597537483545,14.473009121930282,-14.32407445709365,-13.764820210271491,-11.71211732059225,14.15395240916169,-13.695439165639531
141,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,4,3,1,0,0,4,1,14.015001096419713,12.399644688569133,-14.196337983358045,0.0,0.0,14.833755769724123,-14.833755769724123
145,2,4,1,4,2,3,3,-9.913017870171045,13.986144955593875,-13.911168503167127,14.159190882573153,-12.217801735105722,12.72415971992943,14.078607814198126
146,2,2,4,3,1,4,4,-11.471883116172,-9.972347371384377,14.331651577592996,13.627868139315824,-14.718042069612459,11.997928687128121,14.199860579321912
147,1,4,1,3,4,2,1,-13.436717519378439,13.165886546357873,-12.844723544645538,11.653082477374003,14.434898066298784,-13.80927349160702,-13.697097751378207
148,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2,2,4,1,4,2,4,-10.783045082114986,-11.130575149290927,13.56066989994067,-13.842802836955933,11.246936149109194,-9.135318029919215,13.96784709127687
150,4,1,4,1,4,1,4,15.023142306758167,-15.438234521244658,14.205142906414068,-13.808806275002786,14.626263796472283,-14.820808584198462,12.595067420280774
151,3,1,1,3,4,1,2,13.507211058990714,-14.191764347854352,-11.911455750141348,9.904603755712877,13.27915815165508,-13.274910251640495,-10.78273970788592
152,1,4,1,4,4,2,1,-13.36800868565851,13.15812362112878,-13.512069760105115,12.106505876836998,12.68685450725191,-12.489029428761024,-11.983238734112994
153,4,1,1,4,2,1,0,11.23349402155911,-11.548776500816691,-9.559843932971562,10.601680762035567,-9.597316307621952,-10.145576136364198,0.0
154,3,2,2,2,4,3,2,11.564861342905623,-11.399486106409137,-11.66168885556282,-12.214676963935089,12.770634282425227,8.176862416733899,-12.397828812534675
155,4,2,2,3,2,3,1,14.326214133679882,-13.023086703880182,-13.649029922374234,13.816433882985791,-13.772756859496056,10.85934185009057,-13.251126286793085
156,2,3,2,3,1,2,3,-14.940945988334382,13.383244153918579,-12.414362361988038,13.914430680685916,-14.911862976259082,-11.005707912633495,12.522280043472048
157,1,2,1,4,1,2,2,-12.039727253761715,-10.1593112652721,-10.986906704287241,12.159805742389018,-11.684962538097926,-7.149186473266294,-9.502271933563058
158,0,4,1,3,1,4,1,0.0,11.43030359114298,-11.018742842458654,10.052331522478688,-10.901778905606994,10.252955861009584,-10.252955861009584
159,3,3,4,1,3,1,4,10.708601777659357,12.75239055594895,15.12437106114567,-15.154498332860184,13.029666850060856,-13.482733127640518,16.154782381076686
160,0,4,1,4,4,2,3,0.0,11.969349051927155,-11.969349051927155,11.14689735810419,13.180438397797374,-10.616521388288415,8.405982327846154
161,1,2,4,1,3,2,3,-16.672858452932772,-13.909675770720632,16.922223844663225,-16.806858691960603,14.958797744589118,-14.364642773087562,15.224184217542101
162,4,1,4,2,3,2,1,15.432040941791387,-15.480139643106488,15.628019211822538,-14.803561897944086,12.285036006790422,-14.920947540989681,-14.533502616866654
163,2,1,0,0,0,0,0,-11.736089548325957,-12.822557677313291,0.0,0.0,0.0,0.0,0.0
164,0,0,0,4,1,4,1,0.0,0.0,0.0,14.0634786714229,-14.0634786714229,13.793482323388274,-13.6767980985455
165,4,3,2,2,1,1,4,13.482301922352372,11.512205223472877,-11.048093513677765,-11.971245997129502,-13.601303844861013,-9.270162346565268,11.385050713177264
166,4,3,1,3,3,3,1,12.507776393176087,12.556761158419418,-13.159807372742245,9.981523887012164,9.44999203794194,11.466317836324512,-12.145279015007924
167,1,2,4,2,4,3,1,-13.903006214833539,-11.224974045346109,13.498965373462589,-12.112318654572356,14.185176552377163,13.023546348561942,-14.493682677496475
168,2,3,3,1,4,2,3,-14.352645754603916,13.28382861015594,14.372068845437923,-14.91264770212303,14.811899609999484,-14.144530253476574,13.182333162080303
169,0,4,1,1,0,4,1,0.0,11.06386649195451,-10.575658316656698,-10.112701073938911,0.0,13.060692571341393,-13.043057039204832
170,4,1,4,1,4,4,1,11.835024752658349,-11.835024752658349,11.579006941399278,-11.579006941399278,11.433402002336953,12.563222114222125,-12.665304790233808
171,3,4,1,3,1,4,1,10.652890382166898,13.238445329660754,-13.304191547032888,10.064150923671281,-11.439995834569881,12.016515243097023,-12.016515243097023
172,2,3,1,4,3,1,4,-11.95556825158316,11.702341364143885,-12.187518884421179,12.422945799063507,8.637493739532509,-12.652765257713499,11.387568990267614
173,0,4,1,0,4,1,0,0.0,13.078755933150095,-13.078755933150095,0.0,12.769604277271831,-12.769604277271831,0.0
175,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,12.878282252853651,-12.878282252853651,0.0
177,4,1,3,3,2,2,4,15.662905550591264,-15.474267848631685,14.72919847037594,13.768561003205697,-14.665892498687375,-14.728798033557407,15.894280701898637
178,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2,3,2,3,2,3,2,8.148947375866173,13.269862344309985,-13.79638505059939,14.590194636648642,-14.647280332709286,12.127882392407251,-12.807626134220962
180,2,2,4,3,1,3,3,-12.708446583383967,-12.062201071613302,14.472862075151204,14.957802015301013,-15.253746143462267,13.137620766844186,14.17832257176217
181,4,1,4,1,3,4,1,14.125530751561882,-14.125530751561882,15.368053191754928,-15.188803937522048,13.510977665513872,15.75889604184837,-15.788889435221341
182,4,3,2,2,4,2,2,14.72003143521626,13.733219226052968,-13.778347250883687,-13.990966824938294,15.602164340016067,-15.139208135506346,-14.461977645009277
183,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2,1,4,1,4,1,4,-14.041753064549258,-13.345744906591833,14.16543529988533,-14.34052036968432,12.883404022547388,-12.956381069509293,12.942439648843854
185,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,4,3,2,2,2,3,2,14.393442652553226,14.414963978210457,-14.337961341954102,-14.125634180024775,-13.012158724633286,13.33177575318694,-12.510852956012323
187,4,1,0,4,4,2,1,12.600004677361841,-12.665585905394757,0.0,11.82433509348239,12.737000856040357,-12.423801662409364,-12.33704308303677
188,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2,2,3,2,3,2,2,-13.905725555828502,-13.754000143665989,14.485980842137934,-14.302386420378667,13.301817441040793,-12.863831057073542,-12.401456656987857
190,3,2,3,3,3,1,4,12.536162330757078,-13.348979404053326,13.203012367073379,10.70419367084954,13.982596060498103,-14.556475840991096,13.392958720692523
191,1,4,1,3,2,4,2,-15.05708969817662,14.742436209936653,-14.635663897952645,8.621169181317603,-13.148372240828415,15.994685379117662,-14.490203035581413
192,4,2,3,3,1,4,1,12.609638235354668,-10.968551029348541,12.00883242471811,13.06001450607749,-13.347711290946355,13.153824367372925,-13.34888073912481
193,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1,0,4,4,1,0,0,-11.772596550889032,0.0,9.014169904180962,11.556440460974049,-11.632176639411089,0.0,0.0
195,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
