CUSTNO,Monetary_식품/생활_고가_증감여부_q2_q1,Monetary_식품/생활_고가_증감여부_q3_q2,Monetary_식품/생활_고가_증감여부_q4_q3,Monetary_식품/생활_고가_증감여부_q5_q4,Monetary_식품/생활_고가_증감여부_q6_q5,Monetary_식품/생활_고가_증감여부_q7_q6,Monetary_식품/생활_고가_증감여부_q8_q7,Monetary_식품/생활_고가_q2_q1_로그변환,Monetary_식품/생활_고가_q3_q2_로그변환,Monetary_식품/생활_고가_q4_q3_로그변환,Monetary_식품/생활_고가_q5_q4_로그변환,Monetary_식품/생활_고가_q6_q5_로그변환,Monetary_식품/생활_고가_q7_q6_로그변환,Monetary_식품/생활_고가_q8_q7_로그변환
19,3,1,3,3,3,2,2,11.613407838954993,-12.499842443909479,10.23458238333552,10.710520734214493,-8.50963847694509,-10.872656828298037,-10.430205521966009
20,3,2,2,3,4,1,3,12.529633548446581,-13.449659606102415,-11.289143102097523,12.318605695362768,13.954348669573543,-13.952690823854672,12.799479883766963
21,2,3,3,2,3,2,2,8.084950682087468,12.319915066360927,12.731035945137258,-12.701774317196323,11.986658804225742,-11.831385528978753,8.493907930718013
22,3,2,1,2,4,2,1,12.359169901688931,-11.532644761254806,-12.792041134088489,-9.703120303804022,12.47210173385206,8.055137216384084,-12.572727637298836
23,3,2,4,1,3,2,3,13.299672581195296,-11.863608011500112,15.056720978180078,-15.282806138110946,13.040266695458122,9.090016546946785,11.015885624442655
24,4,3,1,4,4,1,3,12.253910339265271,12.472542760149803,-13.184137173024816,9.917503594690514,13.060689788345362,-12.9190009426855,11.09051737682857
25,1,2,1,4,2,1,4,-12.139710533453533,-9.228724662513638,-9.666129849611728,10.742740472038095,-8.938626483590832,-10.378769248849443,9.492604249909
26,2,2,2,2,3,1,4,-11.488598452228286,-11.652405132001373,-11.010080794541302,-9.917631854827345,12.691858593768533,-13.089560806656177,13.153426682515743
27,2,2,1,4,3,4,1,-13.853709115188511,-12.641681700181186,-14.567950309540356,13.696859524719777,12.426588441821714,15.316527858715657,-15.236211381763699
28,3,3,3,1,4,1,1,10.364731879067705,9.86968566352752,11.66480935264285,-12.010483855026274,12.182093538560073,-12.190487229015954,-11.127332307503595
29,4,1,4,1,1,4,1,12.196169165065188,-12.37629479220887,13.066185932422858,-12.61476211057673,-11.885380981444936,13.181742374506713,-12.987113597614538
30,2,3,3,3,3,2,2,-10.469069695592724,11.642863283607424,10.30577544038266,10.589738194064608,10.51340371472314,-11.455015437415181,-10.35555252618541
31,2,2,2,3,3,2,2,-10.505506662183624,-9.867969418972544,-10.832474778691243,11.661370986287713,10.352392261059428,-10.921440871171457,-10.52570072075848
32,4,2,3,2,2,3,2,13.239327868070118,-12.862578885361746,12.340690676844416,-12.250758932752374,-11.165268780558698,12.112139399048926,-10.824874964145085
33,2,1,3,2,3,2,2,-10.184002128962687,-11.905919281225403,11.630288451381404,-11.167751927547016,10.391240329189072,-10.410496446636717,-10.890510890096072
34,4,1,4,1,1,3,4,13.16784569115003,-13.35129326882594,13.840352172485277,-13.912283852769377,-11.610324745621112,10.21032577365205,13.529180835374893
35,3,1,2,3,4,1,2,12.426399416668621,-12.613954217773196,-9.566802051931141,12.571166646659645,13.932145602506102,-13.673080200109586,-10.055793907436202
36,4,3,1,3,3,3,2,14.049384831949379,12.051046996286313,-14.151141969043474,12.340812092682752,12.650717193159812,12.898887151753492,-13.462739735359674
37,4,2,2,1,4,1,2,13.18594131195041,-12.49331375615916,-10.626198761029512,-11.82389857371197,13.628677629307429,-13.134018484596343,-11.073709626376585
38,2,3,3,2,3,2,3,-11.682062178684038,11.671714475289479,11.917737700290436,-11.342571413068159,9.960256717160048,-11.955246399023576,12.594551529865885
39,1,2,3,1,4,1,3,-13.433499153335617,-10.32860099574074,10.46349018512016,-11.805040034129435,12.091745711453786,-11.732899348789916,9.21167522401899
40,4,1,4,2,2,2,4,11.161620120921635,-11.016975419975802,12.415262866318876,-11.74836648530601,-10.765973694576147,6.0476592989112605,13.304143157070087
41,4,1,4,1,3,4,1,12.069256076414705,-12.155522737553474,12.105858919147186,-12.190378688644584,10.30581693285763,12.362380645314357,-12.518353903358685
42,3,1,3,2,3,2,3,11.706460893962582,-12.189420711898666,11.463230895710238,-8.964303471880994,10.668633845602965,-10.179402696403894,11.982291127598987
43,2,1,3,2,3,2,3,8.222743661480376,-11.379597654748922,10.353707570698873,-10.4299841551591,10.596605108859292,-7.309205177017529,10.942310162725208
44,4,2,3,1,3,1,4,13.152147601406533,-12.965776578614816,8.829641665772037,-12.674214389745208,11.76926050733935,-12.374237339215696,11.151040753159172
45,2,3,2,3,1,3,4,-10.7316213007229,10.350117409023063,-8.715655355625797,11.396412468213033,-11.933360147892447,7.545300017370008,11.26460074961321
46,2,1,4,1,4,2,3,7.988901747203779,-11.360662294985566,12.736091214741798,-12.632619661213484,13.023464393363026,-11.674686439218787,11.230991660595585
47,4,1,2,2,3,2,3,13.50066264702136,-13.652081653527597,-10.147886804849442,-11.257179633542622,10.016637967440381,-11.298427160334363,10.67338810526269
48,3,1,4,3,1,4,1,10.740147338786931,-12.670040650977132,12.950017364183152,13.745025310588542,-14.043710363556963,13.719606451000148,-13.823855520313323
49,1,2,2,4,1,3,2,-14.258153212713053,-12.666011167629348,-11.560498081599166,14.164408536520058,-14.216667152737742,11.76526651500308,-10.207921468415762
50,3,3,2,1,4,2,3,12.284590434689663,12.339402824270216,-12.098998124156564,-12.672870654284084,12.254918522364882,-11.782961752559347,12.443105847516412
51,2,2,2,3,2,3,3,-11.675899913880675,-10.398707185295603,-10.778048212520423,11.79201261077304,-11.787540184758328,10.449761437478498,11.884451108909996
52,4,2,4,3,3,1,3,11.001981907324648,-10.069000003372082,11.639968912061438,12.297023526291293,10.001090603568269,-12.762495017353611,10.012711691646825
53,4,3,2,3,2,3,2,9.687108889183692,8.550789298235722,-6.816814258575016,10.389462088205123,-9.7167583118671,9.97503551350718,-10.2417711633398
54,3,2,3,1,4,1,4,12.555612603090246,-12.802484160981026,12.700434560479474,-13.030025116265373,12.588462312667515,-12.886767427571394,12.122308984097916
55,2,3,3,1,3,3,2,-11.67881007582595,11.375033830146556,9.686956786394767,-11.561819316775956,10.273021096951439,11.110630159337337,-11.512293237199158
56,1,2,3,3,3,3,3,-13.459349126671338,-9.04564666536784,10.964696976079617,11.221896906112784,10.15391067449797,10.178617930656934,11.485111815644851
57,3,1,3,4,1,2,4,10.844806991094101,-11.887579446143153,9.529096312198504,14.253968002677398,-14.239109562299864,-10.375732670375164,11.455949088551655
58,4,2,3,2,3,1,4,12.89803754926496,-11.573079543720938,13.03836642910094,-12.886971290880433,11.552548067105166,-13.00287662524052,13.206625425777132
59,3,2,4,1,2,1,4,10.301240529145002,-10.195106684243878,12.790185614106464,-12.30115225493277,-11.653239496183556,-10.92193440843101,11.483439717801994
60,4,2,2,2,2,4,2,13.44788884291297,-12.912302831683503,-11.694329392440519,-10.059124070611606,-10.25728296049769,13.229239709075095,-13.055783790449338
61,3,2,3,1,3,3,2,12.829624451605955,-13.221495563927776,10.656575257461366,-12.857390732506508,10.463402797864568,9.74736344708347,-11.750198360559265
62,4,1,3,2,3,1,4,12.283414394770903,-11.813924972686273,10.050016968535054,-9.55564336929932,9.965683828427435,-11.663655254709274,11.079488557428627
63,4,2,3,2,2,3,3,12.462006096781078,-12.151485527568962,12.150309856617392,-11.81991186425154,-11.667048099893673,10.415660263864812,9.229092168484813
64,1,1,4,3,1,0,4,-10.84437492247835,-9.464227373610788,9.189170245000247,9.307357077855256,-9.943107786110506,0.0,9.006869115913721
65,3,2,1,4,2,2,3,12.280275412823988,-11.745036336278385,-12.470536607697817,12.752000982274556,-11.179345744088819,-10.534852755456479,10.236253692484105
66,3,3,3,1,4,1,3,10.83513721355662,10.86354753748024,12.184048146393968,-12.661466290185713,12.011451836314176,-11.801192636475347,11.648095474393633
67,3,3,3,2,2,3,2,9.223276923477474,11.105312884328692,-7.707275555700325,8.781489907667522,-9.72051745129412,11.376829359813868,-10.573078012082256
68,2,3,2,1,4,2,2,-9.937812088487329,13.340856604151673,-12.701295905374757,-12.987349613891494,12.941533163641232,-11.064362930410745,8.45609613130946
69,3,3,2,3,3,2,3,11.738590970946708,11.258640475182586,-12.38882324414607,10.839911910875154,11.755481208741076,-11.605708213258437,11.119095918409512
70,4,1,3,2,1,0,0,11.900984291810017,-11.930286747265297,-5.845550805502462,-9.311329826085437,-9.91292715382861,0.0,0.0
71,4,2,3,4,1,2,3,10.439305417187748,-9.71376396698833,9.638583926153357,11.921345839438384,-11.991136171119695,-7.5946225290608105,6.799162677359617
72,2,4,3,2,2,3,3,-11.618936543714229,11.937468243122602,11.928715141430676,-11.506477097819769,-11.71820058915134,10.325328495523898,12.291493991425623
73,4,3,2,1,4,1,4,13.270738026233538,-9.83633264225648,-12.719687373143623,-12.15362962268354,12.424404116689704,-12.52381678662252,14.563344754140845
74,3,3,2,1,4,1,4,9.564826071922084,10.229376721726739,-10.029360854290491,-10.526462330838076,10.888238216053375,-10.925305366567127,11.53674128009621
75,4,2,2,1,4,4,2,10.521118741566442,-9.624254646581294,-9.790055269042133,-9.848366563905849,9.141268063481354,10.627604722687883,-6.71703160038634
76,3,2,3,1,3,1,4,11.164133181809397,-11.12082373717321,11.818447024914136,-11.87348668784669,11.0203703645202,-11.895227617715717,11.581494307526087
77,3,3,2,3,3,2,4,10.90724609738558,11.200805234948717,-12.076804736110155,10.193777751411924,11.937711519754508,-11.877798756981683,12.549713023132444
78,1,4,3,2,4,1,1,-12.97502117676834,12.5666207789971,11.251147710028146,-11.663815064101136,13.131624103234435,-13.07475587490061,-12.50265374915695
79,2,3,2,2,2,4,2,-11.323714414302458,11.4287115167214,-10.749132664403543,-10.42007248913249,-10.380973877311487,12.329889688856545,-11.783961011293648
80,3,2,4,1,3,2,3,8.853213196279519,-10.33582649308775,12.19227428828578,-12.114478986444125,11.533715946253402,-9.571830144319764,11.848655506653307
81,3,3,3,2,3,3,2,8.501963156126559,-8.167357033991067,10.527197643930043,-10.563320404263797,10.913310749494878,10.58471207649902,-9.45327056864914
82,4,1,3,3,2,1,3,12.744786579017285,-12.645877026195143,9.69111569946193,10.097762856528691,-9.801404798888717,-11.094159856326067,10.572388946204986
83,2,2,3,2,3,2,2,-10.027136976189334,-12.631737144260242,12.92942300588137,-12.89953030162719,12.598186892177917,-12.000638959665801,-12.34899848314264
84,1,4,1,4,4,1,4,-11.92198784259941,11.20221247086835,-11.349899464154413,10.847910513204837,11.873200706921281,-12.044105741582092,12.256030989979054
85,4,2,3,1,4,3,2,11.935112574359112,-10.677456732415282,12.173168789737042,-12.827934517704303,12.823125677298556,12.880569029171609,-11.735750706989908
86,2,3,3,2,2,3,2,-11.298010235987208,12.666468735199372,12.733154693483934,-12.416548698999573,-11.879223609044086,13.406438439571032,-12.940134450266099
87,1,3,1,4,1,4,4,-13.22136524784351,9.431510343425014,-11.168074890181332,12.398580794212913,-12.467901668455093,11.773820057431992,12.295555522110767
88,4,1,3,2,4,1,4,13.668360667974552,-13.934013962855849,12.455592291445367,-12.445939328873466,13.402504907817399,-13.591578070348113,12.641904035933624
89,2,3,3,2,3,2,3,-9.058762092834387,10.919311216911108,8.812455635428265,-8.12437042054978,10.902347785138325,-11.138390530628092,10.826525534584139
90,3,1,3,3,3,3,2,12.830717688638146,-13.143892287187489,10.49022956463117,11.206693350708957,11.915115222488392,13.479860742055408,-13.031270963755539
91,1,1,4,3,3,1,3,-13.107938702787255,-9.828092390880167,11.449220171926134,10.80343326751672,11.30006662334275,-12.094344497110136,10.819851397478903
92,2,3,4,1,3,3,2,-11.903058894528321,10.73812080372372,13.672654387878834,-13.409088020109362,11.136514331665383,12.932915660576459,-11.754835775645454
93,1,4,1,4,1,4,1,-13.599788356721275,13.246954520096386,-13.57562747199306,13.813729359795694,-13.715584656575762,13.820549590323234,-13.731717821579918
94,4,4,4,1,4,2,2,10.156430412466966,13.660131693949621,14.956123238718401,-15.017184540974277,13.497223413814448,-11.885074875234967,-13.265557622106568
95,4,1,3,3,2,3,4,11.244049604754705,-11.53441405457159,8.496556977383877,10.521763110533046,-10.479278551020755,10.67161737470786,12.590188242837131
96,2,4,2,2,2,3,3,9.939046289267631,14.295327354887553,-14.099048236679439,-9.786413503827784,-12.985114930186707,12.033094962063704,11.473099302536665
97,1,3,1,4,1,4,1,-14.402652560176398,14.105192376669445,-14.628586775651518,15.066886492574051,-15.020020054106661,14.360267982224931,-14.38576133110521
98,2,2,3,1,4,2,4,-11.576282793490494,-10.060955538587674,12.531720678959877,-13.08271024098066,12.568782398245213,-11.235345137021751,13.30538079565612
99,2,2,3,3,2,2,3,-11.421688429348396,-10.590534480257551,11.000195389257472,12.121569229616057,-12.88404784291825,10.168797482425388,13.444599282524855
100,4,4,1,1,1,4,1,10.824453556271344,11.942637707524277,-11.987619782917683,-10.37593523088019,-9.503119814663762,11.642819550387289,-11.476958116766783
101,1,3,4,1,3,2,2,-11.513582396100801,10.605477263515654,11.55335163884302,-11.64521395109274,10.550981225838829,7.646388783289736,-10.107094210227334
102,2,4,3,2,4,1,2,-12.084658320009636,12.787193677830247,10.728559106546898,-12.48932997274675,13.618736005335931,-13.430270833831255,-11.439478618095773
103,1,3,2,4,1,3,2,-10.991693261103496,10.706545794625244,-10.530000274481367,11.991267366653444,-12.124722946817469,10.10399690422515,-8.381273145222595
104,2,2,1,4,2,4,2,7.696516887021383,-10.66900685844366,-12.239892132995356,11.843768752216072,-11.611778959716721,11.748563635719247,-11.561798015680022
105,3,2,3,3,2,3,3,12.399028729075093,-11.784630649446772,11.339582891504708,11.251053773965156,-12.777443072266086,12.148767125868991,10.576263626556319
106,4,3,2,3,3,2,2,11.497830073554562,11.71441693146123,-11.41475444895252,11.48442833381313,10.667122128658407,-9.813950417211368,-10.563248267990613
107,2,3,4,3,2,3,1,-9.274361978273731,10.233039588592598,12.493995459843056,13.068722917889199,-12.404247347400212,11.811938920104309,-13.25427300552764
108,3,3,3,2,3,2,2,10.288681811308285,11.603434752151816,11.482521719184792,-11.971521441416334,11.876012443236618,-11.816809716253994,-10.680038107277506
109,2,2,3,1,4,2,2,-11.957094588541544,-11.893208677785669,12.08665174613964,-13.187653032261816,11.53782069764232,-10.710484901094311,-8.622935560341277
110,3,3,2,2,2,3,3,11.371194281384447,10.536767918865374,-11.21839978198309,-12.124478568101699,-10.29374774668287,11.468157591226996,10.788642985494544
111,1,4,1,4,1,2,4,-11.4994607443753,12.522193405155072,-12.315312650957228,11.818236414372185,-11.895829470994926,-7.139096632926062,11.208547926630883
112,2,3,3,2,3,3,1,-12.931499447554208,11.77988314098314,10.892000282806876,-11.987786032141642,11.90740177232428,13.49707701999914,-13.779815906129247
113,3,3,2,1,4,2,3,12.438322633777736,10.334862869460276,-11.540841444880757,-12.453457896409335,12.5164842290318,-11.779824108246439,10.92849531644139
114,3,1,4,3,3,1,3,11.05588044099708,-12.328686123766897,11.181069079442016,11.07070456775016,11.096467834525178,-12.175692579698296,9.215576798362644
115,4,1,3,2,3,2,2,12.971753510602142,-12.914913642382551,11.596158421404985,-10.934516104699952,11.864023659335112,-10.949157594408888,-11.852077226227907
116,4,1,2,2,3,1,4,11.979224914511798,-11.597272099591748,-9.128447226597448,-10.040078531816386,9.316249695703373,-11.041845221053318,10.741889908366407
117,1,4,1,4,3,1,1,-12.59657427327929,13.198616627108754,-13.27827006344158,13.387922261406562,11.303594577243846,-12.933184967239752,-12.43826052649659
118,2,4,3,2,3,2,2,-11.8311701360139,13.24528257870021,12.092253054652188,10.59898036754984,12.625856949693095,-13.287642974266742,-12.775680743807408
119,3,3,3,2,3,1,1,11.743653693422186,10.644711112543586,13.119101096466826,-12.910676016430534,12.594822920748971,-13.407482203825321,-12.126799836313154
120,2,3,1,3,4,1,2,-10.86244417264752,10.872607038930962,-11.452462199108401,10.377427661257158,12.77171459306571,-12.541256939169887,-10.784316537620164
121,2,1,4,2,2,3,3,-12.180907259197904,-13.518763922300911,12.76912283288275,-11.076867392999437,-12.005597464067048,11.277932178269857,12.705643174370607
122,1,3,4,1,3,2,4,-12.81082104538614,10.111092571043955,12.861916467266411,-12.712328083692302,11.471355134063607,-11.737329931081176,12.149926356403647
123,1,4,2,2,3,1,3,-12.047868953161908,12.4200111386181,-10.52767670778435,-9.868771382073874,11.927623541622685,-12.458298243700385,11.478903204633198
124,2,2,4,1,3,1,4,-10.738893377290353,-10.731277092091585,11.894340037580585,-11.664402139329688,9.788040933414315,-10.923488908122987,12.738141486920261
125,3,1,4,2,1,1,4,11.428714042162287,-11.928961074205656,11.267825520067415,-8.455538550630202,-11.38219403278781,-10.230032940096132,12.525139263164341
126,2,3,4,1,2,3,3,-10.316938103352026,8.791150131786003,14.606092830863355,-14.538424028885602,-10.46715285995518,9.887353021118104,10.703128994020695
127,4,2,1,1,4,1,4,10.997252249551751,-10.177850584193097,-10.726231445804446,-9.191308763831394,10.638149833106896,-10.558326662300392,12.356740823121424
128,2,3,3,1,2,3,1,-9.642196858693067,9.97941557640006,11.010433736348336,-11.342996674700679,-8.60597624162476,10.509277762237256,-10.89733136867588
129,3,1,4,3,3,2,3,11.568609190461148,-12.089278745916099,11.795792959607729,10.119581964788173,9.941023829195275,-8.435218491564758,10.516207851152375
130,1,4,3,2,3,1,1,-13.36741309405904,12.912465765837856,-9.505514378270059,-11.395072249757646,11.823657005177093,-13.232434553582271,-11.767128408224075
131,3,2,2,3,3,3,2,12.583302212815095,-12.64114439173816,-12.267478147269957,11.56107333114716,11.794221564880415,11.084692134243932,-11.664372971610057
132,3,2,4,2,1,3,4,9.325041329637878,-10.811008138955025,11.812304439226933,-9.554385103703769,-12.064721080017762,9.374220193877198,11.203232235409745
133,4,1,4,1,3,3,1,11.955926999415752,-12.094521789329171,13.230585163126399,-12.999207934947128,12.070486847186068,12.914919425498757,-13.279189477651652
134,4,1,4,3,3,1,4,11.984604875255945,-12.050759290614621,12.575270636159482,12.254693178352111,13.138796527509264,-13.696089506323455,12.855830597939693
135,4,1,4,1,4,1,3,12.95416768259422,-12.947418835913986,12.492313996514701,-12.672582052832313,12.395014876527952,-12.249970356050856,11.232385100630523
136,4,4,1,2,2,2,3,12.123123887156545,12.934987120848417,-13.121537394554739,8.100083326121176,-10.789713100049065,-10.756515001042839,8.545041058027618
137,2,2,2,4,1,1,1,-12.004162809560544,-10.664143560100417,-11.85623785674809,13.121046964644615,-12.986311912619911,-11.777353354800223,-11.217602643431775
138,2,1,4,4,4,1,4,-10.872707681847963,-11.162480841953151,10.622982043140421,11.438424823682725,12.261899541785594,-12.7516102772863,11.979923626226505
139,4,3,3,1,2,3,2,11.735176054165363,11.357809347422158,12.16228432461088,-12.827295315292405,-9.35748103850797,10.62653081920862,-11.074447828152492
140,3,3,3,2,3,1,2,13.474326290101782,14.044289306695946,14.81448136113216,-14.805416648154608,14.262897765221375,-14.924564006704802,-13.0951192370638
141,2,2,3,1,4,4,1,-10.287842485311504,-10.354714908924313,10.452251951628806,-11.000724953446918,10.383120459646438,12.459471230585567,-12.613939234135513
143,0,0,0,4,4,1,0,0.0,0.0,0.0,9.299158689404434,11.848647663931285,-11.923861280786467,0.0
144,3,3,3,2,2,2,1,13.056487480642677,9.519109845214471,12.216442452094283,-12.910483369703552,-13.887088916274816,-11.161801043189453,-13.345025754715378
145,4,3,2,3,1,4,1,12.836013464376725,13.283901370246918,-13.325680805458218,13.604912434917063,-13.867238364360537,14.28923173665789,-14.204732445946032
146,1,1,2,1,4,3,1,-13.398512187176003,-12.310906919711572,-9.018588639069458,-9.479823932742233,10.507300124059745,10.82680466015352,-11.166783982016897
147,3,1,2,3,3,2,3,12.698747247437126,-13.052204448529944,-10.452060058961267,11.801686509148512,12.352629493098062,-12.668358916330895,11.79805622561601
148,3,2,3,2,4,1,2,10.177255107090732,-10.714357523665248,10.333067171237927,-10.621264015542828,12.402649117662268,-12.416087779121337,-9.590736275186938
149,3,4,3,2,3,2,3,8.006703100126442,12.291159422345709,12.708771076692223,-12.272410984131035,11.335362604564413,-12.386461716332148,12.664607990160118
150,1,4,1,1,0,4,1,-10.883675301727642,10.991699120643863,-10.719589456922982,-9.557248111320263,0.0,10.670482884222007,-10.670482884222007
151,2,3,2,3,2,3,2,9.093048930051507,12.076391787941311,-13.406617071430025,11.381198147721804,-12.354708158005545,12.077803056048438,9.50982953084561
152,2,3,3,2,2,3,3,-11.5623815485127,10.068087206112267,12.20047822567072,-12.029520754295874,-10.986170580474742,11.016190486260278,9.919038064864383
153,2,3,2,4,2,2,3,-11.083180131670298,10.660133464802536,-11.165143735872597,11.680562615645968,-11.361038984311438,-8.302771661411889,11.042686123020799
154,4,3,2,3,2,2,4,12.671560532320004,11.27143945403877,-12.40952878485573,11.307104517151652,-10.576330905168081,-11.06438170484453,12.326312033502287
155,3,2,3,2,2,3,3,12.13840533016197,-11.999321702230995,11.861021372547091,-8.178548596466408,-12.286156943395168,9.867157831899027,11.81563572461018
156,3,4,2,2,4,1,3,11.464975667634404,14.898979075769264,-14.663634764790661,-11.345997627067263,15.63560165203429,-15.782867663708371,12.730180911104432
157,4,3,2,2,3,2,3,12.001988730678523,10.131036596323716,-11.10990186764619,-10.993618192518152,10.10670672296051,-9.399901688015573,10.897589741562383
158,4,3,4,1,4,2,4,10.991766988191872,9.54287004237218,12.59734737179867,-12.83460255565323,11.933421732119259,-11.311537727182804,11.818666372075329
159,4,1,4,1,4,2,3,11.702168440650059,-11.232355275492742,11.22777519184648,-11.38293517587555,10.7559845800527,-10.422506326155775,10.320791538360375
160,2,2,3,2,2,2,3,-11.98510957540293,-11.957879029629536,11.280507683354369,9.632356109240593,-10.295609707727241,-11.693730545231746,9.691820915201678
161,1,2,3,2,2,2,4,-14.815289808646291,-11.10439686311587,12.10858857508198,-11.162564486183177,-11.508661007679287,-11.074921019769016,12.188116271707036
162,1,4,2,3,2,1,4,-12.516391253354927,13.543275556313622,-13.020225055824556,11.182920705468383,-11.711817223607364,-12.694177667894941,13.79598250914228
163,3,1,4,2,3,1,4,11.499756719816967,-11.862105654626488,12.442951050823027,-10.258157498123532,11.222755214107828,-12.166919084493081,12.22850140813173
164,2,3,3,1,3,4,2,8.529554864330741,12.206638909453485,12.93046886710195,-13.536036658342049,11.690549997511338,13.002163263821007,-11.886103423847898
165,4,3,2,4,1,1,4,11.13076077357113,9.894651339116862,-10.399790935941988,13.309701801024213,-13.27386285090839,-10.752002742143773,11.6766796911076
166,4,3,4,1,3,1,4,12.636724299913999,9.208275087155759,13.178583674593094,-13.426870666433711,12.054995004725626,-12.130260806942767,13.350304913602873
167,3,2,3,3,2,4,2,10.90309201721168,-10.502871251221423,11.056001538728799,11.310240600946578,-11.175470643047259,13.062767323151483,-12.681714366662781
168,4,1,4,1,4,1,2,12.303081716105073,-12.016934463383269,12.481478506868157,-12.202922414041277,14.002144790488906,-13.485127757515256,-12.057590085365787
169,1,2,1,4,3,3,2,-11.726635374639235,-8.206520399617549,-10.068732688381498,11.21723627493395,10.974058070196778,10.005406274057231,-10.957729777853581
170,3,3,1,4,2,3,3,10.450052183041576,10.046530099784075,-11.162788088285268,11.450938950728474,-10.399354074755545,9.3735020567396,10.677710559198502
171,4,1,4,2,3,2,3,12.54633195356469,-12.392869704643685,12.252132008421047,-11.749813063770612,10.525228740918669,-11.117909851462567,10.867270051719284
172,3,2,4,1,3,3,2,12.34043983488844,-13.13898812563211,13.750438258478143,-13.523438086931412,11.468451683374902,11.486052841373521,-7.1009527981871
173,2,3,3,2,3,1,4,-9.929012421493194,10.08608780388345,10.109809122836255,-10.294361412869696,11.208248324112365,-11.686449473028912,10.853233449260037
175,2,2,3,2,3,2,3,9.986128511863505,-12.857729256117345,11.944123090732168,10.479347021748481,12.352259269543307,-12.976535996941015,12.724493806552983
176,3,4,1,2,3,2,1,10.110268335970726,12.395603356753899,-12.265624861533931,-9.871435515923794,7.974584943754721,-10.21519391096386,-10.762636740490587
177,2,1,4,2,3,3,1,-9.801964111951754,-11.827695811470562,11.525233833251429,-9.769653177190323,11.290900624299836,10.726955632981399,-12.321365441329558
178,3,3,3,2,2,3,3,11.61034676125856,-9.15243117065886,10.308892368095435,-11.86595256332411,-10.722422844366818,10.874486246313221,12.253882811613503
179,1,3,2,3,2,2,3,-13.876732242028735,13.068661573087681,-11.505299560363628,12.686383375848123,-11.215108752838336,-12.418228224408349,13.215494434190044
