CUSTNO,Moneytary_가구인테리어/잡화_고가_증감여부,Moneytary_가구인테리어/잡화_저가_증감여부,Moneytary_가구인테리어/잡화_중가_증감여부,Moneytary_가전/레저취미/멀티샵_고가_증감여부,Moneytary_가전/레저취미/멀티샵_저가_증감여부,Moneytary_가전/레저취미/멀티샵_중가_증감여부,Moneytary_교육문화/아동_고가_증감여부,Moneytary_교육문화/아동_저가_증감여부,Moneytary_교육문화/아동_중가_증감여부,Moneytary_식품/생활_고가_증감여부,Moneytary_식품/생활_저가_증감여부,Moneytary_식품/생활_중가_증감여부,Moneytary_의류/이미용_고가_증감여부,Moneytary_의류/이미용_저가_증감여부,Moneytary_의류/이미용_중가_증감여부,Moneytary_침구/주방_고가_증감여부,Moneytary_침구/주방_저가_증감여부,Moneytary_침구/주방_중가_증감여부
235,0,1,2,0,4,0,0,0,4,1,2,1,1,0,1,1,2,0
236,0,1,0,0,0,0,0,0,0,4,4,4,0,1,0,0,0,0
237,3,2,3,3,4,0,4,0,4,1,2,1,2,0,4,4,3,0
238,4,2,4,0,4,0,0,0,0,3,0,3,4,0,4,1,0,3
239,1,3,4,3,0,1,0,0,1,4,1,2,4,4,2,1,0,2
240,1,3,3,0,0,2,0,0,1,1,1,1,3,0,3,0,0,1
241,0,2,2,3,0,1,0,0,1,3,4,2,1,0,3,1,0,0
242,0,3,3,0,4,4,1,4,1,4,4,4,0,3,3,0,4,4
243,0,0,0,0,3,0,0,1,4,3,1,3,0,4,4,0,1,0
245,0,2,1,1,4,4,0,0,0,3,2,3,4,1,4,2,4,3
246,1,1,3,3,0,2,0,0,1,1,4,4,4,4,3,0,0,4
247,1,2,0,0,0,0,0,0,0,2,1,3,3,3,4,0,4,0
248,0,2,1,0,1,4,0,4,1,4,4,3,4,3,1,3,2,2
249,1,4,2,3,0,3,0,0,0,2,4,2,2,4,2,2,0,1
250,4,1,4,2,0,2,0,0,4,1,4,3,1,4,3,1,0,2
251,0,2,1,0,0,4,0,0,3,1,4,1,2,4,4,4,0,0
252,0,1,0,0,0,0,0,0,4,1,4,3,4,0,1,3,4,1
253,0,1,4,3,0,1,0,0,2,1,0,2,2,0,4,1,0,3
254,3,4,0,1,0,1,0,0,0,2,0,3,3,0,1,3,2,1
255,3,2,2,4,0,1,0,0,1,1,4,3,4,0,3,0,1,0
256,3,1,1,1,4,4,0,0,2,3,3,2,1,4,1,1,2,1
257,0,4,4,0,1,0,1,1,4,2,3,3,0,4,0,0,2,0
258,2,1,0,4,0,0,0,0,0,4,2,1,3,1,1,0,4,4
259,0,2,4,0,1,1,0,4,0,4,3,2,0,2,4,0,2,0
260,0,2,0,0,1,0,0,0,1,4,3,2,0,2,1,0,1,0
261,0,3,3,0,0,4,0,0,4,3,4,4,4,4,4,0,0,0
262,0,2,1,0,0,0,0,0,2,3,4,3,4,0,1,1,0,1
263,0,1,0,0,0,0,4,4,0,3,1,1,0,1,0,0,2,0
264,0,4,0,0,0,0,0,0,0,4,3,3,4,4,3,0,3,4
265,1,3,4,2,0,4,0,0,1,1,4,4,3,0,3,1,4,1
266,4,1,2,0,0,0,0,0,0,4,1,1,1,1,2,0,1,2
267,4,3,4,0,0,1,0,1,2,3,1,2,2,2,3,4,1,2
268,4,4,4,3,0,2,2,1,4,4,4,2,4,1,1,3,1,4
269,1,4,0,0,1,1,0,0,1,4,2,4,2,3,1,0,3,1
270,0,2,0,0,1,0,0,4,1,4,4,2,1,1,0,0,4,0
271,0,4,0,1,0,1,0,0,1,3,0,2,3,4,4,3,0,2
272,1,4,3,0,3,1,4,4,1,4,4,3,1,2,3,4,2,4
273,2,1,1,0,0,4,0,2,4,4,1,4,4,1,3,2,0,4
274,0,4,0,0,0,0,0,4,0,4,4,3,0,4,0,0,3,0
275,1,4,4,0,0,4,0,1,1,2,2,2,1,1,4,4,2,1
276,0,2,0,0,1,0,0,0,0,3,3,4,0,0,0,0,3,0
277,0,4,3,1,0,4,0,0,2,3,2,1,2,1,3,0,2,3
278,0,0,0,0,3,0,0,0,0,1,3,2,0,0,0,0,1,0
279,1,1,4,0,0,1,0,0,4,3,4,2,2,0,1,4,0,2
280,4,3,3,4,0,2,0,0,0,3,4,1,3,0,2,4,0,4
281,0,4,4,4,1,1,4,0,1,1,3,2,4,1,1,1,2,3
282,3,4,3,4,0,0,0,0,0,2,1,2,1,0,3,1,0,0
283,3,1,4,4,0,3,0,0,4,2,0,3,3,1,1,0,0,0
284,0,4,0,0,4,0,0,4,0,4,4,1,0,3,1,0,0,0
285,0,4,0,0,2,1,0,4,4,2,2,3,2,1,1,0,0,0
286,0,2,4,4,0,4,0,1,0,3,2,3,4,4,1,4,4,4
287,0,0,0,0,0,3,0,4,2,3,2,2,0,2,1,0,2,0
288,0,1,1,0,0,0,0,0,1,3,4,3,3,2,3,0,2,1
289,0,3,0,0,0,1,2,2,1,3,1,2,1,1,2,0,1,0
290,0,3,0,0,4,0,4,4,3,1,2,3,0,3,4,0,1,1
291,0,1,0,0,0,0,0,1,0,3,3,3,4,2,1,0,1,0
292,4,4,4,4,0,2,0,0,4,3,0,2,2,1,2,1,0,2
293,0,1,0,1,0,1,0,0,0,3,1,1,2,1,1,1,2,1
294,3,4,4,4,4,4,0,0,1,3,4,4,4,0,3,4,0,4
295,2,3,1,1,0,4,0,0,0,3,4,4,1,0,1,3,0,4
296,0,2,1,1,0,4,0,0,0,3,1,1,2,0,3,3,1,1
297,1,2,2,2,3,4,0,0,4,2,4,4,2,0,3,1,1,1
298,3,4,3,0,4,2,0,0,1,2,4,2,4,4,4,1,1,1
299,0,1,1,0,1,1,0,0,0,4,4,4,1,0,1,0,1,1
300,0,2,0,0,1,2,1,2,4,4,4,2,0,4,1,0,2,0
301,4,3,0,4,0,4,0,1,0,3,2,2,1,2,4,0,3,2
302,0,3,4,0,4,0,0,0,4,4,1,4,3,0,2,3,4,3
303,0,0,0,0,0,4,0,0,0,3,3,3,4,2,4,0,2,0
304,4,4,0,2,0,0,0,0,0,4,3,2,0,0,1,1,3,0
305,3,2,1,4,3,3,0,0,2,2,1,3,1,0,1,1,1,1
306,0,4,2,1,0,2,0,4,1,1,0,3,2,1,2,4,0,1
307,2,3,4,0,0,3,0,0,2,3,4,2,3,4,2,4,3,2
308,4,1,1,4,0,1,0,0,1,4,1,3,4,0,3,4,0,1
309,1,1,3,0,0,3,2,0,1,3,0,1,4,0,4,1,0,3
310,0,1,0,0,0,0,2,0,0,2,1,1,0,4,2,0,1,1
311,3,2,1,0,0,4,0,0,0,4,1,3,3,0,0,4,1,4
312,0,3,2,0,4,0,0,2,1,4,3,2,0,1,0,0,3,0
313,4,4,1,2,0,1,0,1,2,4,2,4,2,4,4,2,2,1
314,3,3,2,0,0,1,0,0,4,2,4,3,4,0,2,4,0,3
315,4,2,3,1,4,1,4,4,3,4,4,2,4,0,3,1,4,1
316,4,1,0,4,0,1,0,3,4,2,3,4,4,0,1,1,3,1
317,1,2,2,0,4,2,0,0,1,3,2,2,4,4,1,3,4,4
318,1,4,0,0,0,1,0,0,3,1,1,2,4,0,1,1,0,4
319,4,1,2,1,0,1,0,0,1,4,0,3,2,0,2,1,0,3
320,4,1,0,1,0,1,0,0,2,4,4,2,1,4,2,4,0,3
321,1,2,1,4,0,4,0,0,0,2,3,2,4,1,1,3,4,4
322,0,4,1,0,0,4,0,2,4,1,2,2,4,4,4,4,1,1
323,3,1,1,2,0,2,4,4,2,2,1,3,2,2,1,1,2,2
324,1,1,2,3,2,3,2,4,3,4,4,4,3,4,3,4,2,4
325,1,1,0,0,0,2,0,0,1,1,1,2,3,4,2,1,0,1
326,4,1,0,1,0,4,0,4,1,2,4,3,1,3,4,3,4,4
327,0,2,2,3,0,2,0,0,3,4,4,3,4,1,1,1,0,1
328,0,2,1,2,0,1,0,0,3,1,0,1,4,1,1,0,0,0
329,4,1,1,4,0,0,0,0,0,1,1,2,1,1,4,1,4,4
330,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,1
331,0,1,0,0,1,0,0,0,0,3,3,3,1,3,1,4,3,0
332,1,1,4,3,0,4,0,4,4,3,3,3,3,4,1,3,3,2
333,4,2,4,0,1,1,0,0,0,3,4,3,3,1,1,4,3,4
334,0,4,2,4,0,3,0,0,4,3,0,4,2,0,1,1,0,1
335,2,1,1,1,0,1,0,0,4,2,1,1,4,0,1,1,0,1
336,0,2,0,0,0,2,0,4,1,2,1,2,0,2,2,0,4,0
337,0,2,1,3,1,2,0,0,4,3,1,4,2,1,3,0,1,4
338,0,1,0,0,0,4,0,3,2,1,2,2,0,1,1,0,1,4
339,0,1,0,0,0,2,0,1,0,3,1,1,0,1,1,0,2,1
340,1,1,4,0,0,0,0,0,0,4,0,2,3,4,4,1,0,3
341,4,2,4,1,0,1,4,0,2,4,4,4,2,0,3,2,0,4
342,0,2,0,0,2,0,0,0,0,3,3,3,0,3,0,0,1,0
343,1,4,0,1,0,2,0,0,0,2,4,2,3,1,1,1,0,1
344,0,3,1,0,0,4,0,0,0,3,3,3,4,1,3,2,1,4
345,2,2,2,0,0,0,0,0,0,3,4,4,4,4,4,2,4,4
346,0,2,0,0,0,3,0,0,0,3,0,4,1,0,2,4,0,1
347,4,2,4,0,2,4,4,3,3,2,3,4,2,1,1,0,1,3
348,0,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,2,0
349,1,2,4,4,0,4,4,3,3,1,3,1,2,3,3,2,4,1
350,0,4,0,1,0,0,1,4,0,4,1,3,0,1,2,1,4,0
