CUSTNO,Frequency_가구인테리어/잡화_고가_증감여부,Frequency_가구인테리어/잡화_저가_증감여부,Frequency_가구인테리어/잡화_중가_증감여부,Frequency_가전/레저취미/멀티샵_고가_증감여부,Frequency_가전/레저취미/멀티샵_저가_증감여부,Frequency_가전/레저취미/멀티샵_중가_증감여부,Frequency_교육문화/아동_고가_증감여부,Frequency_교육문화/아동_저가_증감여부,Frequency_교육문화/아동_중가_증감여부,Frequency_식품/생활_고가_증감여부,Frequency_식품/생활_저가_증감여부,Frequency_식품/생활_중가_증감여부,Frequency_의류/이미용_고가_증감여부,Frequency_의류/이미용_저가_증감여부,Frequency_의류/이미용_중가_증감여부,Frequency_침구/주방_고가_증감여부,Frequency_침구/주방_저가_증감여부,Frequency_침구/주방_중가_증감여부
95,0,3,0,0,1,1,0,4,4,1,2,1,0,1,2,0,1,0
96,1,2,0,1,0,2,0,0,0,3,0,4,2,0,1,1,0,1
97,3,1,0,3,1,3,0,0,0,2,1,1,4,1,3,3,1,3
98,4,4,0,0,0,2,0,0,2,3,2,2,4,4,3,0,3,0
99,2,1,2,1,1,0,0,0,1,2,1,4,3,4,3,3,1,2
100,4,4,3,4,0,2,0,0,0,3,4,4,4,4,4,2,1,1
101,0,1,0,0,0,0,0,0,0,4,4,2,4,0,4,0,4,0
102,2,2,0,1,2,4,0,0,0,3,3,2,3,4,3,1,4,4
103,0,4,0,0,0,4,0,0,0,4,3,4,0,0,3,0,3,0
104,0,2,0,0,0,0,0,0,0,1,1,3,0,2,3,0,4,0
105,0,3,4,0,0,2,0,0,0,3,2,1,0,2,1,4,3,4
106,1,2,4,2,0,1,0,0,1,2,0,1,2,0,2,0,0,0
107,4,2,4,0,0,1,0,0,4,4,1,1,2,0,3,4,0,2
108,0,3,4,0,4,2,4,0,4,4,2,4,2,4,4,0,0,4
109,0,4,0,0,4,0,0,4,0,3,2,3,0,2,4,0,1,0
110,0,4,0,4,4,3,0,4,2,3,4,4,2,1,4,3,4,4
111,0,2,0,0,0,4,0,0,0,4,2,2,0,2,0,0,4,1
112,0,4,4,0,0,1,0,0,3,4,2,4,4,2,4,1,4,0
113,2,4,3,4,4,2,4,2,2,2,3,2,3,1,4,2,1,3
114,0,1,0,1,0,1,0,0,0,1,4,2,1,1,1,0,1,4
115,2,4,1,0,0,4,0,0,0,1,4,1,2,0,1,4,4,0
116,0,3,0,0,1,0,0,0,0,2,2,2,1,0,3,0,1,0
117,4,4,0,4,0,4,0,0,0,4,4,2,4,1,0,4,2,4
118,2,1,4,2,0,2,0,0,1,4,0,3,2,0,4,4,0,0
119,2,4,1,0,4,2,0,0,4,2,2,1,4,2,1,1,1,3
120,4,2,2,0,0,4,0,0,0,4,4,4,2,0,3,4,4,2
121,4,4,0,0,0,0,0,0,1,3,4,3,0,0,1,0,4,0
122,0,2,0,1,0,1,2,4,4,3,4,4,1,1,3,3,2,3
123,0,4,0,0,0,0,0,4,1,4,3,3,0,4,1,0,3,0
124,1,4,2,0,0,3,0,0,4,3,4,4,2,2,3,0,4,0
125,4,1,0,4,0,4,0,0,0,1,1,1,2,4,1,0,2,4
126,0,2,0,1,4,0,0,1,0,3,3,3,0,2,4,0,1,4
127,0,1,3,0,0,4,0,0,0,2,4,2,4,4,2,0,4,3
128,0,1,0,0,1,0,0,0,0,4,3,1,0,1,4,0,4,0
129,0,1,0,0,1,0,2,3,1,1,2,3,1,2,0,0,1,0
130,1,2,3,0,0,4,0,0,1,4,4,2,3,0,4,1,0,2
131,2,3,3,1,0,1,0,0,0,1,4,4,1,2,3,4,1,3
132,0,4,0,0,0,0,0,4,0,1,2,3,0,3,0,0,1,0
133,0,4,4,4,2,3,0,4,0,1,1,2,4,1,4,3,3,1
134,3,0,3,1,0,4,0,0,4,1,4,3,3,0,4,3,0,3
135,0,4,0,1,0,3,0,0,4,1,0,1,2,0,4,0,4,0
136,0,4,4,4,0,1,1,0,2,1,0,1,4,0,1,4,0,1
137,1,1,0,3,0,4,4,4,2,1,1,3,4,4,4,4,4,3
138,0,0,4,0,3,2,0,0,0,1,4,3,2,4,4,0,3,4
139,2,3,1,0,0,3,0,4,0,4,2,3,2,1,4,2,2,2
140,3,1,1,3,1,3,0,0,4,3,4,3,3,4,4,3,2,4
141,0,2,0,0,2,0,0,0,0,1,2,1,0,0,1,0,3,0
143,0,4,0,0,3,0,4,3,0,0,3,3,0,3,4,0,3,0
144,3,3,0,0,2,4,4,4,4,4,3,3,3,4,4,0,3,3
145,2,2,1,3,0,0,0,0,1,2,4,3,3,1,2,3,0,1
146,2,1,3,0,0,3,0,0,4,1,0,1,3,0,2,2,0,1
147,2,3,1,1,2,2,0,2,2,2,4,2,4,3,2,0,2,3
148,0,0,0,0,0,4,0,0,0,2,3,4,0,4,4,0,4,0
149,4,4,4,0,0,4,0,0,0,4,4,4,2,0,4,3,1,0
150,0,1,1,0,1,0,0,3,0,4,4,4,1,2,1,0,3,1
151,1,2,2,1,0,2,0,0,1,1,3,2,1,2,2,2,1,2
152,0,3,2,3,0,2,0,0,1,3,3,2,4,0,3,3,4,2
153,0,3,1,0,0,4,0,0,0,2,2,3,2,0,0,0,1,4
154,1,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,4,0
155,0,3,3,0,0,4,0,0,0,3,0,2,2,1,3,3,0,4
156,3,1,4,3,0,2,0,0,1,3,0,2,3,0,3,3,0,2
157,0,4,4,1,0,3,0,0,0,3,1,2,1,0,2,0,0,0
158,0,1,4,0,0,0,0,0,1,3,4,3,4,0,4,4,4,4
159,1,0,2,0,0,2,0,0,1,1,4,4,3,0,2,3,0,4
160,1,2,4,0,2,3,0,0,0,3,1,1,4,4,2,2,3,4
161,3,4,1,4,0,4,0,0,4,2,1,1,2,1,4,4,0,1
162,0,3,2,4,0,1,0,0,4,4,2,4,2,1,3,0,1,4
163,0,4,1,0,4,0,0,0,3,1,3,3,1,4,4,0,1,0
164,3,1,2,0,0,1,0,0,0,4,3,4,0,0,1,4,1,1
165,3,0,1,1,4,2,0,0,3,3,2,1,2,0,3,1,0,3
166,0,1,1,1,4,2,2,1,3,2,1,1,2,2,1,4,1,3
167,0,3,1,0,0,0,0,0,0,1,0,1,3,0,2,4,0,0
168,2,1,3,2,0,1,0,0,4,1,3,1,2,4,1,3,0,1
169,0,2,0,0,4,1,0,0,0,3,2,3,4,2,1,1,4,0
170,0,4,0,0,1,0,0,0,0,4,3,2,1,1,4,0,2,3
171,0,2,1,0,0,4,0,4,0,1,2,2,3,4,4,1,0,4
172,0,1,4,1,0,2,2,0,2,2,4,2,3,1,1,1,2,1
173,0,3,0,0,1,0,0,0,4,3,2,3,4,1,1,0,3,0
175,4,2,0,0,2,0,0,2,0,1,2,3,0,1,3,0,2,0
176,0,1,0,0,3,0,0,0,0,3,3,4,0,4,0,1,3,4
177,0,4,2,2,0,2,0,0,4,1,1,1,2,0,1,1,0,2
178,0,2,1,0,0,0,0,0,0,2,2,3,0,1,2,0,1,1
179,0,3,3,4,0,1,0,0,0,2,1,1,4,1,4,0,1,0
180,1,3,0,0,0,0,0,0,0,1,0,2,2,0,1,3,0,1
181,0,2,0,0,0,2,0,0,2,1,0,2,1,0,3,3,0,4
182,4,3,3,2,0,4,0,0,1,3,4,3,3,0,3,0,0,0
183,0,4,0,0,0,0,1,1,4,3,2,3,0,1,0,0,2,0
184,2,1,4,1,0,0,0,0,1,1,1,2,1,0,2,1,4,3
185,0,1,0,0,4,4,0,4,4,3,4,4,0,3,4,0,2,4
186,1,1,1,4,0,1,4,0,1,1,2,1,2,2,1,1,4,4
187,0,1,4,0,0,1,0,0,0,1,1,1,1,0,3,0,3,3
188,0,4,0,0,4,0,4,0,0,4,3,3,0,4,4,0,4,0
189,3,3,3,4,0,2,0,1,1,3,0,3,3,0,4,4,0,4
190,0,1,1,1,0,4,0,0,4,4,0,4,2,0,2,4,0,0
191,2,3,2,2,0,2,0,0,1,4,4,4,4,2,4,1,0,1
192,3,2,1,0,4,0,0,0,0,2,4,3,2,1,3,3,2,1
193,0,2,0,0,2,0,0,3,2,1,1,1,0,1,0,0,1,1
194,0,1,2,0,4,4,0,0,0,1,4,4,0,3,2,0,3,4
195,0,4,0,0,0,4,0,0,0,4,4,3,0,2,0,0,4,0
196,4,3,1,0,4,1,0,4,1,1,3,3,2,4,1,3,4,3
197,0,3,2,0,1,2,0,2,4,4,4,4,3,2,1,3,4,1
198,4,3,0,1,0,2,0,0,0,2,2,2,4,4,1,0,4,3
199,0,2,0,4,0,2,0,2,0,2,2,4,0,4,2,0,3,0
200,0,3,1,0,0,0,0,0,0,1,1,4,3,2,4,0,1,0
201,4,1,3,4,0,1,0,0,0,2,4,4,3,0,1,3,4,4
202,2,4,3,1,0,4,0,0,1,1,4,4,3,0,1,2,4,3
203,0,4,0,0,0,0,0,0,0,4,3,3,0,2,1,0,2,1
204,0,4,3,0,2,4,0,2,1,2,1,1,4,1,2,0,2,0
205,0,4,4,0,0,0,0,2,0,3,2,3,2,3,2,4,3,4
206,3,1,0,0,0,4,0,4,4,2,1,4,4,3,4,0,3,4
207,0,4,0,0,0,4,0,3,0,4,4,4,0,4,3,0,2,0
208,1,1,3,2,0,2,0,0,0,1,4,1,3,0,3,0,0,0
209,3,4,2,0,0,4,0,0,1,1,4,4,4,4,2,1,3,4
210,0,1,0,0,0,1,0,2,0,3,3,4,2,2,4,0,4,3
211,4,3,0,0,0,0,0,0,0,2,1,3,4,4,0,0,0,0
212,4,2,0,0,0,1,0,0,0,4,2,3,4,0,4,0,4,0
213,0,1,0,4,0,0,0,3,1,3,2,3,1,1,1,0,3,3
214,0,2,1,1,1,1,0,0,4,2,3,2,1,0,3,1,4,3
215,1,1,2,0,1,3,0,4,0,4,1,4,2,2,2,0,3,1
216,0,4,0,0,4,0,0,1,0,4,3,1,3,1,3,4,1,0
217,0,3,0,0,1,1,0,0,3,2,4,2,1,0,4,4,4,1
218,3,2,3,4,0,2,1,1,3,2,2,2,2,0,3,4,0,0
219,0,2,2,0,4,2,0,0,3,2,4,4,1,0,3,1,0,0
220,0,1,0,0,4,0,0,1,4,2,1,2,0,1,0,0,3,0
221,0,4,0,0,1,0,0,1,1,2,4,3,1,4,3,0,4,1
222,1,2,3,4,0,1,2,0,2,2,4,4,2,4,3,3,4,3
223,0,1,2,4,0,1,0,0,0,3,4,4,4,0,3,2,0,1
224,4,4,1,1,0,1,0,0,4,2,0,2,4,0,2,2,0,1
225,4,1,4,4,0,2,0,0,0,1,1,1,1,0,1,3,1,2
226,0,4,0,0,1,1,0,0,0,3,1,2,0,4,0,1,1,0
227,0,1,0,0,2,0,0,0,0,2,3,3,0,2,0,0,4,0
228,0,4,0,0,3,4,1,4,4,1,1,2,0,3,3,0,4,0
229,0,3,3,2,0,4,0,0,4,4,4,3,1,0,2,3,0,4
230,0,3,4,0,0,0,0,0,1,4,4,4,1,1,1,1,0,0
231,0,0,0,0,0,4,0,0,0,3,2,2,0,2,3,0,1,4
232,0,4,4,0,1,2,0,0,1,1,4,3,0,4,1,0,0,0
233,4,1,4,0,4,4,0,0,0,3,2,2,0,0,0,0,4,0
234,0,3,0,0,0,4,0,4,2,1,1,1,4,0,3,2,4,4
235,0,3,2,0,0,1,0,0,0,2,1,1,3,0,4,4,4,1
236,0,1,0,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0
237,2,3,4,2,0,0,0,0,1,4,4,4,2,1,4,1,3,0
238,0,4,3,0,0,0,0,0,0,2,0,1,1,0,4,4,0,4
239,2,1,1,2,0,4,0,0,2,2,2,1,1,1,1,2,1,4
240,1,2,4,0,0,3,0,0,3,2,4,4,1,0,2,0,0,3
241,0,4,4,4,0,4,0,0,2,3,0,3,4,0,4,4,0,0
242,0,3,4,0,3,1,4,1,1,1,3,3,0,1,4,0,1,1
243,0,1,0,0,3,1,0,4,1,1,4,2,0,1,0,0,4,0
245,0,3,3,4,1,1,0,0,0,3,4,3,4,4,1,3,1,3
246,3,1,3,3,0,2,0,0,4,4,0,3,2,0,4,0,0,1
247,3,4,0,0,0,0,0,0,0,2,4,3,2,4,4,0,0,0
248,0,2,4,0,4,0,0,1,1,1,1,2,1,2,3,1,4,2
249,2,1,4,2,0,1,0,0,0,2,4,4,2,0,4,4,0,4
250,1,3,3,3,0,4,0,0,4,3,1,2,2,0,1,4,0,3
251,1,2,2,1,0,4,0,0,3,3,1,1,2,0,1,1,0,1
252,0,4,0,1,0,0,0,0,0,4,1,2,4,0,3,4,0,4
253,1,4,2,2,0,4,0,0,2,4,0,3,3,0,1,3,0,3
254,3,3,0,3,0,4,0,0,0,3,1,4,1,0,2,4,4,4
255,1,2,2,3,0,1,0,0,3,3,1,2,1,1,2,1,4,0
256,3,1,2,4,0,1,0,0,3,3,3,2,1,1,3,4,2,3
257,0,2,1,0,3,0,4,2,0,2,2,2,0,1,1,0,3,0
258,2,4,0,1,0,1,0,0,0,1,4,3,2,4,3,1,0,1
259,1,4,1,0,4,3,0,0,0,1,3,3,0,3,1,0,3,0
260,0,2,0,0,2,0,0,0,4,3,2,2,0,1,1,0,3,1
261,1,1,2,0,0,1,0,0,1,1,4,3,1,0,1,1,0,1
262,0,2,3,0,0,1,1,0,1,2,1,1,1,1,1,2,0,4
263,0,4,0,0,1,0,0,4,0,3,3,4,0,1,1,0,2,1
264,0,1,0,0,1,0,0,0,0,3,1,2,0,2,4,0,1,0
265,4,1,1,3,0,3,0,0,2,4,4,1,1,0,2,4,4,3
266,0,2,4,0,0,0,0,0,0,1,4,2,4,4,3,1,4,3
267,0,1,0,0,0,4,0,4,3,3,2,2,1,2,2,1,4,4
268,1,1,3,2,0,2,4,4,3,4,1,4,0,1,3,2,4,3
269,3,2,0,1,2,4,0,0,3,2,2,1,1,1,4,0,2,3
270,0,3,1,0,4,1,0,1,4,1,2,2,4,2,0,0,1,0
271,1,1,1,2,0,2,0,0,2,1,0,1,2,0,1,2,0,2
272,4,1,4,0,2,2,1,1,3,3,2,3,2,2,1,1,4,1
273,4,2,2,0,0,1,0,4,3,1,4,4,4,4,1,2,0,2
274,0,1,0,0,0,0,0,4,0,1,1,1,0,1,0,0,2,0
275,4,2,1,0,0,0,0,4,1,2,3,4,1,4,1,1,2,2
276,0,1,0,0,4,0,0,0,0,2,1,2,0,1,0,0,4,0
277,1,3,4,2,1,1,0,0,4,4,2,3,2,4,2,1,4,4
278,0,0,0,0,4,0,0,0,1,4,4,4,1,1,0,0,4,0
279,4,4,1,1,0,4,0,0,1,3,0,4,4,0,4,1,0,3
280,1,4,2,3,0,4,0,0,1,1,0,1,3,0,4,0,1,1
281,0,1,0,2,4,2,0,0,4,1,1,1,1,4,4,3,4,2
282,4,3,4,1,0,1,0,0,1,2,1,1,3,1,2,2,1,0
283,2,4,1,4,0,2,0,0,1,1,0,3,1,4,4,0,0,0
284,0,0,0,0,3,0,0,1,0,0,4,3,0,4,4,0,0,0
285,0,1,0,0,4,4,0,0,1,4,4,2,4,4,4,1,0,1
286,0,2,0,1,0,0,0,2,0,2,2,4,2,1,4,4,4,0
287,0,0,0,0,1,2,0,0,3,1,1,1,0,1,3,0,3,0
288,1,1,4,0,0,0,0,0,2,3,4,4,3,4,4,0,4,4
289,0,1,0,0,0,3,2,4,2,3,4,4,2,4,1,0,4,0
290,0,1,0,0,1,0,0,0,3,4,4,4,0,3,0,0,4,4
291,0,4,0,0,1,0,0,2,0,2,1,1,0,4,4,0,4,0
292,1,1,3,1,0,2,0,0,0,3,0,2,3,4,4,4,0,3
293,0,2,1,4,0,2,0,0,0,4,3,2,4,4,4,3,3,3
294,2,4,3,0,0,3,0,0,4,4,1,4,0,0,4,0,0,0
295,3,4,3,3,0,1,0,0,0,4,0,2,1,0,2,3,0,1
296,0,2,2,4,0,2,0,0,0,2,4,2,3,0,1,1,4,4
297,4,1,2,2,2,2,0,0,1,3,1,1,2,1,3,3,3,4
298,4,1,1,0,1,2,0,0,3,2,1,1,1,1,4,2,1,3
299,0,2,4,1,4,2,0,0,0,3,1,2,3,0,2,1,4,4
300,0,2,1,0,4,3,2,2,2,2,1,2,0,1,4,0,2,1
301,1,1,0,0,0,1,0,4,0,4,4,3,2,4,2,0,4,4
302,0,2,2,0,0,0,0,0,1,2,2,2,3,0,4,2,1,2
303,0,1,0,0,0,1,0,1,0,3,2,2,1,1,1,1,1,0
304,4,4,0,4,0,1,0,0,0,4,4,4,0,0,3,4,4,0
305,4,2,2,1,3,2,0,1,3,4,2,2,4,0,3,2,3,3
306,0,2,4,4,0,2,0,0,3,3,0,2,3,4,3,1,0,3
307,3,1,1,0,0,3,0,0,3,2,4,3,2,4,1,1,4,3
308,4,2,3,1,0,2,0,0,4,1,4,2,1,1,1,1,0,2
309,3,3,3,1,0,1,4,0,4,3,1,2,4,0,1,3,0,3
310,0,1,1,0,0,1,2,0,1,3,4,2,1,1,3,0,3,4
311,2,2,3,0,0,0,0,0,1,1,1,1,2,1,1,0,2,0
312,0,2,4,0,1,0,0,4,4,1,3,3,0,2,0,0,2,0
313,1,2,2,3,1,4,1,2,3,1,3,3,3,1,2,3,3,4
314,2,4,2,0,0,3,0,0,4,2,0,1,3,0,2,1,0,1
315,2,2,2,3,1,3,0,0,2,3,2,2,1,1,1,3,1,4
316,0,1,0,0,1,4,0,4,2,4,2,3,1,1,4,2,1,4
317,4,3,3,1,0,2,0,0,4,2,1,1,1,1,4,2,3,0
318,4,1,0,0,0,4,0,0,1,2,1,2,1,0,4,3,0,4
319,0,4,3,4,0,2,0,0,2,1,0,1,4,0,1,3,0,4
320,4,4,1,2,0,4,1,1,2,1,1,2,4,0,3,1,0,2
321,4,3,3,1,0,1,0,0,0,4,3,4,1,2,2,4,3,0
322,0,1,3,0,0,0,0,2,0,1,2,3,4,2,1,0,3,4
323,4,1,3,1,0,4,0,1,2,3,2,1,2,3,1,2,2,4
324,4,2,4,1,2,2,4,1,4,4,1,1,2,2,1,3,1,3
325,2,2,1,0,0,4,0,0,4,2,2,2,2,1,1,2,1,4
326,1,2,1,3,0,1,0,0,1,4,4,3,1,4,1,3,0,1
327,1,4,3,3,0,4,0,0,4,2,4,4,4,2,4,3,0,4
328,0,3,2,3,0,4,0,0,3,2,0,1,4,4,3,0,0,0
329,1,1,3,0,0,0,0,0,0,4,3,2,3,1,1,3,1,0
330,0,1,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,4
331,0,4,0,1,4,1,0,0,0,2,3,3,1,1,2,0,3,1
332,2,4,0,3,0,1,0,0,1,3,3,4,1,1,4,4,3,3
333,0,4,1,1,4,3,0,0,0,2,1,2,4,4,1,1,4,1
334,0,1,1,1,0,2,0,0,1,3,0,1,3,1,1,2,0,3
335,4,3,3,4,0,2,0,0,0,2,4,3,1,0,3,4,0,2
336,0,4,0,0,2,2,0,1,2,4,4,2,0,4,1,1,2,0
337,0,4,4,3,3,2,0,0,4,1,1,4,4,4,4,0,4,0
338,0,4,0,0,1,0,0,1,2,4,2,2,0,2,2,0,2,0
339,0,4,1,0,1,3,0,4,1,3,3,2,0,2,2,0,3,4
340,4,4,1,0,0,0,0,0,0,1,1,1,2,1,2,4,0,2
341,1,1,0,4,0,4,0,0,4,4,0,4,4,0,4,4,0,4
342,0,4,0,0,3,0,0,0,0,2,3,2,0,2,1,0,3,0
343,2,1,1,2,0,4,0,0,1,2,1,1,2,4,2,3,0,4
344,0,4,4,0,0,2,0,0,0,2,2,2,4,4,1,4,4,0
345,3,2,2,0,0,1,0,0,0,1,1,1,1,0,1,4,0,1
346,0,4,0,0,0,4,0,0,0,2,0,2,4,0,4,1,0,3
347,1,3,0,1,3,1,0,3,4,3,1,2,2,3,4,0,4,1
348,0,3,0,0,1,0,0,0,0,2,3,4,0,0,0,0,4,0
349,2,2,1,1,1,1,1,3,2,1,4,1,3,3,1,4,1,3
350,0,4,1,3,0,1,4,1,0,4,4,3,1,2,3,3,1,1
351,2,2,2,0,4,1,0,0,1,2,4,2,1,4,2,1,4,2
