CUSTNO,변동폭_Monetary_가구인테리어/잡화_고가_등급,변동폭_Monetary_가구인테리어/잡화_저가_등급,변동폭_Monetary_가구인테리어/잡화_중가_등급,변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,변동폭_Monetary_교육문화/아동_고가_등급,변동폭_Monetary_교육문화/아동_저가_등급,변동폭_Monetary_교육문화/아동_중가_등급,변동폭_Monetary_식품/생활_고가_등급,변동폭_Monetary_식품/생활_저가_등급,변동폭_Monetary_식품/생활_중가_등급,변동폭_Monetary_의류/이미용_고가_등급,변동폭_Monetary_의류/이미용_저가_등급,변동폭_Monetary_의류/이미용_중가_등급,변동폭_Monetary_침구/주방_고가_등급,변동폭_Monetary_침구/주방_저가_등급,변동폭_Monetary_침구/주방_중가_등급,절대변동폭_Monetary_가구인테리어/잡화_고가_등급,절대변동폭_Monetary_가구인테리어/잡화_저가_등급,절대변동폭_Monetary_가구인테리어/잡화_중가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,절대변동폭_Monetary_교육문화/아동_고가_등급,절대변동폭_Monetary_교육문화/아동_저가_등급,절대변동폭_Monetary_교육문화/아동_중가_등급,절대변동폭_Monetary_식품/생활_고가_등급,절대변동폭_Monetary_식품/생활_저가_등급,절대변동폭_Monetary_식품/생활_중가_등급,절대변동폭_Monetary_의류/이미용_고가_등급,절대변동폭_Monetary_의류/이미용_저가_등급,절대변동폭_Monetary_의류/이미용_중가_등급,절대변동폭_Monetary_침구/주방_고가_등급,절대변동폭_Monetary_침구/주방_저가_등급,절대변동폭_Monetary_침구/주방_중가_등급
58,1,0,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,-2,0,2,2,2,0,4,0,6,0,0,2,2,0,4,4,0,2,2,0,4
59,2,0,2,0,0,0,0,0,0,-1,0,-1,2,-1,0,1,-1,-2,4,0,2,0,0,0,0,0,0,2,0,0,4,0,0,4,0,2
60,0,-4,0,0,-1,-3,0,1,1,2,0,0,-1,5,0,2,-1,0,0,6,0,0,2,2,0,8,2,6,2,0,6,8,2,4,4,0
61,1,-2,2,0,0,0,0,0,0,2,-2,2,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,2,2,2
62,0,1,-1,-1,0,-1,-1,0,2,1,0,1,3,1,2,0,-3,0,0,2,0,2,0,0,4,2,10,4,2,2,4,0,2,0,2,6
63,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0
64,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1,1,0,0,-1,0,2,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2,0
65,-1,0,0,0,-1,1,0,0,0,3,-1,0,1,0,2,-2,2,4,0,0,0,4,0,4,0,0,0,2,0,2,4,4,2,4,2,4
66,0,2,0,0,-2,-1,0,2,0,-1,1,-1,-1,-2,1,0,-1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,2,2,0,0
67,0,1,0,0,0,0,0,0,0,-1,0,0,-1,-2,1,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
68,0,4,0,2,0,0,-1,-2,2,-1,0,-1,-1,1,2,0,1,1,8,8,0,2,0,0,0,0,6,0,0,2,6,2,2,0,2,4
69,0,0,0,0,1,0,0,0,0,1,1,-1,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,4,2,0,2,0,0,4,0
70,0,0,-2,-3,2,2,0,0,2,1,1,0,0,0,-1,0,0,1,4,2,0,0,4,2,0,0,4,2,0,0,0,0,0,0,0,2
71,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-2,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
72,0,0,0,0,-3,0,0,-2,0,-1,0,-1,1,1,1,0,-1,3,0,2,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,6
73,0,-3,1,1,0,2,0,-1,0,1,-1,0,2,0,1,3,0,0,0,10,6,0,2,4,0,0,8,6,2,0,8,12,2,2,0,10
74,3,0,1,0,0,3,0,0,2,0,0,-1,1,-1,2,2,3,2,4,2,2,0,0,2,0,0,4,0,0,2,2,4,2,0,6,4
75,0,3,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
76,2,-2,-1,0,0,-1,0,1,1,-1,0,1,-1,0,0,0,1,0,4,6,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2
77,3,2,-2,0,0,1,0,0,0,1,0,0,2,-1,-1,0,1,0,4,2,10,0,0,2,0,0,4,0,2,0,2,2,0,0,4,0
78,0,-3,0,-1,0,-5,0,0,0,-2,0,-4,2,-6,-1,-3,-1,-1,0,6,6,0,0,10,0,0,0,6,0,4,0,2,0,4,2,2
79,0,-3,0,0,2,1,2,1,0,0,-1,-1,-1,2,0,0,-1,0,0,4,0,0,6,2,4,2,2,2,4,2,2,4,2,0,0,0
80,0,-2,0,0,0,-1,0,0,0,-1,-1,-1,0,2,-1,1,0,1,0,2,0,0,2,0,0,0,0,0,2,2,4,2,0,2,0,2
81,1,4,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,2,4,6,0,0,0,0,0,4,0,0,2,2,2,2,2,0,0
82,-3,2,0,2,0,1,0,3,1,2,0,0,1,-2,-2,-1,1,2,8,2,2,0,0,2,4,6,6,6,0,2,0,0,0,0,4,4
83,2,-3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,0,2,0,0,0,0,0,2,0,2,4,2,4,0
84,0,0,-1,0,0,-3,0,0,0,1,-1,0,3,0,1,1,0,-2,0,0,6,4,8,10,0,0,4,2,2,4,4,2,2,4,0,4
85,0,-4,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
86,-3,2,5,0,0,3,0,0,0,-2,-1,0,1,-1,2,0,-3,-1,0,6,10,0,0,6,0,4,2,0,2,0,0,0,2,0,6,4
87,-2,-2,0,6,0,-5,0,0,0,0,1,1,-3,0,0,-1,0,-1,0,0,0,2,0,2,0,0,6,8,0,2,0,0,0,10,0,4
88,0,1,0,0,1,0,0,-1,0,2,-1,1,4,-2,0,1,-4,-2,4,4,4,4,2,0,0,0,0,2,2,2,2,0,0,4,2,4
89,0,0,-2,0,0,2,0,-1,0,0,2,0,3,2,1,4,1,0,0,4,0,0,0,0,0,0,0,0,4,2,4,4,4,8,4,4
90,-4,-3,-2,-3,0,-2,0,-7,3,2,-1,0,-3,-1,-1,-4,-4,-1,0,4,4,2,0,4,0,0,6,2,0,2,0,0,0,2,0,2
91,0,1,0,0,1,-1,0,0,-2,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,2,6,0,0,2,0,4,2,2,2
92,-3,1,-1,0,0,-3,-2,0,1,-3,1,0,0,-2,0,2,3,-1,2,2,4,4,4,0,0,2,4,2,0,0,2,0,0,2,0,2
93,0,2,5,0,0,1,0,0,0,3,0,2,0,0,2,0,0,0,6,6,4,0,0,2,0,0,6,6,0,0,0,0,2,0,0,0
94,0,-5,0,-4,0,-1,0,1,-2,-6,0,-3,0,0,-3,-1,7,-2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0
95,-1,1,0,0,2,1,0,0,0,1,0,1,-2,0,-1,0,2,0,0,0,0,0,4,2,0,0,2,2,0,0,2,2,2,0,6,2
96,2,2,0,3,0,1,0,0,0,-1,0,0,2,0,2,1,0,2,4,4,0,0,0,6,0,0,0,0,0,0,4,0,6,2,0,0
97,-2,2,-4,0,-1,-5,0,0,-5,4,0,-1,-2,2,0,0,1,1,2,4,6,0,4,10,0,0,4,0,2,8,4,6,2,0,0,2
98,-2,0,0,0,0,2,0,0,1,-1,1,1,-1,0,0,-1,2,-2,0,4,2,0,0,4,0,0,4,0,0,2,0,2,2,2,0,6
99,-2,0,4,0,3,0,0,0,2,0,0,1,0,0,-1,1,2,3,2,4,0,6,6,0,0,0,4,0,0,0,2,4,0,6,0,4
100,0,-2,2,0,0,6,0,0,-3,0,0,-2,-1,0,-2,3,1,0,0,6,6,0,0,12,0,0,2,0,2,0,6,6,2,4,2,2
101,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,2,6,0,0,0,4,0
102,0,-3,-2,-1,1,2,0,0,0,-2,1,1,2,-2,1,-4,-3,-2,4,8,2,4,2,6,0,0,0,2,0,0,4,2,0,8,2,4
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0
104,0,1,0,0,0,0,-1,0,0,2,2,2,-4,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,2,0
105,0,1,0,0,-2,0,-2,-1,0,1,0,1,0,-1,1,-2,1,0,0,2,0,0,2,4,0,0,0,2,0,2,0,2,2,0,2,0
106,1,3,-1,1,0,1,0,0,2,0,-1,2,-1,0,0,-1,0,0,4,2,2,0,0,2,0,0,4,2,2,6,0,0,2,0,0,0
107,0,-3,-4,-1,0,0,0,0,-3,-2,1,-1,0,0,1,0,-1,1,4,2,4,10,0,0,0,0,4,0,2,0,8,0,0,4,2,4
108,0,-1,-1,0,-2,1,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0
110,0,0,-2,-1,0,3,-2,-3,0,0,0,-2,0,-1,2,1,-2,-2,0,0,0,0,0,4,0,4,0,0,0,4,6,0,2,2,4,0
111,0,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4
112,0,-2,-5,0,0,-2,0,-1,1,-1,-1,0,0,2,-2,6,-2,0,10,4,2,0,0,6,0,0,2,4,0,0,2,4,4,12,0,0
113,-1,1,1,-4,-2,0,0,2,2,0,1,0,-2,3,-1,1,0,-3,2,4,6,2,2,4,2,0,2,2,0,2,2,2,4,0,4,0
114,0,-2,0,0,0,1,0,0,-2,2,0,0,2,1,0,0,2,0,2,2,0,2,0,2,0,0,0,2,2,2,6,2,2,0,2,0
115,2,-1,-1,-3,0,-3,0,0,0,2,0,1,-1,0,0,-4,0,-2,8,2,4,0,0,0,0,0,2,4,2,4,0,0,0,2,0,0
116,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,2,0,2,0,0,0,2,2,6,2,2,2,2,0,0,4
117,-2,0,0,1,0,-1,0,0,0,1,0,0,-1,1,0,-6,-1,0,0,2,0,4,0,0,0,0,0,4,2,6,2,2,10,0,2,0
118,1,-1,-3,0,0,-2,0,0,2,-3,0,0,0,0,-2,1,0,-2,4,4,6,0,0,4,0,0,0,2,0,0,6,0,2,2,0,2
119,4,-1,-1,0,0,1,0,0,-3,-2,0,2,-1,1,0,2,2,0,10,2,4,2,0,0,0,0,0,2,0,4,2,2,4,10,4,2
120,0,0,1,0,0,-2,0,0,0,0,0,1,0,-2,0,-3,0,1,4,6,2,0,0,0,0,0,0,2,0,0,0,0,2,4,2,8
121,0,-3,0,0,0,0,0,0,-2,1,-1,-2,0,-1,1,-3,-1,-1,4,0,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,4
122,0,1,0,3,-2,1,0,-4,-1,-2,1,0,0,0,0,0,4,-1,0,6,0,6,0,0,4,4,0,4,2,0,2,2,2,6,4,4
123,0,-1,0,0,0,0,0,-6,3,-2,-1,-1,0,0,1,0,2,0,0,2,0,0,2,0,0,0,6,4,2,4,0,4,2,0,4,0
124,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-5,0,0,4,2,0,6,2,2,0,0,0,0,2,0,4,2,2,10,0,2
125,0,-2,0,0,0,0,0,-1,0,1,0,2,2,0,0,0,3,0,4,0,0,2,0,2,0,0,0,2,0,2,4,0,4,2,4,2
126,-2,1,0,1,-2,-1,0,1,0,-5,0,0,-4,1,-5,0,1,0,0,0,0,2,0,2,0,2,0,0,0,2,8,4,6,4,2,0
127,0,1,1,0,0,-1,0,0,0,0,-1,1,0,0,1,0,-2,1,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4
128,0,1,0,0,2,0,0,0,0,-1,-1,0,0,3,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0
129,0,3,0,0,-1,0,2,2,1,0,0,-1,1,2,0,0,2,0,0,6,0,0,2,0,4,2,2,0,0,0,2,2,0,0,2,0
130,3,-1,3,0,0,1,0,0,1,-1,-1,-1,-1,0,1,3,-1,2,2,2,2,0,0,0,0,0,0,4,2,0,0,0,2,8,0,4
131,0,2,1,2,0,3,0,0,0,3,2,2,1,1,1,0,-1,0,2,2,2,4,4,4,0,0,0,2,2,2,2,0,6,4,2,2
132,0,-1,0,0,-2,0,0,-1,0,0,-3,-1,0,-1,-2,0,5,0,0,0,0,0,12,0,0,2,0,0,0,0,4,0,2,0,6,0
133,0,1,0,0,1,1,0,-2,0,-1,0,2,0,0,0,0,-2,2,0,2,0,0,2,2,0,0,0,2,0,0,0,4,2,4,0,4
134,1,-2,3,4,0,-3,0,-3,0,-1,-2,0,3,0,0,-4,-1,0,0,6,6,2,0,2,0,0,8,2,2,0,6,0,4,0,0,8
135,0,-2,0,1,0,2,0,0,0,1,-1,0,4,0,1,0,0,-2,0,0,0,2,0,4,0,0,0,4,2,2,10,0,2,0,0,2
136,0,-5,-2,-2,0,2,1,0,0,1,-1,1,-1,0,0,2,0,2,0,0,0,0,0,10,2,0,4,4,0,2,4,0,4,6,0,4
137,1,3,0,2,0,0,0,0,-2,1,1,0,1,0,-1,1,-1,2,4,2,8,4,0,2,0,0,2,2,2,2,4,2,8,0,4,0
138,-3,-4,0,-1,1,0,0,-1,0,0,-1,0,2,-1,-2,-3,3,2,6,4,0,0,2,4,0,0,0,2,2,2,0,2,2,0,6,2
139,0,-1,-1,0,0,1,0,0,-1,-2,-1,-2,1,-1,0,3,2,1,2,2,0,0,0,2,0,0,0,2,0,6,4,2,2,2,2,0
140,0,3,0,1,3,1,0,0,0,-1,0,0,-1,0,-3,-1,1,0,2,2,0,2,6,2,0,2,0,2,0,0,4,0,6,0,2,2
141,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0
143,0,-2,0,0,2,0,0,-1,-1,0,-1,0,0,-1,0,0,2,-1,0,4,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
144,2,3,0,0,0,0,0,0,0,0,0,0,4,-1,2,0,-1,6,4,6,0,0,2,0,0,0,0,0,0,0,8,2,6,0,2,12
145,1,-1,-1,-3,0,-5,0,0,3,0,-1,-2,-1,1,0,-2,-3,-3,2,2,4,2,0,8,0,0,6,2,4,0,0,4,2,6,0,6
146,0,-3,-2,0,0,1,0,0,0,2,0,1,-3,0,3,3,0,5,0,4,4,0,0,2,0,0,4,4,0,0,2,0,0,2,0,12
147,-2,1,0,2,2,0,0,0,1,2,0,2,-1,0,1,-1,2,-4,2,0,2,6,2,4,0,4,0,2,0,0,4,4,0,0,0,2
148,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,-1,3,0,0,0,-1,0,0,0,-3,0,0,-1,-1,0,0,1,-2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2
150,-1,0,0,0,0,0,0,1,0,-1,1,0,2,2,1,0,2,0,0,2,2,0,0,0,0,2,2,2,2,0,4,8,4,0,4,2
151,5,-1,3,4,0,0,-3,0,1,1,0,2,3,1,0,5,1,6,10,0,6,10,0,6,0,0,2,0,0,0,2,6,2,10,2,12
152,-1,-1,-1,2,0,1,0,0,1,-1,1,2,1,0,-1,1,-1,0,0,6,2,4,0,4,0,0,2,2,0,2,2,0,0,2,0,2
153,0,-2,1,-2,0,-2,0,0,0,0,0,1,1,0,-4,0,1,0,0,4,2,0,0,0,0,0,4,2,0,0,0,0,2,0,2,0
154,5,0,0,0,0,-1,0,0,0,1,0,1,1,0,1,0,0,-1,2,4,4,0,0,0,0,0,0,6,0,2,2,0,4,2,2,0
155,0,-3,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0,0,0,6,2,6,0,0,0,0,0,0,0,0,4,2,2,2,0,6
156,1,2,-2,2,0,2,0,0,-1,-1,-1,1,0,0,0,0,0,2,2,4,4,4,0,2,0,0,4,0,0,4,2,0,0,6,0,6
157,0,-1,0,-1,0,1,0,0,0,0,0,1,1,0,0,-1,-1,0,4,4,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0
