,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
43,7,7,7,7,7,7,7,6,7,4,3,3,7,3,3,7,3,7
44,2,4,1,7,7,4,7,7,7,2,3,2,1,4,2,2,4,7
45,3,3,3,5,7,4,6,6,7,5,4,3,1,5,3,6,4,7
46,3,3,6,5,7,3,7,7,7,4,5,3,3,7,3,3,7,7
47,6,3,6,7,3,6,7,4,4,2,3,3,4,3,3,6,4,6
48,3,1,3,6,7,3,7,7,6,5,4,3,1,7,3,3,3,3
49,4,3,3,7,7,7,7,7,6,3,7,4,1,7,4,4,7,6
50,7,1,7,7,6,3,7,3,2,1,3,2,3,3,3,5,1,3
51,7,2,7,6,7,1,7,4,3,1,3,3,3,3,4,1,1,6
52,4,1,3,7,3,2,7,7,3,3,5,2,3,6,3,3,6,4
53,2,3,7,2,6,6,7,7,7,4,4,2,4,7,3,3,7,6
54,7,2,5,7,7,7,7,7,7,2,6,3,4,7,4,7,7,7
55,7,3,7,7,4,6,7,7,7,2,2,4,7,2,6,7,2,7
56,6,3,7,3,7,6,7,7,2,4,6,3,2,7,3,1,6,7
57,6,4,7,7,3,7,7,6,7,4,2,4,7,3,6,7,3,7
58,3,3,6,7,7,3,7,7,4,1,7,4,3,7,2,6,7,6
59,6,6,6,7,7,7,7,7,7,3,4,2,3,4,6,5,4,6
60,7,3,7,7,4,3,7,6,6,2,3,2,4,3,4,5,4,7
61,6,4,5,7,1,6,6,6,6,3,3,4,4,3,3,6,4,3
62,7,3,6,1,7,2,5,7,3,3,4,3,6,5,1,7,4,7
63,7,2,7,7,7,7,7,7,7,1,7,4,3,7,6,7,7,7
64,7,7,7,7,7,7,7,2,6,5,3,2,7,4,6,7,1,4
65,6,3,7,7,6,4,7,6,7,3,4,3,3,4,1,2,4,3
66,7,5,7,7,4,6,7,7,7,2,2,2,3,3,4,2,3,7
67,7,3,6,7,6,7,7,7,7,3,2,2,6,3,4,7,4,2
68,4,4,1,3,7,7,6,5,4,2,4,4,3,5,2,3,6,3
69,7,2,7,7,1,7,7,6,7,1,1,1,7,3,7,7,2,7
70,3,4,4,5,7,3,7,7,7,3,5,2,6,7,2,7,7,7
71,7,7,7,7,7,7,7,4,6,4,3,3,7,3,7,7,3,4
72,7,3,1,7,3,7,7,3,4,3,3,3,7,2,5,7,3,7
73,2,3,2,2,7,1,7,6,1,4,5,5,2,7,2,2,7,3
74,3,4,2,7,7,2,7,7,6,4,5,4,3,3,2,3,4,6
75,7,3,7,7,7,7,7,7,7,5,4,1,4,6,6,7,6,6
76,6,3,3,7,7,1,7,7,6,3,4,4,4,4,3,3,7,2
77,5,3,3,7,7,1,7,5,2,3,4,4,4,3,3,7,3,7
78,2,3,3,2,6,4,7,7,7,2,4,3,1,4,4,2,5,3
79,7,4,7,7,2,6,7,6,2,4,3,3,6,3,4,7,3,6
80,7,4,7,7,4,7,7,7,7,1,2,1,3,4,5,6,4,4
81,3,4,3,4,6,7,7,7,6,3,5,3,2,6,3,5,7,3
82,4,3,4,5,7,6,5,6,3,3,3,2,1,3,4,4,1,2
83,7,3,3,5,7,4,7,7,7,1,4,2,1,5,3,3,4,7
84,7,4,3,3,7,3,7,7,7,5,5,5,4,3,4,5,6,2
85,7,3,6,7,7,7,7,7,7,1,7,3,3,6,4,4,7,3
86,6,3,1,7,6,6,7,3,4,2,3,2,3,3,3,7,3,3
87,6,5,6,6,7,3,7,7,6,4,5,4,6,7,3,3,7,2
88,7,3,3,2,4,3,7,6,7,2,3,3,4,6,6,3,4,3
89,7,3,6,7,3,4,7,5,7,3,2,1,6,4,3,4,2,3
90,3,4,5,3,7,4,7,6,7,3,4,4,3,2,3,3,6,3
91,7,1,7,7,7,6,7,7,3,4,5,3,5,7,5,7,7,6
92,6,2,3,7,6,2,2,3,1,2,3,3,2,3,2,3,2,2
93,2,4,3,7,7,4,7,7,6,4,6,5,1,7,2,6,7,7
94,6,1,3,3,7,4,7,7,5,1,4,3,1,7,2,6,1,1
95,6,4,7,7,6,7,7,4,6,3,3,2,3,2,3,7,2,7
96,7,1,7,7,7,5,7,7,7,2,7,4,3,7,4,7,7,7
97,3,4,1,1,3,1,7,7,4,4,4,4,2,5,5,1,4,2
98,5,4,6,7,7,5,7,7,4,1,5,3,3,3,3,3,6,4
99,2,3,4,3,6,6,6,7,6,1,4,3,1,5,1,2,5,2
100,5,4,5,6,7,5,7,7,4,4,5,3,2,2,3,3,7,4
101,7,4,7,7,7,7,7,7,7,3,4,3,2,7,6,7,1,7
102,2,3,4,5,4,4,7,7,7,2,2,1,3,3,3,4,2,3
103,7,5,7,7,6,6,7,7,7,4,3,4,7,7,6,7,3,7
104,7,5,7,7,7,7,6,7,7,4,2,1,3,4,5,7,3,6
105,7,5,5,7,3,4,1,3,7,2,3,3,7,3,7,3,3,1
106,6,2,3,2,7,3,7,7,5,3,5,4,2,6,3,3,6,6
107,1,2,2,6,7,1,7,7,4,2,4,3,1,7,3,3,6,5
108,7,2,3,7,5,3,6,7,5,2,5,3,4,6,3,6,7,2
109,7,6,7,7,6,7,7,6,7,3,2,1,7,5,6,7,7,7
110,7,2,1,5,6,2,3,3,4,1,4,3,2,6,4,6,4,3
111,7,6,7,7,7,6,7,7,7,5,1,3,7,4,7,7,3,7
112,7,3,2,7,7,3,7,6,5,3,4,3,2,4,2,6,4,7
113,2,2,3,4,5,3,5,4,2,2,4,3,3,3,2,2,6,2
114,6,3,7,5,7,4,7,7,6,4,4,3,4,5,3,6,7,1
115,3,2,4,6,7,5,7,7,7,3,4,4,3,7,4,3,6,4
116,7,3,7,7,7,7,7,7,7,3,1,3,6,6,5,7,7,7
117,3,2,7,2,7,3,7,7,7,2,3,3,5,1,7,3,3,1
118,3,3,2,3,7,2,7,7,6,1,6,4,1,7,1,5,7,3
119,3,1,2,7,1,2,7,7,2,2,4,3,2,6,2,2,6,3
120,3,2,1,7,7,3,7,7,7,4,4,3,1,6,1,4,5,2
121,5,3,7,6,7,7,2,7,2,2,4,2,3,6,3,6,4,6
122,7,2,6,3,6,4,4,3,1,3,4,4,4,5,3,2,4,4
123,7,2,6,7,7,7,7,3,5,2,2,2,7,3,7,7,3,2
124,7,2,2,7,7,4,7,7,6,3,4,4,3,5,3,1,6,7
125,2,3,7,5,7,6,7,6,7,3,5,4,5,4,4,7,5,3
126,3,6,6,7,4,6,7,7,7,3,3,1,2,3,3,7,7,5
127,6,3,6,7,7,3,7,7,7,5,4,3,5,5,3,7,3,2
128,7,5,7,7,6,7,7,7,7,4,3,3,7,3,6,7,1,7
129,7,6,7,7,2,7,6,3,7,2,3,3,7,4,7,7,4,7
130,1,2,2,7,7,2,7,7,2,2,4,3,1,7,2,6,6,3
131,2,1,4,7,6,1,7,7,6,2,3,3,3,6,3,2,1,2
132,7,5,7,7,6,7,7,3,7,2,1,1,6,2,3,7,1,7
133,7,3,6,5,6,5,7,3,7,3,4,3,5,3,3,4,3,7
134,2,3,2,7,7,2,7,1,4,3,3,4,3,6,2,1,6,2
135,7,3,7,7,7,6,7,7,6,3,5,3,4,7,3,7,6,2
136,7,3,4,4,7,3,7,7,1,3,5,4,2,7,3,3,7,7
137,2,3,6,3,7,4,6,6,2,3,3,3,3,5,3,2,4,3
138,2,3,6,3,4,1,7,6,7,5,4,4,3,5,3,3,3,2
139,2,3,1,7,6,6,7,6,6,3,3,3,2,3,3,2,3,3
140,2,3,6,3,7,2,7,7,6,2,4,3,1,6,4,2,6,4
141,7,2,7,7,2,7,7,7,7,5,2,3,7,6,7,7,4,7
143,7,3,7,7,1,7,6,3,6,6,3,3,7,4,3,7,3,6
144,6,1,7,7,1,6,1,1,2,1,1,1,4,3,4,7,1,6
145,4,3,1,2,7,2,7,7,7,3,5,5,4,6,3,2,6,2
146,2,2,2,7,7,3,7,7,3,5,7,5,3,7,2,5,7,5
147,3,3,3,3,3,3,7,3,5,2,3,3,3,3,3,2,2,2
148,7,6,7,7,7,6,7,7,7,2,2,2,7,5,6,7,3,7
149,4,5,6,7,7,4,7,7,6,2,4,3,2,6,3,3,7,6
150,6,5,1,7,6,7,7,2,7,5,2,1,3,3,6,7,2,6
151,7,3,3,4,7,2,6,7,4,1,4,3,4,5,3,4,5,6
152,6,3,3,5,7,4,7,7,7,3,3,3,3,7,2,3,4,3
153,7,2,7,1,7,4,7,7,6,3,4,2,5,7,1,7,7,6
154,7,7,7,7,7,6,7,7,7,5,4,3,4,7,6,7,6,6
155,3,2,5,7,7,5,7,7,7,2,6,4,2,6,1,5,7,4
156,5,3,3,3,7,2,7,7,3,3,4,4,2,7,2,4,7,3
157,7,3,4,5,7,4,7,7,7,2,4,3,3,7,3,6,6,7
158,7,3,6,7,7,7,7,7,3,3,3,3,4,7,5,6,4,6
159,3,6,5,6,7,3,3,6,2,4,5,5,2,6,2,5,6,3
160,6,2,1,7,3,4,7,7,7,2,4,3,5,4,4,5,4,3
161,2,3,2,4,7,3,7,7,2,3,6,5,1,7,3,1,7,4
162,1,2,3,4,6,1,7,6,2,2,4,4,1,5,3,2,5,2
163,7,5,7,7,3,7,7,7,5,2,2,2,7,3,5,7,4,7
164,2,7,5,2,7,3,7,7,7,2,4,3,3,6,3,5,4,4
165,4,5,2,6,6,2,7,7,4,4,5,5,2,5,1,1,7,5
166,6,3,6,7,5,3,3,2,2,3,4,4,3,4,3,2,4,3
167,1,3,3,7,7,7,7,7,7,3,3,4,3,6,3,3,7,3
168,6,3,3,3,3,4,3,7,2,3,4,4,3,3,5,3,3,6
169,7,5,7,7,6,7,7,6,7,5,3,4,4,4,7,7,1,7
170,7,1,7,7,7,7,7,2,7,4,3,3,6,3,3,7,2,5
171,7,3,7,7,7,4,7,6,7,2,4,3,4,4,3,3,7,4
172,7,3,6,7,7,3,6,7,6,1,4,3,4,5,4,7,4,6
173,7,4,7,7,6,7,7,6,6,3,2,2,1,2,7,7,4,3
175,4,4,7,7,1,6,7,4,6,1,2,3,7,3,5,7,1,6
176,7,7,7,7,3,7,7,7,3,3,2,2,7,6,7,7,3,6
177,7,2,1,3,7,5,7,7,3,5,5,5,1,6,3,3,7,3
178,7,5,5,7,7,3,6,7,7,3,3,2,7,4,4,7,3,2
179,6,2,3,3,7,6,6,6,3,1,4,3,1,5,2,7,6,7
180,3,2,7,7,7,7,7,7,7,3,7,4,1,7,6,4,7,7
181,6,2,3,3,6,4,7,7,4,3,4,4,1,7,2,4,7,4
182,6,2,3,3,7,4,7,6,7,1,4,3,2,4,4,5,4,3
183,7,4,7,7,7,7,7,3,4,1,2,2,7,3,6,7,3,7
184,6,4,4,7,7,2,2,6,3,3,5,5,3,1,3,3,1,3
185,7,4,2,7,3,6,7,6,2,3,3,2,7,2,6,7,1,4
186,1,4,7,6,7,2,3,7,4,2,4,4,3,4,4,3,4,3
187,7,2,2,7,7,3,7,7,7,3,4,4,6,7,2,6,4,2
188,7,4,6,7,4,7,6,6,7,2,2,1,7,6,3,7,1,7
189,3,2,2,3,7,4,7,7,3,1,3,3,1,6,3,2,7,2
190,6,2,6,7,7,3,7,7,6,2,7,3,3,7,3,5,7,2
191,3,4,4,4,7,2,7,7,7,4,6,5,1,4,1,2,7,3
192,3,5,5,6,6,7,7,6,7,2,3,1,2,2,4,1,3,3
193,7,4,7,7,4,7,7,4,6,3,3,3,7,3,7,7,3,7
194,7,3,5,7,3,6,7,7,7,3,2,3,5,1,3,7,4,6
195,7,5,7,7,6,6,7,7,7,4,3,4,7,2,7,7,3,6
196,4,2,3,6,4,3,7,3,5,2,3,3,3,3,2,3,3,2
197,6,3,2,3,2,4,7,5,2,3,4,4,2,3,3,4,3,2
198,6,2,7,4,7,3,7,6,7,2,3,3,5,3,3,1,3,5
199,6,5,7,6,6,3,6,5,7,4,3,1,7,3,3,7,3,7
200,7,3,7,7,7,7,7,7,7,4,2,3,2,5,4,5,3,1
201,4,2,3,2,7,6,7,7,1,2,5,4,1,6,2,2,5,3
202,3,1,1,3,7,2,7,7,3,2,2,2,1,3,2,2,5,3
203,7,2,7,7,7,7,7,4,7,3,3,3,7,2,7,7,3,7
204,7,4,4,7,5,3,7,6,7,2,2,2,5,3,1,7,4,7
205,7,5,6,7,6,7,7,6,7,2,3,2,4,3,3,4,2,2
206,6,4,7,7,6,3,7,4,4,1,3,3,4,3,3,2,2,5
207,7,5,7,7,6,6,7,4,7,5,3,3,7,3,6,7,4,7
208,2,4,1,2,7,1,7,7,7,3,5,5,2,4,1,1,7,7
209,4,3,4,6,7,3,7,7,6,3,4,3,4,6,2,6,2,4
210,7,3,7,7,6,7,7,3,7,3,3,1,6,3,4,6,3,2
211,3,2,7,7,7,7,7,7,3,3,6,3,5,6,7,7,6,7
212,6,3,7,7,7,6,7,7,7,1,1,2,6,7,5,7,4,7
213,7,3,3,3,2,6,7,3,3,1,1,1,3,3,4,3,1,2
214,7,3,7,6,7,7,7,7,4,1,3,3,4,7,3,3,3,2
215,7,3,5,7,1,5,7,3,6,3,2,2,4,3,3,6,3,3
216,7,4,6,7,5,7,7,7,7,3,3,2,6,3,5,5,4,7
217,7,3,7,7,6,3,7,6,3,3,5,4,6,7,5,5,6,7
218,2,3,2,4,7,2,7,7,2,3,5,4,1,7,3,2,7,4
219,7,3,3,7,3,3,4,3,3,2,3,3,3,4,2,6,1,7
220,7,6,7,7,3,7,3,3,4,2,3,3,7,2,7,7,1,6
221,7,4,4,7,2,7,7,3,4,3,3,3,6,3,4,7,3,6
222,3,3,3,4,7,3,4,7,3,4,3,4,2,3,3,3,4,5
223,1,4,4,3,7,7,7,7,7,3,6,4,2,7,4,2,7,3
224,3,5,3,1,7,2,7,6,3,5,5,4,3,6,2,4,7,7
225,3,3,6,2,7,1,7,6,7,4,4,5,1,6,4,2,7,2
226,7,3,7,7,6,6,7,7,6,4,3,3,7,5,7,3,2,3
227,7,2,7,7,4,7,7,7,7,3,2,2,7,3,7,7,4,7
228,7,5,7,7,4,6,6,4,6,3,3,4,7,2,6,7,2,7
229,6,2,4,3,7,2,7,7,6,2,6,4,3,7,4,4,7,3
230,7,1,5,7,7,3,7,7,6,2,5,4,7,7,4,6,7,4
231,7,6,7,7,7,6,7,7,7,4,2,1,7,3,4,7,1,6
232,7,3,6,7,2,6,7,7,7,4,1,2,7,6,3,7,6,7
233,3,7,6,6,6,6,7,7,7,3,3,2,7,5,7,6,3,7
234,1,3,6,7,7,6,7,6,1,4,4,3,4,7,3,4,5,3
235,6,3,4,7,1,7,7,7,6,3,4,4,3,7,3,4,4,6
236,7,2,7,7,7,7,7,7,7,4,3,3,7,6,7,7,6,7
237,3,2,5,4,6,7,3,7,3,3,4,3,1,7,3,6,3,6
238,6,2,5,7,5,7,7,7,7,2,7,4,4,6,3,2,7,3
239,3,2,3,3,7,3,7,7,3,3,5,4,3,6,3,4,7,3
240,6,1,2,7,7,2,7,7,2,3,6,3,3,7,3,7,7,2
241,7,2,3,4,7,3,7,7,4,2,6,4,4,7,1,5,7,7
242,7,3,3,7,1,6,3,6,2,4,3,3,7,3,5,7,3,3
243,7,7,7,7,3,7,7,6,3,4,3,3,7,3,1,7,1,7
245,7,1,6,6,6,6,7,7,7,1,3,2,4,6,4,4,3,3
246,4,5,2,2,7,3,7,7,5,3,4,4,3,6,3,7,7,2
247,5,1,7,7,7,7,7,7,7,1,4,2,2,3,3,7,6,7
248,7,3,6,7,5,3,7,6,3,2,3,3,3,3,3,5,2,3
249,5,3,2,3,7,3,7,7,7,3,5,4,3,6,3,3,7,2
250,6,3,3,2,7,2,7,7,3,3,4,4,1,4,3,3,7,5
251,7,4,4,6,7,3,7,7,4,4,5,4,2,6,3,3,7,7
252,7,2,7,1,7,7,7,7,6,3,4,3,3,7,4,4,6,4
253,7,4,4,2,7,2,7,7,3,4,6,5,3,7,3,3,7,2
254,2,1,7,6,7,2,7,7,7,2,7,3,2,6,2,3,3,3
255,2,3,5,3,6,4,7,6,4,3,4,4,3,7,3,7,6,7
256,2,3,1,2,6,3,7,7,3,3,4,4,3,2,3,4,4,4
257,7,4,6,7,3,1,6,6,6,1,3,2,6,3,4,7,3,7
258,2,2,7,3,7,7,7,7,7,5,4,4,2,6,3,6,6,6
259,7,3,6,7,6,6,7,4,7,2,2,1,7,3,4,7,4,7
260,7,5,7,7,6,7,7,7,3,1,3,2,7,4,3,7,3,7
261,7,4,3,7,7,4,7,7,4,2,4,4,4,6,3,7,7,6
262,7,2,1,7,7,7,7,6,3,1,5,2,3,7,4,1,7,6
263,7,3,7,7,7,7,6,3,7,4,3,3,7,4,7,7,3,6
264,7,2,7,7,6,7,7,7,7,1,1,1,6,3,3,7,3,6
265,3,3,3,3,7,1,7,7,4,5,4,5,2,7,1,1,5,1
266,4,3,3,6,7,6,7,7,7,3,4,4,2,6,3,3,6,1
267,4,4,3,7,7,5,7,5,3,3,5,4,4,5,1,3,5,3
268,4,1,2,3,7,3,2,5,3,3,3,3,4,5,1,3,3,2
269,5,1,2,7,2,4,7,7,3,1,1,1,3,4,3,7,2,6
270,7,3,7,7,3,7,6,2,4,5,3,3,6,3,6,7,4,6
271,1,3,7,6,7,1,7,7,6,3,7,5,3,6,3,3,7,4
272,6,5,4,7,3,3,3,6,5,3,3,3,4,3,4,4,2,3
273,3,3,5,7,7,3,7,2,1,3,5,3,3,4,2,3,7,2
274,7,5,7,7,7,7,7,4,6,3,3,2,7,3,7,7,3,1
275,2,1,6,7,6,1,7,3,4,1,2,1,4,3,3,4,2,5
276,7,1,2,7,4,7,7,7,7,3,1,2,3,7,6,7,4,1
277,7,3,5,4,7,2,7,7,5,3,3,2,2,1,3,3,3,4
278,7,7,7,7,3,7,7,7,7,4,1,2,7,7,7,7,6,7
279,3,2,3,7,7,1,7,7,3,3,6,3,2,7,3,3,7,3
280,3,3,3,3,7,3,7,7,7,3,4,2,2,7,2,3,7,2
281,6,3,4,3,4,3,6,7,4,3,3,3,2,6,3,2,3,2
282,2,3,2,6,7,7,7,7,7,3,5,4,1,6,2,3,7,7
283,3,3,1,2,7,3,7,7,4,4,7,3,3,6,2,7,7,7
284,7,5,7,7,1,7,7,6,7,5,4,5,7,4,6,7,7,7
285,7,4,7,7,3,3,7,6,2,5,3,3,5,5,5,7,7,6
286,7,3,3,2,7,6,7,6,7,4,4,3,3,4,5,5,4,6
287,7,7,7,7,6,5,6,6,3,3,3,3,7,3,4,7,3,7
288,7,6,6,7,7,7,7,7,6,1,2,1,3,2,4,7,2,4
289,7,3,6,7,7,6,3,3,2,1,5,4,6,3,4,7,3,7
290,7,5,6,7,4,7,3,3,4,3,3,3,7,2,6,7,1,5
291,7,4,7,7,7,7,7,5,7,3,3,3,6,2,6,7,2,7
292,5,1,1,6,7,2,7,7,4,1,7,2,1,5,2,3,7,3
293,7,4,7,6,7,6,7,7,7,3,4,3,3,4,5,6,3,4
294,3,5,3,6,6,2,7,7,2,5,4,5,2,7,3,2,6,3
295,3,3,3,3,7,2,7,7,7,4,5,4,3,7,4,2,7,1
296,7,2,3,3,7,3,7,7,3,1,4,1,2,7,2,3,6,3
297,6,3,4,3,4,5,7,7,3,3,4,4,3,6,3,4,4,6
298,2,2,3,6,4,4,7,7,6,3,4,4,4,6,2,4,5,3
299,7,3,2,7,6,4,7,7,7,3,4,3,3,6,3,7,3,3
300,7,3,7,6,4,4,6,1,2,2,3,3,7,2,3,7,2,7
301,3,3,1,6,7,2,7,6,7,3,4,3,3,3,3,7,1,3
302,7,1,1,7,6,7,7,7,3,3,4,4,1,7,3,3,6,2
303,7,6,6,1,7,6,7,7,7,1,3,2,4,4,1,2,2,7
304,3,4,7,3,7,6,7,7,7,3,5,5,7,7,4,2,4,7
305,3,3,3,3,3,1,7,7,2,3,3,3,3,7,1,2,5,2
306,7,3,3,5,7,3,7,6,2,3,6,5,3,6,1,4,7,6
307,4,5,3,7,7,2,6,7,3,2,4,3,3,3,3,3,4,2
308,4,2,5,3,7,4,7,7,4,3,4,4,5,7,4,3,7,3
309,5,4,4,7,7,4,3,7,4,1,7,4,3,7,4,3,7,3
310,7,5,7,7,7,7,5,6,7,2,3,3,1,4,3,7,5,3
311,2,2,1,7,7,6,7,7,3,2,5,4,1,7,6,1,6,1
312,7,3,5,7,2,7,7,5,6,5,1,4,7,6,7,7,4,7
313,3,2,3,3,6,4,7,2,2,2,3,3,3,3,3,3,3,4
314,3,3,4,7,7,6,7,7,2,3,4,4,2,7,2,3,7,3
315,2,2,2,4,6,2,6,6,2,1,4,3,2,7,3,3,4,2
316,2,5,6,3,7,1,7,3,3,2,3,3,3,6,3,4,3,4
317,6,2,3,7,3,4,7,7,6,1,3,2,4,5,3,4,2,2
318,4,3,7,7,7,6,7,7,4,2,5,4,4,7,4,4,7,2
319,2,3,3,4,7,3,7,7,3,4,7,4,3,7,2,1,7,2
320,4,2,6,2,7,5,7,7,3,3,4,3,5,3,2,4,7,2
321,1,1,3,6,7,3,7,7,7,1,3,3,3,3,1,3,2,2
322,7,4,6,6,7,6,7,4,4,3,3,2,4,3,4,2,2,3
323,2,3,2,3,7,3,6,4,2,3,4,4,3,3,3,6,3,3
324,3,1,3,3,3,2,2,4,2,3,3,3,1,4,2,2,3,2
325,3,3,7,7,7,3,7,7,5,3,4,4,3,4,4,4,6,2
326,3,5,6,5,7,2,7,1,2,3,4,3,4,5,3,2,3,2
327,6,3,3,3,7,2,7,7,2,3,5,5,2,6,3,4,7,3
328,1,3,3,3,7,2,7,7,3,5,7,5,3,5,1,7,7,2
329,6,5,3,6,7,7,7,7,7,3,3,3,2,4,4,6,4,6
330,7,3,6,7,2,7,7,6,7,3,3,4,7,2,6,7,1,5
331,7,5,6,7,3,6,7,7,7,3,3,2,6,3,4,3,3,6
332,4,1,4,4,6,3,7,6,3,2,3,2,2,3,2,1,3,2
333,6,2,6,7,6,6,7,7,7,1,2,1,3,2,5,2,2,2
334,7,3,4,2,7,4,7,7,6,4,7,5,2,7,2,3,7,2
335,2,3,2,1,7,5,7,7,3,4,4,4,3,7,1,4,6,4
336,7,3,7,7,5,4,7,6,4,4,3,4,7,3,4,7,2,6
337,1,2,1,1,4,2,7,7,3,2,4,4,3,4,2,6,5,2
338,7,3,6,7,3,1,7,4,4,3,3,3,7,2,5,7,2,6
339,7,5,7,7,6,3,7,3,7,2,2,3,7,2,5,7,1,3
340,1,4,3,7,7,7,7,7,7,5,6,4,3,2,3,3,7,3
341,2,5,2,4,7,3,3,6,3,3,5,4,3,6,3,2,6,3
342,7,5,7,7,4,7,7,7,7,3,2,2,7,4,7,7,4,7
343,6,3,6,5,6,3,7,7,7,4,4,4,3,6,4,5,7,6
344,7,3,5,7,7,3,7,7,7,2,3,3,3,3,3,5,1,6
345,1,3,2,7,7,7,7,7,7,3,5,5,3,5,2,3,6,4
346,7,3,7,7,7,2,7,7,7,4,7,4,6,7,3,6,7,4
347,4,1,6,6,2,6,6,3,4,4,3,2,2,1,2,2,1,3
348,7,2,7,7,6,7,7,7,7,4,1,1,7,7,7,7,3,7
349,3,3,5,4,7,3,3,4,2,2,4,3,3,3,3,4,5,3
350,7,3,7,6,6,7,6,4,7,4,3,2,7,5,3,5,5,7
351,5,2,2,7,6,3,7,7,5,2,4,4,2,5,2,6,3,3
352,2,4,2,7,7,3,7,6,6,3,4,4,1,4,1,2,3,5
353,7,5,7,7,3,6,2,4,1,3,3,3,7,3,6,7,4,3
354,7,5,7,7,6,7,7,7,7,2,3,3,7,3,7,7,4,7
355,2,4,3,2,2,1,7,7,7,3,3,3,3,5,1,2,4,7
356,4,4,5,6,6,1,7,7,2,4,4,3,3,5,2,3,7,6
357,7,4,7,7,3,4,6,7,4,3,2,2,7,7,4,6,1,7
358,6,3,4,3,7,2,7,7,4,5,5,5,1,6,3,2,7,2
359,7,4,3,7,7,3,7,7,6,2,3,2,3,4,3,1,4,1
360,6,3,6,7,4,1,7,1,3,2,3,3,7,2,4,6,1,3
361,3,3,2,3,6,2,7,7,4,4,4,4,3,5,3,1,4,6
