CUSTNO,변동폭_Monetary_가구인테리어/잡화_고가_등급,변동폭_Monetary_가구인테리어/잡화_저가_등급,변동폭_Monetary_가구인테리어/잡화_중가_등급,변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,변동폭_Monetary_교육문화/아동_고가_등급,변동폭_Monetary_교육문화/아동_저가_등급,변동폭_Monetary_교육문화/아동_중가_등급,변동폭_Monetary_식품/생활_고가_등급,변동폭_Monetary_식품/생활_저가_등급,변동폭_Monetary_식품/생활_중가_등급,변동폭_Monetary_의류/이미용_고가_등급,변동폭_Monetary_의류/이미용_저가_등급,변동폭_Monetary_의류/이미용_중가_등급,변동폭_Monetary_침구/주방_고가_등급,변동폭_Monetary_침구/주방_저가_등급,변동폭_Monetary_침구/주방_중가_등급,절대변동폭_Monetary_가구인테리어/잡화_고가_등급,절대변동폭_Monetary_가구인테리어/잡화_저가_등급,절대변동폭_Monetary_가구인테리어/잡화_중가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_고가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_저가_등급,절대변동폭_Monetary_가전/레저취미/멀티샵_중가_등급,절대변동폭_Monetary_교육문화/아동_고가_등급,절대변동폭_Monetary_교육문화/아동_저가_등급,절대변동폭_Monetary_교육문화/아동_중가_등급,절대변동폭_Monetary_식품/생활_고가_등급,절대변동폭_Monetary_식품/생활_저가_등급,절대변동폭_Monetary_식품/생활_중가_등급,절대변동폭_Monetary_의류/이미용_고가_등급,절대변동폭_Monetary_의류/이미용_저가_등급,절대변동폭_Monetary_의류/이미용_중가_등급,절대변동폭_Monetary_침구/주방_고가_등급,절대변동폭_Monetary_침구/주방_저가_등급,절대변동폭_Monetary_침구/주방_중가_등급
29,3,1,-2,-2,0,3,0,0,2,-1,0,0,0,0,-1,1,1,0,10,0,4,0,0,0,0,0,4,2,0,0,4,0,2,6,0,4
30,0,-2,1,0,0,0,0,0,0,0,-1,0,0,1,-4,0,-2,-2,6,0,2,4,2,4,0,0,0,0,2,2,2,0,4,4,2,0
31,0,0,-2,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0
32,0,1,-1,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,-1,0,2,2,2,0,0,0,2,4,4,0,2,0,6,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,2,2,2,2,0,0,6
34,0,2,1,0,0,0,0,0,0,1,0,2,-3,0,1,-1,0,1,0,2,6,0,0,2,0,0,0,2,2,2,0,0,4,0,0,2
35,0,0,-2,-1,1,2,0,0,0,-1,0,1,1,2,0,1,-1,0,2,4,2,6,0,0,0,0,0,2,4,2,0,2,2,0,2,4
36,0,-4,0,0,0,0,0,0,0,-2,-1,-1,-1,0,-4,-3,0,-5,6,0,2,0,0,0,0,4,8,6,0,4,4,0,0,0,4,4
37,0,-1,-3,-4,-1,0,0,0,0,-2,-1,1,2,0,0,0,-1,-2,2,0,4,2,0,0,0,0,2,6,0,6,2,0,0,0,0,2
38,-1,-1,0,0,1,-2,1,-1,-2,1,0,0,0,1,-1,-1,4,3,2,4,0,0,2,0,0,2,0,2,2,2,0,4,2,0,4,2
39,0,-2,-3,0,0,0,0,0,0,-1,0,1,-1,0,-1,0,0,-3,6,4,0,0,0,0,0,0,0,6,2,4,0,0,2,4,0,0
40,0,-1,0,-1,0,-1,0,0,0,0,1,0,-1,0,0,1,-1,2,2,2,2,2,0,2,0,0,4,2,0,0,2,2,0,2,4,4
41,2,-4,0,0,0,2,0,0,0,-2,0,2,0,-1,0,0,-1,0,4,8,0,6,0,0,0,0,0,4,0,0,0,2,2,0,0,2
42,0,1,1,0,0,0,0,0,0,-1,-2,1,1,3,-2,0,-1,0,0,8,2,0,0,2,4,2,0,0,0,2,0,6,2,0,2,4
43,0,-1,0,0,0,0,0,1,0,-1,-1,-1,0,1,0,0,1,-1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0
44,-3,3,2,0,0,1,0,0,0,1,-1,0,-1,0,4,0,0,0,2,0,6,4,0,6,0,0,0,2,0,0,0,0,2,0,0,0
45,-3,2,2,2,0,3,1,0,0,1,0,1,0,-2,0,0,2,0,0,2,8,0,0,0,0,0,2,2,2,0,8,2,0,4,4,0
46,5,-4,1,-2,0,-3,0,0,0,-2,-1,2,-1,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,6,0,0
47,0,4,2,0,3,-1,0,-1,2,0,3,2,1,-3,0,-1,1,0,0,2,2,0,8,4,0,0,4,4,2,2,0,2,2,2,2,6
48,1,1,-1,0,-1,3,0,-1,1,0,0,-1,0,0,-1,-1,-1,2,4,0,6,0,0,2,0,0,0,0,2,0,0,0,4,2,2,6
49,-2,3,-3,-7,0,0,0,0,0,3,0,0,0,0,0,5,0,-1,4,2,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,2
50,0,2,0,0,-1,2,-1,0,0,-1,0,0,-2,1,-1,-2,3,-2,2,4,2,0,4,8,6,0,4,2,0,0,4,2,0,0,4,0
51,0,3,0,0,0,-1,0,1,2,0,0,2,-1,-1,-1,3,1,-3,0,0,6,6,2,2,0,2,2,2,4,2,2,4,0,0,2,4
52,0,1,0,0,0,0,0,0,-2,2,0,1,-2,0,0,1,0,4,2,2,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,4
53,0,0,0,1,0,-2,0,0,0,0,1,1,-2,0,1,2,0,0,2,0,4,6,0,0,0,0,0,0,2,4,2,0,0,0,0,0
54,0,-3,1,0,0,0,0,0,0,1,1,-1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,6,0
55,0,-1,-1,0,0,2,0,0,0,-1,-1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,2,0,2,0
56,-2,5,0,2,0,0,0,0,-2,-1,0,-1,2,0,1,0,0,0,0,0,6,0,0,0,0,0,2,8,2,0,4,2,2,2,0,2
57,0,0,0,0,1,0,0,0,0,5,-2,-1,0,-2,0,0,-1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,4,0,6,0,0,2,2,0,4,4,0,2,2,0,4
59,0,-2,0,0,0,0,0,0,0,1,1,0,-1,0,-1,1,0,0,4,0,2,0,0,0,0,0,0,2,0,0,4,0,0,4,0,2
60,0,0,0,0,0,-4,0,-3,0,-2,0,-2,-1,0,-1,0,-3,-2,0,6,0,0,2,2,0,8,2,6,2,0,6,8,2,4,4,0
61,-1,0,1,0,2,-1,1,1,1,-1,1,-1,-2,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,2,2,2
62,-1,-6,-1,0,0,0,0,0,2,1,0,2,1,1,0,0,0,-5,0,2,0,2,0,0,4,2,10,4,2,2,4,0,2,0,2,6
63,0,1,-1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0
64,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2,0
65,0,2,0,0,0,1,0,-1,-1,1,0,3,1,-1,3,0,1,3,0,0,0,4,0,4,0,0,0,2,0,2,4,4,2,4,2,4
66,0,0,-2,0,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,2,2,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
68,2,0,0,-2,0,-6,-1,1,4,-2,-1,-1,5,0,0,2,0,0,8,8,0,2,0,0,0,0,6,0,0,2,6,2,2,0,2,4
69,0,-2,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-3,0,0,2,0,0,2,0,0,0,0,0,4,2,0,2,0,0,4,0
70,-1,0,3,0,0,-3,0,0,0,1,0,2,0,0,0,0,0,0,4,2,0,0,4,2,0,0,4,2,0,0,0,0,0,0,0,2
71,0,-1,0,0,0,0,0,1,0,1,0,-1,0,1,0,0,3,1,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
72,0,2,-2,0,0,1,0,-1,-1,1,0,0,0,1,0,0,-1,0,0,2,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,6
73,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,10,6,0,2,4,0,0,8,6,2,0,8,12,2,2,0,10
74,2,3,-1,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,4,2,2,0,0,2,0,0,4,0,0,2,2,4,2,0,6,4
75,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
76,0,-1,0,0,0,-1,0,0,-1,1,1,-1,0,2,-1,-1,0,0,4,6,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2
77,0,4,-1,0,0,-2,0,5,3,0,-2,2,1,-3,-1,0,0,0,4,2,10,0,0,2,0,0,4,0,2,0,2,2,0,0,4,0
78,-1,3,1,1,0,-1,0,0,0,0,0,1,0,0,-2,0,1,0,0,6,6,0,0,10,0,0,0,6,0,4,0,2,0,4,2,2
79,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,4,0,0,6,2,4,2,2,2,4,2,2,4,2,0,0,0
80,0,0,0,0,0,0,0,0,0,-1,-1,0,2,-2,1,1,0,1,0,2,0,0,2,0,0,0,0,0,2,2,4,2,0,2,0,2
81,-3,1,0,0,2,-1,0,0,0,-1,0,2,-1,0,1,2,-1,0,2,4,6,0,0,0,0,0,4,0,0,2,2,2,2,2,0,0
82,-4,0,0,3,0,-1,0,0,-3,1,1,2,0,-4,-2,-1,2,5,8,2,2,0,0,2,4,6,6,6,0,2,0,0,0,0,4,4
83,0,-3,0,-2,-2,0,0,0,0,0,1,-1,0,1,-4,5,2,-4,4,2,0,2,0,2,0,0,0,0,0,2,0,2,4,2,4,0
84,-1,0,0,7,0,4,0,0,-2,0,0,1,0,0,0,-1,2,1,0,0,6,4,8,10,0,0,4,2,2,4,4,2,2,4,0,4
85,0,1,2,0,0,-1,0,0,0,-4,0,-2,0,1,1,1,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
86,0,3,-2,-3,0,-2,0,1,2,-1,2,2,0,-1,1,-1,-1,-2,0,6,10,0,0,6,0,4,2,0,2,0,0,0,2,0,6,4
87,-4,-1,-2,5,0,-2,0,0,-3,1,0,4,0,0,-2,0,0,3,0,0,0,2,0,2,0,0,6,8,0,2,0,0,0,10,0,4
88,0,1,6,2,1,-4,0,0,-6,0,1,2,1,-1,-1,0,1,-2,4,4,4,4,2,0,0,0,0,2,2,2,2,0,0,4,2,4
89,0,3,0,0,4,4,0,-1,0,1,0,-1,-1,-1,0,-1,3,2,0,4,0,0,0,0,0,0,0,0,4,2,4,4,4,8,4,4
90,0,1,-1,-5,0,-2,0,0,0,-3,0,-2,1,0,0,3,0,2,0,4,4,2,0,4,0,0,6,2,0,2,0,0,0,2,0,2
91,-2,0,-2,0,0,0,0,0,-1,1,0,1,2,0,0,0,0,-1,0,4,0,0,2,0,0,0,2,6,0,0,2,0,4,2,2,2
92,-2,-2,0,0,0,0,0,2,1,-1,0,-1,0,1,-3,-2,3,-1,2,2,4,4,4,0,0,2,4,2,0,0,2,0,0,2,0,2
93,5,1,1,0,0,0,0,0,0,-1,1,-2,0,0,-3,0,0,0,6,6,4,0,0,2,0,0,6,6,0,0,0,0,2,0,0,0
94,-5,-2,3,-4,0,-1,0,-2,0,-1,0,1,2,-1,0,0,0,-1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0
95,0,0,0,0,1,0,0,2,0,0,0,-1,1,1,-1,0,-1,-1,0,0,0,0,4,2,0,0,2,2,0,0,2,2,2,0,6,2
96,0,0,0,-2,0,-3,0,0,0,1,-1,0,1,-2,0,0,0,-3,4,4,0,0,0,6,0,0,0,0,0,0,4,0,6,2,0,0
97,-2,3,-5,0,-1,0,0,0,1,1,1,0,0,1,-1,0,1,0,2,4,6,0,4,10,0,0,4,0,2,8,4,6,2,0,0,2
98,0,0,3,0,0,2,0,0,-1,-1,0,0,0,0,0,5,0,1,0,4,2,0,0,4,0,0,4,0,0,2,0,2,2,2,0,6
99,-1,1,0,2,3,2,2,0,-1,1,0,-1,1,1,3,1,3,-1,2,4,0,6,6,0,0,0,4,0,0,0,2,4,0,6,0,4
100,1,-1,-1,0,0,-1,0,0,2,-1,1,-2,-2,2,0,3,0,-2,0,6,6,0,0,12,0,0,2,0,2,0,6,6,2,4,2,2
101,0,5,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,6,0,0,0,4,0
102,-1,1,1,1,0,1,0,0,0,-1,0,2,0,2,-1,1,1,4,4,8,2,4,2,6,0,0,0,2,0,0,4,2,0,8,2,4
103,0,2,0,0,2,0,0,0,0,1,-2,0,-1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0
104,0,0,0,0,-2,0,0,0,-1,0,-1,-2,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,2,0
105,0,0,1,0,4,0,-2,1,0,1,-2,1,0,0,-3,0,-2,0,0,2,0,0,2,4,0,0,0,2,0,2,0,2,2,0,2,0
106,0,0,0,-2,0,-1,0,0,2,0,0,0,-3,0,0,2,2,1,4,2,2,0,0,2,0,0,4,2,2,6,0,0,2,0,0,0
107,-2,3,0,0,0,-3,0,0,0,0,0,-1,1,0,-1,-1,0,2,4,2,4,10,0,0,0,0,4,0,2,0,8,0,0,4,2,4
108,0,0,-2,0,0,-2,-5,-2,-1,0,-1,-1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0
109,0,-1,0,0,-2,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0
110,0,1,-3,0,-1,-1,1,0,2,0,-1,1,-1,-2,1,-1,-2,3,0,0,0,0,0,4,0,4,0,0,0,4,6,0,2,2,4,0
111,0,-1,0,0,0,0,0,0,0,1,0,0,0,-2,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4
112,0,-1,1,0,-1,-2,0,0,-1,-3,1,-4,-2,2,1,-7,-1,-4,10,4,2,0,0,6,0,0,2,4,0,0,2,4,4,12,0,0
113,0,-2,-2,0,-2,1,2,1,-2,0,1,-1,0,1,2,2,-3,0,2,4,6,2,2,4,2,0,2,2,0,2,2,2,4,0,4,0
114,2,3,0,2,0,0,0,0,0,1,0,1,1,2,0,1,0,0,2,2,0,2,0,2,0,0,0,2,2,2,6,2,2,0,2,0
115,4,2,1,0,0,0,0,0,0,-1,0,3,1,0,1,0,0,1,8,2,4,0,0,0,0,0,2,4,2,4,0,0,0,2,0,0
116,0,0,0,0,0,0,0,0,0,0,1,0,-1,2,-1,0,-1,0,0,2,2,0,2,0,0,0,2,2,6,2,2,2,2,0,0,4
117,0,2,0,0,0,0,0,0,0,2,1,-1,1,1,0,0,4,0,0,2,0,4,0,0,0,0,0,4,2,6,2,2,10,0,2,0
118,0,4,0,-1,0,-2,0,0,0,1,1,0,1,-2,0,1,0,4,4,4,6,0,0,4,0,0,0,2,0,0,6,0,2,2,0,2
119,-1,1,3,-2,0,1,0,0,1,1,-1,2,1,0,1,1,1,0,10,2,4,2,0,0,0,0,0,2,0,4,2,2,4,10,4,2
120,0,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,-4,-2,2,0,4,6,2,0,0,0,0,0,0,2,0,0,0,0,2,4,2,8
121,2,-1,-1,1,0,0,0,0,1,1,0,0,-1,-1,1,0,-2,0,4,0,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,4
122,0,1,-3,2,0,-1,-3,-1,0,0,0,1,0,1,0,-2,1,1,0,6,0,6,0,0,4,4,0,4,2,0,2,2,2,6,4,4
123,0,0,1,0,0,0,0,0,1,1,1,1,-2,-1,0,0,1,1,0,2,0,0,2,0,0,0,6,4,2,4,0,4,2,0,4,0
124,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-2,4,2,0,6,2,2,0,0,0,0,2,0,4,2,2,10,0,2
125,0,2,0,1,0,0,0,0,0,1,0,3,2,-2,1,0,1,3,4,0,0,2,0,2,0,0,0,2,0,2,4,0,4,2,4,2
126,2,-1,1,0,0,0,0,0,0,0,0,-1,1,-1,3,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,8,4,6,4,2,0
127,1,3,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4
128,0,0,0,0,0,-1,0,0,0,0,0,0,0,-4,0,0,-1,0,0,2,0,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0
129,0,-1,0,0,0,0,0,-2,0,0,-1,-1,0,0,0,0,1,0,0,6,0,0,2,0,4,2,2,0,0,0,2,2,0,0,2,0
130,3,0,0,0,0,2,0,0,2,2,0,2,0,0,1,0,0,-2,2,2,2,0,0,0,0,0,0,4,2,0,0,0,2,8,0,4
131,-1,-1,1,0,2,1,0,0,1,-1,-1,-2,0,-1,-1,-1,-6,-1,2,2,2,4,4,4,0,0,0,2,2,2,2,0,6,4,2,2
132,0,1,-1,-1,-1,0,0,1,0,1,4,3,1,2,1,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,4,0,2,0,6,0
133,-1,1,0,1,0,2,0,0,0,-3,0,-3,1,-1,1,2,2,0,0,2,0,0,2,2,0,0,0,2,0,0,0,4,2,4,0,4
134,0,0,-5,0,0,0,0,0,2,2,1,0,-2,1,2,1,0,0,0,6,6,2,0,2,0,0,8,2,2,0,6,0,4,0,0,8
135,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,-2,0,0,-3,0,0,0,2,0,4,0,0,0,4,2,2,10,0,2,0,0,2
136,0,3,-4,0,0,1,0,0,1,1,1,0,0,0,1,-2,0,-3,0,0,0,0,0,10,2,0,4,4,0,2,4,0,4,6,0,4
137,-1,2,-1,1,0,-3,0,0,1,4,0,-1,0,0,-1,-1,-1,2,4,2,8,4,0,2,0,0,2,2,2,2,4,2,8,0,4,0
138,0,4,0,1,-1,1,0,0,0,1,0,0,1,0,3,0,0,0,6,4,0,0,2,4,0,0,0,2,2,2,0,2,2,0,6,2
139,0,0,-2,0,-1,-3,0,0,0,0,-1,-2,1,-2,-4,0,-4,-4,2,2,0,0,0,2,0,0,0,2,0,6,4,2,2,2,2,0
140,-1,-1,0,1,0,0,0,0,0,0,-1,3,-2,0,0,2,0,2,2,2,0,2,6,2,0,2,0,2,0,0,4,0,6,0,2,2
141,0,1,0,0,2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0
143,0,0,0,0,0,-1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0
144,0,-1,0,-2,0,0,-4,0,-4,2,2,4,-5,-2,-4,0,0,-6,4,6,0,0,2,0,0,0,0,0,0,0,8,2,6,0,2,12
145,-6,3,3,1,0,-4,0,0,0,0,-1,-1,0,0,-3,-2,0,4,2,2,4,2,0,8,0,0,6,2,4,0,0,4,2,6,0,6
146,1,2,6,0,0,1,0,0,-2,-1,0,0,3,0,3,0,0,0,0,4,4,0,0,2,0,0,4,4,0,0,2,0,0,2,0,12
147,3,-3,2,1,3,-1,0,0,3,1,0,-2,-1,0,1,0,-2,1,2,0,2,6,2,4,0,4,0,2,0,0,4,4,0,0,0,2
148,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,-1,0,0,0,0,0,0,1,1,0,2,-1,0,-1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2
150,0,-2,2,0,0,-1,0,-1,0,-1,1,2,2,-4,-2,-2,0,0,0,2,2,0,0,0,0,2,2,2,2,0,4,8,4,0,4,2
151,-5,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,6,10,0,6,0,0,2,0,0,0,2,6,2,10,2,12
152,0,1,-5,1,0,2,0,0,0,0,0,0,0,-1,0,-1,0,3,0,6,2,4,0,4,0,0,2,2,0,2,2,0,0,2,0,2
153,0,0,0,0,0,0,0,0,2,1,0,0,1,-1,-1,0,-1,0,0,4,2,0,0,0,0,0,4,2,0,0,0,0,2,0,2,0
154,-6,0,0,-1,0,0,0,0,0,1,-1,-3,0,-1,-4,0,0,0,2,4,4,0,0,0,0,0,0,6,0,2,2,0,4,2,2,0
155,-1,0,1,-1,0,2,0,-4,0,1,0,3,1,1,0,-1,0,-7,0,6,2,6,0,0,0,0,0,0,0,0,4,2,2,2,0,6
156,3,4,0,0,0,-1,0,0,1,2,0,-4,3,0,3,0,0,0,2,4,4,4,0,2,0,0,4,0,0,4,2,0,0,6,0,6
157,0,3,-3,0,0,1,0,0,0,0,0,0,1,0,-3,0,-1,-3,4,4,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0
