CUSTNO,가구인테리어/잡화_고가_증감여부,가구인테리어/잡화_저가_증감여부,가구인테리어/잡화_중가_증감여부,가전/레저취미/멀티샵_고가_증감여부,가전/레저취미/멀티샵_저가_증감여부,가전/레저취미/멀티샵_중가_증감여부,교육문화/아동_고가_증감여부,교육문화/아동_저가_증감여부,교육문화/아동_중가_증감여부,식품/생활_고가_증감여부,식품/생활_저가_증감여부,식품/생활_중가_증감여부,의류/이미용_고가_증감여부,의류/이미용_저가_증감여부,의류/이미용_중가_증감여부,침구/주방_고가_증감여부,침구/주방_저가_증감여부,침구/주방_중가_증감여부
33,0,1,1,0,0,0,0,0,0,2,4,3,0,4,0,0,0,0
34,0,1,0,0,0,0,0,0,0,3,0,1,4,0,1,4,0,4
35,0,2,4,4,1,1,0,0,0,1,1,1,3,0,4,4,4,1
36,0,2,1,0,0,4,0,0,1,3,4,2,1,0,4,1,0,3
37,0,3,4,4,4,0,0,0,0,1,4,3,1,0,1,1,4,4
38,4,4,2,0,1,4,0,2,3,2,2,4,3,2,4,4,2,1
39,0,2,4,0,0,0,0,0,0,1,0,1,2,0,4,0,0,4
40,0,3,4,4,0,2,0,0,0,2,2,4,4,3,1,1,4,4
41,0,4,0,0,0,0,0,0,0,4,1,2,1,4,1,0,4,0
42,0,4,0,0,1,0,0,3,0,2,4,2,0,1,4,0,3,0
43,0,4,0,0,1,0,0,0,0,2,3,2,0,4,0,0,1,4
44,4,2,0,0,0,1,0,0,0,1,3,3,4,0,1,1,1,0
45,4,1,0,1,0,1,0,0,0,3,1,2,1,3,1,0,0,0
46,2,3,4,4,0,3,0,0,0,2,4,2,2,0,3,1,0,0
47,0,0,0,1,1,4,0,4,1,2,1,1,0,4,0,4,2,0
48,2,3,4,0,4,0,0,4,0,4,4,3,3,1,3,3,4,4
49,3,2,3,4,0,0,0,0,1,3,0,3,2,0,4,1,0,4
50,1,2,1,0,4,2,4,3,4,2,3,4,2,4,1,4,1,3
51,0,1,1,1,0,4,0,0,1,3,4,3,2,3,4,1,3,4
52,2,3,0,0,1,1,0,0,2,1,4,1,3,0,1,4,0,0
53,1,0,1,2,0,3,0,0,0,3,1,2,2,0,1,0,0,0
54,0,4,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0
55,0,4,4,0,1,0,0,0,0,3,3,1,0,4,0,0,2,0
56,1,1,1,0,0,0,0,0,1,3,1,4,2,0,1,1,0,1
57,0,2,0,0,1,0,0,0,0,2,4,4,0,3,0,0,3,0
58,1,4,0,0,0,1,0,0,2,1,0,2,1,0,4,0,0,1
59,1,4,0,0,0,0,0,0,0,1,0,3,2,0,3,0,0,0
60,0,2,1,0,1,4,0,4,4,4,2,3,3,4,1,4,4,4
61,4,4,0,0,2,4,0,0,0,3,3,4,3,3,3,4,1,4
62,3,4,4,1,0,4,0,0,2,1,4,3,4,0,1,1,4,4
63,0,2,1,0,0,1,0,0,0,3,0,2,4,0,4,0,0,0
64,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0
65,1,1,0,0,0,0,0,4,4,2,3,1,2,1,1,1,3,2
66,0,4,4,0,0,3,0,0,0,1,3,2,1,1,3,0,1,0
67,0,0,0,0,0,0,0,0,0,3,2,3,1,3,0,0,1,1
68,0,1,3,3,0,4,1,0,4,2,4,3,3,1,4,0,0,4
69,0,2,0,0,3,0,0,0,0,2,3,3,0,1,0,0,4,0
70,2,4,0,0,0,4,0,0,0,0,4,4,0,0,4,1,0,1
71,0,4,0,0,0,0,0,0,0,2,3,4,0,3,0,0,4,0
72,0,1,4,0,1,0,0,2,4,3,2,1,0,2,4,0,2,0
73,3,2,1,2,0,4,0,0,0,1,4,4,4,0,3,2,0,0
74,0,1,1,0,0,0,0,0,0,1,1,2,1,2,1,3,1,2
75,0,3,0,0,0,0,0,0,0,4,1,2,3,0,0,0,0,0
76,1,2,0,0,0,2,0,0,3,1,2,4,2,1,1,1,0,2
77,4,1,4,0,0,4,0,0,1,2,3,2,1,3,3,0,1,0
78,4,1,1,4,0,2,0,0,0,1,2,1,1,1,4,2,1,3
79,0,4,0,0,3,1,0,0,1,4,3,2,1,4,4,1,3,0
80,0,4,0,0,0,0,0,0,0,2,4,3,0,3,1,0,2,0
81,3,1,2,0,0,4,0,0,0,3,1,3,2,0,1,1,4,2
82,2,1,4,1,0,3,0,0,4,1,1,1,4,4,3,2,2,1
83,0,4,0,4,4,4,0,0,0,2,1,3,3,1,3,4,0,3
84,1,3,4,1,0,1,0,1,4,1,0,1,1,1,3,3,0,2
85,0,2,1,0,0,2,0,0,0,3,0,2,4,0,1,2,0,1
86,1,2,4,4,1,4,0,1,1,3,1,2,2,3,3,2,4,4
87,4,1,4,0,0,2,0,0,2,4,1,1,0,0,4,4,0,0
88,0,1,0,4,2,4,0,0,4,1,4,3,1,2,2,3,4,2
89,0,0,1,0,0,0,0,2,1,2,2,2,3,1,4,4,1,1
90,0,1,2,4,0,4,0,0,0,3,0,4,2,0,2,2,0,2
91,4,2,2,0,0,0,0,0,2,1,4,2,0,0,4,0,1,3
92,4,3,1,1,0,3,3,4,2,3,3,3,4,1,3,3,2,4
93,1,4,1,0,0,0,0,0,0,4,0,4,2,0,4,0,0,0
94,4,3,0,4,1,2,0,4,0,2,1,2,1,4,3,0,1,2
95,0,4,0,0,0,0,0,1,0,3,2,2,0,4,4,0,1,4
96,0,4,0,4,0,4,0,0,0,3,4,3,2,4,4,0,0,4
97,4,3,4,2,3,2,0,0,1,4,1,4,2,0,3,2,4,1
98,1,0,0,0,0,1,0,0,4,2,4,1,2,1,4,0,0,0
99,3,1,1,1,0,1,0,1,3,2,2,2,1,0,1,3,0,3
100,0,4,3,0,0,1,0,0,0,4,1,4,4,4,4,2,0,4
101,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,0,0,0
102,4,1,1,1,0,0,0,0,0,1,4,2,2,1,3,1,4,1
103,0,0,0,0,0,0,0,0,0,3,4,2,4,0,0,0,2,0
104,0,3,0,0,4,0,1,0,4,4,2,3,0,4,1,0,0,1
105,0,1,4,0,1,1,4,0,1,3,3,3,0,2,4,1,4,1
106,0,3,1,3,0,1,0,0,1,2,4,2,4,4,1,1,0,0
107,2,1,1,1,0,3,0,0,1,3,4,1,2,0,2,2,0,1
108,1,2,2,0,0,2,4,4,4,2,4,4,1,0,2,0,0,0
109,0,2,0,0,4,0,0,0,0,2,2,3,0,2,0,0,4,0
110,0,1,3,0,4,3,1,0,0,3,4,2,2,3,4,1,4,0
111,0,2,0,0,0,0,0,1,0,2,1,1,0,4,0,0,0,1
112,0,3,2,0,4,1,0,0,4,3,3,3,3,0,3,4,4,4
113,2,3,3,1,4,2,4,4,3,2,1,2,1,4,2,2,3,2
114,0,2,0,1,0,0,0,0,1,1,4,1,1,0,3,0,0,1
115,1,1,1,0,0,1,0,0,0,2,1,1,2,0,1,2,0,2
116,0,1,0,0,1,0,0,0,0,1,2,2,3,0,1,0,4,0
117,1,1,0,0,0,1,0,0,0,1,1,4,1,1,1,3,1,1
118,2,1,1,4,0,4,0,0,0,2,0,3,2,2,4,1,0,0
119,2,2,4,4,0,2,0,0,4,1,3,2,2,1,4,3,1,2
120,4,2,3,0,0,1,0,0,0,1,3,4,3,0,3,4,1,1
121,0,4,2,0,0,1,3,0,3,3,2,3,4,4,4,0,4,0
122,1,3,4,3,1,2,2,4,4,2,1,2,2,3,4,3,1,1
123,0,0,0,0,1,0,0,0,4,1,1,2,4,3,0,0,1,4
124,1,2,1,0,0,4,0,0,0,1,0,2,2,0,1,1,0,2
125,1,1,0,1,1,0,0,0,0,1,4,1,1,3,1,0,1,1
126,1,2,1,0,0,1,0,0,0,3,1,1,1,2,3,1,0,1
127,0,4,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
128,0,0,0,0,1,4,0,0,0,3,2,2,0,4,0,0,4,0
129,0,2,0,0,1,0,0,4,0,2,4,3,0,0,0,0,1,0
130,0,2,0,0,1,1,0,0,4,1,1,2,2,0,1,1,1,4
131,2,2,0,1,0,3,0,0,1,3,4,4,4,4,3,3,4,2
132,0,0,2,4,4,1,0,1,0,3,1,1,1,1,3,0,1,0
133,4,3,0,1,0,1,0,0,0,3,3,3,1,3,2,1,1,0
134,2,1,4,0,0,3,0,0,4,1,4,3,3,1,2,1,0,3
135,0,3,4,0,0,4,0,0,0,1,0,1,3,0,4,0,0,4
136,0,0,4,1,0,1,0,0,2,2,0,2,1,0,1,3,0,2
137,4,1,4,2,0,3,0,1,1,1,2,2,1,0,4,1,4,0
138,1,1,1,0,4,2,0,0,1,1,4,1,2,1,1,0,1,0
139,0,1,2,0,4,3,0,0,0,3,3,4,4,4,4,0,1,4
140,3,4,0,2,0,0,0,0,0,1,1,1,4,0,0,2,0,1
141,0,3,0,0,1,0,1,0,0,4,3,2,0,4,0,0,1,0
143,0,4,1,0,1,3,0,3,1,1,3,2,0,4,1,0,2,0
144,0,4,0,4,3,0,4,0,4,2,1,3,4,3,4,0,4,4
145,4,4,0,2,0,2,0,0,1,4,1,3,3,1,4,4,0,0
146,2,4,1,0,0,3,0,0,2,3,0,2,4,0,4,1,0,1
147,1,4,1,2,4,3,0,3,0,2,1,4,2,1,2,4,1,4
148,0,0,0,0,4,0,0,0,0,1,2,3,0,4,0,0,1,0
149,1,2,1,0,0,0,0,0,0,2,1,1,2,0,4,1,1,1
150,0,3,0,1,1,4,0,3,0,4,1,1,1,4,4,4,1,0
151,4,2,2,3,0,4,0,0,4,3,3,1,1,1,1,1,0,0
152,0,3,4,1,0,3,0,0,0,3,4,3,2,4,4,1,0,0
153,0,3,0,0,0,1,0,0,0,2,4,2,1,4,1,0,4,0
154,4,1,0,4,0,0,0,0,0,2,1,3,3,4,4,1,1,0
155,4,2,0,4,0,1,0,4,0,3,4,1,3,0,3,4,0,4
156,2,2,3,1,0,1,0,0,1,1,0,4,2,1,1,4,0,4
157,0,1,4,2,0,1,0,0,0,2,1,2,2,1,4,1,4,3
158,0,4,0,0,0,4,0,0,2,2,1,1,4,2,4,4,4,0
159,0,1,0,0,0,1,4,0,2,2,1,4,1,1,1,2,4,1
160,0,3,1,0,1,2,0,0,1,2,2,3,2,1,1,0,4,1
161,2,3,1,1,0,2,0,0,1,2,1,2,2,0,1,1,0,4
162,1,1,3,1,0,1,0,0,4,1,2,4,2,4,3,3,4,2
163,0,4,4,0,0,0,0,0,0,1,1,2,0,1,4,0,4,4
164,3,0,0,4,1,2,0,4,2,4,4,3,4,4,2,3,4,4
165,4,1,2,1,0,2,0,0,0,1,4,1,1,0,1,4,0,4
166,1,3,1,0,0,2,1,4,3,1,4,2,3,1,4,2,1,2
167,4,4,0,0,0,0,0,0,0,4,0,3,3,0,4,1,0,0
168,4,2,3,1,0,2,1,0,2,1,4,1,2,0,2,1,4,1
169,4,1,1,0,0,0,0,4,0,3,4,4,4,3,2,0,1,4
170,0,4,0,0,0,1,0,1,0,3,3,2,4,2,0,0,3,0
171,4,2,0,4,1,2,0,0,4,2,2,2,4,1,4,1,0,4
172,0,3,0,1,0,1,4,4,0,3,4,3,1,3,3,4,4,4
173,1,4,0,1,2,1,0,0,1,1,3,2,1,1,1,1,3,0
175,2,1,0,0,3,4,0,4,0,2,3,3,0,2,0,0,3,0
176,0,1,1,0,3,0,4,0,2,2,2,2,1,3,1,0,2,0
177,0,2,2,3,0,3,0,0,0,3,4,1,2,1,2,1,0,1
178,0,0,4,0,0,1,0,0,0,3,3,2,0,2,1,4,3,4
179,4,2,1,1,0,2,0,0,1,2,2,2,3,1,2,3,1,2
180,2,3,0,0,0,1,0,0,4,1,4,1,3,0,0,4,0,0
181,0,1,1,1,0,2,0,0,3,1,4,1,4,0,1,1,0,0
182,4,3,4,2,0,2,0,0,0,2,4,3,2,0,4,1,0,0
183,0,1,0,0,0,0,1,1,1,1,2,2,0,1,0,1,2,1
184,1,3,1,0,4,3,1,0,1,1,4,3,1,4,1,4,4,1
185,0,4,0,0,1,4,0,4,0,2,1,1,0,3,4,0,1,4
186,0,3,4,2,1,1,0,0,4,1,1,2,3,3,2,0,2,3
187,0,4,4,0,0,1,0,0,0,4,2,4,2,4,1,2,0,4
188,0,4,4,0,4,0,0,1,0,3,3,3,0,0,1,0,2,0
189,2,3,2,2,4,0,0,0,1,2,4,1,2,1,4,3,0,3
190,0,3,3,0,0,1,0,0,1,3,0,1,1,0,1,1,0,1
191,4,2,3,2,0,3,0,0,1,1,0,3,4,3,4,3,0,2
192,2,1,2,0,0,4,0,0,0,4,3,2,4,1,4,4,0,4
193,0,4,0,0,0,0,0,1,0,2,3,3,0,1,0,0,1,4
194,0,4,2,0,0,0,0,0,0,3,2,3,0,1,2,4,4,0
195,0,2,0,0,3,1,0,4,0,3,4,3,0,3,0,0,1,0
196,0,3,1,0,4,3,0,1,4,2,4,4,2,4,2,0,4,4
197,3,1,2,2,2,1,0,4,3,1,2,3,3,3,1,2,3,4
198,4,4,4,3,0,2,3,4,4,3,2,3,1,4,1,1,4,3
199,0,2,0,4,0,1,0,4,0,4,4,1,0,2,1,0,1,0
200,0,3,0,0,0,1,0,0,0,1,1,2,1,4,1,0,2,0
201,4,2,4,4,0,2,0,0,0,3,2,1,2,4,3,4,0,3
202,3,1,4,3,0,3,0,0,1,2,2,2,3,0,3,1,1,3
203,0,3,0,0,0,0,0,4,0,3,4,2,0,1,4,0,0,0
204,0,1,4,0,4,3,0,4,1,3,4,3,1,3,3,0,4,4
205,0,4,1,0,4,0,0,0,0,3,2,2,4,1,3,0,3,0
206,1,3,0,0,0,1,0,2,4,3,3,2,4,4,0,1,2,0
207,0,0,0,0,4,1,0,4,0,3,3,1,0,2,0,0,4,2
208,0,0,1,0,0,2,0,0,1,4,1,1,4,0,1,0,0,0
209,0,4,1,1,0,1,0,4,1,1,1,3,1,3,2,2,0,0
210,0,1,0,0,0,0,0,1,0,1,1,1,0,4,4,0,3,3
211,4,4,4,0,0,4,0,0,1,1,1,1,1,0,4,4,0,0
212,1,4,1,0,0,4,0,0,1,2,2,2,0,0,1,0,4,0
213,0,2,4,3,0,0,0,4,3,3,3,2,2,3,1,1,2,3
214,0,3,4,2,0,1,1,0,1,2,3,4,1,0,1,2,2,4
215,0,4,1,1,4,2,0,4,4,2,4,4,3,4,3,1,4,4
216,0,4,0,0,0,0,0,4,0,2,2,1,4,1,4,1,4,0
217,0,1,0,0,1,1,0,1,1,2,2,1,4,0,1,1,2,1
218,3,1,4,4,0,1,2,0,1,2,1,3,2,1,4,0,0,0
219,1,4,3,4,4,1,4,2,1,1,1,1,3,1,2,0,1,0
220,0,3,4,0,0,0,2,2,2,2,2,1,0,3,4,0,2,1
221,0,1,4,0,0,0,0,4,4,1,1,4,0,2,0,0,4,0
222,3,1,4,4,0,1,3,0,4,2,1,1,4,1,4,1,1,4
223,2,2,3,3,0,1,0,0,1,2,0,2,3,4,3,3,0,3
224,2,0,2,4,0,1,0,0,2,1,0,3,1,0,3,4,0,4
225,0,4,1,2,0,3,0,0,0,1,3,4,1,0,1,1,0,2
226,0,1,0,0,0,4,0,0,0,4,1,1,1,2,1,0,4,0
227,0,4,0,0,1,0,0,0,0,1,3,3,0,1,0,0,3,0
228,0,4,0,0,1,0,0,4,4,3,3,4,0,3,4,0,3,4
229,2,2,4,1,0,4,0,0,4,3,4,2,3,4,4,0,0,4
230,4,3,1,0,0,3,0,0,0,2,4,2,4,4,1,3,4,4
231,0,0,0,0,0,0,0,0,0,3,2,1,0,3,4,0,4,0
232,0,4,0,0,2,0,0,0,0,2,4,4,0,0,4,0,0,0
233,0,0,4,0,4,0,0,0,0,2,3,2,1,0,1,4,4,0
234,1,2,1,4,0,0,0,1,2,1,1,1,4,3,2,0,0,1
235,1,1,1,0,4,4,0,0,3,1,4,3,1,4,0,1,0,0
236,0,3,0,0,4,0,0,0,0,2,4,3,0,4,0,0,4,0
237,4,1,1,4,4,2,4,0,4,4,4,4,3,1,1,2,1,1
238,0,4,0,0,0,1,0,0,4,1,1,1,1,0,1,4,0,4
239,3,2,1,1,4,1,0,0,2,1,4,1,1,4,3,2,4,4
240,0,4,0,0,0,4,0,0,4,3,4,3,2,0,4,4,0,0
241,1,2,1,1,0,2,0,0,1,2,4,2,1,0,2,2,0,2
242,0,2,0,0,2,3,0,0,1,3,1,3,0,3,1,0,2,3
243,0,4,0,0,2,4,0,0,0,4,4,3,4,1,4,0,0,0
245,0,3,1,0,1,1,0,0,0,2,2,2,4,4,4,4,2,2
246,0,1,2,1,1,4,0,0,1,4,4,1,3,4,1,0,1,4
247,0,3,0,0,0,0,0,0,0,3,3,2,4,4,1,0,0,0
248,0,1,4,0,0,2,0,4,2,3,2,3,3,4,4,3,3,1
249,1,1,4,2,0,3,0,0,0,2,4,3,4,4,1,2,0,2
250,4,2,3,3,0,1,0,0,3,3,1,3,2,0,4,2,1,2
251,4,1,3,0,0,3,0,0,4,4,3,3,4,0,2,0,0,2
252,0,1,1,1,0,1,0,0,0,2,1,1,1,0,1,0,1,0
253,4,3,0,1,0,3,0,0,1,1,0,4,4,0,3,3,0,4
254,2,1,0,1,0,4,0,0,0,1,3,2,4,0,1,0,4,4
255,2,3,0,4,0,1,0,4,3,3,4,2,3,4,2,0,0,0
256,3,1,3,1,0,1,0,4,3,1,2,1,4,4,3,2,3,2
257,0,1,0,0,4,0,4,1,2,1,2,2,0,1,2,4,4,2
258,2,4,4,0,0,4,0,0,0,4,1,3,4,0,4,0,0,4
259,1,1,1,0,4,1,0,1,0,1,2,1,0,1,1,0,0,0
260,0,0,4,0,0,0,0,0,0,3,2,3,0,1,0,1,4,0
261,4,1,4,0,0,3,0,0,3,1,4,4,1,0,3,4,4,1
262,0,3,3,0,0,2,0,0,2,3,0,2,1,0,1,1,0,0
263,0,1,0,0,0,1,0,3,1,3,3,3,0,1,4,0,2,4
264,0,1,0,0,1,0,0,0,0,2,3,3,0,2,4,0,1,0
265,4,1,1,1,0,2,0,0,1,3,1,4,2,0,2,0,0,1
266,0,3,2,4,0,0,0,0,0,3,1,3,3,0,1,4,0,1
267,2,2,1,0,1,1,0,0,1,4,1,2,4,1,2,2,0,3
268,1,4,0,0,0,3,1,4,4,4,4,1,4,4,4,2,1,3
269,0,3,0,1,4,0,0,0,4,2,3,4,2,4,1,4,2,1
270,0,2,0,0,3,4,0,3,0,3,2,2,0,1,0,0,1,0
271,4,4,2,0,0,3,0,0,0,2,1,2,2,0,4,4,0,4
272,0,0,3,4,3,1,1,1,4,4,3,3,4,2,3,4,4,1
273,3,3,1,0,1,4,4,3,4,2,3,2,3,4,1,2,0,4
274,0,1,0,0,1,0,0,1,3,2,1,1,0,2,0,0,3,4
275,0,3,1,0,3,4,0,1,2,2,3,3,4,2,1,0,3,2
276,0,2,0,0,2,0,0,0,0,1,2,1,0,0,1,1,1,1
277,1,4,1,1,0,3,0,0,0,3,3,3,2,4,2,1,3,1
278,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0
279,1,4,0,1,0,0,0,0,3,3,4,2,3,0,1,1,0,3
280,3,1,1,1,4,1,0,0,4,2,1,1,3,1,2,1,0,2
281,4,3,2,3,3,3,0,0,4,4,3,4,4,1,3,2,4,2
282,4,1,2,3,0,4,0,0,0,3,4,2,4,1,2,1,0,2
283,1,3,4,2,0,2,0,0,0,1,0,2,4,0,1,0,0,1
284,0,4,0,0,2,0,0,1,0,1,2,4,0,4,0,0,4,0
285,0,4,0,0,1,4,0,0,4,1,1,3,0,3,1,4,0,1
286,1,2,2,1,0,4,0,1,0,1,1,4,1,4,1,1,4,0
287,0,4,0,0,4,4,3,4,4,3,4,2,0,1,4,0,1,0
288,0,4,0,0,0,0,0,1,1,2,3,2,3,3,3,0,3,0
289,0,2,0,0,0,4,4,1,4,2,4,2,1,1,4,0,0,0
290,0,2,0,0,4,1,4,4,1,2,3,2,0,3,4,0,0,4
291,0,4,0,0,1,0,0,1,0,3,4,2,0,2,0,0,1,1
292,4,1,3,2,4,2,0,0,0,2,4,3,2,4,1,3,1,2
293,0,2,1,0,1,1,0,1,0,4,4,3,3,1,3,4,2,3
294,4,4,4,4,0,2,0,0,3,1,1,1,4,0,2,2,0,3
295,1,3,4,3,0,3,0,0,0,1,1,1,2,1,1,3,1,2
296,1,2,2,0,0,1,0,0,1,1,1,1,3,4,1,1,0,2
297,0,2,3,2,1,0,0,0,4,3,2,2,2,1,2,2,1,0
298,1,4,3,4,2,2,0,0,1,2,1,2,1,0,1,1,2,2
299,0,4,0,0,0,0,0,0,0,1,2,1,4,0,4,1,0,0
300,0,2,4,0,0,3,4,3,1,2,2,2,0,2,0,0,3,0
301,2,4,0,4,0,2,0,0,0,1,0,1,2,0,1,0,0,4
302,1,2,1,0,0,0,0,0,1,1,1,1,3,4,1,4,1,4
303,0,1,0,0,0,0,0,0,0,2,4,2,3,4,4,0,3,2
304,2,4,1,1,0,3,0,0,4,1,4,4,4,0,4,2,4,3
305,2,2,4,3,4,1,0,4,4,3,4,3,3,4,2,2,1,1
306,4,1,4,3,0,3,0,0,2,4,0,4,1,0,4,3,0,4
307,1,4,3,0,4,3,2,0,4,1,2,3,2,1,2,0,3,3
308,0,3,1,1,0,0,0,0,4,1,2,3,2,0,3,3,0,3
309,0,1,2,4,0,1,0,0,4,2,1,1,2,0,4,4,0,4
310,0,4,1,0,0,3,1,0,4,2,2,3,4,4,4,0,3,0
311,1,2,3,4,0,1,0,0,2,1,4,4,2,4,4,1,0,2
312,0,1,4,0,3,1,0,0,0,2,1,3,0,0,0,0,1,0
313,0,2,2,2,1,1,0,1,4,1,3,1,4,1,2,1,2,1
314,2,2,1,0,0,4,0,0,4,1,0,3,1,0,3,0,0,4
315,3,4,2,2,4,3,4,1,3,4,2,4,2,0,2,3,1,4
316,0,3,4,1,0,2,0,0,3,3,1,1,2,1,4,4,4,3
317,4,1,4,0,4,0,1,0,1,3,4,2,4,1,4,0,1,0
318,0,1,2,0,0,4,1,0,4,2,0,3,3,0,3,4,0,4
319,1,1,1,1,0,4,0,0,4,3,0,3,3,0,3,1,0,1
320,0,2,2,0,0,1,0,1,2,3,1,2,3,1,1,1,1,3
321,2,2,3,3,0,0,0,0,0,4,4,4,4,1,2,4,1,2
322,0,3,4,0,0,0,0,3,2,4,2,1,2,1,2,0,2,2
323,1,4,2,1,0,2,0,0,1,3,4,2,1,3,4,4,4,1
324,4,3,0,2,3,2,4,4,4,4,3,3,4,1,4,4,0,3
325,1,3,4,0,0,2,0,0,4,4,1,3,4,2,1,2,4,4
326,2,3,3,2,0,3,0,1,2,2,2,3,2,1,3,0,4,3
327,4,2,4,2,0,2,1,0,2,3,1,3,3,1,3,2,0,4
328,0,3,2,1,0,1,0,0,4,0,0,4,1,0,3,0,0,1
329,0,1,4,3,0,0,0,0,0,4,3,1,3,1,1,4,3,1
330,0,3,0,0,3,0,0,0,0,3,3,2,0,3,0,0,3,2
331,4,0,0,1,0,3,0,0,0,3,3,2,0,2,4,1,0,0
332,1,2,1,3,0,4,1,0,2,2,3,1,3,3,3,2,4,3
333,0,1,1,0,0,1,0,0,0,2,2,3,2,1,3,2,3,2
334,1,1,1,4,0,4,0,0,0,2,0,2,2,0,3,3,0,3
335,2,1,1,0,0,2,0,0,4,1,3,1,1,0,2,2,4,3
336,0,3,0,0,0,2,0,0,1,3,2,2,0,2,1,1,2,4
337,1,3,1,3,0,2,0,0,1,1,1,1,2,1,1,2,0,1
338,0,0,0,0,0,4,0,4,4,2,1,1,0,3,1,0,2,0
339,0,2,0,0,1,3,0,2,1,3,2,2,0,3,1,0,2,0
340,4,1,1,0,0,0,0,0,0,2,1,2,2,4,2,2,0,0
341,2,3,4,4,0,3,4,0,2,1,0,1,4,0,3,2,0,4
342,0,4,0,0,0,0,0,0,0,1,1,3,0,1,4,0,0,0
343,1,3,4,1,4,4,0,0,0,1,3,1,3,4,1,1,0,4
344,0,3,0,0,0,2,0,0,0,3,1,2,4,4,2,3,0,4
345,0,4,0,1,0,1,0,0,0,3,4,2,2,0,2,1,0,2
346,4,3,4,0,0,4,0,0,0,1,0,4,1,0,4,0,0,4
347,4,2,4,4,1,1,0,3,0,1,2,3,2,3,3,0,3,2
348,0,1,0,0,0,0,0,0,0,2,1,2,1,3,0,0,2,0
349,2,3,4,2,4,2,3,0,2,4,1,3,1,4,2,4,4,0
350,4,4,4,1,0,4,0,1,3,4,4,3,4,4,4,0,2,0
351,0,2,3,0,0,3,0,1,4,1,1,1,1,1,1,1,1,2
352,3,4,1,0,0,2,0,1,0,2,3,3,4,3,2,1,4,0
353,0,1,0,0,0,4,0,0,1,3,1,1,0,4,4,0,1,1
354,0,4,0,0,0,1,0,3,0,3,4,3,0,1,0,0,4,4
355,4,4,4,1,4,0,0,0,0,1,4,4,0,1,4,1,0,0
356,0,1,1,1,0,1,0,0,2,4,4,3,2,1,2,2,0,2
