CUSTNO,1분기 대비2분기 증감여부,2분기 대비3분기 증감여부,3분기 대비4분기 증감여부,4분기 대비5분기 증감여부,5분기 대비6분기 증감여부,6분기 대비7분기 증감여부,7분기 대비8분기 증감여부
512,2,3,2,4,2,2,3
513,3,1,4,1,3,4,3
514,2,3,3,2,2,4,1
515,4,1,4,1,4,1,2
516,3,2,3,3,2,3,3
517,3,1,4,2,2,2,1
518,2,3,1,2,3,3,3
519,4,1,4,3,2,3,4
520,2,2,3,2,2,2,4
521,2,2,2,4,1,4,2
522,4,3,3,3,2,1,2
523,3,2,1,4,2,2,2
524,3,2,2,3,2,2,1
525,1,2,3,2,3,2,4
526,2,2,1,1,4,4,1
527,4,1,3,1,3,2,2
528,3,3,2,3,3,2,3
529,2,2,1,4,2,2,1
530,4,2,3,1,4,2,4
531,4,3,2,1,4,1,3
532,3,3,1,2,4,1,3
533,2,3,3,2,3,2,3
534,2,4,3,1,2,4,2
535,2,2,3,1,4,3,2
536,2,3,2,3,2,3,2
537,3,2,3,3,2,3,2
538,4,4,2,1,2,4,2
539,3,1,3,2,3,4,3
540,4,1,3,2,2,4,2
541,3,3,3,2,3,3,2
542,4,4,3,1,4,1,2
543,2,1,4,2,4,1,4
544,2,1,2,2,4,1,4
545,2,4,1,1,3,4,2
546,1,1,2,4,2,3,1
547,4,1,2,2,3,3,1
548,1,4,1,4,1,3,3
549,2,1,4,2,2,2,3
550,3,4,3,4,1,4,2
551,4,2,3,3,1,3,2
552,4,2,2,2,3,3,3
553,4,3,3,2,1,1,4
554,4,2,2,4,1,2,3
555,2,2,4,3,2,3,1
556,3,1,3,2,2,2,3
557,3,1,3,2,2,2,3
558,4,1,4,2,4,1,2
559,2,3,4,1,2,2,4
560,3,3,1,3,4,2,2
561,3,3,1,4,3,3,1
562,2,4,2,1,1,3,1
563,3,3,1,4,2,2,3
564,4,2,4,1,1,3,3
565,2,3,1,2,3,2,3
566,2,1,2,4,4,2,3
567,1,3,1,4,1,2,2
568,4,4,2,3,3,2,3
569,4,3,3,1,3,2,2
570,3,3,2,2,2,2,2
571,1,4,1,4,1,4,2
572,2,4,2,4,1,1,1
573,4,4,1,3,3,2,2
574,4,1,3,3,1,4,1
575,3,2,3,3,2,1,3
576,3,4,2,2,4,3,1
577,2,4,1,4,1,4,1
578,2,2,3,2,2,3,2
579,1,2,3,3,3,1,2
580,2,3,3,3,2,2,3
581,2,2,3,2,3,2,1
582,4,1,2,4,2,2,2
583,2,2,4,2,1,3,3
584,2,1,3,3,2,2,1
585,3,4,2,2,1,4,1
586,3,3,1,2,2,4,1
587,4,2,3,2,2,4,3
588,3,2,2,3,1,1,3
589,1,3,1,3,2,3,3
590,4,3,3,3,3,2,4
591,3,3,2,3,3,3,2
592,3,4,1,3,3,3,1
593,4,1,2,1,4,2,4
594,4,2,4,2,2,2,3
595,2,2,1,3,2,4,3
596,1,3,3,2,2,2,1
597,3,2,2,2,2,4,2
598,4,2,2,2,3,4,3
599,1,2,4,1,3,3,3
600,3,3,4,2,2,3,2
601,3,2,2,3,3,3,1
602,3,4,2,2,3,3,3
603,4,3,3,2,1,2,3
604,4,1,3,2,3,1,4
605,3,2,2,2,3,2,2
606,4,1,4,1,1,3,4
607,3,3,2,1,4,3,2
608,2,2,2,1,4,4,1
609,3,2,3,1,3,3,2
610,4,4,1,1,2,1,4
611,4,2,1,2,4,1,4
612,1,3,3,1,1,4,1
613,1,3,4,1,4,1,2
614,4,1,2,2,4,2,2
615,3,2,3,3,3,1,2
616,3,3,2,2,3,2,2
617,1,3,2,3,2,4,2
618,4,3,2,2,1,3,4
619,3,2,3,3,3,1,2
620,4,2,2,3,2,1,4
621,2,3,3,2,2,3,3
622,4,1,2,2,3,3,2
623,3,3,4,2,2,2,1
624,2,2,3,2,3,2,3
625,2,3,4,1,3,2,4
626,3,2,2,3,2,3,3
627,2,4,2,2,3,2,1
628,1,4,3,3,3,1,3
629,3,3,3,3,2,4,2
630,2,3,1,3,2,3,1
631,2,3,4,2,2,2,2
632,2,3,2,1,2,4,1
633,3,3,2,3,2,4,1
634,1,3,3,3,1,3,1
635,1,2,4,1,2,4,3
636,1,2,4,1,4,3,1
637,1,4,2,3,4,1,2
638,4,2,4,1,2,2,4
639,1,4,2,4,2,2,3
640,3,1,2,4,4,1,2
641,4,3,2,2,3,3,3
642,3,2,3,3,2,2,3
643,3,1,2,3,3,3,1
644,4,3,3,2,2,1,2
645,3,2,2,4,1,3,2
646,3,2,3,2,4,1,3
647,2,3,3,3,3,2,2
648,1,4,1,3,2,2,2
649,2,1,4,4,2,3,1
650,1,4,1,1,4,4,1
651,2,2,3,3,2,3,2
652,2,3,1,4,3,3,1
653,2,2,4,2,3,2,3
654,3,4,4,1,3,2,4
655,2,3,2,3,3,2,3
656,2,3,2,1,4,3,1
657,2,2,2,2,3,3,3
658,2,3,3,2,2,2,1
659,2,2,3,2,3,2,3
660,3,3,3,2,3,3,2
661,3,1,3,4,1,2,2
662,2,2,3,2,3,1,3
663,3,2,4,2,2,3,3
664,2,1,4,3,1,4,1
665,3,2,3,2,3,3,2
666,2,3,2,3,4,2,2
667,1,4,4,1,4,2,1
668,4,3,1,3,1,1,4
669,4,1,1,2,4,1,3
670,3,2,2,3,2,2,4
671,3,2,2,2,3,1,3
672,1,4,2,1,2,4,4
673,3,2,3,4,2,1,2
674,1,1,4,2,2,1,4
675,3,2,4,1,3,3,1
676,4,2,3,1,3,3,2
677,3,2,2,4,4,1,2
678,2,3,3,3,2,3,2
679,2,3,3,2,3,2,3
680,3,3,2,2,3,3,1
681,2,1,4,1,3,4,1
682,3,2,2,2,4,2,2
683,2,1,4,2,3,1,4
684,2,2,4,2,2,2,2
685,3,2,2,3,2,3,2
686,2,2,3,1,4,3,4
687,4,1,3,3,4,1,4
688,2,4,3,3,2,3,2
689,3,2,3,4,1,2,3
690,3,3,3,4,2,1,4
691,3,4,1,3,4,1,4
692,4,4,2,1,2,3,2
693,3,3,2,3,3,2,2
694,1,3,3,1,4,4,1
695,4,3,2,2,3,3,1
696,3,3,2,1,3,4,2
697,4,1,3,4,3,2,2
698,4,2,3,4,2,3,2
699,2,2,2,2,2,2,3
700,3,3,1,3,2,3,2
701,1,4,1,4,1,4,3
702,3,2,2,4,3,3,2
703,4,2,2,2,3,3,1
704,2,4,1,4,1,4,1
705,3,2,2,3,3,3,3
706,3,4,1,3,2,3,1
707,3,1,4,3,1,4,3
708,1,3,1,4,4,2,1
709,1,2,4,1,4,1,2
710,2,4,2,2,4,1,3
711,1,3,2,3,3,2,2
712,3,2,2,3,2,4,2
713,1,2,3,3,2,3,3
714,1,4,3,4,1,4,2
715,3,1,3,2,3,3,2
716,1,3,3,1,2,4,3
717,1,3,4,1,4,3,1
718,4,2,2,4,1,2,2
719,2,3,2,3,3,2,4
720,2,2,2,2,3,2,3
721,3,3,2,3,2,2,4
722,3,3,2,3,2,2,2
723,3,2,2,2,2,3,3
724,1,3,4,1,3,2,2
725,2,2,3,2,2,2,4
726,3,2,4,1,4,1,2
727,1,2,4,1,2,3,3
728,1,4,3,4,1,1,4
729,3,1,3,1,3,3,3
730,1,2,3,3,3,1,3
731,1,3,4,1,4,1,2
732,2,3,1,4,1,3,3
733,4,2,2,3,2,1,1
734,1,4,2,2,3,3,2
735,4,1,1,4,2,3,2
736,4,2,1,4,1,3,2
737,2,3,4,3,2,4,2
738,4,3,2,3,4,3,1
739,3,3,3,2,3,3,1
740,3,3,3,2,2,2,3
741,3,2,2,3,3,2,2
742,2,1,2,4,4,2,1
743,3,2,3,1,4,1,3
744,1,3,1,4,2,2,3
745,3,3,2,1,4,3,1
746,4,3,1,3,2,2,4
747,4,3,3,2,4,1,2
748,4,1,4,3,2,2,4
749,2,2,4,3,3,1,2
750,1,3,3,2,3,2,4
751,2,1,3,2,3,3,4
752,1,3,2,3,3,3,2
753,4,2,3,2,3,2,2
754,3,2,4,1,3,1,4
755,2,4,1,2,3,4,2
756,4,2,1,1,4,1,4
757,3,1,2,4,1,4,1
758,4,1,2,4,4,1,4
759,4,1,3,3,3,1,4
760,4,1,4,3,3,2,3
761,4,3,4,1,4,1,1
762,3,3,3,1,2,2,2
763,3,1,4,1,3,3,1
764,4,1,4,1,3,2,2
765,3,3,3,2,4,3,1
766,4,2,4,1,3,2,4
767,1,2,2,3,3,2,2
768,4,3,3,2,3,1,4
769,1,4,2,2,4,1,3
770,3,4,1,1,4,2,3
771,3,3,3,2,3,2,3
772,1,4,1,1,3,1,2
773,2,4,1,1,2,2,4
774,1,4,1,3,2,3,2
775,3,3,2,2,3,4,1
776,2,3,1,3,4,2,1
777,2,1,4,1,3,1,3
778,3,2,2,2,2,3,1
779,2,3,2,2,3,4,2
780,4,3,1,4,2,2,2
781,2,2,3,1,4,1,4
782,1,2,3,2,2,2,4
783,2,3,4,1,2,4,3
784,3,1,1,3,4,2,4
785,3,2,2,3,2,3,2
786,1,4,2,4,1,4,3
787,3,2,2,2,4,2,2
788,4,2,3,3,1,3,4
789,3,4,1,4,2,1,4
790,3,2,3,2,2,2,4
791,3,1,4,4,2,1,4
792,1,4,3,2,2,2,2
793,3,2,3,2,2,1,3
794,2,1,3,4,2,4,1
795,1,3,2,4,1,4,3
796,1,3,3,3,3,2,1
797,2,2,2,4,1,2,3
798,3,3,2,2,2,3,3
799,4,2,1,3,2,4,1
800,4,2,3,3,2,3,2
801,3,2,2,2,3,3,1
802,3,2,3,4,1,3,2
803,2,3,4,1,4,1,4
804,2,2,3,2,3,2,2
805,3,4,1,2,3,2,3
806,3,2,3,2,2,4,1
807,3,3,3,2,3,2,4
808,3,2,4,1,4,3,1
809,4,2,1,3,3,2,2
810,2,3,2,2,4,1,2
811,1,4,2,4,2,1,3
812,2,4,1,3,3,3,2
813,3,3,3,3,2,2,3
814,2,3,3,3,3,3,3
815,3,1,4,1,3,2,1
816,2,3,2,2,3,1,2
817,3,2,4,2,2,2,4
818,3,2,4,2,3,2,2
819,2,4,4,1,4,2,2
820,2,3,2,3,3,3,1
821,3,3,3,2,3,2,1
822,3,3,2,2,3,2,4
823,2,2,4,3,2,3,4
824,2,1,3,3,3,2,3
825,4,1,2,4,3,4,1
826,3,2,2,1,4,3,1
827,1,4,3,1,3,3,3
828,1,2,3,3,2,1,4
829,4,2,3,1,3,4,1
830,3,2,3,1,4,2,2
831,4,2,3,2,4,2,3
832,4,1,4,1,3,3,3
833,2,2,4,1,4,1,3
834,3,3,2,2,3,3,2
835,2,1,3,2,4,1,3
836,3,3,4,2,2,3,2
837,4,1,2,3,3,2,4
838,3,2,3,3,2,3,2
839,1,4,2,2,2,3,3
840,2,4,4,2,3,1,4
841,3,2,3,3,2,3,2
842,1,3,2,3,2,4,1
843,2,2,2,3,3,3,2
844,4,2,2,2,4,2,1
845,3,3,1,2,4,2,2
846,2,4,1,4,2,2,3
847,2,3,2,4,1,2,3
848,1,3,3,1,4,2,3
849,4,1,2,3,3,2,2
850,4,2,1,4,3,2,2
851,4,2,2,3,1,2,4
852,2,2,3,2,1,4,2
853,2,3,2,3,2,3,3
854,1,3,3,1,4,2,3
855,1,4,4,1,4,4,2
856,4,2,3,3,4,1,1
857,4,3,2,2,3,2,3
858,4,3,2,2,1,4,2
859,3,3,1,2,4,4,1
860,3,2,3,2,3,2,3
861,1,4,3,2,3,3,1
862,2,3,3,3,2,3,3
863,3,4,1,4,3,1,4
864,3,3,2,3,3,1,3
865,3,2,3,2,4,1,4
866,1,4,3,1,2,4,1
