CUSTNO,Monetary_가전/레저취미/멀티샵_저가_증감여부_q2_q1,Monetary_가전/레저취미/멀티샵_저가_증감여부_q3_q2,Monetary_가전/레저취미/멀티샵_저가_증감여부_q4_q3,Monetary_가전/레저취미/멀티샵_저가_증감여부_q5_q4,Monetary_가전/레저취미/멀티샵_저가_증감여부_q6_q5,Monetary_가전/레저취미/멀티샵_저가_증감여부_q7_q6,Monetary_가전/레저취미/멀티샵_저가_증감여부_q8_q7,Monetary_가전/레저취미/멀티샵_저가_q2_q1_로그변환,Monetary_가전/레저취미/멀티샵_저가_q3_q2_로그변환,Monetary_가전/레저취미/멀티샵_저가_q4_q3_로그변환,Monetary_가전/레저취미/멀티샵_저가_q5_q4_로그변환,Monetary_가전/레저취미/멀티샵_저가_q6_q5_로그변환,Monetary_가전/레저취미/멀티샵_저가_q7_q6_로그변환,Monetary_가전/레저취미/멀티샵_저가_q8_q7_로그변환
101,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,2,1,0,0,0,0,-9.438413534742644,-7.343382831896894,-7.755346016761853,0.0,0.0,0.0,0.0
103,0,0,0,4,1,0,0,0.0,0.0,0.0,9.964271589639996,-9.964271589639996,0.0,0.0
104,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.112525275490315,-9.896534220525036
105,1,0,4,4,3,1,0,-8.537304218754803,0.0,10.000056249405889,10.712623201838467,8.910267977652612,-11.216574830562566,0.0
106,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0,4,2,1,0,0,0,0.0,10.476813008473702,-10.002661171321842,-9.502934059064739,0.0,0.0,0.0
109,0,4,1,0,0,4,1,0.0,7.797887779107632,-7.797887779107632,0.0,0.0,9.50078368115391,-9.50078368115391
110,0,4,1,0,0,4,2,0.0,8.85801041718473,-8.85801041718473,0.0,0.0,9.11823085907434,-7.866265882613875
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.478253454984381,-8.478253454984381
113,1,4,4,4,2,4,1,-9.270171053154225,8.203216010733833,9.509840629551316,10.9688670239084,-9.543273273710803,11.917440247029992,-12.260031826854211
114,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.111048255992396
115,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,4,1,0,0,4,1,0,8.652701307555477,-8.652701307555477,0.0,0.0,9.3558954983009,-9.3558954983009,0.0
117,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0,4,1,0,0,0,0,0.0,10.645313049391286,-10.645313049391286,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,0,4,1,4,1,0,0.0,0.0,9.503648546693654,-9.503648546693654,9.613704958722924,-9.613704958722924,0.0
123,1,0,0,0,4,1,0,-9.250970672347815,0.0,0.0,0.0,8.488914310328726,-8.488914310328726,0.0
124,1,0,0,0,0,0,0,-8.578118372525516,0.0,0.0,0.0,0.0,0.0,0.0
125,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,10.471116725285171,-10.471116725285171,0.0
126,0,4,3,1,0,0,0,0.0,9.10817039613324,9.013294543442823,-9.754946401675648,0.0,0.0,0.0
127,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1,1,0,0,4,1,0,-12.197581340039966,-9.823763770249931,0.0,0.0,11.806531781107587,-11.806531781107587,0.0
129,3,1,4,1,4,1,0,10.289500825420518,-10.913529488726562,11.524184894428387,-11.524184894428387,7.775778533441135,-7.775778533441135,0.0
130,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,7.974888080207235,-7.974888080207235,9.57928052796069
131,1,0,0,4,1,0,4,-9.470005349365664,0.0,0.0,9.73487055796948,-9.73487055796948,0.0,9.999186345407685
132,1,0,4,1,0,4,1,-12.333163414024757,0.0,9.697203027785639,-9.697203027785639,0.0,8.30604663617565,-8.30604663617565
133,4,4,1,0,0,0,0,7.285421442659543,10.305168773520334,-10.352796443950837,0.0,0.0,0.0,0.0
134,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2,3,1,4,1,4,2,-10.375473308969873,10.043400624134785,-10.224523018191713,9.757966352952787,-9.923386454740529,10.425985421228141,-8.405012563983504
139,0,0,0,4,1,4,1,0.0,0.0,0.0,8.246906568496907,-8.246906568496907,10.048812130063238,-10.048812130063238
140,4,1,0,0,0,0,0,10.764970797279512,-10.764970797279512,0.0,0.0,0.0,0.0,0.0
141,3,2,4,3,1,1,3,8.536771406110253,-8.773113947631437,10.036258743309535,7.84700969702025,-9.901003917930968,-9.202385221739966,8.880747319450048
143,2,2,1,0,4,1,0,-9.485457938307265,-9.404373491580353,-9.6207477355754,0.0,9.07660953260347,-9.07660953260347,0.0
144,2,3,2,2,2,3,2,-11.275649286068743,11.547797532359981,-11.104730611776077,-11.27056041639854,-10.577909401173207,11.083868323892153,-10.850797034883355
145,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,3,2,1,4,1,4,2,9.027299780506883,-8.808930362164924,-9.882311281495381,11.58252026029453,-11.65984877952506,10.083296840469652,-9.36575663544556
148,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,6.008179212063296,-6.008179212063296
149,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2,1,4,1,4,1,0,-7.753996475491643,-9.428796190277959,9.798429045228218,-9.798429045228218,11.649963984093134,-11.649963984093134,0.0
151,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,4,3,3,1,4,1,0,9.444299140260867,8.800690070659826,10.192307514291448,-10.73573939963837,10.75049308619717,-10.75049308619717,0.0
161,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0,0,0,4,1,0,0,0.0,0.0,0.0,7.662109868911347,-7.662109868911347,0.0,0.0
163,1,4,3,1,0,0,4,-10.161062760106928,9.062190494980026,8.224991504040233,-9.421824887894779,0.0,0.0,8.246060778512772
164,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,9.854852699684068,-9.854852699684068,8.472161778865239
165,0,4,1,0,0,0,0,0.0,9.80686414272784,-9.80686414272784,0.0,0.0,0.0,0.0
166,0,4,1,0,0,0,4,0.0,10.040001883010024,-10.040001883010024,0.0,0.0,0.0,9.14700556477003
167,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,0,4,1,0,0,0,0.0,0.0,8.977277398173321,-8.977277398173321,0.0,0.0,0.0
169,1,4,1,0,0,0,0,-12.204939232169583,9.630124278233177,-9.630124278233177,0.0,0.0,0.0,0.0
170,3,1,0,0,0,0,0,9.061697326804426,-9.865004540927272,0.0,0.0,0.0,0.0,0.0
171,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,7.795972845112833,-7.795972845112833,0.0
172,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,3,1,0,0,4,2,3,8.292714052626831,-9.706053286547101,0.0,0.0,9.274528701744277,-8.812410373236716,9.155114932155918
175,3,2,3,3,2,3,2,10.797803689205423,-10.998112026115813,10.961715051773398,9.852241890390676,8.954939360285543,11.238240013779983,-11.717056409241202
176,1,3,3,1,2,3,3,-9.626902818799836,8.411183615602708,9.645068809182488,-9.834897651793215,-7.145452796255327,6.992874542125094,8.274712309846088
177,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0,0,0,4,1,0,0,0.0,0.0,0.0,9.830746918610345,-9.830746918610345,0.0,0.0
182,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9.86069322512504,-9.86069322512504
185,0,4,3,1,4,1,0,0.0,10.160725468213128,10.26544876133113,-10.907586221808012,11.80362904312317,-11.80362904312317,0.0
186,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,8.448100888126099,-8.448100888126099,0.0
187,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1,4,4,2,1,4,3,-9.230353385526504,8.446103138802743,9.702976430294116,-9.5941254967622,-8.755396811925491,8.172192530356323,8.967982053110829
189,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.477384584268432,-10.477384584268432
190,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0,4,1,0,0,0,0,0.0,8.288351470114202,-8.288351470114202,0.0,0.0,0.0,0.0
193,4,4,2,1,1,0,0,9.875054357164101,11.153760388024331,-10.396993017821668,-10.686312113262627,-9.453477332930209,0.0,0.0
194,0,4,1,4,1,0,0,0.0,11.18329269429843,-11.18329269429843,8.067418193375522,-8.067418193375522,0.0,0.0
195,1,0,0,4,1,3,1,-11.142894011458784,0.0,0.0,10.75270328531735,-10.37902257104203,9.958332797516526,-10.483082445347302
196,0,4,1,1,0,4,1,0.0,11.932650222484272,-11.847283996784311,-9.4295463113871,0.0,11.364671210724524,-11.183750514975488
197,4,1,0,4,2,2,1,8.810941155811989,-8.810941155811989,0.0,11.481557479441804,-10.010934949162952,-9.414211550293386,-11.041061560822552
198,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0,0,0,4,1,0,4,0.0,0.0,0.0,10.328900326331654,-10.328900326331654,0.0,9.414043379782065
200,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,7.697879649352277
201,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1,0,0,0,0,0,0,-10.369721013851091,0.0,0.0,0.0,0.0,0.0,0.0
204,4,2,2,1,0,4,2,10.849581966684973,-9.956172919131806,-9.144481738058786,-9.955606550350023,0.0,9.966577737854706,-7.758050675721163
205,1,0,0,0,0,4,1,-9.959259284255229,0.0,0.0,0.0,0.0,10.31318859488319,-10.31318859488319
206,0,0,0,4,1,0,0,0.0,0.0,0.0,11.553469345043773,-11.553469345043773,0.0,0.0
207,1,0,4,1,0,4,1,-9.80176096328226,0.0,9.572636446219773,-9.572636446219773,0.0,8.853672634011057,-8.853672634011057
208,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0,0,4,1,0,0,0,0.0,0.0,8.65478235371708,-8.65478235371708,0.0,0.0,0.0
211,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1,0,0,4,1,0,0,-10.183397860418262,0.0,0.0,10.657395244262093,-10.657395244262093,0.0,0.0
214,4,1,0,0,0,0,0,8.240510977591626,-8.240510977591626,0.0,0.0,0.0,0.0,0.0
215,4,1,4,1,0,4,4,9.769699557274812,-9.769699557274812,11.304824491318758,-11.304824491318758,0.0,9.224692029026096,10.75856463714525
216,1,4,3,1,0,0,4,-10.369721013851091,10.254248074502641,10.135761057261895,-10.889886971828835,0.0,0.0,10.553422193519697
217,4,1,4,1,4,1,0,10.098187620012613,-10.098187620012613,11.459647032493079,-11.459647032493079,10.527354893577726,-10.527354893577726,0.0
218,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0,4,3,1,0,4,4,0.0,9.97605603895123,9.066894837489059,-10.314537329147676,0.0,10.897963183300698,11.831178701427298
220,1,4,1,1,0,0,4,-9.41092112791476,11.265826581082225,-11.099458078244497,-9.390328810853857,0.0,0.0,11.44335356626746
221,4,1,4,4,1,0,4,10.246601948690707,-10.246601948690707,9.050685229314348,10.809660102613337,-10.968543381986684,0.0,8.89280226595828
222,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2,1,4,1,0,0,0,-10.206536699768657,-9.740958755093661,10.19604392266238,-10.19604392266238,0.0,0.0,0.0
227,4,3,2,3,2,1,4,6.880299005479831,6.963939987572761,-6.385508087755304,6.536277828026965,4.136365345986323,-7.690658038229478,7.27067762569855
228,2,4,1,4,1,1,0,-8.690980457819549,10.026319084923246,-10.289338180257376,9.964271589639996,-9.900548216549577,-7.180137086245271,0.0
229,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,3,1,4,2,2,2,3,10.325249672222245,-10.629554292754841,10.027277177101611,-9.510488815701729,-8.494257789515483,-8.088336677018958,6.430282341830052
233,0,4,1,0,0,4,2,0.0,8.446103138802743,-8.446103138802743,0.0,0.0,8.62511616707771,-7.060020243492474
234,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0,0,4,1,0,4,1,0.0,0.0,9.016400248058437,-9.016400248058437,0.0,9.214642688880016,-9.214642688880016
236,4,1,0,0,0,4,2,8.927096235319079,-8.927096235319079,0.0,0.0,0.0,10.759329061820507,-10.243701300455744
237,1,0,4,1,0,4,2,-9.280130361336541,0.0,9.421824887894779,-9.421824887894779,0.0,9.596224992723268,-9.101934044986642
238,0,0,4,3,1,0,0,0.0,0.0,9.749375680687743,8.321388847243407,-9.964271589639996,0.0,0.0
239,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.403836928284365,-8.403836928284365
240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2,3,4,3,3,2,1,-7.888068324667107,8.561315749353442,10.301471247676817,9.626707835506336,11.611850449702606,-11.286238114187439,-11.34266641791813
243,4,2,3,1,4,2,1,10.568175816361325,-9.986683152995443,9.951047166273595,-10.548409782871998,9.865004540927272,-9.127267974072552,-9.214642688880016
