CUSTNO,Monetary_의류/이미용_중가_증감여부_q2_q1,Monetary_의류/이미용_중가_증감여부_q3_q2,Monetary_의류/이미용_중가_증감여부_q4_q3,Monetary_의류/이미용_중가_증감여부_q5_q4,Monetary_의류/이미용_중가_증감여부_q6_q5,Monetary_의류/이미용_중가_증감여부_q7_q6,Monetary_의류/이미용_중가_증감여부_q8_q7,Monetary_의류/이미용_중가_q2_q1_로그변환,Monetary_의류/이미용_중가_q3_q2_로그변환,Monetary_의류/이미용_중가_q4_q3_로그변환,Monetary_의류/이미용_중가_q5_q4_로그변환,Monetary_의류/이미용_중가_q6_q5_로그변환,Monetary_의류/이미용_중가_q7_q6_로그변환,Monetary_의류/이미용_중가_q8_q7_로그변환
68,3,3,1,3,1,4,4,13.825704069660237,14.291517550956728,-14.970310001671585,12.165186725690134,-13.14250154005744,12.567959042930696,13.267612761704097
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2,4,1,2,1,4,3,-10.396643225196469,14.158575075105125,-13.636226667127747,-10.51085121401389,-12.701184480344274,13.154004579029683,8.862508133905797
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1,4,1,4,3,4,1,-13.031882367642524,11.384572275119247,-11.41904945221818,8.034319406494163,8.068446380560191,10.993931044629566,-10.929145279495048
73,2,3,1,4,1,3,3,-14.499698192986035,14.713124265187167,-15.3585947002387,14.426760032874288,-14.346893204558747,13.853720139398254,13.087298175672885
74,3,2,1,2,2,1,4,14.699067425460715,-13.991794851561485,-14.625206954133136,-12.805690307898494,-12.68519754695363,-13.188396463676712,12.8775191136219
75,0,4,1,0,0,0,0,0.0,10.364971304536713,-10.364971304536713,0.0,0.0,0.0,0.0
76,3,4,1,1,4,1,3,9.544466161223554,12.522631468397382,-12.152899265739386,-12.033486323559709,12.713393253674411,-12.356995854310966,9.850993821482307
77,3,3,3,1,3,3,2,12.894070738895792,12.39980817151032,13.178648628344144,-14.165160890226591,12.681308030888319,13.420724901997724,-12.809690589895041
78,0,4,1,2,4,4,3,0.0,13.607915948725081,-13.549486193253603,-9.640779523248026,13.140063099397782,13.807606992874476,14.144666507996284
79,4,1,4,1,1,4,1,11.186717875486634,-10.742152219244158,10.77433429604021,-10.677114943181158,-10.319806157608996,12.259039534808858,-12.259039534808858
80,0,4,1,3,4,1,4,0.0,12.231395023475693,-11.879708592325912,10.426958757707196,13.49517198327888,-13.617645304735385,12.557849644977182
81,4,4,1,4,3,1,1,11.165479732744739,12.75947633707763,-12.88831369139235,14.021555054712609,12.553241807210982,-13.846113755075072,-12.499092184535439
82,3,4,3,1,4,3,1,10.684100959952765,12.072795224734648,12.979932227361152,-13.497186765243942,13.858096155403691,13.513910361727152,-13.90209149843708
83,4,3,2,1,4,3,1,13.270557833636893,12.798074740343235,-12.55124707670123,-13.398391870398957,14.036992367734815,13.83958222775556,-14.321869149899197
84,1,3,1,3,2,3,4,-14.372666798773787,12.165223707759838,-13.531240089802248,10.632098290004938,-10.203368121510907,9.010152809227094,12.733876876048916
85,1,4,1,4,2,1,4,-10.542970484504634,10.135784927272187,-10.212819452386649,12.250568816975454,-11.56770815834499,-11.611945333885968,12.688023738746573
86,4,2,1,4,1,3,2,14.028961140765642,-13.241735651489815,-13.426958334135055,13.556315814062378,-13.339799893372353,12.076888068874927,-11.942958278048513
87,3,1,4,1,0,4,3,11.760516100935577,-12.806381948909138,12.97095645397256,-12.97095645397256,0.0,12.38419128280621,11.074357424967575
88,0,4,1,0,4,2,4,0.0,12.880167025594963,-12.880167025594963,0.0,11.8329035678074,-10.358367618427831,13.071625812361665
89,4,1,4,2,1,4,1,12.260374774822921,-11.931498734517211,11.518608306148625,-10.290476953005593,-11.4195129387034,11.508970050117222,-11.179051843152509
90,2,1,4,1,4,2,1,-11.166942151459107,-13.16247343171898,14.687376002437833,-14.634804621092133,13.614937984710807,-13.059439044389487,-13.454312520649793
91,4,1,3,3,1,4,1,12.724041615544174,-12.542680354768505,10.683516185467816,10.070551655381484,-11.427200034067926,11.262839234552136,-11.599470761336166
92,2,3,2,1,4,3,2,-13.110144965616355,13.391226168818907,-13.022196539611837,-13.825906893208208,14.447522301001179,13.661363993979784,-13.958139281019273
93,2,3,1,4,1,4,1,-14.386233701257105,14.260174857715272,-15.049374562779436,13.927475608725715,-13.764281033706732,15.482765801534748,-15.293232767637697
94,0,4,3,2,2,3,2,0.0,13.924048432649373,13.524096022197385,-11.579268696410388,-13.069558000993625,12.423424314594811,-12.548780159159227
95,1,3,3,1,1,4,1,-11.453842061486176,10.900871893124904,10.853279892881632,-11.790115902386777,-10.473830270723653,12.404189048398598,-12.43427047854313
96,4,1,4,1,1,4,3,15.028232272428868,-15.045222577574064,12.126672787432211,-11.944017500184263,-10.336612726366788,11.173613894243957,10.87288097758146
97,1,1,3,3,4,3,1,-13.44736935601371,-12.463147863077834,11.145434852887167,10.135003767984873,13.612396465396316,12.52560808466087,-13.789523318334156
98,3,4,3,3,1,4,1,11.540210283879187,12.700435706223578,11.39082684711761,12.670948018352558,-13.692333619281237,14.020594589987642,-13.749124530166716
99,3,3,2,3,3,1,1,12.481520481502221,15.243233011569709,-14.993838366065205,13.78952275322359,14.905571492623636,-15.898041468232575,-13.925978716550679
100,4,4,4,1,1,4,1,11.684408774863622,12.43028451954943,13.776210143292637,-13.795039641533117,-12.130545786151128,12.718053153401328,-13.120290924889087
101,0,4,1,0,0,0,0,0.0,11.24381720106542,-11.24381720106542,0.0,0.0,0.0,0.0
102,1,2,1,4,3,3,1,-13.82812676457326,-11.748180752108514,-13.101514480728564,12.957046976882634,10.015385877632054,13.334986583405941,-13.751374041204802
103,4,4,1,0,0,0,0,9.948377593590498,11.306993124573898,-11.535724296211539,0.0,0.0,0.0,0.0
104,1,4,1,4,3,1,0,-10.561902825642356,10.890828556885953,-10.910965398463052,10.91775225043127,10.207517453166108,-11.630097255694512,0.0
105,4,1,0,0,4,4,1,10.673483164753367,-10.673483164753367,0.0,0.0,10.424593659920014,14.08337363636203,-13.901563028839048
106,4,2,3,2,4,1,3,12.752149895859258,-12.190611864410027,12.820378492233559,-12.468496525229956,13.911611772451666,-13.94715543147111,12.630407493778494
107,2,3,2,1,4,2,4,-11.636185928507139,13.264526726254763,-13.312842860889182,-13.308978494181835,13.254627620014519,-11.325946208456733,13.391700745854415
108,1,4,2,3,4,2,1,-11.695292850736708,12.469963010555935,-11.980447621489223,10.60376251975366,12.661164308120888,-12.51389662409987,-12.039513835053338
109,1,4,1,0,0,0,4,-10.67307569895489,10.80387314968451,-10.80387314968451,0.0,0.0,0.0,10.278580270421413
110,4,4,1,4,1,4,1,11.860684877287945,13.26499660403421,-13.53996313210144,14.004662461013185,-13.817697655363173,12.640889664594939,-13.151865979794286
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1,3,4,4,2,3,4,-14.862925508715026,12.692247658781215,14.088632176745532,14.870597942260629,-14.494940435793593,12.640637954338715,16.612012036736456
113,1,3,3,3,1,2,4,-15.080646997748431,13.468023971791519,12.21333297033341,14.02706594848956,-14.716633822869069,-12.878493611196895,14.078107493203365
114,4,3,2,1,3,3,1,13.251274510300345,11.895685088012382,-12.040546868063553,-12.715388337434728,11.429820240527622,12.100377713395716,-13.18120545811197
115,3,1,4,1,4,1,0,10.971731644076229,-12.34577475941979,13.19634709763242,-13.117310085720066,10.839922692424123,-11.428808196078158,0.0
116,4,3,3,1,4,1,4,10.35048797185333,9.550714443734549,10.751003090537651,-11.429564046704014,12.66666345238608,-12.62495408304075,12.06447057572665
117,1,0,0,0,4,1,0,-15.12051878729516,0.0,0.0,0.0,13.242314858600913,-13.242314858600913,0.0
118,2,4,3,2,2,4,2,-14.319091309574818,14.918381696848527,15.559618421251349,-14.572480176744318,-15.10706989034199,15.580533716501073,-15.218789677021283
119,4,1,4,3,1,4,1,14.766546067773133,-14.745981306612126,14.747692731517681,14.860490037437755,-15.609720953294614,15.413172415284608,-15.337161548623158
120,3,3,2,1,4,3,1,14.908481160581122,12.444953135654606,-14.499414430400154,-15.487730481053953,15.263868482658923,14.950272743204675,-15.503872808168442
121,3,1,4,4,1,4,4,10.637381754433466,-12.011332563742211,11.456198033815685,14.22716678376226,-14.242672081008784,11.959179016677671,14.0889230651734
122,2,3,2,4,1,4,1,-12.784894274661752,12.746616158390022,-12.591172557258128,14.603951561013433,-14.439328406883645,14.303221355156712,-14.215878136608683
123,4,1,0,0,0,0,0,11.196811549489116,-11.196811549489116,0.0,0.0,0.0,0.0,0.0
124,2,3,2,2,4,1,2,-12.830361878317483,12.879799317029919,-13.627895311902314,-11.546174980189656,15.325494710608961,-15.327169218473095,-12.660043154272959
125,1,4,1,2,3,1,4,-13.543725312609814,11.747584909203322,-11.718977424236677,-9.993976384509653,9.964417994534395,-11.580516533190666,13.051467410899853
126,1,4,4,3,1,3,1,-14.29044939981674,12.379030353166945,15.089777386096547,15.08763464271275,-15.6554631731554,12.766696978537835,-14.143395010916409
127,3,3,1,4,1,0,4,11.517339890159361,12.353053864517909,-13.085071107211212,10.337051507052097,-10.598969508352662,0.0,10.820644058714922
128,0,4,1,0,0,0,0,0.0,11.24381720106542,-11.24381720106542,0.0,0.0,0.0,0.0
129,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2,2,2,3,2,1,3,-14.193610587630566,-12.992328237081308,-13.929358984423489,13.591854865415947,-10.008299788105187,-14.300121883275153,12.918061502843955
131,4,2,1,3,3,3,1,14.463575788834426,-13.271555252508092,-13.676515483715749,11.28447579742687,10.475373375691431,13.09342033144655,-13.665895792414355
132,1,0,4,3,1,3,4,-10.598969508352662,0.0,12.746110140515649,10.217801157260178,-12.735031592543098,10.382492153886098,11.310236900433154
133,1,4,1,4,1,2,4,-11.435203398824132,14.003020745754194,-14.003020745754194,14.370910005530689,-13.95735188649836,-12.6029827717244,14.764871033818913
134,4,3,2,3,1,2,3,14.844698284764503,12.838777465084732,-14.154834354087374,12.03547494638267,-14.211885661065466,-12.927634557861326,11.805694172106428
135,4,2,1,4,4,4,1,12.618690242059388,-10.540589035288901,-12.647166392253235,11.391812712061453,12.121384348019646,13.566113716941056,-13.873719577363511
136,4,1,4,1,4,1,4,12.86366771428182,-12.719968871937647,12.507553918200472,-12.546563885012784,12.819122887624706,-12.92421887093076,14.32627446867064
137,1,4,2,2,3,4,1,-15.143909821915026,13.394354266293453,-12.5004526327142,-11.614114731758416,11.129668430135055,13.207784221635285,-13.123181232841938
138,2,4,3,3,1,1,4,-11.759633634939284,12.511862548632324,12.77406200760893,13.076558587359223,-13.77224914195902,-12.586139754114432,12.03896075734709
139,4,4,1,1,4,4,2,11.740269064011661,13.79144563814316,-13.553352815476952,-12.88368467739691,11.694053661362785,14.673434125070733,-13.871372900479063
140,1,4,4,1,0,0,4,-13.667415986052902,12.904002071207536,14.099017148450308,-14.363455135988126,0.0,0.0,12.503030165093794
141,4,1,0,0,0,0,0,9.948377593590498,-9.948377593590498,0.0,0.0,0.0,0.0,0.0
143,0,4,1,0,4,1,0,0.0,9.874368348898626,-9.874368348898626,0.0,8.205633630183874,-8.205633630183874,0.0
144,4,2,1,1,0,4,1,13.772396558043852,-10.62148117096912,-13.557813110339408,-11.877352368752396,0.0,14.699800351284468,-14.699800351284468
145,1,2,3,1,4,4,1,-13.904551991633065,-7.05851373206791,11.688082964866828,-13.318600454802738,13.713997763228885,13.784340666988246,-13.967554354010543
146,2,3,1,4,1,4,1,-12.954277245054582,12.996542475595467,-14.745288699079055,15.272312317107453,-15.247245241804503,12.625144046597695,-12.991389323320648
147,3,2,3,3,2,2,2,12.92196891169782,-13.865352026701775,10.795688723493603,13.795607437022069,-13.730123232905326,-13.509695806661602,-12.31753738622365
148,0,4,1,0,0,0,0,0.0,11.191632149035762,-11.191632149035762,0.0,0.0,0.0,0.0
149,2,4,2,1,2,4,1,-12.473244443060992,13.91347202181625,-13.546757713561947,-13.767950940219597,-8.206417562721327,13.121015080972146,-13.102687147584502
150,4,1,4,1,4,4,1,12.596633367406254,-12.596633367406254,8.94895178058028,-8.94895178058028,10.882479221982678,11.927526865307271,-12.228866589464051
151,4,1,4,1,4,1,4,14.193565194639035,-14.351086161409425,14.452504141162018,-14.752416796801379,14.662946627542622,-14.435656720404117,15.309472948022655
152,4,4,2,4,1,4,1,12.846452178775595,13.527455690144006,-11.7895525547693,14.288666302118294,-14.595244540388617,14.75531028788278,-14.587634251043657
153,1,0,4,1,4,1,3,-11.795202865248141,0.0,14.570338554558923,-14.570338554558923,12.692393500369796,-12.565194706328242,8.524015314580238
154,1,1,4,1,0,4,2,-14.77051925148982,-13.486780105776358,10.554277871966203,-10.554277871966203,0.0,14.775559219295797,-13.656909685209001
155,3,2,2,3,3,3,2,14.123070917228999,-13.724952219505974,-10.769017249166478,12.722465085840472,13.394137072107736,-9.319568779299999,-12.912646021360915
156,3,3,2,4,2,1,3,-10.054376219807247,14.342238851780474,-14.303807717320637,16.453532890276932,-15.131108167944724,-16.279048024487942,14.509976596694676
157,4,4,1,1,4,4,3,11.900373150219348,13.146953644382702,-12.917111272994509,-12.806560401599825,12.236820804542479,13.31471143585503,12.428700902263639
158,0,4,2,1,0,4,2,0.0,11.535724296211539,-10.855923672250327,-10.829069831363373,0.0,10.972946318734087,-10.248871958381166
159,4,2,2,2,4,1,4,15.600573038874453,-15.172536368058305,-14.395303891268156,-14.140126320129442,16.137104898144006,-15.972117691846673,16.069796089703352
160,2,1,2,2,3,1,0,-12.58069366823773,-12.6841885355031,-10.061381418042318,-8.166241089783416,10.381320964146159,-11.322057469300432,0.0
161,1,4,2,1,4,1,4,-14.067841311961606,14.580659276497277,-12.326395620410727,-14.432213907546998,13.468300229526807,-13.563954115700346,14.576875041181333
162,3,2,3,1,4,3,2,13.071985395437355,-12.755439847574625,12.999532506485778,-13.877206320570515,13.55479313926817,13.053321167026189,-13.311454096875869
163,3,4,1,4,1,4,1,10.115940009934834,11.525999438265902,-12.014389090158339,10.847425380462392,-10.847425380462392,14.00582958346721,-14.00582958346721
164,4,1,4,1,3,2,1,12.138144053302563,-12.434489635475508,13.939098894617784,-13.631263168913758,11.405998142986933,-12.122588286086684,-12.234168936854324
165,4,4,3,2,1,1,4,14.082965811640635,14.363733989748466,12.591449438620561,-12.918259515747238,-14.66658046820361,-13.270070799354524,12.597356769023849
166,4,3,3,1,1,4,2,13.52990371901293,12.254777696678339,12.977753730715325,-13.596132763794436,-13.28991116197533,14.412243205851112,-13.318031018218363
167,3,2,3,1,4,4,1,13.338611300721253,-13.609330056787867,14.126269228978956,-14.711371056709465,13.144119346038815,14.502235224214786,-14.58145643503516
168,4,1,4,1,4,2,3,12.685216264334983,-12.803940302696695,14.655005255453364,-14.634119135289488,13.780015932461492,-12.377744693999132,12.452341602605722
169,1,1,0,0,4,2,4,-12.558500354357198,-11.229276912529016,0.0,0.0,11.45019313654624,-9.69396515944767,12.0374825454493
170,1,4,1,0,0,0,0,-12.811611432104005,12.96473167756494,-13.076523254604437,0.0,0.0,0.0,0.0
171,1,4,1,2,4,4,1,-12.852224094435648,14.725963097067662,-14.453641382556517,-13.11894799852922,14.420567768722433,14.696461000381614,-15.01276820901136
172,3,1,4,1,2,3,3,11.048994727234883,-11.731729041702458,11.989629344125925,-11.517145377585456,-6.247351994445098,10.536416315280137,11.199806043020246
173,4,1,0,0,4,1,1,12.303986134895117,-12.303986134895117,0.0,0.0,12.913605317683425,-12.73977188009136,-11.078305118419363
175,4,4,1,4,1,0,0,9.943365291993711,11.30827732001803,-11.535724296211539,11.505971731262104,-11.505971731262104,0.0,0.0
176,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,9.517620418390809,-9.517620418390809,0.0
177,4,1,4,4,1,2,1,14.734902214665302,-14.799719355669362,13.52761137249405,15.125904013201794,-15.173444948601517,-12.286030144913118,-13.365332865605218
178,1,1,4,1,4,1,4,-13.754709214030825,-11.886778612185081,13.882992471441973,-13.902086880310291,11.798975880376169,-12.226114662191923,12.161282385043064
179,1,3,2,4,2,2,2,-13.374574285325332,12.658648219005281,-12.830610642210651,13.88438366122411,-12.167284064563955,-12.809013465004499,-12.861673454207812
180,4,1,0,4,1,0,4,12.088695647948914,-12.088695647948914,0.0,12.231202032473705,-12.231202032473705,0.0,13.375010502866262
181,1,3,3,2,4,1,3,-14.758030246183232,13.31376973012158,13.228696566150704,-12.950402684279567,15.09982531822295,-15.324545841390004,12.468279589650807
182,3,3,1,4,1,4,3,12.169190499311936,13.468428293429842,-14.356172518884733,14.198298833557171,-13.859929132443996,14.03334833773768,12.898658601130805
183,0,0,4,1,0,0,0,0.0,0.0,11.860636000595804,-11.860636000595804,0.0,0.0,0.0
184,3,1,3,1,4,1,4,13.886710444026201,-14.673241266350324,12.96466942804555,-14.340671182784323,13.298814330916233,-13.298814330916233,12.122705792576314
185,0,4,1,0,0,4,1,0.0,10.100164612578748,-10.100164612578748,0.0,0.0,10.238995733167771,-10.238995733167771
186,4,1,3,1,4,2,1,13.847633577461911,-13.97533350490453,13.207338201942875,-13.626828745337916,14.264581111959474,-12.946790414021914,-13.836629431851398
187,1,1,1,0,4,1,4,-14.572135547150213,-12.630352446083528,-12.585919740657088,0.0,12.195618617083428,-11.59510456185139,13.794455124336967
188,1,4,1,1,4,1,4,-9.643497969246901,11.173613894243957,-10.609249124455044,-10.332645683201743,9.25527821701833,-9.25527821701833,11.027028915150142
189,3,4,1,1,4,4,2,13.53466136060035,14.71760039613553,-15.043413141120876,-12.637232181849273,13.137393618331535,14.538542696914034,-14.109067291255501
190,1,3,2,4,2,1,3,-13.468905157512529,11.781233997729325,-12.644630728969423,14.870619328049512,-13.584885697999779,-14.56122816048456,12.270837669692668
