CUSTNO,Monetary_가구인테리어/잡화_중가_증감여부_q2_q1,Monetary_가구인테리어/잡화_중가_증감여부_q3_q2,Monetary_가구인테리어/잡화_중가_증감여부_q4_q3,Monetary_가구인테리어/잡화_중가_증감여부_q5_q4,Monetary_가구인테리어/잡화_중가_증감여부_q6_q5,Monetary_가구인테리어/잡화_중가_증감여부_q7_q6,Monetary_가구인테리어/잡화_중가_증감여부_q8_q7,Monetary_가구인테리어/잡화_중가_q2_q1_로그변환,Monetary_가구인테리어/잡화_중가_q3_q2_로그변환,Monetary_가구인테리어/잡화_중가_q4_q3_로그변환,Monetary_가구인테리어/잡화_중가_q5_q4_로그변환,Monetary_가구인테리어/잡화_중가_q6_q5_로그변환,Monetary_가구인테리어/잡화_중가_q7_q6_로그변환,Monetary_가구인테리어/잡화_중가_q8_q7_로그변환
25,4,3,1,4,2,1,4,11.816137051594772,11.374491406635165,-12.312642663435225,13.690640967122109,-12.917861109310286,-12.942051642637281,12.251986518191964
26,4,1,1,4,2,3,1,14.02020078055815,-13.908623991861742,-11.771896537787782,12.1247017694661,-10.533758878240693,11.871701494863272,-12.577517431982514
27,4,3,1,0,0,4,4,12.684432039713977,11.400561060458525,-12.928914296987159,0.0,0.0,10.388128384795678,12.177176778329288
28,4,1,0,0,0,0,0,12.26696153194025,-12.26696153194025,0.0,0.0,0.0,0.0,0.0
29,3,4,2,2,3,3,1,12.257336881291481,13.958109444424359,-13.51521482569432,-12.454118079889572,13.21645766111126,10.473775634463328,-13.699227774442264
30,4,1,4,2,3,1,4,12.0802802349289,-12.303182628015858,12.84630204947459,-12.502524037976022,12.16159910746378,-12.617082169937204,11.323278411177572
31,2,2,2,1,4,4,1,-10.840202321283046,-11.1670086769372,-8.941803325985626,-10.72310716330771,9.018427637539318,11.952371611813957,-12.004186162119654
32,4,3,1,0,0,4,2,10.22231562873381,7.447433808372315,-10.28277129090075,0.0,0.0,11.16130169047388,-10.762052391533222
33,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,9.816868695473662,-9.816868695473662,0.0
34,4,1,0,4,1,0,0,12.949785838528427,-12.949785838528427,0.0,10.669988054993436,-10.669988054993436,0.0,0.0
35,3,3,2,3,1,4,2,11.744650424744691,12.871011427459527,-13.367826736759236,11.423604151934377,-12.77600428395505,13.678485990335805,-12.8693669290126
36,4,1,4,1,4,1,0,11.280082194110706,-11.280082194110706,14.774274013140431,-14.774274013140431,11.237160748747035,-11.237160748747035,0.0
37,4,4,1,1,0,4,2,11.867091351928234,14.208893814287412,-14.069055771738226,-12.724568110397,0.0,13.039932281356755,-12.39132503974093
38,1,1,0,4,4,2,4,-9.687456455110304,-8.693051834664564,0.0,10.373730249787483,11.632424787509663,-11.076049751749046,12.92661512406646
39,0,0,0,0,0,4,3,0.0,0.0,0.0,0.0,0.0,12.534032473317673,9.522945479772863
40,1,0,4,2,1,4,1,-10.002180752394679,0.0,12.65283354379524,-12.325887233677939,-11.375862498319352,10.791358578248456,-10.791358578248456
41,0,4,2,1,0,0,0,0.0,12.106694337168873,-9.840624589790732,-11.997199174959938,0.0,0.0,0.0
42,4,1,0,4,1,0,0,9.765578270768762,-9.765578270768762,0.0,11.363123619580419,-11.363123619580419,0.0,0.0
43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,0,0,4,1,0,0,-13.279470554003074,0.0,0.0,12.348741763961689,-12.348741763961689,0.0,0.0
45,1,0,4,2,1,0,0,-13.472316001757136,0.0,13.611187969160138,-13.197908233857847,-12.528027705506906,0.0,0.0
46,0,0,0,4,1,4,1,0.0,0.0,0.0,12.860904466468279,-12.860904466468279,12.25419595977613,-12.25419595977613
47,1,1,0,4,1,0,0,-12.132091133031441,-10.712924450174764,0.0,11.94088362832172,-11.94088362832172,0.0,0.0
48,4,1,4,1,1,4,4,13.648705372140768,-13.87047656340294,12.998364214776876,-12.90957911066365,-10.532790349916908,11.66903998851352,13.343179347011896
49,1,0,4,1,4,3,2,-12.444442946062178,0.0,13.096644142574853,-13.096644142574853,11.600214553659463,12.48535492516991,-11.935457281353061
50,2,1,0,0,4,1,4,-12.177835319680076,-12.343146993855324,0.0,0.0,11.815798426887218,-11.815798426887218,13.238938366669673
51,4,1,0,0,4,1,0,13.1872105168689,-13.1872105168689,0.0,0.0,11.947430474065172,-11.947430474065172,0.0
52,0,4,1,0,0,0,0,0.0,11.10269512144542,-11.10269512144542,0.0,0.0,0.0,0.0
53,1,1,0,0,4,1,0,-12.816797386519731,-10.915444634115405,0.0,0.0,11.416212762018452,-11.416212762018452,0.0
54,1,4,1,4,1,0,0,-10.502938194286983,10.483435764967107,-10.483435764967107,10.002180752394679,-10.002180752394679,0.0,0.0
55,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.388128384795678,-10.388128384795678
56,4,1,0,0,4,1,4,13.262030176314955,-13.262030176314955,0.0,0.0,13.362257758731685,-13.362257758731685,9.77576062790766
57,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,4,1,0,0,0,0,0.0,11.235408647360183,-11.235408647360183,0.0,0.0,0.0,0.0
59,2,1,4,1,0,0,0,-13.124607259356075,-12.885799439012509,11.2007263518211,-11.2007263518211,0.0,0.0,0.0
60,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,8.430737893123014,-8.430737893123014,0.0
61,2,1,1,4,1,0,0,-10.99181556584188,-11.61884223766204,-8.932942333660007,10.264534562723304,-10.264534562723304,0.0,0.0
62,0,0,4,1,0,4,4,0.0,0.0,10.90882057520412,-10.90882057520412,0.0,10.388128384795678,12.931312621731568
63,4,1,0,0,4,1,1,9.123776037475904,-9.123776037475904,0.0,0.0,11.42626298771756,-11.328377448745547,-9.053879909503905
64,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.838617647158182
65,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,12.122704078517327,-12.122704078517327
67,0,4,1,0,0,0,0,0.0,10.898941690118297,-10.898941690118297,0.0,0.0,0.0,0.0
68,2,2,2,3,2,3,3,-16.784569476629603,-16.870680466279563,-15.193179634161709,16.354255852595216,-16.848854205597167,13.836065534417356,16.197692121856385
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,0,4,3,1,0,4,0.0,0.0,11.765746534222457,12.551316998252785,-12.926911066674997,0.0,11.46600430367168
71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,4,1,0,0,4,1,0.0,13.089192376394156,-13.089192376394156,0.0,0.0,11.76603146373805,-11.76603146373805
73,4,2,3,1,2,1,4,14.948447286289761,-14.606859971838947,13.277611286406117,-14.52422413583012,-11.03592447444376,-12.055026544264727,12.983318745102677
74,3,3,2,1,4,1,4,12.696832454345417,12.150407902652628,-13.298733690258658,-12.723464360813336,12.400815837609281,-12.1545903198325,12.224844538834855
75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4,3,3,1,0,0,0,10.898637823855646,10.354751578651081,11.805909998455137,-12.299329530936122,0.0,0.0,0.0
77,1,4,3,1,0,4,4,-13.97435089579187,11.081260167277698,11.536253874771793,-12.027555453211253,0.0,11.358888170972895,13.293145101533911
78,4,2,3,3,4,1,4,13.12311661822716,-10.563760931263406,10.621610561114107,11.680361856970357,14.49416870529642,-14.723203686438998,13.401020985772671
79,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,13.138271751118417
81,4,1,4,1,3,2,3,13.52072594447574,-13.545840219099537,13.494547553924091,-13.424347826629473,11.93390018454538,-12.056997165405663,9.902599553288946
82,2,2,3,3,1,4,1,-12.6078129131577,-11.57924781493851,11.757688242782638,10.758588985191162,-12.587041669284696,12.343679500075803,-12.343679500075803
83,2,4,1,1,0,0,0,-10.8474686265888,13.90870667730093,-13.87858302658993,-12.050923549535066,0.0,0.0,0.0
84,1,3,3,4,1,4,1,-13.443947088603219,10.830552553743452,11.332608759778658,13.342647306283194,-13.628262661716562,13.47324531391959,-13.47324531391959
85,0,0,0,4,2,1,0,0.0,0.0,0.0,12.082831867216917,-11.35172919699379,-11.42626298771756,0.0
86,4,2,1,0,0,4,1,13.83722608230162,-13.082969208922695,-13.201670139878845,0.0,0.0,11.901765323894145,-11.901765323894145
87,0,0,0,4,1,4,1,0.0,0.0,0.0,10.918444303280456,-10.918444303280456,12.784357961559529,-12.784357961559529
88,4,2,3,4,1,0,0,12.401721084400096,-11.738007067639892,9.286182036010075,14.245864007921233,-14.326275329123224,0.0,0.0
89,0,0,4,1,4,1,0,0.0,0.0,12.124575084285391,-12.124575084285391,9.765578270768762,-9.765578270768762,0.0
90,1,0,4,2,4,2,2,-12.355988141181339,0.0,12.188044862082215,-11.378060609396918,12.677942788641573,-12.12544827836896,-11.904062909880293
91,0,0,0,0,4,2,1,0.0,0.0,0.0,0.0,12.002871573289571,-9.94194329969453,-11.866674246169564
92,4,3,3,1,4,1,4,11.721910438580862,10.170655422224149,12.591937489644856,-13.002550063252453,12.992513335530665,-12.992513335530665,10.198597888144757
93,3,2,1,4,4,1,4,13.169801763980564,-10.525017575380089,-13.820180748987092,10.918444303280456,13.289356290461898,-13.37864274537838,12.965619209045254
94,0,4,1,4,1,0,0,0.0,12.887895379159698,-12.887895379159698,13.301301778750135,-13.301301778750135,0.0,0.0
95,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1,0,4,1,0,4,3,-13.348526190681824,0.0,13.258191836231125,-13.258191836231125,0.0,13.760896551676613,14.35128510157293
98,1,0,0,4,1,0,0,-11.682506141329936,0.0,0.0,12.997869989042545,-12.997869989042545,0.0,0.0
99,2,1,1,4,4,1,3,-12.183609497844879,-13.661419825838328,-12.545434194077014,12.26742096849549,14.785074951984795,-14.793393576308297,12.489041590951423
100,4,2,1,1,4,3,1,12.661145161348204,9.241713495170195,-12.46732444452047,-11.095367354414055,9.816868695473662,10.485131159648338,-10.898941690118297
101,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,0,4,2,4,1,4,-10.644013179953435,0.0,12.49436794208213,-12.0016856029692,12.731477466645126,-12.999132001789782,9.093140374215697
103,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,4,1,4,1,4,1,0.0,11.356359754152052,-11.356359754152052,11.959062589321261,-11.959062589321261,9.289577686068375,-9.289577686068375
106,1,4,2,1,4,1,4,-10.690292854182998,11.49996523431795,-10.45718233891543,-11.065386984277986,11.541374609037668,-11.541374609037668,12.24692549382202
107,1,4,3,1,4,1,4,-12.476574615246893,12.880175474152392,12.860893983698809,-13.5637270944333,13.005233035856541,-13.005233035856541,11.71301377529653
108,2,3,2,1,4,2,3,-11.284811690559545,11.480404670297222,-10.719156939702895,-11.89386670022401,12.484046163112112,-11.640808807403067,11.733523710641137
109,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0,0,4,1,4,3,2,0.0,0.0,11.91329682591032,-11.91329682591032,11.779729553622714,12.296946632521207,-10.50944499941487
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1,4,2,3,2,2,2,-11.444820849723127,13.72588283524164,10.62525898182283,13.66963994386438,-12.680804848964598,-12.92676073019679,-13.3615960942729
113,4,2,2,1,4,3,1,12.848567549464585,-11.444607076010255,-11.236158909479766,-12.259737624765483,11.13925098521037,11.919707664454348,-12.072624676999796
114,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,4,1,4,1,4,1,0,12.06410370986839,-12.06410370986839,12.963514886310183,-12.88271556175104,12.186744490138361,-12.342707162902606,0.0
116,1,0,0,0,0,0,0,-11.254911362486784,0.0,0.0,0.0,0.0,0.0,0.0
117,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1,4,2,1,4,1,4,-13.743598216027165,14.273569145612978,-13.63542384329136,-13.604781133346012,9.113726803057672,-9.113726803057672,11.512479711765987
119,4,1,4,3,1,4,1,12.10935443484394,-12.10935443484394,13.041867079669997,13.861821605955223,-14.226777676316962,12.446489652391955,-12.446489652391955
120,3,2,3,3,1,3,2,14.815437408736287,-14.822473837342526,13.595653273071246,14.850160275043331,-15.192431850597636,14.561683480577766,-14.643141546287238
121,0,0,0,0,4,2,2,0.0,0.0,0.0,0.0,11.309730519304964,-9.3758223457848,-10.064551741097493
122,0,0,0,4,1,4,2,0.0,0.0,0.0,11.688542793331946,-11.688542793331946,13.704560905793969,-13.234189399761021
123,0,0,0,4,1,0,0,0.0,0.0,0.0,10.669988054993436,-10.669988054993436,0.0,0.0
124,2,2,2,1,4,1,1,-11.290351092671587,-12.557460894946434,-8.507295042362012,-12.251804610766925,13.39133593626063,-13.272005145143627,-11.206421498677535
125,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,0,0,4,4,1,0,0.0,0.0,0.0,11.688542793331946,12.912418345270694,-13.170222794301809,0.0
127,4,1,1,0,0,0,4,11.309730519304964,-11.052532094701439,-9.826032698381162,0.0,0.0,0.0,11.765746534222457
128,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,3,3,1,1,0,0,0,12.964640187584887,11.556105331348485,-13.570535963508775,-11.4364458158419,0.0,0.0,0.0
131,4,4,1,4,1,0,4,10.13893718066162,12.602281975480123,-12.68399679359692,9.20372842257171,-9.20372842257171,0.0,12.119537317652165
132,0,0,0,0,4,2,3,0.0,0.0,0.0,0.0,11.784633203745596,-11.420513865031733,11.145685261640462
133,0,4,1,0,0,0,0,0.0,10.388128384795678,-10.388128384795678,0.0,0.0,0.0,0.0
134,4,2,1,0,4,4,3,12.63461849228385,-10.480480255583434,-12.511320437138954,0.0,12.504665373037612,13.503690856393476,12.705690271779021
135,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9.184227435031898,-9.184227435031898
136,0,4,2,1,0,4,3,0.0,12.299223648214383,-11.195330972494785,-11.896395129324388,0.0,13.289978644510063,13.102881667277993
137,1,0,0,4,1,4,1,-13.369432842497485,0.0,0.0,12.88097121844894,-12.88097121844894,13.235041575249396,-13.235041575249396
138,0,4,1,0,4,1,4,0.0,12.894985655520518,-12.894985655520518,0.0,8.430737893123014,-8.430737893123014,12.16108609868335
139,2,1,4,1,4,2,1,-10.11691285714916,-10.847345502277859,12.434272852641318,-12.434272852641318,12.382036915181803,-11.713688432621142,-11.663468991255193
140,2,1,4,1,0,0,0,-9.733358222304776,-10.353339427091925,11.132773683947768,-11.132773683947768,0.0,0.0,0.0
141,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.790902769129382,-11.790902769129382,0.0
144,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,4,1,4,3,1,0,0,12.446546335549728,-12.446546335549728,12.90684320573705,10.27952783470818,-12.976620864650945,0.0,0.0
146,2,2,4,3,2,1,4,-13.303209871863846,-10.9772476187593,13.726002402017851,13.149170601375399,-12.881227929025751,-14.151251884327793,11.896395129324388
147,4,1,4,3,3,1,4,10.847345502277859,-10.847345502277859,11.065386984277986,11.299412571998028,12.034540833079998,-12.654491332025614,13.421402517500239
148,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,4,1,0,4,1,0,0.0,13.926784694168074,-13.926784694168074,0.0,12.027838044953317,-12.027838044953317,0.0
150,4,1,4,3,1,0,0,12.059716104267746,-12.174271325948734,12.545661049084607,10.51952188922937,-12.669505681769255,0.0,0.0
151,1,2,1,4,1,2,3,-14.234817095402873,6.741359666086766,-12.802226810765163,13.358023189389112,-13.193842333899646,-9.241695266037784,11.220732120337484
152,4,1,4,1,0,4,2,12.072467457639448,-12.07720708134131,12.489713331410952,-12.637215975244958,0.0,13.945587092419862,-13.460297886116946
153,4,1,0,0,0,0,0,10.22231562873381,-10.22231562873381,0.0,0.0,0.0,0.0,0.0
154,1,0,0,0,0,0,4,-12.189314776327919,0.0,0.0,0.0,0.0,0.0,10.198597888144757
155,4,3,2,2,1,0,4,10.898637823855646,11.815342857266922,-11.441134918077994,-9.121737705012707,-11.375862498319352,0.0,11.51340605736273
156,1,4,1,4,2,3,3,-12.223569629658028,14.058219654088072,-13.935430184838564,13.18614174512338,-13.025694140231037,12.787170565788081,13.522151788347388
157,0,4,1,4,3,4,2,0.0,11.064453309947664,-11.064453309947664,10.407630760044956,11.341706082298197,13.120752170561639,-12.843953040631208
158,0,4,1,0,0,0,0,0.0,11.145797726027526,-11.145797726027526,0.0,0.0,0.0,0.0
159,4,2,3,1,0,0,4,12.558068273441007,-12.282227047121365,11.375661859751082,-12.305219298244214,0.0,0.0,12.318883838678264
160,1,4,1,0,4,1,1,-12.367183033170159,12.97836706361092,-12.97836706361092,0.0,13.500732702178613,-13.48579381002584,-9.289577686068375
161,4,1,4,2,2,1,3,14.09097791795404,-14.09097791795404,13.999860972103827,-12.893040890648724,-13.095520388900827,-12.543485054118914,11.202067164824246
162,4,2,2,2,4,3,1,13.963862727719134,-13.396660987744644,-11.036905765362993,-12.67512015306096,13.670856451582985,13.56462160077173,-14.190129108713254
163,4,1,0,0,0,4,1,10.992404328928885,-10.992404328928885,0.0,0.0,0.0,12.085979275325249,-12.085979275325249
164,4,2,1,4,1,0,0,12.856565937854368,-12.468083088962663,-11.72310675954095,12.901056409617425,-12.901056409617425,0.0,0.0
165,4,2,3,4,1,2,1,13.513663146057489,-13.158147931288724,12.641147852423716,14.121467034428386,-14.431998372361665,-9.555054397565083,-9.982678674528344
166,1,1,0,4,4,1,3,-12.903208444448978,-11.055204205790773,0.0,9.896825270172144,11.399252853707903,-11.464438608652245,10.05196133311787
167,2,1,4,1,1,0,0,-13.029994947469955,-12.665614493238563,13.867853934821827,-13.615457465659095,-12.367558741903196,0.0,0.0
168,4,3,1,1,4,3,2,13.035392131530807,13.798659794094815,-14.10837426617909,-11.526651152597015,13.005233035856541,12.5441484591882,-12.878233013499218
169,1,0,0,0,4,1,4,-13.386527249379279,0.0,0.0,0.0,11.886212260466188,-11.886212260466188,11.900175826447585
170,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,4,1,0,0,0,0,4,10.453419848869974,-10.453419848869974,0.0,0.0,0.0,0.0,10.90882057520412
172,0,4,1,0,0,0,0,0.0,11.064453309947664,-11.064453309947664,0.0,0.0,0.0,0.0
173,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,10.509988613637708,-10.509988613637708,0.0
177,2,3,3,1,2,2,3,-11.125242756732712,13.036316368234573,14.179719465122645,-14.578347112622103,-11.008601445525679,-11.906917552580774,12.04339806591913
178,4,1,4,2,1,4,2,11.890181617479922,-11.890181617479922,12.940514816625647,-12.469278209114165,-11.96174353893674,13.131516915120644,-12.822002125679617
179,3,1,1,4,2,1,4,11.04044604812817,-11.672305159832332,-10.435051522430124,11.721122567451378,-10.63654094090944,-11.416212762018452,10.232498199070596
180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0,0,4,3,2,1,4,0.0,0.0,12.683470416751137,12.390486567553031,-11.481021266375306,-13.019402351449509,12.505196707986794
182,4,3,2,1,0,4,2,12.909675628223052,12.447528150982029,-12.716519985526054,-12.69347761733997,0.0,13.029630242126299,-12.560533931982697
183,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0,4,4,1,4,1,4,0.0,10.567941743024507,12.262992852429202,-12.431540923999718,12.850567135322716,-12.850567135322716,12.809064135201256
185,0,0,4,1,0,0,0,0.0,0.0,12.332527451617631,-12.332527451617631,0.0,0.0,0.0
186,2,1,0,0,0,4,1,-11.440100280893299,-11.069592717461648,0.0,0.0,0.0,12.490893139444132,-12.299501882492612
187,1,4,2,1,4,4,2,-12.649730890830579,13.571388962046267,-11.550885392387647,-13.42914843576872,12.008473794611458,13.113730301592337,-12.943824324288826
188,0,0,4,1,0,4,1,0.0,0.0,9.801734657588474,-9.801734657588474,0.0,11.22102010119043,-11.22102010119043
189,3,3,2,1,4,2,4,12.13676109391639,11.878217224504063,-12.474059596120819,-11.967363694511503,10.116959151959644,-8.439761006519003,11.81602721149537
190,4,1,4,1,4,3,1,11.055204205790773,-11.055204205790773,10.743309430025908,-10.743309430025908,10.188415330506526,10.78086282956631,-11.22102010119043
191,4,2,3,2,3,3,2,14.076130007997092,-13.714863513552727,10.232492530176126,-12.14019709021968,12.287827549140445,13.346687151763135,-13.414833929204883
192,4,1,1,1,4,2,1,13.799762529576647,-13.750173245079267,-10.647012234289289,-8.623204203351005,12.025094575423852,-9.859976070810836,-11.83847889858373
193,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,3,2,1,4,3,2,1,9.208030110660257,-10.69975351116337,-11.064453309947664,11.083955977548332,11.040418870063334,-11.060391245085418,-11.064453309947664
195,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,4,1,3,3,3,1,2,12.93433542195627,-12.989122216016428,11.71683167381103,12.973092290673735,12.717607110472258,-13.632471639530728,-11.179691894475727
197,4,2,4,2,2,2,2,13.645435012456067,-13.02931476431519,14.26735140309318,-12.950203946931547,-13.237970769439,-11.173280035707915,-13.327791103344902
198,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,12.20075344334166,-11.66558463349354
199,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,4,1,0,0,0,0,0,11.678847239746192,-11.834387558807787,0.0,0.0,0.0,0.0,0.0
201,4,3,1,1,1,4,2,14.245810968449524,14.98635643394514,-15.284384592440741,-13.257482801096387,-10.002180752394679,13.683355180371368,-12.97514142429738
202,4,3,2,3,1,4,2,14.060233042241194,12.627840023419228,-13.389275863623693,12.246339306969865,-13.678634316237334,13.794637563144208,-12.851003833885336
203,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,4,4,1,4,3,4,2,11.040605638791417,13.231826651620104,-13.337787535855428,10.373730249787483,9.393430231559242,11.972800885609855,-10.532366715465896
205,0,4,1,0,4,1,0,0.0,10.624510679487576,-10.624510679487576,0.0,11.416212762018452,-11.416212762018452,0.0
206,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,3,3,3,2,1,1,0,13.540021905899092,12.713142730505313,14.228979219030048,-13.81883994089101,-14.416282640375837,-12.233625271151931,0.0
209,3,2,1,4,2,1,0,10.96288700580713,-11.302500502704946,-11.0424539929948,11.06238616510447,-9.912750963909643,-10.712924450174764,0.0
210,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,13.339095578407733,-12.83688036612661
212,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,8.430737893123014,-8.430737893123014,0.0
213,0,0,4,3,2,4,1,0.0,0.0,12.215764849567746,10.995842500358751,-11.782915475691501,13.175081416475333,-13.396418498043673
