CUSTNO,Monetary_교육문화/아동_중가_증감여부_q2_q1,Monetary_교육문화/아동_중가_증감여부_q3_q2,Monetary_교육문화/아동_중가_증감여부_q4_q3,Monetary_교육문화/아동_중가_증감여부_q5_q4,Monetary_교육문화/아동_중가_증감여부_q6_q5,Monetary_교육문화/아동_중가_증감여부_q7_q6,Monetary_교육문화/아동_중가_증감여부_q8_q7,Monetary_교육문화/아동_중가_q2_q1_로그변환,Monetary_교육문화/아동_중가_q3_q2_로그변환,Monetary_교육문화/아동_중가_q4_q3_로그변환,Monetary_교육문화/아동_중가_q5_q4_로그변환,Monetary_교육문화/아동_중가_q6_q5_로그변환,Monetary_교육문화/아동_중가_q7_q6_로그변환,Monetary_교육문화/아동_중가_q8_q7_로그변환
18,4,1,0,0,0,0,0,11.17005914908879,-11.17005914908879,0.0,0.0,0.0,0.0,0.0
19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,1,0,0,0,0,0,9.50602626800679,-9.50602626800679,0.0,0.0,0.0,0.0,0.0
21,3,4,3,1,4,1,4,9.960896508164979,11.371726215135324,10.845277076117963,-12.081991569603746,12.485566008067952,-12.271667379676604,11.76864410037751
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,8.652621989849347,-8.652621989849347
25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,4,2,1,0,0,4,-11.890742829475007,11.551858089141184,-10.728793227684186,-10.973691370370307,0.0,0.0,10.105239387151084
27,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,13.719756715877827,-13.719756715877827,0.0
28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4,1,1,4,4,1,4,12.41024857175884,-12.030664973407655,-11.582397902930772,11.340820600130629,12.685834238647574,-12.917368933521335,12.766556777195518
30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2,3,3,2,1,3,3,-11.51554991016874,11.346695195914794,11.564632613604303,-10.68293760577115,-11.970648482044249,11.37929068272581,11.673863515492164
32,4,2,1,0,0,0,0,12.07594488740655,-10.903678350358671,-11.851543957862209,0.0,0.0,0.0,0.0
33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4,1,0,0,4,1,4,13.499488455872243,-13.499488455872243,0.0,0.0,12.7919942196461,-12.7919942196461,12.421525598626799
37,4,1,4,1,0,0,0,8.8419367724197,-8.8419367724197,12.277735140411421,-12.277735140411421,0.0,0.0,0.0
38,4,3,1,2,4,3,1,11.363768906682541,9.867529475696802,-11.755507379895063,-8.168092066418408,11.73073868116321,11.703633758496046,-12.155575819764376
39,0,0,4,1,0,0,0,0.0,0.0,10.68990598025252,-10.68990598025252,0.0,0.0,0.0
40,4,3,1,0,0,0,0,11.666575270612972,11.272108566657847,-12.181809659620797,0.0,0.0,0.0,0.0
41,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4,1,0,0,0,0,0,9.147280383739693,-9.147280383739693,0.0,0.0,0.0,0.0,0.0
46,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,1,4,2,1,1,4,-12.166887440517362,-7.8820763846763136,12.302814709533514,-11.753619060558885,-11.28308456978898,-9.520623989135926,11.374265611233689
48,0,0,0,4,1,0,0,0.0,0.0,0.0,9.366342556409778,-9.366342556409778,0.0,0.0
49,0,4,1,0,4,1,0,0.0,11.559469425243137,-11.559469425243137,0.0,11.21471610368716,-11.21471610368716,0.0
50,4,2,3,2,1,4,1,13.047294409081895,-11.39510067804855,13.351233956446544,-13.293755207222972,-12.95038331247046,12.888497656392879,-12.743256192654126
51,2,2,1,4,2,1,4,-12.312576949417783,-11.363063270738722,-11.877028100530026,12.571665049829507,-10.867053922995181,-12.217062351321369,12.916532997626884
52,0,0,4,1,4,2,1,0.0,0.0,12.161246485292706,-12.161246485292706,11.752830003538822,-11.02899566374678,-11.089471523116591
53,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,3,2,1,4,1,4,-13.278170932906702,12.876805725235347,-13.029616395452383,-12.763827073335259,13.94035205532282,-13.836119210090574,13.689837646333103
57,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4,3,1,3,4,2,1,11.572764067193127,11.520340933366567,-12.287979057743545,8.797437101296834,11.953665982840807,-11.439102537605672,-11.608641370052723
59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1,1,0,4,1,4,4,-11.103739270550943,-9.72797784572448,0.0,9.30091736166958,-9.30091736166958,9.104543595841086,10.538182042361468
61,0,0,0,4,1,0,0,0.0,0.0,0.0,9.770886737678362,-9.770886737678362,0.0,0.0
62,4,2,3,2,2,2,3,14.08199567441011,-13.335372975125335,9.388882959316213,-12.423375844735299,-12.486864558269392,-11.112730633141298,9.702690613487508
63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0,4,1,0,0,0,0.0,0.0,8.802575489025873,-8.802575489025873,0.0,0.0,0.0
65,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.10777530114972,-10.10777530114972
66,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,4,1,4,4,1,4,1,12.16374544564346,-12.16374544564346,9.030803457808945,14.152399788785285,-14.132414211351383,11.241357867629947,-11.628818417821126
69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,4,1,0,0,0,0,0,10.803917374371975,-10.803917374371975,0.0,0.0,0.0,0.0,0.0
71,0,0,4,1,0,0,0,0.0,0.0,8.252639399295505,-8.252639399295505,0.0,0.0,0.0
72,4,1,3,2,1,4,1,11.44357050327593,-11.121947685959103,9.104213868658553,-9.403723233087755,-10.168364950538455,11.407028640194868,-11.407028640194868
73,1,0,0,4,1,0,0,-13.112767583254106,0.0,0.0,12.73880205792669,-12.73880205792669,0.0,0.0
74,4,1,1,0,0,0,0,11.909718980131734,-11.596832101732373,-10.595462774905618,0.0,0.0,0.0,0.0
75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3,1,4,1,4,3,1,8.261055827278216,-11.015260844474085,8.736336401059269,-8.736336401059269,10.361649595936619,8.803924506988373,-10.5527516857633
77,1,4,1,4,1,1,4,-12.020396301402943,10.930388974056454,-10.864633830055647,11.827056549683883,-11.989869930208483,-8.752338164500333,9.72897956919262
78,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,4,1,4,1,4,1,0,11.559081731009263,-11.682548572285242,11.253664209177394,-11.253664209177394,10.065610168815626,-10.065610168815626,0.0
80,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1,4,1,0,0,0,0,-10.780284515832836,9.27596613918508,-9.27596613918508,0.0,0.0,0.0,0.0
82,4,3,1,1,4,4,2,12.58877551396086,11.930931008783823,-12.716988139656072,-11.62427073577186,10.83359254837326,12.025952811730363,-11.635391829731553
83,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,0,0,0,0,4,4,-10.761011437567165,0.0,0.0,0.0,0.0,11.773110307086661,12.598148132582002
85,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4,1,4,3,4,1,4,10.263212794385177,-10.263212794385177,10.411893117935639,10.123627851620805,11.842727847355507,-12.192202504111787,11.03286917373853
87,1,4,1,0,4,2,3,-12.027127435159839,12.073853102114578,-12.073853102114578,0.0,12.70801362631934,-11.965648919380286,11.961261706509545
88,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,14.316803393796784,-14.221647502088745
89,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,9.445406296311365,-9.445406296311365,0.0
90,4,1,0,0,0,0,0,12.20212302197978,-12.20212302197978,0.0,0.0,0.0,0.0,0.0
91,1,4,1,1,4,2,4,-8.01449218769655,12.402195559039082,-12.218050832615775,-10.619526844068671,10.134600205842117,-9.322036077752182,10.37422852367067
92,4,2,3,3,3,2,2,13.715684239157515,-13.22229004439788,12.293966324754047,11.25472163435521,12.419650348205794,-13.326787830742884,8.263198417599932
93,1,4,1,0,0,0,4,-12.354741656759687,11.139067725274685,-11.139067725274685,0.0,0.0,0.0,9.825667707066454
94,0,4,4,1,0,0,0,0.0,9.90817125262805,11.249275027235285,-11.48161123051281,0.0,0.0,0.0
95,1,4,1,0,0,0,4,-7.617771889432835,7.731480364142697,-7.731480364142697,0.0,0.0,0.0,8.945656286417195
96,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,11.467703191400876
97,1,0,4,1,4,1,4,-11.193664838893909,0.0,13.821487360811517,-13.783033748180115,12.556575885121319,-12.68201539289272,12.459063369439713
98,4,2,2,2,1,4,1,11.06256298312021,-10.22711295257579,-9.657298882582566,-7.4367574438734865,-9.83987580317767,11.477232145168056,-11.143669703813403
99,4,1,0,4,3,3,1,10.673253328833814,-10.673253328833814,0.0,9.552211491877626,9.330206948958567,10.294134993353723,-10.680080163434665
100,1,0,4,1,1,0,0,-9.94523099042846,0.0,12.6602387817065,-12.525812819504436,-10.587062160441802,0.0,0.0
101,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,10.423617210964721,-10.031507617853208
105,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,9.460909266663924,-9.460909266663924,0.0
106,4,1,2,3,1,1,4,12.549172165163084,-12.48051989102028,-9.307550175348428,9.473048584197523,-10.573838491861725,-8.505522351138918,10.262862371874311
107,1,4,2,1,4,1,4,-10.710673181467067,12.400994651139289,-11.133300692028557,-12.07043866964093,11.175336132032768,-11.175336132032768,10.57435625446447
108,0,4,1,1,0,4,1,0.0,10.700820787628698,-10.48778786996121,-9.050003388854508,0.0,9.355833321684651,-9.355833321684651
109,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,3,2,3,2,1,0,0,10.418541392569031,-10.469096463404052,10.262311075675699,-10.42075359028898,-10.833505456348348,0.0,0.0
111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4,4,1,4,2,4,2,10.031420282913093,11.328349338975405,-11.570006830491137,11.185887289388925,-10.528636822710304,12.324641155708765,-11.625656271723692
113,3,1,3,2,3,3,1,13.190364649632974,-13.859291988450956,12.07969727439261,-11.97272638069021,13.20686885847328,12.030185243621254,-13.89933382737962
114,0,0,4,1,4,1,4,0.0,0.0,11.584592614065683,-11.584592614065683,9.198568352659413,-9.198568352659413,12.210399383144459
115,1,0,0,0,0,0,0,-8.598293822707252,0.0,0.0,0.0,0.0,0.0,0.0
116,1,0,0,0,0,0,0,-9.893940220026728,0.0,0.0,0.0,0.0,0.0,0.0
117,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2,1,4,1,0,0,4,-9.81009131921936,-12.709926066958158,8.00139941678655,-8.00139941678655,0.0,0.0,7.665061168590165
119,3,4,3,1,1,4,2,10.42279628176971,13.588378244367851,13.296140323311315,-14.052203595226528,-13.006544685879968,12.263452337169957,-11.584437119889575
120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1,1,4,3,1,3,3,-10.586892344154979,-10.106766526918687,12.235589719308072,11.327253843242687,-12.201658444713175,-6.094604133324662,9.751440278456121
122,3,4,2,3,2,4,2,10.788735232736922,13.31121048995957,-12.803784043531584,10.876701686182372,-12.154361038687808,12.749036447808615,-12.241164656115975
123,4,1,1,4,1,4,3,11.919769248737946,-11.839649255008037,-9.355833321684651,11.482060566601483,-11.482060566601483,10.457749219945311,8.127342414976813
124,0,4,1,0,0,0,0,0.0,9.829585046974433,-9.829585046974433,0.0,0.0,0.0,0.0
125,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,13.782901793117722
127,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,4,1,0,0,0,0,0,10.245821663838072,-10.245821663838072,0.0,0.0,0.0,0.0,0.0
130,3,1,4,3,1,4,1,12.680344001846525,-13.384161161175074,12.40251678761974,11.450999351831532,-12.960033776732182,11.711354186843698,-11.711354186843698
131,0,0,0,4,2,1,1,0.0,0.0,0.0,12.5475058337185,-11.799328978301583,-11.405573804046378,-10.97525222697003
132,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1,4,1,4,1,4,4,-13.278281713705265,11.745351254448991,-11.745351254448991,12.289106591584591,-12.289106591584591,10.649528678842598,12.47165519533035
135,0,4,1,0,0,0,0,0.0,11.563031282870915,-11.563031282870915,0.0,0.0,0.0,0.0
136,4,4,1,1,2,2,3,11.751836372775056,13.537302500089343,-13.344113237102688,-12.243652127255066,-9.560414913517786,-10.034859100916924,10.402855155674633
137,3,2,4,2,4,1,1,11.69781313225917,-10.905780979274082,13.529645597388242,-12.697950718285123,13.731901243740563,-14.049882797495146,-12.147575308606843
138,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,9.198568352659413,-9.198568352659413,0.0
139,0,0,4,1,0,0,0,0.0,0.0,9.351077959606473,-9.351077959606473,0.0,0.0,0.0
140,0,4,1,0,0,0,0,0.0,12.168677799574013,-12.168677799574013,0.0,0.0,0.0,0.0
141,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,4,1,4,1,0,0.0,0.0,8.357973857623756,-8.357973857623756,9.483722188734149,-9.483722188734149,0.0
144,0,4,1,0,0,4,1,0.0,13.583510431494803,-13.583510431494803,0.0,0.0,13.347795519601108,-13.160814685910188
145,4,1,0,0,4,1,0,12.612913100551438,-12.612913100551438,0.0,0.0,13.521673578813349,-13.521673578813349,0.0
146,1,4,1,0,4,2,1,-11.060340347947403,12.481003765861326,-12.481003765861326,0.0,11.808764959128888,-10.588731273715728,-11.458905617440273
147,3,2,1,4,1,0,4,8.953204431177292,-8.41553545506212,-9.314594003548127,12.013696070767313,-12.013696070767313,0.0,12.807123550970047
148,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,0,0,4,1,0,0,0.0,0.0,0.0,9.200843517845412,-9.200843517845412,0.0,0.0
150,1,0,0,0,0,0,0,-7.407482487225759,0.0,0.0,0.0,0.0,0.0,0.0
151,2,1,4,4,1,4,1,-12.561195729472708,-12.785870248608228,11.376222536562521,12.027688712790958,-12.44723747900937,12.093590256265378,-12.093590256265378
152,4,1,0,0,0,0,0,9.49864671183575,-9.49864671183575,0.0,0.0,0.0,0.0,0.0
153,1,0,0,4,1,0,0,-11.593850881742107,0.0,0.0,11.168972570330961,-11.168972570330961,0.0,0.0
154,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1,1,4,1,4,1,4,-14.170923423988729,-13.039362219865499,13.733892331721439,-13.521065908763187,13.704151268665855,-13.942428987798035,12.683941881115507
157,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,3,2,3,2,4,2,3,9.354596570708004,-9.693113183613297,9.03084549091632,-7.715791499248483,11.204164386071444,-11.072287301311624,10.600357909754079
159,4,2,4,2,2,2,3,14.504156393178608,-14.041578238429747,14.834568556713196,-14.417160487114103,-12.469314062612122,-11.788679561547099,12.231926333912908
160,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.563097158001641,-11.563097158001641,0.0
161,1,4,2,2,4,1,1,-14.151224345700083,14.530737221185852,-13.561484454240588,-13.481259730964164,13.835019160865452,-13.858739476494474,-13.365044789932005
162,4,3,3,1,2,4,1,12.508027986350948,12.648462768363295,11.664666790245843,-13.359702455991878,-9.511917628027405,12.094357104859125,-12.225854262577565
163,4,3,1,4,1,0,0,10.72506889582674,8.394074232572741,-11.076000489255183,11.01746775944341,-11.01746775944341,0.0,0.0
164,0,0,0,0,4,2,4,0.0,0.0,0.0,0.0,9.968622233238507,-8.15269495984968,10.822240468505969
165,3,1,1,4,1,0,0,11.77708366387502,-12.983678430107835,-11.925354007412444,9.537286909990847,-9.537286909990847,0.0,0.0
166,4,2,4,1,3,3,2,12.771246557235452,-12.016354355570988,13.350723237051508,-13.389817975925606,12.337095759174908,12.715846200636,-12.889009853675715
167,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,1,4,1,4,2,2,3,-13.514572360037992,13.502576747437312,-13.830669880371012,14.223928672015449,-13.623441573215358,-12.816520074409029,12.564946633277998
169,1,0,0,0,0,0,0,-9.25213176450976,0.0,0.0,0.0,0.0,0.0,0.0
170,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,7.9798451840879885,-7.9798451840879885
172,4,1,1,0,0,0,4,11.472663192746126,-11.303449303472915,-9.61272414677502,0.0,0.0,0.0,11.292140425042271
173,0,4,1,0,4,1,0,0.0,12.202538753978573,-12.202538753978573,0.0,9.178367710322581,-9.178367710322581,0.0
175,1,0,0,4,1,0,0,-8.881111170835124,0.0,0.0,9.657564903112613,-9.657564903112613,0.0,0.0
176,0,0,4,4,2,2,1,0.0,0.0,8.357973857623756,9.862453808473122,-9.384047966919951,-8.286435772983635,-8.93514596544387
177,1,4,1,0,0,0,0,-11.035443192721825,12.758965280587347,-12.758965280587347,0.0,0.0,0.0,0.0
178,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1,0,4,1,4,1,4,-11.167353636322488,0.0,12.190117945277079,-12.190117945277079,10.599675061413198,-10.599675061413198,12.505786310812992
180,1,0,0,0,0,4,1,-8.431273268423556,0.0,0.0,0.0,0.0,10.10777530114972,-10.10777530114972
181,1,2,3,2,2,3,3,-13.286569398895157,-11.940702728322908,11.973971880915373,-11.625855484177736,-9.732633494414449,10.772031053472933,12.030403767325163
182,4,1,0,0,0,0,0,11.393144186722518,-11.393144186722518,0.0,0.0,0.0,0.0,0.0
183,1,4,1,4,1,1,4,-11.624041892659282,11.49111445045573,-11.526828584853446,11.62973731597378,-11.303005962597801,-10.352230673284271,10.993952211588825
184,3,1,4,1,4,1,4,9.632314259700648,-12.26829067868937,12.794209558259249,-12.756449100246204,11.172501450418158,-11.269799178431432,11.750006676590957
185,0,4,1,0,0,0,0,0.0,11.54282876966129,-11.54282876966129,0.0,0.0,0.0,0.0
186,2,1,4,1,4,4,4,-13.449339730219243,-14.080726918630175,12.552051504780918,-12.682801794188943,6.896893502692468,12.076875709585277,13.034168109245206
187,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,9.216500320973312
189,4,1,4,3,3,1,4,13.398974187478753,-13.503371109979684,12.100638909496187,12.401842082714289,12.254361849150085,-13.358429370440382,12.335554449826896
190,0,4,1,0,4,1,0,0.0,10.847421190028461,-10.847421190028461,0.0,11.724123900656533,-11.724123900656533,0.0
191,4,1,0,0,4,1,0,13.903184913262592,-13.903184913262592,0.0,0.0,13.64382183522483,-13.64382183522483,0.0
192,1,0,0,0,0,0,0,-9.588576598760424,0.0,0.0,0.0,0.0,0.0,0.0
193,4,4,1,0,0,0,0,9.556212370462728,11.11680748764521,-11.307424700448784,0.0,0.0,0.0,0.0
194,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,4,2,1,4,1,4,2,12.499074159920191,-11.849291158258533,-11.760604577317974,11.873081652738081,-11.873081652738081,11.125392498589328,-10.393911334241725
197,2,3,2,3,2,3,4,-12.478370575801545,12.565496876226339,-12.483342939482554,11.315706263975605,-11.601511410263186,11.025924221245347,13.704952205135232
198,1,0,0,0,0,4,1,-9.760115258996324,0.0,0.0,0.0,0.0,10.484240084416484,-10.484240084416484
199,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0,0,4,1,0,0,0,0.0,0.0,12.458434243205433,-12.458434243205433,0.0,0.0,0.0
202,4,1,4,1,4,1,4,12.613027710843195,-12.76826430591778,13.384930439103806,-13.324708499327814,13.252794021474886,-13.501952374897781,12.296486709000378
203,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,3,1,0,0,4,1,0,9.043156529384557,-11.039032859252988,0.0,0.0,9.881615115063749,-9.881615115063749,0.0
205,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0,4,1,4,1,4,1,0.0,11.955295484318947,-11.955295484318947,9.552211491877626,-9.552211491877626,12.917885250569928,-12.845222547132241
207,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,11.983484652168302,-11.983484652168302,0.0
209,4,1,4,1,4,1,0,9.429659194134079,-9.429659194134079,9.666135527126304,-9.666135527126304,10.20280583943648,-10.20280583943648,0.0
210,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0,0,4,3,2,1,0,0.0,0.0,11.465917495340559,11.743506141919989,-10.462135198945782,-12.135515806129245,0.0
212,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,10.176831328458293,-10.176831328458293,9.734042570477342
213,3,1,4,4,2,3,2,10.453890945331857,-12.264196526432153,10.411893117935639,12.868766940037478,-12.18861218105704,12.07809542874891,-12.29857578745446
214,4,4,1,0,4,1,0,9.293869333861592,12.662358730102456,-12.696217456495962,0.0,12.092172314588394,-12.092172314588394,0.0
215,0,0,0,4,1,4,4,0.0,0.0,0.0,8.707474036540715,-8.707474036540715,7.064067759065415,8.948968478718108
216,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,2,2,3,2,3,1,4,-11.213474567881455,-11.943939027349925,12.00893362039717,-11.060948700314006,11.571136886259367,-12.480071590326848,12.423395060634732
218,4,3,1,4,1,1,4,14.74095388640554,13.80234113481341,-14.828108339773847,14.135793609732179,-14.393961807339158,-12.769691419760093,15.27492026310095
219,4,1,1,1,4,1,4,13.480991049845981,-13.134972582054536,-12.58631246290326,-10.907202807952261,10.906863355821082,-10.906863355821082,11.58673315866086
220,1,4,1,4,4,2,2,-11.02088417416218,11.841081497546115,-11.841081497546115,9.242082397413194,10.7661705880611,-9.797748851835971,-8.878415779457862
221,1,1,4,3,1,4,1,-12.189193035059784,-10.048661337285292,11.143998821705194,11.058325377090153,-11.795218951391394,11.407028640194868,-11.407028640194868
222,2,4,1,3,1,4,3,-8.986881044394819,13.449254671997394,-13.253400203950681,12.349270781686695,-13.03207809460797,13.337948892946335,12.775610121528642
223,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,13.219167000905669,-13.219167000905669,8.679992777006028
224,1,4,2,1,3,2,4,-13.822026309677026,14.735567405501063,-12.838826355720183,-14.40110043530453,10.966133179455529,-12.205075808652111,13.787065462259166
225,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,12.828671964621261
226,0,0,4,1,0,0,0,0.0,0.0,10.07983328518477,-10.07983328518477,0.0,0.0,0.0
227,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0,4,1,0,0,4,2,0.0,9.628227304504215,-9.628227304504215,0.0,0.0,10.15429346399254,-9.49840073842246
229,0,4,1,0,0,4,1,0.0,11.540558643184463,-11.540558643184463,0.0,0.0,12.576644299076543,-12.558828843865793
