CUSTNO,D-Recency,Frequancy,Monetary,Recency
182,2,421,19564661,20150330
183,1,721,4128967,20150331
184,1,156,7654406,20150331
185,2,530,4324917,20150330
186,7,304,18746070,20150325
187,1,145,3512930,20150331
188,1,859,3639632,20150331
189,2,378,31485850,20150330
190,1,342,14378080,20150331
191,3,103,20181230,20150329
192,1,318,12806796,20150331
193,1,338,2247380,20150331
194,2,505,3571870,20150330
195,1,187,1510084,20150331
196,1,354,8775485,20150331
197,1,271,20228650,20150331
198,1,305,2859014,20150331
199,1,292,6306567,20150331
200,2,275,3480298,20150330
201,3,247,36081560,20150329
202,1,564,26293920,20150331
203,5,292,1779983,20150327
204,1,357,5593127,20150331
205,1,330,7637216,20150331
206,1,498,4413247,20150331
207,1,340,2134747,20150331
208,17,178,26509040,20150315
209,2,154,4126996,20150330
210,1,299,1636236,20150331
211,7,152,5483250,20150325
212,1,465,5155618,20150331
213,1,1064,11573198,20150331
214,2,293,3081611,20150330
215,2,456,3519083,20150330
216,1,394,3196454,20150331
217,20,107,2202790,20150312
218,18,204,45720990,20150314
219,1,518,16062829,20150331
220,2,567,4491992,20150330
221,5,330,3586346,20150327
222,3,380,22512879,20150329
223,9,150,39427690,20150323
224,5,150,41665055,20150327
225,3,235,49169490,20150329
226,2,208,2405262,20150330
227,1,515,2126281,20150331
228,2,354,2711874,20150330
229,1,248,19325740,20150331
230,5,217,3421120,20150327
231,2,442,2449542,20150330
232,3,560,2565280,20150329
233,2,336,3035881,20150330
234,5,368,7216544,20150327
235,4,242,9088650,20150328
236,1,306,1521526,20150331
237,4,376,16885053,20150328
238,5,233,6715590,20150327
239,3,203,33448484,20150329
240,4,107,2303290,20150328
241,2,212,24098400,20150330
242,3,381,3070599,20150329
243,1,253,1948473,20150331
245,1,730,9422958,20150331
246,2,243,17820267,20150330
247,4,606,7990122,20150328
248,2,572,8561271,20150330
249,1,179,20683860,20150331
250,1,211,25876220,20150331
251,1,184,14877910,20150331
252,6,186,3664970,20150326
253,1,140,13921490,20150331
254,3,263,54754460,20150329
255,5,245,32996205,20150327
256,1,268,35211982,20150331
257,2,684,4475066,20150330
258,1,185,66846920,20150331
259,1,1008,9857129,20150331
260,4,342,2918344,20150328
261,9,165,7319900,20150323
262,1,476,9062523,20150331
263,2,254,1369434,20150330
264,1,608,4734569,20150331
265,17,149,38562959,20150315
266,2,125,8299170,20150330
267,3,156,19986450,20150329
268,5,464,18559793,20150327
269,2,1334,21022923,20150330
270,2,394,2303488,20150330
271,11,103,12941700,20150321
272,2,469,7180483,20150330
273,1,342,19579913,20150331
274,1,381,1628576,20150331
275,2,722,13273496,20150330
276,1,889,4462582,20150331
277,2,326,4409154,20150330
278,1,558,1487629,20150331
279,1,219,15123650,20150331
280,1,177,21605470,20150331
281,3,366,20029668,20150329
282,4,168,14132284,20150328
283,4,185,39139390,20150328
284,1,189,853422,20150331
285,1,208,1752428,20150331
286,2,229,10214682,20150330
287,2,197,1586087,20150330
288,1,697,9457794,20150331
289,9,259,4949990,20150323
290,1,617,4247519,20150331
291,1,448,2534599,20150331
292,1,363,25263670,20150331
293,4,286,6193780,20150328
294,2,145,21151220,20150330
295,1,162,15441515,20150331
296,1,510,14454915,20150331
297,2,296,12877018,20150330
298,5,318,54735171,20150327
299,1,221,4135710,20150331
300,1,527,7101757,20150331
301,2,139,13801651,20150330
302,11,310,11150759,20150321
303,1,625,11734135,20150331
304,5,90,27535850,20150327
305,2,324,31065956,20150330
306,4,183,16217230,20150328
307,11,304,19811790,20150321
308,4,231,8961570,20150328
309,3,168,16650350,20150329
310,2,336,4188076,20150330
311,3,331,12501876,20150329
312,1,432,6085143,20150331
313,3,545,17728570,20150329
314,4,221,17328850,20150328
315,5,360,64532194,20150327
316,2,333,16648804,20150330
317,1,368,5445241,20150331
318,6,131,6370490,20150326
319,3,129,12771050,20150329
320,2,312,5121625,20150330
321,2,515,19453794,20150330
322,1,407,6569900,20150331
323,1,254,16937804,20150331
324,1,476,23692068,20150331
325,2,136,5878290,20150330
326,1,321,16471002,20150331
327,1,156,33025384,20150331
328,1,115,18931170,20150331
329,1,390,9619103,20150331
330,1,338,2085804,20150331
331,2,329,2655185,20150330
332,6,487,13749695,20150326
333,1,775,8152519,20150331
334,11,88,6444690,20150321
335,1,241,31116694,20150331
336,1,270,2613946,20150331
337,1,364,65601874,20150331
338,1,292,3733450,20150331
339,2,576,6101170,20150330
340,1,134,11861400,20150331
341,6,187,47360690,20150326
342,2,480,3022614,20150330
343,4,193,7976053,20150328
344,1,189,7581595,20150331
345,2,171,28054210,20150330
346,1,171,2191600,20150331
347,3,367,4039115,20150329
348,1,647,3350932,20150331
349,1,388,16475120,20150331
350,1,297,2483570,20150331
351,1,306,14494750,20150331
352,7,178,44999330,20150325
353,3,387,3101492,20150329
354,2,289,2186133,20150330
355,1,359,54460216,20150331
356,1,219,23793701,20150331
357,1,304,3043644,20150331
358,5,140,20701530,20150327
359,1,458,11677034,20150331
360,2,594,4996322,20150330
361,2,293,16169622,20150330
362,1,387,3791488,20150331
363,1,206,28559000,20150331
364,1,351,3940392,20150331
365,3,412,15021126,20150329
366,3,190,2222706,20150329
367,1,439,37794800,20150331
368,1,416,10468025,20150331
369,2,173,15186410,20150330
370,1,413,2547636,20150331
371,4,381,3845549,20150328
372,3,461,3082526,20150329
373,5,343,27720417,20150327
374,4,227,14458300,20150328
375,1,192,43233955,20150331
376,2,328,1181125,20150330
377,1,232,25291800,20150331
378,6,319,13983757,20150326
379,2,160,7523550,20150330
380,1,366,1657666,20150331
381,1,134,9580930,20150331
382,1,214,14360612,20150331
383,4,108,19308290,20150328
384,1,444,2252003,20150331
385,1,364,1900504,20150331
386,4,170,5861021,20150328
387,3,530,30686157,20150329
388,3,250,66361074,20150329
389,1,748,3896731,20150331
390,3,365,3274214,20150329
391,9,64,2769024,20150323
392,3,135,1789509,20150329
393,5,171,31732230,20150327
394,1,405,3917215,20150331
395,5,476,5305996,20150327
396,2,436,4032755,20150330
397,1,402,5520847,20150331
398,1,205,16266311,20150331
399,5,133,39082380,20150327
400,5,410,45638799,20150327
401,3,170,54930050,20150329
402,1,187,10100723,20150331
403,1,325,2370781,20150331
404,1,256,9874820,20150331
405,4,151,4501290,20150328
406,3,393,2312709,20150329
407,3,115,40102780,20150329
408,4,136,195158580,20150328
409,4,208,22770560,20150328
410,1,165,2094500,20150331
411,3,269,16248180,20150329
412,1,436,12419082,20150331
413,2,369,14454955,20150330
414,4,207,26555298,20150328
415,1,635,2541085,20150331
416,3,181,30371952,20150329
417,1,175,12191560,20150331
418,7,489,5745352,20150325
419,9,167,14182530,20150323
420,1,243,7210990,20150331
421,1,943,19720867,20150331
422,1,135,2902290,20150331
423,1,162,9860670,20150331
424,1,344,544530,20150331
425,3,267,3057242,20150329
426,1,257,12831216,20150331
427,5,172,8089050,20150327
428,1,334,21186160,20150331
429,4,211,7482930,20150328
430,8,188,23656520,20150324
431,15,178,4071877,20150317
432,1,257,11703690,20150331
433,10,225,14715070,20150322
434,2,541,9718576,20150330
435,3,122,2521730,20150329
436,2,211,24423768,20150330
437,2,379,972692,20150330
438,3,150,16747657,20150329
439,2,422,2051613,20150330
440,10,231,21924019,20150322
441,3,198,5717847,20150329
442,2,1064,8082429,20150330
443,12,156,41219730,20150320
444,2,279,14739845,20150330
445,2,154,2049469,20150330
446,2,602,4256292,20150330
447,1,140,4028638,20150331
448,3,179,21672545,20150329
449,2,422,14785741,20150330
450,2,326,28035447,20150330
451,4,461,5328254,20150328
452,1,724,4258466,20150331
453,1,209,10010243,20150331
454,2,343,3947299,20150330
455,2,279,27284530,20150330
456,1,686,7807873,20150331
457,1,1006,46710869,20150331
458,2,409,3072084,20150330
459,3,420,6787980,20150329
461,9,200,1653044,20150323
462,2,242,22407980,20150330
463,1,207,15398900,20150331
464,1,426,3636027,20150331
465,1,429,6170637,20150331
466,1,246,38287592,20150331
467,1,466,4696529,20150331
468,2,450,12421144,20150330
469,13,180,5204580,20150319
470,2,290,1488452,20150330
471,3,219,39543040,20150329
472,1,367,2054896,20150331
473,3,366,3514382,20150329
474,2,612,29993428,20150330
475,1,321,5222614,20150331
476,2,675,3700261,20150330
477,1,255,28567438,20150331
478,6,343,115004228,20150326
479,1,324,2090824,20150331
480,3,278,27733963,20150329
481,3,256,15434368,20150329
482,1,311,2578367,20150331
483,1,133,2168720,20150331
484,2,163,8426737,20150330
485,5,204,41613080,20150327
486,3,296,43760580,20150329
487,3,442,2598837,20150329
488,1,670,3189129,20150331
489,1,376,21907965,20150331
490,2,262,6464270,20150330
491,2,391,3320798,20150330
492,5,180,13644070,20150327
493,1,577,4791659,20150331
494,4,248,7254831,20150328
495,2,311,1333950,20150330
496,2,353,3920850,20150330
497,1,556,3196786,20150331
498,4,287,2952191,20150328
499,2,249,1782029,20150330
500,2,456,4290644,20150330
501,1,153,65658260,20150331
502,3,640,18774817,20150329
503,1,1245,35612237,20150331
504,2,206,23144144,20150330
505,1,497,61383600,20150331
506,1,283,13945924,20150331
507,1,302,8127180,20150331
508,19,187,69338960,20150313
509,1,246,11931810,20150331
510,2,311,18806075,20150330
511,2,454,2416778,20150330
512,1,366,2153033,20150331
513,4,161,22492410,20150328
514,2,305,3769460,20150330
515,7,221,18657905,20150325
516,1,549,2729493,20150331
517,2,302,25022290,20150330
518,1,322,19846293,20150331
519,3,303,17876607,20150329
520,2,232,12775840,20150330
521,3,663,41608515,20150329
522,1,434,11444408,20150331
523,1,506,3536960,20150331
524,1,566,4689953,20150331
525,1,327,9540650,20150331
526,1,470,7575516,20150331
527,1,499,2053920,20150331
528,2,145,1072234,20150330
529,1,355,37142036,20150331
530,4,161,4908908,20150328
531,1,70,8976039,20150331
532,6,124,13840970,20150326
533,6,395,2720161,20150326
534,2,164,5867940,20150330
535,3,147,24091782,20150329
536,1,259,1448957,20150331
537,1,443,2288162,20150331
538,3,226,17704650,20150329
539,9,319,8174263,20150323
540,1,294,2992765,20150331
541,6,492,4130945,20150326
542,3,239,5412840,20150329
543,7,271,5531728,20150325
544,3,203,16543308,20150329
545,1,145,8055968,20150331
546,5,135,37394890,20150327
547,1,403,24798122,20150331
548,2,323,13631993,20150330
549,1,253,13903710,20150331
550,5,272,15338192,20150327
551,1,496,4727712,20150331
552,1,174,4227840,20150331
553,1,246,21466550,20150331
554,3,181,37135250,20150329
555,3,296,6949563,20150329
556,1,501,4253692,20150331
557,1,529,3889512,20150331
558,3,156,3785170,20150329
559,3,337,48078030,20150329
560,3,101,18932380,20150329
561,3,334,15542256,20150329
562,6,182,206546120,20150326
563,1,571,4768528,20150331
564,1,353,38446208,20150331
565,3,209,18975790,20150329
566,2,129,8241390,20150330
567,3,365,23429301,20150329
568,2,241,1626908,20150330
569,3,389,10122364,20150329
570,1,276,2063557,20150331
571,3,175,24722720,20150329
572,2,183,35262785,20150330
573,1,726,9336907,20150331
574,2,407,12528099,20150330
575,4,250,11227328,20150328
576,4,239,16179189,20150328
577,1,316,13591294,20150331
578,1,646,28786066,20150331
579,2,157,630698,20150330
580,3,231,4992746,20150329
581,2,318,2217240,20150330
582,5,167,2894580,20150327
583,1,393,1922519,20150331
584,2,229,8222200,20150330
585,4,272,85281989,20150328
586,1,127,13558960,20150331
587,1,154,23286990,20150331
588,3,644,35937852,20150329
589,15,153,5581932,20150317
590,7,266,2213543,20150325
591,3,380,1375866,20150329
592,1,310,4383042,20150331
593,3,111,5618620,20150329
594,2,147,76928430,20150330
595,2,92,3328270,20150330
596,1,387,22747260,20150331
597,1,257,10452972,20150331
598,2,264,1944780,20150330
599,1,350,13179015,20150331
600,1,627,12173409,20150331
601,1,171,6738560,20150331
602,5,142,18222933,20150327
603,9,221,28829828,20150323
604,3,165,5078266,20150329
605,1,243,1118208,20150331
606,2,192,25601540,20150330
607,1,294,3752305,20150331
608,1,441,13342041,20150331
609,2,199,1708974,20150330
610,1,318,19977650,20150331
611,2,178,9448639,20150330
612,4,315,18272720,20150328
613,1,470,19239995,20150331
614,1,126,11323300,20150331
615,5,250,8096651,20150327
616,2,382,2400463,20150330
617,7,270,27556807,20150325
618,3,432,12911029,20150329
619,1,680,4777725,20150331
620,3,167,34261030,20150329
621,2,276,1988340,20150330
622,6,164,6443650,20150326
623,1,528,4750146,20150331
624,2,416,2832675,20150330
625,1,263,2904580,20150331
626,4,294,1750194,20150328
627,9,222,9275099,20150323
628,2,756,7829634,20150330
629,2,382,5479253,20150330
630,2,238,8061246,20150330
631,1,227,24962480,20150331
632,4,195,3813550,20150328
633,1,502,33366660,20150331
634,2,134,9740650,20150330
635,3,248,47561540,20150329
636,2,162,6551350,20150330
637,2,334,15765411,20150330
638,2,230,34554553,20150330
639,2,764,14227212,20150330
640,4,197,25106830,20150328
641,1,230,41563130,20150331
642,3,339,16831624,20150329
643,2,247,6476013,20150330
644,1,457,6812223,20150331
645,1,377,79697539,20150331
646,3,680,5474435,20150329
647,1,678,3140638,20150331
648,3,162,8574060,20150329
649,1,125,3325990,20150331
650,4,121,1058603,20150328
651,4,136,9077900,20150328
652,4,172,10497370,20150328
653,3,285,3098792,20150329
654,1,413,24550068,20150331
655,3,489,1988925,20150329
656,3,113,15472670,20150329
657,2,169,16258310,20150330
658,4,589,6374161,20150328
659,1,234,1693023,20150331
660,1,610,2977407,20150331
661,1,259,16404793,20150331
662,2,351,2898755,20150330
663,2,322,2467411,20150330
664,5,143,49537870,20150327
665,1,642,6423792,20150331
666,1,420,1844285,20150331
667,2,290,15925562,20150330
668,1,451,3684515,20150331
669,4,197,6061010,20150328
670,1,461,69778725,20150331
671,2,515,2822606,20150330
672,24,149,12206190,20150308
673,2,187,26531680,20150330
674,5,128,24531540,20150327
675,2,469,7467218,20150330
676,2,204,72452980,20150330
677,1,442,4294412,20150331
678,6,400,2993358,20150326
679,1,632,3875164,20150331
680,1,552,5213078,20150331
681,3,172,10559930,20150329
682,5,353,2160914,20150327
683,4,451,3675058,20150328
684,1,210,6416780,20150331
685,2,735,3741131,20150330
686,1,205,7539054,20150331
687,3,166,5721638,20150329
688,1,224,2576645,20150331
689,1,145,37300990,20150331
690,4,267,23944300,20150328
691,2,237,8878332,20150330
692,2,421,8020001,20150330
693,5,469,32085375,20150327
694,4,275,15873028,20150328
695,3,158,9879370,20150329
696,3,167,4348930,20150329
697,1,104,7732940,20150331
698,2,145,20954110,20150330
699,3,516,2711777,20150329
700,2,520,2716465,20150330
701,3,652,42442196,20150329
702,2,220,1797093,20150330
703,10,147,8295290,20150322
704,2,273,9376660,20150330
705,3,397,2740761,20150329
706,4,265,2853422,20150328
707,1,282,17286230,20150331
708,2,299,16664738,20150330
709,1,418,14237494,20150331
710,4,396,4268719,20150328
711,1,144,12235080,20150331
712,3,347,13461231,20150329
713,2,189,28188710,20150330
714,1,178,4092587,20150331
715,7,189,23288462,20150325
716,2,505,12965955,20150330
717,3,107,13402960,20150329
718,4,189,14512205,20150328
719,2,583,3269825,20150330
720,3,417,4636394,20150329
721,1,341,2691564,20150331
722,2,344,4731064,20150330
723,2,301,3376518,20150330
724,1,230,2158162,20150331
725,1,707,3763576,20150331
726,2,158,4435673,20150330
727,4,323,25128568,20150328
728,2,150,35606596,20150330
729,5,241,10169056,20150327
730,1,627,22159718,20150331
731,3,349,6439396,20150329
732,1,124,24632810,20150331
733,2,498,21244655,20150330
734,11,245,2237853,20150321
735,1,180,15979411,20150331
736,2,186,12291455,20150330
737,1,538,5009575,20150331
738,1,220,1552572,20150331
739,3,199,2621004,20150329
740,4,597,3647911,20150328
741,1,383,3002057,20150331
742,9,264,7082890,20150323
743,1,214,3194672,20150331
744,1,376,4297067,20150331
745,2,373,5178379,20150330
746,2,190,15305435,20150330
747,3,330,45714448,20150329
748,1,283,55869530,20150331
749,3,726,6006190,20150329
750,3,221,3101702,20150329
751,1,283,1223630,20150331
752,1,120,8138270,20150331
753,1,442,2934868,20150331
754,3,142,23716910,20150329
755,1,559,13398563,20150331
756,1,357,3078249,20150331
757,4,171,19001540,20150328
758,1,190,15911879,20150331
759,1,483,7228770,20150331
760,1,477,3328950,20150331
761,2,492,11385566,20150330
762,1,692,4468896,20150331
763,1,225,8866145,20150331
764,1,371,8309273,20150331
765,9,137,10998920,20150323
766,1,635,13536516,20150331
767,1,265,4080313,20150331
768,3,213,2933755,20150329
769,1,566,7454124,20150331
770,1,149,17461508,20150331
771,1,209,10627989,20150331
772,1,250,20422376,20150331
773,1,314,6633919,20150331
774,9,228,4517689,20150323
775,5,327,7082958,20150327
776,1,530,5576283,20150331
777,2,187,6829894,20150330
778,2,794,5472536,20150330
779,2,702,18147628,20150330
780,1,571,18559349,20150331
781,4,233,20456390,20150328
782,4,308,3164876,20150328
783,1,163,28449398,20150331
784,8,76,6959810,20150324
785,5,255,13014940,20150327
786,3,122,16178770,20150329
787,1,189,4638800,20150331
788,1,852,9288573,20150331
789,1,159,17389190,20150331
790,8,326,2730447,20150324
791,2,493,9546591,20150330
792,1,108,35019770,20150331
793,1,544,3333590,20150331
794,2,126,17947010,20150330
795,2,354,17387957,20150330
796,1,563,11826099,20150331
797,3,388,31371361,20150329
798,1,370,1042120,20150331
799,4,231,4379909,20150328
800,2,286,16030866,20150330
801,1,263,12070794,20150331
802,1,309,8071638,20150331
803,2,140,6169950,20150330
804,3,304,2247653,20150329
805,1,436,1645485,20150331
806,2,214,9077590,20150330
807,1,248,11766219,20150331
808,1,395,14766806,20150331
809,1,686,5183857,20150331
810,4,149,33136728,20150328
811,3,193,25062837,20150329
812,3,178,12800680,20150329
813,1,890,3887061,20150331
814,3,183,21855770,20150329
815,1,158,6820050,20150331
816,5,387,18575703,20150327
817,1,224,44287180,20150331
818,1,488,16404076,20150331
819,1,155,51793756,20150331
820,2,442,2429243,20150330
821,2,619,3041055,20150330
822,1,244,2728030,20150331
823,3,289,49869460,20150329
824,4,439,6571343,20150328
825,3,189,8560410,20150329
826,2,229,1623780,20150330
827,6,275,15676115,20150326
828,4,145,12227500,20150328
829,27,255,2085993,20150305
830,6,416,4306154,20150326
831,1,400,1443635,20150331
832,3,278,32553780,20150329
833,1,429,5712140,20150331
834,7,311,3539035,20150325
835,1,571,12732817,20150331
836,1,359,1714083,20150331
837,1,408,1720444,20150331
838,3,335,17735141,20150329
839,2,825,10349187,20150330
840,4,129,147386150,20150328
841,3,201,93944609,20150329
842,4,184,27039981,20150328
843,1,364,1783600,20150331
844,3,265,11316099,20150329
845,3,212,12013010,20150329
846,1,246,15900880,20150331
847,2,255,18787250,20150330
848,4,133,19536550,20150328
849,3,399,2709414,20150329
850,2,346,9874462,20150330
851,1,206,1323948,20150331
852,1,421,12517593,20150331
853,2,141,3514100,20150330
854,1,545,5207724,20150331
855,4,288,15248480,20150328
856,1,224,18913582,20150331
857,1,170,19464700,20150331
858,13,230,25277515,20150319
859,5,363,9420339,20150327
860,1,588,3942190,20150331
861,4,228,51843833,20150328
862,2,472,2568952,20150330
863,1,224,94974879,20150331
864,2,479,5664041,20150330
865,1,294,20023130,20150331
866,1,164,12848496,20150331
867,1,377,6881712,20150331
868,1,221,5550810,20150331
869,3,162,2422516,20150329
870,1,177,11732100,20150331
871,3,453,3627276,20150329
872,3,219,1258660,20150329
873,3,322,21421483,20150329
874,2,299,17837976,20150330
875,1,645,23786423,20150331
876,1,562,3399329,20150331
877,2,565,3174997,20150330
878,2,423,20710428,20150330
879,5,747,20433434,20150327
880,1,417,3183549,20150331
881,1,455,4154030,20150331
882,1,240,20907127,20150331
883,1,184,17063360,20150331
884,1,367,53476196,20150331
885,6,223,5487030,20150326
886,9,275,17847775,20150323
887,3,216,11460090,20150329
888,2,454,9258958,20150330
889,1,315,1894313,20150331
890,1,168,15312960,20150331
891,1,1179,10411961,20150331
892,1,339,1455701,20150331
893,1,388,7060914,20150331
894,1,260,21322529,20150331
895,1,241,4862334,20150331
896,1,302,1350208,20150331
897,10,275,47783010,20150322
898,2,303,2714780,20150330
899,2,220,28802637,20150330
900,2,507,3371384,20150330
901,1,315,1070510,20150331
902,1,401,2826195,20150331
903,1,691,11431778,20150331
904,2,141,6025450,20150330
906,11,319,3100077,20150321
907,2,219,8966770,20150330
908,5,164,1489978,20150327
909,1,579,3078632,20150331
910,3,221,1668226,20150329
911,3,291,28936097,20150329
912,4,186,11789500,20150328
913,1,275,18693400,20150331
914,15,446,15991472,20150317
915,4,188,13459868,20150328
916,1,162,18351350,20150331
917,2,300,1223468,20150330
918,1,317,17929854,20150331
919,3,178,58380530,20150329
920,1,306,5886814,20150331
921,2,161,2515209,20150330
922,1,705,3973122,20150331
923,2,224,25981660,20150330
924,2,181,38445640,20150330
925,4,243,9538070,20150328
926,1,479,3294660,20150331
927,1,214,32328146,20150331
928,2,791,30087966,20150330
929,6,193,25278200,20150326
930,1,292,3389389,20150331
931,4,115,15876384,20150328
932,2,153,1435705,20150330
933,1,506,3585679,20150331
934,1,465,50252983,20150331
935,3,213,9903651,20150329
936,3,246,46821120,20150329
937,7,232,20722310,20150325
938,4,280,2854202,20150328
939,4,206,26814548,20150328
940,2,457,5291065,20150330
941,4,224,29211266,20150328
942,3,500,3849723,20150329
943,1,969,16942923,20150331
944,1,447,18929373,20150331
945,2,299,5884906,20150330
946,3,177,23753390,20150329
947,2,273,198288286,20150330
948,4,143,2449900,20150328
949,1,146,11899330,20150331
950,2,147,2038922,20150330
951,1,338,5392412,20150331
952,3,210,18634010,20150329
953,5,161,12469190,20150327
954,7,135,14525860,20150325
955,1,692,91129742,20150331
956,1,370,1703433,20150331
957,2,256,18602346,20150330
958,1,153,16293110,20150331
959,4,149,10963288,20150328
960,1,443,5574136,20150331
961,4,360,2903772,20150328
962,2,114,24439120,20150330
963,3,180,7325113,20150329
964,2,535,4101717,20150330
965,1,396,28721033,20150331
966,1,218,36473254,20150331
967,4,295,3277289,20150328
968,2,312,4240508,20150330
969,1,451,4946397,20150331
970,5,206,1246857,20150327
971,4,589,13260195,20150328
972,11,177,50912748,20150321
973,1,286,13091916,20150331
974,4,151,14885030,20150328
975,1,588,11327763,20150331
976,1,490,2117608,20150331
977,2,207,53934684,20150330
978,1,86,12134190,20150331
979,1,409,2401401,20150331
980,2,489,11974458,20150330
981,1,451,3863647,20150331
982,3,228,18001597,20150329
983,1,479,7593102,20150331
984,4,271,5572260,20150328
986,4,406,18274170,20150328
987,7,222,965939,20150325
988,3,314,3239456,20150329
989,2,324,46252610,20150330
990,4,176,20596435,20150328
991,4,354,22466243,20150328
992,4,451,22976788,20150328
993,3,130,21888638,20150329
994,4,400,15225265,20150328
995,1,528,8248130,20150331
996,1,222,17276556,20150331
997,2,391,50900483,20150330
998,3,301,12847290,20150329
999,1,203,27176544,20150331
1000,1,840,3231878,20150331
1001,4,213,8376390,20150328
1002,1,284,32512491,20150331
