CUSTNO,가구인테리어_잡화_고가_clust_ids,가구인테리어_잡화_중가_clust_ids,가구인테리어_잡화_저가_clust_ids,가전_레저취미_멀티샵_고가_clust_ids,가전_레저취미_멀티샵_중가_clust_ids,가전_레저취미_멀티샵_저가_clust_ids,교육문화_아동_고가_clust_ids,교육문화_아동_중가_clust_ids,교육문화_아동_저가_clust_ids,식품_생활_고가_clust_ids,식품_생활_중가_clust_ids,식품_생활_저가_clust_ids,의류_이미용_고가_clust_ids,의류_이미용_중가_clust_ids,의류_이미용_저가_clust_ids,침구_주방_고가_clust_ids,침구_주방_중가_clust_ids,침구_주방_저가_clust_ids
23,0,0,2,0,2,3,0,0,2,2,4,0,0,4,0,1,0,2
24,1,1,4,0,3,1,0,1,0,0,0,1,0,5,3,0,3,4
25,4,5,1,1,1,1,0,0,0,3,4,1,0,2,2,0,1,1
26,1,5,1,2,1,3,0,2,0,4,3,1,5,0,3,4,3,1
27,5,2,4,2,5,3,0,5,0,3,0,1,0,4,0,2,1,4
28,1,0,3,0,4,3,0,0,0,4,0,1,3,5,3,0,2,0
29,4,0,4,1,4,3,0,0,0,5,4,3,0,5,1,0,2,3
30,4,3,4,0,0,4,0,0,0,1,1,1,0,4,4,0,3,1
31,1,4,1,0,0,3,0,1,0,0,0,5,2,3,0,1,0,1
32,1,2,2,0,2,3,0,0,0,5,5,3,0,5,4,0,2,5
33,1,4,3,0,4,3,0,0,0,2,1,5,0,3,2,0,1,4
34,1,5,1,0,4,3,0,0,0,5,0,2,0,4,0,3,4,1
35,1,2,1,4,0,0,0,0,0,0,1,1,1,3,0,1,3,3
36,1,3,0,5,1,3,0,5,0,0,2,5,3,5,0,2,3,1
37,1,2,2,2,4,1,0,3,0,2,2,4,3,4,0,2,2,3
38,0,5,4,0,5,2,4,0,3,4,5,3,2,2,1,4,5,5
39,1,2,0,0,4,3,0,3,0,4,0,2,5,3,0,4,2,1
40,1,2,2,5,1,3,0,0,0,5,2,0,1,4,3,4,5,2
41,5,1,4,0,0,3,0,0,0,2,2,1,5,1,1,4,1,3
42,1,5,2,0,4,4,0,0,5,2,1,3,2,3,2,0,1,5
43,1,0,4,0,4,4,0,0,5,2,0,2,0,0,3,0,2,0
44,0,5,2,0,2,3,0,0,0,2,5,2,4,5,1,4,1,0
45,4,3,3,5,1,3,4,0,2,3,5,1,3,1,4,1,1,5
46,5,5,0,5,2,3,0,0,0,2,3,0,5,4,0,4,1,1
47,3,5,2,1,0,5,0,3,1,2,0,2,2,3,4,5,0,5
48,5,2,2,5,2,1,0,4,1,5,3,1,0,1,4,1,5,3
49,5,3,4,1,4,3,0,2,0,3,2,2,0,2,0,3,2,1
50,2,4,1,0,0,1,3,1,5,4,4,2,3,1,2,5,0,5
51,1,4,1,2,5,3,0,4,0,0,4,0,5,1,4,4,0,1
52,1,1,1,0,3,4,0,5,0,2,3,3,3,4,1,1,0,2
53,4,4,2,2,2,5,0,0,0,0,4,0,3,0,0,4,0,1
54,1,1,1,0,4,3,0,0,0,2,5,3,0,0,0,0,1,1
55,1,2,2,0,1,4,0,0,0,4,3,5,0,5,3,0,1,2
56,4,4,5,2,2,3,0,2,0,1,5,1,4,1,0,2,3,4
57,3,0,4,0,2,0,0,0,2,5,0,5,0,5,5,0,1,4
58,5,1,5,0,3,3,0,0,0,2,1,2,5,3,0,4,4,1
59,2,3,4,0,4,3,0,0,0,2,5,4,3,2,1,3,0,2
60,1,4,3,0,2,3,0,4,4,5,3,1,5,4,2,3,2,3
61,0,5,4,0,1,2,4,4,5,2,2,0,3,4,0,3,2,1
62,2,2,2,2,5,3,0,0,0,2,2,3,1,1,2,2,3,2
63,1,4,2,0,3,3,0,0,0,5,1,2,4,2,0,0,1,1
64,1,0,1,0,4,3,0,3,5,5,5,0,0,3,1,0,0,4
65,4,0,0,0,0,0,0,1,4,0,4,0,1,2,5,2,4,5
66,1,2,5,0,2,5,0,0,0,4,5,0,3,2,4,0,1,0
67,1,1,1,0,4,5,0,0,0,1,5,2,5,3,3,0,0,0
68,3,0,0,3,5,3,1,3,2,4,5,5,4,2,2,0,4,1
69,1,0,3,0,4,4,0,0,4,0,5,2,0,3,0,0,1,3
70,1,3,2,5,3,3,0,0,0,5,4,3,2,5,0,2,3,1
71,1,0,4,0,4,3,0,3,0,5,2,3,0,3,2,0,0,2
72,1,1,1,0,0,4,0,3,2,1,3,1,0,5,2,0,1,2
73,1,3,2,0,0,3,0,4,2,4,1,5,4,2,0,4,0,1
74,5,4,4,0,4,3,0,0,0,4,4,3,1,3,1,3,4,5
75,1,0,5,0,4,3,0,0,0,2,5,4,0,5,5,0,5,4
76,2,0,3,0,2,3,0,5,0,2,0,0,4,1,0,2,1,1
77,5,1,1,0,5,3,0,4,4,0,1,4,1,3,4,0,1,0
78,1,0,1,4,3,3,0,0,0,4,3,1,3,5,4,1,5,4
79,1,0,3,0,3,0,0,5,2,1,3,4,5,0,2,2,5,1
80,1,0,2,0,2,5,0,0,0,2,5,4,4,5,4,3,4,4
81,5,3,1,5,5,2,0,2,0,1,2,1,3,2,0,3,1,3
82,2,2,1,3,3,3,0,0,0,5,1,3,2,1,4,2,1,1
83,1,1,3,2,5,1,0,0,0,2,1,3,2,1,1,3,3,4
84,2,1,5,5,1,3,0,1,3,3,4,5,3,5,4,0,1,5
85,1,5,0,0,3,3,0,0,0,2,3,2,4,5,2,4,1,1
86,4,2,5,4,5,4,0,5,5,1,2,0,1,2,4,2,5,3
87,0,5,3,3,2,3,0,2,0,3,2,2,4,0,0,5,0,1
88,1,5,4,4,1,0,0,1,2,2,4,0,1,1,5,3,3,3
89,1,3,1,0,0,2,0,5,3,4,3,2,3,0,5,5,1,5
90,3,3,3,1,1,3,0,0,2,5,5,5,5,4,5,0,5,4
91,0,4,1,0,2,3,0,2,0,2,2,2,2,0,0,0,4,0
92,0,4,1,1,4,5,0,0,5,4,3,0,0,1,4,3,5,3
93,4,5,5,0,4,3,0,2,0,3,4,3,2,2,0,1,1,1
94,3,1,2,5,1,4,0,2,1,4,5,0,1,5,3,4,0,0
95,4,0,5,0,4,2,0,2,4,5,1,1,5,3,3,0,2,4
96,1,0,4,4,5,3,0,0,0,1,5,5,1,0,3,0,2,1
97,0,2,5,0,1,0,0,5,0,3,4,1,2,3,0,0,3,3
98,2,5,2,0,0,3,0,1,0,2,3,3,2,3,4,4,0,1
99,1,5,0,2,0,2,4,4,3,1,1,2,3,3,1,3,4,5
100,3,4,4,5,0,3,0,3,0,3,5,3,4,3,3,3,2,1
101,1,0,5,0,4,3,0,0,0,4,2,3,3,5,0,0,1,2
102,0,3,3,2,0,3,0,0,0,4,4,3,1,2,1,2,5,3
103,1,0,2,0,1,2,0,0,0,3,3,3,0,3,0,0,1,0
104,1,0,5,0,4,1,1,1,0,3,1,2,4,5,3,0,0,5
105,1,1,3,0,3,0,1,5,2,5,2,4,0,1,3,2,3,3
106,4,4,5,0,2,3,0,0,0,0,0,0,5,4,2,4,4,5
107,2,4,1,2,2,3,0,2,0,1,0,0,0,1,0,1,4,4
108,2,4,0,0,3,5,5,1,1,4,5,5,2,1,1,4,5,1
109,1,0,3,0,4,5,0,0,4,2,4,4,0,5,2,0,1,3
110,1,3,3,5,4,5,1,0,4,1,3,4,5,2,5,2,5,2
111,1,0,3,0,1,3,0,0,3,3,3,1,0,3,3,0,3,2
112,1,1,2,0,2,1,0,4,2,1,3,5,1,3,2,5,2,2
113,4,4,0,1,4,5,5,3,5,4,0,2,3,5,3,0,1,4
114,5,0,4,2,4,3,0,5,0,2,1,3,3,3,0,3,3,1
115,5,3,3,2,3,3,0,0,0,2,2,4,2,4,0,2,0,2
116,1,0,1,0,4,4,0,0,0,2,1,2,5,4,2,0,1,3
117,2,0,2,0,3,3,0,0,0,3,4,4,3,1,2,1,3,4
118,1,4,4,4,2,3,0,3,0,4,0,3,5,5,4,1,0,1
119,5,2,1,1,4,5,0,1,0,4,2,2,2,0,4,5,1,5
120,0,2,1,0,3,3,0,0,0,0,2,3,0,1,5,1,3,2
121,3,4,2,3,3,3,4,3,0,5,5,4,1,0,3,4,0,2
122,2,5,4,3,2,0,0,1,4,4,4,3,4,2,3,2,1,5
123,1,5,2,0,4,4,0,4,4,4,5,1,0,3,1,0,4,5
124,2,4,3,0,5,3,0,2,0,2,1,4,3,1,2,4,3,2
125,2,0,0,1,1,4,0,0,2,5,1,0,1,5,4,0,5,5
126,4,5,3,0,2,5,0,0,0,1,3,4,5,5,5,2,5,1
127,5,0,4,0,1,3,0,0,0,4,4,3,2,2,1,0,5,2
128,1,0,4,0,0,4,0,0,0,1,3,4,0,5,0,0,1,3
129,1,0,5,0,4,0,0,0,1,2,0,0,0,3,0,0,1,1
130,5,0,0,0,3,4,0,3,0,4,2,4,5,3,0,4,2,4
131,2,5,1,1,0,2,0,4,0,0,4,3,4,2,1,1,3,3
132,1,4,2,4,3,1,0,0,4,5,1,5,1,0,1,0,1,0
133,0,1,2,5,0,3,0,0,4,2,3,1,2,5,3,0,1,0
134,5,4,0,0,1,3,0,4,2,2,2,5,2,2,2,2,5,4
135,1,2,2,0,5,3,0,2,0,2,0,1,1,2,0,0,0,2
136,1,1,3,1,4,3,0,0,0,0,0,0,3,4,0,2,3,1
137,0,5,0,3,3,3,5,5,3,3,3,1,2,5,0,2,5,2
138,4,4,4,2,4,2,0,5,2,2,3,5,1,5,1,4,1,0
139,4,3,3,0,3,2,0,3,4,1,5,0,0,1,4,0,2,0
140,1,3,5,0,4,3,0,2,0,4,0,4,2,5,1,0,5,1
141,1,0,2,0,4,3,2,0,0,2,2,2,0,3,2,0,1,0
143,1,4,2,0,3,4,5,5,4,0,3,1,0,1,3,0,0,5
144,1,0,1,4,1,3,5,1,4,1,5,2,0,3,4,0,2,2
145,2,3,4,1,2,3,0,5,0,3,5,4,2,1,5,0,0,4
146,1,0,4,0,0,3,0,2,0,2,0,2,4,2,0,3,3,1
147,4,3,3,3,2,2,0,4,0,0,2,2,2,3,5,5,2,0
148,1,0,4,0,1,1,0,0,0,2,4,4,0,5,1,0,1,0
149,2,4,1,0,1,3,0,4,0,4,1,2,5,5,5,0,0,0
150,4,3,0,1,5,0,0,0,0,3,3,3,5,4,5,5,0,0
151,0,5,0,3,5,3,1,3,0,3,3,3,0,4,4,0,1,1
152,4,2,4,3,1,3,0,0,0,1,2,3,2,2,3,2,1,2
153,1,0,2,2,3,3,0,4,0,3,1,0,1,4,3,0,5,3
154,0,0,0,4,2,3,0,0,0,0,0,1,0,0,3,2,0,0
155,5,0,3,4,1,3,0,0,1,5,0,3,0,3,2,1,5,1
156,3,1,5,1,3,3,0,5,0,4,0,0,2,2,4,1,2,1
157,1,1,2,2,0,3,0,0,0,0,4,1,1,1,4,4,3,3
158,1,1,0,0,5,3,0,5,0,2,3,4,2,5,4,1,5,2
159,4,0,1,3,0,3,4,3,5,2,2,3,5,4,2,3,5,5
160,5,4,2,0,4,4,0,5,0,1,2,2,2,4,4,0,3,5
161,1,3,4,1,3,3,0,2,0,1,0,2,5,1,0,2,2,1
162,5,0,1,5,2,2,0,0,2,3,4,4,5,4,3,5,1,5
163,1,2,2,0,4,5,0,4,0,2,0,2,0,2,4,0,2,5
164,2,5,1,4,2,4,0,5,3,1,4,3,1,4,5,1,2,4
165,5,5,0,3,0,5,0,4,0,0,2,3,0,3,2,5,4,1
166,4,5,0,0,2,5,0,5,1,2,0,0,1,3,3,0,1,1
167,4,3,2,0,4,3,0,0,0,5,2,3,5,4,2,1,0,1
168,0,4,0,0,2,0,4,4,0,2,0,5,3,4,1,2,0,3
169,0,4,0,0,4,5,0,0,5,3,1,3,2,1,2,0,2,0
170,1,0,4,0,3,3,0,0,2,3,1,2,5,5,5,0,4,4
171,0,0,1,4,1,4,0,1,4,2,1,1,2,5,1,3,2,1
172,1,1,4,1,3,3,3,0,1,2,1,3,1,0,4,5,4,3
173,2,0,5,1,2,4,0,2,5,4,3,5,3,1,4,2,0,2
175,3,0,3,0,5,3,0,4,0,2,1,2,0,2,5,0,4,1
176,1,4,3,0,4,3,3,3,0,4,3,2,3,1,4,0,5,0
177,1,0,1,0,2,3,0,2,0,2,1,3,4,0,2,4,4,1
178,1,2,4,0,2,3,4,0,0,1,1,3,0,4,3,5,2,1
179,4,5,2,5,2,3,1,5,5,3,1,0,0,5,5,2,3,0
180,4,0,5,0,3,3,0,1,0,2,1,5,4,2,0,3,1,1
181,4,3,1,2,3,2,0,0,0,2,3,3,5,1,0,1,5,1
182,3,2,1,0,3,3,0,0,2,4,5,5,3,2,0,4,0,4
183,1,0,2,0,4,3,2,4,0,2,4,0,0,0,0,2,3,1
184,2,4,4,0,2,1,1,5,5,2,2,0,5,4,2,5,4,3
185,1,3,5,0,1,4,0,2,4,2,1,1,0,5,5,0,5,1
186,5,2,1,1,3,4,5,5,0,0,2,1,0,4,5,0,4,2
187,1,4,4,0,0,3,0,0,0,5,0,2,1,1,4,3,2,2
188,1,2,5,0,4,5,5,0,2,1,4,3,0,1,1,0,1,2
189,3,4,4,0,4,1,0,3,0,5,2,3,0,1,2,1,5,1
190,4,3,1,0,4,3,0,2,0,3,1,2,0,5,0,1,0,1
191,0,0,1,2,2,3,0,5,0,3,4,4,2,3,5,4,1,1
192,2,4,3,2,5,5,0,0,2,0,0,4,4,2,5,5,2,1
193,1,0,5,0,4,3,0,0,5,2,0,1,0,3,4,0,2,1
194,1,5,4,0,1,5,0,0,0,5,3,4,4,0,4,5,5,3
195,1,0,1,0,3,2,0,0,1,1,1,3,0,3,4,0,4,2
196,3,3,5,2,2,5,0,4,4,2,5,3,5,0,1,3,1,3
197,5,3,0,2,0,2,0,0,4,0,4,4,5,4,1,3,0,2
198,3,2,2,3,2,3,2,1,5,0,1,2,3,4,1,3,1,2
199,5,0,0,5,2,2,1,0,5,3,1,2,0,4,1,0,1,0
200,1,0,2,0,3,3,0,0,0,0,3,2,3,1,2,4,4,1
201,3,2,4,4,3,3,0,3,0,2,4,3,0,3,2,5,1,2
202,5,2,2,2,3,3,0,5,0,1,5,5,2,0,2,3,4,0
203,1,0,3,0,4,3,0,0,1,3,0,5,0,3,0,0,1,1
204,1,5,3,0,4,1,0,5,1,1,1,3,3,3,5,0,2,3
205,1,4,2,0,2,1,0,0,0,3,3,1,2,0,4,1,5,1
206,2,0,4,0,3,2,0,4,4,5,3,0,2,5,1,4,5,0
207,1,0,2,0,3,1,0,0,1,1,3,1,0,3,4,0,3,2
208,1,0,4,0,4,3,0,5,0,5,1,3,2,2,5,4,1,1
209,1,5,2,2,3,3,0,5,1,2,4,4,2,4,4,2,5,1
210,1,0,0,0,4,0,0,0,3,4,0,2,0,2,2,4,3,5
211,3,2,3,0,5,3,0,3,0,4,1,1,3,1,1,5,1,4
212,2,4,2,0,5,3,0,5,0,2,0,1,2,1,0,0,1,2
213,1,2,1,1,0,2,0,3,1,1,1,2,5,4,0,4,1,2
214,1,2,5,3,3,3,2,5,0,2,2,3,5,2,0,2,5,1
215,1,5,4,1,2,1,0,4,4,4,4,3,0,4,2,3,2,5
216,1,5,2,0,4,5,0,0,1,1,0,0,2,0,0,1,1,5
217,1,0,0,0,2,0,0,5,2,4,0,2,4,5,0,1,3,0
218,1,2,1,5,2,3,2,4,0,1,4,1,5,1,4,1,0,1
219,2,0,4,4,2,5,1,5,2,4,3,5,5,4,5,4,1,4
220,1,2,1,0,1,5,1,2,2,2,0,2,0,3,5,0,4,4
221,1,2,3,0,2,0,0,3,1,0,5,3,4,0,1,0,0,2
222,4,0,3,3,4,3,4,1,0,0,4,4,1,2,1,2,4,2
223,4,5,1,1,3,3,0,5,0,2,3,2,2,4,3,4,0,1
224,3,3,2,3,0,3,0,2,2,4,4,0,2,3,5,5,2,1
225,3,4,5,0,4,3,0,0,5,2,2,0,4,4,2,1,1,1
226,1,0,3,0,5,0,0,3,0,5,0,2,3,1,1,4,0,3
227,1,0,4,0,4,3,0,0,0,2,5,5,0,3,5,0,1,0
228,1,0,3,0,1,5,4,1,4,5,3,0,0,5,1,0,2,2
229,4,5,2,2,1,3,0,1,0,1,1,5,5,0,3,3,5,1
230,0,1,5,0,5,3,0,3,0,4,1,5,0,4,3,3,2,3
231,1,0,5,0,1,3,0,0,0,2,0,2,0,3,4,0,5,4
232,1,1,4,0,4,0,0,0,0,2,4,5,0,3,1,0,1,4
233,3,1,1,2,1,5,0,0,0,3,0,1,3,1,0,4,1,3
234,4,5,4,4,1,3,0,0,3,2,0,1,2,4,4,4,3,2
235,5,0,1,0,5,1,0,5,0,3,1,5,3,5,3,2,4,2
236,1,0,3,0,4,1,0,0,0,2,0,0,0,3,4,0,1,5
237,0,4,3,4,3,1,1,3,0,3,4,3,0,4,4,4,4,4
238,4,3,5,0,3,0,0,1,0,2,0,1,5,1,2,1,5,1
239,1,3,0,2,3,1,0,4,0,2,1,0,5,3,3,3,5,3
240,1,1,0,0,5,3,0,5,0,0,3,5,5,4,0,5,1,1
241,2,1,3,0,3,3,0,4,0,2,3,0,1,5,0,1,3,1
242,1,1,3,0,2,3,5,5,2,5,5,4,0,5,5,0,0,4
243,1,0,4,0,5,4,0,3,4,5,2,3,0,0,5,0,1,2
245,1,4,1,5,2,0,0,0,0,4,3,4,0,0,1,5,1,4
246,5,4,1,0,5,4,0,2,0,3,3,0,5,1,3,0,2,0
247,5,0,2,0,4,3,0,0,0,1,3,2,4,1,3,0,1,4
248,1,1,0,0,2,5,0,0,1,5,2,0,4,5,5,4,4,2
249,5,2,4,1,2,3,0,0,0,2,4,5,0,5,3,1,3,1
250,4,3,5,1,0,3,0,1,0,0,5,4,3,3,5,2,3,0
251,0,5,1,3,2,3,0,3,0,3,4,0,1,0,5,4,3,1
252,1,4,1,3,3,3,0,3,0,0,0,1,0,1,0,1,5,4
253,2,3,2,0,1,3,0,4,0,0,5,3,0,0,0,1,5,1
254,1,0,1,1,5,3,0,0,0,4,5,1,4,2,2,1,5,2
255,1,0,1,4,0,2,0,2,5,3,0,0,4,3,3,0,1,2
256,1,4,1,1,2,0,0,0,1,2,0,1,1,1,5,3,4,5
257,1,3,0,0,0,5,5,5,3,4,3,5,1,2,5,5,3,5
258,1,2,5,2,5,3,0,0,0,2,4,4,4,5,1,3,0,4
259,2,3,3,0,3,5,0,0,2,2,1,5,0,4,0,0,1,2
260,1,2,1,0,4,3,0,2,0,5,3,1,0,3,2,2,1,5
261,0,2,0,0,5,3,0,3,0,2,5,5,5,0,5,5,4,3
262,1,4,5,0,3,3,0,0,5,1,2,0,5,2,0,2,5,1
263,1,0,3,0,3,3,1,5,3,1,3,3,0,3,2,0,4,5
264,1,0,4,0,4,2,0,0,0,4,2,0,4,5,5,0,0,4
265,5,3,0,0,2,3,0,4,0,3,2,1,5,4,0,0,3,2
266,4,0,3,3,0,3,0,0,0,5,1,4,3,4,1,3,1,2
267,4,3,0,0,1,4,0,5,4,1,2,2,1,4,4,4,1,2
268,4,3,4,0,4,3,5,1,4,1,3,0,4,3,2,0,0,0
269,5,5,4,1,1,2,0,4,0,2,2,3,1,5,3,5,3,1
270,1,0,3,0,5,5,4,4,2,5,1,0,2,2,2,0,4,4
271,5,4,0,0,3,3,0,0,0,5,0,1,5,0,5,5,2,1
272,3,1,4,1,3,3,1,4,2,1,5,0,1,0,0,5,0,2
273,3,5,2,0,5,4,3,1,4,2,0,3,2,0,1,2,2,1
274,1,0,0,0,4,4,0,4,3,1,0,0,0,3,0,0,4,3
275,1,3,0,0,2,2,0,5,4,4,4,5,1,4,1,4,4,1
276,1,5,2,0,4,5,0,0,0,2,0,0,1,2,0,2,4,2
277,2,4,0,1,2,3,0,2,0,1,1,3,0,3,1,3,3,2
278,1,0,1,0,4,4,0,0,0,3,3,4,0,3,0,0,1,0
279,5,3,2,1,1,3,0,5,0,2,5,0,0,1,0,4,5,1
280,4,4,0,1,3,1,0,1,0,2,1,1,5,5,4,4,0,1
281,5,3,4,2,4,5,1,4,0,3,4,1,5,1,4,2,3,2
282,3,1,4,2,3,3,0,0,0,0,1,3,1,4,2,3,3,1
283,2,3,3,1,3,3,0,3,0,0,4,2,5,2,1,0,3,1
284,1,0,4,0,4,3,0,0,2,5,4,5,0,5,4,0,1,3
285,1,0,4,0,1,5,0,3,2,4,5,4,2,2,1,5,4,1
286,2,3,2,2,5,3,0,0,3,4,5,4,5,2,3,2,0,2
287,1,0,4,0,5,1,4,1,2,5,1,0,0,3,2,0,1,1
288,1,1,0,0,4,3,0,2,3,4,5,5,0,1,0,0,5,2
289,1,5,0,0,5,3,3,4,3,2,4,3,3,2,4,0,1,2
290,1,5,0,0,0,1,1,0,2,0,5,3,0,0,4,0,5,2
291,1,0,2,0,4,4,0,0,5,5,0,1,4,5,4,0,3,0
292,0,2,4,2,4,1,0,3,0,2,2,5,2,5,1,3,3,0
293,1,4,0,5,3,4,0,0,3,1,4,3,2,5,1,5,4,5
294,4,2,2,2,3,0,0,4,0,4,3,1,4,1,0,4,0,5
295,5,1,0,3,2,3,0,0,0,4,0,1,1,2,4,3,0,0
296,2,5,1,5,2,3,0,4,0,2,4,2,0,4,3,0,5,2
297,3,0,5,1,2,3,0,3,0,1,2,0,0,4,2,1,5,5
298,1,3,0,3,4,0,0,5,0,0,1,1,5,3,5,3,1,5
299,1,1,5,0,0,5,0,0,0,2,2,0,2,2,2,2,5,2
300,1,2,5,3,0,5,3,0,0,2,0,0,0,5,5,0,1,1
301,4,5,4,4,2,3,0,0,4,4,0,5,1,5,0,0,5,2
302,2,3,3,0,4,0,0,5,0,2,0,3,3,1,3,5,2,4
303,1,5,1,3,2,3,0,0,0,4,0,0,4,4,3,3,3,5
304,1,4,2,1,0,3,0,1,0,4,5,5,0,3,0,2,3,2
305,2,5,0,4,2,1,0,0,1,4,0,5,3,5,4,3,4,0
306,0,1,0,5,3,3,0,4,2,3,0,3,2,1,1,4,2,1
307,5,2,4,0,4,1,4,1,0,2,1,5,5,1,4,4,5,2
308,3,4,2,2,0,3,0,4,0,2,2,3,4,0,0,4,4,1
309,5,0,3,4,2,3,5,4,0,4,3,4,0,0,0,0,2,1
310,1,4,5,0,3,3,2,1,5,0,1,3,1,3,3,0,5,5
311,2,4,1,4,2,3,0,4,0,5,2,5,5,2,3,4,0,2
312,1,1,0,0,3,1,0,2,4,2,3,5,0,3,0,0,1,1
313,4,4,3,0,3,2,0,0,3,2,0,5,0,4,5,1,5,1
314,2,0,2,0,5,3,0,2,0,4,5,0,3,3,0,4,2,1
315,4,0,1,0,4,1,1,0,2,5,2,1,5,4,0,1,5,4
316,4,5,1,2,3,3,0,5,4,3,0,1,4,1,2,1,5,3
317,3,4,1,0,4,1,2,2,0,1,1,5,4,3,5,0,0,0
318,3,4,0,0,5,3,2,1,0,4,1,2,5,1,0,3,2,1
319,4,4,3,3,5,3,0,4,0,2,0,2,2,3,0,2,3,1
320,3,5,2,0,1,3,0,0,3,5,4,0,2,5,5,4,3,0
321,2,5,3,2,2,3,0,0,0,3,4,5,4,1,1,1,0,1
322,1,2,0,3,2,3,0,3,0,3,0,2,3,4,5,4,5,5
323,2,4,5,0,1,3,1,0,2,1,0,2,0,2,2,5,3,5
324,5,1,2,0,4,3,5,1,1,1,2,0,4,0,5,0,1,1
325,1,2,5,0,1,3,0,4,0,3,0,2,3,4,3,3,4,5
326,4,5,3,3,5,3,0,4,2,3,2,5,1,0,4,1,2,3
327,5,0,3,0,1,3,2,0,0,5,5,4,0,5,4,3,4,1
328,5,5,1,1,1,3,0,1,0,0,4,2,3,5,1,0,4,1
329,4,2,2,2,4,3,0,0,0,3,1,3,1,4,4,1,0,3
330,1,5,5,0,4,2,0,0,5,0,1,2,0,5,2,0,5,5
331,0,5,5,1,0,5,0,0,0,4,0,4,0,2,4,4,4,1
332,5,3,2,1,5,2,2,5,2,1,3,5,0,5,5,0,1,3
333,4,3,1,0,3,5,0,0,0,2,5,1,0,2,4,4,0,1
334,2,0,0,4,2,3,0,3,0,4,0,2,3,3,0,0,3,1
335,3,4,5,0,0,3,0,3,0,0,4,3,5,2,0,3,1,5
336,1,0,2,0,4,3,0,4,2,3,1,3,0,1,1,2,4,4
337,5,1,5,0,3,2,0,0,0,0,0,3,1,1,2,3,0,2
338,1,5,1,0,5,2,0,1,1,3,4,4,0,2,4,0,0,1
339,1,0,2,0,4,4,0,5,4,4,1,4,0,2,2,0,5,1
340,3,3,2,0,4,3,0,0,0,5,1,2,0,0,3,1,4,1
341,4,2,0,5,3,3,1,2,5,2,0,0,0,1,2,1,2,5
342,1,0,2,0,4,3,0,0,0,2,4,5,0,3,4,0,1,5
343,2,5,4,3,1,2,0,0,0,0,1,0,0,5,1,3,5,1
344,1,1,3,0,2,3,0,0,0,2,0,1,0,4,1,2,2,1
345,1,0,2,1,3,3,0,0,0,1,0,0,5,4,0,1,0,4
346,0,2,1,0,1,3,0,0,0,2,0,2,3,5,0,4,2,1
347,0,2,3,3,2,4,1,2,0,4,2,1,0,2,1,3,1,5
348,1,0,1,0,4,2,0,0,0,2,3,2,3,3,4,0,1,2
349,2,2,2,2,5,1,1,0,0,3,4,4,0,3,0,1,5,3
350,0,2,4,1,5,2,5,5,2,1,0,4,3,3,2,3,1,4
351,5,5,5,0,2,5,0,3,3,0,4,3,4,2,1,4,3,0
352,0,3,2,0,4,3,0,3,3,3,0,1,2,4,1,2,4,2
353,1,0,5,0,1,5,0,5,4,3,1,0,0,5,3,0,4,4
354,1,0,2,0,3,2,0,0,3,5,0,1,0,3,2,0,2,1
355,3,2,0,3,2,2,0,0,0,2,2,5,5,0,5,4,1,4
