CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,교육문화_아동_저가_clust_id
438,-1,0,0,0,0,0,0
439,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0
441,4,-3,3,-3,-1,0,4
442,2,-1,-1,0,0,-1,0
443,0,0,0,0,0,0,0
444,-1,1,-2,2,1,-2,0
445,4,-1,-2,-1,4,-3,4
446,0,0,0,4,-3,-1,3
447,-3,3,-2,-1,-1,0,2
448,0,4,-3,3,-1,-2,2
449,-1,0,0,0,4,0,1
450,0,0,0,1,-2,-1,0
451,0,-1,3,-3,3,-3,5
452,4,-3,-1,0,0,0,4
453,0,0,0,0,0,0,0
454,0,-1,0,0,4,-1,1
455,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0
458,-1,0,4,-3,3,0,5
459,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0
464,1,1,0,0,-1,2,0
465,1,-3,3,-3,0,3,5
466,0,0,4,-3,3,-3,5
467,0,0,0,0,0,0,0
468,4,-3,-1,0,0,4,4
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,-1,4,-3,-1,0,0,2
473,0,-1,1,-2,3,-3,1
474,1,0,0,0,-2,2,0
475,3,-1,-1,0,2,-2,4
476,0,0,0,0,0,0,0
477,-3,-1,4,-1,-2,-1,5
478,4,-3,-1,0,0,0,4
479,-1,-2,-1,4,-3,-1,3
480,-3,3,-3,3,-2,-1,2
481,4,-2,-1,3,-3,3,3
482,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,4,-2,2,-3,-1,4,4
486,0,0,0,0,0,0,0
487,0,-3,-1,4,-1,0,3
488,0,0,0,0,0,0,0
489,0,0,0,4,-3,-1,3
490,0,0,0,0,0,0,0
491,-3,-1,0,0,0,0,0
492,0,0,0,0,0,0,0
493,-3,-1,0,0,0,0,0
494,0,0,4,-3,-1,0,5
495,0,0,0,0,0,0,0
496,-1,0,0,0,0,0,0
497,-2,3,-3,2,-1,1,2
498,0,0,0,0,0,0,0
499,-3,3,0,-3,-1,0,2
500,0,0,4,-3,-1,0,5
501,-3,-1,0,0,4,-3,1
502,0,0,0,0,0,0,0
503,-1,1,-1,0,1,-1,0
504,0,0,4,-3,-1,0,5
505,3,-2,1,-2,3,-2,4
506,0,0,0,4,-3,3,3
507,0,0,0,0,0,0,0
508,3,-3,-1,4,-3,-1,3
509,0,0,0,0,0,0,0
510,0,0,4,-3,3,-3,5
511,-2,3,-3,2,-1,2,2
512,-3,-1,0,0,0,4,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,4,-3,-1,3
516,0,0,0,4,-3,3,3
517,0,4,-3,-1,0,0,2
518,-1,-2,-1,0,0,0,0
519,0,4,-1,-2,3,-2,1
520,-3,-1,0,0,4,-3,1
521,-1,4,0,-3,0,3,2
522,4,-1,-2,3,-3,3,3
523,0,0,0,0,0,4,0
524,0,0,0,0,0,0,0
525,0,0,4,-2,-1,-1,5
526,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,-3,-1,0,0,0,0,0
530,0,0,0,0,0,0,0
531,4,-3,-1,0,0,0,4
532,-3,-1,0,0,0,0,0
533,-1,-2,3,-2,1,-1,5
534,0,0,0,0,0,0,0
535,0,0,0,0,0,4,0
536,0,0,0,0,0,0,0
537,-3,-1,0,0,4,-2,1
538,0,0,0,0,0,0,0
539,0,4,-3,-1,4,-3,1
540,0,0,0,0,0,0,0
541,0,4,-1,-2,3,-2,1
542,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0
547,-3,-1,4,-3,-1,0,5
548,3,-3,3,-3,-1,4,4
549,-3,-1,4,-3,-1,4,5
550,3,-3,0,3,-2,2,3
551,-3,3,-3,3,-3,-1,2
552,0,0,0,0,0,0,0
553,-1,4,-3,-1,0,0,2
554,0,0,0,0,0,0,0
555,-3,3,-3,-1,0,0,2
556,-2,3,-3,-1,0,0,2
557,4,-3,-1,4,-2,2,3
558,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
561,4,-3,-1,0,0,0,4
562,0,0,0,0,0,0,0
563,0,0,0,0,4,-3,1
564,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0
567,0,4,-3,-1,0,0,2
568,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0
571,0,-1,0,0,0,0,0
572,0,0,4,-3,3,0,5
573,4,-2,0,-1,-1,4,4
574,3,-3,3,-3,3,-3,4
575,-1,-2,-1,4,-3,3,3
576,3,0,-3,3,-3,3,3
577,0,0,0,0,0,0,0
578,0,4,-3,0,-1,4,2
579,-3,-1,4,-3,-1,0,5
580,3,-3,-1,4,-3,-1,3
581,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0
583,0,4,-3,-1,0,0,2
584,0,0,0,0,0,0,0
585,0,0,0,0,4,-1,1
586,-3,-1,4,0,-3,3,5
587,0,0,0,0,0,0,0
588,0,0,0,4,-3,-1,3
589,-2,-1,4,-1,-2,-1,5
590,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,0,0,4,0,-3,-1,5
594,4,-3,-1,0,0,0,4
595,0,0,0,0,0,0,0
596,-1,0,0,0,0,0,0
597,0,0,0,0,0,4,0
598,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0
600,3,-3,3,-2,0,2,4
601,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0
603,0,4,-3,-1,0,0,2
604,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0
606,-3,3,-3,-1,0,0,2
607,0,0,0,0,0,0,0
608,-1,0,3,0,-1,-2,5
609,-1,-2,3,-3,-1,0,5
610,0,0,0,0,0,0,0
611,0,0,0,0,0,4,0
612,0,0,0,0,0,0,0
613,0,-3,0,-1,0,0,0
614,0,0,0,0,0,0,0
615,0,4,-3,-1,0,0,2
616,-1,-2,-1,4,-2,-1,3
617,4,-2,-1,3,0,-3,3
618,-1,4,-3,-1,0,0,2
619,-1,4,-1,-2,3,-3,1
620,-1,0,0,4,-3,3,3
621,3,-3,-1,4,-3,-1,3
622,-3,-1,0,0,0,0,0
623,1,2,-2,1,-2,1,2
624,0,0,4,-3,-1,0,5
625,0,0,0,0,0,0,0
626,-2,-1,-1,0,4,0,1
627,0,0,0,0,0,0,0
628,0,4,-3,-1,0,0,2
629,-1,1,-2,3,-2,-1,3
630,0,0,0,0,0,4,0
631,0,0,4,-3,-1,0,5
632,0,0,0,0,0,0,0
633,0,4,-3,-1,0,0,2
634,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0
637,-1,4,-3,3,0,-3,2
638,-3,-1,0,0,0,0,0
639,-1,0,0,0,0,0,0
640,0,0,0,0,4,-3,1
641,0,0,0,0,0,0,0
642,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0
645,-3,-1,0,4,-3,3,3
646,3,-1,-2,-1,0,4,4
647,0,0,0,0,0,0,0
648,0,0,0,0,0,0,0
649,0,4,-3,0,3,-3,1
650,4,-1,-2,-1,0,0,4
651,0,0,0,0,0,0,0
652,0,0,0,0,0,4,0
653,1,-2,3,0,-2,-1,5
654,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0
656,-1,0,0,0,0,0,0
657,0,0,0,0,0,0,0
658,0,4,-1,-2,3,-3,1
659,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0
661,4,-2,-1,3,-1,-2,3
662,4,-3,-1,4,-3,-1,3
663,0,0,0,0,0,0,0
664,0,0,0,4,0,-3,3
665,-3,3,-2,1,-1,0,2
666,0,0,0,0,0,0,0
667,0,0,0,0,0,0,0
668,0,0,0,0,0,0,0
669,0,0,0,0,0,0,0
670,0,0,0,0,0,0,0
671,-1,0,0,0,0,4,0
672,0,0,0,0,0,0,0
673,0,0,0,0,0,0,0
674,0,0,0,0,0,0,0
675,-3,2,-1,-1,3,-3,1
676,-1,0,0,0,0,4,0
677,0,0,1,-2,3,-3,1
678,1,1,-3,3,-3,0,3
679,0,0,0,0,0,0,0
680,4,-3,2,-2,0,-1,4
681,0,0,0,0,0,0,0
682,0,0,0,4,-3,3,3
683,-1,4,-3,3,-3,3,2
684,0,0,0,0,0,0,0
685,0,0,0,0,0,0,0
686,0,0,0,0,0,4,0
687,0,0,0,0,0,0,0
688,-1,0,4,-2,0,2,5
689,0,0,0,0,0,0,0
690,-1,4,-1,-2,-1,4,2
691,0,4,-3,3,-3,3,2
692,-2,-1,0,-1,0,4,0
693,0,0,0,0,0,0,0
694,0,0,0,0,4,-3,1
695,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0
697,4,-3,3,-3,3,-3,4
698,0,0,0,0,0,0,0
699,-1,0,4,-3,-1,0,5
700,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0
705,0,4,0,-3,0,-1,2
706,-1,0,0,0,0,0,0
707,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0
709,0,0,0,0,0,0,0
710,0,4,-2,-1,-1,4,2
711,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0
714,0,0,4,-3,-1,4,5
715,0,0,0,0,0,0,0
716,0,4,-3,-1,0,0,2
717,0,0,0,0,0,4,0
718,0,0,0,0,0,0,0
719,-1,-2,3,-2,0,1,5
720,3,-3,-1,4,0,-2,3
721,-2,-1,-1,4,-1,0,3
722,-1,0,0,0,0,0,0
723,-3,-1,0,0,0,0,0
724,0,4,-3,-1,0,0,2
725,4,-1,-2,3,-3,3,3
726,0,0,0,0,4,-3,1
727,4,-3,-1,0,0,4,4
728,0,0,0,0,0,0,0
729,0,0,0,0,0,0,0
730,1,-1,2,-2,-1,2,5
731,-2,-1,3,-2,-1,3,5
732,0,0,0,0,0,0,0
733,0,0,3,-3,3,-2,5
734,-2,-1,-1,0,0,0,0
735,-1,0,0,0,0,4,0
736,0,0,0,0,0,0,0
737,-1,0,4,-1,-2,-1,5
738,0,4,-3,0,-1,4,2
739,0,0,0,0,0,0,0
740,3,-3,3,-3,1,-1,4
741,0,-3,3,-3,3,-3,5
742,4,-3,-1,0,0,0,4
743,-1,-1,1,-1,-1,2,0
744,0,0,4,-2,0,2,5
745,0,0,0,0,0,0,0
746,0,0,0,0,0,0,0
747,0,0,4,-3,-1,0,5
748,0,0,0,0,0,0,0
749,-2,-1,-1,0,0,0,0
750,0,0,0,0,0,0,0
751,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0
753,0,0,0,0,0,0,0
754,0,0,0,4,-3,-1,3
755,3,-3,3,-3,2,0,4
756,0,0,0,0,0,0,0
757,0,0,0,4,-3,-1,3
758,0,0,0,4,-2,2,3
759,-3,-1,0,0,4,0,1
760,0,4,-3,2,-2,-1,2
761,0,0,0,0,0,0,0
762,-1,0,0,0,0,0,0
763,-3,-1,0,0,0,4,0
764,0,4,-1,-2,-1,0,2
765,0,0,0,0,0,0,0
766,0,-3,2,0,0,-1,0
767,0,0,0,0,0,0,0
768,0,0,0,0,0,0,0
769,0,4,-3,3,-2,2,2
770,0,0,0,0,0,0,0
771,-1,0,0,0,0,0,0
772,0,0,0,0,0,0,0
773,0,0,0,0,0,0,0
774,4,-2,-1,3,-3,-1,3
775,0,0,0,0,0,0,0
776,3,-3,1,1,1,-3,4
777,0,0,0,0,0,0,0
778,3,-3,3,-3,0,3,4
779,0,-2,0,-1,4,-3,1
780,0,-1,-1,0,0,0,0
781,0,0,0,0,0,0,0
782,0,0,0,0,0,0,0
783,0,4,-3,-1,0,0,2
784,0,0,0,0,4,-2,1
785,0,0,0,0,0,0,0
786,0,0,4,-3,-1,0,5
787,4,-3,0,-1,0,4,4
788,0,0,0,0,0,4,0
789,0,0,0,0,0,0,0
790,0,0,0,0,0,0,0
791,0,0,0,0,0,0,0
792,0,0,0,0,0,0,0
793,-3,3,0,-3,-1,0,2
794,0,0,0,0,0,0,0
795,0,0,0,0,0,0,0
796,0,4,-3,-1,4,-3,1
797,0,3,-2,1,-2,3,2
798,0,0,0,0,0,0,0
799,0,0,0,4,-3,-1,3
800,0,4,-3,-1,0,0,2
