CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,침구_주방_중가_clust_id
88,3,-2,-1,3,-2,1,3
89,-2,1,0,0,-2,0,1
90,3,-3,3,-2,0,-1,5
91,-1,0,4,-1,0,0,4
92,2,-3,2,-2,3,-2,5
93,0,0,0,0,0,4,1
94,0,4,-3,3,-2,2,0
95,-1,0,0,0,4,-3,2
96,-1,-1,0,0,4,-3,2
97,0,1,-2,3,-3,-1,3
98,-1,4,-2,-1,-1,0,0
99,-1,0,2,-2,1,-2,4
100,-1,3,-2,-1,3,-3,2
101,0,0,0,0,0,0,1
102,3,-1,0,0,-2,3,5
103,0,0,0,0,0,0,1
104,0,4,-3,3,-3,-1,0
105,4,-3,-1,4,-3,-1,3
106,0,0,4,-3,-1,0,4
107,2,-2,3,-2,-1,-1,4
108,4,-3,0,-1,0,0,5
109,0,0,0,0,0,0,1
110,4,0,-1,-2,-1,0,5
111,-3,-1,0,4,-3,-1,3
112,0,0,0,0,4,-3,2
113,1,0,-1,1,-1,-1,1
114,4,-3,-1,4,-3,3,3
115,0,4,-1,0,-1,-1,0
116,-1,0,0,0,0,0,1
117,4,-3,-1,4,-3,3,3
118,-1,4,-1,-2,-1,0,0
119,-1,-1,1,0,-1,0,1
120,-1,-1,-1,3,-3,3,3
121,-1,4,-3,-1,0,4,0
122,1,0,-1,1,-2,3,1
123,0,0,4,-3,3,-3,4
124,-1,0,0,4,-2,1,3
125,3,-3,3,-1,-2,3,5
126,4,-3,3,0,-3,-1,5
127,3,-3,-1,0,0,0,5
128,0,0,0,0,0,0,1
129,0,0,0,0,0,0,1
130,-1,0,-1,-1,4,-3,2
131,0,-1,0,2,-2,-1,3
132,0,0,0,0,0,0,1
133,-3,-1,0,0,0,0,1
134,2,-1,2,-2,1,-1,5
135,-1,4,-3,3,0,-3,0
136,-3,-1,0,4,-2,1,3
137,2,-3,3,-3,-1,0,5
138,1,-2,-1,0,0,4,1
139,0,0,-1,-1,4,-3,2
140,3,-3,3,-1,-2,-1,5
141,0,0,0,0,0,0,1
143,0,4,-3,-1,0,4,0
144,-1,-2,-1,0,4,-3,2
145,-3,3,-2,-1,-1,0,0
146,-3,1,-1,3,-3,-1,3
147,-1,0,-1,-1,3,-1,2
148,0,0,0,0,0,0,1
149,-1,4,-3,3,-3,-1,0
150,-1,3,-3,-1,0,0,0
151,-2,-1,-1,0,0,0,1
152,-1,0,0,-1,-1,4,1
153,4,-3,-1,0,0,0,5
154,0,4,-3,-1,0,0,0
155,3,-3,-1,0,4,-3,5
156,-2,3,-3,0,3,-3,2
157,0,0,0,4,-1,-1,3
158,4,-3,-1,0,0,4,5
159,4,-3,3,0,-3,-1,5
160,4,-2,-1,3,-3,-1,3
161,-2,3,-1,-2,3,-3,2
162,0,-3,1,0,0,2,1
163,0,0,0,0,4,-3,2
164,-3,3,-1,-2,3,-1,2
165,-2,-1,3,-3,3,-1,4
166,-2,0,0,1,-1,1,1
167,0,4,-2,-1,-1,4,0
168,-3,3,-3,3,-3,-1,0
169,-1,0,0,0,4,-1,2
170,-1,-2,2,-2,-1,0,4
171,3,0,-3,0,3,-3,2
172,-2,-1,4,-3,3,-3,4
173,-1,4,-3,-1,0,0,0
175,0,0,4,-3,-1,0,4
176,3,-3,-1,0,0,0,5
177,1,-2,3,-2,-1,3,4
178,-1,3,-3,-1,4,-2,2
179,0,0,0,4,-2,-1,3
180,-3,-1,0,0,0,4,1
181,3,-3,3,-3,-1,0,5
182,0,4,-2,-1,-1,0,0
183,-1,0,0,4,-3,3,3
184,-2,-1,3,-2,-1,2,4
185,4,-2,2,-3,3,-3,5
186,1,-3,3,-2,1,-1,4
187,0,1,1,-3,3,-3,2
188,-1,0,0,0,0,0,1
189,4,-1,-1,0,1,-1,5
190,0,4,-1,-1,-1,3,0
191,-2,2,0,-1,0,1,1
192,-3,3,-3,0,3,-2,2
193,-3,-1,0,0,4,-2,2
194,4,-3,-1,0,0,0,5
195,0,0,4,-3,-1,0,4
196,1,-1,1,-1,2,-2,1
197,-1,3,-2,1,1,-2,0
198,-1,0,-1,1,0,-1,1
199,0,0,0,0,0,0,1
200,-1,0,4,-3,-1,0,4
201,1,-2,2,0,0,0,1
202,0,0,2,-3,2,0,4
203,-3,-1,0,0,0,0,1
204,0,0,0,0,4,-3,2
205,3,-3,-1,0,0,4,5
206,4,-3,3,-3,-1,0,5
207,0,0,0,4,-2,0,3
208,0,0,0,0,0,0,1
209,4,-3,3,-3,-1,4,5
210,-1,1,-2,3,-1,-1,3
211,-1,0,0,0,0,4,1
212,0,0,0,0,0,0,1
213,-2,1,0,-1,1,-1,1
214,2,-3,1,1,1,-2,5
215,-3,3,-1,-2,3,-3,2
216,0,0,0,0,0,0,1
217,-1,-1,0,4,-3,-1,3
218,-1,4,-1,-2,-1,0,0
219,-1,0,0,0,0,0,1
220,0,0,4,-2,-1,-1,4
221,-3,3,-3,-1,0,0,0
222,1,-2,3,-2,2,-3,4
223,-3,3,-2,2,-1,-2,0
224,-1,-1,0,0,4,-3,2
225,-1,0,0,1,-1,1,1
226,0,4,-1,-2,-1,0,0
227,0,0,0,0,0,0,1
228,0,0,0,0,4,-3,2
229,3,-3,3,-3,3,-3,5
230,0,4,-1,-2,3,-3,2
231,4,-3,-1,0,0,0,5
232,0,0,0,0,0,0,1
233,0,0,0,0,0,0,1
234,3,-1,-2,2,-2,-1,3
235,-3,-1,4,-3,-1,4,4
236,0,0,0,0,0,0,1
237,-1,0,4,-1,-2,3,4
238,3,-1,-1,-1,3,-3,5
239,4,-2,0,1,1,-3,5
240,-1,-2,-1,0,0,0,1
241,0,0,0,4,-2,1,3
242,-3,3,-1,-1,1,-2,0
243,0,0,0,0,0,4,1
245,-1,1,0,-1,0,2,1
246,-3,3,-1,-2,3,-1,2
247,0,0,0,0,0,0,1
248,-2,0,2,-3,0,-1,4
249,3,-3,0,3,-2,0,3
250,0,0,-1,3,-2,0,3
251,-3,-1,0,4,-2,0,3
252,4,-3,3,-3,-1,0,5
253,3,-1,0,-2,3,-2,5
254,3,-3,1,-1,3,0,5
255,0,0,0,0,0,0,1
256,1,-2,3,-1,-1,0,4
257,0,0,0,4,-2,1,3
258,-1,3,-3,3,0,-3,0
259,0,0,0,0,0,0,1
260,-3,-1,0,0,0,0,1
261,-2,-1,4,-2,-1,3,4
262,4,-3,-1,0,0,0,5
263,-1,-1,4,-3,3,-3,4
264,0,4,-3,-1,0,0,0
265,0,-3,-1,4,-3,-1,3
266,1,-1,1,-1,-1,3,1
267,0,-2,1,-1,1,0,1
268,0,2,-2,0,1,-1,0
269,-3,0,-1,4,-3,-1,3
270,0,0,4,-3,-1,4,4
271,1,-1,1,-2,3,-3,2
272,-1,3,-2,1,-2,3,0
273,-3,3,-2,-1,3,-1,2
274,0,0,4,-3,3,-2,4
275,-1,-1,3,-1,-1,0,4
276,0,0,4,-1,-2,-1,4
277,3,-1,-2,3,-3,-1,3
278,0,0,0,0,0,0,1
279,3,-2,0,1,0,0,5
280,-2,3,-3,3,-2,-1,0
281,-2,1,-2,3,-2,0,3
282,0,0,0,4,-2,0,3
283,-1,0,0,4,-3,-1,3
284,0,0,0,0,0,0,1
285,-2,-1,4,-2,-1,3,4
286,0,4,-3,-1,0,0,0
287,0,0,0,0,0,0,1
288,4,-3,0,-1,0,0,5
289,0,0,0,0,0,0,1
290,3,-3,3,-3,3,-3,5
291,0,0,0,4,-3,3,3
292,-1,-1,-1,3,-2,2,3
293,1,-2,3,-2,1,-2,4
294,-1,4,-3,2,0,0,0
295,-3,3,-2,0,0,1,0
296,2,-2,3,-1,-1,1,5
297,4,-3,-1,0,0,0,5
298,-1,-2,2,1,-2,0,1
299,4,-3,3,-3,-1,0,5
300,-2,-1,0,0,0,0,1
301,4,-2,0,-1,3,-3,5
302,0,1,-2,-1,4,-2,2
303,0,0,0,4,-2,0,3
304,0,0,0,4,-1,-2,3
305,0,-2,3,-2,-1,2,4
306,-1,-2,-1,0,4,-3,2
307,2,-2,1,-2,2,-1,5
308,-1,-2,2,-2,2,0,4
309,2,-1,-2,0,3,-3,2
310,4,-3,3,-3,-1,0,5
311,-1,4,0,-3,1,-1,0
312,0,0,0,0,0,0,1
313,3,-3,3,-1,-2,3,5
314,1,1,-1,0,2,-2,2
315,4,-3,2,-1,2,-3,5
316,4,-3,0,3,-1,-2,5
317,-1,4,-3,-1,0,4,0
318,3,0,-3,0,3,-3,2
319,3,-1,-2,3,-3,3,3
320,-1,1,-2,3,-1,-1,3
321,0,4,-2,0,0,2,0
322,3,-3,3,-1,-1,1,5
323,0,-1,-1,3,-3,2,3
324,0,2,-1,-1,1,-1,1
325,0,-2,3,-2,2,-2,4
326,0,3,-1,-2,2,0,2
327,-1,-2,2,-2,3,-2,4
328,0,0,4,-3,0,3,4
329,0,4,-3,3,-3,0,0
330,4,-3,3,-2,0,-1,5
331,0,-1,4,-3,-1,0,4
332,-1,0,0,2,-1,-1,1
333,-2,3,-2,1,-1,-1,0
334,2,-2,-1,4,-1,-1,3
335,1,-2,2,0,0,-2,1
336,-1,0,4,-3,3,-3,4
337,0,4,-2,2,-3,1,0
338,0,4,-3,-1,0,4,0
339,3,-3,3,-3,-1,4,5
340,-3,2,1,-3,-1,4,4
341,3,0,-2,-1,3,-3,2
342,0,0,0,0,0,0,1
343,4,-3,-1,0,4,-2,5
344,-1,4,-3,-1,4,-3,2
345,-2,3,-3,2,-1,0,0
346,-2,-1,-1,0,4,-2,2
347,-2,2,0,0,-1,1,1
348,0,0,0,0,0,0,1
349,2,-3,3,-3,-1,4,5
350,-2,-1,0,0,0,4,1
351,0,-2,1,2,-2,-1,3
352,-1,0,3,-3,-1,0,4
353,0,0,4,-2,-1,-1,4
354,0,0,0,0,4,-2,2
355,0,0,0,0,0,4,1
356,-3,-1,4,-1,-1,1,4
357,0,0,0,0,0,0,1
358,0,-1,2,-2,-1,3,4
359,4,-3,-1,0,0,4,5
360,-1,-2,0,-1,4,-3,2
361,0,4,-3,3,-2,0,0
362,0,0,0,0,4,-3,2
363,1,-1,0,-1,0,4,1
364,-3,3,-1,-2,3,-3,2
365,0,-1,3,-3,0,3,4
366,0,0,0,0,0,0,1
367,-1,3,-2,2,-3,-1,0
368,2,0,-1,0,0,2,1
369,0,3,-3,-1,4,-3,2
370,0,0,0,4,-1,-2,3
371,0,0,4,-3,3,-3,4
372,0,4,-1,-2,3,-1,2
373,-2,0,-1,-1,0,4,1
374,-3,3,-3,0,-1,4,0
375,4,-2,-1,3,-2,-1,3
376,0,0,0,0,0,0,1
377,0,-2,2,-1,-1,3,4
378,-1,1,-2,3,-1,0,3
379,-2,3,-3,3,-1,-2,0
380,0,0,0,0,0,0,1
381,-1,4,-2,-1,3,-3,2
382,0,4,-3,3,-1,0,0
383,3,0,-3,3,0,-3,3
384,0,0,4,-3,-1,4,4
385,-3,3,-1,-2,3,0,2
386,1,-1,-1,3,-2,1,3
387,-3,0,2,-2,3,-2,2
388,-1,3,-3,3,-1,-2,0
389,4,-3,3,-3,3,-2,5
390,-1,4,-3,-1,0,0,0
391,-1,-1,-1,0,4,-2,2
392,4,-3,-1,0,4,-3,5
393,-1,0,0,0,0,0,1
394,-2,3,-3,3,-2,-1,0
395,-3,3,-3,-1,0,0,0
396,-3,3,-3,3,-3,3,0
397,-1,4,-3,-1,4,-3,2
398,-2,-1,4,-1,-1,2,4
399,3,-1,-2,3,-3,-1,3
400,0,3,-2,-1,3,-3,2
401,3,-3,-1,4,-3,3,3
402,-2,-1,0,0,0,4,1
403,0,4,-3,3,-3,-1,0
404,1,-2,-1,4,-2,0,3
405,1,-2,0,0,-1,4,1
406,4,-3,-1,0,0,0,5
407,1,0,-1,0,-1,-1,1
408,0,0,0,0,0,0,1
409,-2,3,-2,1,-1,1,0
410,0,0,0,4,-3,-1,3
411,0,0,0,0,0,0,1
412,-1,1,-1,1,-1,1,1
413,2,-1,-1,3,-1,-1,3
414,1,1,-1,2,-2,-1,3
415,0,0,0,0,0,0,1
416,0,-1,2,0,-1,2,1
417,1,-1,1,0,-1,1,1
418,-2,3,-2,1,0,-2,0
419,-3,3,-3,-1,0,4,0
420,-1,-2,0,3,-2,-1,3
421,-2,3,-2,1,0,-2,0
422,-2,-1,3,-2,-1,3,4
423,0,4,-2,-1,3,-3,2
424,0,0,0,0,0,0,1
425,0,4,-1,-1,-1,-1,0
426,-1,-2,-1,0,0,0,1
427,-1,1,0,-2,-1,0,1
428,-3,3,-1,-2,3,-2,2
429,-1,0,4,-2,1,-2,4
430,3,-2,-1,-1,0,4,5
431,-2,1,-2,2,0,0,0
432,0,1,-2,0,1,-2,1
433,-1,-1,0,2,-3,1,3
434,0,-1,1,-1,2,-2,1
435,-3,-1,4,-2,1,0,4
436,0,-3,-1,4,-1,-2,3
437,0,0,0,0,0,0,1
438,1,-1,-1,0,4,-3,2
439,0,0,0,0,0,0,1
440,0,0,0,0,0,0,1
441,-1,0,-1,3,-1,-2,3
442,0,0,4,-2,1,-1,4
443,-3,2,-2,3,-2,2,0
444,-1,4,-1,0,-2,3,0
445,0,0,0,0,0,0,1
446,-1,0,0,0,4,0,2
447,4,-1,0,0,-2,3,5
448,-2,0,-1,-1,0,0,1
449,4,-3,3,-3,3,-2,5
450,0,0,3,-3,3,-3,4
451,3,-3,3,-1,-1,-1,5
452,0,0,0,0,0,0,1
453,-1,-1,-1,4,-1,-1,3
454,-2,-1,0,0,0,0,1
455,0,0,0,0,0,4,1
456,0,4,-3,3,-2,-1,0
457,-1,-2,1,1,-1,2,1
458,-3,-1,0,0,4,-3,2
459,0,-2,3,-2,1,-2,4
461,-1,-2,0,3,-1,0,3
462,4,-3,3,-3,0,3,5
463,-1,2,-3,3,-2,0,0
464,-3,-1,0,4,-3,-1,3
465,-1,4,-3,3,-2,1,0
466,3,-2,0,1,0,0,5
467,-1,4,-3,3,-1,-1,0
468,-2,0,1,-1,1,-1,1
469,-1,1,-2,2,-2,3,3
470,-3,-1,0,4,-3,-1,3
471,-2,3,-1,0,-1,0,0
472,0,0,0,0,0,4,1
473,0,0,4,-1,0,-2,4
474,-1,4,-1,-2,-1,4,0
475,-2,3,-2,0,-1,-1,0
476,0,0,0,0,0,0,1
477,3,-1,-1,0,1,-1,5
478,-3,-1,0,4,-3,3,3
479,-2,-1,-1,0,0,0,1
480,3,-1,-2,-1,4,0,2
481,-2,-1,2,0,0,0,1
482,0,0,0,0,4,-3,2
483,-3,-1,4,-3,-1,4,4
484,-1,0,0,-2,3,-2,2
485,-1,-1,3,-2,1,-2,4
486,2,-3,2,-1,0,0,5
487,0,0,4,-3,-1,4,4
488,0,0,0,0,0,0,1
489,-3,3,-3,3,-3,3,0
490,-1,3,-2,-1,3,-2,2
491,0,0,0,0,0,0,1
492,0,-2,3,-2,1,0,4
493,0,0,0,0,0,0,1
494,-3,0,3,-2,-1,-1,4
495,0,0,0,0,0,0,1
496,3,-3,-1,0,4,-3,5
497,0,0,0,0,0,4,1
498,3,-2,2,-3,3,-3,5
499,3,-3,3,-1,0,-2,5
500,0,-1,3,-3,2,-1,4
501,-1,0,0,4,-3,3,3
502,1,-1,1,-2,-1,4,1
503,-2,-1,3,-3,3,-1,4
504,0,0,2,-1,-2,3,1
505,-2,-1,-1,4,-3,0,3
506,0,0,4,-3,-1,0,4
507,0,-1,3,-3,-1,4,4
508,3,-1,0,-2,3,-1,5
509,-2,0,-1,3,-3,0,3
510,-3,-1,4,0,-3,3,4
511,0,4,-3,-1,0,0,0
512,0,0,0,4,-3,-1,3
513,0,3,-3,3,0,-1,0
514,0,4,-3,-1,0,0,0
515,-2,-1,0,3,-3,-1,3
516,3,-3,3,-3,3,-3,5
517,-1,3,-1,-1,-1,3,0
518,0,0,1,-1,0,-1,1
519,0,4,-2,1,0,-2,0
520,-2,3,-3,-1,0,4,0
521,-3,-1,4,0,-3,2,4
522,0,4,-3,2,-2,3,0
523,0,0,4,-3,-1,0,4
524,-3,3,-3,3,-3,-1,0
525,-3,3,-3,-1,0,0,0
526,-2,-1,0,0,4,-2,2
527,0,0,0,0,0,0,1
528,0,0,4,-3,-1,0,4
529,-3,2,-2,3,-2,1,0
530,-1,0,0,4,-3,-1,3
531,-3,3,-3,-1,4,-2,2
532,-1,0,4,-3,-1,4,4
533,4,-3,0,3,-3,-1,3
534,4,-3,-1,0,0,4,5
535,3,-2,2,-1,-1,-1,5
536,0,0,0,4,-3,3,3
537,-1,4,-3,-1,4,-3,2
538,2,-3,0,3,-1,-2,3
539,-3,-1,0,4,-3,-1,3
540,-2,2,1,-1,0,-2,1
541,0,0,0,0,0,0,1
542,0,-2,0,3,-1,-1,3
543,-1,0,4,-3,2,0,4
544,-1,0,-1,3,-3,3,3
545,-1,4,-1,-2,3,-2,2
546,0,0,0,0,4,-2,2
547,-2,-1,0,0,0,0,1
548,3,-3,-1,4,-3,-1,3
549,0,0,0,0,0,4,1
550,4,-1,-2,3,-3,3,3
551,0,4,-3,-1,4,-2,2
552,1,0,0,-1,1,-2,1
553,0,4,-3,3,-1,-2,0
554,0,4,-1,-1,-1,-1,0
555,0,4,0,-3,3,-3,2
556,0,0,0,0,0,0,1
557,0,4,0,-3,-1,0,0
558,-1,0,0,0,0,4,1
559,0,-1,0,4,-1,-2,3
560,3,-3,3,-2,0,0,5
561,-3,-1,0,4,0,-3,3
562,0,-1,1,2,-3,2,3
563,0,4,-3,-1,4,-3,2
564,3,-3,0,-1,0,0,5
565,-1,3,-3,1,-1,3,0
566,-1,0,4,-1,-2,-1,4
567,-3,-1,0,0,0,4,1
568,0,0,0,0,0,0,1
569,0,4,-2,-1,-1,4,0
570,0,0,0,0,0,0,1
571,1,0,1,-2,1,2,1
572,0,-1,1,-1,-1,2,1
573,4,-1,-1,-1,3,-3,5
574,-2,3,-2,-1,-1,4,0
575,-3,3,-3,2,0,-1,0
576,-2,2,-1,-1,-1,-1,0
577,0,4,-1,-1,-1,3,0
578,-2,-1,4,-2,1,-2,4
579,0,0,0,0,0,0,1
580,1,-2,3,-2,-1,-1,4
581,0,0,0,0,0,0,1
582,0,-3,-1,0,4,-3,2
583,0,0,4,-3,-1,0,4
584,0,-3,0,3,-3,-1,3
585,0,0,4,-3,-1,4,4
586,3,-3,-1,4,-2,-1,3
587,0,0,4,-1,-2,3,4
588,0,0,-2,2,-1,0,3
589,0,-2,0,1,-2,2,1
590,0,0,0,0,0,0,1
591,0,0,0,0,0,0,1
592,0,4,-2,2,-1,-2,0
593,0,-2,-1,4,-2,-1,3
594,-3,3,-1,-2,-1,0,0
595,4,-3,3,-3,-1,4,5
596,0,0,0,4,-3,-1,3
597,-2,2,0,-2,3,-3,2
598,-1,0,4,-3,3,-3,4
599,0,1,0,-2,3,-1,2
600,-1,4,-1,-2,3,-2,2
601,0,0,4,-1,0,-1,4
602,3,-3,3,-2,-1,-1,5
603,0,-2,-1,-1,0,4,1
604,-1,1,-1,2,-3,1,3
605,0,0,0,0,4,-3,2
606,-1,3,-3,-1,0,0,0
607,-1,0,3,-3,-1,4,4
608,-1,-2,-1,4,-2,-1,3
609,0,0,0,0,4,-3,2
610,0,0,0,0,0,4,1
611,0,-1,-2,3,-3,3,3
612,-3,3,-3,-1,0,4,0
613,0,4,-3,-1,4,-3,2
614,-1,-2,3,-1,-1,0,4
615,-3,2,-1,1,-1,-1,0
616,0,0,0,4,-1,-2,3
617,-3,3,-3,-1,0,4,0
618,-3,-1,0,0,0,4,1
619,-3,-1,0,0,0,4,1
620,-1,-2,3,-2,-1,3,4
621,-1,0,0,0,0,0,1
622,-1,-1,2,1,-1,-2,1
623,0,4,-3,-1,0,0,0
624,0,0,4,-3,3,-3,4
625,1,0,-1,0,1,0,1
626,0,0,0,0,0,0,1
627,-2,3,-1,-2,3,-3,2
628,-1,-1,0,0,4,-3,2
629,0,0,0,0,4,-3,2
630,-1,-1,3,-3,-1,0,4
631,0,0,-1,-1,1,2,1
632,0,-1,0,3,0,-3,3
633,0,0,4,-3,3,-3,4
634,0,4,-3,-1,0,0,0
635,3,-3,3,-3,2,-2,5
636,-1,0,-2,3,-3,3,3
637,1,-1,1,-1,0,0,1
638,0,0,-1,1,-2,3,1
639,-1,0,4,-3,-1,4,4
640,-2,1,0,-2,0,3,1
641,-1,0,0,4,-3,-1,3
642,-2,2,-3,3,-2,2,0
643,-1,3,-2,-1,3,-1,2
644,-1,-1,0,-1,-1,0,1
645,0,-2,3,-2,0,0,4
646,-3,-1,4,-3,-1,4,4
647,4,-3,-1,0,0,4,5
648,-2,1,0,0,-1,0,1
649,0,0,0,0,0,0,1
650,-1,0,0,0,0,0,1
651,-1,-1,3,-1,0,-2,4
652,-2,3,0,-1,-1,0,0
653,0,4,-3,-1,4,-2,2
654,-1,0,4,-2,-1,-1,4
655,-1,0,0,0,0,4,1
656,2,-2,-1,-1,0,0,5
657,-3,3,-2,-1,3,-2,2
658,-3,2,-1,1,-2,3,0
659,0,0,0,0,0,0,1
660,0,0,0,0,0,0,1
661,-1,0,-1,-1,0,4,1
662,4,-1,-2,-1,4,-1,5
663,0,0,0,0,0,0,1
664,-3,3,-3,-1,4,-3,2
665,4,-2,-1,3,-3,-1,3
666,0,0,0,4,-3,-1,3
667,0,4,-3,3,0,-3,0
668,0,0,0,0,0,0,1
669,-1,-2,3,-2,-1,-1,4
670,4,-3,3,-1,-2,0,5
671,0,0,0,0,0,0,1
672,-1,-2,-1,0,4,-1,2
673,-2,-1,4,-3,-1,4,4
674,0,-1,1,0,-1,1,1
675,0,0,0,4,-3,-1,3
676,-1,4,-3,-1,4,-3,2
677,0,4,0,-3,-1,0,0
678,0,4,-3,-1,0,0,0
679,0,0,0,0,0,0,1
680,0,0,4,-1,0,-2,4
681,-3,-1,0,0,0,0,1
682,0,4,-3,-1,4,-3,2
683,-3,-1,0,0,0,4,1
684,0,0,4,0,-2,-1,4
685,0,0,0,0,0,0,1
686,4,-3,3,-1,-1,-1,5
687,-2,-1,0,4,-3,3,3
688,4,0,-3,1,1,-2,5
689,-2,-1,-1,0,4,-1,2
690,-3,3,-1,-2,-1,4,0
691,-1,4,-1,-1,0,2,0
692,0,4,-2,-1,3,-3,2
693,0,-1,2,-3,3,-2,4
694,-1,2,0,-1,2,-2,2
695,3,-3,0,3,-1,-2,3
696,-1,0,0,0,0,0,1
697,4,-3,-1,0,0,0,5
698,0,-1,3,-1,-1,0,4
699,0,0,0,0,0,0,1
700,0,0,0,0,0,0,1
701,3,-2,1,0,0,1,5
702,-1,4,-3,3,-1,-2,0
703,1,-2,3,-3,-1,0,4
704,1,0,0,-1,0,2,1
705,4,-1,-2,-1,0,0,5
706,3,-3,-1,0,0,0,5
707,-1,-1,0,-1,-1,0,1
708,0,-1,4,-2,1,-2,4
709,-3,3,-1,-2,2,1,2
710,0,-3,3,-3,3,-2,4
711,0,3,0,-1,-2,1,0
712,2,-3,3,-2,1,-1,5
713,-1,0,1,-1,0,1,1
714,0,4,-1,-2,3,-3,2
715,0,3,0,-3,3,-2,2
716,-3,-1,0,0,4,-1,2
717,1,-2,0,3,0,-3,3
718,0,0,-1,-1,0,3,1
719,0,0,0,0,0,0,1
720,3,-1,-1,-1,3,-3,5
721,-1,-2,0,3,-1,-2,3
722,4,-2,-1,-1,0,0,5
723,-2,3,-2,0,-1,3,0
724,0,0,4,-2,1,-2,4
725,0,0,0,0,0,4,1
726,0,0,0,4,-3,-1,3
727,0,0,-2,3,-1,-1,3
728,3,-1,-2,1,-1,3,5
729,4,-1,-2,-1,4,-1,5
730,-1,0,0,4,-3,-1,3
731,0,0,0,0,4,-3,2
732,-3,-1,4,-2,1,-1,4
733,4,-3,3,-2,1,-1,5
734,4,-2,0,-1,3,-3,5
735,0,0,-2,3,0,-3,3
736,-1,-2,-1,0,4,-3,2
737,0,0,0,0,4,-3,2
738,0,4,-3,3,-3,-1,0
739,4,-1,0,-2,-1,0,5
740,0,1,0,-1,-1,-1,1
741,-1,3,-3,-1,0,0,0
742,0,-2,3,-1,-1,-1,4
743,4,-3,-1,4,-1,-1,3
744,0,4,-3,-1,0,0,0
745,3,-1,-2,3,-2,-1,3
746,2,-3,3,-3,3,0,5
747,2,-3,3,-1,-2,0,5
748,0,4,-3,3,-3,0,0
749,0,4,-3,-1,0,0,0
