CUSTNO,전체 분기 중요 카테고리 top_1,전체 분기 중요 카테고리 top_2
28,[{'식품/생활_중가': 4087039.265078604}],[{'의류/이미용_고가': 1380797.4212589306}]
29,[{'가전/레저취미/멀티샵_고가': 18277614.252519526}],[{'의류/이미용_중가': 17727299.219627723}]
30,[{'의류/이미용_고가': 68486521.8163658}],[{'식품/생활_중가': 16533097.995770797}]
31,[{'식품/생활_중가': 4562799.753470829}],[{'의류/이미용_중가': 2856501.4250189327}]
32,[{'식품/생활_중가': 9276031.170332886}],[{'식품/생활_고가': 3727809.138984025}]
33,[{'식품/생활_중가': 5626469.05367323}],[{'식품/생활_저가': 2294404.6920579635}]
34,[{'식품/생활_중가': 5833112.938898604}],[{'식품/생활_고가': 3889004.6014906755}]
35,[{'식품/생활_중가': 9772385.697541371}],[{'의류/이미용_중가': 9431511.763934825}]
36,[{'침구/주방_고가': 11120763.186103672}],[{'식품/생활_고가': 7561946.046350221}]
37,[{'의류/이미용_고가': 31802342.58409689}],[{'식품/생활_중가': 10978064.232751729}]
38,[{'식품/생활_중가': 8852846.372773029}],[{'식품/생활_고가': 5498214.467741514}]
39,[{'의류/이미용_고가': 199247629.70340842}],[{'식품/생활_중가': 4571946.892230999}]
40,[{'의류/이미용_고가': 8151319.144976609}],[{'가전/레저취미/멀티샵_고가': 6634309.579597664}]
41,[{'식품/생활_중가': 10779288.00257039}],[{'의류/이미용_고가': 2007736.275006934}]
42,[{'식품/생활_중가': 7599922.991059072}],[{'의류/이미용_저가': 2164920.7079907022}]
43,[{'식품/생활_중가': 3340621.6024908465}],[{'의류/이미용_중가': 1379751.5904601016}]
44,[{'가구인테리어/잡화_고가': 70788829.57763156}],[{'의류/이미용_중가': 11555955.870971126}]
45,[{'의류/이미용_고가': 191613687.38742638}],[{'의류/이미용_중가': 10489332.670546114}]
46,[{'가구인테리어/잡화_고가': 79740938.79425684}],[{'의류/이미용_고가': 21287791.14317946}]
47,[{'식품/생활_중가': 7112213.748365785}],[{'식품/생활_고가': 3922704.9027856416}]
48,[{'의류/이미용_고가': 37183789.25730181}],[{'가구인테리어/잡화_고가': 13140597.697223688}]
49,[{'의류/이미용_고가': 33962244.68688614}],[{'가구인테리어/잡화_고가': 19604416.75875151}]
50,[{'식품/생활_중가': 7310022.815411297}],[{'교육문화/아동_중가': 3566292.280958223}]
51,[{'식품/생활_중가': 6370300.365378859}],[{'가전/레저취미/멀티샵_고가': 3329435.6008887785}]
52,[{'식품/생활_중가': 11435049.514263857}],[{'의류/이미용_중가': 11336416.573568657}]
53,[{'가전/레저취미/멀티샵_고가': 28820583.194975957}],[{'식품/생활_중가': 6913712.198640169}]
54,[{'식품/생활_중가': 3967558.796996524}],[{'식품/생활_고가': 3441283.9259903617}]
55,[{'식품/생활_중가': 2077040.080918654}],[{'식품/생활_저가': 1772554.1587148122}]
56,[{'의류/이미용_고가': 35885366.132003516}],[{'가구인테리어/잡화_고가': 27426466.052905496}]
57,[{'식품/생활_저가': 3809413.220983905}],[{'식품/생활_중가': 3218805.4432011805}]
58,[{'의류/이미용_중가': 10044061.88057937}],[{'식품/생활_고가': 4401786.369812158}]
59,[{'의류/이미용_고가': 14456298.331689006}],[{'식품/생활_중가': 8789905.67931132}]
60,[{'의류/이미용_고가': 9069873.971500643}],[{'식품/생활_중가': 7882959.4447940355}]
61,[{'식품/생활_중가': 7178612.689813211}],[{'의류/이미용_중가': 5488575.843846979}]
62,[{'식품/생활_중가': 7169714.083063993}],[{'교육문화/아동_중가': 3668465.040517551}]
63,[{'식품/생활_중가': 2802033.406874066}],[{'식품/생활_고가': 1652773.5935234618}]
64,[{'식품/생활_중가': 2758475.6507319133}],[{'식품/생활_저가': 448795.3114859123}]
65,[{'식품/생활_중가': 5516924.710016037}],[{'의류/이미용_고가': 4485565.997117985}]
66,[{'식품/생활_중가': 9609937.609233804}],[{'의류/이미용_중가': 3214754.185540974}]
67,[{'식품/생활_중가': 5658041.85407474}],[{'식품/생활_저가': 1992348.1829165085}]
68,[{'가구인테리어/잡화_중가': 235218700.78939074}],[{'가구인테리어/잡화_고가': 24042699.67635761}]
69,[{'식품/생활_중가': 8715536.842885634}],[{'식품/생활_저가': 4033748.6474258965}]
70,[{'가구인테리어/잡화_고가': 14622841.437727975}],[{'의류/이미용_고가': 6382184.593269628}]
71,[{'식품/생활_중가': 2979892.651779961}],[{'식품/생활_저가': 997595.7000611565}]
72,[{'식품/생활_중가': 3295091.3789543463}],[{'식품/생활_고가': 2043992.7410923783}]
73,[{'가구인테리어/잡화_고가': 150149907.34908834}],[{'가전/레저취미/멀티샵_고가': 24826243.658729}]
74,[{'의류/이미용_중가': 15269838.976925999}],[{'식품/생활_중가': 5814351.85034096}]
75,[{'식품/생활_중가': 3666600.15694801}],[{'의류/이미용_고가': 592070.518397116}]
76,[{'식품/생활_중가': 3174957.7752158395}],[{'의류/이미용_고가': 1608117.8127204578}]
77,[{'의류/이미용_중가': 9252278.774497386}],[{'식품/생활_중가': 8709220.30656002}]
78,[{'의류/이미용_고가': 38295969.66105073}],[{'가구인테리어/잡화_고가': 12004040.757402666}]
79,[{'식품/생활_중가': 8604302.485062866}],[{'식품/생활_저가': 1962531.2410772394}]
80,[{'식품/생활_중가': 4518070.397866646}],[{'식품/생활_고가': 1579575.080660494}]
81,[{'의류/이미용_고가': 27222057.6985208}],[{'가구인테리어/잡화_고가': 26364154.26548706}]
82,[{'의류/이미용_고가': 107441259.78962697}],[{'가구인테리어/잡화_고가': 26514817.994677655}]
83,[{'의류/이미용_고가': 102312133.18749401}],[{'식품/생활_중가': 6608028.934242468}]
84,[{'가전/레저취미/멀티샵_고가': 34305058.97572399}],[{'가전/레저취미/멀티샵_중가': 6135095.458446322}]
85,[{'식품/생활_중가': 5296451.632964178}],[{'식품/생활_고가': 2975187.5042091776}]
86,[{'식품/생활_중가': 9309636.27431014}],[{'의류/이미용_고가': 6139233.36780948}]
87,[{'가전/레저취미/멀티샵_고가': 31798511.52629301}],[{'가구인테리어/잡화_고가': 4953543.670811627}]
88,[{'가전/레저취미/멀티샵_고가': 27973236.008886114}],[{'식품/생활_중가': 9222497.369659241}]
89,[{'식품/생활_중가': 6189117.803525634}],[{'식품/생활_저가': 2308020.3160387287}]
90,[{'의류/이미용_고가': 12858056.77104809}],[{'가전/레저취미/멀티샵_고가': 10086251.18614424}]
91,[{'식품/생활_중가': 13268986.82046232}],[{'가구인테리어/잡화_저가': 1270044.0892037738}]
92,[{'의류/이미용_중가': 11853639.40514688}],[{'식품/생활_중가': 10950332.181600058}]
93,[{'의류/이미용_고가': 60709251.063925244}],[{'가구인테리어/잡화_고가': 22824447.295284763}]
94,[{'식품/생활_중가': 32739574.699045382}],[{'가구인테리어/잡화_고가': 10347795.481532658}]
95,[{'식품/생활_중가': 3606106.4191991454}],[{'의류/이미용_저가': 926934.8830634879}]
96,[{'의류/이미용_고가': 7813047.663292034}],[{'식품/생활_중가': 7412570.9888754515}]
97,[{'가전/레저취미/멀티샵_고가': 496591770.52892274}],[{'침구/주방_고가': 261868595.3544081}]
98,[{'식품/생활_중가': 7728103.012057446}],[{'식품/생활_고가': 4475981.932859842}]
99,[{'가구인테리어/잡화_고가': 115488483.13144693}],[{'의류/이미용_고가': 68594985.75794624}]
100,[{'의류/이미용_고가': 10365299.756794985}],[{'식품/생활_중가': 4465477.2654348295}]
101,[{'식품/생활_중가': 4486698.632153497}],[{'의류/이미용_고가': 999096.8838358272}]
102,[{'가구인테리어/잡화_고가': 51741952.326041125}],[{'식품/생활_중가': 12297344.324958937}]
103,[{'식품/생활_중가': 1998458.2163235312}],[{'식품/생활_저가': 1715841.029873556}]
104,[{'식품/생활_중가': 8684121.276784785}],[{'식품/생활_저가': 3132287.9363056403}]
105,[{'식품/생활_중가': 9424691.49897037}],[{'식품/생활_고가': 4342988.587878114}]
106,[{'가전/레저취미/멀티샵_고가': 47632176.80824913}],[{'의류/이미용_중가': 4310706.19190573}]
107,[{'의류/이미용_고가': 100221880.74169068}],[{'의류/이미용_중가': 6329491.558988157}]
108,[{'식품/생활_중가': 4639708.934090071}],[{'의류/이미용_중가': 2224934.1794056017}]
109,[{'식품/생활_중가': 4127974.170102397}],[{'식품/생활_고가': 2746520.8440693547}]
110,[{'의류/이미용_고가': 7654996.643080975}],[{'식품/생활_중가': 6550931.210831497}]
111,[{'식품/생활_중가': 2087902.0900726195}],[{'식품/생활_저가': 1952163.576859408}]
112,[{'의류/이미용_중가': 37790774.40525947}],[{'의류/이미용_고가': 13646511.522901263}]
113,[{'가구인테리어/잡화_고가': 21771658.639388382}],[{'의류/이미용_중가': 17311048.840784445}]
114,[{'의류/이미용_고가': 11180556.695779784}],[{'식품/생활_중가': 5906252.203649922}]
115,[{'가구인테리어/잡화_고가': 37141676.77395917}],[{'의류/이미용_고가': 12351718.881978255}]
116,[{'식품/생활_저가': 3180454.0362802683}],[{'식품/생활_중가': 2757473.761601611}]
117,[{'식품/생활_중가': 15025631.303663807}],[{'침구/주방_고가': 11117033.680433698}]
118,[{'의류/이미용_중가': 54208251.07881496}],[{'의류/이미용_고가': 20448592.273021262}]
119,[{'의류/이미용_중가': 24660951.7999315}],[{'가구인테리어/잡화_고가': 16211723.810050901}]
120,[{'의류/이미용_고가': 174562590.7357511}],[{'의류/이미용_중가': 43139969.9464211}]
121,[{'식품/생활_중가': 5475582.837589923}],[{'식품/생활_고가': 4544309.573906619}]
122,[{'의류/이미용_중가': 10234385.184325175}],[{'식품/생활_중가': 8636133.160417743}]
123,[{'식품/생활_중가': 5240077.64124392}],[{'식품/생활_고가': 2102676.2622589422}]
124,[{'의류/이미용_중가': 15834567.470467169}],[{'의류/이미용_고가': 9746632.651887262}]
125,[{'식품/생활_중가': 7513723.230709035}],[{'의류/이미용_중가': 1966789.650940784}]
126,[{'의류/이미용_중가': 15612528.339020241}],[{'의류/이미용_고가': 7768796.95926637}]
127,[{'식품/생활_중가': 3780622.344383123}],[{'의류/이미용_고가': 1017993.1734032881}]
128,[{'식품/생활_중가': 4895391.953201514}],[{'의류/이미용_저가': 2008667.8889352207}]
129,[{'식품/생활_중가': 3717081.9695044216}],[{'식품/생활_저가': 1448561.9483231595}]
130,[{'의류/이미용_중가': 16101036.105573013}],[{'식품/생활_중가': 6814825.029334066}]
131,[{'식품/생활_중가': 8282415.6822345015}],[{'의류/이미용_중가': 6084050.266685468}]
132,[{'식품/생활_중가': 5011765.957684157}],[{'식품/생활_저가': 2171711.507577735}]
133,[{'식품/생활_중가': 10737396.941354815}],[{'의류/이미용_중가': 6801296.757290353}]
134,[{'가구인테리어/잡화_고가': 43691883.96934442}],[{'의류/이미용_중가': 15150976.126817808}]
135,[{'의류/이미용_고가': 5682527.256741633}],[{'식품/생활_중가': 3451114.6912779585}]
136,[{'가전/레저취미/멀티샵_중가': 7000736.212907365}],[{'의류/이미용_고가': 4360162.973554075}]
137,[{'가구인테리어/잡화_고가': 68527187.84124999}],[{'가전/레저취미/멀티샵_고가': 9705029.558471492}]
138,[{'가전/레저취미/멀티샵_중가': 15418610.773123877}],[{'의류/이미용_고가': 12243274.185573934}]
139,[{'의류/이미용_고가': 19055530.692114573}],[{'식품/생활_중가': 8448669.014337657}]
140,[{'가구인테리어/잡화_고가': 180100204.02825305}],[{'식품/생활_중가': 29532318.496917173}]
141,[{'식품/생활_중가': 2549235.5849847663}],[{'식품/생활_저가': 2178014.3785537602}]
143,[{'식품/생활_중가': 3695530.5425042543}],[{'식품/생활_저가': 2605114.2047412596}]
144,[{'식품/생활_저가': 24401607.53259228}],[{'식품/생활_중가': 19360721.198897243}]
145,[{'가전/레저취미/멀티샵_고가': 54134250.783019155}],[{'가구인테리어/잡화_고가': 31561754.152471565}]
146,[{'가구인테리어/잡화_고가': 64520122.74560819}],[{'의류/이미용_중가': 12476364.35812411}]
147,[{'가구인테리어/잡화_고가': 40820265.24441854}],[{'가전/레저취미/멀티샵_고가': 14101141.627716448}]
148,[{'식품/생활_중가': 2727911.684889637}],[{'식품/생활_저가': 1926325.733174119}]
149,[{'식품/생활_중가': 8533834.920303652}],[{'의류/이미용_중가': 5766984.922955667}]
150,[{'의류/이미용_고가': 11775569.431409005}],[{'식품/생활_중가': 6099385.84732908}]
151,[{'가구인테리어/잡화_고가': 17981064.88328278}],[{'의류/이미용_중가': 16365357.45818799}]
152,[{'의류/이미용_중가': 10869184.834671056}],[{'침구/주방_고가': 3807064.6893908787}]
153,[{'식품/생활_중가': 4282315.047660457}],[{'의류/이미용_중가': 2667854.8790121237}]
154,[{'가구인테리어/잡화_고가': 52526627.96529202}],[{'식품/생활_중가': 9078426.05767152}]
155,[{'의류/이미용_중가': 20691437.7650424}],[{'침구/주방_고가': 9498616.063245023}]
156,[{'의류/이미용_중가': 53639395.340305455}],[{'의류/이미용_고가': 21588199.966265976}]
157,[{'식품/생활_중가': 4115922.18193726}],[{'의류/이미용_중가': 3588541.465162048}]
158,[{'식품/생활_중가': 8361132.464153998}],[{'식품/생활_고가': 1064442.246347692}]
159,[{'의류/이미용_중가': 56022996.64148309}],[{'가구인테리어/잡화_고가': 28063379.41325234}]
160,[{'식품/생활_중가': 8685874.50922065}],[{'식품/생활_고가': 2771708.340817064}]
161,[{'의류/이미용_고가': 74881823.67216483}],[{'가구인테리어/잡화_고가': 35923523.09716769}]
162,[{'의류/이미용_고가': 32640329.76079415}],[{'가구인테리어/잡화_고가': 7936973.201831546}]
163,[{'식품/생활_중가': 5174524.41764365}],[{'식품/생활_저가': 1720682.7137536975}]
164,[{'가구인테리어/잡화_고가': 75309595.31518754}],[{'식품/생활_중가': 14548552.245230075}]
165,[{'의류/이미용_중가': 12217225.04281872}],[{'가전/레저취미/멀티샵_고가': 6548367.846487317}]
166,[{'의류/이미용_중가': 6722799.984135416}],[{'식품/생활_중가': 5549917.232341731}]
167,[{'의류/이미용_중가': 13005879.76415588}],[{'의류/이미용_고가': 9028283.682557251}]
168,[{'가전/레저취미/멀티샵_고가': 21954321.562331803}],[{'의류/이미용_고가': 21949281.586497225}]
169,[{'식품/생활_중가': 3199862.0386146195}],[{'가구인테리어/잡화_중가': 943710.4040174801}]
170,[{'식품/생활_중가': 7793878.567243177}],[{'식품/생활_저가': 2010267.0233663123}]
171,[{'의류/이미용_중가': 13748516.069289649}],[{'침구/주방_중가': 5201650.843425004}]
172,[{'식품/생활_중가': 9649380.757350668}],[{'식품/생활_고가': 6865716.777479833}]
173,[{'식품/생활_중가': 5385885.54812107}],[{'식품/생활_저가': 2161944.6796527025}]
175,[{'식품/생활_중가': 16599319.060028385}],[{'가구인테리어/잡화_고가': 5901894.726094813}]
176,[{'식품/생활_중가': 4507229.984295593}],[{'식품/생활_저가': 1887629.8522014297}]
177,[{'의류/이미용_고가': 43291508.45176851}],[{'가전/레저취미/멀티샵_고가': 21037543.49071377}]
178,[{'식품/생활_중가': 7335439.509551011}],[{'식품/생활_저가': 3534084.8233970786}]
179,[{'의류/이미용_고가': 16730543.474404676}],[{'식품/생활_중가': 9684742.458813986}]
180,[{'의류/이미용_고가': 19788038.011151176}],[{'가구인테리어/잡화_고가': 13249976.724758599}]
181,[{'의류/이미용_고가': 18169597.108084682}],[{'의류/이미용_중가': 17565850.180786874}]
182,[{'의류/이미용_고가': 27633479.2648671}],[{'가전/레저취미/멀티샵_고가': 14115537.233402781}]
183,[{'식품/생활_중가': 8137912.46373163}],[{'식품/생활_저가': 1788713.0507939444}]
184,[{'의류/이미용_중가': 9904053.861648973}],[{'가구인테리어/잡화_고가': 6807714.833978116}]
185,[{'식품/생활_중가': 6341190.7534134}],[{'식품/생활_저가': 1228101.8825784386}]
186,[{'식품/생활_고가': 15346056.367847191}],[{'가전/레저취미/멀티샵_고가': 14313450.698393546}]
187,[{'의류/이미용_중가': 4975490.865367247}],[{'식품/생활_중가': 3611001.713565755}]
188,[{'식품/생활_중가': 8841864.034987643}],[{'식품/생활_저가': 3688948.2805529484}]
189,[{'의류/이미용_고가': 17648150.943453807}],[{'가구인테리어/잡화_고가': 17530144.28398576}]
190,[{'의류/이미용_중가': 10820611.855431601}],[{'식품/생활_중가': 10658690.658539662}]
191,[{'의류/이미용_고가': 30629014.063365392}],[{'의류/이미용_중가': 18667971.4662265}]
192,[{'가구인테리어/잡화_고가': 18498209.770874955}],[{'식품/생활_중가': 6342709.821870005}]
193,[{'식품/생활_중가': 6282101.584045075}],[{'식품/생활_저가': 1211144.105006943}]
194,[{'식품/생활_중가': 6373213.141502804}],[{'의류/이미용_저가': 1898870.0490458868}]
195,[{'식품/생활_중가': 3076842.659634461}],[{'의류/이미용_저가': 2158708.5907067982}]
196,[{'의류/이미용_중가': 8874904.072732108}],[{'식품/생활_중가': 4773340.1852497235}]
197,[{'의류/이미용_고가': 59414126.19477763}],[{'의류/이미용_중가': 7126078.143035766}]
198,[{'식품/생활_중가': 3014140.667909978}],[{'의류/이미용_중가': 2709708.490124052}]
199,[{'식품/생활_중가': 7931942.532063915}],[{'의류/이미용_중가': 2677616.8419887545}]
200,[{'의류/이미용_고가': 5459545.486849895}],[{'식품/생활_중가': 2302797.381145481}]
201,[{'의류/이미용_고가': 32223461.04160295}],[{'의류/이미용_중가': 26693335.605721943}]
202,[{'의류/이미용_고가': 32338768.474601224}],[{'의류/이미용_중가': 27375983.53921815}]
203,[{'식품/생활_중가': 3754136.597714194}],[{'의류/이미용_저가': 1278248.7528325533}]
204,[{'의류/이미용_중가': 11547604.667195255}],[{'식품/생활_중가': 4851785.310433967}]
205,[{'의류/이미용_중가': 8491959.090370283}],[{'식품/생활_중가': 6855079.794127413}]
206,[{'식품/생활_중가': 5603457.991636963}],[{'식품/생활_고가': 3678075.8247772027}]
207,[{'식품/생활_중가': 5119783.97914589}],[{'식품/생활_저가': 1164020.6526319135}]
208,[{'가구인테리어/잡화_고가': 26720538.009346984}],[{'의류/이미용_중가': 15455671.050711162}]
209,[{'의류/이미용_중가': 5616357.243548422}],[{'의류/이미용_고가': 5337147.945949747}]
210,[{'식품/생활_중가': 3363707.440509442}],[{'식품/생활_고가': 769338.1014609879}]
211,[{'가구인테리어/잡화_고가': 6439662.140259484}],[{'식품/생활_중가': 5541194.11114658}]
212,[{'식품/생활_고가': 6824218.436479799}],[{'식품/생활_중가': 5784327.813336961}]
213,[{'식품/생활_중가': 12854801.541646134}],[{'의류/이미용_고가': 9061758.853160307}]
214,[{'의류/이미용_고가': 4098365.2003358686}],[{'식품/생활_고가': 3968960.6393000055}]
215,[{'식품/생활_중가': 6393342.751011381}],[{'의류/이미용_중가': 2096137.8797961627}]
216,[{'식품/생활_중가': 5233104.717893574}],[{'식품/생활_고가': 1731352.5932034422}]
217,[{'식품/생활_중가': 5114337.771529376}],[{'식품/생활_고가': 3978107.59102487}]
218,[{'가구인테리어/잡화_고가': 58657751.65607283}],[{'의류/이미용_중가': 45421477.03916393}]
219,[{'의류/이미용_중가': 20759202.982676405}],[{'식품/생활_중가': 7858849.822068532}]
220,[{'식품/생활_중가': 9407663.434326377}],[{'식품/생활_고가': 3317196.4922831086}]
221,[{'식품/생활_중가': 4867024.105527564}],[{'식품/생활_고가': 1836297.6752693402}]
222,[{'의류/이미용_고가': 21001911.251279507}],[{'의류/이미용_중가': 16726890.796085108}]
223,[{'가구인테리어/잡화_고가': 51520460.43056456}],[{'식품/생활_고가': 25365545.136838794}]
224,[{'가구인테리어/잡화_고가': 52589969.7085235}],[{'의류/이미용_중가': 48680120.81657555}]
225,[{'가전/레저취미/멀티샵_고가': 52741184.8454327}],[{'가전/레저취미/멀티샵_중가': 31798731.821604818}]
226,[{'식품/생활_중가': 6366496.72609551}],[{'식품/생활_고가': 1159450.3642032119}]
227,[{'식품/생활_중가': 3054163.554963976}],[{'식품/생활_저가': 1681803.0186741375}]
228,[{'식품/생활_중가': 4506173.639023225}],[{'식품/생활_고가': 2782275.3512069867}]
229,[{'의류/이미용_고가': 41276814.10174886}],[{'식품/생활_중가': 9696440.67965973}]
230,[{'식품/생활_중가': 4744802.956598053}],[{'의류/이미용_중가': 2886102.0301953633}]
231,[{'식품/생활_중가': 5857683.735441857}],[{'의류/이미용_중가': 2471037.5865116357}]
232,[{'식품/생활_저가': 3462719.146116733}],[{'식품/생활_중가': 2733389.1847501434}]
233,[{'식품/생활_중가': 6343411.0920534665}],[{'가구인테리어/잡화_고가': 4072387.357320226}]
234,[{'가전/레저취미/멀티샵_고가': 11169979.40783879}],[{'식품/생활_중가': 8715628.51010604}]
235,[{'의류/이미용_고가': 10904611.414370429}],[{'식품/생활_고가': 10664094.500455517}]
236,[{'식품/생활_중가': 5060336.520019269}],[{'식품/생활_저가': 2242938.131268112}]
237,[{'의류/이미용_고가': 22394070.128721893}],[{'식품/생활_중가': 17742127.588267427}]
238,[{'식품/생활_중가': 6145817.348840221}],[{'의류/이미용_고가': 2878662.228440686}]
239,[{'의류/이미용_고가': 56009323.19577977}],[{'가전/레저취미/멀티샵_고가': 23565547.089176256}]
240,[{'의류/이미용_중가': 5321896.202827061}],[{'의류/이미용_고가': 4458475.575915236}]
241,[{'의류/이미용_중가': 52331235.954090506}],[{'가전/레저취미/멀티샵_고가': 3764519.878970102}]
242,[{'식품/생활_중가': 4015991.8014315604}],[{'의류/이미용_저가': 1216282.937643169}]
243,[{'식품/생활_중가': 4601173.687327159}],[{'식품/생활_고가': 950393.1030570136}]
245,[{'식품/생활_중가': 10431108.242752448}],[{'식품/생활_고가': 5644346.683538039}]
246,[{'의류/이미용_고가': 20813723.082677484}],[{'가구인테리어/잡화_고가': 16818966.5693992}]
247,[{'식품/생활_중가': 13377638.604868744}],[{'의류/이미용_고가': 3345502.382294497}]
248,[{'의류/이미용_중가': 10429476.251717284}],[{'식품/생활_중가': 6900598.146338177}]
249,[{'의류/이미용_고가': 55775091.21959091}],[{'가구인테리어/잡화_고가': 33917077.232387036}]
250,[{'의류/이미용_고가': 39601513.89687145}],[{'가전/레저취미/멀티샵_고가': 23796349.016912382}]
251,[{'의류/이미용_고가': 10444336.42687291}],[{'의류/이미용_중가': 10422738.673539374}]
252,[{'식품/생활_중가': 3058132.8149734233}],[{'의류/이미용_고가': 2403542.4137170454}]
253,[{'가전/레저취미/멀티샵_고가': 18206417.083351865}],[{'의류/이미용_중가': 11957987.01014371}]
254,[{'가구인테리어/잡화_고가': 91187049.01373006}],[{'의류/이미용_중가': 15651886.877227386}]
255,[{'가구인테리어/잡화_고가': 39054293.68311265}],[{'식품/생활_고가': 18219909.12709071}]
256,[{'가전/레저취미/멀티샵_고가': 70815058.61068578}],[{'가구인테리어/잡화_고가': 50390581.42564792}]
257,[{'식품/생활_중가': 8326050.685113004}],[{'식품/생활_고가': 2963323.4778348887}]
258,[{'가구인테리어/잡화_고가': 150672521.16615456}],[{'의류/이미용_고가': 142202813.41575348}]
259,[{'의류/이미용_중가': 11566838.29494236}],[{'식품/생활_중가': 11097369.41862742}]
260,[{'식품/생활_중가': 6015377.679808138}],[{'식품/생활_고가': 4521669.0435825}]
261,[{'의류/이미용_중가': 7242002.455264244}],[{'의류/이미용_고가': 6572069.946154379}]
262,[{'식품/생활_중가': 12201118.690827433}],[{'식품/생활_고가': 7602821.410868387}]
263,[{'식품/생활_중가': 3037553.9719203003}],[{'식품/생활_저가': 1451529.781543404}]
264,[{'식품/생활_중가': 4808666.738614334}],[{'식품/생활_저가': 2476298.814282908}]
265,[{'의류/이미용_중가': 79128713.44882312}],[{'의류/이미용_고가': 50339600.517999835}]
266,[{'의류/이미용_고가': 12427918.753366878}],[{'의류/이미용_중가': 10430657.054043986}]
267,[{'의류/이미용_중가': 28872350.04889188}],[{'의류/이미용_고가': 3803866.266596838}]
268,[{'가구인테리어/잡화_고가': 14318433.819938734}],[{'식품/생활_중가': 9968540.978802001}]
269,[{'식품/생활_중가': 21532296.060890548}],[{'의류/이미용_고가': 17647753.388158496}]
270,[{'식품/생활_중가': 4936828.956901406}],[{'식품/생활_저가': 1265017.0882457583}]
271,[{'가구인테리어/잡화_고가': 28288587.239294026}],[{'의류/이미용_고가': 13847218.926229265}]
272,[{'식품/생활_중가': 8471501.747175358}],[{'의류/이미용_고가': 4470084.825345172}]
273,[{'침구/주방_고가': 16120798.620582644}],[{'의류/이미용_중가': 11701148.944826644}]
274,[{'식품/생활_중가': 3874043.855992848}],[{'식품/생활_저가': 948069.884875658}]
275,[{'식품/생활_고가': 20668071.85323494}],[{'식품/생활_중가': 10915037.989980005}]
276,[{'식품/생활_저가': 3685688.8992108116}],[{'식품/생활_중가': 3560073.460674438}]
277,[{'식품/생활_중가': 4143914.1768317646}],[{'의류/이미용_중가': 3091920.1901382804}]
278,[{'식품/생활_중가': 2841108.2217114274}],[{'식품/생활_저가': 1765820.2067441181}]
279,[{'가구인테리어/잡화_고가': 27345182.899692316}],[{'식품/생활_중가': 11129123.158160336}]
280,[{'의류/이미용_중가': 21824309.102537565}],[{'의류/이미용_고가': 13539408.402306223}]
281,[{'가구인테리어/잡화_고가': 18704509.6673916}],[{'가전/레저취미/멀티샵_고가': 17749374.84212565}]
