CUSTNO,Count_전체 분기 중요 카테고리 top_1,Count_전체 분기 중요 카테고리 top_2
46,[{'Frequency_식품/생활_중가': 460.72759334893715}],[{'Frequency_식품/생활_고가': 55.01274028625095}]
47,[{'Frequency_식품/생활_중가': 733.2034907553762}],[{'Frequency_식품/생활_저가': 697.0022087900487}]
48,[{'Frequency_식품/생활_중가': 309.2917958130781}],[{'Frequency_의류/이미용_고가': 78.70025925163976}]
49,[{'Frequency_식품/생활_중가': 369.7398582334271}],[{'Frequency_식품/생활_고가': 102.60693417623547}]
50,[{'Frequency_식품/생활_중가': 999.8614956567405}],[{'Frequency_식품/생활_저가': 270.5874760170433}]
51,[{'Frequency_식품/생활_중가': 960.5811754015119}],[{'Frequency_식품/생활_저가': 414.0531125838853}]
52,[{'Frequency_식품/생활_중가': 949.344889243368}],[{'Frequency_식품/생활_고가': 77.50852189317031}]
53,[{'Frequency_식품/생활_중가': 517.9970607082263}],[{'Frequency_식품/생활_저가': 86.23367835604157}]
54,[{'Frequency_식품/생활_중가': 556.8870691168548}],[{'Frequency_식품/생활_고가': 100.92024674968843}]
55,[{'Frequency_식품/생활_저가': 525.7508203979735}],[{'Frequency_식품/생활_중가': 244.44983636919756}]
56,[{'Frequency_식품/생활_중가': 410.26256853903067}],[{'Frequency_의류/이미용_고가': 78.9693952280073}]
57,[{'Frequency_식품/생활_저가': 1230.352910971442}],[{'Frequency_식품/생활_중가': 618.3756540519565}]
58,[{'Frequency_식품/생활_중가': 289.25741474127494}],[{'Frequency_식품/생활_고가': 126.77721839819691}]
59,[{'Frequency_식품/생활_중가': 704.4120617623952}],[{'Frequency_식품/생활_고가': 50.41677717086168}]
60,[{'Frequency_식품/생활_중가': 853.3682346042509}],[{'Frequency_식품/생활_저가': 325.7166002947312}]
61,[{'Frequency_식품/생활_중가': 757.9472032028777}],[{'Frequency_식품/생활_저가': 526.8165742313483}]
62,[{'Frequency_식품/생활_중가': 579.99353855874}],[{'Frequency_식품/생활_저가': 162.1234668615896}]
63,[{'Frequency_식품/생활_중가': 428.52298176589005}],[{'Frequency_식품/생활_고가': 111.86372870379951}]
64,[{'Frequency_식품/생활_중가': 575.3912001310765}],[{'Frequency_식품/생활_저가': 196.13875154297347}]
65,[{'Frequency_식품/생활_중가': 546.1017952864089}],[{'Frequency_식품/생활_고가': 97.47001793551634}]
66,[{'Frequency_식품/생활_중가': 1398.3469835779913}],[{'Frequency_식품/생활_저가': 494.15846425783064}]
67,[{'Frequency_식품/생활_중가': 1086.2496810406426}],[{'Frequency_식품/생활_저가': 753.8519322890843}]
68,[{'Frequency_식품/생활_중가': 511.2074020567154}],[{'Frequency_가구인테리어/잡화_중가': 432.9812746968337}]
69,[{'Frequency_식품/생활_저가': 1815.573984213161}],[{'Frequency_식품/생활_중가': 1706.6398335939248}]
70,[{'Frequency_식품/생활_중가': 490.41295455000306}],[{'Frequency_식품/생활_고가': 50.55109516603677}]
71,[{'Frequency_식품/생활_중가': 640.8574497288781}],[{'Frequency_식품/생활_저가': 407.4213104841346}]
72,[{'Frequency_식품/생활_중가': 448.7581380434707}],[{'Frequency_식품/생활_저가': 314.478034918438}]
73,[{'Frequency_가구인테리어/잡화_고가': 149.88946722755446}],[{'Frequency_의류/이미용_중가': 106.83461562876134}]
74,[{'Frequency_식품/생활_중가': 387.9188455839484}],[{'Frequency_의류/이미용_중가': 135.9447618578041}]
75,[{'Frequency_식품/생활_중가': 692.5386017037056}],[{'Frequency_식품/생활_고가': 94.07609494020741}]
76,[{'Frequency_식품/생활_중가': 491.64653641521295}],[{'Frequency_식품/생활_저가': 113.77047715505296}]
77,[{'Frequency_식품/생활_중가': 690.2053538927706}],[{'Frequency_식품/생활_저가': 118.31708269753878}]
78,[{'Frequency_식품/생활_중가': 581.8166799618126}],[{'Frequency_의류/이미용_고가': 88.11847948264005}]
79,[{'Frequency_식품/생활_중가': 1135.1027889559311}],[{'Frequency_식품/생활_저가': 677.95149059205}]
80,[{'Frequency_식품/생활_중가': 807.9371478126321}],[{'Frequency_식품/생활_저가': 669.9221477435384}]
81,[{'Frequency_식품/생활_중가': 485.2488109472719}],[{'Frequency_의류/이미용_고가': 83.11031228760598}]
82,[{'Frequency_식품/생활_중가': 621.4489418684698}],[{'Frequency_식품/생활_저가': 174.6798417015846}]
83,[{'Frequency_식품/생활_중가': 652.0175183094772}],[{'Frequency_식품/생활_고가': 121.50515859043831}]
84,[{'Frequency_식품/생활_중가': 261.37665439955884}],[{'Frequency_의류/이미용_중가': 47.320464597338514}]
85,[{'Frequency_식품/생활_중가': 616.4851877324804}],[{'Frequency_식품/생활_고가': 145.48816952465103}]
86,[{'Frequency_식품/생활_중가': 1230.0180168658808}],[{'Frequency_식품/생활_저가': 681.4406320254885}]
87,[{'Frequency_식품/생활_중가': 375.5224827897446}],[{'Frequency_식품/생활_저가': 63.25622729984517}]
88,[{'Frequency_식품/생활_중가': 867.155537920275}],[{'Frequency_식품/생활_저가': 339.7312439047512}]
89,[{'Frequency_식품/생활_중가': 971.638704320585}],[{'Frequency_식품/생활_저가': 818.6431614821886}]
90,[{'Frequency_식품/생활_중가': 290.01101279968344}],[{'Frequency_식품/생활_고가': 76.32845028291287}]
91,[{'Frequency_식품/생활_중가': 673.7541312699635}],[{'Frequency_식품/생활_저가': 88.98749465315942}]
92,[{'Frequency_식품/생활_중가': 771.51674681052}],[{'Frequency_식품/생활_저가': 285.0566060243017}]
93,[{'Frequency_식품/생활_중가': 341.1465761673909}],[{'Frequency_의류/이미용_고가': 142.8139369599786}]
94,[{'Frequency_식품/생활_중가': 586.4389438943714}],[{'Frequency_식품/생활_고가': 250.2380058501226}]
95,[{'Frequency_식품/생활_중가': 747.2584341205485}],[{'Frequency_식품/생활_저가': 315.3687119567343}]
96,[{'Frequency_식품/생활_중가': 467.6725583914048}],[{'Frequency_식품/생활_고가': 121.50728307303295}]
97,[{'Frequency_식품/생활_저가': 527.7681508086825}],[{'Frequency_식품/생활_중가': 454.83086443422013}]
98,[{'Frequency_식품/생활_중가': 456.9437514834519}],[{'Frequency_식품/생활_고가': 191.49749494252598}]
99,[{'Frequency_식품/생활_중가': 440.81810323844354}],[{'Frequency_의류/이미용_중가': 199.43447964556654}]
100,[{'Frequency_식품/생활_중가': 474.5813472426932}],[{'Frequency_의류/이미용_저가': 39.54308188955764}]
101,[{'Frequency_식품/생활_중가': 644.4277650533245}],[{'Frequency_식품/생활_저가': 110.73594196864622}]
102,[{'Frequency_식품/생활_중가': 1313.213317985636}],[{'Frequency_식품/생활_저가': 1048.8970009589702}]
103,[{'Frequency_식품/생활_저가': 560.6409058896552}],[{'Frequency_식품/생활_중가': 289.1358175067888}]
104,[{'Frequency_식품/생활_중가': 1379.7733774972749}],[{'Frequency_식품/생활_저가': 990.0440792942205}]
105,[{'Frequency_식품/생활_중가': 1148.7968966955443}],[{'Frequency_식품/생활_저가': 974.9579566401753}]
106,[{'Frequency_식품/생활_중가': 334.27246951068565}],[{'Frequency_가전/레저취미/멀티샵_고가': 114.3617335567586}]
107,[{'Frequency_식품/생활_중가': 355.34311893119303}],[{'Frequency_식품/생활_저가': 101.65603056298968}]
108,[{'Frequency_식품/생활_중가': 653.2119326235771}],[{'Frequency_가구인테리어/잡화_저가': 100.44756545444507}]
109,[{'Frequency_식품/생활_중가': 716.5291276126993}],[{'Frequency_식품/생활_저가': 645.2632813954526}]
110,[{'Frequency_식품/생활_중가': 802.1336795588463}],[{'Frequency_식품/생활_고가': 238.22754006893635}]
111,[{'Frequency_식품/생활_저가': 1043.4747008510283}],[{'Frequency_식품/생활_중가': 480.0666974368497}]
112,[{'Frequency_식품/생활_중가': 468.8381647957768}],[{'Frequency_의류/이미용_중가': 100.59395994313877}]
113,[{'Frequency_식품/생활_중가': 797.7619855930213}],[{'Frequency_식품/생활_저가': 223.14697190545172}]
114,[{'Frequency_식품/생활_중가': 499.40198670454345}],[{'Frequency_식품/생활_저가': 131.36565013936004}]
115,[{'Frequency_식품/생활_중가': 334.62369725799294}],[{'Frequency_식품/생활_고가': 81.66016665109923}]
116,[{'Frequency_식품/생활_저가': 1150.9592483315687}],[{'Frequency_식품/생활_중가': 494.67980173340067}]
117,[{'Frequency_식품/생활_중가': 798.581226425087}],[{'Frequency_식품/생활_저가': 319.8388005278538}]
118,[{'Frequency_식품/생활_중가': 189.23747095342316}],[{'Frequency_의류/이미용_중가': 159.97565357977837}]
119,[{'Frequency_식품/생활_중가': 386.1327643492899}],[{'Frequency_식품/생활_저가': 122.97928517930991}]
120,[{'Frequency_식품/생활_중가': 378.8649240607857}],[{'Frequency_의류/이미용_고가': 332.98511487277636}]
121,[{'Frequency_식품/생활_중가': 566.9354577762019}],[{'Frequency_식품/생활_고가': 113.54764635213257}]
122,[{'Frequency_식품/생활_중가': 613.1234525126819}],[{'Frequency_식품/생활_저가': 116.3694699396249}]
123,[{'Frequency_식품/생활_중가': 862.6777275700813}],[{'Frequency_식품/생활_저가': 613.2682877131247}]
124,[{'Frequency_식품/생활_중가': 331.5066291934696}],[{'Frequency_의류/이미용_중가': 101.75585703601384}]
125,[{'Frequency_식품/생활_중가': 638.905450741458}],[{'Frequency_식품/생활_고가': 67.5995772419816}]
126,[{'Frequency_식품/생활_중가': 908.9686179623567}],[{'Frequency_식품/생활_저가': 407.4459969505067}]
127,[{'Frequency_식품/생활_중가': 532.4994251637839}],[{'Frequency_의류/이미용_중가': 30.425711959892137}]
128,[{'Frequency_식품/생활_중가': 391.0434673476625}],[{'Frequency_식품/생활_저가': 266.5881768233696}]
129,[{'Frequency_식품/생활_중가': 478.2349630111179}],[{'Frequency_식품/생활_저가': 371.95140029514886}]
130,[{'Frequency_식품/생활_중가': 500.4422472598922}],[{'Frequency_식품/생활_고가': 112.7395697097145}]
131,[{'Frequency_식품/생활_중가': 1021.3022876295871}],[{'Frequency_식품/생활_저가': 609.110117089495}]
132,[{'Frequency_식품/생활_중가': 914.0587564731616}],[{'Frequency_식품/생활_저가': 738.3516972915655}]
133,[{'Frequency_식품/생활_중가': 980.4435942482551}],[{'Frequency_식품/생활_고가': 70.62232825000049}]
134,[{'Frequency_식품/생활_중가': 194.19850015945772}],[{'Frequency_식품/생활_저가': 101.41967545607419}]
135,[{'Frequency_식품/생활_중가': 524.9237066618844}],[{'Frequency_식품/생활_고가': 92.13530158760113}]
136,[{'Frequency_식품/생활_중가': 197.04643284248965}],[{'Frequency_교육문화/아동_중가': 125.25243518165468}]
137,[{'Frequency_식품/생활_중가': 519.6767950687122}],[{'Frequency_식품/생활_저가': 265.27097542658294}]
138,[{'Frequency_식품/생활_중가': 513.9320051018766}],[{'Frequency_식품/생활_저가': 170.76143126694697}]
139,[{'Frequency_식품/생활_중가': 652.7216507961743}],[{'Frequency_식품/생활_저가': 343.7859341872186}]
140,[{'Frequency_식품/생활_중가': 563.2184261404614}],[{'Frequency_식품/생활_고가': 115.79002109118824}]
141,[{'Frequency_식품/생활_저가': 717.168580349383}],[{'Frequency_식품/생활_중가': 497.6339564071399}]
143,[{'Frequency_식품/생활_저가': 792.9831213319511}],[{'Frequency_식품/생활_중가': 696.0407977784812}]
144,[{'Frequency_식품/생활_저가': 3581.333255670275}],[{'Frequency_식품/생활_중가': 1882.5784474853292}]
145,[{'Frequency_식품/생활_중가': 448.8431219659426}],[{'Frequency_식품/생활_고가': 147.5738030838555}]
146,[{'Frequency_식품/생활_중가': 133.86207475664202}],[{'Frequency_가구인테리어/잡화_고가': 109.14963989422039}]
147,[{'Frequency_식품/생활_중가': 978.7347746913391}],[{'Frequency_식품/생활_저가': 320.4043146772074}]
148,[{'Frequency_식품/생활_저가': 759.2418151459603}],[{'Frequency_식품/생활_중가': 565.7427034849817}]
149,[{'Frequency_식품/생활_중가': 535.1097553050072}],[{'Frequency_식품/생활_고가': 103.0283118130606}]
150,[{'Frequency_식품/생활_중가': 960.4154201939662}],[{'Frequency_식품/생활_저가': 529.3080340579305}]
151,[{'Frequency_식품/생활_중가': 799.6607977996349}],[{'Frequency_식품/생활_고가': 226.06538729450216}]
152,[{'Frequency_식품/생활_중가': 380.5899861929977}],[{'Frequency_식품/생활_저가': 201.58060083943138}]
153,[{'Frequency_식품/생활_중가': 736.7276735212622}],[{'Frequency_식품/생활_고가': 154.67816930821542}]
154,[{'Frequency_식품/생활_중가': 624.5685663174094}],[{'Frequency_식품/생활_저가': 59.94979126916355}]
155,[{'Frequency_식품/생활_중가': 483.64192610351023}],[{'Frequency_의류/이미용_중가': 173.6433339859811}]
156,[{'Frequency_식품/생활_중가': 604.8890383485624}],[{'Frequency_식품/생활_고가': 255.83318605305004}]
157,[{'Frequency_식품/생활_중가': 558.1533537174157}],[{'Frequency_식품/생활_저가': 211.37592803497466}]
158,[{'Frequency_식품/생활_중가': 769.4008989762798}],[{'Frequency_식품/생활_저가': 225.10577138334895}]
159,[{'Frequency_의류/이미용_중가': 141.5556205163684}],[{'Frequency_식품/생활_중가': 138.8691399497889}]
160,[{'Frequency_식품/생활_중가': 749.2495944842551}],[{'Frequency_식품/생활_저가': 311.46864806228524}]
161,[{'Frequency_식품/생활_중가': 195.27363703853484}],[{'Frequency_의류/이미용_고가': 150.73583555194853}]
162,[{'Frequency_식품/생활_중가': 379.8771180332973}],[{'Frequency_식품/생활_저가': 190.98922207428672}]
163,[{'Frequency_식품/생활_중가': 691.362260661313}],[{'Frequency_식품/생활_저가': 670.4207019664616}]
164,[{'Frequency_식품/생활_중가': 485.05589983889195}],[{'Frequency_식품/생활_저가': 152.61634075421233}]
165,[{'Frequency_식품/생활_중가': 175.66116796252973}],[{'Frequency_의류/이미용_중가': 108.45456626949397}]
166,[{'Frequency_식품/생활_중가': 469.5887014390013}],[{'Frequency_식품/생활_고가': 114.17320216028224}]
167,[{'Frequency_식품/생활_중가': 686.1301114465635}],[{'Frequency_식품/생활_고가': 76.84749923068854}]
168,[{'Frequency_식품/생활_중가': 584.131566940702}],[{'Frequency_식품/생활_저가': 150.74369750018914}]
169,[{'Frequency_식품/생활_중가': 521.6669333550859}],[{'Frequency_식품/생활_저가': 335.59325148544133}]
170,[{'Frequency_식품/생활_중가': 1179.1506579912025}],[{'Frequency_식품/생활_저가': 541.3866143872295}]
171,[{'Frequency_식품/생활_중가': 509.5220714160781}],[{'Frequency_식품/생활_고가': 75.9186385999312}]
172,[{'Frequency_식품/생활_중가': 847.7045566691343}],[{'Frequency_식품/생활_고가': 292.75437112742406}]
173,[{'Frequency_식품/생활_중가': 955.188480919915}],[{'Frequency_식품/생활_저가': 908.8704975896181}]
175,[{'Frequency_식품/생활_중가': 2780.652346361377}],[{'Frequency_식품/생활_저가': 1302.449680392152}]
176,[{'Frequency_식품/생활_저가': 652.8539637617681}],[{'Frequency_식품/생활_중가': 587.2149735695557}]
177,[{'Frequency_식품/생활_중가': 157.886004008801}],[{'Frequency_의류/이미용_고가': 144.31901475796275}]
178,[{'Frequency_식품/생활_중가': 911.6572569215185}],[{'Frequency_식품/생활_저가': 888.8290720720476}]
179,[{'Frequency_식품/생활_중가': 854.1178103048344}],[{'Frequency_식품/생활_고가': 173.10991713924608}]
180,[{'Frequency_식품/생활_중가': 425.08062818499815}],[{'Frequency_의류/이미용_고가': 81.99486429304048}]
181,[{'Frequency_식품/생활_중가': 473.18636090743405}],[{'Frequency_의류/이미용_중가': 122.02215676416397}]
182,[{'Frequency_식품/생활_중가': 923.4963165602265}],[{'Frequency_식품/생활_고가': 245.3112594206941}]
183,[{'Frequency_식품/생활_중가': 1281.3970530134218}],[{'Frequency_식품/생활_저가': 834.0158412486197}]
184,[{'Frequency_식품/생활_중가': 245.426187386605}],[{'Frequency_식품/생활_고가': 62.36758751177243}]
185,[{'Frequency_식품/생활_중가': 855.8224759021357}],[{'Frequency_식품/생활_저가': 362.7096715326777}]
186,[{'Frequency_식품/생활_중가': 782.3592679675214}],[{'Frequency_식품/생활_저가': 255.7604617724201}]
187,[{'Frequency_식품/생활_중가': 344.95883157183704}],[{'Frequency_식품/생활_저가': 69.52465607289257}]
188,[{'Frequency_식품/생활_중가': 1574.1595540677088}],[{'Frequency_식품/생활_저가': 1377.5830231452098}]
189,[{'Frequency_식품/생활_중가': 829.699371895975}],[{'Frequency_식품/생활_고가': 205.96121140575428}]
190,[{'Frequency_식품/생활_중가': 824.1312948368682}],[{'Frequency_식품/생활_고가': 145.97877148165014}]
191,[{'Frequency_의류/이미용_고가': 101.0804834477373}],[{'Frequency_의류/이미용_중가': 100.14833165757396}]
192,[{'Frequency_식품/생활_중가': 588.3887368999115}],[{'Frequency_식품/생활_저가': 256.3514276721025}]
193,[{'Frequency_식품/생활_중가': 932.7052427078706}],[{'Frequency_식품/생활_저가': 354.4517358542517}]
194,[{'Frequency_식품/생활_중가': 1054.6314612559338}],[{'Frequency_식품/생활_저가': 678.935710634534}]
195,[{'Frequency_식품/생활_중가': 468.57811153999654}],[{'Frequency_식품/생활_저가': 169.271929887379}]
196,[{'Frequency_식품/생활_중가': 573.699181186601}],[{'Frequency_식품/생활_저가': 424.60496314021833}]
197,[{'Frequency_식품/생활_중가': 437.62627931379814}],[{'Frequency_식품/생활_저가': 264.14138021819065}]
198,[{'Frequency_식품/생활_중가': 633.2795581420172}],[{'Frequency_식품/생활_저가': 431.42246674551586}]
199,[{'Frequency_식품/생활_중가': 540.2079982388352}],[{'Frequency_식품/생활_저가': 294.47090430472144}]
200,[{'Frequency_식품/생활_저가': 603.6656213052082}],[{'Frequency_식품/생활_중가': 355.6735929484848}]
201,[{'Frequency_식품/생활_중가': 348.02395383063526}],[{'Frequency_식품/생활_고가': 164.83971944316033}]
202,[{'Frequency_식품/생활_저가': 631.7820174294176}],[{'Frequency_식품/생활_중가': 611.2074270525661}]
203,[{'Frequency_식품/생활_중가': 653.6275458125726}],[{'Frequency_식품/생활_저가': 305.50184257408523}]
204,[{'Frequency_식품/생활_중가': 734.4901493418093}],[{'Frequency_식품/생활_저가': 648.5561165823198}]
205,[{'Frequency_식품/생활_중가': 942.2482870194941}],[{'Frequency_식품/생활_저가': 360.7058222534763}]
206,[{'Frequency_식품/생활_중가': 901.8514275140075}],[{'Frequency_식품/생활_저가': 880.9168360568187}]
207,[{'Frequency_식품/생활_중가': 711.3416162245845}],[{'Frequency_식품/생활_저가': 411.34206796757144}]
208,[{'Frequency_의류/이미용_중가': 106.71801831780621}],[{'Frequency_식품/생활_중가': 89.9344903925168}]
209,[{'Frequency_식품/생활_중가': 428.5607426391201}],[{'Frequency_의류/이미용_중가': 76.2112064384319}]
210,[{'Frequency_식품/생활_중가': 686.1852077283504}],[{'Frequency_식품/생활_저가': 278.475750746292}]
211,[{'Frequency_식품/생활_중가': 455.07051273794417}],[{'Frequency_식품/생활_고가': 75.29765384886451}]
212,[{'Frequency_식품/생활_저가': 817.8319058152465}],[{'Frequency_식품/생활_중가': 803.7683496345854}]
213,[{'Frequency_식품/생활_중가': 2038.001537868856}],[{'Frequency_식품/생활_저가': 1662.8378825369646}]
214,[{'Frequency_식품/생활_저가': 451.8743852355717}],[{'Frequency_식품/생활_중가': 408.29499456962594}]
215,[{'Frequency_식품/생활_중가': 1015.2867388162975}],[{'Frequency_식품/생활_저가': 534.4268936038708}]
216,[{'Frequency_식품/생활_중가': 759.8009392438587}],[{'Frequency_식품/생활_저가': 483.02214501378364}]
217,[{'Frequency_식품/생활_중가': 372.54982737935404}],[{'Frequency_식품/생활_고가': 103.18444930307064}]
218,[{'Frequency_식품/생활_중가': 281.81749810397}],[{'Frequency_의류/이미용_고가': 103.76185370915923}]
219,[{'Frequency_식품/생활_중가': 729.770556306168}],[{'Frequency_식품/생활_저가': 189.63843260397917}]
220,[{'Frequency_식품/생활_중가': 1190.5205610654216}],[{'Frequency_식품/생활_저가': 771.1303336772538}]
221,[{'Frequency_식품/생활_중가': 666.9870506554703}],[{'Frequency_식품/생활_저가': 403.4142302610924}]
222,[{'Frequency_식품/생활_중가': 527.4922652383522}],[{'Frequency_식품/생활_저가': 225.20161065186613}]
223,[{'Frequency_식품/생활_중가': 351.2757115350367}],[{'Frequency_식품/생활_고가': 89.7376887023124}]
224,[{'Frequency_식품/생활_중가': 170.68324503634707}],[{'Frequency_의류/이미용_중가': 153.46063855585393}]
225,[{'Frequency_가전/레저취미/멀티샵_중가': 145.38896828055348}],[{'Frequency_식품/생활_중가': 140.9057497195327}]
226,[{'Frequency_식품/생활_중가': 653.5996641267316}],[{'Frequency_식품/생활_저가': 213.54002905968582}]
227,[{'Frequency_식품/생활_저가': 739.0988315741095}],[{'Frequency_식품/생활_중가': 729.125522060795}]
228,[{'Frequency_식품/생활_중가': 759.297799253438}],[{'Frequency_식품/생활_저가': 662.5321737180965}]
229,[{'Frequency_식품/생활_중가': 638.6361253746534}],[{'Frequency_식품/생활_고가': 100.89925855489436}]
230,[{'Frequency_식품/생활_중가': 473.14263720921474}],[{'Frequency_식품/생활_고가': 221.8278803168172}]
231,[{'Frequency_식품/생활_중가': 1045.2976813053149}],[{'Frequency_식품/생활_저가': 597.3909958664644}]
232,[{'Frequency_식품/생활_저가': 1538.6703946189975}],[{'Frequency_식품/생활_중가': 574.6790555140603}]
233,[{'Frequency_식품/생활_중가': 815.1539006717118}],[{'Frequency_식품/생활_저가': 499.26488351396586}]
234,[{'Frequency_식품/생활_중가': 646.0055259177442}],[{'Frequency_식품/생활_저가': 140.64429265491623}]
235,[{'Frequency_식품/생활_중가': 604.6021699385931}],[{'Frequency_식품/생활_저가': 266.4192881413222}]
236,[{'Frequency_식품/생활_중가': 874.876218696306}],[{'Frequency_식품/생활_저가': 768.6533368203126}]
237,[{'Frequency_식품/생활_중가': 692.0982169771158}],[{'Frequency_식품/생활_저가': 357.8080014737488}]
238,[{'Frequency_식품/생활_중가': 554.4868097307195}],[{'Frequency_식품/생활_고가': 160.0568576485009}]
239,[{'Frequency_식품/생활_중가': 333.6689027210136}],[{'Frequency_식품/생활_고가': 99.0968711167056}]
240,[{'Frequency_식품/생활_중가': 412.28634248020904}],[{'Frequency_식품/생활_고가': 92.852997469765}]
241,[{'Frequency_식품/생활_중가': 370.1892992875352}],[{'Frequency_의류/이미용_중가': 218.7883636825239}]
242,[{'Frequency_식품/생활_중가': 701.9172079386972}],[{'Frequency_식품/생활_저가': 280.22451480977753}]
243,[{'Frequency_식품/생활_중가': 749.5400723048301}],[{'Frequency_식품/생활_저가': 207.9703611473488}]
245,[{'Frequency_식품/생활_중가': 1348.556760026664}],[{'Frequency_식품/생활_저가': 767.3292165199834}]
246,[{'Frequency_식품/생활_중가': 337.2915706062537}],[{'Frequency_식품/생활_저가': 68.5901083334392}]
