CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가전_레저취미_멀티샵_고가_clust_id
130,0,0,0,0,0,0,0
131,-3,-1,0,4,-3,3,1
132,0,0,0,0,4,-3,4
133,4,-3,3,-2,-1,3,5
134,-1,-1,0,0,0,4,0
135,-3,-1,0,0,0,0,0
136,4,0,-3,3,-3,3,1
137,0,-2,3,-1,-1,-1,3
138,0,4,-1,-2,-1,4,2
139,0,0,0,0,0,0,0
140,0,-1,1,-1,0,1,0
141,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,4,-3,4
145,1,-1,-2,2,-1,1,1
146,0,0,0,0,0,0,0
147,-1,-2,3,-2,0,1,3
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,4,-3,-1,1
151,-2,-1,2,-1,1,0,3
152,1,-1,3,-1,-2,3,3
153,0,4,-3,-1,0,0,2
154,0,0,0,0,4,-3,4
155,-1,0,0,0,4,-3,4
156,-2,-1,-1,4,-3,3,1
157,-3,3,-2,0,0,1,2
158,0,0,0,0,0,0,0
159,0,0,4,-3,-1,4,3
160,0,0,0,0,0,0,0
161,3,0,-3,3,-3,3,1
162,4,-1,0,-1,-1,3,5
163,0,0,0,0,0,0,0
164,-1,4,-2,-1,3,0,4
165,-3,-1,4,-3,0,3,3
166,-3,-1,0,0,0,0,0
167,0,0,0,0,0,4,0
168,-1,0,1,0,-2,1,0
169,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0
171,0,0,0,0,4,-3,4
172,-3,-1,0,4,-3,-1,1
173,0,0,0,4,-3,-1,1
175,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0
177,-1,1,0,2,-1,-1,0
178,0,0,0,0,0,0,0
179,3,-2,0,1,-2,3,5
180,0,0,0,0,0,0,0
181,0,4,-2,1,-2,3,2
182,-1,1,-1,1,-1,0,0
183,0,0,0,0,0,0,0
184,-3,-1,0,0,0,4,0
185,0,0,0,0,0,0,0
186,3,-3,-1,4,-2,-1,1
187,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
189,0,-2,0,1,-1,0,0
190,-3,-1,0,0,0,4,0
191,-3,2,-1,2,-2,-1,2
192,0,4,-3,-1,0,0,2
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0
196,0,4,-3,-1,0,0,2
197,-1,4,-3,3,-2,-1,2
198,-3,0,3,-2,1,-1,3
199,4,-3,-1,4,0,-3,5
200,0,0,0,0,0,0,0
201,1,-1,-2,-1,4,-2,4
202,-1,3,-3,3,-1,-2,2
203,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0
205,0,0,0,0,0,4,0
206,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0
208,-1,1,-2,-1,0,0,0
209,0,4,-3,3,-3,-1,2
210,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,3,0,-3,3,-1,-1,1
214,0,-1,4,-1,-1,0,3
215,0,0,0,4,-3,-1,1
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,4,-1,-2,3,0,-2,5
219,0,0,0,0,4,-3,4
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0
222,-1,-2,3,-3,3,-3,3
223,4,0,-3,3,-1,-1,1
224,-3,-1,4,-3,3,-1,3
225,2,0,0,0,-1,0,0
226,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0
229,-2,2,-2,0,-1,-1,2
230,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0
233,0,4,-3,-1,0,0,2
234,0,0,0,0,4,-3,4
235,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,-3,2,0,-2,3,-3,4
238,0,0,0,0,0,0,0
239,-2,1,-1,1,-2,3,2
240,0,0,0,0,0,0,0
241,2,0,1,-2,-1,-1,0
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
245,4,-3,-1,0,0,0,5
246,-1,1,-1,0,-1,3,0
247,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0
249,0,1,-2,3,-2,2,1
250,0,-1,-1,3,-1,-1,1
251,-3,-1,4,-3,-1,4,3
252,-3,-1,4,-3,0,-1,3
253,1,1,-1,0,-1,3,0
254,-2,0,-1,4,-3,3,1
255,-3,3,-3,0,3,-1,4
256,-1,-2,0,3,-3,3,1
257,0,0,0,0,0,0,0
258,-3,3,-2,-1,-1,4,2
259,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,-1,0,0,0,0,0,0
262,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0
265,1,-1,1,-2,0,-1,0
266,-1,0,4,-3,3,-3,3
267,0,0,0,0,0,0,0
268,0,0,-2,-1,0,0,0
269,-3,-1,0,4,-3,-1,1
270,0,0,0,0,0,0,0
271,-1,-2,-1,0,0,4,0
272,-1,0,0,4,0,-3,1
273,-1,0,0,0,0,0,0
274,0,0,0,0,0,0,0
275,0,0,0,0,0,4,0
276,0,0,0,0,0,0,0
277,-1,-2,-1,4,-3,3,1
278,0,0,0,0,0,0,0
279,-3,-1,0,4,-3,-1,1
280,2,1,-3,3,-3,3,1
281,1,2,-3,2,0,-1,2
282,-1,3,-3,3,-1,0,2
283,4,0,-3,3,-2,1,1
284,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0
286,-3,3,-3,3,-3,0,2
287,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0
292,-3,3,-3,3,-2,-1,2
293,4,-3,-1,0,0,4,5
294,-1,4,-3,3,0,-2,2
295,0,-3,2,-1,1,-2,3
296,3,-3,3,-3,-1,4,5
297,0,-1,-1,3,-2,0,1
298,0,0,4,-3,3,-3,3
299,-3,-1,0,0,0,0,0
300,0,0,4,-3,-1,0,3
301,0,4,-3,-1,4,-3,4
302,0,0,0,0,0,4,0
303,-1,0,4,-3,-1,0,3
304,-1,-1,-1,3,-3,0,1
305,0,3,-1,-2,2,-2,4
306,3,-3,3,-1,0,-1,5
307,0,0,0,0,0,0,0
308,-3,3,-2,-1,0,3,2
309,-3,-1,0,0,4,-3,4
310,0,0,0,0,0,0,0
311,0,0,0,0,4,-1,4
312,0,0,0,0,0,0,0
313,1,-1,1,-1,0,1,0
314,-1,0,0,0,0,0,0
315,0,-3,2,0,-1,0,0
316,-1,4,-3,0,0,3,2
317,-3,-1,0,0,0,0,0
318,-1,0,0,0,0,0,0
319,0,-2,3,0,-3,3,3
320,0,-1,-1,0,0,4,0
321,0,3,-3,3,-1,-2,2
322,0,0,4,-3,-1,0,3
323,-2,1,1,0,-2,1,0
324,-2,2,0,-1,0,-1,0
325,0,0,0,0,0,0,0
326,-2,-1,3,-2,0,-1,3
327,-1,1,-1,0,0,1,0
328,-2,0,-1,3,-3,-1,1
329,-1,4,-3,3,-1,-1,2
330,0,0,0,0,0,0,0
331,-3,-1,0,4,-3,-1,1
332,-1,1,-2,3,-1,-2,1
333,-3,-1,0,0,0,0,0
334,-3,3,0,-3,3,-2,4
335,0,-3,-1,0,0,0,0
336,0,0,0,0,0,0,0
337,-1,1,-1,0,1,0,0
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0
341,4,-3,3,-3,3,-3,5
342,0,0,0,0,0,0,0
343,1,-2,3,-1,-2,3,3
344,0,0,0,0,0,0,0
345,-1,0,0,4,-3,-1,1
346,0,0,0,0,0,0,0
347,-3,-1,4,-3,3,-1,3
348,0,0,0,0,0,0,0
349,-2,3,-2,1,-1,-1,2
350,-2,-1,-1,4,-3,3,1
351,0,0,0,0,0,0,0
352,-1,0,0,0,0,0,0
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,-2,1,1,-3,0,0,3
356,0,4,-3,3,-3,-1,2
357,-3,-1,0,0,0,0,0
358,-3,3,-2,0,1,0,2
359,-1,-1,0,0,4,-3,4
360,0,0,0,0,0,0,0
361,-1,4,0,-2,2,-1,4
362,0,0,0,0,0,0,0
363,-2,1,2,-1,-2,1,3
364,4,-3,-1,0,4,-3,5
365,-2,-1,0,0,0,0,0
366,0,0,0,0,0,0,0
367,0,0,0,0,4,-3,4
368,0,0,0,4,-3,3,1
369,-1,3,0,-2,0,1,2
370,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0
372,-3,-1,0,0,0,0,0
373,0,0,0,0,0,0,0
374,3,-1,0,0,-1,0,5
375,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0
377,3,-1,0,-1,-1,3,5
378,3,0,-3,3,-3,0,1
379,0,0,0,0,4,-3,4
380,0,0,0,0,0,0,0
381,-3,-1,4,-3,0,0,3
382,0,0,0,4,-2,2,1
383,3,-1,-2,3,-2,0,1
384,0,0,0,0,0,0,0
385,-3,-1,0,0,0,0,0
386,1,-2,2,1,-3,3,1
387,-1,3,-3,3,-3,2,2
388,-1,4,-1,-2,3,0,4
389,-1,0,0,0,0,4,0
390,0,0,0,0,0,0,0
391,0,-2,-1,4,-1,0,1
392,4,-3,-1,0,0,0,5
393,-3,3,-2,-1,-1,0,2
394,0,0,0,0,0,0,0
395,0,0,4,-3,-1,0,3
396,0,0,0,0,0,4,0
397,0,0,0,0,0,0,0
398,-2,-1,3,0,-3,3,3
399,0,0,4,-3,-1,0,3
400,1,2,-2,0,1,-1,0
401,-1,2,-1,1,-2,3,2
402,-1,4,-3,3,-3,3,2
403,0,0,0,0,0,0,0
404,-2,-1,0,4,-3,3,1
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0
407,3,-3,3,0,-3,3,5
408,-1,0,0,1,-1,-1,0
409,-1,-1,4,-3,-1,0,3
410,0,0,0,0,0,0,0
411,-2,-1,4,-3,-1,0,3
412,-1,0,-1,3,-3,3,1
413,-1,0,-2,3,-3,3,1
414,-1,3,-3,3,-3,0,2
415,0,0,0,0,0,0,0
416,0,2,-1,0,0,0,0
417,0,4,-3,-1,0,0,2
418,0,0,0,0,0,0,0
419,-3,-1,0,0,0,0,0
420,-3,2,-2,-1,0,0,2
421,3,-2,-1,3,-3,-1,1
422,0,0,0,4,-3,-1,1
423,0,0,4,-2,-1,-1,3
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,-3,2,0,0,0,-1,2
427,4,-3,-1,0,0,0,5
428,-1,0,0,4,-3,-1,1
429,0,0,0,0,0,0,0
430,-1,0,-1,4,-3,3,1
431,0,0,4,-2,-1,3,3
432,-1,0,0,0,4,-1,4
433,-1,3,-3,3,-3,2,2
434,4,-3,3,-2,-1,3,5
435,0,4,-3,3,-3,3,2
436,-1,0,1,0,-2,3,0
437,0,0,0,4,-3,-1,1
438,-1,0,0,0,0,0,0
439,0,0,0,0,0,0,0
440,-3,-1,0,0,0,0,0
441,-2,-1,-1,4,0,-3,1
442,0,0,0,0,0,0,0
443,0,4,-3,-1,0,4,2
444,3,-3,-1,4,-1,0,1
445,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0
447,0,0,4,-3,3,-3,3
448,-1,-2,0,3,-3,3,1
449,-1,-1,-1,2,-2,-1,1
450,0,0,4,-3,3,0,3
451,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0
453,-3,-1,0,0,4,-2,4
454,0,4,-2,-1,-1,0,2
455,0,0,0,4,-3,-1,1
456,0,0,0,0,4,-2,4
457,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0
462,-1,0,-1,1,-2,3,0
463,4,-1,1,-3,3,-3,5
464,0,0,0,0,0,4,0
465,-3,-1,0,0,0,0,0
466,1,-1,2,-2,0,1,3
467,-1,0,0,0,0,0,0
468,-1,3,-3,3,-3,1,2
469,-1,4,-3,3,-3,-1,2
470,0,0,0,0,0,0,0
471,-3,3,-1,-2,2,0,4
472,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,2,-1,2,-3,3,-3,5
475,3,-3,-1,0,0,4,5
476,0,0,0,0,0,0,0
477,1,-1,0,2,-3,2,1
478,-1,0,2,-2,-1,-1,3
479,0,0,0,0,0,0,0
480,-1,1,-2,3,-2,1,1
481,4,-3,-1,0,0,0,5
482,0,0,0,0,0,0,0
483,-1,0,0,0,0,0,0
484,-1,-1,1,-2,-1,4,0
485,3,-3,-1,4,-3,-1,1
486,-1,-1,-1,0,-1,0,0
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,2,-2,3,-3,3,-3,3
490,-3,3,-3,-1,0,0,2
491,-2,-1,0,0,4,-3,4
492,0,0,0,0,4,-3,4
493,0,0,0,0,0,4,0
494,-3,3,-3,-1,0,4,2
495,0,0,0,0,0,0,0
496,0,0,4,-3,-1,0,3
497,0,0,0,0,0,0,0
498,4,-1,0,-2,0,-1,5
499,0,0,0,0,0,0,0
500,0,3,-3,-1,0,0,2
501,0,4,-3,3,-3,3,2
502,2,0,0,-1,0,-1,0
503,-2,0,2,-3,1,1,3
504,1,0,0,-1,-1,3,0
505,4,-3,3,-3,-1,4,5
506,-3,3,-1,-2,1,0,2
507,0,0,0,0,0,0,0
508,0,4,-3,3,-2,2,2
509,3,-3,-1,0,0,4,5
510,-1,0,0,0,4,-3,4
511,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0
513,-3,-1,0,0,4,-2,4
514,0,0,0,0,0,0,0
515,-3,3,-3,-1,0,4,2
516,0,0,0,0,0,0,0
517,0,0,4,-3,3,-3,3
518,0,4,-2,-1,0,3,2
519,0,4,-3,3,-3,-1,2
520,1,1,-1,0,1,-2,0
521,-1,3,-2,0,1,0,2
522,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0
524,0,4,-3,-1,4,-3,4
525,0,0,0,0,0,0,0
526,-3,-1,0,0,0,0,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,0,0,0,4,-3,3,1
530,0,0,0,0,0,0,0
531,-1,-2,-1,0,4,-3,4
532,3,-2,-1,3,-1,-1,1
533,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0
535,-1,-2,-1,4,0,-3,1
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,4,-3,-1,0,0,0,5
539,3,-1,-2,3,-3,0,1
540,-2,-1,3,-3,-1,0,3
541,0,0,0,0,0,0,0
542,0,0,0,4,-3,-1,1
543,4,-2,0,-1,-1,4,5
544,4,-3,3,0,-3,-1,5
545,3,-3,3,-3,3,-3,5
546,0,4,-3,-1,4,-3,4
547,-3,0,-1,0,4,-3,4
548,-1,0,0,0,4,-3,4
549,-3,-1,0,0,0,0,0
550,0,0,0,0,0,0,0
551,0,0,4,-3,-1,0,3
552,0,0,0,0,4,-1,4
553,0,0,0,0,0,4,0
554,0,-1,0,0,0,0,0
555,0,4,-3,-1,0,0,2
556,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0
558,-3,-1,0,0,0,0,0
559,4,-3,3,-2,-1,3,5
560,-2,0,3,-1,-1,2,3
561,-2,1,-1,3,-3,3,1
562,0,-1,0,4,-3,-1,1
563,0,0,4,-3,-1,0,3
564,0,0,4,-3,-1,4,3
565,1,-3,3,-1,-1,1,3
566,0,1,0,0,0,-1,0
567,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0
569,-3,-1,0,0,4,-3,4
570,0,0,0,0,0,0,0
571,0,0,0,0,4,0,4
572,3,-3,3,0,-3,1,5
573,0,0,4,-1,0,-1,3
574,-2,0,-1,3,-1,-2,1
575,0,0,0,0,0,0,0
576,0,0,-2,3,0,-3,1
577,0,4,-1,-2,3,-3,4
578,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0
580,0,4,-3,0,-1,0,2
581,0,0,0,0,0,0,0
582,-3,-1,0,0,0,0,0
583,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0
585,-1,0,2,-3,3,-3,4
586,0,3,-1,-2,3,-1,4
587,0,-3,-1,0,0,0,0
588,-1,-1,-1,-1,0,0,0
589,-2,2,-2,2,0,-1,2
590,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,-2,-1,4,-3,-1,4,3
594,-2,1,-1,2,-1,-1,0
595,0,0,0,0,0,0,0
596,-1,4,-3,-1,4,-3,4
597,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0
599,-1,4,-3,3,-3,3,2
600,0,0,0,0,0,0,0
601,0,0,0,4,-3,-1,1
602,0,-2,-1,4,-1,1,1
603,0,0,0,0,4,-3,4
604,-3,3,-3,3,-3,3,2
605,0,0,0,0,0,0,0
606,-2,0,-1,-1,4,-3,4
607,4,-1,-2,3,-3,-1,1
608,0,0,0,0,4,-3,4
609,0,0,0,0,0,0,0
610,-3,-1,0,0,0,4,0
611,0,0,0,0,0,0,0
612,-3,-1,0,0,0,0,0
613,0,0,4,0,-2,1,3
614,-3,3,-3,-1,0,0,2
615,2,-1,-1,0,-1,3,0
616,0,0,0,0,0,0,0
617,3,-2,1,0,-1,1,5
618,-3,-1,4,-3,3,0,3
619,0,0,4,-3,-1,0,3
620,0,4,-3,3,-3,-1,2
621,0,0,0,0,0,0,0
622,-3,2,-2,2,-2,3,2
623,0,0,0,4,-3,-1,1
624,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0
627,0,0,4,-3,-1,0,3
628,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0
630,0,0,4,-3,-1,0,3
631,0,4,-2,1,0,0,2
632,0,0,0,0,0,0,0
633,0,4,-2,-1,3,-3,4
634,0,-1,-2,3,0,-3,1
635,1,-2,2,-1,0,1,3
636,-1,0,0,0,0,0,0
637,4,-3,-1,4,-3,-1,1
638,0,4,-3,-1,0,4,2
639,-1,-1,-1,-1,0,0,0
640,-1,0,1,0,-1,0,0
641,-1,0,-2,2,-2,3,1
642,-3,3,-3,3,-3,3,2
643,0,0,0,0,0,4,0
644,0,0,0,0,0,0,0
645,0,0,1,-1,1,-2,0
646,0,0,0,4,-3,3,1
647,0,0,0,0,0,0,0
648,0,-1,0,4,-3,-1,1
649,0,0,0,4,-3,-1,1
650,0,0,0,0,0,0,0
651,0,-1,0,4,-2,-1,1
652,0,0,0,0,0,0,0
653,0,0,0,0,0,0,0
654,-2,3,-2,1,-1,1,2
655,0,0,0,0,0,0,0
656,-2,-1,3,-3,3,-3,3
657,0,-2,-1,-1,0,0,0
658,0,0,0,4,-3,-1,1
659,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0
661,-3,3,-2,0,1,-1,2
662,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0
664,3,-2,0,1,-1,1,5
665,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0
667,0,0,0,0,0,0,0
668,0,0,0,0,0,0,0
669,-2,-1,-1,4,-3,-1,1
670,-1,3,-2,1,-2,3,2
671,0,0,0,0,0,0,0
672,-1,0,0,0,0,4,0
673,0,0,4,-2,-1,-1,3
674,-3,-1,0,0,0,0,0
675,0,4,-3,-1,0,0,2
676,-1,1,-2,2,-1,1,2
677,0,0,0,0,0,4,0
678,0,0,0,0,0,0,0
679,0,0,0,0,0,0,0
680,3,-3,-1,4,-2,-1,1
681,0,4,-3,-1,4,-3,4
682,0,0,0,0,0,0,0
683,0,4,-3,-1,0,0,2
684,4,-3,-1,0,0,0,5
685,0,0,0,0,0,0,0
686,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0
689,0,0,4,-3,-1,0,3
690,4,-3,3,-3,-1,0,5
691,-1,0,-1,4,-3,-1,1
692,-3,3,-3,-1,0,0,2
693,0,-2,2,-1,-2,1,3
694,3,-2,0,1,1,-3,5
695,0,4,-3,-1,0,0,2
696,0,4,-3,-1,0,0,2
697,-1,0,0,0,0,0,0
698,-3,-1,0,0,0,0,0
699,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0
701,-3,-1,0,0,0,0,0
702,0,0,0,0,0,0,0
703,-2,0,2,-2,1,-2,3
704,0,0,2,-1,1,-3,0
705,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0
707,-1,-1,3,-3,3,-3,3
708,-1,-1,4,0,-1,-2,3
709,4,-3,-1,4,-3,-1,1
710,0,-3,-1,4,-3,0,1
711,-2,1,-2,3,-3,3,1
712,-1,0,0,0,0,0,0
713,-2,2,-3,3,0,-3,2
714,0,0,0,0,0,0,0
715,0,0,0,4,-3,-1,1
716,0,0,0,0,4,-3,4
717,-1,3,-3,-1,0,0,2
718,0,-3,3,-3,2,0,3
719,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0
724,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0
727,-1,4,0,-3,0,-1,2
728,0,0,4,-3,3,-1,3
729,0,0,0,0,0,0,0
730,-1,-1,0,0,4,0,4
731,-1,0,0,4,-3,-1,1
732,-3,0,-1,4,-2,-1,1
733,-3,-1,0,4,0,-3,1
734,0,0,0,0,0,0,0
735,0,4,-3,-1,0,0,2
736,-3,-1,0,0,0,0,0
737,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0
739,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0
741,0,0,0,0,0,0,0
742,0,0,0,0,4,-3,4
743,0,0,4,-3,-1,0,3
744,0,0,0,0,0,0,0
745,0,0,0,0,0,0,0
746,4,-3,-1,4,-3,3,1
747,2,-1,-2,3,-2,-1,1
748,-1,1,1,-2,0,1,0
749,0,0,0,0,0,0,0
750,-1,0,0,0,0,0,0
751,0,0,0,0,0,0,0
752,-3,-1,4,-3,3,-3,3
753,0,0,0,0,0,0,0
754,-3,3,-3,-1,4,-3,4
755,-3,-1,0,4,-3,3,1
756,0,0,0,0,0,0,0
757,0,0,-2,3,0,-3,1
758,-3,-1,0,4,-3,0,1
759,0,4,-1,-1,-1,3,2
760,0,0,4,-3,3,-3,3
761,4,0,-3,-1,0,0,5
762,0,0,0,0,0,0,0
763,-1,3,-2,-1,-1,4,2
764,0,0,0,0,0,0,0
765,-3,-1,0,0,0,4,0
766,0,0,0,0,0,0,0
767,-3,-1,4,-2,-1,-1,3
768,0,0,0,0,0,4,0
769,0,0,4,-3,0,-1,3
770,-3,0,-1,4,-2,1,1
771,0,4,-2,-1,2,-2,2
772,3,-1,-2,2,-2,-1,1
773,0,0,0,0,0,0,0
774,0,0,0,0,0,0,0
775,-2,3,-2,-1,3,-2,4
776,-1,-1,0,4,-3,-1,1
777,-2,0,3,-1,-1,0,3
778,-3,-1,0,0,0,0,0
779,2,-2,3,-3,-1,0,3
780,-3,2,0,0,-1,1,2
781,-2,-1,0,3,-2,2,1
782,0,0,0,0,0,0,0
783,-1,0,1,-1,1,0,0
784,-3,3,-3,2,1,-3,2
