CUSTNO,가구인테리어/잡화_고가_증감여부,가구인테리어/잡화_저가_증감여부,가구인테리어/잡화_중가_증감여부,가전/레저취미/멀티샵_고가_증감여부,가전/레저취미/멀티샵_저가_증감여부,가전/레저취미/멀티샵_중가_증감여부,교육문화/아동_고가_증감여부,교육문화/아동_저가_증감여부,교육문화/아동_중가_증감여부,식품/생활_고가_증감여부,식품/생활_저가_증감여부,식품/생활_중가_증감여부,의류/이미용_고가_증감여부,의류/이미용_저가_증감여부,의류/이미용_중가_증감여부,침구/주방_고가_증감여부,침구/주방_저가_증감여부,침구/주방_중가_증감여부
49,4,3,1,0,0,0,0,0,0,4,0,3,3,0,4,4,0,1
50,0,3,0,0,0,4,0,4,2,1,4,3,1,4,1,1,4,1
51,0,4,0,1,0,1,0,1,4,3,1,4,1,1,1,4,2,1
52,4,3,0,0,0,1,0,0,1,3,4,3,1,0,3,3,0,4
53,1,1,0,2,0,1,0,0,0,3,4,3,1,0,2,4,0,1
54,0,2,4,0,0,0,0,0,0,1,4,1,3,0,4,0,0,0
55,0,3,0,0,0,4,0,0,0,1,2,2,0,2,0,0,2,0
56,1,4,0,4,0,1,0,0,1,3,1,1,4,0,2,1,1,0
57,0,2,0,0,3,1,0,1,0,4,2,1,0,1,0,0,1,0
58,4,4,0,0,0,1,0,0,3,2,0,4,1,0,2,1,0,4
59,0,1,1,0,0,0,0,0,0,1,1,3,2,1,4,3,1,1
60,0,1,0,0,3,1,0,0,4,2,1,2,2,4,1,4,1,0
61,0,1,4,0,4,0,4,4,4,1,2,2,2,4,2,4,3,3
62,0,2,1,1,0,2,1,0,2,2,4,3,4,4,0,0,1,0
63,0,3,0,0,0,0,0,0,0,2,0,3,3,0,4,0,0,0
64,0,0,0,0,0,0,0,4,1,3,4,1,0,1,0,0,1,1
65,1,3,0,0,1,4,0,0,0,4,1,4,4,1,4,1,4,4
66,0,4,0,0,3,1,0,0,0,1,2,3,1,1,4,1,2,0
67,0,0,0,0,0,0,0,0,0,2,4,3,1,3,0,0,1,1
68,2,0,3,4,0,0,1,1,4,1,1,1,3,4,3,3,0,4
69,0,2,0,0,0,0,0,0,0,3,3,2,0,3,0,0,1,0
70,3,1,3,1,0,0,0,0,0,2,4,3,0,0,2,0,0,0
71,0,0,0,0,0,0,0,3,1,4,3,2,0,4,0,0,4,2
72,0,4,0,0,1,4,0,1,2,2,1,2,0,4,4,0,2,0
73,3,3,1,3,0,4,0,1,4,1,1,2,3,0,4,3,0,1
74,4,3,1,0,0,0,0,0,0,1,4,4,3,4,2,4,4,4
75,0,4,0,0,0,0,0,0,0,1,1,2,2,1,0,0,1,0
76,0,1,1,0,0,1,0,0,1,1,3,1,4,3,1,1,0,2
77,4,4,1,0,0,0,0,4,4,3,1,3,4,1,1,0,1,0
78,2,4,3,4,0,1,0,0,0,2,4,3,3,1,2,3,2,4
79,0,1,0,0,3,0,0,1,1,2,2,2,1,3,1,0,1,0
80,0,2,0,0,0,1,0,0,0,1,1,2,3,0,3,4,3,4
81,4,4,1,0,4,0,0,0,0,2,1,4,2,0,4,4,0,2
82,1,2,3,4,0,0,1,0,1,3,4,3,4,1,1,1,3,3
83,0,1,1,2,0,1,0,0,0,2,4,2,3,4,1,4,3,0
84,0,4,4,4,0,3,0,0,0,4,1,4,1,0,3,2,4,3
85,0,1,4,0,0,0,0,0,0,1,0,2,3,4,4,4,0,3
86,1,4,0,0,0,0,0,4,3,2,2,4,4,1,4,0,1,4
87,1,1,4,4,0,1,0,0,0,4,4,4,1,0,1,4,0,3
88,0,3,4,2,3,0,0,1,0,2,2,3,4,1,0,4,1,1
89,0,2,1,0,4,4,0,1,0,2,4,2,0,1,2,0,4,3
90,1,1,2,1,0,2,0,1,0,3,1,1,1,1,1,2,1,4
91,0,3,0,0,0,1,0,0,1,3,4,2,4,0,3,0,0,4
92,1,3,1,0,0,2,3,4,3,1,3,2,2,2,1,4,4,3
93,3,4,4,0,0,0,0,0,0,4,4,4,3,0,4,0,0,0
94,0,2,4,1,0,3,0,0,1,1,2,2,4,0,2,1,0,1
95,1,4,0,0,4,0,0,4,0,3,2,3,1,3,1,0,1,0
96,0,2,0,0,0,1,0,0,0,2,0,2,3,0,1,0,0,0
97,1,4,1,3,1,4,0,0,1,4,3,4,2,4,3,2,4,1
98,1,1,4,0,0,4,0,0,2,1,3,1,2,0,3,4,0,2
99,2,1,4,3,4,4,4,0,4,3,4,3,2,4,3,4,4,4
100,4,1,1,0,0,4,0,0,1,1,4,1,1,1,1,4,0,2
101,0,4,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0
102,1,1,2,1,0,3,0,0,0,2,3,4,3,3,4,1,2,3
103,0,4,0,0,4,0,0,0,0,4,3,3,0,0,0,0,2,0
104,0,4,0,0,0,0,1,0,0,4,4,3,1,2,4,0,4,1
105,0,0,4,0,4,1,2,3,0,3,1,3,0,3,0,1,2,0
106,1,3,1,2,0,1,0,0,3,3,2,1,1,4,2,4,4,4
107,0,2,1,1,0,1,0,0,1,3,4,1,3,0,1,3,1,4
108,0,1,1,0,1,1,0,0,1,2,1,2,4,0,3,1,0,1
109,0,0,0,0,0,0,0,0,0,1,2,3,0,4,0,0,0,0
110,0,2,1,1,0,3,1,1,2,2,1,2,1,1,4,0,2,3
111,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,4,0
112,0,4,3,0,0,1,0,1,4,2,2,2,3,4,4,0,2,0
113,2,2,1,1,4,3,4,4,2,1,3,2,1,4,3,3,1,2
114,4,2,0,3,0,1,0,0,1,3,4,4,2,4,1,4,0,0
115,4,2,1,1,0,1,0,0,0,2,1,3,3,0,1,1,0,3
116,0,3,0,0,0,0,0,0,0,2,2,4,1,4,1,0,0,0
117,1,4,0,1,0,1,0,0,0,4,2,4,2,4,0,1,3,0
118,3,3,1,2,0,1,0,0,1,2,4,1,1,0,2,4,0,3
119,4,2,3,0,0,3,0,0,1,2,4,4,3,0,3,3,4,3
120,3,2,3,0,0,1,0,0,0,3,4,2,3,1,1,2,4,1
121,4,2,0,4,0,0,4,0,3,2,2,2,4,1,4,1,1,1
122,0,3,4,4,1,2,3,2,3,1,4,4,4,4,4,1,4,2
123,0,1,4,0,0,0,0,1,4,2,2,3,0,2,0,0,4,4
124,0,2,1,0,0,1,0,0,0,1,0,3,2,4,2,1,0,0
125,0,1,0,2,0,0,0,1,0,2,1,3,4,1,2,0,4,4
126,3,0,4,0,1,1,0,0,0,1,2,3,1,2,3,0,0,4
127,4,4,0,0,0,1,0,0,0,1,4,4,4,4,4,0,3,0
128,0,1,0,0,0,4,0,0,0,1,3,1,0,3,0,0,0,0
129,0,4,0,0,1,0,0,1,0,3,3,1,0,0,0,0,3,0
130,4,2,1,0,0,3,0,0,3,2,2,2,1,0,3,1,1,1
131,1,3,4,0,4,4,0,0,4,3,4,3,3,0,3,3,1,2
132,0,1,0,0,1,0,0,1,0,2,3,3,4,2,3,0,0,0
133,0,4,0,4,0,4,0,1,0,1,1,2,4,4,4,2,2,0
134,4,2,0,0,0,2,0,1,4,3,2,2,4,4,3,1,1,4
135,0,3,0,0,0,0,0,0,0,1,1,2,4,0,4,0,0,1
136,0,1,1,1,0,2,0,0,1,2,4,1,1,0,1,1,0,0
137,3,2,4,4,0,0,0,0,2,4,2,3,4,1,2,1,1,4
138,1,2,0,3,4,2,0,1,0,4,4,3,4,4,3,1,0,0
139,1,1,1,0,4,0,0,0,1,1,3,1,2,1,1,0,2,1
140,2,4,1,3,0,0,0,0,0,2,1,1,1,0,1,3,0,4
141,0,3,0,0,3,0,0,0,0,1,3,3,0,4,0,0,3,0
143,0,1,0,0,0,0,0,2,1,4,2,2,0,3,0,0,4,1
144,0,2,0,0,2,0,0,0,0,2,2,2,0,1,1,0,2,0
145,1,4,3,1,0,1,0,0,0,3,1,1,4,1,1,1,1,2
146,3,1,3,0,0,4,0,0,0,1,0,2,3,0,4,4,0,1
147,2,1,3,4,4,1,0,3,4,3,4,2,3,1,3,4,1,2
148,0,1,0,0,0,0,0,0,0,2,2,3,0,4,0,0,1,0
149,1,4,0,0,0,1,0,0,4,2,4,3,1,1,1,3,0,1
150,1,1,3,0,1,0,0,2,0,1,4,2,1,1,1,0,3,1
151,0,1,4,3,0,3,1,0,4,3,4,3,3,1,1,3,3,0
152,1,4,1,4,0,4,0,0,0,2,2,3,4,0,4,1,1,2
153,0,2,0,1,0,1,0,0,4,4,2,4,4,0,1,0,0,0
154,0,0,0,0,0,1,0,0,0,3,1,1,2,0,1,0,0,1
155,4,2,2,0,0,4,0,0,0,2,4,3,3,4,3,2,0,0
156,4,4,4,0,0,2,0,0,1,2,1,1,3,0,4,2,0,1
157,0,3,4,2,0,4,0,0,0,2,1,4,4,0,1,1,1,0
158,0,1,0,0,0,0,0,0,2,1,2,1,3,0,1,0,0,0
159,4,4,1,4,0,4,4,4,2,1,4,3,1,4,2,4,4,4
160,4,3,0,0,1,3,0,0,0,2,4,3,4,1,2,1,3,1
161,3,2,2,1,0,2,0,0,2,2,4,1,1,0,1,1,0,3
162,4,3,2,3,4,1,0,1,1,3,2,3,2,1,1,3,4,2
163,0,3,0,0,1,0,0,0,4,2,2,2,0,1,4,0,4,0
164,2,0,4,2,0,2,0,0,0,1,4,4,4,1,1,4,1,3
165,4,1,4,4,0,3,0,0,4,4,4,4,2,4,2,1,0,4
166,1,2,4,0,0,3,3,4,1,1,4,1,3,3,1,2,3,2
167,1,4,1,0,0,0,0,0,0,3,4,3,2,4,1,2,0,2
168,0,3,1,3,1,1,4,0,4,1,2,1,1,1,1,1,2,1
169,0,1,0,0,0,0,0,4,0,4,4,4,1,4,0,0,0,0
170,0,0,0,0,0,0,0,4,0,4,2,3,1,4,0,0,1,3
171,0,3,0,0,0,4,0,0,0,2,1,3,3,2,2,4,0,1
172,0,3,0,0,0,1,0,0,0,1,4,3,4,1,1,0,1,4
173,0,4,0,0,0,1,0,4,0,2,2,2,0,2,0,0,3,1
175,4,2,0,0,3,1,0,3,4,2,3,3,0,2,4,0,3,4
176,0,0,0,0,1,0,0,0,4,2,2,2,0,0,0,0,2,0
177,0,2,1,2,0,1,0,0,0,2,4,3,3,4,4,3,0,4
178,0,1,2,0,0,3,4,0,0,2,3,3,0,4,1,0,3,1
179,1,3,4,2,0,1,1,4,1,3,4,3,3,2,4,0,0,0
180,3,4,0,0,0,0,0,0,0,1,0,3,3,0,4,4,0,0
181,1,3,3,2,4,1,0,0,2,2,4,2,1,0,2,3,0,4
182,0,2,1,2,0,1,0,1,0,2,2,1,2,4,4,4,2,2
183,0,3,0,0,0,0,0,2,4,2,3,3,0,3,1,0,3,0
184,0,2,1,0,0,1,1,4,1,3,2,1,1,4,1,2,0,4
185,0,4,1,0,1,0,0,0,0,2,1,3,0,1,0,0,3,4
186,4,4,0,0,0,1,0,0,1,3,1,3,2,2,1,4,2,4
187,0,1,1,0,0,4,0,0,0,2,4,1,4,0,0,4,4,4
188,0,4,1,0,2,0,0,1,0,2,4,3,0,0,1,0,4,0
189,3,2,1,2,0,1,0,0,3,2,4,4,2,4,1,3,0,2
190,1,3,1,0,0,2,0,0,0,4,0,3,3,0,4,4,0,3
191,4,3,2,2,0,1,0,0,0,4,0,4,3,3,1,2,0,3
192,1,2,1,1,0,0,0,1,0,1,1,1,3,1,3,0,1,1
193,0,2,0,0,1,0,0,4,0,2,2,2,0,2,0,0,2,0
194,0,1,4,0,4,0,0,0,0,3,3,2,4,2,3,0,1,0
195,0,4,0,0,4,0,0,0,0,4,4,3,0,1,0,0,3,4
196,1,4,3,1,1,1,0,2,4,2,3,2,1,1,2,4,2,3
197,4,2,2,1,4,4,0,4,3,3,4,4,1,3,1,4,2,2
198,0,3,0,4,0,2,0,4,0,4,3,3,2,4,1,4,4,2
199,4,1,0,0,4,1,1,4,0,4,3,4,0,3,1,0,1,0
200,0,3,0,0,0,0,0,0,0,2,2,2,1,3,0,4,4,4
201,1,3,1,1,0,0,0,0,1,1,4,3,2,4,2,1,4,3
202,4,3,3,1,0,1,0,0,1,2,2,2,3,4,2,3,1,4
203,0,1,0,0,0,0,0,4,0,3,2,2,0,3,0,0,1,0
204,0,1,4,0,1,2,0,0,0,2,4,4,1,2,2,0,3,0
205,0,4,0,0,0,1,0,0,0,3,1,2,3,1,2,4,2,0
206,0,2,0,0,4,1,0,4,4,2,4,2,4,4,1,3,0,4
207,0,1,0,0,1,0,0,1,0,3,2,1,0,1,0,0,2,0
208,2,2,2,1,0,2,0,0,0,1,4,4,2,1,3,1,0,0
209,1,2,4,1,0,1,0,0,1,1,1,3,3,0,1,0,0,4
210,0,2,0,0,1,0,0,2,0,1,4,1,0,4,4,1,4,1
211,4,1,0,0,0,0,0,0,3,2,1,3,1,0,0,0,1,0
212,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,0,4,0
213,0,3,3,1,4,4,0,1,4,2,3,3,2,4,1,1,4,3
214,0,4,0,4,0,0,0,0,0,2,2,2,4,0,4,1,3,2
215,0,4,4,0,1,1,0,2,4,2,4,3,2,4,2,4,4,3
216,0,4,4,0,1,0,0,0,0,2,2,1,0,4,1,4,4,0
217,0,2,0,0,1,2,0,1,2,2,4,1,1,0,4,4,0,0
218,2,3,3,1,0,1,0,0,4,2,1,4,1,0,1,1,0,3
219,0,2,2,0,1,2,2,3,1,2,2,3,1,2,1,1,4,0
220,0,4,0,0,1,4,1,1,4,1,2,2,0,1,0,0,1,4
221,0,1,1,0,4,1,0,4,3,3,4,2,1,3,2,0,4,1
222,1,1,2,4,0,3,4,0,3,3,1,3,4,3,4,2,3,4
223,1,3,4,1,0,0,0,0,0,1,0,3,4,0,1,2,0,2
224,4,1,2,4,0,4,0,1,1,2,4,4,4,1,2,3,0,0
225,4,4,0,3,0,2,0,4,0,2,4,4,3,4,3,3,0,2
226,0,0,0,0,1,1,0,0,1,1,3,1,0,4,0,3,1,3
227,0,1,0,0,3,0,0,0,0,1,1,1,0,1,0,0,1,0
228,0,1,0,0,4,0,4,4,0,3,4,3,0,2,0,0,3,0
229,1,4,4,2,0,0,0,0,0,2,0,3,2,0,3,4,0,4
230,0,4,4,0,0,4,0,0,1,3,1,3,0,0,2,4,0,3
231,0,4,0,0,0,0,0,0,0,1,3,2,0,1,1,0,1,0
232,0,1,0,0,2,0,0,0,0,2,1,3,0,0,0,0,1,0
233,0,0,0,1,0,0,0,0,0,3,1,2,0,4,0,1,2,0
234,1,3,4,0,0,0,0,0,3,4,1,2,3,0,1,1,4,1
235,4,2,3,0,1,0,0,0,1,4,1,3,2,0,1,2,1,4
236,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4,0
237,3,1,1,3,1,0,2,0,1,4,3,4,3,0,1,1,2,4
238,1,4,1,0,3,0,0,0,0,2,0,1,1,4,1,0,0,2
239,3,3,3,2,0,1,0,0,4,2,1,4,2,1,3,4,0,2
240,0,1,1,0,0,1,0,0,0,2,0,1,2,0,1,0,0,0
241,0,1,2,4,0,1,0,0,4,2,1,2,4,0,3,4,0,0
242,0,1,1,0,3,3,0,1,1,2,2,2,0,3,4,0,2,3
243,0,0,0,0,1,0,0,0,1,3,4,3,0,1,1,0,0,0
245,0,3,0,0,1,1,0,0,0,2,3,1,1,0,1,3,3,3
246,4,4,1,2,0,4,0,0,4,4,2,3,2,1,1,0,0,3
247,4,2,0,0,0,0,0,0,0,2,3,1,3,2,1,0,1,0
248,0,2,0,0,4,4,0,1,4,1,3,3,4,1,4,1,3,4
249,4,4,1,1,0,2,0,0,0,1,1,4,3,1,4,3,0,1
250,1,4,1,1,0,4,0,0,3,3,2,3,3,3,2,2,0,1
251,0,2,4,4,0,1,0,0,4,4,4,3,4,1,4,2,0,0
252,0,4,0,4,0,0,0,0,1,3,1,1,2,0,1,1,1,4
253,0,4,2,2,0,2,0,0,4,3,4,1,2,0,3,3,0,3
254,3,3,0,0,0,1,0,0,0,1,0,1,3,4,3,1,1,2
255,2,3,1,1,4,4,0,4,3,4,4,2,1,0,3,0,0,0
256,2,4,0,1,1,2,0,0,2,2,2,2,4,1,1,4,4,4
257,0,2,1,0,4,4,0,0,1,2,2,2,4,1,4,0,4,0
258,3,4,0,2,0,0,0,0,0,1,2,4,3,0,4,4,1,1
259,0,1,1,0,0,0,0,2,0,2,3,3,0,3,1,0,1,0
260,0,3,0,0,0,0,0,0,0,1,1,1,0,4,1,0,4,0
261,0,2,3,0,0,4,0,0,2,2,1,1,1,1,3,0,0,4
262,0,3,0,0,0,0,0,4,2,2,1,3,1,0,4,0,0,0
263,0,0,0,0,0,0,1,1,0,2,3,2,0,4,0,0,4,4
264,0,4,0,0,4,0,0,0,0,2,2,2,1,1,2,0,1,1
265,4,1,1,3,0,2,0,0,4,2,1,2,3,0,1,0,1,0
266,1,2,2,4,0,4,0,0,0,3,4,4,1,0,2,4,0,3
267,3,2,2,0,0,4,0,4,2,2,4,3,4,1,1,2,4,3
268,3,1,1,1,0,2,2,4,3,1,4,3,3,4,1,3,0,2
269,4,3,4,0,4,4,0,0,4,1,3,3,3,2,4,0,2,0
270,0,2,0,0,4,0,4,3,4,2,2,3,0,4,4,0,1,4
271,4,1,0,0,0,1,0,0,0,3,0,1,2,1,1,3,0,3
272,0,3,3,0,3,0,2,1,4,1,3,2,4,3,4,4,2,2
273,3,2,4,0,0,1,0,4,2,1,4,2,3,4,4,2,0,2
274,0,2,0,0,0,0,0,1,4,2,4,3,0,3,0,0,3,4
275,1,1,1,0,4,1,0,4,1,1,2,3,4,3,1,4,3,4
276,0,3,4,0,4,0,0,0,0,1,2,1,4,0,4,0,4,4
277,0,1,1,0,0,2,0,0,1,2,4,3,2,0,3,4,3,1
278,0,0,0,0,2,0,0,0,0,4,2,2,0,0,0,0,0,0
279,4,3,1,0,0,0,0,0,1,1,1,1,2,0,2,4,0,2
280,1,1,1,1,0,1,0,0,0,1,1,3,1,0,2,4,0,1
281,4,4,2,1,4,3,1,0,4,4,2,4,1,0,1,0,1,1
282,1,4,2,1,0,0,0,0,0,4,4,3,4,4,2,4,0,0
283,1,1,1,1,0,1,0,0,3,2,0,4,1,0,4,0,0,0
284,0,3,0,0,3,0,0,1,0,4,1,3,0,1,0,0,0,0
285,0,2,0,0,4,4,0,1,3,1,2,2,1,4,4,0,0,4
286,0,3,3,1,0,1,0,0,0,1,2,3,2,2,4,1,2,1
287,0,0,0,0,0,3,4,1,3,2,4,3,0,4,1,0,2,0
288,0,0,0,0,0,0,0,0,0,2,2,2,3,2,1,0,3,1
289,0,1,4,0,0,0,2,2,4,2,2,2,0,0,4,0,0,0
290,0,1,4,0,3,4,2,1,3,3,3,2,0,1,1,0,1,4
291,0,1,0,0,0,0,0,4,0,3,1,1,1,1,0,0,1,0
292,1,3,3,1,0,3,0,0,1,2,0,3,2,3,3,4,0,1
293,0,1,0,0,0,0,0,0,0,1,4,4,3,4,4,0,4,4
294,1,1,2,1,1,1,0,0,3,1,1,1,4,0,2,1,4,1
295,4,1,4,3,0,1,0,0,0,2,4,3,4,0,4,4,0,2
296,0,3,4,4,0,1,0,0,4,2,4,4,2,0,4,4,0,4
297,0,4,3,1,2,1,0,0,1,2,4,4,2,4,1,4,4,0
298,2,3,1,4,3,3,0,0,0,3,1,3,2,1,3,4,4,3
299,0,4,0,0,0,4,0,0,0,2,4,3,4,4,4,0,0,4
300,0,4,0,4,4,4,0,2,4,1,3,2,0,2,0,0,3,0
301,1,2,4,1,0,2,0,0,0,1,1,2,3,1,4,0,1,2
302,0,1,1,0,1,0,0,0,1,1,4,1,1,0,1,3,1,1
303,0,4,4,4,0,1,0,0,0,2,2,1,4,4,1,4,4,0
304,2,1,0,1,0,4,0,0,0,1,3,2,0,0,2,2,1,0
305,1,1,4,3,1,2,0,0,3,1,2,1,1,0,3,4,0,4
306,0,3,2,4,0,1,0,1,4,4,4,2,3,0,1,1,0,0
307,4,3,4,0,0,1,4,0,3,3,1,2,1,1,1,3,2,3
308,1,3,1,2,0,4,0,0,4,2,4,2,2,0,2,1,0,3
309,4,3,2,0,0,2,1,0,4,2,0,1,3,0,4,2,0,1
310,0,4,0,0,0,0,1,4,0,4,4,3,4,2,1,0,4,4
311,1,2,0,0,0,1,0,0,4,3,2,2,2,0,4,4,0,4
312,0,2,1,0,3,0,0,1,0,1,2,2,0,0,0,0,3,0
313,4,1,1,3,4,2,0,3,1,1,2,1,2,2,1,2,2,4
314,2,3,3,0,0,0,0,0,1,1,1,3,1,0,3,1,0,2
315,1,2,3,3,1,3,1,1,3,1,1,2,1,0,1,3,2,3
316,1,4,4,1,0,0,0,1,1,3,1,2,3,4,1,4,1,1
317,0,3,1,0,2,1,0,0,0,2,3,3,1,1,3,2,2,1
318,1,1,0,0,0,0,0,0,4,1,4,2,2,0,1,4,0,1
319,1,0,1,4,0,2,0,0,4,1,0,1,2,0,3,0,0,1
320,1,3,4,0,0,4,0,0,3,3,2,4,4,1,3,1,0,1
321,0,1,4,1,0,2,0,0,0,4,3,2,3,4,2,2,2,2
322,0,1,0,4,0,1,0,3,4,4,3,2,1,2,2,2,4,4
323,1,4,1,3,0,3,1,3,3,2,2,1,3,4,4,0,4,1
324,4,4,1,3,3,4,3,4,2,1,4,3,3,1,4,2,1,3
325,2,4,0,0,0,2,0,0,4,2,4,1,1,4,2,4,4,4
326,3,1,4,4,0,4,0,1,4,4,4,4,4,1,3,4,2,3
327,4,2,3,2,0,2,0,0,2,2,1,2,1,0,4,4,0,3
328,4,3,4,1,0,3,0,0,4,4,0,4,1,1,4,0,0,4
329,1,4,0,1,0,0,0,0,0,4,4,3,3,2,2,0,3,1
330,0,4,4,0,4,0,0,4,0,4,4,4,0,4,0,0,4,4
331,0,4,4,0,1,4,0,0,0,1,2,2,0,1,4,2,3,4
332,4,3,1,1,4,1,0,1,1,3,2,1,3,1,4,2,2,2
333,1,2,1,0,0,0,0,0,0,2,2,2,3,2,4,1,2,2
334,0,2,4,4,0,1,0,0,1,1,0,1,2,0,3,2,0,0
335,4,4,3,0,0,4,0,0,1,3,4,4,1,0,3,4,4,3
336,0,3,0,0,0,2,0,1,4,3,4,2,0,2,3,0,1,4
337,4,4,3,2,4,1,0,0,4,3,4,4,4,4,1,4,4,2
338,0,0,4,0,4,1,0,4,1,4,3,4,0,2,4,0,3,1
339,0,4,0,0,0,3,0,3,0,1,2,4,0,4,4,0,3,4
340,0,4,4,0,0,0,0,0,0,3,4,2,3,1,3,3,0,4
341,3,1,2,4,0,1,2,4,2,1,3,1,1,4,1,4,4,2
342,0,3,0,0,3,0,0,0,0,2,3,3,0,1,0,0,4,0
343,0,2,4,4,4,2,0,0,0,4,4,3,2,0,4,4,0,0
344,0,1,4,0,0,1,0,0,0,1,1,1,1,1,2,1,0,1
345,1,3,3,0,0,0,0,0,0,3,1,1,2,4,1,4,1,1
346,0,3,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0
347,4,2,1,4,1,4,1,1,1,2,2,2,3,3,4,4,3,3
348,0,4,0,0,4,0,0,0,0,2,3,1,0,0,0,0,2,0
349,0,3,1,2,0,3,4,3,1,4,1,3,3,2,4,2,4,4
350,0,1,0,0,4,0,0,4,0,1,3,1,0,4,1,4,2,0
351,4,4,4,0,0,2,0,0,1,2,4,3,3,4,4,1,1,2
352,4,4,1,0,0,2,0,0,1,3,1,1,3,3,2,1,1,4
353,0,4,0,0,0,0,0,0,0,4,4,4,0,4,0,0,3,4
354,0,4,0,0,4,0,0,0,0,2,1,1,0,4,0,0,1,0
355,1,1,3,4,4,1,0,0,0,1,2,2,1,1,3,2,3,0
356,1,3,1,1,1,2,0,0,3,2,4,1,1,4,3,3,0,4
