CUSTNO,purchase_sum
172,22677792.45150658
173,12217697.69760188
175,35224468.70065975
176,8103437.673351373
177,93485344.09682517
178,19893065.664156355
179,49902610.2204455
180,52828012.04000543
181,66160480.19817506
182,84051456.42797692
183,13509076.241256902
184,37089389.01992011
185,10987841.034122212
186,82170979.07686134
187,20732160.959476568
188,15248326.330748668
189,102877509.37343054
190,49030326.8526641
191,88785535.758199
192,39747829.11447501
193,10452292.84769907
194,15018342.647195412
195,7093870.201167662
196,30947339.05200399
197,98992581.7075919
198,13983509.164587643
199,18080421.406901225
200,12578586.883017812
201,121496977.83224377
202,100727057.1384038
203,6774409.3942297315
204,24174769.464452736
205,24850398.838400587
206,16815246.2923211
207,8062518.737573542
208,72319270.07518311
209,18006742.693688143
210,6295441.262008417
211,22404941.814708263
212,21006879.125528153
213,47131972.90191717
214,21118217.47506031
215,14346440.689936431
216,11897462.776128296
217,14513757.67103836
218,211384061.4079215
219,49441240.18948842
220,19783592.73464209
221,10618726.394041868
222,78991756.68071543
223,135286186.12149572
224,179828227.08370316
225,167359121.56512436
226,11175731.938760146
227,5998258.809154739
228,12711222.633452328
229,75363794.95284669
230,14407764.615055557
231,10962079.26599448
232,9959759.174967596
233,21129649.147227574
234,34680253.531902
235,42042415.51752087
236,8703347.231532356
237,64622763.761960715
238,16398240.278923217
239,157014415.6221366
240,20770291.13125034
241,70376909.52093889
242,9871134.393757962
243,7632905.296233932
245,26853295.692985438
246,73837124.11105506
247,24141748.178699985
248,34469975.889831014
249,146596512.09052977
250,126396124.53091012
251,53616703.25508134
252,11394051.631232498
253,79838714.4326783
254,133432381.25694335
255,123194201.59775545
256,227140021.00901487
257,16182819.720665898
258,386556172.7893849
259,35207663.35894985
260,12968900.842285218
261,31201653.30217125
262,36954954.323865
263,6867237.017010507
264,11695214.842478992
265,202257538.32524776
266,44454490.18861676
267,48652529.06717135
268,53733208.58694259
269,75372314.5347517
270,9050252.991060127
271,75898009.73237428
272,31331953.271286283
273,72963267.04056498
274,6045458.838426353
275,56959139.41160695
276,11434752.070364546
277,19087635.50007681
278,5428755.638103456
279,56369462.044258304
280,68299444.70253745
281,92852299.6679706
282,50041309.29285262
283,142829620.25675502
284,2922220.2026081267
285,6010466.044783743
286,31090321.596947648
287,9378951.605685074
288,36215984.955024585
289,18023721.955252577
290,12353118.588188933
291,12623324.068320058
292,83804555.30314225
293,24417613.782239262
294,62193206.03272688
295,35612366.05012169
296,78922595.10137281
297,62204187.847935095
298,144321071.9035665
299,21577303.88169612
300,24235131.824152865
301,39230829.45854117
302,38120143.7510809
303,31462179.36994394
304,140302243.37017244
305,130895485.99738823
306,60541776.310933754
307,57908187.68329535
308,24825166.36191308
309,85033983.7071263
310,21235506.27860861
311,40868142.526780054
312,15342161.24334544
313,75732390.32115693
314,128315666.17177573
315,224958052.4067933
316,126387733.64705701
317,35173829.705055326
318,26899136.62838061
319,58154170.709014215
320,21960870.502935745
321,79425072.30611235
322,26127200.06352872
323,78152651.21697272
324,91096790.60381578
325,41380647.82519014
326,45392493.16226519
327,82693065.380147
328,51375141.67529754
329,63482360.72661864
330,8245669.415620032
331,10952064.37554859
332,47144023.0382795
333,33994516.28995286
334,36225144.80489306
335,111830776.43902722
336,14505930.910907015
337,162865248.37559283
338,16244822.493387323
339,28537804.547709264
340,37047340.20704565
341,122352645.54855978
342,10687217.41542741
343,49351978.80830985
344,29877840.03146577
345,75522498.6748778
346,11496502.462049648
347,18317419.878995337
348,12916782.522690026
349,70446725.43467426
350,15691936.931741087
351,43885677.86218572
352,187598124.73685455
353,12063917.931838606
354,11081992.14682028
355,75316057.30469097
356,49790668.540539496
357,11199212.364245446
358,66667450.79164593
359,32560451.97057053
360,29852078.664323773
361,97905465.95486599
362,17488639.37042082
363,195059811.50090855
364,17134769.463064976
365,105675400.3753531
366,8154537.695516414
367,111051891.62112515
368,61134396.20977606
369,57881700.819674715
370,12059364.963110982
371,16189973.541612357
372,11240737.55086998
373,89645472.27290395
374,51916775.87650437
375,166401824.64618096
376,4795081.386006936
377,83511092.48337248
378,70479442.35958818
379,26351796.532505356
380,6852450.750567148
381,27513330.6829695
382,74603235.09796157
383,59190146.36290072
384,8880733.749550432
385,10414532.471834794
386,40922088.472191215
387,115190100.27906403
388,183837971.0965502
389,17536041.15962265
390,11888613.924857868
391,127737775.83649507
392,10129576.035990601
393,94243888.56585912
394,15644817.77215548
395,15835978.159735834
396,14436260.2096871
397,20344415.986470602
398,99695333.32504967
399,152113018.52330923
400,139626046.91816297
401,136032360.28292158
402,32826218.788934007
403,8256873.000899803
404,53838370.70640543
405,22801655.01311507
406,9460812.374700962
407,130958280.96943735
408,708218584.9194643
409,77769497.96380953
410,7034097.993431224
411,57832728.05724951
412,47699851.48326225
413,87915848.58259022
414,76974601.68753636
415,9256877.378603293
416,152152489.3899802
417,40031648.39625633
418,17929241.429977193
419,51172628.4544131
420,28086275.55122436
421,85560877.0782286
422,14721172.463037401
423,45436078.826095
424,3241684.287680364
425,17232575.08712427
426,51986704.4158415
427,23376288.600114167
428,161467587.70452553
429,51329216.39504894
430,95144452.53789961
431,18202714.80884172
432,47370010.18515204
433,85113974.52584563
434,50980372.66290792
435,24443948.665871337
436,76041146.11116458
437,5001878.153749173
438,80420586.3204204
439,9190987.14846277
440,68280914.77239126
441,49933621.64825952
442,32945555.020581156
443,103872556.09232302
444,147865051.94252872
445,8465109.153165862
446,18980037.531963382
447,29672569.66414602
448,75578100.29601386
449,69450008.27581361
450,135653619.33150443
451,27522392.953350242
452,15547716.25187441
453,60715695.30441158
454,14538776.50958057
455,132245242.84140682
456,62818817.67838454
457,153325142.4528941
458,11828326.945702113
459,30793244.283393256
461,9499342.549062433
462,71512958.057073
463,59930232.35307985
464,20864081.48115947
465,21407998.004597314
466,201203382.75068432
467,20942288.020517044
468,54613763.05033704
469,25232197.005007
470,8399183.82126046
471,136484775.24937698
472,8807005.463508792
473,13184155.49732526
474,105957712.35442686
475,28086566.110659413
476,13555932.446594846
477,211234011.10556006
478,243159573.08891082
479,10037948.403625447
480,106136808.83718635
481,71670312.70135519
482,10375570.584537735
483,8116719.068811134
484,42285820.94415171
485,123473113.74072902
486,137364463.9917584
487,12160378.496015642
488,12648780.98572771
489,65439720.82819312
490,28621726.821329262
491,14944815.610534478
492,69924209.31546193
493,13848826.055588622
494,52019526.41934496
495,6551382.975227358
496,21340379.488160964
497,12534946.590019744
498,12157151.873394072
499,6833867.146583297
500,18530072.800730534
501,127177701.79573074
502,60879237.89120257
503,95513004.78577526
504,103578354.9873546
505,249715429.7715447
506,32520102.747675966
507,35256555.88620347
508,165446727.13948506
509,47394394.044267446
510,79833714.15927874
511,8954165.552479962
512,8137945.007062163
513,87337436.87108992
514,17037292.848432485
515,64155468.492892586
516,10333689.749910135
517,49260604.80479045
518,133215164.9603419
519,41050513.00396469
520,60356793.15366159
521,163320396.40691936
522,26872958.676079057
523,17183154.585687645
524,15931973.21115549
525,42117671.039664365
526,58092627.57480269
527,8923328.921998788
528,4403695.69444079
529,237390560.04171732
530,18260574.66419479
531,36170800.86492206
532,85745623.42134938
533,10878266.428256506
534,20111886.967545513
535,150383108.9822039
536,6439258.49558997
537,8094377.391536837
538,55991780.52796437
539,37599870.33435062
540,12909733.086243484
541,16022237.690317888
542,15748547.679067757
543,23432243.56175998
544,81481718.9959223
545,57134816.34644084
546,159197439.59775174
547,144486875.7701462
548,44254345.243211344
549,44611286.0175692
550,45136615.742597714
551,14648947.981314622
552,20253713.619750757
553,52163044.34846684
554,106883612.07222366
555,20943636.49290417
556,15216728.484539513
557,13827202.822364753
558,14065888.769875418
559,113694747.75480705
560,98989704.64151704
561,76850320.83413957
562,533282329.66030645
563,20593553.88069401
564,85194138.72830254
565,101939662.84215608
566,77156701.33591807
567,65246429.02034414
568,6342299.173678342
569,30998579.269029476
570,7230123.070615811
571,66387249.65344715
572,77081017.91254492
573,36865592.249370694
574,50488339.31843504
575,30260353.002652332
576,68181063.9949501
577,49446522.721508205
578,108349036.01302548
579,2315112.1092365175
580,14978407.414737074
581,8706763.646665718
582,12591349.344686368
583,6068979.835474814
584,27929046.076457534
585,219323293.67624703
586,65891256.320518866
587,89757863.510705
588,111514036.3919551
589,30704645.936871298
590,9163343.680621386
591,6270234.955884959
592,17292694.937271457
593,47385052.08316296
594,204432825.72052303
595,24304770.478520934
596,74810907.74694712
597,45810566.41385368
598,10233942.91582618
599,48129652.4208772
600,30376160.211704727
601,27433658.654640142
602,74174525.73624927
603,59684848.967290014
604,26076536.851469785
605,5049009.727346317
606,77248733.35818468
607,18491438.79526709
608,125049140.40144181
609,6492260.588296522
610,221759349.98111022
611,59554133.368914835
612,50505460.700447254
613,65886524.61801093
614,66065753.28924583
615,26045034.277032927
616,8835551.223119622
617,100066267.70391944
618,68468929.47236612
619,15024638.694517223
620,99295612.79604094
621,7062433.384709032
622,50256904.85473917
623,12048350.529841457
624,11204196.916909134
625,10063646.154133845
626,8682365.063303025
627,30629453.6912764
628,27453014.418936014
629,21126833.813816883
630,35865705.58868721
631,64609624.07149006
632,23229482.158630755
633,123267082.36763766
634,35089277.81221423
635,144849360.05614114
636,23524451.460536744
637,61216509.94156342
638,65998309.19127287
639,51244354.94641691
640,134853791.38901293
641,172030438.491911
642,54330372.265401445
643,33220854.737340316
644,18058568.034826037
645,248300352.65220857
646,21010519.90307768
647,11837888.621073935
648,42210313.77942023
649,13347893.618682738
650,6529270.67692237
651,29137707.630536508
652,58826012.74759954
653,11445655.88426007
654,66057849.907239854
655,9007451.838573607
656,108908690.9982087
657,73940808.2599808
658,22049075.93110908
659,7564823.596765803
660,11569722.168344421
661,42095388.554080665
662,12149945.277426526
663,9563161.25897841
664,134903241.12513393
665,27681735.14258062
666,9326226.093596084
667,48696188.22810796
668,11554577.418761129
669,53956316.9049018
670,266158275.25923172
671,12700097.403288791
672,54973240.00471161
673,75184368.9621982
674,85436322.59404461
675,21411753.726103842
676,234025186.7744403
677,22620267.682386104
678,10192013.134845326
679,14241302.242272304
680,21206844.421346664
681,27630833.312068924
682,11624718.22472752
683,14691834.17421228
684,12982079.56363545
685,15643059.12170211
686,37426028.176335655
687,26588257.641212963
688,7758042.184576098
689,60795368.44693737
690,72214998.98854335
691,63431620.02757608
692,23056151.939994838
693,129920187.68385208
694,90917385.8592939
695,41293492.90228202
696,17508054.72973819
697,34455143.838344745
698,69677285.92381397
699,11123163.715954399
700,11099721.202518785
701,186199905.75649995
702,8258140.8004835695
703,31654942.466600902
704,73752239.08326727
705,13474084.60425803
706,11521319.620230766
707,53551338.141232595
708,114470217.38585715
709,41783960.5840719
710,18578108.187748186
711,56267811.34306734
712,62016319.267274864
713,94456108.72354364
714,11317394.604723636
715,107377511.69574772
716,51586477.6716994
717,78254131.36212455
718,39676211.234639786
719,13408597.110461427
720,21432810.106681403
721,10575639.686684106
722,15151756.765937023
723,16188064.99872192
724,6221963.1158070015
725,13062713.533834923
726,20552544.0459264
727,83837534.6480732
728,103355245.37572974
729,43364445.71680574
730,72936516.3292598
731,18362282.30460399
732,84991692.71593013
733,59628968.27102555
734,10126482.942374157
735,85526036.2469948
736,52701613.73289267
737,14181524.857134635
738,11349952.14060341
739,10358254.2143816
740,13934401.984162558
741,13508025.561384048
742,47714180.52478834
743,16079855.031131467
744,17281076.88897223
745,28911790.837176595
746,56385060.15991971
747,131383562.55222678
748,161479713.87167284
749,15450661.355960663
750,15141727.825899651
751,6549131.354532131
752,44936085.1322757
753,11027069.16804158
754,56148254.94868089
755,63576400.58964972
756,21312776.830559988
757,115942766.2253035
758,111235678.18182144
759,41402636.89818867
760,12445139.914765999
761,20228515.539326582
762,12220327.249112697
763,22062103.541269857
764,26608408.54662783
765,59697752.881548986
766,32386904.559782922
767,22389014.100734405
768,11278029.542931939
769,34595271.083830245
770,102234663.37463109
771,33399440.42172002
772,76019806.53551173
773,26373371.83894104
774,23706338.957576305
775,32426676.732026324
776,27916881.95446003
777,21733216.056082115
778,22122461.49468099
779,92717544.17004426
780,68189312.94519098
781,80407118.05834761
782,11000065.92753414
783,74312548.27329323
784,73038337.72399174
785,46142600.50592661
786,63780805.01465994
787,23806540.153931547
788,31727430.815677986
789,53320174.13290708
790,9451218.959586931
791,34789571.388051026
792,99937701.39797698
793,11252576.134618286
794,76947485.70036487
795,82029615.28126994
796,43806103.99029325
797,91256788.91813496
798,3806627.2711550337
799,23799806.529710088
800,55243621.07522073
801,56776428.20938993
802,21906932.62206891
803,17553721.11175859
804,9242648.249317924
805,7106525.12464007
806,63637966.92215967
807,38548974.458544984
808,49788232.56598262
809,25497064.606368408
810,122170359.22769634
811,73096043.56366122
812,52711619.511361584
813,12191250.853784513
814,87159941.38173702
815,21252568.383686665
816,85870730.12327464
817,130843799.25332582
818,38444579.0500245
819,116223166.58108675
820,10808527.081431556
821,11613538.482374787
822,16832462.718255747
823,175061471.61477017
824,30432533.121029973
825,45526706.214423895
826,7670301.5614679055
827,60030874.891836636
828,51264563.434523635
829,10887805.12796126
830,16441004.527535921
831,6629400.021053868
832,110201588.73178008
833,18760522.266850166
834,17702007.83532037
835,64923268.62823718
836,5060031.734495464
837,10210300.000199946
838,62665787.737030946
839,37207911.3825255
840,372959946.8894472
841,306606743.03940994
842,126982932.76234084
843,10866051.229833473
844,49401883.781585604
845,60663188.718613714
846,62526726.43576746
847,53595018.54095849
848,75346752.04595661
849,13427305.275745181
850,41830742.61654765
851,4801784.646862932
852,42335608.57395727
853,13348462.484488357
854,21153857.819541026
855,47966128.604732975
856,56396056.64721602
857,83792347.12444964
858,112747459.38899015
859,66846865.2153195
860,15845059.046453744
861,174476239.2182899
862,9901480.146792455
863,343827132.2284584
864,21354043.91889461
865,89523973.5161397
866,42705182.86226549
867,31907973.231202003
868,18742413.906465873
869,18357411.76263065
870,48270166.38815008
871,14159916.609922383
872,7020014.080966043
873,77998155.89015745
874,59473235.52627265
875,63569503.16216399
876,16813714.78850455
877,13539457.449777689
878,109732242.84990172
879,72953280.44271672
880,11787091.953878019
881,12123348.506138058
882,120575260.72200453
883,56887197.29854383
884,174605572.76960194
885,26993277.196006726
886,157704530.67961055
887,57844793.316285625
888,47852246.648335986
889,16631349.171136249
890,74245246.79298279
891,46329944.97468397
892,5299349.6096383035
893,29243434.207748942
894,81395906.87706089
895,24442442.558962326
896,5117593.201845931
897,171342437.2173288
898,16342479.718883792
899,110010181.28712492
900,12493672.387569828
901,11277879.873903604
902,10102298.854311084
903,44032777.803342804
904,31789019.69394087
906,17418476.571328312
907,38536008.10630278
908,5325617.733515098
909,14419243.398209963
910,7797549.402195263
911,141012853.7521707
912,32643584.537280463
913,48190925.41826909
914,49826491.012651056
915,114752615.99356827
916,71960084.52456899
917,12159760.064830314
918,73488989.09056456
919,118129616.48727764
920,32926915.372056592
921,10750087.274892267
922,16683754.309783332
923,43006089.16576565
924,99768503.64338781
925,66837516.41103132
926,14284243.612086656
927,116410898.64413458
928,118128226.83749892
929,69621262.09244826
930,15585099.877196282
931,66656888.605309375
932,8651555.676574135
933,12572831.83893242
934,163783244.2940969
935,29256228.40241874
936,177944186.81877404
937,102171768.70826778
938,9361130.50883234
939,120930461.20909853
940,15233914.41410115
941,87468224.60201097
942,16201004.347082896
943,72507366.38981931
944,64538999.24890962
945,19859479.207965717
946,108543930.96495943
947,655345790.5425736
948,16216421.260811472
949,62694947.076165944
950,10908636.121540207
951,22325899.325218357
952,60697471.80978764
953,117096048.2609038
954,49556709.93361414
955,297102362.7118415
956,9740426.159032315
957,98731422.14220297
958,49454337.22610208
959,49208759.09941965
960,13570571.739971314
961,12623758.18188605
962,84103185.90208115
963,59306030.334506914
964,15453582.093170589
965,84268819.60290553
966,80347229.1635731
967,7750984.880448712
968,16510147.78022858
969,14224733.843064964
970,4047345.8560688104
971,52048962.740790375
972,94308863.3597459
973,50340330.527561784
974,73706570.92025574
975,31458099.653835617
976,9007481.069265494
977,187729965.32642242
978,68238111.05126747
979,10017262.253044117
980,46395456.16333113
981,15787216.077994172
982,191161093.4998914
983,24391059.034078613
984,28310691.09857461
986,108455533.25880843
987,3635623.6506482856
988,11023754.420665963
989,172370027.66657007
990,65566339.51890948
991,70732902.09631416
992,84027308.31037623
993,114006708.90913993
994,72866175.34538038
995,24982838.602002047
996,75355994.94189928
997,131851515.84964517
998,49891066.21050129
999,121073222.50702792
1000,14952541.251480108
1001,35682510.93712092
1002,205278370.4450464
1003,8049086.359345057
1004,42242347.122635335
1005,72077708.48797804
1006,77177572.34331258
1007,3568796.1214281777
1008,109942651.95183244
1009,7461410.08277948
1010,12979611.470195174
1011,135548959.1990484
1012,10657975.504332006
1013,112721711.9611184
1014,91776821.86893709
1015,18954791.286550734
1016,29699456.43288086
1017,42171305.28386447
1018,109171162.28615767
1019,19468422.377462324
1020,27994667.96749305
1021,9203671.859227905
1022,22634684.959535874
1023,24349465.10315407
1024,16596977.705582267
1025,66518559.70712962
1026,59451960.39969419
1027,43949995.22565569
1028,49187785.64295613
1029,75845737.1207393
1030,8143649.040882725
1031,7278758.340058344
1032,33060029.858280964
1033,94167622.36924541
1034,14126337.348215334
1035,9167167.034445733
1036,20011401.83153491
1037,21665556.4119226
1038,34271284.81797289
1039,63743047.59818863
1040,99114688.79554188
1041,7521869.442018028
1042,69083185.1082601
1043,29468396.85510038
1044,109656515.39612804
1045,139331164.22829616
1046,41577191.673013
1047,118943138.41828877
1048,18853356.77318897
1049,37546718.710482955
1050,6835322.7909639
1051,11901417.990313396
1052,24518674.09379305
1053,65417122.34409047
1054,6625110.467168185
1055,17938904.827202417
1056,37809309.94026089
1057,137373448.01585856
1058,43678928.5765628
1059,15903009.307925466
1060,53598817.70610814
1061,22290668.368709467
1062,45416344.91949932
1063,9500883.883043751
1064,20168729.968755525
1065,29202546.21015618
1066,51993622.80466889
1068,8633132.128996104
1069,95347367.66951735
1070,16208027.263366492
1071,44730459.70748497
1072,60153539.60017999
1073,75628380.00728866
1074,671590.176203512
1075,7706292.427863244
1076,26973239.272692133
1077,24673740.34895922
1078,6116893.240431251
1079,19819788.477166414
1080,39312603.739272304
1081,10187513.379329624
1082,8725838.434116
1083,8941225.603359923
1084,102074523.21358776
1085,51380698.82972625
1086,19698479.461825524
1087,39569912.26632007
1088,186991862.57455462
1089,10022914.319446167
1090,63731304.67544419
1091,71418441.66671091
1092,178569754.96202344
1094,13879503.695444744
1095,71244929.44930343
1096,15351322.566476986
1097,20409304.208398733
1098,129934807.50813246
1099,10055446.56530919
1100,32844083.799896624
1101,33306833.610197604
1102,6269611.190239188
1103,41509101.70715482
1104,94851788.42497371
1105,27876141.202102125
1106,20336852.587029207
1107,96900645.62731767
1108,122255685.59025352
1109,8650470.883120967
1110,67000089.739810675
1111,114613672.27851918
1112,9172176.155150281
1113,10107797.47155379
1114,28474053.048245
1115,40808540.59116175
1116,5225991.818538139
1117,85203589.29337277
1118,81379488.91293788
1119,50537438.8682529
1120,10171363.23075242
1122,18913639.85058672
1123,54470635.76527929
1124,69164132.11689869
1125,21730054.20777922
1126,50921134.568157315
1127,297827498.5884395
1128,35386996.51845382
1129,87162642.7929019
1130,83620619.46223783
1131,46324298.82498421
1132,11857753.598218648
1133,122615216.63754433
1134,15587687.619029034
1135,31914644.885936834
1136,28945449.189143166
1137,44743417.56349602
1138,291176621.88400275
1139,30613196.718966354
1140,12019769.1218811
1141,42939308.16175632
1142,52685904.16648027
1143,8342359.407279968
1144,76325920.75833848
1145,5072405.031358039
1146,21797019.052454006
1147,201586167.7069129
1148,7435216.042468211
1149,9246296.052512318
1150,54385701.021834224
1151,35849400.60991436
1152,66170528.907174274
1153,20382830.728240635
1154,43768864.00022872
1155,164619158.6211713
1156,10902765.716053827
1157,106207204.7771366
1158,16489750.013907908
1159,13383379.87698324
1160,12915229.646631777
1161,81408836.42384318
1162,74421798.46087193
1163,145574805.5717099
1164,33008248.079356886
1165,47421370.881187335
1166,63490140.94503255
1167,12669040.209883843
1168,17251587.436528202
1169,22530792.59704604
1170,16358132.432922754
1172,100156972.16144918
1173,135711036.62368777
1174,15607238.65942141
1175,10320786.537106557
1176,88676881.63470148
1177,12005276.829680694
1178,102324556.94439152
1179,109803628.17789775
1180,12097674.938642591
1181,31514652.285107493
1182,11402214.097746339
1183,9240260.682472603
1184,17513806.39875435
1185,14335353.030404905
1186,20415918.45033223
1187,34828339.98790927
1188,6536630.940941584
1189,33319513.303029668
1190,7578192.477703657
1191,18289361.52505528
1192,17542292.504687596
1193,24848854.975742936
1194,59140962.90516975
1195,8372010.133934142
1196,24709768.979422793
1197,82369424.21176001
1198,33227168.93087143
1199,29466417.6227108
1200,127493204.62589484
1201,22372927.288476605
1202,19248289.570683636
1203,100855083.24523644
1204,8406326.218173468
1205,13292621.049422968
1206,22747832.07163218
1207,102079784.43325128
1209,27279571.440112494
1210,13433173.406336749
1211,70295386.16532171
1212,99265871.85547613
1213,21213360.178117093
1214,90080059.40619121
1215,20543284.371398684
1216,18457438.256012913
1217,13364949.449991325
1218,100827775.10342185
1219,41032309.247441374
1220,40729358.20075684
1221,14627676.103583556
1222,94699010.30732383
1223,9171422.24479135
1224,67827675.78044544
1225,10495266.21440859
1226,44376846.9498218
1227,65237809.646581665
1228,18927372.228012413
1229,108727033.9530603
1230,54797003.822659135
1231,14101746.276993658
1232,46329243.62096324
1233,125855965.47267838
1234,13293264.228490181
1235,39741261.30697922
1236,17334526.807446033
1237,10513284.756338552
1238,127202298.78253895
1239,17123689.422395553
1240,25462139.763173148
1241,13879467.129556395
1242,36097166.12855647
1243,114899629.23337075
1244,20863484.49720738
1245,46747184.45510843
1246,109777710.71286508
1247,45759801.60289566
1248,7244777.650238189
1249,8542808.102117758
1250,11067782.93129788
1251,9870864.02344485
1252,9195950.21199114
1253,10029018.350173607
1254,64834968.60934227
1255,86266479.24503013
1256,7484230.053063868
1257,63565590.94025424
1258,12155968.142535625
1259,66389106.414774776
1260,18361998.779025767
1261,12851260.90979813
1263,107538150.47333457
1264,73285764.63228215
1265,10213521.485606084
1266,100960818.33889827
1267,23205484.38251791
1268,152942444.64046323
1269,24899184.737337794
1270,16685272.787677834
1271,81333080.14665478
1272,91866593.4859817
1273,68905066.65952027
1274,49775638.82123646
1275,68329358.77088004
1276,8504409.310753182
1277,127376875.93411763
1278,7918097.357472668
1279,45381809.207436286
1280,8265488.051484351
1281,12277318.80246168
1282,181533179.74921963
1283,71276711.58390346
1284,89459250.25009935
1285,74661923.31303564
1286,5138351.353637668
1287,39770466.537633345
1288,146981947.64114076
1289,122957624.84815884
1290,105973710.8856135
1291,129430248.41705127
1292,54044136.08668006
1293,32442325.243492223
1294,14375213.048802081
1295,131130141.98651926
1296,62802888.489160694
1297,15384836.613129675
1298,88898831.20924051
1299,13026701.63633967
1300,16130512.74082335
1301,88647541.26815863
1302,63867414.88213666
1303,6228556.474949381
1304,12617718.7480404
1305,47936132.251344904
1306,18464958.093383797
1307,26170157.615203258
1308,73715412.06166552
1309,11068395.695831459
1310,81585173.0150546
1311,73201585.21314982
1312,43492603.54657318
1313,84413411.52480349
1314,24489443.227545504
1315,52659277.385777235
1316,267263240.91951916
1317,99557254.68425034
1318,15355612.008123247
1319,7873714.652203982
1320,11058417.771734849
1321,6079455.209263459
1322,13426668.414540727
1323,7131138.667180092
1324,8942448.69347161
1325,15023243.265210707
1326,14816394.46762622
1327,100665088.0874156
1328,39247902.04255731
1329,49243053.98449564
1331,19117014.630604025
1332,25565828.381154623
1333,12874264.685549201
1334,233711304.3425256
1335,32718012.69418991
1336,32744508.71094272
1337,23190907.023412317
1338,8951651.757480206
1339,6441659.299620154
1340,72456614.43118897
1341,62830700.26352251
1342,15635171.510205826
1343,61085521.80827416
1344,104173299.78423764
1345,94390927.98307343
1346,41164046.78992438
1347,121210350.62595616
1348,343003965.69065005
1349,137753288.35199296
1350,10112414.511164429
1351,19839752.48386905
1352,12129776.602042338
1353,28656999.039210908
1354,14486230.492176076
1355,129464320.96028471
1356,68642876.81238933
1357,15354008.754496533
1358,29604129.97688202
1359,14823738.313712344
1360,54816370.43182043
1361,11119380.716345081
1362,14207613.964873811
1363,17305617.1658053
1364,52974176.73201136
1365,106542820.05691722
1366,26656221.10612441
1367,51932837.20847102
1368,15680460.415845923
1369,7066304.971890822
1370,43762348.228670925
1371,9429500.950746525
1372,18561211.127651148
1373,14775919.090809057
1374,12926686.329749031
