CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가구인테리어_잡화_고가_clust_id
84,0,0,0,4,-3,3,2
85,0,0,0,0,0,0,1
86,0,4,-3,3,-3,-1,4
87,0,4,-3,-1,4,-3,0
88,-1,0,0,0,0,4,1
89,0,0,0,0,0,0,1
90,4,-1,-2,-1,0,0,3
91,0,0,0,0,4,-3,0
92,-1,4,-3,-1,4,-2,0
93,-3,3,-1,0,-2,3,4
94,4,-3,-1,0,4,-3,3
95,0,4,-3,-1,0,0,4
96,-3,-1,0,0,0,0,1
97,0,2,-3,-1,4,-3,0
98,4,-1,-2,3,-3,-1,2
99,1,0,-1,1,0,0,1
100,4,-3,3,-3,-1,0,3
101,0,0,0,0,0,0,1
102,1,1,-2,1,2,-3,0
103,0,0,0,0,0,0,1
104,0,0,0,0,0,0,1
105,0,0,0,0,0,0,1
106,-3,3,-3,-1,0,0,4
107,3,-3,-1,4,-2,-1,2
108,0,0,0,4,-3,3,2
109,0,0,0,0,0,0,1
110,0,0,0,0,0,0,1
111,0,0,0,0,0,0,1
112,-1,0,0,0,0,4,1
113,-1,2,-2,1,-1,0,4
114,-1,0,4,-3,-1,0,5
115,-2,-1,3,-2,-1,3,5
116,0,0,0,0,0,0,1
117,4,-1,-2,3,-3,3,2
118,-2,0,1,0,-1,1,1
119,-3,0,3,0,-2,-1,5
120,-1,-1,1,-2,3,-2,0
121,3,-3,3,-3,-1,0,3
122,0,0,0,4,-3,-1,2
123,0,0,0,0,0,0,1
124,-3,-1,0,4,-3,-1,2
125,3,-3,-1,4,-3,-1,2
126,0,4,-1,-2,0,-1,4
127,0,0,4,-3,-1,0,5
128,0,0,0,0,0,0,1
129,0,0,0,0,0,0,1
130,-2,-1,4,-3,-1,0,5
131,-1,-1,-1,3,-2,2,2
132,0,0,0,0,0,0,1
133,0,0,0,0,4,-3,0
134,-1,0,2,-1,-1,0,5
135,0,0,0,0,0,0,1
136,0,0,0,0,0,0,1
137,-2,3,-1,-1,2,-1,0
138,-1,4,-3,3,-3,3,4
139,-2,3,-3,-1,0,0,4
140,1,-1,0,1,0,-2,1
141,0,0,0,0,0,0,1
143,0,0,0,0,0,0,1
144,-3,0,-1,0,0,0,1
145,-1,0,-1,3,0,-2,2
146,0,1,0,-1,0,1,1
147,0,2,-2,-1,0,3,4
148,0,0,0,0,0,0,1
149,4,-3,0,3,-3,3,2
150,0,4,-3,-1,0,0,4
151,-3,-1,0,0,4,-3,0
152,0,4,-3,-1,0,4,4
153,0,0,0,0,0,0,1
154,-1,-1,0,0,4,-2,0
155,0,0,4,-3,3,-3,5
156,3,-3,3,-2,0,1,3
157,-1,0,0,0,0,0,1
158,0,0,0,0,0,0,1
159,-3,3,0,-3,-1,0,4
160,-3,-1,4,-3,-1,0,5
161,1,-1,1,-2,1,1,1
162,0,0,4,-3,0,3,5
163,0,0,0,0,0,0,1
164,1,0,0,2,-1,-2,2
165,-1,-2,3,-3,3,-3,5
166,-1,4,-3,3,-3,-1,4
167,0,4,-3,3,0,-3,4
168,-1,-2,-1,0,4,-1,0
169,-1,0,0,0,4,-3,0
170,0,0,0,0,0,0,1
171,0,0,0,0,4,-2,0
172,0,0,0,0,0,0,1
173,0,0,0,4,-3,-1,2
175,4,-3,3,-1,-1,1,3
176,0,0,0,0,0,0,1
177,0,0,0,0,0,4,1
178,0,0,0,0,0,0,1
179,0,4,-3,3,0,-3,4
180,-2,3,-1,-2,1,1,4
181,0,4,-3,-1,0,4,4
182,4,-3,-1,0,4,-3,3
183,0,0,0,0,0,0,1
184,-3,0,-1,4,-3,-1,2
185,0,0,0,0,0,0,1
186,-3,-1,4,-3,-1,0,5
187,-1,0,0,0,0,0,1
188,0,0,0,0,0,0,1
189,1,-3,2,0,-1,0,3
190,-1,4,-3,-1,0,0,4
191,-1,2,1,-3,3,-2,0
192,-1,1,-2,3,-2,2,2
193,0,0,0,0,0,0,1
194,0,0,0,0,0,0,1
195,0,0,0,0,0,0,1
196,4,-1,-2,-1,0,0,3
197,0,0,4,-3,2,-2,5
198,4,-3,-1,0,4,-3,3
199,0,0,4,-3,-1,0,5
200,0,0,0,0,0,0,1
201,4,0,-3,-1,4,-3,3
202,-1,-1,2,-3,2,1,5
203,0,0,0,0,0,0,1
204,0,0,0,0,0,0,1
205,0,0,0,0,0,0,1
206,-2,-1,-1,4,-3,3,2
207,0,0,0,0,0,0,1
208,0,1,-1,-1,-1,0,1
209,0,-1,-2,-1,0,0,1
210,0,0,0,0,0,0,1
211,4,-3,3,-3,3,-2,3
212,4,-3,-1,4,-3,-1,2
213,0,0,0,0,0,0,1
214,0,0,0,0,0,4,1
215,0,-1,0,0,0,0,1
216,0,0,0,0,0,0,1
217,0,0,0,0,0,0,1
218,-1,-1,0,1,0,-1,1
219,0,0,0,4,-3,3,2
220,0,0,0,0,0,0,1
221,0,0,0,0,0,0,1
222,-1,3,-3,3,-1,0,4
223,0,4,-3,3,-2,-1,4
224,3,-3,3,-1,-1,2,3
225,3,-3,3,-3,-1,4,3
226,0,0,0,0,0,0,1
227,0,0,0,0,0,0,1
228,0,0,0,0,0,0,1
229,-1,4,-3,3,-2,0,4
230,0,0,0,0,4,-3,0
231,0,0,0,0,0,0,1
232,0,0,0,0,0,0,1
233,4,-3,-1,0,0,0,3
234,0,4,-3,3,-3,3,4
235,0,0,4,-3,0,3,5
236,0,0,0,0,0,0,1
237,0,1,0,-2,3,-3,0
238,0,4,-3,-1,0,0,4
239,0,-2,2,1,-1,-2,1
240,-3,0,-1,0,0,0,1
241,0,0,0,4,-3,-1,2
242,0,0,0,0,0,0,1
243,0,0,0,0,0,0,1
245,0,0,0,0,0,0,1
246,0,-3,3,-3,-1,4,5
247,-1,-2,3,-3,-1,0,5
248,0,0,0,0,0,0,1
249,2,-2,3,-1,-2,3,5
250,-3,3,-3,3,0,-3,4
251,0,-1,0,0,4,-3,0
252,0,0,0,0,0,4,1
253,0,-1,0,4,0,-3,2
254,1,0,0,-1,0,0,1
255,0,1,-1,1,-1,0,1
256,0,0,-1,0,1,0,1
257,0,0,0,0,0,0,1
258,0,0,1,0,-1,1,1
259,-3,-1,0,4,-3,-1,2
260,0,0,0,0,0,0,1
261,0,-1,0,0,4,-3,0
262,0,0,0,0,0,0,1
263,0,0,0,0,0,0,1
264,0,0,0,0,0,0,1
265,-1,-1,3,-3,3,0,5
266,0,4,-3,0,-1,4,4
267,-1,4,-1,-1,0,0,4
268,-3,3,-1,-1,-1,3,4
269,2,-3,3,-3,-1,0,5
270,0,0,0,0,0,0,1
271,-3,-1,4,-3,3,0,5
272,4,-3,-1,0,0,4,3
273,4,-2,1,-1,1,-2,3
274,0,0,0,0,0,0,1
275,0,-3,0,-1,0,0,1
276,0,0,0,0,0,0,1
277,-3,-1,0,4,-3,-1,2
278,0,0,0,0,0,0,1
279,-1,-2,3,-3,0,3,5
280,-2,3,-3,3,-1,-2,4
281,-1,0,4,-1,1,-3,5
282,4,-1,-2,-1,4,-1,3
283,0,1,-2,3,-3,3,2
284,0,0,0,0,0,0,1
285,0,0,0,0,0,0,1
286,0,0,0,4,-3,1,2
287,0,0,0,0,0,0,1
288,-3,-1,0,0,0,0,1
289,0,0,0,0,0,0,1
290,0,0,0,0,0,0,1
291,0,0,0,0,0,0,1
292,-1,3,-3,0,3,0,0
293,0,0,0,0,0,4,1
294,-2,1,-2,3,0,-3,4
295,-1,-1,2,-2,-1,1,5
296,0,0,0,4,-3,3,2
297,4,-3,-1,0,0,4,3
298,-1,0,-1,0,-1,3,1
299,-1,0,0,0,0,0,1
300,0,0,0,0,0,0,1
301,-3,3,-3,3,-2,1,4
302,0,0,0,4,-3,-1,2
303,0,0,0,0,0,0,1
304,3,0,-2,1,-1,1,1
305,4,-1,-2,3,-2,0,2
306,0,0,0,0,4,0,0
307,1,-1,2,-3,0,-1,5
308,4,0,-3,-1,0,0,3
309,0,-2,3,-3,-1,0,5
310,0,0,0,0,0,0,1
311,-1,1,-2,3,-3,-1,2
312,0,0,0,0,0,0,1
313,-3,3,0,-3,-1,4,4
314,-2,1,-1,2,-2,2,2
315,-2,3,-3,2,0,0,4
316,0,4,-3,-1,0,0,4
317,4,-3,-1,0,4,-3,3
318,4,-3,0,-1,0,0,3
319,0,4,-3,3,-3,3,4
320,4,0,-3,-1,0,0,3
321,4,-3,-1,4,-2,-1,2
322,0,0,0,0,0,0,1
323,3,-1,-2,3,-3,3,2
324,0,-3,3,-3,3,-3,5
325,0,-1,1,0,-1,3,1
326,-1,3,-1,-2,1,0,4
327,-2,-1,4,-3,3,-2,5
328,0,0,4,-3,-1,0,5
329,-2,3,-3,-1,0,0,4
330,0,0,0,0,0,0,1
331,0,0,0,0,4,0,0
332,0,-1,3,-3,0,3,5
333,0,4,-3,-1,0,0,4
334,-1,0,0,4,-3,-1,2
335,4,-2,2,-2,0,1,3
336,0,0,0,0,0,0,1
337,-1,0,4,-3,0,-1,5
338,0,0,0,0,0,0,1
339,0,0,0,0,0,0,1
340,4,-3,-1,0,4,-3,3
341,-3,3,-1,-1,0,1,4
342,0,0,0,0,0,0,1
343,0,-1,-1,4,-3,3,2
344,0,0,0,0,0,4,1
345,0,-2,-1,-1,0,0,1
346,0,0,0,0,4,-1,0
347,-3,3,0,-3,3,-3,0
348,0,0,0,0,0,0,1
349,-1,-2,-1,4,-2,2,2
350,0,0,0,0,4,-3,0
351,-3,0,3,-3,-1,0,5
352,-1,3,0,-3,2,-1,0
353,0,0,0,0,0,0,1
354,0,0,0,0,0,0,1
355,4,-1,-2,0,3,-3,3
356,4,-3,0,-1,0,0,3
357,0,0,0,0,0,0,1
358,0,-3,-1,4,-1,0,2
359,-3,-1,0,0,0,0,1
360,0,4,-3,3,0,-2,4
361,-2,2,0,-1,2,-1,0
362,0,0,0,0,0,0,1
363,-3,-1,4,-1,0,-1,5
364,-3,-1,0,0,0,0,1
365,-2,-1,-1,4,-3,-1,2
366,0,0,0,0,0,0,1
367,1,-1,1,-1,-1,3,1
368,4,-3,3,-3,3,-3,3
369,-2,2,-3,3,-3,3,4
370,0,0,0,0,0,0,1
371,0,0,0,0,0,0,1
372,0,0,0,0,0,0,1
373,-3,3,-2,1,-1,1,4
374,-3,3,-3,3,-3,3,4
375,0,4,-2,-1,3,-3,0
376,0,0,0,0,0,0,1
377,1,0,-2,1,2,-2,1
378,-2,0,-1,3,-3,3,2
379,-3,-1,4,-3,3,0,5
380,4,-3,-1,0,0,0,3
381,4,-2,-1,1,0,-1,3
382,1,-1,-1,3,-3,3,2
383,0,4,-1,-2,-1,4,4
384,0,0,0,0,0,0,1
385,0,0,0,0,0,0,1
386,3,0,-2,-1,0,3,3
387,0,-2,1,-1,1,-1,1
388,-2,1,-1,1,-1,1,1
389,0,0,0,0,0,0,1
390,0,0,0,0,0,0,1
391,0,-2,-1,4,-3,3,2
392,0,0,0,0,0,0,1
393,-2,3,-1,0,-2,2,4
394,-1,0,0,0,0,0,1
395,0,0,0,0,4,-3,0
396,0,0,0,0,0,0,1
397,0,4,-3,-1,4,-1,0
398,0,-2,-1,4,-2,-1,2
399,0,1,0,0,-1,0,1
400,-3,3,-2,0,0,-1,4
401,3,-3,3,-3,-1,4,3
402,0,0,4,-3,-1,4,5
403,0,0,0,0,0,0,1
404,-3,-1,0,0,4,-3,0
405,4,-3,0,-1,0,0,3
406,0,0,0,0,0,0,1
407,-3,3,-3,3,-1,0,4
408,0,0,-2,0,-1,0,1
409,0,3,-3,3,-3,2,4
410,0,0,0,0,0,0,1
411,0,3,-3,2,-1,-1,4
412,-2,-1,0,0,0,0,1
413,3,-3,3,-3,3,-2,3
414,0,3,-1,-1,-1,3,4
415,0,0,0,0,0,0,1
416,0,0,0,0,1,0,1
417,0,3,-1,0,-2,3,4
418,0,0,0,0,0,0,1
419,-2,0,1,-2,1,2,1
420,0,0,0,0,0,0,1
421,0,-2,3,-2,2,-3,5
422,0,0,0,4,-3,-1,2
423,0,0,0,0,0,0,1
424,0,0,0,0,0,0,1
425,0,0,0,0,0,4,1
426,0,-3,-1,0,0,0,1
427,0,0,4,-3,-1,0,5
428,3,-3,0,3,-3,3,2
429,0,0,0,0,0,0,1
430,4,-3,3,-2,-1,3,3
431,0,0,0,0,0,0,1
432,-1,-1,0,0,0,0,1
433,-1,0,-1,4,-3,0,2
434,-3,3,-3,-1,4,-2,0
435,4,-3,-1,4,-2,-1,2
436,0,4,-3,-1,4,-3,0
437,0,0,0,0,0,0,1
438,2,-3,3,-3,3,-1,3
439,0,0,0,0,0,0,1
440,-1,3,-2,0,-1,3,4
441,-3,-1,4,-3,3,-3,5
442,0,0,0,0,0,0,1
443,4,-3,-1,0,0,4,3
444,0,-3,-1,4,0,-2,2
445,0,0,0,0,0,0,1
446,0,0,4,-3,-1,0,5
447,0,0,0,4,-3,-1,2
448,-3,2,-1,-1,-1,0,4
449,-1,0,-2,3,-2,2,2
450,-1,3,-3,-1,4,-3,0
451,-1,-2,-1,0,0,4,1
452,4,-3,-1,0,0,0,3
453,-3,-1,0,0,4,-2,0
454,0,0,0,0,0,0,1
455,0,1,-1,1,-1,0,1
456,0,0,0,0,4,0,0
457,2,-1,2,-1,-2,0,1
458,0,0,0,0,0,0,1
459,-1,4,-3,-1,0,0,4
461,4,-3,-1,0,0,0,3
462,3,0,-3,3,-2,1,2
463,1,0,-2,3,-1,0,2
464,0,0,4,-1,-1,-1,5
465,0,0,4,-3,-1,4,5
466,-1,-2,1,1,0,-1,1
467,-2,0,3,-3,3,-2,5
468,0,0,4,-2,-1,-1,5
469,-3,1,1,0,-2,-1,1
470,0,0,0,0,0,0,1
471,-3,2,-1,1,0,-1,4
472,0,0,0,0,0,0,1
473,0,0,0,0,0,0,1
474,-3,3,-3,0,3,-1,0
475,-3,-1,0,0,0,0,1
476,0,0,0,0,0,0,1
477,0,-3,1,2,-3,3,2
478,-2,3,-2,0,1,-1,4
479,0,0,0,4,-3,-1,2
480,-3,-1,0,4,-1,0,2
481,-1,4,-2,-1,3,-3,0
482,0,0,0,0,0,0,1
483,-3,-1,0,0,0,0,1
484,-3,3,-3,-1,0,4,4
485,2,0,-1,1,-1,1,1
486,-1,1,-1,0,0,2,1
487,0,0,0,0,0,0,1
488,0,0,0,0,0,0,1
489,-3,-1,0,0,0,0,1
490,0,0,0,4,-3,3,2
491,0,0,0,0,0,0,1
492,2,-3,0,3,-2,-1,2
493,0,0,0,0,0,0,1
494,0,0,0,4,-3,3,2
495,0,0,0,4,-3,-1,2
496,0,0,0,4,-3,-1,2
497,0,0,0,0,0,0,1
498,0,0,0,4,-3,-1,2
499,0,0,0,0,0,0,1
500,0,0,0,4,0,-3,2
501,0,4,-3,0,3,-1,0
502,-1,4,-2,-1,3,-3,0
503,-1,3,-3,3,-2,-1,4
504,1,-2,-1,4,-1,0,2
505,-1,1,-1,0,2,-1,0
506,0,0,0,0,0,0,1
507,-1,0,0,0,0,0,1
508,-2,2,-2,0,2,-2,0
509,-2,1,-2,3,-3,-1,2
510,-2,0,-1,0,3,-2,0
511,0,0,0,0,0,0,1
512,0,0,0,0,0,0,1
513,-3,-1,4,-3,3,-1,5
514,0,0,4,-3,3,-2,5
515,-2,3,-3,3,-3,-1,4
516,0,0,0,0,0,0,1
517,0,0,0,4,-3,3,2
518,-2,0,1,0,-2,0,1
519,0,4,-2,-1,-1,4,4
520,-3,3,-2,-1,2,-2,0
521,-2,0,3,-3,2,0,5
522,0,0,0,0,0,0,1
523,0,0,0,0,0,0,1
524,0,4,-3,3,-3,-1,4
525,-1,0,0,0,0,0,1
526,3,-3,-1,0,0,4,3
527,0,0,0,0,0,0,1
528,0,0,0,0,0,0,1
529,-3,3,-3,-1,0,0,4
530,0,0,0,0,0,0,1
531,-3,-1,0,4,-3,2,2
532,-3,3,-1,1,-3,3,4
533,0,0,0,0,0,0,1
534,0,0,0,0,0,0,1
535,0,2,-3,3,-2,1,4
536,0,0,0,0,0,0,1
537,0,0,0,0,0,0,1
538,4,-2,-1,-1,4,-3,3
539,-3,0,3,-3,3,-2,5
540,4,-3,-1,0,0,0,3
541,0,0,0,0,0,0,1
542,-2,1,-2,3,-3,0,2
543,0,0,0,0,0,4,1
544,-1,2,-1,1,-2,3,4
545,4,-2,-1,3,0,-2,3
546,-1,-1,4,-1,-1,-1,5
547,2,-3,0,3,-1,-1,2
548,0,0,0,0,0,0,1
549,0,4,-3,-1,4,-3,0
550,0,4,0,-3,0,3,4
551,0,0,4,-3,-1,0,5
552,0,-1,4,-3,3,0,5
553,-1,4,-3,3,-3,3,4
554,-1,2,0,-3,3,-3,0
555,0,4,-1,-1,1,-2,4
556,0,0,0,0,0,0,1
557,4,-3,-1,0,0,0,3
558,-3,3,-3,-1,0,0,4
559,-1,4,-3,0,-1,4,4
560,0,-2,-1,3,-3,3,2
561,-3,3,0,-3,0,-1,4
562,-3,-1,0,0,0,0,1
563,0,0,0,0,0,0,1
564,-3,3,-3,1,1,0,4
565,-1,4,-3,-1,0,0,4
566,-1,-1,4,-3,-1,4,5
567,3,-2,-1,3,-3,0,2
568,0,0,0,0,0,0,1
569,-3,3,-1,-2,-1,4,4
570,0,0,0,0,0,0,1
571,4,-3,3,-3,-1,4,3
572,-1,4,0,-3,3,-3,0
573,0,0,0,0,0,0,1
574,-3,0,3,-3,3,-1,5
575,0,0,0,0,0,0,1
576,0,0,0,4,-3,-1,2
577,3,-3,3,-2,2,-2,3
578,3,-1,0,-1,1,-1,3
579,0,0,0,0,0,0,1
580,0,0,0,0,0,0,1
581,0,0,0,0,0,0,1
582,0,0,0,0,0,0,1
583,0,0,0,4,-3,-1,2
584,0,0,4,-3,-1,0,5
585,-1,0,3,-2,2,-2,5
586,-3,-1,4,-3,-1,4,5
587,4,-2,-1,3,-3,3,2
588,0,-1,3,-2,-1,3,5
589,3,-3,0,3,-1,-2,2
590,0,0,0,4,-3,-1,2
591,0,0,0,0,0,0,1
592,0,0,4,-3,-1,0,5
593,0,0,0,0,4,-1,0
594,0,-3,3,-2,-1,1,5
595,-1,0,0,0,0,4,1
596,4,-2,2,-2,-1,-1,3
597,0,-1,0,-1,0,4,1
598,-3,-1,0,0,4,-3,0
599,-1,0,0,0,0,4,1
600,0,4,-2,-1,-1,0,4
601,4,-3,3,-3,-1,0,3
602,-1,0,-2,-1,4,-1,0
603,-3,3,-2,-1,-1,0,4
604,-3,-1,0,0,0,0,1
605,0,0,0,0,0,0,1
606,-2,2,-2,0,-1,4,4
607,-1,0,0,0,4,-3,0
608,0,-1,3,0,-2,-1,5
609,0,0,0,0,0,0,1
610,0,-3,0,3,-3,3,2
611,0,0,4,0,-3,3,5
612,0,4,-3,-1,0,0,4
613,-1,0,4,-1,-1,1,5
614,-3,0,-1,0,4,-3,0
615,-1,1,-2,-1,3,-2,0
616,0,0,0,0,0,0,1
617,-1,0,4,-3,3,-1,5
618,-1,-1,0,0,0,0,1
619,0,0,0,0,0,0,1
620,0,4,-1,-1,-1,3,4
621,0,0,0,0,0,0,1
622,-3,3,-3,-1,0,4,4
623,0,0,0,0,0,0,1
624,0,0,0,0,0,0,1
625,-3,-1,0,0,0,0,1
626,0,0,0,0,0,0,1
627,3,-3,0,-1,4,-1,3
628,0,4,-3,-1,0,0,4
629,0,4,-3,-1,0,0,4
630,-2,-1,0,4,-3,-1,2
631,-2,3,-2,0,0,-1,4
632,0,0,0,0,0,4,1
633,4,0,-3,3,-3,3,2
634,-1,0,0,0,0,4,1
635,-1,1,-2,2,0,0,4
636,3,0,-3,-1,4,-3,0
637,0,0,0,0,0,0,1
638,-3,3,-3,-1,4,0,0
639,4,-3,-1,4,-3,3,2
640,3,-3,-1,4,-2,0,2
641,-1,3,0,-2,1,0,0
642,-1,4,-1,-2,3,-2,0
643,-1,-1,4,-2,1,-2,5
644,4,-3,-1,0,0,0,3
645,-1,0,1,-2,2,-1,0
646,0,0,0,0,0,0,1
647,0,0,0,0,0,0,1
648,0,3,-3,3,-3,3,4
649,0,0,0,0,4,-3,0
650,0,0,0,0,0,0,1
651,-3,-1,0,0,0,4,1
652,0,0,0,4,-3,-1,2
653,0,0,0,0,0,0,1
654,4,-3,3,-3,-1,4,3
655,0,0,0,0,0,0,1
656,3,-3,1,2,0,-2,3
657,-1,-1,0,4,-3,-1,2
658,-1,0,0,0,0,0,1
659,0,0,0,0,0,0,1
660,0,0,0,0,0,0,1
661,-3,-1,4,-3,-1,0,5
662,0,0,0,0,0,0,1
663,0,0,0,0,0,0,1
664,-1,4,-2,-1,3,-3,0
665,0,0,0,0,0,0,1
666,0,0,0,0,0,0,1
667,0,0,0,0,0,0,1
668,0,0,0,0,0,0,1
669,4,-3,-1,4,-3,-1,2
670,0,0,4,-3,-1,0,5
671,0,0,0,0,0,0,1
672,4,-2,-1,0,3,0,3
673,0,0,4,-3,-1,4,5
674,2,1,-2,1,-2,3,1
675,0,0,0,0,0,0,1
676,-2,2,-3,1,-1,0,4
677,3,-3,3,0,-3,-1,3
678,0,0,0,0,0,0,1
679,0,0,0,0,0,0,1
680,0,0,0,0,0,0,1
681,-2,3,-3,-1,0,0,4
682,0,0,0,0,0,0,1
683,0,0,0,0,0,4,1
684,0,0,0,0,4,-3,0
685,0,0,0,0,0,0,1
686,1,0,-2,1,2,0,1
687,0,0,0,4,-3,-1,2
688,0,0,0,0,0,0,1
689,4,-3,3,-3,-1,4,3
690,4,-3,3,-2,-1,3,3
691,-1,-1,1,-1,1,1,1
692,4,-2,-1,-1,0,0,3
693,-2,0,0,0,1,0,1
694,-2,1,-2,0,3,-2,0
695,0,0,0,0,4,-3,0
696,4,-3,-1,0,0,0,3
697,-1,0,-2,3,-3,3,2
698,-1,1,0,-1,1,-1,1
699,0,0,0,0,0,0,1
700,0,0,4,-3,-1,0,5
701,3,-3,3,-3,0,3,3
702,0,0,0,0,0,0,1
703,-3,-1,0,4,-3,-1,2
704,-1,0,-2,0,3,-3,0
705,0,0,0,0,0,0,1
706,0,0,0,4,-3,-1,2
707,-2,0,3,-2,1,0,5
708,-1,4,-3,3,-3,0,4
709,0,4,-3,-1,0,0,4
710,0,0,0,0,0,0,1
711,0,0,4,-1,-2,-1,5
712,0,-1,3,-1,0,0,5
713,2,-1,0,1,-1,1,1
714,0,0,0,0,0,0,1
715,3,-3,-1,4,-1,-2,2
716,0,4,-3,-1,0,4,4
717,3,-3,-1,0,4,-3,3
718,-3,-1,0,4,-1,-2,2
719,0,0,0,0,0,0,1
720,0,0,0,0,0,0,1
721,0,0,0,0,0,0,1
722,0,0,0,0,0,0,1
723,-2,3,-3,3,0,-3,4
724,0,0,0,0,0,0,1
725,0,0,0,0,0,0,1
726,0,0,0,4,-3,-1,2
727,-1,4,-2,-1,3,-1,0
728,3,-3,3,-3,3,-3,3
729,3,0,-3,-1,0,0,3
730,0,4,0,-2,-1,-1,4
731,0,4,-3,-1,0,0,4
732,1,-3,2,1,-3,1,2
733,-2,1,0,-2,0,-1,1
734,0,0,0,0,0,0,1
735,-2,0,3,-3,3,-3,5
736,-1,0,4,-3,3,-3,5
737,4,-3,-1,0,4,-3,3
738,0,0,0,4,-1,-2,2
739,0,0,0,0,0,4,1
740,0,0,0,0,0,0,1
741,0,0,0,0,0,0,1
742,-1,3,0,-1,0,-2,4
743,0,0,0,0,0,0,1
744,0,0,0,0,0,0,1
745,0,0,0,4,-3,-1,2
746,0,0,4,0,-1,0,5
747,-3,-1,4,-3,3,-1,5
748,-3,3,-3,-1,4,-3,0
749,-3,-1,0,0,0,0,1
750,0,0,0,0,0,0,1
751,0,0,0,0,0,0,1
752,0,4,-3,3,-3,-1,4
753,0,0,0,0,0,0,1
754,0,4,-3,0,-1,0,4
755,3,-3,-1,0,4,-2,3
756,-3,3,-3,3,-3,3,4
757,-1,0,3,-2,-1,3,5
758,-1,-2,3,-1,-2,-1,5
759,-3,-1,0,0,0,4,1
760,0,0,0,0,0,0,1
761,0,0,0,0,0,0,1
762,0,0,0,0,0,0,1
763,-3,-1,0,0,0,4,1
764,-1,4,-3,1,-1,-1,4
765,-2,3,0,-1,0,-2,4
766,-3,-1,0,4,-3,-1,2
767,3,-3,-1,0,4,-3,3
768,0,0,0,0,0,0,1
769,4,-3,-1,0,0,0,3
770,0,-3,2,0,-2,3,1
771,-3,-1,0,0,0,0,1
772,3,-2,0,1,-2,1,3
773,4,-3,0,-1,0,0,3
774,3,-3,-1,0,4,-3,3
775,4,-3,-1,4,-1,-2,2
