CUSTNO,1_2증감폭 대비2_3변동폭,2_3증감폭 대비3_4변동폭,3_4증감폭 대비4_5변동폭,4_5증감폭 대비5_6변동폭,5_6증감폭 대비6_7변동폭,6_7증감폭 대비7_8변동폭,가전_레저취미_멀티샵_중가_clust_id
122,-2,2,-1,2,-2,0,2
123,0,0,0,0,0,0,4
124,-1,-1,-1,-1,4,-3,5
125,3,-3,-1,0,0,0,1
126,-1,4,-3,3,-3,3,2
127,4,-2,-1,-1,0,0,1
128,0,0,4,-3,3,-3,0
129,0,0,0,0,0,0,4
130,2,-3,2,1,-3,3,3
131,-3,-1,4,-2,1,-1,0
132,0,0,0,4,-3,3,3
133,0,-3,3,-2,-1,-1,0
134,3,-1,-1,0,1,0,1
135,-3,0,-1,0,4,-3,5
136,-2,0,0,1,-2,3,4
137,3,-3,-1,4,-1,-2,3
138,0,0,-1,1,-1,1,4
139,-2,-1,-1,4,-1,-2,3
140,0,-3,-1,0,0,0,4
141,0,0,0,0,0,0,4
143,0,0,0,4,-1,-2,3
144,4,-3,-1,0,0,0,1
145,-1,4,-3,3,-2,-1,2
146,-1,-2,3,-3,2,-2,0
147,-3,3,-3,3,-1,1,2
148,4,-3,-1,0,0,0,1
149,4,-2,-1,-1,0,0,1
150,0,0,0,0,4,-3,5
151,-2,1,0,-2,3,-2,5
152,2,-2,3,-3,2,0,1
153,4,-1,-2,3,-3,-1,3
154,0,4,-3,-1,0,0,2
155,4,-3,3,-2,-1,3,1
156,-1,1,-1,2,-3,2,3
157,1,-2,3,-2,-1,3,0
158,0,0,0,0,4,-3,5
159,-1,-1,3,-1,-2,2,0
160,-1,-1,1,0,-1,0,4
161,3,-3,1,2,-2,0,3
162,-3,3,-3,3,-3,2,2
163,0,0,0,0,0,0,4
164,-1,3,-2,0,0,1,2
165,-1,-1,1,-2,1,2,0
166,0,2,-1,0,-1,1,2
167,0,0,0,0,0,4,4
168,-1,2,-3,3,-2,1,2
169,-3,-1,0,0,0,0,4
170,0,0,0,4,-3,3,3
171,3,-3,3,-1,-1,-1,1
172,-2,0,-1,3,-3,-1,3
173,0,4,-3,3,-3,-1,2
175,0,4,-3,-1,4,-3,5
176,0,0,0,0,0,0,4
177,-2,2,-3,3,-1,-1,2
178,-1,4,-1,-2,0,-1,2
179,0,3,-3,3,-2,-1,2
180,-1,0,0,4,-3,-1,3
181,1,-3,0,3,-2,1,3
182,4,0,-3,3,-2,-1,3
183,-1,0,0,0,0,0,4
184,-1,4,-3,3,-1,-2,2
185,4,-3,-1,0,4,-3,1
186,-1,1,-2,3,-3,0,3
187,-3,-1,4,-1,-2,0,0
188,0,0,0,0,0,4,4
189,0,-2,-1,-1,0,0,4
190,-1,0,-1,1,-2,3,4
191,1,2,-3,3,-1,0,2
192,-1,0,0,0,4,-3,5
193,0,0,0,0,0,4,4
194,4,-3,-1,0,0,0,1
195,4,-3,-1,4,-3,-1,3
196,-1,3,-3,3,-1,0,2
197,-2,0,3,0,-3,0,0
198,-2,3,-2,1,-1,-1,2
199,-1,2,-3,2,-2,0,2
200,0,0,0,4,-3,-1,3
201,-2,0,-1,4,-2,-1,3
202,4,-2,-1,3,-1,-2,3
203,0,0,0,0,0,0,4
204,1,1,-2,0,1,-2,4
205,0,4,-3,-1,0,0,2
206,2,-2,-1,3,-3,3,3
207,4,-3,-1,4,-3,-1,3
208,-2,0,0,0,0,-1,4
209,3,-3,0,3,-3,-1,3
210,-3,-1,0,0,0,0,4
211,0,0,0,0,4,-3,5
212,-3,3,-3,-1,4,-3,5
213,0,0,4,-3,-1,0,0
214,-3,-1,0,4,-3,3,3
215,-3,2,-2,3,-2,-1,2
216,-1,0,0,0,0,4,4
217,0,3,-2,0,-1,3,2
218,-1,3,-3,2,-2,3,2
219,-1,3,-2,0,-1,2,2
220,3,-3,3,-3,-1,0,1
221,0,4,-3,-1,0,4,2
222,-2,1,0,-1,-1,0,4
223,-1,-1,0,4,-3,3,3
224,-1,-1,4,-3,0,3,0
225,-1,1,-1,0,1,0,4
226,-3,3,-3,-1,4,-3,5
227,0,0,0,0,0,0,4
228,3,-3,-1,0,0,4,1
229,4,-3,-1,0,4,-3,1
230,-1,4,0,-2,1,-1,5
231,4,-3,-1,0,0,0,1
232,-2,-1,-1,0,0,4,4
233,3,-3,-1,0,0,4,1
234,4,-3,-1,0,0,0,1
235,-3,-1,0,0,4,-3,5
236,0,0,0,0,0,4,4
237,0,0,0,4,-2,1,3
238,0,0,0,4,-3,-1,3
239,-1,-2,0,3,-3,3,3
240,-2,0,-1,-1,4,-3,5
241,0,-3,0,3,-2,2,3
242,-3,3,-1,0,0,-2,2
243,-3,-1,0,0,4,-2,5
245,-3,3,-3,3,-3,3,2
246,-3,1,2,-3,3,-2,5
247,0,0,0,0,0,0,4
248,-1,4,0,-1,-1,-1,2
249,-3,2,-1,1,0,-2,2
250,0,-2,2,-2,-1,1,0
251,-1,1,-3,2,0,-2,2
252,0,0,0,4,-3,3,3
253,3,-3,1,1,0,0,1
254,-1,-2,0,-1,4,-3,5
255,-3,0,3,-2,-1,2,0
256,-2,3,-2,0,-1,3,2
257,0,0,4,-3,-1,0,0
258,-3,-1,0,0,4,-1,5
259,-1,-2,-1,4,-3,3,3
260,-1,0,0,0,0,0,4
261,0,3,0,-3,2,-2,5
262,-3,-1,0,4,-2,-1,3
263,0,0,0,4,-3,-1,3
264,0,0,0,0,0,0,4
265,-1,2,-2,0,0,2,2
266,0,0,4,-3,-1,4,0
267,4,-3,3,-3,0,3,1
268,0,0,0,0,1,-1,4
269,3,-3,3,-3,-1,4,1
270,-3,-1,0,0,4,-3,5
271,-1,-2,0,3,-1,-2,3
272,-1,-1,-1,4,-3,-1,3
273,-3,3,-3,0,3,0,5
274,0,0,0,0,0,0,4
275,-1,4,-3,3,0,-3,2
276,0,0,0,0,0,0,4
277,-2,3,-2,0,1,1,2
278,0,0,0,0,0,0,4
279,4,-3,-1,0,0,4,1
280,1,-2,-1,3,-3,3,3
281,0,-2,2,1,-1,-1,4
282,-3,-1,0,4,0,-2,3
283,1,0,-2,2,-1,-1,3
284,0,0,0,0,0,0,4
285,4,-3,3,-3,3,-2,1
286,-1,4,-3,-1,4,-3,5
287,-3,2,0,-2,3,-3,5
288,0,0,0,0,0,0,4
289,1,-2,-1,0,4,0,5
290,0,0,4,0,-3,3,0
291,0,0,0,0,0,0,4
292,-2,0,1,0,-1,1,4
293,-2,-1,-1,4,-3,-1,3
294,2,1,-3,3,-2,1,3
295,-3,3,-3,3,-1,-1,2
296,-2,3,-3,3,-3,2,2
297,-3,3,-3,-1,0,4,2
298,-2,0,1,1,-2,1,4
299,0,-1,3,-3,-1,0,0
300,-1,-1,2,-2,1,-2,0
301,-2,3,-2,0,0,2,2
302,0,0,0,0,0,0,4
303,0,3,-3,-1,0,0,2
304,-3,-1,4,-2,1,0,0
305,-2,1,-1,1,-2,3,2
306,-1,-1,-1,3,-1,-2,3
307,0,0,-2,2,0,-2,4
308,-2,-1,3,-3,-1,0,0
309,-3,2,-1,2,-3,3,2
310,-1,-1,0,4,-1,-2,3
311,0,4,-3,3,-3,3,2
312,0,0,0,4,-3,-1,3
313,3,-3,1,2,-3,0,3
314,-1,-2,-1,0,4,-3,5
315,0,-3,2,0,0,-2,4
316,4,-3,-1,4,-2,-1,3
317,-1,-1,-1,-1,0,0,4
318,-2,-1,-1,0,4,-3,5
319,0,-2,1,-1,3,-3,5
320,3,-3,3,0,-3,0,1
321,-3,3,-2,-1,-1,4,2
322,-1,4,-3,-1,0,0,2
323,2,-2,1,0,-1,-1,1
324,1,1,1,-2,0,2,4
325,2,-2,0,1,-1,-1,1
326,-2,3,0,-2,1,-2,5
327,3,-2,0,1,-1,-1,1
328,2,-3,2,-1,-1,3,1
329,-1,0,0,0,0,4,4
330,0,0,0,0,0,0,4
331,-3,-1,4,-3,2,-2,0
332,-3,3,-3,0,3,-3,5
333,2,-3,-1,4,-3,2,3
334,-3,2,-2,3,0,-2,2
335,1,-2,3,0,-2,-1,0
336,2,-1,0,1,-1,-1,4
337,0,0,-1,3,-2,1,3
338,0,4,-3,-1,4,-3,5
339,0,-2,1,-1,1,-2,4
340,0,0,0,0,0,4,4
341,4,-3,0,3,-1,-1,3
342,0,0,0,0,0,0,4
343,3,-2,0,-1,3,-1,1
344,0,2,-3,3,-2,0,2
345,-3,-1,0,4,-3,-1,3
346,3,-1,-2,-1,4,-3,1
347,-3,3,0,-3,0,3,2
348,0,0,0,0,0,0,4
349,-3,3,-1,-2,1,2,5
350,-1,-1,0,0,4,-1,5
351,-3,3,-2,1,0,-2,2
352,0,1,-1,0,0,-1,4
353,4,-3,-1,0,4,-3,1
354,0,0,0,4,-3,-1,3
355,-1,2,-3,0,-1,0,2
356,2,0,-2,0,-1,1,4
357,-3,2,0,-1,-1,0,2
358,-2,2,-3,3,-1,-1,2
359,-1,-1,0,0,0,-1,4
360,0,-3,-1,4,-1,-2,3
361,-2,1,-2,3,-3,3,3
362,-2,-1,-1,4,-3,-1,3
363,2,-2,3,-3,3,-2,1
364,-3,-1,0,4,-3,-1,3
365,2,-2,3,0,-3,-1,1
366,0,0,0,0,0,0,4
367,4,-3,-1,0,0,4,1
368,0,0,1,-1,2,-2,4
369,-1,1,0,-1,0,1,4
370,-3,-1,0,0,4,-3,5
371,0,0,0,0,0,0,4
372,0,0,4,0,-3,0,0
373,4,-3,3,0,-2,-1,1
374,-1,-1,1,-2,0,3,4
375,4,-3,3,-3,-1,0,1
376,0,0,0,0,0,0,4
377,-1,3,-1,1,-3,1,2
378,0,2,-3,3,-3,3,2
379,-2,-1,4,-2,1,-2,0
380,0,4,-3,-1,0,4,2
381,-1,-2,3,0,-2,0,0
382,0,4,-3,3,-1,-1,2
383,-3,3,-2,2,-3,3,2
384,-3,-1,4,-3,-1,0,0
385,0,0,4,-3,-1,0,0
386,3,-3,3,0,-2,-1,1
387,-3,-1,4,-3,3,-3,0
388,-3,3,-3,-1,0,4,2
389,-3,-1,4,-1,-1,-1,0
390,-3,-1,0,0,0,0,4
391,-1,-2,-1,0,4,-3,5
392,-2,2,-3,3,-1,0,2
393,-1,-2,3,-3,-1,4,0
394,-3,-1,4,-2,-1,0,0
395,0,0,0,0,0,4,4
396,0,0,0,0,0,4,4
397,-3,-1,0,0,4,-1,5
398,0,-1,-1,2,1,-2,4
399,-3,3,-3,-1,4,-3,5
400,0,-3,-1,0,4,-3,5
401,-2,3,-2,-1,2,0,5
402,-2,3,-3,3,-3,3,2
403,0,0,0,0,0,4,4
404,0,-1,3,-2,-1,3,0
405,-2,0,-1,0,4,-3,5
406,0,4,-3,-1,4,-3,5
407,0,-1,-1,4,-3,3,3
408,-1,-2,1,-1,1,-1,4
409,0,0,3,-1,-1,-1,0
410,0,0,0,0,0,0,4
411,-1,-2,3,-3,1,-1,0
412,-2,0,-1,3,-2,0,3
413,0,4,-3,3,-3,3,2
414,4,-2,0,-1,0,3,1
415,0,0,4,-3,3,-3,0
416,2,0,0,-2,3,-2,5
417,-1,1,1,-3,0,3,0
418,-2,1,-1,2,-2,-1,2
419,0,0,0,0,0,0,4
420,-3,3,-3,-1,0,0,2
421,0,-1,0,2,-2,1,3
422,-2,-1,0,3,-3,-1,3
423,-2,3,-3,3,-2,1,2
424,0,0,0,0,0,0,4
425,-1,3,-2,2,-2,0,2
426,-2,0,1,-1,-1,3,4
427,-1,0,0,0,4,-2,5
428,-1,1,-1,1,-2,2,4
429,0,0,0,0,0,0,4
430,-1,2,-2,1,-1,0,2
431,3,-3,2,-2,-1,4,1
432,-3,3,-2,-1,-1,0,2
433,2,-3,2,0,0,-1,1
434,3,-3,-1,4,-1,1,3
435,-1,-2,0,3,-3,3,3
436,0,-2,3,-2,0,1,0
437,0,0,0,4,-3,-1,3
438,-3,0,0,3,-1,-2,3
439,0,0,0,0,0,0,4
440,-2,2,0,-1,0,1,4
441,-2,-1,3,-3,2,-1,0
442,0,0,0,4,-1,-2,3
443,0,0,4,-3,3,-3,0
444,1,-2,2,1,-1,-1,4
445,0,0,0,0,0,0,4
446,0,0,0,0,0,0,4
447,4,-3,3,-2,1,-2,1
448,-2,0,-1,3,-1,0,3
449,-3,3,-3,2,1,-3,2
450,0,-1,0,4,-3,-1,3
451,1,-2,0,-1,3,-3,1
452,4,-3,-1,0,0,0,1
453,-3,-1,0,4,-2,2,3
454,-3,3,-3,3,-3,3,2
455,-1,0,0,4,-3,-1,3
456,0,0,0,4,-1,-2,3
457,0,-3,0,3,-3,3,3
458,0,0,0,0,0,0,4
459,0,0,0,0,0,4,4
461,0,0,0,0,4,-3,5
462,0,-1,3,-1,-1,0,0
463,0,-1,1,0,-2,2,4
464,1,-2,3,-1,0,-2,0
465,-1,0,0,0,0,4,4
466,-2,0,2,-3,3,-1,0
467,0,-1,3,-2,1,-2,0
468,0,-1,0,4,-3,3,3
469,0,0,4,-2,1,-2,0
470,0,0,0,0,0,4,4
471,0,-1,0,1,-1,1,4
472,0,0,0,4,-2,-1,3
473,0,0,-1,-1,3,-3,5
474,3,-1,-1,1,0,-2,1
475,-1,3,0,-3,3,-2,5
476,0,4,-3,-1,0,0,2
477,-2,3,-2,-1,3,-2,5
478,-1,-2,-1,4,-2,2,3
479,0,0,4,-3,-1,0,0
480,0,3,-3,2,-2,3,2
481,0,3,0,-2,-1,3,4
482,0,0,0,0,0,0,4
483,0,0,4,-3,2,-2,0
484,3,-2,0,1,1,-3,1
485,4,-3,3,-1,-2,0,1
486,-3,3,-3,3,-2,0,2
487,0,0,0,0,0,0,4
488,-3,-1,0,0,0,0,4
489,3,-3,-1,4,-3,-1,3
490,1,1,-2,3,-3,3,3
491,-3,3,-3,-1,0,4,2
492,-2,0,-1,-1,4,-2,5
493,0,4,-3,3,-3,3,2
494,-3,3,-3,-1,0,4,2
495,0,0,4,-2,0,1,0
496,0,3,-3,3,-3,2,2
497,-3,-1,4,-3,-1,0,0
498,2,-3,3,-3,1,-1,1
499,0,0,0,0,0,0,4
500,0,-1,1,0,-2,1,4
501,-2,1,0,-1,0,1,4
502,3,-1,0,-2,0,3,1
503,-2,-1,3,-1,-2,3,0
504,2,-2,1,-1,0,0,1
505,-1,0,0,0,4,0,5
506,-3,3,-3,-1,4,-2,5
507,0,0,0,0,0,0,4
508,3,-2,-1,3,-3,3,3
509,-3,3,-1,-2,2,-1,5
510,-2,-1,3,-1,-2,3,0
511,-1,0,0,4,-1,-2,3
512,-1,0,4,-3,3,-3,0
513,0,4,-3,-1,4,-1,5
514,0,0,0,0,0,0,4
515,0,0,4,0,-3,-1,0
516,0,0,0,0,0,0,4
517,-1,4,-3,3,-3,0,2
518,3,-3,3,-3,-1,4,1
519,-2,3,-1,0,-2,3,2
520,0,1,-1,1,0,-2,4
521,1,-1,3,-3,-1,4,0
522,0,4,-3,-1,0,4,2
523,0,0,0,0,0,0,4
524,0,0,0,0,4,-3,5
525,0,-2,1,-2,-1,0,4
526,-2,-1,2,0,-1,0,4
527,0,4,-3,-1,0,0,2
528,0,0,0,0,0,0,4
529,0,0,1,0,-1,-1,4
530,2,-2,-1,-1,0,0,1
531,0,4,-3,-1,0,0,2
532,-3,3,-1,-1,-1,3,2
533,0,0,0,0,0,0,4
534,-1,4,-3,2,1,-2,2
535,-3,2,0,0,-2,2,2
536,0,0,0,0,0,0,4
537,0,0,0,4,-3,-1,3
538,-1,-2,0,3,-3,-1,3
539,4,-1,-2,3,0,-2,3
540,-2,-1,-1,4,-3,3,3
541,0,0,0,0,4,0,5
542,-3,-1,0,0,4,-3,5
543,-1,-1,0,0,1,0,4
544,-1,-2,3,-1,0,-1,0
545,0,-2,0,0,2,-3,4
546,-3,-1,0,0,0,0,4
547,-3,-1,0,4,-3,-1,3
548,3,-3,0,3,-3,3,3
549,2,-2,-1,4,-3,-1,3
550,-1,4,-3,3,-3,-1,2
551,0,0,4,-3,-1,0,0
552,-3,-1,0,4,-3,3,3
553,-3,3,-3,2,0,0,2
554,3,-3,3,-2,1,-2,1
555,-1,1,-1,1,0,-2,4
556,-3,3,-2,-1,-1,4,2
557,0,0,0,0,0,0,4
558,0,0,0,4,-3,3,3
559,1,-1,3,-3,-1,0,0
560,-1,1,-2,3,-2,1,3
561,2,-3,3,0,-2,0,1
562,-2,0,-1,3,-1,-2,3
563,-1,-1,4,-2,1,-2,0
564,-2,0,0,1,0,-2,4
565,-1,3,-3,-1,4,-2,5
566,-3,0,3,-2,-1,3,0
567,-2,-1,-1,0,0,0,4
568,-3,-1,0,0,4,-3,5
569,3,-2,-1,3,-2,-1,3
570,0,0,0,0,0,0,4
571,0,4,-3,3,-3,-1,2
572,3,0,0,-3,1,1,1
573,0,4,-3,3,-1,-1,2
574,-2,0,-1,3,0,-3,3
575,1,0,-1,1,0,-1,4
576,0,0,-2,3,-3,0,3
577,0,0,0,0,0,0,4
578,0,4,-2,-1,-1,4,2
579,0,0,0,4,-3,-1,3
580,2,-3,3,-2,1,-2,1
581,0,0,0,0,0,0,4
582,-3,1,2,-3,1,1,0
583,0,0,0,4,-3,-1,3
584,-3,3,-3,2,-2,0,2
585,-3,-1,0,4,-3,3,3
586,0,-2,3,-3,1,-1,0
587,3,-3,-1,0,0,0,1
588,3,-2,-1,3,-3,-1,3
589,-2,3,-2,-1,3,-1,5
590,-3,-1,0,0,0,0,4
591,4,-3,3,-3,-1,0,1
592,0,4,-1,0,-2,0,2
593,3,-2,2,-3,3,-3,1
594,4,-3,-1,4,-3,3,3
595,-3,3,-2,-1,3,-3,5
596,3,-2,1,0,0,-2,1
597,-1,0,4,-3,2,-2,0
598,0,-2,-1,4,-1,-2,3
599,-2,1,-1,1,-2,3,2
600,-3,3,-3,-1,4,-3,5
601,-1,0,0,-1,-1,-1,4
602,0,3,0,-2,0,0,4
603,2,-2,-1,3,-2,-1,3
604,-3,3,-1,-2,3,-3,5
605,0,0,0,0,0,0,4
606,-2,-1,3,-2,0,-1,0
607,-3,-1,0,0,4,-3,5
608,-3,-1,4,-2,1,-2,0
609,0,0,4,-3,2,-2,0
610,-1,0,0,4,-3,0,3
611,0,1,-1,2,-2,1,3
612,0,0,-2,3,0,-3,3
613,3,-3,2,0,0,-2,1
614,-3,3,-3,-1,4,-3,5
615,-1,0,4,-2,0,1,0
616,4,-3,-1,0,0,0,1
617,-1,1,-2,3,0,-3,2
618,0,-2,1,1,-2,3,4
619,0,4,-3,-1,0,0,2
620,-2,1,1,-3,2,0,5
621,0,0,0,4,-3,-1,3
622,-3,2,-1,1,0,-2,2
623,4,-2,-1,-1,4,-3,1
624,0,0,0,0,0,0,4
625,-3,-1,0,0,0,0,4
626,-3,-1,0,0,0,0,4
627,4,-3,-1,0,4,-2,1
628,-1,0,0,4,-3,3,3
629,0,0,4,-3,-1,0,0
630,-1,-1,4,-3,3,-3,0
631,0,1,-1,2,-2,0,3
632,-1,-1,1,-2,3,-2,5
633,0,-2,0,-1,3,-3,5
634,-2,-1,0,4,-3,-1,3
635,1,-2,3,0,-1,0,0
636,-3,-1,0,0,0,0,4
637,0,-2,0,1,-1,-1,4
638,0,-1,-2,0,-1,4,4
639,3,-3,0,-1,0,0,1
640,-2,3,-1,1,-3,-1,2
641,0,-3,2,0,0,-2,4
642,-3,-1,4,-3,3,-3,0
643,0,0,0,4,-3,-1,3
644,-2,1,-2,3,-3,3,3
645,3,-3,3,0,-3,0,1
646,-1,4,-3,3,-3,3,2
647,0,0,0,0,0,0,4
648,-2,-1,3,-1,-1,-1,0
649,0,3,-1,-2,2,-2,5
650,4,-3,-1,0,0,0,1
651,-1,3,0,-3,3,-1,5
652,0,-3,0,3,-1,-2,3
653,0,3,-3,3,-3,-1,2
654,0,3,-3,3,0,-3,2
655,0,0,4,-3,-1,0,0
656,-1,0,-2,2,1,-3,4
657,3,-3,3,-3,3,-1,1
658,0,2,-3,3,-1,-2,2
659,0,0,0,0,0,4,4
660,0,0,0,0,0,0,4
661,0,-3,-1,0,4,-3,5
662,-1,4,-3,3,-3,-1,2
663,0,0,0,0,0,0,4
664,3,-3,-1,0,4,-2,1
665,0,0,0,0,4,-2,5
666,0,0,0,0,4,-1,5
667,0,3,-3,3,-3,-1,2
668,0,0,0,0,0,0,4
669,-2,0,-1,3,-3,-1,3
670,-1,0,-1,1,-1,-1,4
671,-2,-1,-1,0,0,0,4
672,0,-1,0,0,4,-3,5
673,-3,-1,0,4,-2,2,3
674,-3,2,0,-1,0,1,4
675,0,4,-3,3,-1,0,2
676,1,0,-2,3,-1,-2,3
677,0,4,-3,-1,0,0,2
678,0,0,0,0,0,0,4
679,0,0,0,0,0,0,4
680,0,-3,-1,4,-3,3,3
681,0,3,-2,0,-1,3,2
682,0,0,0,0,0,0,4
683,0,4,-3,0,-1,4,2
684,4,-3,2,-2,3,-3,1
685,-3,-1,0,0,0,0,4
686,4,-3,-1,0,4,-3,1
687,-3,3,-3,3,-3,-1,2
688,-2,3,-3,-1,4,0,5
689,0,-1,0,-1,0,0,4
690,-3,2,-1,0,-1,3,2
691,4,-3,0,3,-2,1,3
692,3,-2,0,2,-3,1,3
693,-1,0,-1,-1,3,-3,5
694,-3,2,-1,0,0,2,2
695,-1,0,3,-3,-1,4,0
696,0,-3,3,-3,3,-1,0
697,-1,-1,-1,3,-3,3,3
698,-2,-1,-1,4,-3,0,3
699,-1,0,0,0,0,0,4
700,0,0,0,0,0,0,4
701,-3,3,-3,3,0,-3,2
702,-1,-1,3,-1,-1,-1,0
703,-3,3,-3,2,0,-2,2
704,-1,0,-1,4,-2,0,3
705,-1,4,0,-3,-1,0,2
706,0,0,0,0,4,-3,5
707,0,-1,4,-3,3,-3,0
708,-1,3,-3,3,-2,-1,2
709,4,-3,3,-2,-1,-1,1
710,0,2,-3,3,-3,-1,2
711,0,-1,0,4,-2,-1,3
712,0,-1,3,-3,-1,0,0
713,-3,2,1,-1,-1,0,4
714,-3,-1,0,4,0,-1,3
715,1,1,-1,-1,3,-2,5
716,0,-3,-1,4,-2,-1,3
717,-3,-1,0,4,-3,2,3
718,0,-1,3,-3,0,3,0
719,0,0,0,0,0,0,4
720,0,4,-3,-1,0,0,2
721,0,0,0,0,0,0,4
722,0,4,-3,-1,0,0,2
723,3,-3,2,-1,-1,3,1
724,-3,-1,0,0,0,0,4
725,0,0,0,0,0,0,4
726,0,4,-3,-1,0,4,2
727,-2,1,-2,3,-3,3,3
728,-1,-1,4,-1,-2,2,0
729,2,-2,2,1,-3,2,3
730,0,3,-2,2,-2,-1,2
731,0,0,0,4,-3,-1,3
732,0,0,1,-1,0,2,4
733,3,-3,3,-3,3,-3,1
734,-1,0,4,-3,3,-3,0
735,-2,-1,0,0,4,-2,5
736,0,4,-3,-1,0,0,2
737,4,0,-3,3,-3,-1,3
738,4,-3,-1,0,0,0,1
739,0,4,-3,-1,4,-2,5
740,0,0,0,0,0,0,4
741,3,-3,-1,0,4,-3,1
742,-3,-1,4,0,-3,0,0
743,2,-1,-1,3,-3,2,3
744,-1,0,4,-3,-1,4,0
745,0,0,0,0,0,0,4
746,1,-3,2,0,-1,2,1
747,0,3,-1,-2,3,-3,5
748,0,1,-2,0,0,2,4
749,0,0,4,-3,-1,0,0
