,제휴사,대분류코드,금액 타입,대분류명_y,중분류명,소분류명,UPRICE,QTY,AVG,AVGVS,구매금액_min,구매금액_max,구매금액_mean
127,B,5,저가,식품,양념류,양파,2623,51391,7926,0.3,200,31200,2619.658222
128,B,5,저가,식품,양념류,쪽파,2623,51391,7926,0.3,500,26200,2641.619762
129,B,5,저가,식품,양념류,피마늘,2623,51391,7926,0.3,200,98000,10263.49094
130,B,5,저가,식품,잎채소,고구마순,2232,262955,7926,0.3,2800,3600,2950
131,B,5,저가,식품,잎채소,근대,2232,262955,7926,0.3,900,10000,1661.887324
132,B,5,저가,식품,잎채소,기타잎채소,2232,262955,7926,0.3,490,29990,2317.379742
133,B,5,저가,식품,잎채소,깻잎,2232,262955,7926,0.3,800,24000,1663.591726
134,B,5,저가,식품,잎채소,미나리,2232,262955,7926,0.3,294,45199,2562.066684
135,B,5,저가,식품,잎채소,봄동,2232,262955,7926,0.3,147,10073,1356.188084
136,B,5,저가,식품,잎채소,부추,2232,262955,7926,0.3,800,80000,2124.468445
137,B,5,저가,식품,잎채소,상추,2232,262955,7926,0.3,500,25000,1644.358604
138,B,5,저가,식품,잎채소,생나물,2232,262955,7926,0.3,157,59500,2475.909346
139,B,5,저가,식품,잎채소,시금치,2232,262955,7926,0.3,160,35000,2103.999086
140,B,5,저가,식품,잎채소,쌈채소,2232,262955,7926,0.3,500,24400,2296.488203
141,B,5,저가,식품,잎채소,쑥갓,2232,262955,7926,0.3,500,7000,1274.011727
142,B,5,저가,식품,잎채소,아욱,2232,262955,7926,0.3,700,8400,1664.746193
143,B,5,저가,식품,잎채소,양배추,2232,262955,7926,0.3,100,49800,1696.082129
144,B,5,저가,식품,잎채소,얼갈이,2232,262955,7926,0.3,1980,5940,2773.333333
145,B,5,저가,식품,잎채소,온라인 잎채소,2232,262955,7926,0.3,42800,42800,42800
146,B,5,저가,식품,잎채소,죽순,2232,262955,7926,0.3,8800,11800,10300
147,B,5,저가,식품,잎채소,친환경잎채소,2232,262955,7926,0.3,200,45960,2695.253628
148,B,5,저가,식품,잎채소,친환경채소(특약),2232,262955,7926,0.3,30,631500,3139.205168
149,B,5,저가,식품,친환경채소,친환경뿌리채소,2895,48809,7926,0.4,330,29500,4468.125399
150,B,5,저가,식품,친환경채소,친환경샐러드채소,2895,48809,7926,0.4,1800,22800,3730.628183
151,B,5,저가,식품,친환경채소,친환경쌈채소,2895,48809,7926,0.4,48,267000,2923.678053
152,B,5,저가,식품,친환경채소,친환경양념채소,2895,48809,7926,0.4,1200,13200,2522.331034
153,B,5,저가,식품,친환경채소,친환경열매채소,2895,48809,7926,0.4,300,120000,2920.306376
154,B,5,저가,식품,친환경채소,친환경엽채소,2895,48809,7926,0.4,1300,9800,2615.15625
155,B,5,저가,식품,친환경채소,친환경잎채소,2895,48809,7926,0.4,800,69500,2424.462008
156,B,55,저가,식품,친환경채소,친환경뿌리채소,2808,932,7926,0.4,330,29500,4468.125399
157,B,55,저가,식품,친환경채소,친환경샐러드채소,2808,932,7926,0.4,1800,22800,3730.628183
158,B,55,저가,식품,친환경채소,친환경쌈채소,2808,932,7926,0.4,48,267000,2923.678053
159,B,55,저가,식품,친환경채소,친환경양념채소,2808,932,7926,0.4,1200,13200,2522.331034
160,B,55,저가,식품,친환경채소,친환경열매채소,2808,932,7926,0.4,300,120000,2920.306376
161,B,55,저가,식품,친환경채소,친환경엽채소,2808,932,7926,0.4,1300,9800,2615.15625
162,B,55,저가,식품,친환경채소,친환경잎채소,2808,932,7926,0.4,800,69500,2424.462008
163,B,9,저가,식품,간편조리,샐러드,3881,232,7926,0.5,350,40000,6544.183034
164,B,9,저가,식품,간편조리,아시안,3881,232,7926,0.5,1000,16750,6989.692961
165,B,9,저가,식품,간편조리,양식,3881,232,7926,0.5,500,72600,4217.521204
166,B,9,저가,식품,간편조리,요리,3881,232,7926,0.5,400,56200,6111.915497
167,B,9,저가,식품,간편조리,음료,3881,232,7926,0.5,100,11000,1623.388042
168,B,9,저가,식품,간편조리,한식,3881,232,7926,0.5,480,26100,5044.496068
169,B,10,저가,식품,가공우유,견과우유/냉장두유,3281,118878,7926,0.4,1000,15650,2854.365942
170,B,10,저가,식품,가공우유,과일맛우유,3281,118878,7926,0.4,1000,63750,3821.797377
171,B,10,저가,식품,가공우유,멸균가공우유,3281,118878,7926,0.4,1290,46400,4008.242711
172,B,10,저가,식품,가공우유,일반가공유,3281,118878,7926,0.4,850,59130,2808.23522
173,B,10,저가,식품,가공우유,커피/초코우유,3281,118878,7926,0.4,750,56400,2658.495153
174,B,10,저가,식품,가공우유,테트라가공유,3281,118878,7926,0.4,2190,37470,4187.156824
175,B,10,저가,식품,가공우유,펫가공유,3281,118878,7926,0.4,630,55900,3436.626578
176,B,10,저가,식품,냉장음료,과일음료,3648,104952,7926,0.5,400,78200,3679.748162
177,B,10,저가,식품,냉장음료,과채음료,3648,104952,7926,0.5,990,45200,4606.032578
178,B,10,저가,식품,냉장음료,냉장음료,3648,104952,7926,0.5,297,218000,4117.172913
179,B,10,저가,식품,냉장음료,냉장차음료,3648,104952,7926,0.5,750,60000,2747.333916
180,B,10,저가,식품,냉장음료,냉장커피음료,3648,104952,7926,0.5,300,146640,2944.627614
181,B,10,저가,식품,냉장음료,수입냉장음료,3648,104952,7926,0.5,700,72500,3928.288868
182,B,10,저가,식품,브랜드빵,식빵,2870,41784,7926,0.4,980,48800,2178.131576
183,B,10,저가,식품,브랜드빵,식빵류,2870,41784,7926,0.4,600,41650,2183.518701
184,B,10,저가,식품,브랜드빵,일반빵,2870,41784,7926,0.4,650,143800,3117.546703
185,B,10,저가,식품,브랜드빵,일반빵류,2870,41784,7926,0.4,750,131790,3006.989643
186,B,10,저가,식품,브랜드빵,찐빵,2870,41784,7926,0.4,2480,258960,5608.522061
187,B,10,저가,식품,브랜드빵,찐빵류,2870,41784,7926,0.4,1530,151180,4171.004137
188,B,10,저가,식품,브랜드빵,케익,2870,41784,7926,0.4,840,36000,3884.607119
189,B,10,저가,식품,브랜드빵,패스트리,2870,41784,7926,0.4,1500,7500,2417.567568
190,B,74,저가,식품,브랜드빵,식빵,3346,72615,7926,0.4,980,48800,2178.131576
191,B,74,저가,식품,브랜드빵,식빵류,3346,72615,7926,0.4,600,41650,2183.518701
192,B,74,저가,식품,브랜드빵,일반빵,3346,72615,7926,0.4,650,143800,3117.546703
193,B,74,저가,식품,브랜드빵,일반빵류,3346,72615,7926,0.4,750,131790,3006.989643
194,B,74,저가,식품,브랜드빵,찐빵,3346,72615,7926,0.4,2480,258960,5608.522061
195,B,74,저가,식품,브랜드빵,찐빵류,3346,72615,7926,0.4,1530,151180,4171.004137
196,B,74,저가,식품,브랜드빵,케익,3346,72615,7926,0.4,840,36000,3884.607119
197,B,74,저가,식품,브랜드빵,패스트리,3346,72615,7926,0.4,1500,7500,2417.567568
198,B,11,저가,식품,가루,가공선식,3957,69136,7926,0.5,3990,39520,11972.07048
199,B,11,저가,식품,가루,곡물가루,3957,69136,7926,0.5,240,243950,4945.916609
200,B,11,저가,식품,가루,농산가루,3957,69136,7926,0.5,500,253300,4400.167085
201,B,11,저가,식품,가루,부침/튀김가루,3957,69136,7926,0.5,370,87500,2750.263757
202,B,11,저가,식품,가루,제빵재료,3957,69136,7926,0.5,260,111230,3769.53202
203,B,11,저가,식품,가루,홈메이드믹스,3957,69136,7926,0.5,600,1090000,4106.712601
204,B,12,저가,식품,면류,건냉면,3696,24706,7926,0.5,1000,42320,4894.470588
205,B,12,저가,식품,면류,국수,3696,24706,7926,0.5,240,69800,3467.059023
206,B,12,저가,식품,면류,당면,3696,24706,7926,0.5,400,188000,4162.116864
207,B,12,저가,식품,면류,생면,3696,24706,7926,0.5,1300,70400,4116.142788
208,B,12,저가,식품,면류,수입면류,3696,24706,7926,0.5,300,408000,2994.133031
209,B,12,저가,식품,면류,숙면,3696,24706,7926,0.5,730,66720,4102.113431
210,B,12,저가,식품,면류,파스타류,3696,24706,7926,0.5,590,453600,2735.548902
211,B,74,저가,식품,면류,건냉면,3613,45230,7926,0.5,1000,42320,4894.470588
212,B,74,저가,식품,면류,국수,3613,45230,7926,0.5,240,69800,3467.059023
213,B,74,저가,식품,면류,당면,3613,45230,7926,0.5,400,188000,4162.116864
214,B,74,저가,식품,면류,생면,3613,45230,7926,0.5,1300,70400,4116.142788
215,B,74,저가,식품,면류,수입면류,3613,45230,7926,0.5,300,408000,2994.133031
216,B,74,저가,식품,면류,숙면,3613,45230,7926,0.5,730,66720,4102.113431
217,B,74,저가,식품,면류,파스타류,3613,45230,7926,0.5,590,453600,2735.548902
218,B,14,저가,식품,껌,기능성껌,3753,32729,7926,0.5,240,60000,4241.487614
219,B,14,저가,식품,껌,기호껌,3753,32729,7926,0.5,290,39800,3610.904416
220,B,14,저가,식품,껌,일반껌,3753,32729,7926,0.5,800,48380,2320.362723
221,B,14,저가,식품,껌,키즈껌,3753,32729,7926,0.5,2000,2500,2166.666667
222,B,14,저가,식품,껌,풍선껌,3753,32729,7926,0.5,970,10670,1163.5671
223,B,14,저가,식품,비스켓,샌드,3683,235199,7926,0.5,480,3456000,3505.313497
224,B,14,저가,식품,비스켓,스틱과자,3683,235199,7926,0.5,290,303360,4074.42247
225,B,14,저가,식품,비스켓,온라인 비스켓,3683,235199,7926,0.5,1000,31600,3812.460064
226,B,14,저가,식품,비스켓,웨하스,3683,235199,7926,0.5,470,81400,3745.451381
227,B,14,저가,식품,비스켓,쿠키,3683,235199,7926,0.5,200,2877120,3799.829981
228,B,14,저가,식품,비스켓,크래커,3683,235199,7926,0.5,200,2388000,3493.856817
229,B,14,저가,식품,비스켓,화과자,3683,235199,7926,0.5,1980,109780,5999.563636
230,B,14,저가,식품,전통과자,옛날과자,3319,13204,7926,0.4,600,48000,2233.072709
231,B,14,저가,식품,전통과자,온라인전통과자,3319,13204,7926,0.4,3400,6800,4533.333333
232,B,14,저가,식품,전통과자,온라인팥빙수재료,3319,13204,7926,0.4,8900,8900,8900
233,B,14,저가,식품,전통과자,팥빙수재료,3319,13204,7926,0.4,1000,38790,7293.901734
234,B,14,저가,식품,전통과자,한과,3319,13204,7926,0.4,300,69300,3134.734968
235,B,14,저가,식품,전통과자,화과자,3319,13204,7926,0.4,960,37060,4558.264984
236,B,14,저가,식품,캔디,소프트캔디,3618,84311,7926,0.5,40,5696000,3475.452528
237,B,14,저가,식품,캔디,온라인 캔디,3618,84311,7926,0.5,3300,10000,5220
238,B,14,저가,식품,캔디,워터젤리,3618,84311,7926,0.5,1970,19960,3761.089494
239,B,14,저가,식품,캔디,젤리,3618,84311,7926,0.5,480,41600,1780.211416
240,B,14,저가,식품,캔디,토이캔디,3618,84311,7926,0.5,1250,23980,9617.5
241,B,14,저가,식품,캔디,팥빙수재료,3618,84311,7926,0.5,1320,49400,8723.924303
242,B,14,저가,식품,캔디,하드캔디,3618,84311,7926,0.5,150,210600,4817.727273
243,B,14,저가,식품,프리미엄과자,유기농과자,3415,16628,7926,0.4,1200,29070,3867.349138
244,B,14,저가,식품,프리미엄과자,프리미엄비스켓,3415,16628,7926,0.4,600,48000,3301.67986
245,B,14,저가,식품,프리미엄과자,프리미엄스낵,3415,16628,7926,0.4,1400,14000,2338.46952
246,B,14,저가,식품,프리미엄과자,프리미엄초콜릿,3415,16628,7926,0.4,500,51000,4345.281135
247,B,14,저가,식품,프리미엄과자,프리미엄캔디,3415,16628,7926,0.4,400,22620,1749.708552
248,B,14,저가,식품,프리미엄과자,프리미엄파이,3415,16628,7926,0.4,1920,173400,5473.532934
249,B,15,저가,식품,생수,국내생수,3542,149821,7926,0.4,180,191400,3912.230473
250,B,15,저가,식품,생수,생수,3542,149821,7926,0.4,30,427200,3691.73057
251,B,15,저가,식품,생수,수입생수,3542,149821,7926,0.4,500,102200,2512.976501
252,B,15,저가,식품,생수,온라인 생수,3542,149821,7926,0.4,15000,20400,17700
253,B,15,저가,식품,생수,탄산수,3542,149821,7926,0.4,300,128160,2339.80464
254,B,16,저가,식품,전통주,과실주,3757,55795,7926,0.5,1480,71060,5301.438991
255,B,16,저가,식품,전통주,막걸리,3757,55795,7926,0.5,780,68400,2497.448862
256,B,16,저가,식품,전통주,민속주,3757,55795,7926,0.5,790,1100000,6084.336582
257,B,16,저가,식품,전통주,전통주선물세트,3757,55795,7926,0.5,9400,230000,34348.93836
258,B,51,저가,식품,시즌행사,강정행사,24390,2000,112716,0.2,200,450000,11507.15522
259,B,51,저가,식품,시즌행사,한과행사,24390,2000,112716,0.2,2850,1435000,52337.61062
260,B,38,저가,식품,간편채소,간편구색,3599,29921,7926,0.5,850,24090,2526.692818
261,B,38,저가,식품,간편채소,간편양념,3599,29921,7926,0.5,1140,23100,3398.215928
262,B,38,저가,식품,간편채소,드레싱,3599,29921,7926,0.5,650,77040,4072.026022
263,B,38,저가,식품,간편채소,샐러드,3599,29921,7926,0.5,800,93330,3654.188303
264,B,38,저가,식품,나물,건나물,3469,77930,7926,0.4,100,220000,3156.907121
265,B,38,저가,식품,나물,고사리,3469,77930,7926,0.4,500,42050,6338.039293
266,B,38,저가,식품,나물,기타나물,3469,77930,7926,0.4,137,198000,2907.611826
267,B,38,저가,식품,나물,도라지,3469,77930,7926,0.4,500,30500,5842.937042
268,B,38,저가,식품,나물,삶은나물,3469,77930,7926,0.4,412,61841,6634.659976
269,B,38,저가,식품,나물,생나물,3469,77930,7926,0.4,280,81000,2465.598802
270,B,38,저가,식품,나물,취나물,3469,77930,7926,0.4,500,13920,2839.394632
271,B,38,저가,식품,나물,해초,3469,77930,7926,0.4,362,23000,2386.453542
272,B,38,저가,식품,두부,가공두부,3082,277289,7926,0.4,980,130350,4800.556753
273,B,38,저가,식품,두부,겸용두부,3082,277289,7926,0.4,1170,128400,4059.682633
274,B,38,저가,식품,두부,대상종가집두부,3082,277289,7926,0.4,990,40150,3041.62689
275,B,38,저가,식품,두부,두부,3082,277289,7926,0.4,400,173700,2763.497953
276,B,38,저가,식품,두부,부침두부,3082,277289,7926,0.4,700,127500,2996.515505
277,B,38,저가,식품,두부,씨제이두부,3082,277289,7926,0.4,1170,47760,3266.875663
278,B,38,저가,식품,두부,연두부,3082,277289,7926,0.4,450,101330,2683.179145
279,B,38,저가,식품,두부,찌개두부,3082,277289,7926,0.4,740,112050,1925.588344
280,B,38,저가,식품,두부,풀무원두부,3082,277289,7926,0.4,1030,93760,3237.763083
281,B,38,저가,식품,콩나물,국산콩나물,1814,136090,7926,0.2,100,206800,1895.871431
282,B,38,저가,식품,콩나물,대상종가집콩나물,1814,136090,7926,0.2,990,106920,1702.416964
283,B,38,저가,식품,콩나물,수입콩나물,1814,136090,7926,0.2,780,17500,1361.71432
284,B,38,저가,식품,콩나물,숙주나물,1814,136090,7926,0.2,350,116200,2109.168411
285,B,38,저가,식품,콩나물,씨제이콩나물,1814,136090,7926,0.2,600,39780,2018.308974
286,B,38,저가,식품,콩나물,콩나물,1814,136090,7926,0.2,437,20880,1422.417632
287,B,38,저가,식품,콩나물,풀무원콩나물,1814,136090,7926,0.2,890,47000,2034.195706
288,B,38,저가,식품,해초류,기타해초류,2589,6463,7926,0.3,650,30000,3466.130937
289,B,38,저가,식품,해초류,다시마,2589,6463,7926,0.3,300,11897,2333.313529
290,B,38,저가,식품,해초류,매생이,2589,6463,7926,0.3,1000,24000,5092.465625
291,B,38,저가,식품,해초류,미역,2589,6463,7926,0.3,490,20363,2373.755117
292,B,38,저가,식품,해초류,톳,2589,6463,7926,0.3,500,18800,2827.597561
