CUSTNO,Moneytary_가구인테리어/잡화_고가_증감여부,Moneytary_가구인테리어/잡화_저가_증감여부,Moneytary_가구인테리어/잡화_중가_증감여부,Moneytary_가전/레저취미/멀티샵_고가_증감여부,Moneytary_가전/레저취미/멀티샵_저가_증감여부,Moneytary_가전/레저취미/멀티샵_중가_증감여부,Moneytary_교육문화/아동_고가_증감여부,Moneytary_교육문화/아동_저가_증감여부,Moneytary_교육문화/아동_중가_증감여부,Moneytary_식품/생활_고가_증감여부,Moneytary_식품/생활_저가_증감여부,Moneytary_식품/생활_중가_증감여부,Moneytary_의류/이미용_고가_증감여부,Moneytary_의류/이미용_저가_증감여부,Moneytary_의류/이미용_중가_증감여부,Moneytary_침구/주방_고가_증감여부,Moneytary_침구/주방_저가_증감여부,Moneytary_침구/주방_중가_증감여부
35,4,3,3,1,0,0,0,0,0,3,1,3,3,1,4,0,4,1
36,4,3,4,0,0,0,0,4,4,4,1,4,4,0,0,2,4,3
37,4,2,4,4,0,0,0,0,4,4,1,4,2,0,0,0,0,1
38,4,4,1,0,2,0,0,4,4,2,2,3,0,1,2,0,3,1
39,4,2,0,0,0,0,0,0,0,1,4,4,2,0,1,1,0,0
40,4,2,1,1,0,1,0,0,4,4,2,3,3,4,2,4,1,1
41,4,1,0,4,0,0,0,0,0,4,1,2,0,1,4,0,0,4
42,0,1,4,0,0,4,1,4,0,3,2,4,0,4,1,0,4,1
43,0,1,0,0,0,0,0,0,0,2,1,2,0,3,1,0,3,0
44,1,0,1,4,0,4,0,0,0,4,4,3,0,0,2,0,0,0
45,0,4,1,0,0,0,0,0,4,2,4,2,1,4,3,1,4,0
46,2,3,0,0,0,3,0,0,0,2,4,3,2,0,4,1,0,0
47,0,2,1,0,1,4,0,2,1,4,3,2,0,1,2,4,2,4
48,4,2,4,0,0,4,0,0,0,3,4,3,3,0,1,2,4,1
49,3,3,1,0,0,4,0,0,0,1,1,3,3,0,4,2,0,1
50,1,3,2,0,4,4,1,2,4,3,3,2,1,4,3,2,1,2
51,0,2,4,1,1,4,0,4,2,2,1,2,2,1,2,0,2,1
52,4,4,0,0,0,1,0,0,0,4,1,3,3,0,2,2,0,4
53,4,1,1,4,0,3,0,0,0,4,1,4,4,0,0,0,0,0
54,0,2,1,0,0,0,0,0,0,3,0,2,3,0,4,0,1,0
55,0,2,0,0,1,0,0,0,0,2,1,3,0,3,1,0,1,0
56,2,2,4,0,0,0,0,0,1,1,4,2,4,4,2,4,0,2
57,0,3,0,0,4,0,0,0,0,3,3,3,0,3,0,0,2,0
58,3,3,0,1,0,4,0,0,4,4,0,1,4,0,1,1,0,4
59,4,2,2,0,0,0,0,0,0,3,1,2,3,0,0,4,0,1
60,0,1,0,0,2,1,0,1,1,4,4,3,4,4,1,4,4,0
61,3,3,2,0,0,0,0,0,0,3,3,3,1,1,2,1,3,2
62,0,2,0,4,0,3,4,1,4,4,1,3,4,4,4,0,1,1
63,0,1,4,0,0,0,0,0,0,4,0,3,4,0,4,0,0,0
64,0,4,0,0,0,0,0,1,0,1,4,2,0,1,4,0,4,0
65,0,2,0,1,0,1,0,0,0,3,1,1,4,4,4,1,3,3
66,0,3,0,0,0,1,0,2,0,3,3,2,0,1,1,4,2,0
67,0,4,0,0,0,0,0,0,0,3,3,2,4,2,2,0,2,0
68,1,4,2,2,0,0,0,0,4,2,3,4,4,4,3,2,4,1
69,0,2,0,0,4,0,0,0,0,3,3,3,0,4,0,0,4,0
70,1,4,0,0,4,4,0,0,4,4,1,2,0,0,2,0,0,4
71,0,1,0,0,0,0,0,4,0,4,1,3,0,4,0,0,2,0
72,0,1,0,0,0,0,0,2,4,2,4,2,4,4,1,0,2,4
73,2,1,4,3,1,4,0,0,1,4,1,3,4,1,2,3,0,4
74,4,4,3,0,0,4,0,0,4,3,1,2,3,1,3,2,4,4
75,0,4,0,0,0,0,0,0,0,4,1,2,3,1,0,0,0,0
76,4,1,4,0,0,2,0,4,3,3,3,3,0,4,3,4,4,2
77,4,3,1,0,0,4,0,0,1,3,4,3,3,1,3,0,4,0
78,3,1,4,2,0,1,0,0,0,1,2,1,2,1,0,1,2,1
79,0,1,0,0,4,4,4,3,4,2,1,2,1,4,4,0,2,0
80,0,1,0,0,1,0,0,0,0,3,1,1,4,4,0,4,3,4
81,2,4,4,0,0,0,0,0,1,3,4,4,1,3,4,2,0,2
82,1,3,2,3,0,4,4,4,4,4,2,3,2,2,3,0,4,3
83,4,1,2,4,0,4,0,0,0,2,4,4,3,2,4,4,4,0
84,0,3,1,1,1,1,0,0,1,1,1,1,4,1,1,1,0,1
85,0,2,0,0,0,0,0,0,0,4,0,3,2,0,1,1,0,2
86,0,4,4,0,0,4,0,1,4,2,3,3,3,1,4,0,1,1
87,0,0,0,2,0,4,0,0,1,1,4,4,0,0,3,1,0,4
88,1,4,4,3,3,0,0,0,0,4,2,3,4,0,0,4,4,1
89,0,4,0,0,0,2,0,0,0,2,4,3,4,4,4,4,4,4
90,0,1,1,4,0,1,0,0,4,3,0,4,3,0,2,1,0,1
91,0,4,0,0,4,0,0,0,1,1,1,3,1,0,4,1,1,1
92,1,3,4,1,1,3,3,4,4,2,3,2,2,1,2,3,3,2
93,4,1,3,0,0,4,0,0,1,1,0,2,2,0,2,0,0,0
94,0,1,0,0,0,0,0,3,0,4,4,1,0,0,0,0,4,0
95,0,2,0,0,4,4,0,0,1,4,1,3,1,3,1,0,4,1
96,4,3,0,2,0,4,0,0,0,2,0,3,4,0,4,4,0,2
97,2,1,1,2,4,1,0,0,1,1,2,1,1,4,1,3,2,2
98,0,1,1,0,0,4,0,0,4,2,2,3,3,1,3,1,2,1
99,2,4,2,4,4,0,0,0,4,2,4,3,3,1,3,4,2,3
100,0,1,4,0,0,4,0,0,1,4,1,2,4,4,4,4,2,2
101,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0
102,1,1,1,1,1,4,0,0,0,2,3,2,4,1,1,1,4,1
103,0,1,0,0,0,1,0,0,0,1,1,2,0,0,4,0,1,0
104,0,3,0,0,0,0,0,0,0,2,4,3,0,4,1,0,2,0
105,0,2,0,0,1,4,0,0,0,3,3,3,0,2,4,0,2,0
106,4,3,1,2,0,2,0,0,4,4,1,4,3,0,4,0,0,0
107,1,2,1,1,0,2,0,0,1,2,4,3,4,0,2,1,1,1
108,0,2,2,0,0,2,0,0,0,3,4,1,1,0,1,0,0,0
109,0,1,0,0,0,0,0,0,0,2,2,1,0,1,1,0,4,0
110,0,2,0,0,0,3,0,1,3,3,2,1,4,2,4,1,1,0
111,0,4,0,0,0,0,0,0,0,1,2,1,0,2,0,0,1,4
112,1,1,1,0,0,4,0,0,4,2,2,2,4,4,1,4,0,0
113,3,4,4,1,1,4,1,2,3,3,2,3,3,3,1,2,4,2
114,1,3,0,4,0,4,0,0,0,3,1,2,4,4,4,0,4,0
115,4,2,4,0,0,0,0,0,1,4,4,4,3,0,3,1,0,0
116,0,4,1,0,4,0,0,0,1,4,4,4,1,1,4,0,1,1
117,0,1,0,4,0,0,0,0,0,1,4,1,4,4,1,0,3,0
118,4,4,1,2,0,1,0,0,2,2,0,4,4,0,2,2,0,1
119,4,2,4,1,0,2,0,0,3,3,4,4,1,4,4,4,4,4
120,4,4,3,0,0,0,0,0,0,2,4,3,3,0,3,1,1,4
121,1,0,0,0,0,1,0,0,1,2,0,2,0,0,3,0,0,1
122,0,4,0,4,0,3,2,1,3,1,4,3,2,4,2,4,4,2
123,0,1,0,0,1,0,0,0,4,1,1,1,0,1,4,0,4,0
124,4,3,2,1,1,4,0,0,0,2,4,3,1,4,2,1,0,1
125,1,3,0,4,0,1,0,0,0,3,4,3,4,1,1,1,4,1
126,0,3,0,4,0,1,0,4,0,2,2,2,1,4,1,1,2,0
127,0,2,4,0,0,0,0,0,0,4,0,3,1,0,3,0,0,1
128,0,3,0,0,1,0,0,0,0,2,2,3,0,2,0,0,2,0
129,0,4,0,0,3,0,4,3,4,3,4,3,4,4,0,0,2,0
130,3,2,3,0,0,2,0,0,3,1,1,3,2,0,2,4,0,3
131,4,3,4,4,1,4,0,0,0,3,2,2,4,1,4,1,1,3
132,0,2,0,0,1,0,0,1,0,3,2,3,1,3,1,0,4,0
133,0,1,0,0,4,4,0,0,0,4,3,2,0,4,1,4,2,4
134,3,1,4,2,0,1,0,0,1,4,1,3,1,0,4,3,0,1
135,0,0,0,4,0,4,0,0,0,4,1,4,4,0,4,0,0,1
136,0,0,0,0,0,4,4,0,4,4,0,4,4,0,4,4,0,4
137,3,3,1,3,0,1,0,0,3,2,4,1,1,4,1,2,1,2
138,1,1,0,0,2,3,0,0,0,2,1,2,3,1,2,0,4,2
139,3,3,2,0,0,4,0,0,0,4,4,1,3,3,4,3,3,2
140,2,3,2,3,4,4,0,1,0,3,1,2,2,0,1,2,4,1
141,0,2,0,0,3,0,0,0,0,2,3,3,0,0,4,0,1,0
143,0,1,0,0,2,0,0,2,0,0,2,3,0,1,0,0,2,0
144,4,4,0,0,2,0,0,0,0,3,3,3,4,1,4,0,3,4
145,3,4,4,3,0,1,0,0,4,4,1,2,2,4,1,4,0,4
146,2,4,2,0,0,4,0,0,1,1,0,3,2,0,2,3,0,4
147,2,2,4,4,3,4,0,4,3,3,4,3,1,4,3,0,2,4
148,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,3,0
149,0,4,0,0,0,0,0,0,0,3,4,2,2,0,2,3,4,1
150,0,1,4,0,2,0,0,4,1,1,1,3,4,4,4,0,2,2
151,4,2,1,4,0,4,0,0,2,2,1,2,3,4,4,4,4,4
152,0,1,4,1,0,1,0,0,4,2,3,3,1,0,4,3,0,3
153,0,1,4,0,0,0,0,0,1,2,2,2,4,0,1,0,4,0
154,2,1,1,0,0,0,0,0,0,4,4,3,3,0,1,1,1,0
155,0,1,4,1,0,0,0,0,0,3,0,3,4,4,3,2,0,1
156,1,1,1,4,0,3,0,0,1,3,0,4,2,0,3,1,0,3
157,1,1,0,4,0,2,0,0,0,4,3,2,1,0,4,0,0,0
158,0,2,0,0,0,0,0,0,3,4,1,2,0,0,0,0,0,0
159,4,1,4,0,0,3,0,0,4,4,1,2,3,1,4,1,0,0
160,4,2,1,0,4,4,0,0,0,2,3,3,0,0,2,4,4,0
161,2,1,4,1,0,1,0,0,1,1,4,1,1,4,1,2,0,3
162,0,3,4,0,0,4,0,0,4,1,2,2,4,4,3,1,2,4
163,0,0,4,0,1,0,0,0,4,3,4,4,2,1,3,0,4,0
164,1,4,4,1,0,2,0,0,0,2,4,4,0,0,4,1,4,4
165,4,1,4,4,0,4,0,0,3,4,1,4,4,1,4,4,0,4
166,1,3,1,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4
167,0,1,2,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0
168,4,2,4,3,0,3,0,0,1,4,4,4,2,0,4,2,1,4
169,1,4,1,0,1,4,0,0,1,1,3,3,0,4,1,4,1,1
170,0,4,0,0,3,0,0,0,0,3,4,4,4,3,1,0,2,4
171,0,4,4,0,0,1,0,0,0,4,4,3,3,1,1,3,0,1
172,0,4,0,4,0,4,4,0,4,3,4,4,2,1,3,4,4,3
173,0,4,0,0,3,0,0,0,0,2,2,2,0,3,4,0,2,1
175,0,1,0,0,3,0,0,3,1,2,3,2,0,3,4,0,3,0
176,0,2,0,0,1,0,0,0,0,3,3,2,0,0,0,4,1,1
177,0,4,2,2,0,4,0,0,1,2,1,2,4,1,4,4,0,2
178,0,1,4,0,0,1,0,0,0,3,3,3,0,3,1,0,3,2
179,0,1,3,1,0,1,0,0,1,1,4,4,2,4,1,1,4,0
180,3,2,0,0,0,1,0,0,1,3,0,2,2,0,4,4,0,4
181,0,2,0,0,0,3,0,0,1,3,0,2,4,0,1,1,0,1
182,0,3,4,3,0,0,0,0,4,3,0,3,4,0,3,1,0,0
183,0,1,0,0,0,1,4,4,1,4,2,2,0,2,0,0,1,1
184,4,3,0,4,0,1,0,0,3,3,4,4,2,0,3,4,4,4
185,0,4,0,0,0,0,0,0,0,4,4,4,0,4,0,0,4,0
186,4,3,2,1,0,3,1,1,2,3,1,4,4,2,4,1,0,3
187,1,2,1,0,0,4,0,0,0,4,4,1,4,0,1,1,1,2
188,0,4,0,0,1,0,0,0,0,2,1,2,0,0,1,0,2,1
189,3,4,3,4,0,4,0,4,4,3,1,3,2,1,3,2,0,0
190,1,3,4,4,0,4,0,0,0,3,0,2,3,0,1,0,0,0
191,2,2,4,4,0,1,0,0,4,1,0,1,1,4,4,1,0,3
192,3,2,4,0,0,1,0,0,1,4,4,4,4,4,4,4,4,4
193,0,4,0,0,4,0,0,3,4,4,3,3,0,3,1,1,1,4
194,0,2,3,0,0,0,0,1,0,3,2,2,1,3,4,0,4,0
195,0,2,0,0,1,0,0,1,0,0,1,3,0,1,0,0,1,0
196,0,2,4,0,0,2,0,0,4,3,3,3,3,1,4,2,4,2
197,0,3,4,1,4,3,0,1,2,2,1,1,3,1,4,1,1,2
198,0,2,0,4,0,3,0,0,1,4,2,3,3,1,4,0,1,4
199,0,1,0,0,0,3,0,2,0,3,4,4,0,1,4,0,2,0
200,0,1,4,0,0,0,0,0,0,4,2,1,3,3,0,1,4,1
201,0,4,4,3,0,3,0,0,0,3,1,1,3,0,2,2,0,2
202,4,1,4,2,0,0,0,0,4,3,2,3,1,0,4,4,0,2
203,0,4,0,0,1,0,0,1,0,1,1,3,0,2,4,0,1,4
204,0,1,4,0,4,2,1,1,3,2,3,3,1,3,3,0,4,0
205,0,1,0,0,1,0,0,4,0,2,3,2,2,1,2,1,2,1
206,4,2,0,0,0,2,0,1,0,3,2,2,0,1,1,0,3,0
207,0,1,0,0,1,0,0,4,0,1,3,2,0,1,4,0,1,0
208,2,4,3,3,0,4,0,0,0,4,1,4,2,0,4,0,0,0
209,4,0,3,0,0,1,0,0,4,4,4,2,1,0,3,3,4,0
210,0,4,0,0,0,4,0,2,0,3,4,2,4,3,4,0,3,3
211,0,2,0,0,0,0,0,0,0,2,1,2,1,1,1,0,1,1
212,0,1,0,0,0,4,0,0,0,4,2,3,0,0,1,0,0,0
213,0,2,0,1,1,0,0,3,3,3,2,3,2,3,4,1,1,4
214,0,1,3,1,4,4,0,0,4,4,4,3,4,0,2,4,3,2
215,1,4,4,0,4,4,0,1,0,2,3,3,1,3,4,0,4,4
216,0,1,0,0,1,1,0,4,0,1,3,3,2,3,4,0,3,0
217,0,2,0,0,4,1,0,1,2,3,4,4,3,0,0,1,1,2
218,4,2,2,0,0,2,4,1,4,3,1,4,4,0,3,0,0,1
219,0,3,3,0,0,2,0,0,4,2,0,1,1,0,4,4,0,1
220,0,4,0,0,1,1,1,4,1,3,2,2,0,4,0,0,3,0
221,0,1,0,0,4,0,0,2,1,2,3,3,4,3,4,0,1,4
222,2,1,2,4,0,4,4,0,2,4,1,2,3,1,1,2,0,2
223,0,4,4,0,0,2,0,0,0,3,4,1,1,0,1,4,1,4
224,1,1,3,4,0,2,0,0,1,4,1,2,1,0,4,4,0,2
225,1,3,0,1,0,3,0,0,0,3,4,2,4,0,4,1,3,3
226,0,0,0,0,2,4,0,1,0,3,2,3,0,1,1,4,1,0
227,0,4,0,0,4,0,0,0,0,4,2,2,0,4,0,0,1,0
228,0,1,0,0,2,1,2,1,0,2,4,2,0,2,1,0,1,0
229,1,3,2,4,0,0,0,0,0,4,1,4,3,0,4,4,0,1
230,0,2,1,0,0,1,0,0,1,2,4,2,3,4,4,1,0,0
231,0,0,0,0,0,0,0,0,0,3,3,2,0,2,4,0,4,0
232,0,4,1,0,3,4,0,0,4,4,2,2,0,0,4,0,1,0
233,0,4,0,0,0,1,0,0,0,2,2,3,0,0,0,0,4,0
234,0,2,0,0,0,0,0,0,2,3,4,3,2,1,4,4,0,1
235,0,4,4,0,0,4,0,0,0,2,1,2,2,0,1,3,1,4
236,0,3,0,0,4,0,0,0,0,4,2,3,0,0,0,0,1,0
237,2,3,1,4,1,0,0,0,3,2,3,1,2,4,4,3,4,1
238,0,4,4,0,0,0,0,0,0,4,0,4,4,0,4,0,0,1
239,3,4,4,4,0,4,0,0,2,3,4,4,2,4,2,4,4,0
240,4,2,1,0,0,4,0,0,3,4,0,3,3,0,3,0,0,4
241,0,1,0,1,0,4,0,0,1,2,0,3,4,0,1,1,0,0
242,0,3,0,0,2,4,0,4,4,1,3,3,0,3,0,0,3,4
243,0,4,0,0,4,4,0,0,4,2,4,3,0,4,0,0,0,0
245,0,3,3,0,4,4,0,0,0,3,3,2,1,0,4,4,4,3
246,4,2,2,3,0,4,0,0,1,1,1,2,3,0,1,0,0,4
247,4,2,0,0,0,0,0,0,0,3,4,2,2,4,1,0,0,0
248,0,3,0,0,0,1,0,4,4,2,4,3,4,4,1,4,2,4
249,1,1,3,2,0,4,0,0,0,4,0,4,2,0,1,1,0,1
250,4,4,2,3,0,4,0,0,1,3,1,2,4,1,2,2,0,2
251,1,4,4,4,1,4,0,0,2,1,1,2,4,1,3,4,0,4
252,0,4,0,4,0,0,0,0,0,4,4,2,1,0,2,0,0,0
253,1,2,3,1,0,1,0,0,4,4,0,4,3,0,4,1,0,1
254,2,3,0,3,0,4,0,0,0,4,4,3,4,0,3,1,0,1
255,2,4,4,4,0,4,0,0,1,1,4,3,1,2,2,4,0,0
256,3,4,4,4,0,3,0,0,4,4,4,4,4,4,2,4,4,2
257,0,1,2,0,1,0,0,3,0,2,2,2,1,1,3,0,3,0
258,2,3,1,4,0,4,0,1,0,4,2,3,4,0,1,4,1,2
259,4,3,4,0,0,4,0,1,0,2,2,3,1,3,4,0,2,0
260,0,4,0,0,4,1,0,0,1,2,3,3,0,2,4,0,4,4
261,1,4,3,1,0,1,0,0,3,3,0,1,2,1,3,4,0,3
262,0,4,1,0,0,4,4,0,4,2,4,2,4,4,3,4,0,0
263,0,0,0,0,4,0,0,1,1,1,2,1,0,3,4,0,1,2
264,0,2,0,0,3,0,0,0,0,2,3,3,0,3,0,0,4,0
265,3,2,2,2,0,3,0,0,2,1,4,4,2,0,3,4,0,4
266,0,1,4,1,0,0,0,0,0,4,0,4,1,0,4,3,0,2
267,1,4,0,0,0,0,1,1,3,1,4,4,4,4,4,3,0,4
268,4,3,3,3,0,2,1,1,1,1,1,1,1,3,4,2,1,2
269,2,2,0,4,3,1,0,0,1,2,2,2,4,4,1,0,3,4
270,0,1,4,0,0,4,0,1,1,2,3,3,0,4,0,0,3,0
271,4,2,4,4,0,4,0,0,4,4,0,4,3,0,4,3,0,2
272,0,4,1,1,2,3,2,3,4,1,2,2,2,2,4,2,1,2
273,0,2,2,1,0,4,0,0,3,4,0,4,1,1,4,3,0,4
274,0,3,0,0,0,0,0,1,0,3,3,3,0,4,0,0,3,0
275,4,4,4,0,0,1,0,1,3,3,2,1,4,3,1,4,4,3
276,0,1,0,0,1,0,0,0,0,4,4,4,0,4,0,0,1,0
277,4,3,0,4,4,3,0,0,0,2,4,3,4,0,3,4,2,1
278,0,1,0,0,1,0,0,0,4,2,1,1,1,3,0,0,0,0
279,4,2,4,4,0,0,0,0,4,2,0,3,3,0,4,4,0,1
280,3,4,4,1,0,3,0,0,1,3,0,4,3,0,1,0,4,3
281,1,1,1,1,1,3,0,0,3,3,3,1,2,1,3,4,1,4
282,0,2,1,2,0,4,0,0,4,4,4,4,2,1,4,4,4,0
283,2,3,4,0,0,2,0,0,1,4,0,2,2,0,4,0,0,1
284,0,1,0,0,1,0,0,4,0,1,1,1,0,1,0,0,1,0
285,0,2,0,0,0,0,0,0,1,3,3,3,0,1,4,4,1,3
286,0,2,0,4,0,1,0,4,0,1,1,1,1,4,3,0,1,0
287,0,1,0,0,4,4,1,1,1,3,4,4,0,2,4,0,3,0
288,4,4,0,0,0,0,0,1,1,2,2,3,2,4,1,0,2,0
289,0,4,0,0,0,2,4,1,4,2,0,4,4,0,4,0,0,0
290,0,4,0,0,4,0,0,0,1,4,2,3,0,4,0,0,3,1
291,0,0,1,0,2,0,0,4,0,3,4,4,0,3,0,0,3,0
292,2,3,3,4,0,4,0,0,1,3,1,4,2,0,1,4,0,4
293,0,4,4,0,0,4,0,0,0,3,3,4,1,1,1,4,3,2
294,4,0,3,1,0,1,0,0,1,0,4,1,1,0,1,1,0,1
295,4,4,1,4,0,4,0,0,0,4,0,4,4,0,4,4,0,4
296,0,1,2,1,0,3,0,0,1,2,3,4,2,0,2,3,0,1
297,0,4,4,3,4,4,0,0,4,3,2,4,3,4,4,2,2,0
298,4,4,3,0,4,4,0,0,4,3,1,4,4,4,3,3,3,4
299,1,2,0,4,1,2,0,1,0,2,1,2,1,0,1,2,1,0
300,0,4,4,0,1,4,4,2,2,3,3,3,0,3,1,0,2,3
301,4,3,0,0,0,3,0,0,0,2,4,4,3,4,1,0,0,0
302,0,2,2,0,0,0,0,0,3,3,4,4,2,0,1,3,4,2
303,0,2,0,1,0,1,0,4,0,2,3,3,4,4,1,1,3,0
304,1,1,1,4,0,4,0,0,0,4,0,4,0,0,4,3,0,0
305,0,4,4,1,3,4,0,4,4,3,2,3,1,0,3,3,4,3
306,0,2,1,1,1,4,0,0,1,4,1,2,1,0,3,1,1,4
307,2,3,2,0,0,3,0,0,4,4,0,3,4,0,3,4,0,2
308,0,1,4,4,1,4,0,0,0,4,1,4,4,4,4,4,0,4
309,3,1,3,4,0,4,0,0,2,2,1,3,1,0,4,4,0,2
310,0,4,4,0,0,2,4,0,4,3,1,3,2,4,1,0,4,0
311,3,2,4,0,0,0,0,0,4,4,1,4,3,4,1,0,1,1
312,0,3,0,0,2,0,0,0,0,2,4,2,0,3,0,0,4,0
313,4,1,2,2,4,1,3,2,3,2,2,3,2,1,2,1,2,1
314,4,1,4,1,0,4,0,0,0,2,0,1,1,0,2,3,0,1
315,3,4,4,4,4,4,0,0,1,4,1,4,4,4,4,2,2,0
316,0,4,0,1,4,0,0,0,3,1,1,2,2,4,3,1,2,0
317,0,4,4,4,0,4,0,0,1,3,1,3,1,1,4,2,2,1
318,0,4,1,1,0,4,0,0,2,2,4,3,1,0,4,3,0,1
319,0,1,4,3,0,3,0,0,2,3,0,2,1,0,3,1,0,1
320,0,1,2,2,0,1,4,4,2,3,4,1,0,1,1,2,0,3
321,0,4,3,1,0,4,0,0,0,2,2,3,1,2,3,0,1,0
322,0,2,4,0,0,1,0,4,0,1,3,4,1,1,4,1,2,1
323,1,4,3,3,0,2,1,2,4,2,4,3,3,4,3,4,2,3
324,4,2,1,3,4,1,1,2,1,2,2,4,3,4,4,2,3,2
325,2,3,4,0,0,2,0,0,0,2,3,3,2,4,3,4,4,3
326,2,3,4,4,0,3,0,0,2,4,1,3,4,0,4,1,0,1
327,3,2,2,3,0,1,0,0,2,4,1,1,1,4,1,2,0,4
328,0,3,4,4,0,2,0,0,2,4,0,3,2,0,1,0,0,0
329,3,2,4,1,0,1,0,0,1,1,2,2,3,4,4,2,4,0
330,0,4,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0
331,0,4,0,4,0,4,0,0,0,1,2,2,4,2,4,0,2,1
332,2,2,1,3,0,4,0,0,4,2,2,3,2,1,2,2,2,3
333,0,4,3,4,0,2,0,0,0,4,2,3,3,3,4,4,4,3
334,1,2,4,4,0,4,0,0,1,3,0,4,3,4,4,3,0,1
335,0,4,3,4,0,2,0,0,0,3,1,2,1,0,4,3,0,2
336,0,1,0,0,3,1,0,3,3,1,1,2,1,1,1,4,2,1
337,1,3,1,3,4,2,0,0,1,2,2,4,2,4,4,1,1,0
338,0,3,0,0,2,0,0,4,4,2,1,1,0,2,4,0,3,0
339,0,1,4,0,1,4,0,0,4,3,1,3,0,2,4,0,2,1
340,0,1,2,0,0,0,0,0,0,4,4,4,1,4,4,1,0,4
341,4,3,0,0,0,0,0,0,1,2,1,4,3,0,1,1,0,1
342,0,0,0,0,4,0,0,0,0,2,1,2,0,1,4,0,3,0
343,2,3,4,2,0,1,0,0,4,4,3,2,4,0,1,4,0,0
344,0,2,0,0,0,2,0,1,0,2,3,2,1,4,4,1,4,1
345,4,1,2,1,0,4,0,0,0,3,4,3,4,0,3,0,1,3
346,0,4,0,0,0,1,0,0,0,3,0,3,1,0,1,4,0,4
347,4,3,1,4,3,4,0,1,1,3,4,3,2,2,3,0,3,3
348,0,3,0,0,4,0,0,0,0,2,3,3,0,1,0,0,1,0
349,4,2,2,3,4,4,4,2,3,1,1,2,3,1,2,0,1,2
350,0,4,1,4,0,2,0,4,1,1,3,4,4,1,4,4,2,3
